lga_code_2016,canada_before_1946,canada_1946_1955,canada_1956_1965,canada_1966_1975,canada_1976_1985,canada_1986_1995,canada_1996_2005,canada_2006_2010,canada_2011,canada_2012,canada_2013,canada_2014,canada_2015,canada_2016,canada_yr_arrival_notstated,canada_tot,china_exc_sars_taiw_bef_1946,china_exc_sars_taiwan_46_55,china_exc_sars_taiwan_56_65,china_exc_sars_taiwan_66_75,china_exc_sars_taiwan_76_85,china_exc_sars_taiwan_86_95,china_exc_sars_taiwan_96_05,china_exc_sars_taiwan_06_10,china_exc_sars_taiwan_2011,china_exc_sars_taiwan_2012,china_exc_sars_taiwan_2013,china_exc_sars_taiwan_2014,china_exc_sars_taiwan_2015,china_exc_sars_taiwan_2016,china_exc_sars_tawan_arr_notstated,china_exc_sars_taiwan_tot,croatia_before_1946,croatia_1946_1955,croatia_1956_1965,croatia_1966_1975,croatia_1976_1985,croatia_1986_1995,croatia_1996_2005,croatia_2006_2010,croatia_2011,croatia_2012,croatia_2013,croatia_2014,croatia_2015,croatia_2016,croatia_yr_arrival_notstated,croatia_tot,egypt_before_1946,egypt_1946_1955,egypt_1956_1965,egypt_1966_1975,egypt_1976_1985,egypt_1986_1995,egypt_1996_2005,egypt_2006_2010,egypt_2011,egypt_2012,egypt_2013,egypt_2014,egypt_2015,egypt_2016,egypt_yr_arrival_notstated,egypt_tot,fiji_before_1946,fiji_1946_1955,fiji_1956_1965,fiji_1966_1975,fiji_1976_1985,fiji_1986_1995,fiji_1996_2005,fiji_2006_2010,fiji_2011,fiji_2012,fiji_2013,fiji_2014,fiji_2015,fiji_2016,fiji_yr_arrival_notstated,fiji_tot,germany_before_1946,germany_1946_1955,germany_1956_1965,germany_1966_1975,germany_1976_1985,germany_1986_1995,germany_1996_2005,germany_2006_2010,germany_2011,germany_2012,germany_2013,germany_2014,germany_2015,germany_2016,germany_yr_arrival_notstated,germany_tot,greece_before_1946,greece_1946_1955,greece_1956_1965,greece_1966_1975,greece_1976_1985,greece_1986_1995,greece_1996_2005,greece_2006_2010,greece_2011,greece_2012,greece_2013,greece_2014,greece_2015,greece_2016,greece_yr_arrival_notstated,greece_tot,hng_kng_sar_china_bfre_1946,hng_kng_sar_china_1946_1955,hng_kng_sar_china_1956_1965,hng_kng_sar_china_1966_1975,hng_kng_sar_china_1976_1985,hng_kng_sar_china_1986_1995,hng_kng_sar_china_1996_2005,hng_kng_sar_china_2006_2010,hong_kong_sar_china_2011,hong_kong_sar_china_2012,hong_kong_sar_china_2013,hong_kong_sar_china_2014,hong_kong_sar_china_2015,hong_kong_sar_china_2016,hng_kng_sar_chna_arrival_notstated,hong_kong_sar_china_tot,india_before_1946,india_1946_1955,india_1956_1965,india_1966_1975,india_1976_1985,india_1986_1995,india_1996_2005,india_2006_2010,india_2011,india_2012,india_2013,india_2014,india_2015,india_2016,india_yr_arrival_notstated,india_tot,indonesia_before_1946,indonesia_1946_1955,indonesia_1956_1965,indonesia_1966_1975,indonesia_1976_1985,indonesia_1986_1995,indonesia_1996_2005,indonesia_2006_2010,indonesia_2011,indonesia_2012,indonesia_2013,indonesia_2014,indonesia_2015,indonesia_2016,indonesia_yr_arrival_notstated,indonesia_tot,iran_before_1946,iran_1946_1955,iran_1956_1965,iran_1966_1975,iran_1976_1985,iran_1986_1995,iran_1996_2005,iran_2006_2010,iran_2011,iran_2012,iran_2013,iran_2014,iran_2015,iran_2016,iran_yr_arrival_notstated,iran_tot,iraq_before_1946,iraq_1946_1955,iraq_1956_1965,iraq_1966_1975,iraq_1976_1985,iraq_1986_1995,iraq_1996_2005,iraq_2006_2010,iraq_2011,iraq_2012,iraq_2013,iraq_2014,iraq_2015,iraq_2016,iraq_yr_arrival_notstated,iraq_tot,ireland_before_1946,ireland_1946_1955,ireland_1956_1965,ireland_1966_1975,ireland_1976_1985,ireland_1986_1995,ireland_1996_2005,ireland_2006_2010,lga_name16
10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,Blayney (A)
10900,0,3,10,36,25,24,44,16,7,3,0,0,7,3,9,193,0,15,29,0,12,33,45,47,9,3,7,10,14,9,3,219,0,6,13,32,9,4,3,3,0,0,0,0,0,0,9,72,0,15,16,17,3,3,0,0,0,0,0,0,0,0,0,53,0,3,0,18,18,20,11,0,0,0,3,0,0,0,4,82,0,147,115,83,72,39,43,17,3,3,7,4,9,0,16,548,0,11,29,16,3,0,3,0,0,0,0,0,0,0,4,73,0,3,9,10,20,17,15,3,0,0,3,7,0,0,4,97,3,12,18,60,26,30,32,28,3,7,8,10,17,11,11,263,3,13,13,8,7,5,16,13,0,8,5,0,21,19,3,132,0,0,0,0,4,13,9,3,0,0,0,0,0,0,0,32,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,22,3,10,24,84,32,50,39,22,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bogan (A)
11100,0,0,0,0,10,6,17,14,6,3,5,4,0,3,0,73,3,7,13,17,86,313,400,493,118,156,160,272,285,231,136,2687,0,3,43,90,3,7,11,0,0,0,0,0,0,0,5,167,0,40,107,116,19,37,11,8,0,3,3,3,0,3,13,372,0,0,3,10,45,99,42,17,0,6,7,0,3,5,10,254,0,10,17,20,7,10,17,11,3,3,0,0,3,0,0,123,0,55,326,238,18,19,16,5,7,11,4,10,9,4,43,762,0,0,3,31,74,93,89,38,15,5,7,6,15,10,7,387,0,0,0,26,30,76,122,155,30,49,63,55,66,60,30,775,0,0,0,27,103,246,582,347,90,81,87,109,100,47,34,1848,0,0,0,9,4,27,17,12,6,14,14,9,9,6,0,135,0,0,3,13,26,83,129,34,15,6,14,53,19,9,7,410,0,0,0,17,14,40,60,112,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,14,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,11,0,0,0,3,0,0,0,3,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,0,0,0,5,0,5,3,3,0,0,0,0,0,0,4,25,0,0,0,0,3,7,3,9,3,0,0,0,6,6,9,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,6,6,5,0,0,0,0,0,0,4,32,0,38,20,14,12,5,3,0,4,0,0,0,0,0,10,110,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,6,0,3,0,7,0,10,10,3,0,0,6,46,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,Kempsey (A)
11250,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,17,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,10,9,8,0,3,3,0,0,0,0,0,0,0,0,37,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,16,3,4,6,6,8,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Broken Hill (C)
13910,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,3,0,0,3,0,7,7,10,3,0,0,0,0,0,3,31,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,9,10,7,0,3,0,0,0,0,0,0,0,0,3,31,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,13,6,3,7,0,0,0,0,37,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,Hilltops (A)
14000,0,5,14,60,59,59,60,34,3,10,10,10,3,5,10,342,10,28,66,39,168,1377,2671,1934,312,357,360,417,462,225,308,8740,0,3,23,52,0,19,14,0,0,0,0,0,0,0,8,120,0,19,28,61,5,41,27,9,0,5,7,0,0,0,7,218,4,0,8,26,63,109,72,18,0,9,13,0,7,0,6,337,7,93,105,73,56,54,80,57,9,7,0,8,3,10,16,578,0,16,49,31,8,3,7,0,4,0,0,0,0,0,3,119,5,9,29,59,275,1161,496,137,19,24,19,28,22,15,47,2339,3,18,17,152,197,823,1607,1150,164,197,190,257,289,183,127,5366,3,9,14,27,88,125,218,82,12,10,20,14,7,5,3,647,0,4,3,44,117,280,253,337,120,108,96,53,118,45,38,1614,0,0,3,9,9,10,15,3,0,0,0,0,0,0,0,57,3,8,27,61,26,90,88,53,Hornsby (A)
14100,0,0,0,5,9,4,3,5,0,0,0,0,0,0,0,32,3,5,11,8,21,127,140,60,16,17,18,11,16,3,18,463,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,15,0,3,11,15,7,3,0,0,0,0,0,0,4,0,8,47,0,0,3,3,6,8,3,0,0,0,0,0,0,0,3,25,4,13,6,10,0,9,9,0,0,0,0,0,0,0,8,64,0,16,44,25,0,0,0,0,0,0,0,0,0,0,3,91,0,0,5,12,21,46,20,8,0,4,0,0,4,0,0,131,0,5,0,16,18,23,19,9,0,3,0,5,0,0,6,106,0,0,3,3,6,14,6,3,0,0,0,0,0,0,3,39,0,0,0,3,14,12,14,7,0,4,0,0,0,0,4,58,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,5,6,10,6,19,23,0,Hunters Hill (A)
14170,0,0,17,67,83,72,133,76,23,21,34,36,37,12,19,636,7,30,55,88,270,1410,1349,1124,187,268,296,333,446,248,228,6343,0,3,92,134,12,33,10,4,0,0,0,3,4,0,19,320,0,23,58,117,28,28,23,15,8,3,15,4,0,0,30,353,3,3,22,49,112,156,72,24,3,5,12,0,12,3,21,492,0,87,67,83,82,68,137,99,15,20,17,27,28,19,40,799,6,174,1273,849,59,35,31,18,7,16,17,12,4,7,145,2648,0,3,25,62,235,283,130,56,13,16,33,18,23,16,27,943,0,10,16,120,65,198,350,483,105,168,173,212,211,146,71,2319,0,3,12,44,85,146,219,145,32,28,42,46,47,25,22,909,0,0,0,13,29,63,30,37,25,31,29,18,18,12,10,311,0,0,0,11,10,18,16,13,0,0,10,3,7,3,0,93,0,11,34,101,82,207,337,254,Inner West (A)
14200,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,13,0,14,10,4,3,4,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,9,0,0,3,4,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Inverell (A)
