LGA_MAIN11,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,LGA_NAME11
16180,26,26,52,28,35,63,12,47,59,37,157,194,157,134,291,176,107,283,199,94,293,189,78,267,248,69,317,467,86,553,460,13,473,387,82,469,380,5,385,212,4,216,407,4,411,419,17,436,37,48,85,3841,1006,4847,Palerang (A)
16200,32,32,64,63,62,125,44,168,212,91,500,591,442,250,692,387,153,540,344,94,438,340,98,438,289,72,361,438,74,512,308,8,316,197,52,249,149,5,154,50,0,50,57,0,57,409,13,422,95,86,181,3735,1667,5402,Parkes (A)
16250,482,476,958,535,509,1044,327,1471,1798,621,2586,3207,2942,1603,4545,3136,1362,4498,3080,1202,4282,3271,1364,4635,3203,1096,4299,5491,1362,6853,4601,327,4928,3571,822,4393,2583,116,2699,1213,45,1258,1765,69,1834,3613,374,3987,736,749,1485,41170,15533,56703,Parramatta (C)
16350,248,299,547,401,298,699,271,1066,1337,538,2483,3021,3030,1430,4460,3031,1418,4449,3067,1221,4288,3791,1302,5093,3791,885,4676,7149,975,8124,6305,182,6487,4067,375,4442,2770,47,2817,1209,13,1222,1660,21,1681,4243,234,4477,922,649,1571,46493,12898,59391,Penrith (C)
16370,113,129,242,126,85,211,37,227,264,91,570,661,514,653,1167,649,483,1132,855,386,1241,844,365,1209,965,259,1224,1715,368,2083,1686,58,1744,2011,387,2398,1501,30,1531,741,14,755,1481,10,1491,1845,105,1950,247,224,471,15421,4353,19774,Pittwater (A)
16380,121,160,281,285,256,541,132,867,999,329,2425,2754,2847,1551,4398,2573,996,3569,2355,619,2974,1868,449,2317,1730,254,1984,2213,338,2551,1476,43,1519,911,169,1080,673,5,678,233,9,242,277,3,280,1865,90,1955,391,549,940,20279,8783,29062,Port Macquarie-Hastings (A)
16400,113,126,239,184,143,327,114,563,677,250,1638,1888,1948,1045,2993,1749,715,2464,1689,481,2170,1426,470,1896,1466,264,1730,2277,324,2601,1743,47,1790,1182,151,1333,728,11,739,275,5,280,374,4,378,1689,80,1769,337,365,702,17544,6432,23976,Port Stephens (A)
16470,36,66,102,48,60,108,53,239,292,86,638,724,439,409,848,431,405,836,428,412,840,576,471,1047,621,423,1044,1285,538,1823,1326,72,1398,1051,298,1349,966,25,991,504,14,518,910,11,921,904,64,968,144,159,303,9808,4304,14112,Queanbeyan (C)
16550,417,923,1340,342,504,846,170,1170,1340,289,2176,2465,1508,1559,3067,1464,1311,2775,1623,1196,2819,1646,1323,2969,1698,1228,2926,3043,1752,4795,3171,570,3741,3372,1710,5082,2880,268,3148,1578,151,1729,3286,262,3548,2906,933,3839,489,645,1134,29882,17681,47563,Randwick (C)
16610,40,43,83,103,82,185,58,279,337,120,758,878,880,426,1306,755,302,1057,686,202,888,626,125,751,527,62,589,701,62,763,417,11,428,142,31,173,86,0,86,28,0,28,30,3,33,534,24,558,145,171,316,5878,2581,8459,Richmond Valley (A)
16650,320,333,653,342,254,596,175,683,858,324,1667,1991,1881,1086,2967,1843,887,2730,1842,786,2628,1917,866,2783,1843,694,2537,3286,884,4170,2804,211,3015,2003,532,2535,1524,68,1592,735,28,763,1096,36,1132,2335,240,2575,440,445,885,24710,9700,34410,Rockdale (C)
16700,334,611,945,304,286,590,167,769,936,239,1694,1933,1450,1295,2745,1543,911,2454,1600,931,2531,1726,1048,2774,1688,905,2593,3036,1144,4180,2839,214,3053,2920,856,3776,2338,80,2418,1176,38,1214,2132,44,2176,2337,288,2625,338,396,734,26167,11510,37677,Ryde (C)
16900,96,90,186,170,143,313,121,565,686,290,1368,1658,1888,687,2575,1495,500,1995,1387,393,1780,1385,315,1700,1355,217,1572,2465,253,2718,1916,20,1936,1302,124,1426,839,13,852,334,3,337,372,3,375,1639,55,1694,363,270,633,17417,5019,22436,Shellharbour (C)
16950,160,208,368,380,328,708,205,1084,1289,456,2967,3423,3715,1878,5593,3065,1200,4265,2863,778,3641,2260,624,2884,2114,366,2480,2714,400,3114,1812,52,1864,997,157,1154,737,11,748,256,3,259,302,0,302,2487,145,2632,580,629,1209,25103,10830,35933,Shoalhaven (C)
17000,25,46,71,56,51,107,45,130,175,66,314,380,351,186,537,302,151,453,321,127,448,338,102,440,383,100,483,717,185,902,548,19,567,875,217,1092,550,21,571,268,4,272,376,18,394,619,41,660,114,92,206,5954,1804,7758,Singleton (A)
17050,14,13,27,17,17,34,15,53,68,25,122,147,106,109,215,136,84,220,138,71,209,161,64,225,154,46,200,219,50,269,191,12,203,112,31,143,81,9,90,28,0,28,38,0,38,165,22,187,33,29,62,1633,732,2365,Snowy River (A)
17400,15,33,48,53,40,93,32,105,137,50,276,326,297,136,433,236,97,333,192,59,251,162,44,206,141,15,156,161,34,195,86,3,89,46,13,59,37,0,37,7,0,7,14,0,14,191,9,200,45,57,102,1765,921,2686,Tenterfield (A)
17420,363,194,557,356,185,541,184,409,593,266,1053,1319,1591,914,2505,1935,681,2616,2336,584,2920,2409,619,3028,2734,501,3235,5318,777,6095,4998,131,5129,6217,689,6906,4847,53,4900,2602,29,2631,4696,44,4740,4668,143,4811,503,268,771,46023,7274,53297,The Hills Shire (A)
17450,13,11,24,23,13,36,10,39,49,13,95,108,94,56,150,99,48,147,91,34,125,72,30,102,77,24,101,99,18,117,72,3,75,45,8,53,26,3,29,4,0,4,13,0,13,102,0,102,31,26,57,884,408,1292,Tumbarumba (A)
17500,17,30,47,55,40,95,20,134,154,53,338,391,344,168,512,300,136,436,275,93,368,246,92,338,300,51,351,379,65,444,259,5,264,175,28,203,93,5,98,40,0,40,39,0,39,266,15,281,66,71,137,2927,1271,4198,Tumut Shire (A)
17550,172,235,407,297,298,595,151,1048,1199,410,2652,3062,2957,2057,5014,2771,1236,4007,2482,811,3293,2129,616,2745,2035,326,2361,2650,432,3082,1813,71,1884,1014,190,1204,628,13,641,233,11,244,318,7,325,2248,206,2454,511,629,1140,22819,10838,33657,Tweed (A)
17620,33,31,64,46,33,79,17,121,138,46,381,427,351,214,565,331,218,549,275,118,393,282,102,384,271,72,343,506,88,594,323,19,342,321,60,381,222,11,233,59,3,62,98,3,101,387,30,417,91,82,173,3659,1586,5245,Upper Hunter Shire (A)
17750,87,117,204,158,165,323,110,551,661,234,1227,1461,1234,873,2107,1216,819,2035,1194,610,1804,1330,547,1877,1363,369,1732,2268,456,2724,1780,95,1875,1035,181,1216,760,21,781,244,12,256,365,5,370,1527,183,1710,278,301,579,15183,6532,21715,Wagga Wagga (C)
17800,27,19,46,20,22,42,14,41,55,21,109,130,141,74,215,114,49,163,116,38,154,90,21,111,93,11,104,125,14,139,61,0,61,35,10,45,21,0,21,7,0,7,12,0,12,138,3,141,43,26,69,1078,437,1515,Wakool (A)
17850,17,9,26,24,5,29,8,34,42,21,95,116,91,64,155,93,48,141,70,26,96,93,21,114,67,8,75,100,11,111,67,0,67,31,10,41,17,0,17,7,0,7,16,0,16,102,3,105,30,29,59,854,363,1217,Walcha (A)
17900,32,33,65,31,35,66,21,131,152,48,310,358,195,107,302,154,95,249,113,70,183,120,63,183,118,28,146,131,37,168,101,3,104,58,18,76,49,3,52,14,0,14,28,0,28,173,16,189,75,82,157,1461,1031,2492,Walgett (A)
17950,14,7,21,16,12,28,8,28,36,12,107,119,62,50,112,88,34,122,66,35,101,73,25,98,67,12,79,93,16,109,65,0,65,28,8,36,15,0,15,8,0,8,9,0,9,92,3,95,25,26,51,741,363,1104,Warren (A)
18000,225,255,480,272,296,568,135,716,851,254,1846,2100,1450,1829,3279,1689,1292,2981,2144,1170,3314,2079,1197,3276,2395,923,3318,4357,1327,5684,4139,305,4444,4826,1042,5868,3658,94,3752,1897,49,1946,3447,67,3514,3724,356,4080,552,630,1182,37243,13394,50637,Warringah (A)
17350,24,24,48,18,12,30,10,82,92,31,231,262,227,128,355,191,77,268,192,60,252,133,29,162,139,18,157,185,18,203,100,3,103,59,9,68,36,0,36,9,0,9,13,0,13,146,11,157,26,49,75,1539,751,2290,Temora (A)
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10050,73,119,192,126,162,288,90,533,623,230,1275,1505,1111,975,2086,1065,847,1912,1036,592,1628,1096,483,1579,1020,322,1342,1765,363,2128,1442,72,1514,769,173,942,541,21,562,192,9,201,273,7,280,1127,135,1262,248,325,573,12204,6413,18617,Albury (C)
10110,34,66,100,67,104,171,39,264,303,114,547,661,494,455,949,554,367,921,516,255,771,524,209,733,462,149,611,763,171,934,579,27,606,358,83,441,264,4,268,107,0,107,124,0,124,578,76,654,112,123,235,5689,2900,8589,Armidale Dumaresq (A)
17640,20,21,41,49,44,93,14,65,79,33,213,246,201,128,329,181,91,272,184,61,245,208,49,257,167,27,194,247,27,274,203,4,207,109,24,133,52,0,52,21,0,21,34,0,34,228,3,231,46,45,91,1997,802,2799,Upper Lachlan Shire (A)
17650,12,10,22,22,16,38,14,56,70,37,134,171,196,103,299,162,73,235,175,41,216,157,39,196,156,20,176,209,22,231,136,0,136,64,10,74,52,0,52,20,3,23,20,0,20,183,3,186,31,27,58,1646,557,2203,Uralla (A)
