LGA_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,LGA_NAME11
15650,1086,86,107,23,9,1311,3297,96,142,23,9,3567,159,10,8,0,0,177,196,9,38,0,0,243,3652,115,188,23,9,3987,184,15,22,11,0,232,4922,216,317,57,18,5530,Muswellbrook (A)
15700,1829,135,258,82,0,2304,4046,169,191,71,0,4477,284,10,11,12,0,317,153,6,27,0,0,186,4483,185,229,83,0,4980,242,27,45,17,0,331,6554,347,532,182,0,7615,Nambucca (A)
15750,1276,15,200,28,0,1519,2491,18,126,26,12,2673,138,0,4,0,0,142,184,4,30,0,0,218,2813,22,160,26,12,3033,187,0,28,15,0,230,4276,37,388,69,12,4782,Narrabri (A)
15800,707,13,56,3,3,782,1141,14,17,4,4,1180,57,0,0,0,0,57,93,0,9,0,0,102,1291,14,26,4,4,1339,99,3,8,13,0,123,2097,30,90,20,7,2244,Narrandera (A)
15850,708,26,63,16,0,813,1318,15,12,7,3,1355,85,0,0,0,0,85,88,3,3,0,0,94,1491,18,15,7,3,1534,94,0,5,4,0,103,2293,44,83,27,3,2450,Narromine (A)
15900,9112,1990,2520,38,17,13677,30031,4211,4332,137,56,38767,1079,175,216,6,0,1476,1326,352,560,14,7,2259,32436,4738,5108,157,63,42502,1440,329,495,4,4,2272,42988,7057,8123,199,84,58451,Newcastle (C)
15950,290,324,1903,8,4,2529,3380,3530,15840,76,35,22861,78,77,508,0,0,663,102,156,1419,13,6,1696,3560,3763,17767,89,41,25220,84,81,506,3,7,681,3934,4168,20176,100,52,28430,North Sydney (A)
16100,481,16,24,11,0,532,1105,15,15,5,0,1140,71,0,0,0,0,71,65,0,4,0,0,69,1241,15,19,5,0,1280,69,3,3,0,0,75,1791,34,46,16,0,1887,Oberon (A)
16150,2768,362,371,32,0,3533,7935,458,303,36,0,8732,383,37,20,0,3,443,445,65,57,9,0,576,8763,560,380,45,3,9751,451,57,51,23,0,582,11982,979,802,100,3,13866,Orange (C)
11700,234,0,13,14,23,284,291,0,24,12,23,350,14,0,0,4,0,18,25,0,3,0,0,28,330,0,27,16,23,396,42,0,3,11,3,59,606,0,43,41,49,739,Central Darling (A)
11720,4261,332,271,17,3,4884,10674,408,224,42,7,11355,568,22,6,3,0,599,558,57,28,3,0,646,11800,487,258,48,7,12600,647,62,24,6,4,743,16708,881,553,71,14,18227,Cessnock (C)
11730,4458,320,484,257,15,5534,10574,372,459,183,7,11595,716,28,40,18,3,805,484,32,70,26,0,612,11774,432,569,227,10,13012,572,41,49,44,5,711,16804,793,1102,528,30,19257,Clarence Valley (A)
11750,452,4,41,16,0,513,936,13,58,18,5,1030,39,0,6,0,0,45,53,3,15,3,0,74,1028,16,79,21,5,1149,53,0,6,0,0,59,1533,20,126,37,5,1721,Cobar (A)
11800,3771,868,928,389,3,5959,14225,1644,1222,302,5,17398,642,105,85,18,0,850,592,130,158,28,0,908,15459,1879,1465,348,5,19156,635,129,151,42,3,960,19865,2876,2544,779,11,26075,Coffs Harbour (C)
16180,570,17,6,35,0,628,3567,37,9,85,3,3701,207,4,0,6,0,217,143,6,0,10,0,159,3917,47,9,101,3,4077,114,8,3,19,0,144,4601,72,18,155,3,4849,Palerang (A)
16200,1517,95,99,24,0,1735,2924,61,59,16,4,3064,193,9,7,0,0,209,178,4,9,4,0,195,3295,74,75,20,4,3468,161,14,16,9,0,200,4973,183,190,53,4,5403,Parkes (A)
11250,2341,33,132,9,0,2515,3822,28,121,13,4,3988,237,3,8,0,3,251,268,6,9,0,0,283,4327,37,138,13,7,4522,348,5,44,3,0,400,7016,75,314,25,7,7437,Broken Hill (C)
16250,5218,1268,3364,25,15,9890,22131,5568,13441,73,71,41284,696,186,455,4,4,1345,749,283,873,6,4,1915,23576,6037,14769,83,79,44544,1134,276,850,4,6,2270,29928,7581,18983,112,100,56704,Parramatta (C)
16350,7621,1572,1232,103,44,10572,36397,4120,2344,92,25,42978,1191,149,93,3,3,1439,1563,311,332,13,0,2219,39151,4580,2769,108,28,46636,1638,276,241,15,12,2182,48410,6428,4242,226,84,59390,Penrith (C)
16370,1232,304,591,23,3,2153,12300,1652,1837,95,8,15892,382,62,108,3,0,555,318,47,169,16,0,550,13000,1761,2114,114,8,16997,400,102,118,4,0,624,14632,2167,2823,141,11,19774,Pittwater (A)
16380,4801,1208,1076,421,3,7509,15176,1753,1388,274,13,18604,789,122,98,26,3,1038,569,111,163,34,0,877,16534,1986,1649,334,16,20519,652,154,187,42,0,1035,21987,3348,2912,797,19,29063,Port Macquarie-Hastings (A)
12500,788,100,64,18,0,970,1501,31,48,27,4,1611,85,6,4,0,0,95,82,12,0,3,0,97,1668,49,52,30,4,1803,112,13,10,5,0,140,2568,162,126,53,4,2913,Deniliquin (A)
12600,2611,263,575,28,0,3477,8023,399,450,53,0,8925,409,32,24,0,3,468,497,51,81,3,3,635,8929,482,555,56,6,10028,384,54,70,26,0,534,11924,799,1200,110,6,14039,Dubbo (C)
12700,773,31,17,9,0,830,1943,10,11,11,0,1975,115,4,0,0,0,119,82,3,0,0,0,85,2140,17,11,11,0,2179,103,4,0,0,0,107,3016,52,28,20,0,3116,Dungog (A)
12750,2850,389,387,146,4,3776,8005,498,390,123,4,9020,539,32,24,10,0,605,325,46,38,4,3,416,8869,576,452,137,7,10041,373,65,56,27,0,521,12092,1030,895,310,11,14338,Eurobodalla (A)
12850,9435,2026,2582,63,12,14118,27675,4616,3119,80,35,35525,1091,230,214,3,3,1541,1163,259,306,3,3,1734,29929,5105,3639,86,41,38800,1981,458,467,14,0,2920,41345,7589,6688,163,53,55838,Fairfield (C)
12900,1031,62,97,8,0,1198,1837,44,37,11,6,1935,123,3,0,0,0,126,114,10,12,0,0,136,2074,57,49,11,6,2197,123,7,22,14,0,166,3228,126,168,33,6,3561,Forbes (A)
12950,538,3,44,9,0,594,813,0,44,10,0,867,66,0,0,0,0,66,35,0,10,0,0,45,914,0,54,10,0,978,59,0,10,9,0,78,1511,3,108,28,0,1650,Gilgandra (A)
13010,1099,67,35,6,5,1212,1787,41,21,7,3,1859,128,4,0,0,0,132,115,6,4,3,0,128,2030,51,25,10,3,2119,124,4,8,0,0,136,3253,122,68,16,8,3467,Glen Innes Severn (A)
13050,549,7,48,20,0,624,1120,7,18,33,0,1178,59,3,0,0,0,62,59,3,4,3,0,69,1238,13,22,36,0,1309,56,3,6,3,0,68,1843,23,76,59,0,2001,Gloucester (A)
13100,7981,2896,1738,308,27,12950,34201,4736,2805,238,67,42047,1461,314,169,26,4,1974,1487,347,291,27,7,2159,37149,5397,3265,291,78,46180,1402,427,294,34,7,2164,46532,8720,5297,633,112,61294,Gosford (C)
13310,2419,234,207,65,4,2929,5785,275,171,77,25,6333,393,16,7,4,0,420,338,32,33,8,0,411,6516,323,211,89,25,7164,297,24,34,7,0,362,9232,581,452,161,29,10455,Goulburn Mulwaree (A)
13320,2896,828,520,186,4,4434,6831,773,590,169,9,8372,380,61,31,18,0,490,306,60,82,12,0,460,7517,894,703,199,9,9322,342,101,71,35,0,549,10755,1823,1294,420,13,14305,Great Lakes (A)
13340,908,22,9,11,0,950,2253,8,12,8,3,2284,114,0,0,3,0,117,114,3,0,0,0,117,2481,11,12,11,3,2518,131,7,0,0,3,141,3520,40,21,22,6,3609,Greater Hume Shire (A)
13380,4196,416,616,121,3,5352,9910,523,383,114,11,10941,587,32,25,3,0,647,416,54,66,10,4,550,10913,609,474,127,15,12138,506,56,95,11,3,671,15615,1081,1185,259,21,18161,Greater Taree (C)
13450,2042,188,218,28,0,2476,4450,266,259,22,0,4997,253,15,14,0,0,282,239,25,47,3,0,314,4942,306,320,25,0,5593,304,29,47,4,0,384,7288,523,585,57,0,8453,Griffith (C)
13500,432,6,22,17,0,477,698,14,26,18,0,756,60,0,0,3,0,63,45,0,0,5,0,50,803,14,26,26,0,869,53,0,4,0,0,57,1288,20,52,43,0,1403,Gundagai (A)
13550,1216,60,156,22,0,1454,2348,47,104,21,3,2523,119,8,8,0,0,135,162,5,20,0,0,187,2629,60,132,21,3,2845,164,5,16,6,0,191,4009,125,304,49,3,4490,Gunnedah (A)
13650,520,17,12,8,0,557,837,7,6,5,0,855,67,0,0,0,0,67,49,0,7,0,0,56,953,7,13,5,0,978,67,0,3,8,0,78,1540,24,28,21,0,1613,Guyra (A)
13660,717,0,31,21,0,769,1010,3,8,16,0,1037,66,0,0,3,0,69,49,3,3,0,0,55,1125,6,11,19,0,1161,83,0,4,0,0,87,1925,6,46,40,0,2017,Gwydir (A)
13700,485,15,10,7,0,517,738,5,11,10,0,764,47,0,0,0,0,47,49,0,0,3,0,52,834,5,11,13,0,863,49,3,0,3,0,55,1368,23,21,23,0,1435,Harden (A)
13800,2775,619,294,116,0,3804,13377,1082,364,93,10,14926,575,65,27,5,0,672,550,107,43,15,4,719,14502,1254,434,113,14,16317,606,68,35,15,0,724,17883,1941,763,244,14,20845,Hawkesbury (C)
13850,368,4,40,3,0,415,595,0,17,3,0,615,36,0,3,0,0,39,37,0,6,0,0,43,668,0,26,3,0,697,41,0,10,3,0,54,1077,4,76,9,0,1166,Hay (A)
13950,4255,1020,1612,20,3,6910,14253,3225,5323,32,12,22845,523,110,214,4,3,854,553,163,378,3,0,1097,15329,3498,5915,39,15,24796,759,193,343,12,0,1307,20343,4711,7870,71,18,33013,Holroyd (C)
14000,3460,698,1416,44,6,5624,33862,3001,6422,106,27,43418,852,103,214,0,3,1172,573,93,350,7,0,1023,35287,3197,6986,113,30,45613,1013,133,279,6,3,1434,39760,4028,8681,163,39,52671,Hornsby (A)
14100,311,41,303,7,0,662,2433,366,645,25,0,3469,63,10,40,0,0,113,55,13,59,4,0,131,2551,389,744,29,0,3713,61,12,40,0,0,113,2923,442,1087,36,0,4488,Hunters Hill (A)
10050,2935,359,1141,44,0,4479,10030,552,1426,38,11,12057,448,30,75,0,0,553,502,69,228,4,3,806,10980,651,1729,42,14,13416,494,45,177,5,0,721,14409,1055,3047,91,14,18616,Albury (C)
10110,1397,156,290,13,5,1861,4856,270,505,28,6,5665,300,11,33,0,0,344,298,31,80,3,0,412,5454,312,618,31,6,6421,230,23,50,4,0,307,7081,491,958,48,11,8589,Armidale Dumaresq (A)
10750,13160,1968,1445,148,16,16737,57230,7609,2657,175,48,67719,1796,233,115,16,3,2163,2423,442,248,21,3,3137,61449,8284,3020,212,54,73019,3065,468,339,25,4,3901,77674,10720,4804,385,74,93657,Blacktown (C)
10800,661,9,42,10,0,722,1247,6,29,19,0,1301,75,0,3,0,0,78,64,0,7,0,0,71,1386,6,39,19,0,1450,79,0,5,4,0,88,2126,15,86,33,0,2260,Bland (A)
10850,625,21,28,8,0,682,1522,29,20,11,0,1582,97,0,0,0,0,97,82,3,7,0,0,92,1701,32,27,11,0,1771,91,3,4,0,0,98,2417,56,59,19,0,2551,Blayney (A)
10900,3770,447,212,9,3,4441,20110,811,273,19,15,21228,788,47,11,3,0,849,661,54,46,10,0,771,21559,912,330,32,15,22848,645,57,32,4,4,742,25974,1416,574,45,22,28031,Blue Mountains (C)
10950,326,8,11,8,0,353,547,12,9,11,3,582,20,0,0,0,0,20,28,3,3,0,0,34,595,15,12,11,3,636,50,3,4,3,0,60,971,26,27,22,3,1049,Bogan (A)
11000,330,11,10,3,0,354,542,0,6,5,0,553,39,0,0,0,0,39,24,0,0,0,0,24,605,0,6,5,0,616,34,0,0,0,0,34,969,11,16,8,0,1004,Bombala (A)
11050,290,23,0,5,0,318,541,5,3,8,0,557,34,0,0,0,0,34,30,0,0,0,0,30,605,5,3,8,0,621,23,3,0,3,0,29,918,31,3,16,0,968,Boorowa (A)
11100,1281,406,1386,6,8,3087,3867,1470,4202,55,23,9617,121,58,187,3,0,369,109,50,288,6,3,456,4097,1578,4677,64,26,10442,199,83,306,4,0,592,5577,2067,6369,74,34,14121,Botany Bay (C)
11150,300,0,12,6,0,318,457,4,13,5,0,479,22,0,0,0,0,22,45,0,0,0,0,45,524,4,13,5,0,546,65,0,4,4,0,73,889,4,29,15,0,937,Bourke (A)
11200,244,0,17,3,5,269,229,0,13,3,0,245,11,0,0,0,0,11,23,0,3,0,0,26,263,0,16,3,0,282,22,0,3,0,0,25,529,0,36,6,5,576,Brewarrina (A)
11520,2338,406,1250,23,3,4020,9509,2685,9245,89,41,21569,260,68,235,6,4,573,274,114,618,13,4,1023,10043,2867,10098,108,49,23165,372,98,352,4,4,830,12753,3371,11700,135,56,28015,Canada Bay (A)
11550,5675,959,4159,62,31,10886,16306,3239,10375,154,108,30182,553,98,450,8,4,1113,595,159,780,12,4,1550,17454,3496,11605,174,116,32845,971,226,982,12,4,2195,24100,4681,16746,248,151,45926,Canterbury (C)
11600,300,5,13,12,0,330,513,3,11,8,0,535,26,0,0,0,0,26,36,0,3,7,0,46,575,3,14,15,0,607,43,0,0,3,0,46,918,8,27,30,0,983,Carrathool (A)
16400,4027,715,355,250,5,5352,13770,1578,591,188,9,16136,690,78,39,14,3,824,584,131,57,31,0,803,15044,1787,687,233,12,17763,681,96,54,31,0,862,19752,2598,1096,514,17,23977,Port Stephens (A)
16470,1467,431,616,9,3,2526,7144,1449,1364,40,8,10005,269,60,66,3,0,398,329,149,242,8,0,728,7742,1658,1672,51,8,11131,280,67,96,12,0,455,9489,2156,2384,72,11,14112,Queanbeyan (C)
16550,2326,1030,4035,42,6,7439,11141,5764,18145,140,43,35233,319,160,682,7,5,1173,270,219,1598,7,5,2099,11730,6143,20425,154,53,38505,493,235,887,3,0,1618,14549,7408,25347,199,59,47562,Randwick (C)
16610,2164,209,353,105,0,2831,4202,192,218,68,4,4684,286,18,8,6,0,318,234,21,35,10,0,300,4722,231,261,84,4,5302,258,27,38,4,0,327,7144,467,652,193,4,8460,Richmond Valley (A)
10150,1132,261,1206,14,4,2617,4306,1406,5441,64,22,11239,121,54,231,5,0,411,119,60,350,7,0,536,4546,1520,6022,76,22,12186,182,54,249,3,4,492,5860,1835,7477,93,30,15295,Ashfield (A)
10200,2130,440,1291,17,6,3884,7829,1982,6050,28,18,15907,247,60,196,3,0,506,250,75,390,5,3,723,8326,2117,6636,36,21,17136,537,114,407,3,0,1061,10993,2671,8334,56,27,22081,Auburn (C)
10250,2071,532,744,230,0,3577,8017,1221,977,214,5,10434,372,64,73,12,0,521,305,113,110,11,0,539,8694,1398,1160,237,5,11494,330,68,92,35,0,525,11095,1998,1996,502,5,15596,Ballina (A)
10300,251,13,11,0,0,275,443,0,9,7,0,459,22,0,0,0,0,22,25,3,3,0,0,31,490,3,12,7,0,512,29,3,3,6,0,41,770,19,26,13,0,828,Balranald (A)
10350,8932,1981,2304,68,16,13301,26962,6468,4524,134,60,38148,1063,223,208,3,3,1500,974,292,321,19,8,1614,28999,6983,5053,156,71,41262,1691,409,549,19,5,2673,39622,9373,7906,243,92,57236,Bankstown (C)
10470,2411,325,349,20,4,3109,7999,538,405,22,21,8985,437,20,25,3,0,485,476,60,74,4,5,619,8912,618,504,29,26,10089,337,65,47,9,0,458,11660,1008,900,58,30,13656,Bathurst Regional (A)
10550,2283,292,408,94,9,3086,7088,452,517,123,4,8184,479,44,37,10,0,570,321,27,46,9,0,403,7888,523,600,142,4,9157,330,52,38,11,3,434,10501,867,1046,247,16,12677,Bega Valley (A)
10600,953,46,120,105,0,1224,3109,45,67,61,4,3286,161,3,7,4,0,175,138,6,9,13,0,166,3408,54,83,78,4,3627,133,6,13,7,0,159,4494,106,216,190,4,5010,Bellingen (A)
10650,839,65,69,37,0,1010,1734,54,67,36,3,1894,114,7,3,0,0,124,74,6,12,6,0,98,1922,67,82,42,3,2116,94,12,10,6,0,122,2855,144,161,85,3,3248,Berrigan (A)
11300,1098,230,559,5,0,1892,4106,866,2891,44,5,7912,134,24,57,3,0,218,95,27,143,3,4,272,4335,917,3091,50,9,8402,199,53,175,4,3,434,5632,1200,3825,59,12,10728,Burwood (A)
11350,1374,212,193,135,0,1914,6914,657,320,122,22,8035,330,31,17,13,0,391,305,89,39,20,0,453,7549,777,376,155,22,8879,272,34,36,62,0,404,9195,1023,605,352,22,11197,Byron (A)
11400,1161,30,36,34,3,1264,2865,20,24,24,3,2936,218,0,3,3,0,224,127,6,3,3,0,139,3210,26,30,30,3,3299,131,7,4,0,0,142,4502,63,70,64,6,4705,Cabonne (A)
11450,1923,299,113,73,7,2415,12897,617,124,59,19,13716,489,30,14,3,0,536,601,38,14,7,0,660,13987,685,152,69,19,14912,487,35,14,13,0,549,16397,1019,279,155,26,17876,Camden (A)
11500,6464,1961,643,27,3,9098,27689,4353,871,108,15,33036,1078,226,62,5,0,1371,1366,424,103,3,0,1896,30133,5003,1036,116,15,36303,1453,321,105,4,3,1886,38050,7285,1784,147,21,47287,Campbelltown (C)
11860,98,0,0,5,0,103,368,0,0,5,0,373,33,0,0,0,0,33,23,0,0,0,0,23,424,0,0,5,0,429,15,0,0,0,0,15,537,0,0,10,0,547,Conargo (A)
12000,408,4,38,5,0,455,846,0,11,11,0,868,64,0,0,0,0,64,45,0,4,0,0,49,955,0,15,11,0,981,45,0,6,0,0,51,1408,4,59,16,0,1487,Coolamon (A)
12050,808,88,69,13,0,978,2310,56,36,17,5,2424,149,3,7,0,0,159,133,19,3,3,0,158,2592,78,46,20,5,2741,89,10,7,3,0,109,3489,176,122,36,5,3828,Cooma-Monaro (A)
12150,569,14,26,5,0,614,714,12,11,10,3,750,46,0,3,0,0,49,53,3,0,0,0,56,813,15,14,10,3,855,68,0,0,0,0,68,1450,29,40,15,3,1537,Coonamble (A)
12200,903,21,72,7,0,1003,1567,12,45,3,0,1627,102,4,3,0,0,109,95,0,11,0,0,106,1764,16,59,3,0,1842,96,3,9,0,0,108,2763,40,140,10,0,2953,Cootamundra (A)
12300,1032,55,203,33,3,1326,2382,60,133,26,4,2605,125,3,11,3,3,145,106,8,24,5,0,143,2613,71,168,34,7,2893,151,12,18,12,0,193,3796,138,389,79,10,4412,Corowa Shire (A)
12350,1397,79,131,23,0,1630,2452,48,46,16,0,2562,167,0,6,0,0,173,133,9,11,0,0,153,2752,57,63,16,0,2888,182,9,18,4,9,222,4331,145,212,43,9,4740,Cowra (A)
14150,3027,825,1263,32,3,5150,11989,2222,5717,93,6,20027,397,84,177,5,0,663,312,94,311,8,0,725,12698,2400,6205,106,6,21415,524,157,295,5,0,981,16249,3382,7763,143,9,27546,Hurstville (C)
14200,1737,30,262,38,0,2067,3142,30,136,23,0,3331,196,0,12,3,0,211,193,12,17,0,0,222,3531,42,165,26,0,3764,203,4,36,8,0,251,5471,76,463,72,0,6082,Inverell (A)
14250,142,5,6,0,0,153,314,0,3,3,0,320,32,0,0,0,3,35,12,0,3,0,0,15,358,0,6,3,3,370,23,0,0,0,0,23,523,5,12,3,3,546,Jerilderie (A)
16650,3689,991,2265,72,6,7023,11865,3003,8905,154,45,23972,425,123,364,9,0,921,377,126,629,15,4,1151,12667,3252,9898,178,49,26044,651,141,528,22,0,1342,17007,4384,12691,272,55,34409,Rockdale (C)
16700,2913,842,1909,15,4,5683,15616,4407,8820,35,18,28896,414,128,291,3,0,836,360,140,589,3,0,1092,16390,4675,9700,41,18,30824,581,174,410,3,3,1171,19884,5691,12019,59,25,37678,Ryde (C)
16900,3583,823,474,169,4,5053,13113,1370,522,123,0,15128,630,76,33,10,0,749,567,122,60,7,0,756,14310,1568,615,140,0,16633,569,101,55,25,0,750,18462,2492,1144,334,4,22436,Shellharbour (C)
