lga_name_2016,lga_code_2016,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Mosman Park (T),55740,22,2860,2886,3,344,356,0,73,71,26,3282,3312
Mount Magnet (S),55810,9,82,97,15,24,39,3,3,7,31,114,143
Mount Marshall (S),55880,4,151,157,0,39,39,0,7,7,4,193,202
West Coast (M),65610,118,1137,1256,41,402,444,10,54,63,170,1593,1763
West Tamar (M),65810,223,6899,7125,37,1258,1296,6,202,209,271,8353,8625
Murchison (S),56160,4,19,26,6,3,13,0,0,0,16,21,36
Murray (S),56230,135,4758,4892,35,923,961,11,135,142,176,5821,6000
Nannup (S),56300,9,386,396,0,102,103,0,11,17,9,507,514
Latrobe (M) (Tas.),63810,212,2985,3200,52,755,805,6,100,107,270,3843,4109
Launceston (C),64010,938,18818,19754,243,4719,4960,35,667,703,1214,24204,25414
Meander Valley (M),64210,199,5513,5710,75,1404,1473,13,175,187,283,7087,7371
Northern Midlands (M),64610,122,3552,3675,40,1079,1118,5,134,135,170,4763,4927
Sorell (M),64810,241,4094,4327,53,983,1036,8,134,140,299,5208,5508
Narembeen (S),56370,4,231,239,7,51,55,0,12,12,11,295,302
Narrogin (S),56460,53,1282,1337,53,364,415,11,57,67,115,1708,1820
Nedlands (C),56580,32,6534,6560,3,448,453,0,124,124,32,7107,7141
Ngaanyatjarraku (S),56620,103,62,165,143,10,154,40,4,43,287,78,364
Northam (S),56730,117,2813,2933,95,745,837,5,100,102,220,3656,3876
Northampton (S),56790,39,905,944,26,281,304,3,43,43,63,1231,1291
Sandstone (S),57630,0,26,26,0,8,11,0,3,3,0,34,38
Serpentine-Jarrahdale (S),57700,188,7414,7599,19,638,654,7,136,141,218,8180,8399
Shark Bay (S),57770,21,281,303,13,56,64,0,20,21,34,352,391
South Perth (C),57840,128,14363,14491,55,1455,1509,8,332,345,190,16150,16341
Stirling (C),57910,740,67723,68465,248,10754,11003,60,1894,1955,1050,80371,81417
Subiaco (C),57980,44,6910,6951,14,718,736,3,161,163,59,7788,7846
Swan (C),58050,1092,37619,38712,278,4545,4825,60,895,956,1435,43064,44495
Tammin (S),58190,7,101,104,5,20,23,0,7,7,13,124,137
Three Springs (S),58260,8,157,166,9,36,39,3,7,8,21,196,216
Perenjori (S),57000,10,115,132,0,34,33,0,8,6,17,152,167
Perth (C),57080,45,7676,7727,12,807,820,7,212,216,64,8703,8764
Pingelly (S),57140,21,280,300,27,104,137,4,6,12,55,392,446
Plantagenet (S),57210,37,1377,1416,20,378,396,5,57,59,62,1811,1870
Port Hedland (T),57280,488,2961,3444,272,335,608,77,114,184,828,3407,4239
Quairading (S),57350,15,279,289,12,82,99,0,6,6,28,366,393
Ravensthorpe (S),57420,15,482,494,3,107,107,0,13,18,21,596,620
Rockingham (C),57490,934,35789,36717,147,4662,4812,33,919,949,1110,41369,42481
Southern Midlands (M),65010,103,1476,1582,47,563,606,9,62,70,154,2103,2255
Tasman (M),65210,50,662,705,15,210,223,0,29,29,67,895,959
Waratah/Wynyard (M),65410,392,3627,4014,102,1153,1258,9,100,111,499,4876,5382
Toodyay (S),58330,48,1377,1421,8,247,253,4,65,68,52,1687,1741
Trayning (S),58400,6,90,98,7,41,40,0,0,0,12,129,139
No usual address (Tas.),69499,0,0,0,0,0,0,0,0,0,0,0,0
Upper Gascoyne (S),58470,4,14,26,28,5,36,0,3,4,36,27,60
Victoria Park (T),58510,160,11284,11446,70,1665,1736,16,384,401,244,13336,13576
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,0,0,0
Alice Springs (T),70200,828,5646,6474,489,777,1272,108,214,319,1427,6631,8059
Victoria Plains (S),58540,9,255,264,3,68,72,0,5,5,14,327,339
Vincent (C),58570,94,11557,11650,19,1407,1432,15,294,308,130,13261,13392
Wagin (S),58610,11,519,535,5,159,166,0,19,25,23,703,723
Wandering (S),58680,0,133,137,0,27,30,0,3,3,3,164,169
Wanneroo (C),58760,911,53666,54578,191,5502,5697,39,1170,1204,1139,60341,61483
Waroona (S),58820,37,1069,1107,5,290,299,0,48,48,41,1415,1452
West Arthur (S),58890,16,235,250,3,71,78,0,0,0,16,311,333
Westonia (S),59030,0,64,63,0,17,18,0,3,3,3,78,82
Palmerston (C),72800,1093,8092,9180,337,895,1234,89,277,359,1515,9261,10781
Roper Gulf (R),73600,373,217,589,368,44,414,53,94,145,794,360,1157
Tiwi Islands (R),74050,344,63,409,127,17,143,29,7,33,499,90,589
Victoria Daly (R),74550,111,186,301,208,67,276,18,19,34,340,266,602
Wickepin (S),59100,3,201,203,4,54,60,0,7,7,10,270,276
Wagait (S),74560,10,133,145,8,27,31,0,10,12,18,172,190
West Arnhem (R),74660,344,334,684,332,46,378,27,35,61,707,414,1123
West Daly (R),74680,105,73,170,250,6,259,19,3,24,374,78,452
Unincorporated NT,79399,159,1628,1780,86,307,397,37,125,165,288,2058,2345
No usual address (NT),79499,0,0,0,0,0,0,0,0,0,0,0,0
Williams (S),59170,9,264,274,0,69,72,0,9,9,7,343,353
Wiluna (S),59250,17,34,52,34,7,41,0,5,5,44,47,95
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated ACT,89399,2767,125509,128278,370,11069,11440,109,2828,2941,3254,139409,142664
No usual address (ACT),89499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,35,1032,1070,27,210,236,8,53,60,69,1291,1360
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0
Wongan-Ballidu (S),59310,22,403,420,16,102,116,0,12,12,36,514,549
Woodanilling (S),59320,0,124,123,0,22,20,0,5,5,3,152,154
Wyalkatchem (S),59330,4,153,156,0,52,52,0,4,4,4,207,214
Wyndham-East Kimberley (S),59340,255,1250,1506,349,229,576,51,51,103,659,1532,2186
Yalgoo (S),59350,4,25,25,16,5,24,3,4,3,22,35,59
Yilgarn (S),59360,5,289,298,12,94,107,0,13,8,19,395,416
York (S),59370,25,1067,1097,21,232,257,0,40,44,45,1344,1391
