LGA_MAIN11,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total,LGA_NAME11
10850,1514,727,583,882,947,847,616,392,90,6598,8,0,0,6,0,0,0,0,3,17,21,24,29,30,31,29,19,3,4,190,0,0,3,6,0,3,0,0,0,12,3,3,7,4,3,0,0,3,0,23,0,0,0,5,0,0,3,0,0,8,0,0,3,0,0,0,3,0,0,6,0,0,6,0,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,48,45,37,35,25,6,4,251,32,27,48,51,37,35,25,6,7,268,1546,754,631,933,984,882,641,398,97,6866,Blayney (A)
10900,14504,8108,6605,9964,11121,10782,6384,3407,1484,72359,6,12,4,9,13,21,3,6,5,79,404,376,275,252,227,305,228,94,51,2212,0,8,15,9,17,19,12,3,0,83,8,10,16,16,20,18,21,3,0,112,0,0,0,5,4,6,6,0,0,21,7,4,9,5,9,14,3,0,0,51,3,0,5,0,3,3,3,0,0,17,0,0,4,0,0,0,0,0,0,4,0,4,3,7,3,7,3,3,0,30,0,0,0,0,0,0,0,0,0,0,422,402,327,294,283,372,276,103,51,2530,428,414,331,303,296,393,279,109,56,2609,14932,8522,6936,10267,11417,11175,6663,3516,1540,74968,Blue Mountains (C)
10150,6091,4943,7600,6170,5446,4004,2460,2109,1174,39997,12,14,13,8,10,10,3,3,4,77,89,141,188,127,127,97,77,41,11,898,3,3,4,12,4,0,7,4,0,37,0,5,4,0,0,8,4,6,3,30,5,0,14,0,0,0,0,0,0,19,0,3,3,4,3,3,0,0,0,16,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,102,152,220,143,134,108,103,51,14,1027,114,166,233,151,144,118,106,54,18,1104,6205,5109,7833,6321,5590,4122,2566,2163,1192,41101,Ashfield (A)
10200,14313,11201,14701,10243,9129,6386,3340,1945,814,72072,34,34,39,32,10,18,6,5,4,182,146,232,311,199,204,139,81,51,31,1394,0,15,31,30,38,25,4,3,0,146,5,9,25,33,22,25,3,3,0,125,0,3,15,13,9,3,3,0,0,46,0,6,13,10,22,13,3,0,0,67,0,0,4,5,7,0,0,0,0,16,0,3,0,0,0,5,0,0,0,8,4,18,7,3,9,3,3,0,0,47,0,0,0,0,0,0,0,0,0,0,155,286,406,293,311,213,97,57,31,1849,189,320,445,325,321,231,103,62,35,2031,14502,11521,15146,10568,9450,6617,3443,2007,849,74103,Auburn (C)
10250,6869,3710,3056,4683,5484,5410,3817,2792,1333,37154,14,10,3,5,3,10,3,7,3,58,188,155,157,164,170,217,227,114,56,1448,11,16,11,19,22,68,96,62,6,311,31,37,68,50,50,67,33,20,3,359,6,0,0,0,5,3,17,6,3,40,4,3,4,5,3,0,3,0,0,22,3,0,0,0,0,7,13,3,0,26,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,11,4,4,0,31,0,0,0,0,0,0,0,0,0,0,243,215,244,242,250,373,393,209,68,2237,257,225,247,247,253,383,396,216,71,2295,7126,3935,3303,4930,5737,5793,4213,3008,1404,39449,Ballina (A)
10950,651,272,264,386,352,259,297,152,47,2680,3,0,0,3,0,3,0,0,0,9,18,45,32,39,35,37,23,4,0,233,0,0,3,0,3,5,6,0,0,17,0,0,12,7,9,0,4,0,0,32,0,0,3,0,5,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,21,49,50,46,52,49,39,7,0,313,24,49,50,49,52,52,39,7,0,322,675,321,314,435,404,311,336,159,47,3002,Bogan (A)
11000,435,199,197,261,355,368,225,137,84,2261,6,0,4,0,0,0,3,0,0,13,5,7,10,9,7,12,9,3,4,66,0,3,0,0,3,4,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,5,13,14,9,13,16,12,6,4,92,11,13,18,9,13,16,15,6,4,105,446,212,215,270,368,384,240,143,88,2366,Bombala (A)
11050,457,218,161,259,336,338,279,148,44,2240,0,3,0,0,3,0,3,3,0,12,7,9,3,8,5,11,12,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,7,12,6,11,8,11,15,0,0,70,7,15,6,11,11,11,18,3,0,82,464,233,167,270,347,349,297,151,44,2322,Boorowa (A)
11100,6955,4638,6118,6028,4958,4015,2990,1863,649,38214,8,7,8,9,4,7,5,3,0,51,79,117,173,138,123,144,80,39,18,911,3,14,20,33,41,24,24,3,0,162,3,11,28,29,34,30,11,5,0,151,0,3,3,14,18,4,0,0,0,42,0,3,14,6,18,14,4,0,0,59,0,6,0,7,8,3,0,0,0,24,4,0,5,8,0,0,0,0,0,17,0,6,12,16,13,7,0,0,0,54,0,0,0,0,0,0,0,0,0,0,89,160,255,251,255,226,119,47,18,1420,97,167,263,260,259,233,124,50,18,1471,7052,4805,6381,6288,5217,4248,3114,1913,667,39685,Botany Bay (C)
11150,631,284,334,376,347,278,181,123,14,2568,3,4,3,3,3,0,3,0,0,19,25,64,24,35,51,57,35,5,3,299,0,0,3,8,5,32,31,13,0,92,3,3,3,7,12,19,45,20,3,115,0,0,3,3,0,10,14,3,0,33,0,3,0,0,0,3,8,0,0,14,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,70,33,53,68,128,136,41,6,563,31,74,36,56,71,128,139,41,6,582,662,358,370,432,418,406,320,164,20,3150,Bourke (A)
11200,432,231,173,207,251,170,81,58,19,1622,5,5,4,4,0,0,0,0,0,18,20,29,21,17,16,11,7,3,0,124,0,3,0,0,0,3,4,3,0,13,3,3,5,0,3,7,0,0,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,26,17,19,21,14,6,0,161,28,40,30,21,19,21,14,6,0,179,460,271,203,228,270,191,95,64,19,1801,Brewarrina (A)
11350,5222,2680,2623,4136,4832,4245,1903,1136,532,27309,4,8,6,4,6,9,3,3,5,48,102,165,227,212,218,259,167,44,24,1418,47,25,72,85,63,145,129,32,7,605,32,41,66,45,63,80,47,13,0,387,6,3,3,11,6,11,20,13,0,73,3,3,11,5,8,15,9,0,0,54,6,0,4,4,3,14,9,6,0,46,3,0,0,3,3,0,0,0,0,9,0,6,5,5,7,17,3,0,0,43,0,0,0,0,0,0,0,0,0,0,199,243,388,370,371,541,384,108,31,2635,203,251,394,374,377,550,387,111,36,2683,5425,2931,3017,4510,5209,4795,2290,1247,568,29992,Byron (A)
11400,2722,1201,1046,1516,1835,1658,1184,690,227,12079,16,3,3,9,6,0,5,8,0,50,42,59,55,45,40,46,35,14,10,346,4,0,0,4,3,4,0,0,0,15,3,4,4,0,5,4,0,0,0,20,0,6,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,59,49,48,59,35,14,10,392,65,72,62,58,54,59,40,22,10,442,2787,1273,1108,1574,1889,1717,1224,712,237,12521,Cabonne (A)
11450,13553,7399,7190,8920,7261,5393,2947,1590,728,54981,8,9,10,9,10,0,8,3,5,62,156,240,189,106,84,102,85,52,21,1035,0,3,0,3,3,6,5,0,0,20,3,3,3,4,13,14,11,3,0,54,0,0,0,3,3,0,0,0,0,6,3,0,3,0,0,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,3,12,0,0,0,0,0,0,0,0,0,0,162,249,201,116,103,129,104,55,24,1143,170,258,211,125,113,129,112,58,29,1205,13723,7657,7401,9045,7374,5522,3059,1648,757,56186,Camden (A)
11500,31455,21662,19871,18608,19901,17049,8126,3745,1310,141727,29,33,38,25,18,17,11,5,6,182,584,873,669,422,334,320,158,97,54,3511,8,11,20,16,11,18,5,0,0,89,13,22,32,34,27,19,11,3,3,164,0,3,3,7,5,4,6,0,3,31,4,9,3,3,9,6,3,0,0,37,0,0,0,3,6,3,0,0,0,12,0,3,0,3,0,0,3,0,0,9,0,13,5,5,5,4,3,5,0,40,0,0,0,0,0,0,0,0,0,0,609,934,732,493,397,374,189,105,60,3893,638,967,770,518,415,391,200,110,66,4075,32093,22629,20641,19126,20316,17440,8326,3855,1376,145802,Campbelltown (C)
11520,12487,8532,12789,11880,9760,7809,5101,3546,1429,73333,16,13,12,11,10,3,3,0,3,71,164,210,309,238,171,227,189,201,126,1835,0,3,12,7,9,5,6,0,0,42,3,9,8,3,15,19,13,3,0,73,0,3,4,0,6,4,0,3,0,20,3,5,3,4,3,3,4,0,0,25,0,4,3,0,3,0,0,0,0,10,0,0,0,3,0,0,3,0,0,6,0,4,8,3,4,3,3,3,0,28,0,0,0,0,0,0,0,0,0,0,170,238,347,258,211,261,218,210,126,2039,186,251,359,269,221,264,221,210,129,2110,12673,8783,13148,12149,9981,8073,5322,3756,1558,75443,Canada Bay (A)
11550,27143,16864,21350,19821,17832,13461,9410,6495,2118,134494,25,32,47,23,20,11,6,15,4,183,293,303,459,330,247,188,144,126,78,2168,3,0,6,0,7,4,10,4,0,34,5,7,6,6,10,14,14,4,0,66,0,0,4,3,0,0,0,0,0,7,0,3,5,7,0,4,5,0,0,24,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,6,0,0,0,10,4,8,3,3,3,8,4,0,0,33,0,0,0,0,0,0,0,0,0,0,305,321,487,349,271,224,177,134,78,2346,330,353,534,372,291,235,183,149,82,2529,27473,17217,21884,20193,18123,13696,9593,6644,2200,137023,Canterbury (C)
11250,3191,1966,1711,1970,2567,2391,1648,1323,476,17243,11,13,10,5,6,3,0,3,0,51,97,144,130,86,112,109,109,48,15,850,4,5,9,12,34,57,57,13,0,191,6,7,19,3,18,17,17,0,0,87,11,25,30,36,41,70,52,13,0,278,0,0,3,4,7,9,4,3,0,30,0,0,0,0,0,3,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,12,0,0,0,0,0,0,0,0,0,0,118,184,191,141,212,270,251,80,15,1462,129,197,201,146,218,273,251,83,15,1513,3320,2163,1912,2116,2785,2664,1899,1406,491,18756,Broken Hill (C)
