LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
14750,4099,4327,8426,2039,1013,3052,356,930,1286,156,161,317,106,101,207,2657,2205,4862,1185,1831,3016,4.0,4.6,4.3,64.8,50.9,57.7,62.2,48.6,55.2,35,33,68,23,49,72,222,350,572,144,219,363,1081,620,1701,4351,4404,8755,717,787,1504,3007,3007,6014,1752,1847,3599,Leeton (A)
14800,20268,23143,43411,11621,9654,21275,2267,4918,7185,602,940,1542,700,558,1258,15190,16070,31260,3721,5741,9462,4.6,3.5,4.0,74.9,69.4,72.0,71.5,67.0,69.1,2302,2792,5094,545,1004,1549,5566,7037,12603,1735,2405,4140,2666,1623,4289,18272,20400,38672,4463,5222,9685,10373,11752,22125,10561,12085,22646,Leichhardt (A)
14850,16556,17793,34349,6405,3978,10383,2491,4539,7030,512,568,1080,930,730,1660,10338,9815,20153,5444,7316,12760,9.0,7.4,8.2,62.4,55.2,58.7,56.8,51.1,53.8,386,348,734,202,435,637,1642,2397,4039,967,1575,2542,4576,2913,7489,16754,17588,34342,2952,3251,6203,11212,11716,22928,7312,7949,15261,Lismore (C)
14870,8294,8092,16386,3397,1553,4950,700,1853,2553,299,259,558,363,260,623,4759,3925,8684,3063,3737,6800,7.6,6.6,7.2,57.4,48.5,53.0,53.0,45.3,49.2,79,73,152,44,115,159,372,551,923,363,504,867,2583,1239,3822,8273,8223,16496,1030,1060,2090,5919,5838,11757,2798,2904,5702,Lithgow (C)
14900,67716,70181,137897,32515,18289,50804,6296,12400,18696,2692,2375,5067,2992,2628,5620,44495,35692,80187,18664,30001,48665,6.7,7.4,7.0,65.7,50.9,58.1,61.3,47.1,54.1,1459,1388,2847,349,549,898,5934,7622,13556,4708,6000,10708,15223,8631,23854,72943,74312,147255,10013,10327,20340,50247,51080,101327,26527,27478,54005,Liverpool (C)
14920,3020,3002,6022,1326,606,1932,290,643,933,126,94,220,115,82,197,1857,1425,3282,1010,1441,2451,6.2,5.8,6.0,61.5,47.5,54.5,57.7,44.7,51.2,17,12,29,8,35,43,115,225,340,141,179,320,732,477,1209,3100,3009,6109,440,486,926,2239,2113,4352,1112,1194,2306,Liverpool Plains (A)
14950,1203,1163,2366,600,237,837,101,301,402,44,47,91,35,26,61,780,611,1391,374,502,876,4.5,4.3,4.4,64.8,52.6,58.8,61.9,50.3,56.2,10,9,19,4,20,24,45,128,173,64,89,153,356,193,549,1337,1282,2619,123,128,251,1006,928,1934,368,383,751,Lockhart (A)
15050,25388,27266,52654,13426,6318,19744,2578,6988,9566,928,947,1875,816,826,1642,17748,15079,32827,6409,11038,17447,4.6,5.5,5.0,69.9,55.3,62.3,66.7,52.3,59.2,425,389,814,189,397,586,1745,2696,4441,1596,2274,3870,8356,4624,12980,26636,27965,54601,4549,4817,9366,17749,18576,36325,11154,12006,23160,Maitland (C)
15150,15597,16634,32231,8395,5209,13604,2021,3967,5988,470,603,1073,405,372,777,11291,10151,21442,3191,5445,8636,3.6,3.7,3.6,72.4,61.0,66.5,69.8,58.8,64.1,1624,1326,2950,340,518,858,4459,4679,9138,1483,2182,3665,2067,1250,3317,14272,15163,29435,3584,3750,7334,8262,8958,17220,8365,8745,17110,Manly (A)
15200,32028,33235,65263,15931,12774,28705,4173,6721,10894,1003,1274,2277,1277,1049,2326,22384,21818,44202,6972,9181,16153,5.7,4.8,5.3,69.9,65.6,67.7,65.9,62.5,64.2,2558,2987,5545,657,1232,1889,6787,8401,15188,2693,3139,5832,4436,2763,7199,28315,29113,57428,6070,6682,12752,16957,17566,34523,15262,16134,31396,Marrickville (A)
