LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
21890,55029,59199,114228,24174,15480,39654,7156,13034,20190,1861,2104,3965,2178,2010,4188,35369,32628,67997,15753,23071,38824,6.2,6.2,6.2,64.3,55.1,59.5,60.3,51.7,55.9,3422,3560,6982,1208,2447,3655,9340,11554,20894,4136,4726,8862,8436,4724,13160,52148,55279,107427,9360,10279,19639,35043,37874,72917,22468,23976,46444,Darebin (C)
22110,17062,17868,34930,6222,3134,9356,2048,4378,6426,635,629,1264,578,417,995,9483,8558,18041,6689,8494,15183,6.1,4.9,5.5,55.6,47.9,51.6,52.2,45.6,48.8,176,211,387,193,385,578,945,1644,2589,1075,1538,2613,4936,2537,7473,16937,17388,34325,2765,2991,5756,11478,11625,23103,7073,7675,14748,East Gippsland (S)
22170,49369,52775,102144,25016,13107,38123,5481,13161,18642,1918,1897,3815,1824,1812,3636,34239,29977,64216,12361,20001,32362,5.3,6.0,5.7,69.4,56.8,62.9,65.7,53.4,59.3,762,745,1507,503,999,1502,3722,5454,9176,3646,5038,8684,14228,7989,22217,49331,51679,101010,8698,9165,17863,32474,33865,66339,21642,23194,44836,Frankston (C)
22250,4163,4324,8487,1841,813,2654,400,1024,1424,164,137,301,89,89,178,2494,2063,4557,1437,2023,3460,3.6,4.3,3.9,59.9,47.7,53.7,57.8,45.7,51.6,19,24,43,22,75,97,147,321,468,150,271,421,1061,547,1608,4302,4338,8640,528,609,1137,3274,3278,6552,1287,1424,2711,Gannawarra (S)
22410,7897,8036,15933,3581,1499,5080,831,2171,3002,373,345,718,249,208,457,5034,4223,9257,2455,3425,5880,4.9,4.9,4.9,63.7,52.6,58.1,60.6,50.0,55.2,52,66,118,51,132,183,346,679,1025,333,560,893,2269,1171,3440,8119,8046,16165,1143,1224,2367,5971,5850,11821,2812,2980,5792,Glenelg (S)
22490,7291,7136,14427,3858,1601,5459,771,2166,2937,312,269,581,203,207,410,5144,4243,9387,1869,2653,4522,3.9,4.9,4.4,70.6,59.5,65.1,67.8,56.6,62.2,100,107,207,100,189,289,477,808,1285,500,675,1175,2377,1159,3536,8085,7790,15875,1016,1052,2068,5636,5334,10970,2870,2962,5832,Golden Plains (S)
22620,38607,42302,80909,17814,9160,26974,4665,11126,15791,1389,1591,2980,1276,1223,2499,25144,23100,48244,11476,17188,28664,5.1,5.3,5.2,65.1,54.6,59.6,61.8,51.7,56.5,732,681,1413,642,1171,1813,3203,4999,8202,2478,3165,5643,10754,6354,17108,38987,41437,80424,7032,7825,14857,25664,27232,52896,17165,19004,36169,Greater Bendigo (C)
22670,55813,55166,110979,22454,11901,34355,6940,9057,15997,2101,1619,3720,2803,2462,5265,34298,25039,59337,17986,26954,44940,8.2,9.8,8.9,61.4,45.4,53.5,56.4,40.9,48.7,1447,1281,2728,397,493,890,5291,5625,10916,4465,4337,8802,9502,5224,14726,54571,54759,109330,9589,8491,18080,36513,37434,73947,23210,21530,44740,Greater Dandenong (C)
22750,82396,89528,171924,37726,18649,56375,9436,23521,32957,2965,3103,6068,2997,2633,5630,53124,47906,101030,25359,37816,63175,5.6,5.5,5.6,64.5,53.5,58.8,60.8,50.6,55.5,2114,1776,3890,1097,2132,3229,8268,11563,19831,5891,8160,14051,21916,12451,34367,82419,87969,170388,14075,15517,29592,55159,58740,113899,35250,38926,74176,Greater Geelong (C)
22830,23220,24278,47498,10829,5605,16434,2401,6010,8411,926,878,1804,857,702,1559,15013,13195,28208,6853,9791,16644,5.7,5.3,5.5,64.7,54.3,59.4,61.0,51.5,56.1,318,296,614,204,456,660,1408,2321,3729,1157,1825,2982,5599,3253,8852,24018,24703,48721,3774,4068,7842,16168,16378,32546,9587,10481,20068,Greater Shepparton (C)
22910,5720,6188,11908,2206,1121,3327,831,1614,2445,206,219,425,205,166,371,3448,3120,6568,1936,2730,4666,5.9,5.3,5.6,60.3,50.4,55.2,56.7,47.7,52.0,177,190,367,103,240,343,565,831,1396,416,621,1037,1467,730,2197,5773,6090,11863,794,915,1709,4136,4250,8386,2069,2371,4440,Hepburn (S)
22980,2359,2410,4769,1066,465,1531,220,533,753,84,69,153,39,40,79,1409,1107,2516,850,1211,2061,2.8,3.6,3.1,59.7,45.9,52.8,58.1,44.3,51.1,20,16,36,16,39,55,82,203,285,80,145,225,507,300,807,2492,2538,5030,263,273,536,1878,1885,3763,732,781,1513,Hindmarsh (S)
23110,33828,34830,68658,16341,9262,25603,3830,7587,11417,1241,1182,2423,1312,1043,2355,22724,19074,41798,9042,13757,22799,5.8,5.5,5.6,67.2,54.8,60.9,63.3,51.8,57.4,1453,1392,2845,528,1055,1583,4553,5503,10056,2580,2996,5576,7210,3235,10445,33338,34322,67660,5533,5388,10921,23070,24063,47133,13288,13114,26402,Hobsons Bay (C)
23190,7494,8023,15517,3764,1818,5582,866,2124,2990,278,323,601,180,165,345,5088,4430,9518,2023,3221,5244,3.5,3.7,3.6,67.9,55.2,61.3,65.5,53.2,59.1,115,91,206,70,186,256,433,859,1292,474,697,1171,2039,1145,3184,7630,8028,15658,1288,1384,2672,5118,5350,10468,3201,3483,6684,Horsham (RC)
23270,63617,65861,129478,29928,15413,45341,7017,13642,20659,2720,2205,4925,2758,2433,5191,42423,33693,76116,17648,28508,46156,6.5,7.2,6.8,66.7,51.2,58.8,62.3,47.5,54.8,1171,965,2136,481,841,1322,4609,6245,10854,4049,5198,9247,14402,7950,22352,68844,70140,138984,9082,9478,18560,46671,47678,94349,25520,26515,52035,Hume (C)
23350,6098,6210,12308,2809,1489,4298,779,1758,2537,262,261,523,172,125,297,4022,3633,7655,1819,2337,4156,4.3,3.4,3.9,65.9,58.5,62.2,63.1,56.5,59.8,139,181,320,106,196,302,492,844,1336,415,589,1004,1722,930,2652,6191,6417,12608,833,918,1751,4578,4621,9199,2058,2340,4398,Indigo (S)
23430,56730,60593,117323,28659,16146,44805,6649,14848,21497,1929,2160,4089,1785,1567,3352,39022,34721,73743,14836,23188,38024,4.6,4.5,4.5,68.8,57.3,62.9,65.6,54.7,60.0,2164,2049,4213,913,1666,2579,7848,9865,17713,5191,6343,11534,12891,6546,19437,57724,60816,118540,7968,8399,16367,39790,42367,82157,21815,22998,44813,Kingston (C)
23670,59068,62585,121653,32282,17168,49450,6880,16999,23879,2044,2219,4263,1944,1761,3705,43150,38147,81297,14023,22584,36607,4.5,4.6,4.6,73.1,61.0,66.8,69.8,58.1,63.8,1909,1566,3475,825,1304,2129,7291,8915,16206,4938,6436,11374,15790,7888,23678,63536,66037,129573,6927,7328,14255,46580,48345,94925,19763,21257,41020,Knox (C)
23810,28153,30145,58298,12370,5596,17966,2679,7406,10085,1122,1085,2207,1471,1122,2593,17642,15209,32851,8861,13365,22226,8.3,7.4,7.9,62.7,50.5,56.4,57.4,46.7,51.9,384,328,712,247,536,783,1602,2594,4196,1529,2029,3558,9151,4561,13712,28556,29747,58303,4569,5150,9719,19522,20136,39658,11351,12622,23973,Latrobe (C)
23940,3171,2996,6167,1266,538,1804,281,656,937,105,93,198,103,75,178,1755,1362,3117,1219,1483,2702,5.9,5.5,5.7,55.3,45.5,50.5,52.1,43.0,47.7,14,31,45,19,47,66,131,257,388,140,194,334,785,374,1159,3239,3070,6309,331,378,709,2498,2379,4877,864,874,1738,Loddon (S)
24130,16062,16903,32965,8281,3932,12213,2015,5060,7075,681,691,1372,373,402,775,11350,10085,21435,4072,6168,10240,3.3,4.0,3.6,70.7,59.7,65.0,68.3,57.3,62.7,521,474,995,324,649,973,1779,2529,4308,1379,1811,3190,4641,2120,6761,17275,17780,35055,2391,2528,4919,12061,12178,24239,6444,6920,13364,Macedon Ranges (S)
24210,44591,48440,93031,20978,11523,32501,5770,11998,17768,1384,1541,2925,1426,1205,2631,29558,26267,55825,13485,20412,33897,4.8,4.6,4.7,66.3,54.2,60.0,63.1,51.7,57.2,2922,2098,5020,897,1406,2303,9084,9893,18977,4127,5095,9222,7601,4055,11656,46727,49577,96304,5231,5544,10775,34881,37216,72097,14616,15567,30183,Manningham (C)
24250,3184,3245,6429,1359,724,2083,470,917,1387,119,123,242,68,35,103,2016,1799,3815,1031,1315,2346,3.4,1.9,2.7,63.3,55.5,59.3,61.2,54.4,57.7,59,45,104,35,82,117,233,391,624,228,337,565,1044,473,1517,3107,3063,6170,625,730,1355,2146,2064,4210,1359,1533,2892,Mansfield (S)
24330,30326,29442,59768,13812,8820,22632,4040,5931,9971,982,1086,2068,1393,1215,2608,20227,17052,37279,7313,10319,17632,6.9,7.1,7.0,66.7,57.9,62.4,62.1,53.8,58.0,1877,1637,3514,598,1082,1680,5520,6130,11650,2503,2490,4993,4199,2451,6650,26581,26651,53232,6086,5810,11896,15840,16535,32375,14540,13692,28232,Maribyrnong (C)
24410,40281,44066,84347,21556,11384,32940,4816,12103,16919,1460,1662,3122,1256,1124,2380,29088,26273,55361,9822,16214,26036,4.3,4.3,4.3,72.2,59.6,65.6,69.1,57.1,62.8,1373,1138,2511,808,1358,2166,5132,6835,11967,3648,4666,8314,10643,5514,16157,42425,45162,87587,5857,6221,12078,29674,31454,61128,15649,16960,32609,Maroondah (C)
24600,43371,43610,86981,19030,14751,33781,5235,7372,12607,1115,1271,2386,2107,2219,4326,27487,25613,53100,10679,13689,24368,7.7,8.7,8.1,63.4,58.7,61.0,58.5,53.6,56.1,4641,4585,9226,1014,1525,2539,12420,13112,25532,3043,3318,6361,3042,2103,5145,26872,27221,54093,13621,14547,28168,10979,10979,21958,28069,29461,57530,Melbourne (C)
24650,40507,41752,82259,22403,11616,34019,3968,9601,13569,1654,1698,3352,1622,1651,3273,29647,24566,54213,8875,15245,24120,5.5,6.7,6.0,73.2,58.8,65.9,69.2,54.9,61.9,865,774,1639,368,606,974,3456,5032,8488,2554,3551,6105,10187,6012,16199,43105,43841,86946,7192,7677,14869,25436,25513,50949,20415,21609,42024,Melton (S)
24780,19460,20824,40284,8606,4614,13220,1951,4887,6838,706,711,1417,845,662,1507,12108,10874,22982,6151,8770,14921,7.0,6.1,6.6,62.2,52.2,57.1,57.9,49.0,53.3,162,151,313,164,326,490,1046,1840,2886,924,1471,2395,4706,2973,7679,19912,20703,40615,3458,3788,7246,13497,13928,27425,8268,9083,17351,Mildura (RC)
24850,13476,13541,27017,6955,3177,10132,1312,3437,4749,560,524,1084,409,453,862,9236,7591,16827,3455,5201,8656,4.4,6.0,5.1,68.5,56.1,62.3,65.5,52.7,59.1,164,156,320,124,263,387,712,1193,1905,721,1104,1825,4096,2027,6123,13680,13634,27314,2567,2576,5143,9193,9022,18215,6008,6132,12140,Mitchell (S)
22310,51539,55833,107372,25831,15303,41134,7012,14299,21311,1613,1991,3604,1667,1550,3217,36123,33143,69266,12780,20121,32901,4.6,4.7,4.6,70.1,59.4,64.5,66.9,56.6,61.5,4440,3902,8342,1366,2399,3765,12381,13857,26238,4605,6018,10623,7276,4084,11360,51257,54467,105724,8914,9374,18288,34151,37062,71213,22175,23232,45407,Glen Eira (C)
24900,11202,11483,22685,4860,2253,7113,1002,2692,3694,432,419,851,333,258,591,6627,5622,12249,3874,5233,9107,5.0,4.6,4.8,59.2,49.0,54.0,56.2,46.7,51.4,48,92,140,70,184,254,429,864,1293,522,762,1284,2993,1627,4620,11219,11422,22641,1856,1917,3773,7909,7868,15777,4367,4671,9038,Moira (S)
24970,70103,72833,142936,30470,17960,48430,9521,16044,25565,2098,2238,4336,2779,2387,5166,44868,38629,83497,22073,31226,53299,6.2,6.2,6.2,64.0,53.0,58.4,60.0,49.8,54.8,5842,4382,10224,1335,2057,3392,14089,15193,29282,6724,7436,14160,10378,5446,15824,67513,70220,137733,11995,11809,23804,46536,49399,95935,29067,28743,57810,Monash (C)
25060,42764,46426,89190,20991,13059,34050,5138,10879,16017,1397,1678,3075,1468,1163,2631,28994,26779,55773,11279,17201,28480,5.1,4.3,4.7,67.8,57.7,62.5,64.4,55.2,59.6,2235,2060,4295,926,1674,2600,7591,9127,16718,3391,4075,7466,8010,3838,11848,42361,45157,87518,6506,7095,13601,29874,32498,62372,16122,17039,33161,Moonee Valley (C)
25150,10953,11258,22211,5686,2610,8296,1153,3038,4191,431,405,836,336,321,657,7606,6374,13980,2808,4408,7216,4.4,5.0,4.7,69.4,56.6,62.9,66.4,53.8,60.0,197,202,399,135,266,401,734,1197,1931,701,1036,1737,3313,1586,4899,11585,11621,23206,1691,1843,3534,8062,7990,16052,4371,4648,9019,Moorabool (S)
25250,59865,63521,123386,26614,17472,44086,7953,13337,21290,2186,2293,4479,2381,1926,4307,39134,35028,74162,16506,24763,41269,6.1,5.5,5.8,65.4,55.1,60.1,61.4,52.1,56.6,3572,3753,7325,1253,2414,3667,10168,12558,22726,4695,5025,9720,9646,4953,14599,56047,59242,115289,10802,11158,21960,37043,40253,77296,25529,26120,51649,Moreland (C)
25340,56428,61630,118058,24961,11494,36455,6952,16070,23022,2037,2114,4151,1565,1431,2996,35515,31109,66624,17906,27044,44950,4.4,4.6,4.5,62.9,50.5,56.4,60.2,48.2,53.9,1295,1126,2421,762,1443,2205,5323,7375,12698,4575,6297,10872,16438,8354,24792,56812,60589,117401,9187,9745,18932,37320,39705,77025,24787,26780,51567,Mornington Peninsula (S)
25430,7224,7503,14727,2591,1413,4004,1012,1936,2948,221,250,471,208,175,383,4032,3774,7806,2803,3277,6080,5.2,4.6,4.9,55.8,50.3,53.0,52.9,48.0,50.4,233,252,485,163,341,504,686,1080,1766,540,699,1239,1748,919,2667,6880,7215,14095,964,1079,2043,4926,5136,10062,2540,2815,5355,Mount Alexander (S)
25490,6228,6315,12543,3252,1443,4695,707,1846,2553,289,288,577,172,122,294,4420,3699,8119,1523,2308,3831,3.9,3.3,3.6,71.0,58.6,64.7,68.2,56.6,62.4,78,104,182,65,150,215,366,763,1129,372,608,980,1636,886,2522,6629,6683,13312,890,964,1854,4798,4727,9525,2227,2431,4658,Moyne (S)
25620,5449,5365,10814,2317,1034,3351,686,1459,2145,206,230,436,158,128,286,3367,2851,6218,1737,2229,3966,4.7,4.5,4.6,61.8,53.2,57.5,58.9,50.8,54.9,85,74,159,58,121,179,384,660,1044,404,523,927,1680,804,2484,5479,5326,10805,714,747,1461,3914,3761,7675,1948,2011,3959,Murrindindi (S)
25710,23376,24391,47767,13394,6180,19574,3106,8594,11700,861,945,1806,641,555,1196,18002,16274,34276,4708,7413,12121,3.6,3.4,3.5,77.0,66.7,71.8,74.3,64.4,69.3,1144,938,2082,604,1050,1654,3576,4561,8137,2180,2865,5045,6326,2583,8909,26290,26825,53115,2521,2568,5089,19887,20154,40041,7326,7725,15051,Nillumbik (S)
25810,4836,4935,9771,2081,969,3050,582,1209,1791,167,174,341,139,114,253,2969,2466,5435,1607,2244,3851,4.7,4.6,4.7,61.4,50.0,55.6,58.5,47.7,53.0,35,39,74,53,82,135,206,386,592,233,365,598,1299,688,1987,4890,4945,9835,700,711,1411,3588,3605,7193,1711,1801,3512,Northern Grampians (S)
25900,40184,41141,81325,21992,17668,39660,4714,7853,12567,1207,1503,2710,1306,1182,2488,29219,28206,57425,7183,9887,17070,4.5,4.2,4.3,72.7,68.6,70.6,69.5,65.7,67.6,3623,3703,7326,1070,1952,3022,11268,12714,23982,3438,4266,7704,4968,3049,8017,30758,31595,62353,9930,10635,20565,16081,16926,33007,22630,23409,46039,Port Phillip (C)
25990,2850,2676,5526,1106,461,1567,258,600,858,88,89,177,109,82,191,1561,1232,2793,1157,1328,2485,7.0,6.7,6.8,54.7,46.1,50.5,50.9,43.0,47.1,16,28,44,19,51,70,121,232,353,136,207,343,713,358,1071,2781,2672,5453,361,406,767,2093,1955,4048,890,953,1843,Pyrenees (S)
26080,1196,1373,2569,392,218,610,156,301,457,42,43,85,34,21,55,624,583,1207,510,716,1226,5.4,3.6,4.6,52.2,42.5,47.0,49.3,41.0,44.9,71,62,133,25,67,92,219,273,492,146,189,335,234,123,357,1144,1289,2433,190,201,391,783,899,1682,503,543,1046,Queenscliffe (B)
26170,10770,11298,22068,4959,2199,7158,1294,3099,4393,480,460,940,239,237,476,6972,5995,12967,3324,4838,8162,3.4,4.0,3.7,64.7,53.1,58.8,62.5,51.0,56.6,156,163,319,122,265,387,690,1167,1857,621,964,1585,3295,1701,4996,11036,11325,22361,1679,1856,3535,7716,7813,15529,4254,4650,8904,South Gippsland (S)
26260,6449,6869,13318,3085,1445,4530,786,1867,2653,271,272,543,167,141,308,4309,3725,8034,1897,2883,4780,3.9,3.8,3.8,66.8,54.2,60.3,64.2,52.2,58.0,94,81,175,62,144,206,418,783,1201,400,540,940,1802,898,2700,6793,7052,13845,883,953,1836,4896,5044,9940,2346,2551,4897,Southern Grampians (S)
26350,38588,42379,80967,20085,14285,34370,5071,8988,14059,1111,1390,2501,1167,1182,2349,27434,25845,53279,8243,13846,22089,4.3,4.6,4.4,71.1,61.0,65.8,68.1,58.2,62.9,4036,3541,7577,1034,1855,2889,11735,12799,24534,3325,4622,7947,3546,2474,6020,32873,35903,68776,8370,9277,17647,19921,22160,42081,19282,21086,40368,Stonnington (C)
26430,3944,4062,8006,1664,808,2472,440,952,1392,154,139,293,107,73,180,2365,1972,4337,1354,1873,3227,4.5,3.7,4.2,60.0,48.5,54.2,57.3,46.7,51.9,44,59,103,40,84,124,213,362,575,236,374,610,1046,560,1606,3956,3967,7923,494,531,1025,2842,2800,5642,1374,1478,2852,Strathbogie (S)
26490,9944,10399,20343,4824,2196,7020,1414,3137,4551,421,496,917,236,261,497,6895,6090,12985,2563,3832,6395,3.4,4.3,3.8,69.3,58.6,63.8,67.0,56.1,61.4,358,331,689,196,434,630,1461,2009,3470,945,1254,2199,2794,1269,4063,10170,10323,20493,1916,2062,3978,6493,6599,13092,4785,5025,9810,Surf Coast (S)
26610,8129,8091,16220,3900,1812,5712,788,1809,2597,331,309,640,250,211,461,5269,4141,9410,2284,3426,5710,4.7,5.1,4.9,64.8,51.2,58.0,61.7,48.6,55.2,49,47,96,46,131,177,399,712,1111,408,562,970,1916,1098,3014,8228,8136,16364,1356,1341,2697,5684,5562,11246,3224,3312,6536,Swan Hill (RC)
26670,2422,2406,4828,1111,533,1644,289,614,903,110,93,203,61,53,114,1571,1293,2864,779,1035,1814,3.9,4.1,4.0,64.9,53.7,59.3,62.3,51.5,56.9,23,26,49,23,49,72,129,235,364,149,229,378,737,406,1143,2548,2471,5019,332,347,679,1974,1875,3849,745,834,1579,Towong (S)
26700,10385,11351,21736,4907,2459,7366,1227,3085,4312,442,461,903,313,304,617,6889,6309,13198,3043,4540,7583,4.5,4.8,4.7,66.3,55.6,60.7,63.3,52.9,57.9,130,147,277,156,278,434,735,1219,1954,676,1017,1693,2937,1701,4638,10913,11622,22535,1525,1625,3150,7846,8122,15968,3804,4366,8170,Wangaratta (RC)
26730,12241,13448,25689,5912,2941,8853,1491,3796,5287,470,515,985,420,359,779,8293,7611,15904,3231,5109,8340,5.1,4.7,4.9,67.8,56.6,61.9,64.3,53.9,58.9,194,188,382,164,306,470,1016,1572,2588,725,1112,1837,3215,1980,5195,12216,13164,25380,2273,2453,4726,8163,8738,16901,5373,5995,11368,Warrnambool (C)
26810,16800,16774,33574,7324,3392,10716,1649,4206,5855,696,619,1315,523,453,976,10192,8670,18862,5759,7280,13039,5.1,5.2,5.2,60.7,51.7,56.2,57.6,49.0,53.3,158,186,344,153,323,476,863,1623,2486,942,1272,2214,5022,2439,7461,16297,16847,33144,2531,2738,5269,11128,11339,22467,6552,7078,13630,Wellington (S)
26890,1746,1705,3451,870,382,1252,193,432,625,87,73,160,31,28,59,1181,915,2096,491,724,1215,2.6,3.1,2.8,67.7,53.6,60.7,65.9,52.0,59.0,5,16,21,11,23,34,61,182,243,88,144,232,396,247,643,1866,1816,3682,179,204,383,1436,1377,2813,501,548,1049,West Wimmera (S)
26980,59426,65770,125196,27373,15547,42920,8056,16430,24486,1779,2138,3917,2133,1848,3981,39341,35963,75304,17332,27055,44387,5.4,5.1,5.3,66.2,54.7,60.1,62.6,51.9,57.0,4434,3708,8142,1527,2538,4065,12470,14080,26550,5868,7085,12953,9586,5232,14818,59881,65340,125221,9211,9607,18818,42050,46458,88508,23021,24434,47455,Whitehorse (C)
27070,60204,62458,122662,30504,15927,46431,6203,14228,20431,2336,2292,4628,2176,2090,4266,41219,34537,75756,15943,24983,40926,5.3,6.1,5.6,68.5,55.3,61.8,64.8,52.0,58.3,1516,1294,2810,490,857,1347,5345,7039,12384,3999,5392,9391,13667,7591,21258,61867,63348,125215,10613,10851,21464,40188,41148,81336,27090,28183,55273,Whittlesea (C)
27170,13605,14199,27804,7206,3499,10705,1407,3730,5137,506,547,1053,484,517,1001,9603,8293,17896,3396,5425,8821,5.0,6.2,5.6,70.6,58.4,64.4,67.0,54.8,60.8,179,172,351,171,284,455,869,1433,2302,984,1218,2202,4063,2657,6720,13400,14035,27435,3138,3166,6304,8298,8625,16923,7083,7372,14455,Wodonga (RC)
27260,60885,62369,123254,34166,18230,52396,6250,13984,20234,2333,2288,4621,2454,2730,5184,45203,37232,82435,12440,22068,34508,5.4,7.3,6.3,74.2,59.7,66.9,70.2,55.3,62.7,2991,2327,5318,775,1114,1889,6873,8805,15678,4742,5658,10400,13694,8000,21694,60402,61304,121706,14208,14756,28964,34244,34942,69186,33823,34974,68797,Wyndham (C)
27350,31739,33594,65333,16389,13205,29594,4242,7006,11248,926,1273,2199,1161,993,2154,22718,22477,45195,6281,8811,15092,5.1,4.4,4.8,71.6,66.9,69.2,67.9,64.0,65.9,3027,3322,6349,1125,1903,3028,9311,10536,19847,2261,2708,4969,3124,2065,5189,25211,26734,51945,7480,8244,15724,14366,15432,29798,16637,17893,34530,Yarra (C)
27450,56692,58986,115678,30152,14166,44318,6949,17687,24636,2313,2318,4631,1535,1527,3062,40949,35698,76647,13363,21055,34418,3.7,4.3,4.0,72.2,60.5,66.3,69.5,57.9,63.6,1206,1163,2369,771,1529,2300,4980,7318,12298,4237,6366,10603,17887,8852,26739,60997,62474,123471,7023,7501,14524,43614,44269,87883,20212,21565,41777,Yarra Ranges (S)
27630,2878,2968,5846,1231,515,1746,255,654,909,90,100,190,69,42,111,1645,1311,2956,1053,1469,2522,4.2,3.2,3.8,57.2,44.2,50.6,54.8,42.8,48.7,20,17,37,18,45,63,103,212,315,126,223,349,672,405,1077,2960,3000,5960,371,347,718,2261,2327,4588,855,837,1692,Yarriambiack (S)
29399,440,273,713,275,130,405,57,55,112,14,12,26,7,0,7,353,197,550,38,41,79,2.0,0.0,1.3,80.2,72.4,77.2,78.6,72.4,76.3,10,15,25,4,7,11,55,56,111,44,31,75,121,36,157,326,189,515,107,85,192,233,113,346,188,151,339,Unincorporated Vic
29499,4134,3135,7269,1000,535,1535,324,422,746,116,85,201,404,294,698,1844,1336,3180,1254,1302,2556,21.9,22.0,21.9,44.6,42.6,43.8,34.8,33.2,34.1,108,134,242,37,64,101,426,515,941,200,226,426,732,365,1097,759,516,1275,2634,2407,5041,497,308,805,2729,2464,5193,
30250,447,455,902,96,61,157,29,22,51,14,12,26,41,27,68,180,122,302,240,302,542,22.8,22.1,22.5,40.3,26.8,33.5,31.1,20.9,25.9,0,3,3,3,4,7,11,20,31,9,11,20,47,18,65,609,614,1223,23,24,47,517,532,1049,48,47,95,Aurukun (S)
30300,1823,1689,3512,1090,509,1599,135,408,543,76,78,154,65,37,102,1366,1032,2398,306,584,890,4.8,3.6,4.3,75.0,61.1,68.3,71.4,58.9,65.4,5,14,19,6,28,34,89,194,283,96,131,227,372,189,561,1854,1796,3650,369,354,723,1194,1132,2326,804,816,1620,Balonne (S)
30370,5747,5310,11057,3632,1619,5251,446,1301,1747,303,228,531,102,100,202,4483,3248,7731,919,1814,2733,2.3,3.1,2.6,78.0,61.2,69.9,76.2,59.3,68.1,30,47,77,30,69,99,297,499,796,183,306,489,1617,724,2341,5724,5396,11120,1265,1210,2475,3790,3421,7211,2659,2656,5315,Banana (S)
30410,1296,1220,2516,767,419,1186,80,258,338,64,52,116,19,20,39,930,749,1679,278,394,672,2.0,2.7,2.3,71.8,61.4,66.8,70.3,59.8,65.2,19,6,25,3,14,17,50,117,167,52,77,129,291,171,462,1288,1263,2551,221,222,443,912,865,1777,488,502,990,Barcaldine (R)
30450,162,130,292,96,62,158,12,25,37,18,10,28,3,0,3,129,97,226,24,31,55,2.3,0.0,1.3,79.6,74.0,77.1,77.8,74.0,76.1,0,0,0,0,0,0,0,16,16,4,8,12,35,22,57,131,115,246,47,43,90,86,82,168,73,70,143,Barcoo (S)
30760,869,896,1765,500,256,756,64,225,289,39,32,71,14,15,29,617,528,1145,201,331,532,2.3,2.8,2.5,71.2,58.9,64.9,69.6,57.2,63.3,4,4,8,3,11,14,29,88,117,40,55,95,175,126,301,885,907,1792,134,160,294,573,584,1157,364,413,777,Blackall Tambo (R)
32310,4667,4732,9399,2165,1238,3403,374,955,1329,237,173,410,151,141,292,2927,2507,5434,1323,1950,3273,5.2,5.6,5.4,62.7,53.0,57.8,59.5,50.0,54.7,30,35,65,21,51,72,176,422,598,134,243,377,1121,559,1680,4693,4697,9390,881,1003,1884,2918,2840,5758,2189,2454,4643,Charters Towers (R)
34570,171,181,352,71,59,130,7,9,16,6,9,15,19,7,26,103,84,187,59,93,152,18.4,8.3,13.9,60.6,46.4,53.3,49.4,42.5,45.9,0,0,0,0,0,0,5,10,15,3,5,8,56,29,85,203,223,426,23,20,43,173,192,365,32,30,62,Lockhart River (S)
