lga_code16,p_othsvs_h_0,p_othsvs_h_1_15,p_othsvs_h_16_24,p_othsvs_h_25_34,p_othsvs_h_35_39,p_othsvs_h_40,p_othsvs_h_41_48,p_othsvs_h_49_more,p_othsvs_h_ns,p_othsvs_h_tot,p_idns_h_0,p_idns_h_1_15,p_idns_h_16_24,p_idns_h_25_34,p_idns_h_35_39,p_idns_h_40,p_idns_h_41_48,p_idns_h_49_more,p_idns_h_ns,p_idns_h_tot,p_tot_h_0,p_tot_h_1_15,p_tot_h_16_24,p_tot_h_25_34,p_tot_h_35_39,p_tot_h_40,p_tot_h_41_48,p_tot_h_49_more,p_tot_h_ns,p_tot_h_tot,lga_name16
14000,37,254,217,215,317,353,192,272,23,1871,55,237,189,177,294,350,115,204,307,1936,1251,6514,5559,4793,6971,7603,3304,5611,681,42292,Hornsby (A)
14100,4,30,31,28,16,20,12,11,0,160,3,20,15,13,24,38,4,25,37,173,130,665,660,519,664,821,292,568,75,4397,Hunters Hill (A)
14170,54,334,330,316,590,595,279,393,38,2930,79,366,389,275,541,656,204,397,594,3501,1633,7136,7568,6747,11604,12126,5456,8943,1194,62403,Inner West (A)
14200,3,21,24,22,66,56,20,37,4,253,17,22,16,12,43,38,12,23,87,271,231,739,582,877,1345,914,486,969,180,6324,Inverell (A)
14300,0,7,0,4,8,9,3,4,0,35,3,5,0,0,19,10,0,9,6,57,70,197,152,177,394,318,142,348,40,1836,Junee (A)
14350,14,40,35,29,68,45,21,42,4,305,20,35,18,32,50,39,19,35,125,375,413,1204,1120,1358,1824,1259,691,1181,288,9329,Kempsey (A)
14400,8,47,25,32,38,38,19,27,0,227,7,42,16,17,9,21,10,23,34,169,196,1112,815,733,699,778,330,622,82,5363,Kiama (A)
14500,19,240,197,134,195,162,116,170,13,1247,33,193,156,101,133,207,77,168,214,1286,881,5509,4358,3621,4112,4968,2142,4158,471,30220,Ku-ring-gai (A)
14550,0,5,7,10,5,21,8,13,3,75,10,15,4,0,13,25,6,16,35,130,82,380,311,358,380,427,205,524,63,2725,Kyogle (A)
14600,0,9,7,4,10,24,9,20,0,71,3,6,12,9,13,21,8,21,40,129,92,232,188,272,242,450,206,579,79,2347,Lachlan (A)
14650,68,368,287,318,595,496,285,306,24,2744,75,235,164,170,369,359,129,225,416,2144,2098,8406,7140,7592,10892,9620,4783,6323,911,57757,Lake Macquarie (C)
14700,11,79,73,56,84,100,57,77,4,546,21,82,80,58,140,189,77,121,154,928,389,1660,1601,1456,2814,3545,1656,2617,256,15982,Lane Cove (A)
14750,4,17,9,11,26,27,19,23,0,141,11,17,9,10,26,43,16,23,59,203,172,433,336,431,856,1012,435,780,117,4576,Leeton (A)
14850,19,96,79,92,179,146,76,108,3,810,30,73,68,63,92,103,31,64,201,715,659,2545,2326,3048,4323,3065,1410,2310,408,20090,Lismore (C)
14870,3,32,34,31,51,48,22,36,4,255,15,25,28,14,43,53,6,25,53,260,298,838,780,832,1507,1316,671,1047,149,7444,Lithgow (C)
14900,41,255,229,189,463,488,204,305,41,2225,100,394,324,325,860,788,226,363,877,4258,1935,6904,6746,6655,14877,14187,5674,9232,1684,67886,Liverpool (C)
14920,0,13,9,15,23,17,5,7,0,90,8,16,3,10,17,14,4,16,34,118,99,258,218,330,404,400,232,642,69,2654,Liverpool Plains (A)
14950,0,3,3,3,3,3,3,0,0,21,3,0,0,3,0,6,0,3,10,24,35,101,98,115,96,120,56,243,15,877,Lockhart (A)
15050,29,157,142,158,275,257,154,217,7,1396,23,119,70,69,163,210,60,119,203,1047,906,3575,3098,3391,5062,4487,2318,3471,444,26754,Maitland (C)
15240,29,123,121,111,194,229,89,147,22,1060,43,110,82,84,134,130,57,83,309,1034,1209,3919,3323,3987,4777,3868,1875,3308,635,26889,Mid-Coast (A)
15270,5,57,39,40,64,82,37,124,5,450,15,30,19,25,29,30,10,42,60,274,358,1039,981,1130,1394,1338,1021,2070,182,9525,Mid-Western Regional (A)
15300,15,18,21,25,47,45,22,47,0,246,4,25,20,10,41,38,19,48,65,266,218,442,394,560,1005,935,485,1411,151,5603,Moree Plains (A)
15350,8,76,65,47,69,65,39,56,15,442,14,66,34,40,30,62,15,56,53,377,215,1435,1286,1005,1141,1469,772,1279,141,8738,Mosman (A)
15520,0,13,8,5,8,24,4,11,0,88,10,12,18,20,23,21,10,20,50,183,184,553,418,478,647,651,353,950,108,4336,Murray River (A)
15560,0,6,0,0,3,11,3,6,0,41,3,8,9,4,11,13,3,7,16,64,88,141,123,167,237,278,133,395,40,1610,Murrumbidgee (A)
15650,8,23,19,34,62,71,39,61,5,327,11,39,13,15,38,44,28,30,86,301,407,734,733,858,1735,1443,1392,2004,199,9498,Muswellbrook (A)
15700,4,33,29,15,44,35,24,21,0,208,17,28,16,21,24,13,8,17,65,199,212,767,744,830,934,677,390,849,130,5529,Nambucca (A)
15750,6,26,11,12,38,70,34,45,3,249,19,28,16,27,33,62,13,25,57,281,258,551,487,602,961,1030,605,1653,148,6303,Narrabri (A)
15800,3,11,5,4,16,17,4,11,0,74,10,9,5,5,10,10,4,9,25,91,97,218,203,228,339,336,197,410,58,2093,Narrandera (A)
15850,5,6,3,9,17,19,7,16,3,91,3,4,9,5,16,17,5,15,21,92,77,215,163,213,335,370,219,618,60,2261,Narromine (A)
15900,100,391,334,364,827,708,391,496,26,3631,95,288,224,262,557,603,220,344,670,3265,3662,10454,10520,11485,19905,18803,8897,12094,1500,97327,Newcastle (C)
15950,53,179,180,197,398,381,212,287,22,1916,64,208,280,187,444,748,252,477,632,3290,1852,4582,5637,4837,12003,20285,8356,13535,1156,72250,North Sydney (A)
15990,85,596,449,459,654,778,370,536,41,3975,122,549,466,425,669,951,313,655,671,4828,2353,12721,11533,10150,13688,16589,7415,12357,1429,88233,Northern Beaches (A)
16100,0,11,3,4,6,10,8,3,0,50,6,12,11,3,30,19,21,25,25,154,68,218,191,172,429,336,214,484,51,2158,Oberon (A)
16150,27,86,73,62,153,146,94,183,8,837,20,47,34,50,96,100,48,70,141,607,711,2042,1872,2162,3838,3407,1802,2818,319,18968,Orange (C)
16200,6,31,23,20,36,49,24,42,0,238,13,15,11,16,21,33,17,20,58,192,251,613,491,637,962,798,664,1065,133,5611,Parkes (A)
16260,109,449,429,375,1121,966,482,608,53,4598,163,537,549,473,1396,1405,417,665,1479,7094,4334,10776,12307,11861,34661,32083,12209,16940,2782,137952,Parramatta (C)
16350,53,316,267,270,431,538,294,404,37,2620,79,310,243,304,735,696,229,456,664,3717,2095,7853,6984,7418,14213,13062,6016,9566,1381,68594,Penrith (C)
12730,3,13,6,19,20,27,23,17,4,135,6,18,13,12,20,13,8,14,30,135,160,435,343,459,692,600,286,635,76,3693,Edward River (A)
12750,13,98,46,68,75,89,39,77,11,508,23,69,39,52,53,67,22,36,120,471,473,1883,1551,1865,2163,1640,788,1360,257,11982,Eurobodalla (A)
12850,40,322,234,250,542,525,237,361,36,2538,100,456,383,315,992,800,243,368,850,4505,1316,6306,5761,5685,12773,11129,4858,7658,1592,57091,Fairfield (C)
12870,9,24,17,16,24,25,19,30,4,160,13,16,8,16,33,53,18,30,48,230,225,579,444,541,838,931,431,829,114,4935,Federation (A)
12900,4,12,13,21,28,31,9,29,3,144,9,21,11,11,24,31,9,18,54,180,160,363,351,462,657,662,339,762,102,3855,Forbes (A)
12930,39,235,217,185,302,340,181,231,19,1740,55,224,214,162,324,350,91,162,438,2017,1340,5335,5658,4954,7916,8604,3200,4668,877,42550,Georges River (A)
12950,3,6,7,3,12,17,3,13,0,61,0,4,3,6,5,12,3,11,11,58,58,176,156,164,224,217,104,429,48,1570,Gilgandra (A)
13010,4,24,19,11,27,29,17,24,5,138,7,19,18,18,23,8,4,16,34,141,124,398,342,363,542,407,204,595,83,3059,Glen Innes Severn (A)
13310,11,59,44,46,100,98,43,65,4,463,22,40,25,35,70,57,21,53,96,423,442,1230,1199,1434,2569,1907,897,1647,226,11561,Goulburn Mulwaree (A)
13340,0,8,12,8,15,20,15,26,0,102,10,21,4,3,11,9,9,17,22,120,151,406,316,344,380,523,290,834,75,3316,Greater Hume Shire (A)
13450,9,50,36,44,121,95,54,76,8,489,26,45,40,44,101,100,33,37,112,542,407,1185,1138,1276,2750,2229,1160,1704,278,12132,Griffith (C)
13510,3,31,14,14,22,20,16,17,0,133,7,19,13,12,24,20,9,24,38,169,139,442,444,530,772,654,331,707,105,4134,Gundagai (A)
13550,6,29,18,15,53,58,25,44,0,253,3,20,14,10,26,31,4,25,41,174,169,562,421,554,828,749,426,1056,103,4859,Gunnedah (A)
13660,0,11,0,4,3,11,3,4,0,37,6,8,5,4,4,6,3,10,19,69,67,174,153,206,202,267,130,583,44,1826,Gwydir (A)
13800,18,130,88,105,141,212,117,233,13,1046,42,126,114,108,234,215,89,169,221,1321,660,2894,2597,2727,4207,4429,2258,3852,473,24093,Hawkesbury (C)
13850,4,0,3,0,3,5,6,12,0,38,0,9,4,4,8,15,0,8,18,75,57,139,110,143,199,203,80,324,38,1288,Hay (A)
11300,10,74,75,72,97,90,48,62,10,532,24,73,66,65,82,119,31,47,192,687,497,2158,2128,1830,3344,3343,1252,1727,344,16624,Burwood (A)
11350,18,89,65,64,81,79,25,47,8,478,32,127,81,102,93,102,29,71,133,775,402,2186,1859,2218,1884,1882,786,1449,292,12964,Byron (A)
11400,0,11,13,11,14,24,17,25,0,114,6,17,8,3,15,25,15,29,48,162,158,415,377,449,538,703,457,1101,94,4298,Cabonne (A)
11450,19,157,107,110,179,206,121,158,13,1079,38,133,97,83,237,264,86,169,241,1343,661,3124,2526,2727,4321,4468,2149,3971,501,24444,Camden (A)
11500,35,233,144,161,379,324,203,280,34,1795,70,235,203,221,631,589,170,269,561,2947,1453,5609,4811,5283,10724,8945,4166,6026,1097,48114,Campbelltown (C) (NSW)
11520,43,169,156,154,396,370,162,250,21,1719,36,144,151,103,222,285,62,159,359,1541,964,3363,3688,3148,6362,7899,2898,4567,717,33608,Canada Bay (A)
11570,93,548,448,424,789,843,371,536,59,4107,160,630,572,512,1366,1231,382,527,1336,6716,2458,10429,10404,9799,20501,19164,7839,11653,2525,94779,Canterbury-Bankstown (A)
11600,0,3,3,3,7,3,4,6,0,25,3,4,3,3,6,14,3,9,8,51,66,121,95,130,169,191,103,398,37,1302,Carrathool (A)
11650,126,654,537,590,897,726,419,547,61,4551,140,487,364,330,720,702,220,475,847,4273,3735,14633,13148,13962,19690,17600,7904,12140,1912,104732,Central Coast (C) (NSW)
11700,0,0,4,3,0,5,0,3,0,17,0,0,0,0,7,0,0,3,8,20,19,25,49,59,104,128,33,212,25,658,Central Darling (A)
11720,23,116,85,82,118,91,47,67,4,638,29,76,55,57,77,83,24,51,114,565,548,2232,2002,1872,2612,2310,1170,1772,269,14791,Cessnock (C)
11730,21,78,57,92,144,124,49,102,6,681,33,82,51,47,96,78,33,51,161,619,645,2167,1931,2374,3130,2241,1243,2262,346,16345,Clarence Valley (A)
11750,3,4,6,6,7,16,5,21,0,62,8,3,3,9,11,5,8,15,24,74,110,132,154,175,263,286,268,816,61,2269,Cobar (A)
11800,28,168,104,137,255,213,99,150,11,1160,29,117,108,89,162,139,54,93,220,1008,1017,4013,3365,4279,5824,4358,2090,3408,523,28886,Coffs Harbour (C)
12000,0,0,7,3,5,3,0,7,0,29,5,3,3,3,0,10,3,5,9,39,35,147,103,121,130,169,84,295,33,1111,Coolamon (A)
12150,3,3,0,3,12,14,3,0,0,44,4,3,0,0,5,7,7,11,24,67,62,124,118,142,224,219,118,372,55,1432,Coonamble (A)
12350,3,24,25,21,37,35,20,25,0,186,7,8,12,14,27,22,10,19,41,167,152,512,488,557,839,731,394,790,96,4569,Cowra (A)
12380,38,279,258,212,657,682,273,441,26,2870,107,402,421,389,1151,997,341,472,999,5283,1640,6287,6433,6353,17284,14927,6428,9497,1828,70670,Cumberland (A)
12700,7,14,5,13,17,12,8,21,0,89,0,13,6,6,7,9,3,6,16,73,90,361,288,253,311,287,130,391,52,2155,Dungog (A)
16380,28,176,123,131,235,198,105,168,11,1187,34,127,54,84,115,116,48,101,226,907,1002,3629,3043,4016,5253,4344,2091,3595,537,27509,Port Macquarie-Hastings (A)
16400,31,129,98,85,242,238,131,291,10,1252,20,103,63,90,178,136,54,128,202,980,906,3106,2468,2764,5013,4561,2846,3612,451,25725,Port Stephens (A)
16490,16,78,65,58,119,126,87,113,6,662,22,86,36,65,102,140,47,109,138,735,471,1716,1228,1553,2645,2709,1561,2564,265,14709,Queanbeyan-Palerang Regional (A)
16550,30,209,189,166,219,254,119,216,17,1418,53,188,172,135,195,275,63,183,430,1700,1462,5594,5471,4592,8831,9316,3647,6149,939,45988,Randwick (C)
16610,4,30,26,24,40,49,31,34,0,226,16,29,13,34,32,39,10,34,71,292,253,835,768,1090,1228,1093,533,966,170,6931,Richmond Valley (A)
16650,14,128,118,97,213,154,91,138,15,959,37,140,145,85,207,231,54,96,305,1303,844,2757,3381,3259,5474,4919,2167,3128,586,26525,Rockdale (C)
16700,46,248,249,198,487,492,194,323,23,2256,79,267,260,225,632,822,263,467,817,3836,2221,7130,7376,6246,18292,20670,8449,12564,1460,84410,Ryde (C)
16900,19,128,87,91,155,160,52,91,8,796,24,69,60,53,107,94,53,58,133,652,644,2729,2292,2391,3107,2712,1330,1999,290,17489,Shellharbour (C)
16950,42,158,147,149,252,187,118,192,20,1274,59,165,106,100,180,168,66,112,313,1272,1302,4870,3981,4468,6036,5119,2960,4215,713,33662,Shoalhaven (C)
17000,20,49,39,50,104,110,89,154,8,618,15,31,23,40,73,67,43,81,137,510,603,1199,1158,1211,2202,2369,2504,3953,322,15521,Singleton (A)
17040,5,29,15,19,41,69,27,53,6,272,19,33,22,18,42,31,31,45,80,317,307,967,864,1276,1745,1350,987,2052,222,9761,Snowy Monaro Regional (A)
17080,5,16,7,11,32,35,17,31,0,152,13,22,16,18,44,45,22,44,70,298,232,633,567,630,991,820,578,1287,154,5895,Snowy Valleys (A)
17420,57,378,306,281,451,551,261,372,25,2689,78,311,227,219,477,669,171,387,547,3085,1649,8853,7097,6553,10560,13206,5330,9512,1115,63867,The Hills Shire (A)
17550,17,196,135,152,171,208,73,193,10,1158,53,150,109,118,144,167,72,140,296,1249,940,4171,3477,4474,4924,4011,1971,3590,614,28163,Tweed (A)
17620,6,25,13,17,35,23,12,14,3,153,4,24,19,15,29,30,9,21,45,193,176,626,522,599,858,789,429,932,111,5041,Upper Hunter Shire (A)
17640,0,9,14,15,18,19,14,18,0,100,7,16,6,5,10,15,3,8,15,79,62,317,290,290,320,350,183,615,47,2487,Upper Lachlan Shire (A)
17650,0,9,9,3,3,4,0,5,0,27,0,3,8,3,6,3,5,10,17,50,49,163,146,164,197,208,100,294,31,1351,Uralla (A)
17750,14,107,101,128,262,271,142,181,11,1212,39,95,65,58,174,184,68,116,228,1024,1060,3252,2718,3292,6535,5480,2870,4815,572,30602,Wagga Wagga (C)
17850,0,6,0,3,4,11,9,4,0,42,0,3,3,0,4,7,0,12,10,39,45,146,120,158,144,204,116,412,22,1365,Walcha (A)
17900,0,6,4,6,8,14,7,6,0,49,3,5,5,5,6,7,5,7,38,85,74,197,171,234,321,307,124,562,69,2053,Walgett (A)
17950,6,3,4,0,5,11,3,7,0,37,0,0,0,0,5,4,8,8,4,34,38,80,78,98,159,208,85,331,24,1092,Warren (A)
18020,5,6,3,11,13,18,5,19,0,83,13,12,12,7,7,17,10,11,32,126,104,338,304,402,428,423,245,705,81,3020,Warrumbungle Shire (A)
18050,23,189,165,152,192,219,100,147,22,1210,33,135,140,107,120,198,48,146,222,1141,618,3325,3654,2982,3824,4407,1924,3155,461,24340,Waverley (A)
18100,0,6,4,3,6,7,3,4,0,38,5,5,4,4,12,3,3,13,14,60,35,137,123,118,143,209,113,314,35,1244,Weddin (A)
18200,3,9,9,4,8,5,6,8,3,56,12,14,11,10,14,13,5,15,29,118,108,254,213,280,494,462,238,626,74,2750,Wentworth (A)
18230,25,85,89,90,243,164,99,171,11,980,24,59,46,50,111,138,51,83,200,763,763,2100,1869,2327,4885,4039,1958,3334,427,21701,Western Plains Regional (A)
18250,65,212,242,194,426,489,262,344,27,2261,46,205,247,158,397,649,194,368,494,2765,1642,5561,6426,5108,10702,14417,5772,8837,976,59443,Willoughby (C)
18350,23,99,97,108,139,119,66,121,8,778,26,105,85,79,108,98,52,104,138,794,528,2667,2209,2316,2981,2821,1463,2631,294,17915,Wingecarribee (A)
18400,12,50,44,34,72,79,40,77,3,413,22,65,46,37,73,105,37,62,107,545,365,1302,1062,1085,2104,1904,1099,1971,240,11134,Wollondilly (A)
18450,103,418,371,373,673,657,305,456,26,3379,96,268,245,227,459,522,163,294,618,2900,2885,10387,9437,9454,15941,13704,6780,9318,1310,79222,Wollongong (C)
18500,27,147,172,111,157,179,76,118,5,1001,36,136,119,88,95,173,53,154,156,1010,488,2715,2768,2167,2538,3599,1913,3448,335,19972,Woollahra (A)
18710,0,21,7,20,22,32,13,13,4,133,10,16,14,15,25,16,12,32,34,165,139,570,438,484,577,537,276,676,81,3787,Yass Valley (A)
19399,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,13,29,39,45,36,42,52,97,40,207,20,573,Unincorporated NSW
20110,4,13,13,18,21,34,13,26,4,145,11,22,10,11,21,19,5,24,36,165,203,650,556,620,737,638,343,760,110,4613,Alpine (S)
20260,5,25,11,16,30,28,12,23,0,153,6,23,12,9,21,24,4,24,43,176,230,578,456,601,808,914,366,818,96,4870,Ararat (RC)
20570,51,242,158,212,354,268,166,197,20,1664,64,178,107,112,259,211,94,174,373,1575,1847,6378,5162,5989,8704,7382,4254,5249,834,45788,Ballarat (C)
20660,30,227,155,183,280,230,125,179,6,1425,47,185,89,136,242,259,77,147,315,1501,1451,5948,5194,5569,6653,7229,3186,4438,687,40356,Banyule (C)
20740,24,64,51,49,62,77,34,42,0,399,28,62,37,33,45,45,21,53,97,409,591,1763,1311,1522,1460,1483,709,1209,213,10258,Bass Coast (S)
20830,22,106,88,103,175,127,70,116,6,816,37,85,47,38,66,102,31,82,139,636,620,2512,1879,1993,2368,2338,1304,2430,344,15789,Baw Baw (S)
20910,32,233,157,151,193,192,80,127,20,1193,32,205,136,125,167,228,74,189,224,1387,826,5017,3945,3876,4271,4836,2364,3918,487,29537,Bayside (C)
21010,3,38,16,17,23,36,15,30,3,185,6,20,21,24,32,32,13,16,49,221,234,606,564,667,890,817,463,717,112,5075,Benalla (RC)
21110,40,418,289,289,459,387,238,321,18,2462,88,379,303,238,422,472,166,320,607,3004,2057,10380,8414,7864,11163,13776,6306,10229,1192,71382,Boroondara (C)
21180,44,277,229,223,519,474,238,318,34,2359,95,373,319,324,962,850,263,397,869,4448,1792,7099,6467,7353,14166,13665,5882,8416,1660,66496,Brimbank (C)
21270,3,9,5,6,10,17,3,11,0,74,6,7,3,3,9,15,3,8,29,88,112,309,265,285,290,387,190,556,53,2442,Buloke (S)
21370,23,79,57,76,138,121,61,75,5,623,35,64,37,41,97,83,40,75,162,635,653,1901,1525,1921,2492,2345,1432,2678,347,15291,Campaspe (S)
21450,22,159,102,81,175,162,87,178,13,974,28,156,91,94,156,193,72,120,213,1116,697,3707,2765,2806,3642,3763,1974,3290,508,23143,Cardinia (S)
21610,68,474,336,345,541,473,257,336,38,2872,91,356,227,266,566,600,192,372,623,3296,1950,10260,7736,8255,11383,10300,5215,7829,1311,64240,Casey (C)
21670,3,26,20,17,34,23,12,16,4,149,7,26,19,19,27,32,10,13,34,195,170,603,546,593,740,571,309,489,91,4116,Central Goldfields (S)
21750,3,55,26,36,66,30,18,38,3,280,13,51,45,37,56,59,17,40,88,404,429,1319,1023,1227,1673,1272,745,1503,191,9389,Colac-Otway (S)
21830,5,31,22,11,20,40,16,30,0,173,20,37,20,18,32,42,25,43,87,323,314,914,655,763,702,989,703,1858,180,7080,Corangamite (S)
21890,47,284,244,222,448,375,173,224,27,2035,50,266,202,240,467,425,123,228,471,2481,1412,6830,5703,5678,9581,8290,3873,5292,1018,47683,Darebin (C)
22110,19,86,73,80,96,111,57,89,5,614,30,72,59,61,93,104,29,62,154,661,803,2181,1923,2269,2499,2267,1218,2170,366,15688,East Gippsland (S)
22170,43,264,179,194,300,337,154,229,22,1726,66,230,186,196,405,429,118,285,430,2335,1472,6196,5106,5898,7418,7522,3410,5091,813,42912,Frankston (C)
22250,5,17,18,12,25,27,11,22,0,134,4,20,9,16,15,33,8,24,45,179,167,496,404,467,525,617,317,857,91,3937,Gannawarra (S)
22830,36,144,110,119,282,264,116,146,17,1240,49,102,69,78,199,184,71,136,305,1198,1198,3188,2668,3416,5406,5094,2632,3783,633,28025,Greater Shepparton (C)
22910,13,37,28,22,23,25,11,27,0,190,12,22,15,20,19,20,8,24,42,184,230,789,683,706,537,629,301,663,113,4651,Hepburn (S)
22980,0,3,11,3,10,8,9,13,0,53,0,8,0,4,13,12,0,7,18,75,88,243,206,274,359,389,158,414,52,2174,Hindmarsh (S)
23110,39,169,124,133,276,286,103,161,14,1302,43,139,140,157,380,418,118,233,360,1986,962,3504,3077,3354,7193,7281,3654,5249,719,34988,Hobsons Bay (C)
23190,14,45,31,55,92,89,35,48,7,415,10,39,26,27,53,40,11,41,85,327,382,1168,928,1131,1682,1487,780,1127,184,8873,Horsham (RC)
23270,47,328,295,279,607,567,289,348,41,2811,152,450,405,420,1248,967,358,492,1001,5496,2711,8245,8236,9608,20401,17865,9046,11358,2031,89491,Hume (C)
23350,4,22,15,18,30,26,9,18,4,146,14,27,11,12,23,17,9,26,39,184,229,683,557,578,603,876,419,780,100,4826,Indigo (S)
23430,68,410,316,317,722,707,294,437,51,3322,117,390,417,387,1207,1048,342,533,705,5153,1888,9033,7335,7540,15667,14579,7021,9432,1328,73832,Kingston (C) (Vic.)
23670,62,338,310,309,525,570,235,372,25,2746,101,350,286,334,960,845,328,461,561,4235,1887,8427,6658,7039,13598,11846,5867,7795,1082,64206,Knox (C)
23810,24,170,99,108,237,228,86,157,6,1129,56,96,70,69,153,166,63,127,294,1104,1402,4005,3318,3725,6161,4781,2912,3708,598,30601,Latrobe (C) (Vic.)
23940,4,11,0,6,3,9,3,9,0,35,3,7,4,3,11,11,9,16,46,121,112,325,222,295,294,415,199,697,89,2651,Loddon (S)
24130,13,87,52,82,83,101,42,84,3,551,29,87,47,53,53,76,29,58,87,527,505,2303,1633,1726,1843,1886,942,1598,230,12673,Macedon Ranges (S)
24210,24,248,164,169,230,180,109,155,11,1282,31,193,116,110,133,167,50,102,254,1152,850,5925,4118,3823,4099,4181,2158,3262,517,28931,Manningham (C)
24250,4,25,15,17,11,17,8,24,0,129,12,10,19,12,7,20,7,24,34,142,124,462,357,477,390,486,240,609,67,3219,Mansfield (S)
24330,41,186,170,215,422,299,153,162,15,1665,57,209,164,155,364,347,120,190,394,2009,1131,4948,4426,4543,7381,6594,3082,4352,804,37261,Maribyrnong (C)
24410,47,247,228,216,400,369,181,287,27,2001,61,234,157,188,425,391,147,266,318,2195,1228,6431,5014,5137,7676,7429,3755,4897,693,42258,Maroondah (C)
24600,274,661,944,990,2380,1698,889,1084,68,8990,394,1042,1106,792,2091,2516,820,1480,3795,14031,14588,26785,35384,35022,91235,112174,47777,66584,7217,436750,Melbourne (C)
24650,17,151,100,112,168,191,89,140,16,986,30,141,89,103,196,224,52,102,245,1195,760,3775,2723,2978,4424,4459,1939,3086,541,24682,Melton (C)
24780,19,86,64,78,201,187,59,96,11,805,37,83,71,89,144,159,45,91,225,936,798,2619,2038,2685,4239,3632,1851,2983,494,21354,Mildura (RC)
24850,13,55,38,31,57,68,36,56,9,362,15,67,42,42,50,63,21,43,103,452,455,1550,1281,1283,1690,1787,988,1579,251,10865,Mitchell (S)
24900,9,63,36,38,65,76,44,54,3,389,36,42,25,31,62,82,33,67,123,511,537,1283,1026,1230,1522,1655,1055,1967,263,10534,Moira (S)
24970,68,340,321,293,695,639,311,425,32,3134,145,415,408,402,1044,1123,363,548,967,5425,3041,11449,10257,10903,21930,22414,9991,13904,1897,105786,Monash (C)
25060,45,240,225,217,346,299,140,209,19,1739,43,163,148,134,226,223,85,123,330,1475,1078,5622,4310,4321,6608,6205,2904,4288,698,36036,Moonee Valley (C)
