lga_code16,lga_name16,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012pr,erp_2013pr,erp_2014pr,erp_2015pr,erp_2016pr,areasqkm16
17550,Tweed (A),73980,75711,77868,79555,80382,81531,83060,84842,86539,87722,88437,89242,90143,91029,92109,93458,1307.6562
17620,Upper Hunter Shire (A),13430,13415,13335,13235,13281,13333,13374,13599,13801,13983,14206,14406,14545,14557,14476,14409,8096.0892
17640,Upper Lachlan Shire (A),7210,7203,7195,7192,7185,7209,7229,7276,7333,7379,7422,7570,7591,7720,7799,7841,7127.3957
17650,Uralla (A),6052,6002,5912,5885,5888,5894,5930,5996,6129,6198,6241,6247,6260,6248,6208,6159,3226.5327
17750,Wagga Wagga (C),56280,56718,56897,57211,57761,58518,59493,60329,61061,61503,61781,62163,62509,62924,63520,64085,4824.4889
17850,Walcha (A),3282,3270,3257,3244,3244,3259,3210,3172,3154,3137,3119,3147,3157,3159,3142,3144,6261.0242
17900,Walgett (A),8261,8049,7800,7517,7312,7129,6979,6883,6914,6908,6797,6715,6618,6547,6465,6369,22308.3848
17950,Warren (A),3293,3201,3111,3008,2919,2814,2786,2789,2807,2840,2862,2858,2840,2813,2790,2802,10753.7673
18020,Warrumbungle Shire (A),10762,10620,10446,10258,10155,10034,9952,9925,9930,9921,9898,9849,9738,9682,9613,9541,12372.1201
18050,Waverley (A),62853,62832,62778,62988,63435,64294,65279,66458,67394,68082,68698,69338,70108,70835,71465,72106,9.3507
18100,Weddin (A),3826,3798,3768,3756,3737,3722,3710,3715,3720,3733,3759,3742,3730,3717,3703,3692,3414.8566
18200,Wentworth (A),7156,7078,7009,6946,6915,6926,6963,6964,6932,6910,6837,6847,6845,6874,6886,6920,26256.2398
18230,Western Plains Regional (A),47176,47162,47060,47025,47038,47148,47315,47849,48466,48949,49079,49419,49785,50370,50908,51429,7534.5251
18250,Willoughby (C),61399,62785,63389,64414,65578,66481,67809,68434,69512,70256,71139,72173,73151,74365,76135,78017,22.4258
18350,Wingecarribee (A),42384,42980,43257,43348,43402,43532,44054,44539,45165,45761,46126,46497,47008,47544,48247,49070,2689.3413
18400,Wollondilly (A),38178,38513,39215,39830,40411,40969,41589,42401,43145,43828,44607,45434,46372,47411,48510,49742,2555.4339999999997
18450,Wollongong (C),188275,189851,190475,190641,190721,190909,192770,195437,197887,200468,202068,203283,205100,207036,209123,211201,683.9860000000001
18500,Woollahra (A),52677,52792,52998,52723,52655,52995,53564,54076,54862,55497,56320,56733,57145,57619,57995,58290,12.2775
18710,Yass Valley (A),12002,12366,12772,13058,13247,13500,13916,14310,14714,15227,15615,15826,16040,16234,16418,16628,3995.3257
19399,Unincorporated NSW,1210,1189,1162,1135,1114,1095,1100,1107,1107,1114,1119,1124,1126,1132,1103,1108,93214.1592
20110,Alpine (S),12709,12655,12581,12432,12372,12260,12227,12156,12112,12089,12068,12160,12233,12286,12339,12450,4788.1568
20260,Ararat (RC),11544,11566,11536,11510,11452,11422,11363,11344,11332,11337,11326,11395,11475,11545,11625,11707,4211.1171
20570,Ballarat (C),82333,83168,84190,84775,85663,86647,87796,89531,91390,93359,95185,96730,98323,99917,101506,103407,739.0321
20660,Banyule (C),117967,117559,117313,116661,117149,117963,119362,120580,122248,122780,122983,123661,124432,125330,126409,127693,62.5402
20740,Bass Coast (S),25243,25809,26224,26476,26894,26941,27408,27981,28561,29474,30233,30789,31278,31847,32490,33317,865.8095
20830,Baw Baw (S),35850,35990,36283,36643,37079,37814,38503,39389,40516,42097,43389,44459,45520,46500,47654,49008,4027.6287
20910,Bayside (C),88262,88717,89088,89394,89873,90807,92041,93535,94850,95594,96119,96958,98199,99752,101227,102737,37.2111
21010,Benalla (RC),13886,13897,13878,13846,13829,13807,13802,13792,13796,13838,13818,13848,13873,13894,13920,13962,2352.6397
21110,Boroondara (C),156246,156886,157298,157885,158727,159605,161308,163408,165284,166326,167062,168540,170545,172816,174994,177361,60.1774
21180,Brimbank (C),167213,168499,169424,170953,172749,174231,177004,180561,185397,188895,191496,194042,196667,199365,202193,205741,123.3991
21270,Buloke (S),7220,7171,7102,7026,6995,6957,6861,6789,6751,6622,6465,6424,6367,6307,6269,6230,8000.4027
21370,Campaspe (S),36011,36247,36457,36549,36779,36969,37020,37017,37021,36973,36855,37016,37154,37260,37333,37429,4518.8582
21450,Cardinia (S),46720,47840,50038,52864,55173,57950,60368,63647,67889,71830,75831,80451,84623,88153,92430,97625,1282.5678
21610,Casey (C),180444,188914,198652,206646,213821,220440,228496,237529,246678,254471,261282,269447,278358,288553,300408,313521,409.4289
21670,Central Goldfields (S),12888,12835,12732,12566,12493,12434,12471,12531,12587,12600,12579,12702,12787,12847,12903,13012,1532.7843
21750,Colac-Otway (S),20686,20689,20697,20689,20684,20614,20687,20782,20844,20855,20799,20906,21037,21142,21248,21359,3437.4701
21830,Corangamite (S),17293,17232,17027,16962,16867,16815,16718,16636,16623,16563,16526,16452,16368,16282,16199,16133,4407.4921
21890,Darebin (C),127067,127359,127711,128735,130298,132299,134748,137525,140289,141780,142942,145000,147253,149539,152037,155022,53.4711
22110,East Gippsland (S),38843,39112,39329,39776,40173,40544,40969,41416,41904,42385,42826,43305,43746,44201,44771,45426,20940.2326
22170,Frankston (C),113306,114262,115483,117124,118530,120148,122182,124689,127252,129052,130350,132226,134376,136270,137932,139511,129.59799999999998
22250,Gannawarra (S),11873,11783,11661,11540,11455,11413,11207,11052,10923,10692,10453,10499,10526,10538,10543,10563,3735.3353
22830,Greater Shepparton (C),57610,57996,58379,58338,58419,58688,59208,59854,60758,61443,61744,62577,63256,63960,64555,65076,2421.9093
22910,Hepburn (S),14268,14192,14114,14097,13973,13926,14014,14187,14416,14561,14629,14836,15038,15214,15375,15560,1472.9844
22980,Hindmarsh (S),6496,6452,6361,6274,6189,6119,6080,6032,6025,5954,5856,5851,5835,5821,5779,5741,7524.1824
23110,Hobsons Bay (C),82854,83124,83107,82668,82990,83906,84819,85513,86767,87192,87395,88350,89182,90445,91724,93392,64.2404
23190,Horsham (RC),18305,18326,18340,18413,18584,18770,18917,19060,19243,19390,19523,19600,19671,19720,19757,19817,4266.769
23270,Hume (C),135147,137854,140995,144546,149059,152797,157516,161863,166728,170952,174290,179401,185218,191866,199001,207830,503.8505
23350,Indigo (S),14493,14603,14710,14810,14919,15038,15047,15128,15223,15287,15317,15431,15556,15663,15834,16035,2040.069
23430,Kingston (C) (Vic.),133063,134216,135191,136121,137091,138390,140487,142817,146050,147407,148304,150487,152392,154352,156461,159023,91.3677
23670,Knox (C),146525,147952,149038,149068,149362,150275,151343,152538,154122,154643,154625,155506,156494,157718,159104,160665,113.9115
23810,Latrobe (C) (Vic.),69573,69575,69633,69754,69939,70536,71045,71702,72306,73082,73788,73963,74019,74002,74102,74329,1425.6128
23940,Loddon (S),8473,8390,8284,8125,8012,7922,7883,7812,7741,7653,7546,7531,7519,7516,7537,7555,6696.4447
24130,Macedon Ranges (S),37325,37605,37942,38509,38998,39383,39900,40584,41582,42223,42883,43812,44614,45519,46443,47512,1748.2837
24210,Manningham (C),113194,113422,113434,113308,113432,113914,114771,115539,116372,116656,116750,117535,118509,119706,121166,122902,113.3478
24250,Mansfield (S),6718,6757,6807,6939,7124,7357,7465,7593,7754,7870,7942,8085,8250,8358,8483,8605,3843.8535
24330,Maribyrnong (C),60848,61557,62516,63168,64137,65518,67666,69902,71872,73613,75154,77281,79959,82761,85194,87355,31.2254
24410,Maroondah (C),99662,99999,100177,100476,101009,101430,102536,104034,106011,106677,107323,108493,109869,111596,113278,114979,61.4097
24600,Melbourne (C),55398,60415,65954,71425,76034,80154,85366,89937,94247,97623,100240,107912,119513,129254,138596,148039,37.3513
24650,Melton (C),52504,57724,63837,69145,74316,80595,86196,92552,99935,106848,112643,118424,124089,129582,135308,141749,527.5374
24780,Mildura (RC),48865,49405,49534,49677,49981,50540,50855,51140,51373,51625,51822,52469,53128,53712,54134,54564,22082.4836
24850,Mitchell (S),27526,28179,29158,29862,30492,30723,31529,32302,32897,33892,35105,36360,37728,39011,40171,41632,2862.0833
24900,Moira (S),26404,26437,26583,26684,26969,27477,27703,27968,28140,28331,28406,28645,28836,29012,29174,29306,4046.3738
24970,Monash (C),162135,162430,162824,163495,164949,167010,169145,171321,174398,175731,177345,180398,183374,186395,189541,192850,81.4829
25060,Moonee Valley (C),104793,104856,104629,104632,105059,105717,106716,108417,110367,111363,112180,113718,115519,117894,120427,122968,43.1386
25150,Moorabool (S),24839,24943,25197,25378,25783,26077,26431,26813,27453,28047,28670,29367,30409,31077,31769,32658,2110.5504
25250,Moreland (C),135540,136156,136630,137642,138963,140872,143694,146450,150114,152261,154247,156962,160224,164077,167873,172091,50.9519
25340,Mornington Peninsula (S),131574,133997,135620,136674,137759,139317,141740,144403,147002,148542,149271,151600,153760,156194,158454,160862,724.1679
17350,Temora (A),6288,6221,6123,6039,6016,6008,5977,5959,5936,5951,5953,6009,6068,6117,6190,6236,2802.0159999999996
17400,Tenterfield (A),6842,6808,6709,6650,6630,6666,6731,6796,6882,6941,6990,6922,6824,6755,6694,6667,7322.793000000001
22670,Greater Dandenong (C),127724,127336,127060,127293,128054,130068,132860,135884,138740,140212,142167,145295,148817,152667,156800,160952,129.5469
22750,Greater Geelong (C),191534,194713,196973,198541,199996,201495,203802,206479,209429,212585,215837,219018,223021,227326,232411,238603,1247.9876
25430,Mount Alexander (S),16881,16968,17153,17180,17240,17304,17415,17585,17683,17806,17872,18031,18197,18432,18706,18966,1529.6184
25490,Moyne (S),15525,15578,15605,15597,15635,15708,15744,15848,15976,16082,16167,16300,16416,16497,16573,16693,5481.6861
25620,Murrindindi (S),13257,13349,13395,13381,13472,13663,13690,13748,13352,13318,13335,13447,13542,13660,13814,13993,3879.7505
25710,Nillumbik (S),60444,60501,60452,60682,61102,61515,61858,62367,62785,62838,62716,62971,63228,63533,63822,64280,432.3373
25810,Northern Grampians (S),12857,12793,12616,12460,12285,12095,12095,12087,12117,12113,12054,11974,11885,11788,11661,11577,5729.8764
17100,Strathfield (A),29253,29578,30256,31242,32143,33030,34219,35343,36592,37002,37239,37967,38899,40275,41239,42331,14.0009
17150,Sutherland Shire (A),212458,212978,212719,211907,211460,211230,213161,216400,219065,220060,220250,221217,222456,223817,225063,226041,333.5933
17200,Sydney (C),128901,136368,145079,152892,158834,164597,169056,172985,177150,180748,183281,189885,196949,205541,215421,224211,26.7429
17310,Tamworth Regional (A),53557,53831,54016,54111,54363,54887,55607,56148,56814,57650,58228,58723,59263,59917,60487,60998,9884.3506
22310,Glen Eira (C),122346,123197,123816,125037,126485,128474,130524,132900,135414,136515,137152,139234,141453,144039,146410,149012,38.6906
22410,Glenelg (S),20083,20065,20039,20033,20051,20077,20035,20020,19995,19949,19848,19822,19787,19747,19716,19726,6218.5734
22490,Golden Plains (S),14872,15119,15477,15931,16390,16666,17022,17456,17941,18441,18958,19590,20331,20860,21340,21929,2703.3898
22620,Greater Bendigo (C),89071,90176,91513,92535,93269,94577,96097,97417,99003,100506,101995,103830,105779,107732,109626,111783,2999.9721
25900,Port Phillip (C),80054,82220,84170,86017,87831,89641,91490,93174,95272,96375,97276,99902,102144,104471,106432,108558,20.7092
25990,Pyrenees (S),6541,6546,6551,6561,6603,6648,6650,6661,6721,6748,6759,6859,6933,7043,7174,7301,3434.5689
26080,Queenscliffe (B),3226,3196,3158,3119,3104,3086,3081,3077,3065,3059,3061,3052,2993,2957,2916,2904,8.6166
