LGA_MAIN11,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
10650,0,0,0,8,5,13,3,0,3,0,4,4,0,0,0,1124,935,2059,59,56,115,59,0,59,21,5,26,20,6,26,25,10,35,127,118,245,1446,1139,2585,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,19,3,22,22,6,28,0,0,0,0,0,0,3,0,3,3,0,3,208,156,364,140,231,371,33,29,62,1852,1561,3413,Berrigan (A)
10750,5707,5822,11529,1494,1810,3304,7,6,13,10,13,23,197,64,261,47766,33143,80909,3329,4527,7856,1680,30,1710,571,26,597,313,28,341,393,142,535,890,931,1821,62357,46542,108899,1571,1716,3287,4,4,8,28,14,42,1385,1013,2398,410,762,1172,118,32,150,3516,3541,7057,0,0,0,0,0,0,112,102,214,80,179,259,17,18,35,209,299,508,388,180,568,4113,4020,8133,502,561,1063,13,19,32,19,5,24,534,585,1119,1099,1686,2785,4020,6579,10599,1245,1009,2254,73368,60421,133789,Blacktown (C)
10800,0,0,0,48,9,57,0,0,0,0,0,0,4,0,4,733,610,1343,104,58,162,58,0,58,9,0,9,15,5,20,45,12,57,108,95,203,1124,789,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,3,0,3,0,0,0,14,0,14,9,7,16,23,7,30,0,0,0,0,0,0,4,0,4,4,0,4,233,199,432,127,137,264,22,30,52,1533,1162,2695,Bland (A)
10850,0,0,0,7,5,12,0,0,0,0,0,0,3,0,3,1118,885,2003,70,56,126,71,8,79,13,0,13,0,0,0,19,0,19,57,51,108,1358,1005,2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,16,11,27,19,14,33,0,0,0,0,0,0,0,0,0,0,0,0,154,154,308,155,198,353,33,22,55,1719,1393,3112,Blayney (A)
10900,1559,1115,2674,46,63,109,3,3,6,5,5,10,35,40,75,11082,9691,20773,615,847,1462,376,6,382,146,15,161,98,30,128,96,49,145,455,458,913,14516,12322,26838,136,100,236,3,0,3,7,5,12,335,253,588,85,100,185,81,23,104,647,481,1128,0,0,0,0,0,0,4,3,7,3,7,10,0,4,4,7,14,21,108,70,178,762,565,1327,90,67,157,0,0,0,13,0,13,103,67,170,1034,1196,2230,1746,2852,4598,219,227,446,18380,17229,35609,Blue Mountains (C)
10950,0,0,0,49,16,65,0,0,0,0,0,0,0,0,0,315,287,602,45,34,79,30,3,33,6,4,10,9,0,9,4,3,7,59,67,126,517,414,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,5,0,5,8,0,8,0,0,0,0,0,0,3,0,3,3,0,3,91,63,154,58,55,113,26,12,38,703,544,1247,Bogan (A)
11000,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,357,280,637,35,16,51,33,3,36,8,0,8,9,0,9,16,12,28,40,34,74,502,348,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,65,60,125,45,53,98,11,6,17,623,470,1093,Bombala (A)
11050,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,273,222,495,41,23,64,42,3,45,10,0,10,6,0,6,8,8,16,45,31,76,425,293,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,3,4,7,6,3,9,9,7,16,0,0,0,0,0,0,0,0,0,0,0,0,93,72,165,49,75,124,15,13,28,591,460,1051,Boorowa (A)
11100,376,320,696,1088,1386,2474,0,4,4,0,0,0,45,14,59,5548,3920,9468,342,643,985,139,4,143,154,16,170,211,42,253,77,24,101,525,474,999,8505,6847,15352,225,208,433,0,0,0,3,3,6,25,27,52,10,15,25,5,3,8,268,256,524,0,0,0,6,3,9,44,65,109,22,61,83,14,7,21,86,136,222,44,15,59,398,407,805,37,35,72,5,9,14,3,0,3,45,44,89,168,229,397,536,924,1460,159,135,294,9811,8586,18397,Botany Bay (C)
11150,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,309,289,598,45,38,83,19,0,19,7,3,10,9,7,16,11,0,11,98,110,208,498,454,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,0,9,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,65,51,116,36,53,89,13,18,31,624,576,1200,Bourke (A)
11200,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,125,124,249,22,22,44,15,0,15,0,0,0,6,0,6,5,3,8,76,84,160,253,237,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,25,65,20,18,38,16,10,26,329,290,619,Brewarrina (A)
11400,0,0,0,15,14,29,0,0,0,0,0,0,4,0,4,2023,1751,3774,150,133,283,118,3,121,45,0,45,12,0,12,38,13,51,175,100,275,2580,2014,4594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,54,41,13,54,0,0,0,0,0,0,0,0,0,0,0,0,391,323,714,229,334,563,57,44,101,3298,2728,6026,Cabonne (A)
11450,291,302,593,48,104,152,0,0,0,3,0,3,14,3,17,11001,8839,19840,651,673,1324,588,3,591,101,7,108,47,7,54,58,31,89,173,182,355,12975,10151,23126,111,89,200,0,0,0,4,0,4,396,342,738,33,72,105,8,3,11,552,506,1058,0,0,0,0,0,0,4,4,8,10,21,31,0,0,0,14,25,39,87,36,123,653,567,1220,60,52,112,4,0,4,9,0,9,73,52,125,392,676,1068,1017,1815,2832,200,190,390,15310,13451,28761,Camden (A)
11250,0,0,0,28,9,37,0,0,0,0,0,0,12,12,24,2382,2237,4619,271,265,536,69,0,69,49,8,57,54,8,62,34,23,57,211,176,387,3110,2738,5848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15,41,26,15,41,0,0,0,0,0,0,3,0,3,3,0,3,67,95,162,366,434,800,85,66,151,3657,3348,7005,Broken Hill (C)
11720,11,14,25,40,43,83,5,0,5,0,0,0,15,19,34,7977,6261,14238,792,557,1349,341,7,348,95,12,107,38,5,43,35,30,65,240,232,472,9589,7180,16769,10,3,13,0,0,0,0,0,0,12,13,25,3,6,9,3,0,3,28,22,50,0,0,0,0,0,0,3,3,6,7,5,12,0,0,0,10,8,18,138,40,178,176,70,246,6,3,9,3,0,3,5,3,8,14,6,20,255,451,706,1159,1574,2733,251,161,412,11444,9442,20886,Cessnock (C)
11730,3,8,11,44,35,79,4,0,4,0,0,0,14,14,28,5838,5204,11042,525,538,1063,342,6,348,110,13,123,188,74,262,86,34,120,479,441,920,7633,6367,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,5,3,8,0,0,0,0,0,0,5,3,8,0,7,7,0,0,0,5,10,15,82,41,123,92,54,146,4,0,4,0,4,4,4,0,4,8,4,12,540,638,1178,845,1244,2089,193,145,338,9311,8452,17763,Clarence Valley (A)
11750,0,0,0,38,12,50,0,0,0,0,0,0,0,10,10,754,539,1293,96,50,146,18,3,21,9,3,12,14,3,17,16,5,21,95,86,181,1040,711,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,19,13,6,19,0,0,0,3,0,3,0,0,0,3,0,3,72,66,138,161,116,277,17,18,35,1306,917,2223,Cobar (A)
11800,11,7,18,71,77,148,9,0,9,0,3,3,24,24,48,9589,8800,18389,862,1077,1939,441,14,455,214,15,229,244,44,288,109,53,162,492,506,998,12066,10620,22686,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,4,0,4,3,14,17,0,5,5,7,19,26,109,54,163,116,79,195,4,3,7,3,3,6,4,0,4,11,6,17,598,826,1424,1236,1997,3233,218,221,439,14245,13749,27994,Coffs Harbour (C)
11860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,165,370,4,10,14,10,0,10,15,4,19,0,0,0,20,0,20,34,17,51,288,196,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,8,0,0,0,0,0,0,3,0,3,3,0,3,162,102,264,25,40,65,4,6,10,490,344,834,Conargo (A)
12000,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,552,444,996,54,42,96,31,0,31,9,3,12,3,3,6,16,4,20,54,49,103,723,548,1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,13,10,3,13,3,0,3,0,0,0,0,0,0,3,0,3,117,96,213,73,104,177,12,15,27,938,766,1704,Coolamon (A)
12050,0,0,0,8,7,15,0,0,0,0,0,0,5,4,9,1513,1288,2801,154,168,322,67,4,71,21,3,24,19,0,19,26,17,43,145,155,300,1958,1646,3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,22,7,29,22,11,33,0,0,0,0,0,0,5,0,5,5,0,5,144,149,293,206,279,485,29,37,66,2364,2122,4486,Cooma-Monaro (A)
12150,3,0,3,0,3,3,0,0,0,0,0,0,0,0,0,459,399,858,65,54,119,32,3,35,9,5,14,3,0,3,26,11,37,67,54,121,664,529,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,15,12,3,15,0,0,0,0,0,0,3,0,3,3,0,3,137,94,231,54,75,129,30,10,40,900,711,1611,Coonamble (A)
11300,1961,1813,3774,193,298,491,0,4,4,3,3,6,16,8,24,3696,2421,6117,171,374,545,126,0,126,52,12,64,68,13,81,40,19,59,315,393,708,6641,5358,11999,394,359,753,9,0,9,7,3,10,78,69,147,36,62,98,17,9,26,541,502,1043,0,0,0,0,0,0,9,6,15,4,9,13,3,0,3,16,15,31,27,22,49,584,539,1123,45,43,88,0,3,3,3,3,6,48,49,97,199,249,448,439,711,1150,151,128,279,8062,7034,15096,Burwood (A)
11350,5,3,8,40,41,81,0,5,5,0,0,0,12,9,21,3712,3589,7301,249,284,533,157,0,157,72,14,86,227,139,366,72,47,119,305,279,584,4851,4410,9261,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,4,4,0,6,6,0,0,0,0,10,10,35,43,78,40,56,96,5,3,8,0,4,4,4,3,7,9,10,19,733,828,1561,605,843,1448,129,105,234,6367,6252,12619,Byron (A)
11500,3379,3243,6622,230,392,622,0,3,3,8,6,14,72,30,102,22469,16619,39088,1770,1961,3731,913,21,934,258,18,276,95,13,108,156,77,233,425,489,914,29775,22872,52647,652,625,1277,3,0,3,9,12,21,659,605,1264,249,304,553,81,27,108,1653,1573,3226,0,0,0,0,0,0,3,13,16,25,48,73,4,7,11,32,68,100,180,84,264,1865,1725,3590,238,272,510,3,7,10,7,5,12,248,284,532,471,746,1217,2373,3585,5958,617,494,1111,35349,29706,65055,Campbelltown (C)
11520,1764,1699,3463,1326,1777,3103,367,323,690,3,15,18,61,43,104,11541,8850,20391,515,977,1492,281,4,285,243,31,274,314,57,371,126,51,177,466,567,1033,17007,14394,31401,371,414,785,20,18,38,5,0,5,126,107,233,35,65,100,23,14,37,580,618,1198,47,55,102,0,0,0,65,91,156,26,51,77,24,17,41,162,214,376,136,84,220,878,916,1794,87,87,174,21,9,30,11,4,15,119,100,219,681,902,1583,1142,2061,3203,239,240,479,20066,18613,38679,Canada Bay (A)
11550,4230,3999,8229,527,960,1487,4,3,7,10,11,21,189,41,230,18474,10825,29299,1100,1714,2814,597,10,607,197,33,230,181,47,228,209,69,278,658,667,1325,26376,18379,44755,806,882,1688,15,7,22,22,11,33,373,313,686,82,194,276,62,17,79,1360,1424,2784,0,0,0,0,0,0,33,32,65,23,68,91,10,0,10,66,100,166,116,84,200,1542,1608,3150,155,167,322,3,3,6,0,0,0,158,170,328,519,710,1229,1700,2328,4028,699,475,1174,30994,23670,54664,Canterbury (C)
11600,0,0,0,3,5,8,0,0,0,0,0,0,3,0,3,398,276,674,35,24,59,20,0,20,8,0,8,7,0,7,28,6,34,71,55,126,573,366,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,117,78,195,62,73,135,13,15,28,771,532,1303,Carrathool (A)
11700,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,166,132,298,21,28,49,9,0,9,14,0,14,7,3,10,14,7,21,94,79,173,328,252,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,3,0,3,3,0,3,81,54,135,25,25,50,12,5,17,454,336,790,Central Darling (A)
12200,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,934,852,1786,77,65,142,63,0,63,14,0,14,28,7,35,13,3,16,111,87,198,1244,1019,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,96,95,191,117,165,282,19,21,40,1485,1300,2785,Cootamundra (A)
12300,0,4,4,12,6,18,0,0,0,0,0,0,4,0,4,1770,1336,3106,141,109,250,54,0,54,9,0,9,33,10,43,24,15,39,94,85,179,2141,1565,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,31,21,10,31,0,0,0,3,0,3,3,0,3,6,0,6,179,149,328,176,303,479,49,33,82,2572,2060,4632,Corowa Shire (A)
12350,0,0,0,5,8,13,0,0,0,0,0,0,5,3,8,1611,1308,2919,168,137,305,95,6,101,33,0,33,14,0,14,32,8,40,140,93,233,2103,1563,3666,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,30,20,13,33,0,0,0,0,0,0,0,0,0,0,0,0,226,212,438,180,311,491,57,52,109,2586,2151,4737,Cowra (A)
12500,0,0,0,7,3,10,0,0,0,3,0,3,0,5,5,1099,942,2041,78,98,176,37,3,40,9,0,9,23,13,36,20,12,32,97,97,194,1373,1173,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,18,5,13,18,0,3,3,0,0,0,0,0,0,0,3,3,46,63,109,107,171,278,42,28,70,1573,1451,3024,Deniliquin (A)
12600,4,3,7,55,39,94,6,3,9,0,0,0,27,27,54,6558,6245,12803,687,731,1418,293,13,306,104,10,114,100,18,118,39,22,61,349,282,631,8222,7393,15615,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,60,35,95,63,41,104,3,5,8,0,0,0,6,0,6,9,5,14,300,370,670,664,1112,1776,111,108,219,9369,9029,18398,Dubbo (C)
