LGA_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,LGA_NAME11
14450,10900,33317,690,1493,927,2512,1617,4005,1430,3080,2891,6760,2405,5962,11,28,6737,15830,4,10,0,0,75,155,79,165,16,32,19349,53349,1253,0,20602,53349,Kogarah (C)
14500,28355,87441,444,802,1078,2400,1522,3202,1599,2795,1457,2732,2738,6008,37,77,5831,11612,5,8,0,0,15,37,20,45,49,115,35777,102415,2718,0,38495,102415,Ku-ring-gai (A)
14550,3450,8310,20,31,14,18,34,49,63,103,0,0,0,0,0,8,63,111,31,52,13,20,12,23,56,95,0,0,3603,8565,634,0,4237,8565,Kyogle (A)
14600,2374,5858,34,42,0,0,34,42,46,68,0,0,0,0,0,0,46,68,16,30,0,5,3,9,19,44,3,5,2476,6017,601,0,3077,6017,Lachlan (A)
14650,60962,161804,3826,6383,1291,2754,5117,9137,3133,4810,220,352,288,513,102,165,3743,5840,583,893,8,12,111,219,702,1124,34,74,70558,177979,6399,0,76957,177979,Lake Macquarie (C)
14700,5917,17855,204,402,504,1199,708,1601,1012,1858,2190,4186,1961,3813,20,37,5183,9894,0,0,0,0,34,68,34,68,40,96,11882,29514,941,0,12823,29514,Lane Cove (A)
14750,3373,8960,137,223,24,35,161,258,210,354,0,0,3,4,0,0,213,358,21,26,3,3,13,35,37,64,5,14,3789,9654,489,0,4278,9654,Leeton (A)
14800,7529,19503,3481,7872,4279,10136,7760,18008,1557,2641,1664,2651,2498,4221,32,52,5751,9565,3,0,3,4,254,524,260,528,20,41,21320,47645,2032,0,23352,47645,Leichhardt (A)
14850,13875,35816,656,1078,251,477,907,1555,1045,1669,76,104,48,61,51,78,1220,1912,236,351,26,46,67,117,329,514,12,23,16343,39820,1507,0,17850,39820,Lismore (C)
14870,7048,17108,397,662,25,47,422,709,188,263,36,55,0,0,5,10,229,328,32,49,7,7,41,81,80,137,6,16,7785,18298,1313,0,9098,18298,Lithgow (C)
14900,40344,136124,2337,6067,4017,11906,6354,17973,1460,2810,2712,5968,2547,6360,44,89,6763,15227,48,73,4,8,35,71,87,152,47,97,53595,169573,2363,0,55958,169573,Liverpool (C)
14920,2825,6706,41,63,3,0,44,63,53,74,0,0,0,0,0,0,53,74,9,11,3,6,10,25,22,42,7,20,2951,6905,627,0,3578,6905,Liverpool Plains (A)
14950,1097,2693,0,0,0,0,0,0,11,13,0,0,0,0,0,0,11,13,3,3,0,0,8,17,11,20,7,8,1126,2734,176,0,1302,2734,Lockhart (A)
15050,21263,59328,1202,2110,283,531,1485,2641,1170,1877,0,0,0,0,17,26,1187,1903,83,120,0,3,75,138,158,261,4,12,24097,64145,1611,0,25708,64145,Maitland (C)
15150,6115,18402,788,1938,1001,2413,1789,4351,1962,3981,2226,4199,2954,5328,17,42,7159,13550,3,4,0,0,48,106,51,110,20,27,15134,36440,2032,0,17166,36440,Manly (A)
15200,10045,27876,5134,11985,3117,7732,8251,19717,4722,8567,4671,8580,1699,3047,131,246,11223,20440,0,3,6,11,380,969,386,983,71,144,29976,69160,2388,0,32364,69160,Marrickville (A)
15270,7614,19077,305,530,0,0,305,530,288,396,7,9,0,0,3,6,298,411,93,133,14,22,35,57,142,212,3,9,8362,20239,1913,0,10275,20239,Mid-Western Regional (A)
15300,4074,10876,110,248,20,46,130,294,379,593,0,0,0,0,3,5,382,598,52,86,0,3,17,36,69,125,7,13,4662,11906,919,0,5581,11906,Moree Plains (A)
15350,4176,12616,644,1552,703,1615,1347,3167,1232,2317,2118,3519,1807,2948,3,7,5160,8791,3,6,0,0,9,17,12,23,47,94,10742,24691,1243,0,11985,24691,Mosman (A)
15500,2387,5719,16,27,6,16,22,43,229,337,0,0,0,0,0,3,229,340,45,81,3,5,10,18,58,104,13,22,2709,6228,567,0,3276,6228,Murray (A)
15550,775,1946,0,0,0,0,0,0,41,58,0,0,0,0,0,0,41,58,14,28,3,5,3,4,20,37,3,8,839,2049,197,0,1036,2049,Murrumbidgee (A)
15650,4923,13245,175,292,41,73,216,365,313,505,0,0,0,0,3,3,316,508,43,71,0,3,13,21,56,95,20,27,5531,14240,693,0,6224,14240,Muswellbrook (A)
15700,6553,15772,283,454,66,111,349,565,448,659,35,54,46,81,4,10,533,804,121,158,10,13,50,109,181,280,0,0,7616,17421,1175,0,8791,17421,Nambucca (A)
15750,4274,11133,31,53,4,15,35,68,384,568,3,8,0,0,3,4,390,580,50,77,6,9,13,30,69,116,15,28,4783,11925,789,0,5572,11925,Narrabri (A)
15800,2098,5117,27,35,4,11,31,46,86,114,0,0,0,0,3,6,89,120,16,24,0,0,6,9,22,33,5,17,2245,5333,402,0,2647,5333,Narrandera (A)
15850,2293,5858,44,77,0,0,44,77,74,102,0,0,0,0,6,10,80,112,15,24,3,3,13,26,31,53,4,8,2452,6108,385,0,2837,6108,Narromine (A)
15900,42986,110119,3661,6412,3396,7053,7057,13465,4742,7343,1910,3096,1386,2408,86,151,8124,12998,25,43,0,7,175,351,200,401,84,122,58451,137105,4890,0,63341,137105,Newcastle (C)
15950,3937,10433,1262,2812,2904,6471,4166,9283,3307,6010,6084,10715,10763,18514,21,34,20175,35273,17,31,0,0,83,137,100,168,50,99,28428,55256,3527,0,31955,55256,North Sydney (A)
16100,1791,4484,31,49,4,7,35,56,32,38,12,14,0,0,0,0,44,52,17,24,0,0,0,0,17,24,0,0,1887,4616,586,0,2473,4616,Oberon (A)
16150,11982,31700,920,1551,57,92,977,1643,743,1023,28,35,20,30,12,25,803,1113,45,56,4,6,48,85,97,147,6,18,13865,34621,1300,0,15165,34621,Orange (C)
16180,4600,12533,57,112,14,26,71,138,9,16,0,0,0,0,8,15,17,31,139,260,10,31,8,15,157,306,3,5,4848,13013,771,0,5619,13013,Palerang (A)
16200,4974,12587,180,297,3,6,183,303,174,228,8,13,0,0,7,6,189,247,34,68,3,0,16,37,53,105,3,16,5402,13258,731,0,6133,13258,Parkes (A)
16250,29929,91584,3109,7247,4473,12862,7582,20109,5924,12031,7936,18495,5050,11528,71,143,18981,42197,3,6,4,16,104,268,111,290,100,220,56703,154400,3715,0,60418,154400,Parramatta (C)
16350,48409,146184,2729,5796,3701,9046,6430,14842,1768,3549,1772,3083,467,880,235,545,4242,8057,158,254,6,20,64,165,228,439,83,129,59392,169651,3240,0,62632,169651,Penrith (C)
16370,14633,42373,638,1350,1529,3786,2167,5136,1289,2236,1205,2307,216,403,115,199,2825,5145,31,51,3,0,109,209,143,260,9,19,19777,52933,2829,0,22606,52933,Pittwater (A)
16380,21988,55733,2449,4174,899,1616,3348,5790,1584,2435,544,883,746,1301,37,65,2911,4684,600,933,6,10,190,319,796,1262,18,35,29061,67504,3571,0,32632,67504,Port Macquarie-Hastings (A)
16400,19752,52012,1505,2783,1093,2422,2598,5205,780,1359,144,231,148,256,22,43,1094,1889,464,658,18,37,34,79,516,774,15,31,23975,59911,5282,0,29257,59911,Port Stephens (A)
16470,9489,27490,1431,2668,726,1483,2157,4151,1195,1922,789,1270,367,624,32,55,2383,3871,29,36,3,3,39,84,71,123,11,25,14111,35660,1196,0,15307,35660,Queanbeyan (C)
16550,14550,43296,3709,9583,3699,10166,7408,19749,4808,9587,10747,21095,9720,19540,70,147,25345,50369,3,3,0,0,196,486,199,489,61,117,47563,114020,4125,0,51688,114020,Randwick (C)
16610,7143,18436,364,662,101,205,465,867,643,1019,3,3,4,3,5,8,655,1033,158,256,3,6,33,84,194,346,3,6,8460,20688,1007,0,9467,20688,Richmond Valley (A)
16650,17006,51056,2989,6845,1395,4019,4384,10864,1967,4299,5812,12687,4829,10899,84,178,12692,28063,73,100,3,5,197,522,273,627,56,133,34411,90743,2450,0,36861,90743,Rockdale (C)
16700,19884,59124,2646,6192,3044,7337,5690,13529,2386,4267,5651,10891,3959,8173,24,56,12020,23387,8,12,0,0,50,118,58,130,25,50,37677,96220,2521,0,40198,96220,Ryde (C)
16900,18460,53428,1527,2806,967,2012,2494,4818,1044,1770,88,139,0,0,13,29,1145,1938,287,432,3,0,44,128,334,560,4,0,22437,60744,1467,0,23904,60744,Shellharbour (C)
16950,31845,77342,1517,2632,331,619,1848,3251,1436,2092,22,37,5,3,57,93,1520,2225,597,853,3,15,59,135,659,1003,62,106,35934,83927,13634,0,49568,83927,Shoalhaven (C)
17000,6886,19511,309,633,95,204,404,837,347,559,0,0,0,0,4,8,351,567,83,123,6,14,25,44,114,181,4,10,7759,21106,879,0,8638,21106,Singleton (A)
17050,1780,4703,153,381,94,239,247,620,178,437,35,88,10,19,0,0,223,544,40,90,4,8,8,17,52,115,62,140,2364,6122,1347,0,3711,6122,Snowy River (A)
17450,1238,2930,0,0,0,0,0,0,29,41,0,0,0,0,0,0,29,41,11,8,3,4,7,13,21,25,0,3,1288,2999,386,0,1674,2999,Tumbarumba (A)
17500,3829,9563,49,69,26,36,75,105,191,260,3,4,45,76,0,0,239,340,19,26,4,0,16,27,39,53,18,24,4200,10085,966,0,5166,10085,Tumut Shire (A)
17550,21893,57381,4248,8297,2170,4313,6418,12610,2410,4253,1128,2008,495,905,111,209,4144,7375,1081,1646,12,24,64,127,1157,1797,46,90,33658,79253,4205,0,37863,79253,Tweed (A)
17620,4827,12111,105,194,0,4,105,198,180,279,0,3,6,10,10,10,196,302,85,108,3,5,20,27,108,140,9,13,5245,12764,946,0,6191,12764,Upper Hunter Shire (A)
17640,2706,6487,38,56,3,3,41,59,12,11,0,0,0,0,3,3,15,14,12,17,0,4,18,42,30,63,6,6,2798,6629,983,0,3781,6629,Upper Lachlan Shire (A)
17650,2095,5387,8,10,0,0,8,10,64,89,0,0,0,0,0,0,64,89,20,36,3,7,13,31,36,74,0,4,2203,5564,348,0,2551,5564,Uralla (A)
17420,44811,143773,1250,2677,4426,11091,5676,13768,735,1349,789,1707,1072,2241,90,205,2686,5502,38,60,4,21,14,20,56,101,65,147,53294,163291,2668,0,55962,163291,The Hills Shire (A)
17700,441,1039,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,4,4,4,7,0,0,445,1049,174,0,619,1049,Urana (A)
17750,18411,49413,761,1254,161,297,922,1551,2097,3308,79,115,33,41,20,31,2229,3495,57,74,7,29,69,139,133,242,19,38,21714,54739,2340,0,24054,54739,Wagga Wagga (C)
17800,1382,3339,11,17,0,0,11,17,79,109,0,0,0,0,0,3,79,112,19,29,4,4,11,33,34,66,6,5,1512,3539,476,0,1988,3539,Wakool (A)
17850,1150,2708,14,28,4,0,18,28,32,39,0,0,0,0,0,3,32,42,8,12,3,0,7,22,18,34,0,0,1218,2812,298,0,1516,2812,Walcha (A)
17900,2110,5149,17,38,0,0,17,38,104,156,0,0,0,0,3,3,107,159,171,259,44,68,28,46,243,373,15,28,2492,5747,926,0,3418,5747,Walgett (A)
17950,1006,2445,28,40,4,19,32,59,40,57,0,0,0,0,0,0,40,57,19,23,0,0,5,15,24,38,0,0,1102,2599,285,0,1387,2599,Warren (A)
18000,30677,94025,943,1800,2172,5123,3115,6923,3994,6974,8902,17170,3583,6837,188,400,16667,31381,46,78,0,0,91,207,137,285,40,110,50636,132724,3519,0,54155,132724,Warringah (A)
18020,3448,8282,17,26,0,6,17,32,119,158,0,0,0,0,3,8,122,166,19,36,16,31,30,51,65,118,13,32,3665,8630,859,0,4524,8630,Warrumbungle Shire (A)
18050,4943,14807,2273,5738,2402,6448,4675,12186,3259,6310,5770,10577,5988,10870,22,37,15039,27794,0,5,3,0,155,340,158,345,57,151,24872,55283,2762,0,27634,55283,Waverley (A)
18100,1403,3249,29,49,4,5,33,54,56,68,0,0,0,0,5,4,61,72,6,7,0,3,0,4,6,14,0,5,1503,3394,286,0,1789,3394,Weddin (A)
18150,2864,7076,57,108,3,8,60,116,101,128,0,0,0,0,7,0,108,128,11,15,6,5,14,42,31,62,0,0,3063,7382,594,0,3657,7382,Wellington (A)
18200,2248,5755,26,42,3,8,29,50,86,131,0,0,5,9,0,0,91,140,66,114,0,5,24,30,90,149,4,12,2462,6106,362,0,2824,6106,Wentworth (A)
18250,12292,36737,927,2205,996,2493,1923,4698,1455,2847,2796,5802,6154,12902,19,40,10424,21591,3,5,0,0,53,125,56,130,5,18,24700,63174,2020,0,26720,63174,Willoughby (C)
18350,15077,37821,1019,1875,178,325,1197,2200,260,343,0,0,10,15,25,49,295,407,63,97,4,14,40,79,107,190,19,39,16695,40657,2961,0,19656,40657,Wingecarribee (A)
18400,13192,39768,403,692,12,26,415,718,175,287,0,4,0,0,47,97,222,388,78,118,13,46,27,68,118,232,4,9,13951,41115,1087,0,15038,41115,Wollondilly (A)
18450,51102,141824,3806,7153,4449,9795,8255,16948,5621,9513,2899,5006,2926,5503,165,298,11611,20320,513,767,5,4,227,472,745,1243,51,91,71764,180426,5874,0,77638,180426,Wollongong (C)
18500,4917,14747,797,1790,3802,8984,4599,10774,1521,3087,3630,6721,5681,9565,9,19,10841,19392,3,7,0,0,55,123,58,130,47,88,20462,45131,2947,0,23409,45131,Woollahra (A)
18550,46770,124219,3490,6389,1636,3549,5126,9938,2211,3231,414,754,561,1040,95,143,3281,5168,600,893,9,17,97,232,706,1142,26,56,55909,140523,7734,0,63643,140523,Wyong (A)
18710,4905,13272,155,242,7,18,162,260,53,82,0,0,0,0,4,6,57,88,37,66,11,40,6,27,54,133,0,5,5178,13758,664,0,5842,13758,Yass Valley (A)
18750,4143,10542,178,258,3,9,181,267,211,298,0,0,5,3,0,3,216,304,18,24,0,3,9,8,27,35,5,10,4572,11158,731,0,5303,11158,Young (A)
19399,356,859,3,3,0,0,3,3,0,4,0,0,0,0,14,20,14,24,13,27,0,0,3,9,16,36,0,0,389,922,160,0,549,922,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20110,4371,10202,109,168,19,37,128,205,162,234,3,5,0,3,3,0,168,242,28,53,5,10,34,83,67,146,7,13,4741,10808,1721,0,6462,10808,Alpine (S)
20260,4045,9568,69,108,3,5,72,113,176,250,0,0,0,0,3,0,179,250,22,34,0,0,14,35,36,69,0,0,4332,10000,709,0,5041,10000,Ararat (RC)
20570,30706,78389,1866,2936,279,611,2145,3547,2655,3916,38,70,12,16,12,22,2717,4024,114,171,7,6,46,109,167,286,9,18,35744,86264,3292,0,39036,86264,Ballarat (C)
20660,35377,95550,2798,5243,1563,3630,4361,8873,3415,6196,195,332,203,365,85,148,3898,7041,3,0,0,5,51,102,54,107,10,21,43700,111592,3177,0,46877,111592,Banyule (C)
20740,10704,24726,440,647,101,210,541,857,450,667,21,28,0,0,8,22,479,717,94,144,7,7,20,51,121,202,13,28,11858,26530,11101,0,22959,26530,Bass Coast (S)
20830,14312,37359,941,1695,25,45,966,1740,522,725,0,3,0,0,13,19,535,747,141,188,5,12,19,51,165,251,0,6,15978,40103,2178,0,18156,40103,Baw Baw (S)
20910,22944,65022,3301,6345,2247,5342,5548,11687,3758,6464,511,830,360,607,18,29,4647,7930,0,0,4,0,107,231,111,231,21,43,33271,84913,3232,0,36503,84913,Bayside (C)
21010,4912,11652,303,422,0,0,303,422,272,397,0,0,0,0,4,3,276,400,22,29,10,19,19,45,51,93,0,4,5542,12571,920,0,6462,12571,Benalla (RC)
21110,36276,107097,5397,11013,2907,7027,8304,18040,7470,13479,3376,5981,1487,2391,62,96,12395,21947,0,3,0,0,230,508,230,511,28,47,57233,147642,5417,0,62650,147642,Boroondara (C)
21180,51301,155239,1842,4345,1094,3006,2936,7351,3938,8754,229,522,216,423,42,85,4425,9784,32,41,4,12,56,153,92,206,18,37,58772,172617,3785,0,62557,172617,Brimbank (C)
21270,2480,5746,39,55,10,26,49,81,55,70,0,0,0,0,0,0,55,70,11,22,0,0,17,30,28,52,4,3,2616,5952,569,0,3185,5952,Buloke (S)
21370,12211,30943,404,637,11,22,415,659,959,1427,38,53,0,0,13,29,1010,1509,110,161,3,11,38,95,151,267,11,39,13798,33417,1969,0,15767,33417,Campaspe (S)
21450,23027,66618,864,1531,162,363,1026,1894,713,1212,20,34,42,80,14,21,789,1347,152,200,10,6,28,70,190,276,6,28,25038,70163,2215,0,27253,70163,Cardinia (S)
21610,73651,226690,2604,6274,951,2799,3555,9073,2987,5471,14,37,90,185,20,35,3111,5728,115,161,5,17,22,75,142,253,13,26,80472,241770,4633,0,85105,241770,Casey (C)
21670,4753,10918,146,208,11,17,157,225,232,313,0,0,0,0,7,8,239,321,65,85,6,27,31,65,102,177,0,0,5251,11641,890,0,6141,11641,Central Goldfields (S)
21750,7095,17386,302,460,64,147,366,607,323,431,4,4,0,0,9,11,336,446,35,62,6,3,18,51,59,116,0,3,7856,18558,3085,0,10941,18558,Colac-Otway (S)
21830,5889,14700,34,51,19,43,53,94,178,225,0,0,0,0,3,5,181,230,30,42,6,4,27,62,63,108,8,15,6194,15147,1222,0,7416,15147,Corangamite (S)
21890,34353,92883,4745,9816,2008,4767,6753,14583,8485,15067,975,1676,679,1246,43,96,10182,18085,5,13,3,0,306,741,314,754,24,42,51626,126347,4243,0,55869,126347,Darebin (C)
22110,14779,35006,571,977,31,63,602,1040,1042,1590,0,0,0,0,4,12,1046,1602,356,547,14,35,49,106,419,688,14,39,16860,38375,4955,0,21815,38375,East Gippsland (S)
22170,39019,104437,2499,4250,743,1557,3242,5807,4513,7312,137,210,33,54,24,42,4707,7618,391,554,3,6,27,77,421,637,13,26,47402,118525,3921,0,51323,118525,Frankston (C)
22250,3894,9133,61,74,4,14,65,88,141,166,5,6,0,0,0,0,146,172,36,52,0,0,19,46,55,98,3,3,4163,9494,847,0,5010,9494,Gannawarra (S)
22490,6225,17467,18,40,0,0,18,40,20,30,0,0,0,0,4,3,24,33,14,27,11,39,7,10,32,76,3,13,6302,17629,838,0,7140,17629,Golden Plains (S)
22620,34253,86977,1260,2057,193,422,1453,2479,2179,3346,3,8,3,3,19,28,2204,3385,216,282,12,31,73,158,301,471,11,27,38222,93339,3897,0,42119,93339,Greater Bendigo (C)
22670,31334,96362,2924,7127,917,2570,3841,9697,8575,19273,351,681,649,1378,89,181,9664,21513,574,763,3,3,52,146,629,912,22,43,45490,128527,2923,0,48413,128527,Greater Dandenong (C)
22750,68749,176981,3204,4955,870,1796,4074,6751,6919,10427,97,144,82,142,57,97,7155,10810,431,630,11,22,86,212,528,864,21,33,80527,195439,12207,0,92734,195439,Greater Geelong (C)
22830,18889,50763,661,1175,64,149,725,1324,1779,2792,5,6,3,4,8,6,1795,2808,351,549,4,5,29,88,384,642,17,38,21810,55575,2412,0,24222,55575,Greater Shepparton (C)
10050,14406,37350,949,1534,107,200,1056,1734,2913,4532,99,144,23,36,14,21,3049,4733,69,102,0,0,22,50,91,152,14,38,18616,44007,2115,0,20731,44007,Albury (C)
10110,7081,18044,427,704,64,114,491,818,907,1513,35,68,0,0,16,22,958,1603,33,54,0,0,15,35,48,89,11,28,8589,20582,1037,0,9626,20582,Armidale Dumaresq (A)
10850,2416,6213,50,92,3,7,53,99,50,64,0,0,0,0,8,13,58,77,8,10,0,0,11,14,19,24,3,8,2549,6421,365,0,2914,6421,Blayney (A)
10900,25974,66610,949,1610,469,793,1418,2403,417,595,73,109,5,6,80,134,575,844,13,23,3,6,30,55,46,84,19,36,28032,69977,3878,0,31910,69977,Blue Mountains (C)
10950,972,2478,24,38,0,0,24,38,31,39,0,0,0,0,0,0,31,39,12,12,0,0,11,18,23,30,0,10,1050,2595,222,0,1272,2595,Bogan (A)
11000,969,2183,12,13,0,0,12,13,15,21,0,0,0,0,0,0,15,21,3,3,3,0,4,23,10,26,0,0,1006,2243,355,0,1361,2243,Bombala (A)
11050,918,2151,27,32,3,8,30,40,5,5,0,0,0,0,0,0,5,5,3,6,3,8,8,16,14,30,0,0,967,2226,340,0,1307,2226,Boorowa (A)
11100,5577,16640,1105,2872,960,2736,2065,5608,927,1829,3337,7987,2101,4440,6,7,6371,14263,0,0,0,0,74,208,74,208,33,66,14120,36785,769,0,14889,36785,Botany Bay (C)
11150,890,2308,5,5,0,0,5,5,27,41,0,0,0,0,0,0,27,41,12,22,0,0,4,10,16,32,0,3,938,2389,222,0,1160,2389,Bourke (A)
11200,530,1495,0,0,0,0,0,0,36,85,0,0,0,0,0,0,36,85,3,9,0,0,0,5,3,14,6,8,575,1602,152,0,727,1602,Brewarrina (A)
11250,7017,15955,74,104,0,0,74,104,244,393,0,0,66,144,3,6,313,543,17,36,0,0,8,22,25,58,6,14,7435,16674,1515,0,8950,16674,Broken Hill (C)
12300,3795,9199,131,207,8,17,139,224,385,576,0,0,0,0,3,3,388,579,66,99,3,6,10,24,79,129,9,22,4410,10153,994,0,5404,10153,Corowa Shire (A)
12350,4333,10540,128,182,19,35,147,217,198,259,8,12,6,3,0,0,212,274,20,34,3,7,19,40,42,81,9,10,4743,11122,815,0,5558,11122,Cowra (A)
22910,5480,12550,84,126,8,12,92,138,127,169,0,0,0,0,0,3,127,172,45,65,4,7,19,39,68,111,0,3,5767,12974,1983,0,7750,12974,Hepburn (S)
22980,2214,5161,5,4,0,8,5,12,93,119,0,0,0,0,0,0,93,119,16,20,0,0,13,23,29,43,0,0,2341,5335,611,0,2952,5335,Hindmarsh (S)
23110,23773,64065,1888,3684,1990,5036,3878,8720,2877,4842,223,394,161,275,16,23,3277,5534,104,146,3,4,96,225,203,375,10,9,31141,78703,2821,0,33962,78703,Hobsons Bay (C)
12500,2567,6054,162,209,0,0,162,209,124,163,0,0,0,0,3,4,127,167,33,39,0,0,22,49,55,88,3,8,2914,6526,447,0,3361,6526,Deniliquin (A)
23190,6681,16543,370,537,22,45,392,582,512,722,0,0,0,0,5,10,517,732,28,45,6,19,10,20,44,84,0,3,7634,17944,951,0,8585,17944,Horsham (RC)
23270,45427,141881,2902,8277,1496,4747,4398,13024,1984,3874,66,170,75,167,16,33,2141,4244,205,249,0,4,44,101,249,354,30,78,52245,159581,3283,0,55528,159581,Hume (C)
10800,2127,5283,17,16,0,0,17,16,82,110,0,0,0,0,4,6,86,116,9,7,3,4,20,55,32,66,0,0,2262,5481,503,0,2765,5481,Bland (A)
23350,5235,13172,134,211,6,14,140,225,154,211,0,0,0,0,0,3,154,214,37,52,9,4,37,76,83,132,0,0,5612,13743,737,0,6349,13743,Indigo (S)
23430,35880,100264,6155,11889,2897,6897,9052,18786,7477,13117,231,403,333,594,38,68,8079,14182,286,382,6,7,132,293,424,682,10,25,53445,133939,4453,0,57898,133939,Kingston (C)
23670,45398,130775,3519,6047,895,2084,4414,8131,1704,3051,91,176,215,373,44,76,2054,3676,150,193,0,0,32,102,182,295,8,18,52056,142895,2990,0,55046,142895,Knox (C)
23810,24162,60733,916,1725,57,143,973,1868,2509,3545,15,15,0,0,13,21,2537,3581,230,334,23,56,16,31,269,421,8,18,27949,66621,3304,0,31253,66621,Latrobe (C)
