lga_code_2016,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings,lga_name16
14700,1186,6319,4515,960,375,13349,852,14199,Lane Cove (A)
14750,199,1206,1452,539,309,3708,529,4232,Leeton (A)
14850,1073,6075,5732,1917,901,15692,1810,17508,Lismore (C)
14870,714,2733,2568,954,574,7549,1079,8627,Lithgow (C)
14900,4589,17020,21542,8467,5063,56682,6253,62933,Liverpool (C)
14920,184,1003,981,414,234,2814,361,3174,Liverpool Plains (A)
14950,36,338,423,161,131,1089,142,1226,Lockhart (A)
15050,1395,8648,11016,3622,1928,26605,1901,28503,Maitland (C)
15240,2176,14834,12653,3855,1758,35280,3709,38993,Mid-Coast (A)
15270,438,2796,3378,1220,632,8461,1363,9825,Mid-Western Regional (A)
15300,379,1533,1612,567,327,4420,931,5351,Moree Plains (A)
15350,1142,5092,3505,829,331,10899,955,11849,Mosman (A)
15520,213,1484,1794,570,328,4399,542,4941,Murray River (A)
15560,56,425,491,204,144,1315,211,1524,Murrumbidgee (A)
15650,394,1946,2188,690,362,5572,623,6199,Muswellbrook (A)
15700,501,3376,2624,739,359,7592,818,8410,Nambucca (A)
15750,271,1472,1662,698,418,4521,708,5232,Narrabri (A)
15800,142,724,739,272,162,2041,355,2405,Narrandera (A)
15850,146,720,786,362,191,2211,341,2549,Narromine (A)
15900,5628,22833,21274,6028,2659,58416,3915,62332,Newcastle (C)
15950,5399,16555,6569,997,360,29887,2969,32857,North Sydney (A)
15990,5900,31111,34186,9892,4985,86075,6313,92390,Northern Beaches (A)
16100,75,534,707,308,193,1816,277,2096,Oberon (A)
16150,1039,5367,5523,1599,718,14253,1446,15697,Orange (C)
16200,392,1831,1821,665,382,5101,745,5845,Parkes (A)
16260,8161,31749,25022,6386,2908,74238,5928,80162,Parramatta (C)
16350,3916,19825,23700,8680,5641,61766,5302,67066,Penrith (C)
25250,8418,27032,17644,4424,2017,59541,5147,64688,Moreland (C)
11300,2534,4872,2948,801,430,11585,1024,12614,Burwood (A)
11350,449,4381,4503,1300,625,11264,2221,13482,Byron (A)
11400,164,1150,1817,831,561,4527,469,4997,Cabonne (A)
11450,569,5423,10890,4098,2606,23577,1448,25027,Camden (A)
11500,3849,17836,17344,6025,3345,48395,4079,52481,Campbelltown (C) (NSW)
11520,3324,13990,10621,2469,1141,31541,2566,34105,Canada Bay (A)
11570,12363,40331,33949,11388,6062,104090,9493,113582,Canterbury-Bankstown (A)
11600,45,295,347,162,104,960,151,1111,Carrathool (A)
11650,8511,44795,42632,13763,7441,117140,10054,127190,Central Coast (C) (NSW)
11700,98,236,132,52,66,591,163,747,Central Darling (A)
11720,1010,6398,7174,2598,1470,18644,1978,20623,Cessnock (C)
11730,1183,8043,7063,2235,1039,19564,2212,21776,Clarence Valley (A)
11750,122,584,638,219,95,1661,285,1950,Cobar (A)
11800,1696,10654,10000,2892,1409,26658,2805,29459,Coffs Harbour (C)
12000,52,449,511,254,156,1416,220,1636,Coolamon (A)
12150,131,488,423,180,97,1329,341,1669,Coonamble (A)
12350,317,1719,1738,561,349,4685,569,5251,Cowra (A)
12380,7633,24544,19840,6340,3622,61976,5842,67815,Cumberland (A)
12700,87,902,1294,537,361,3183,297,3485,Dungog (A)
12730,227,1165,1256,409,199,3260,552,3808,Edward River (A)
12750,775,6297,5450,1568,662,14749,1700,16450,Eurobodalla (A)
12850,6007,18668,17877,7988,4562,55104,4472,59574,Fairfield (C)
12870,234,1795,1796,572,292,4693,586,5274,Federation (A)
12900,205,1131,1310,489,265,3394,440,3835,Forbes (A)
12930,5713,19529,15397,4560,2347,47546,3119,50664,Georges River (A)
12950,106,513,523,238,145,1518,182,1704,Gilgandra (A)
13010,265,1323,1103,409,218,3320,420,3744,Glen Innes Severn (A)
13310,816,3708,3779,1467,814,10588,1047,11630,Goulburn Mulwaree (A)
13340,108,1062,1406,620,397,3594,327,3920,Greater Hume Shire (A)
13450,501,2615,3252,1162,667,8195,1151,9338,Griffith (C)
13510,289,1604,1500,519,288,4202,452,4656,Gundagai (A)
13550,229,1507,1651,619,352,4359,534,4894,Gunnedah (A)
13660,113,643,683,336,180,1958,267,2226,Gwydir (A)
13800,839,5550,7948,3502,2928,20768,1775,22541,Hawkesbury (C)
13850,72,374,394,137,86,1055,207,1265,Hay (A)
16380,1891,12420,11108,3198,1472,30094,2919,33014,Port Macquarie-Hastings (A)
16400,1085,9159,9527,3161,1784,24714,2731,27448,Port Stephens (A)
16490,842,6331,7615,2889,1905,19585,1948,21534,Queanbeyan-Palerang Regional (A)
16550,9347,21683,13588,3091,1284,48993,5164,54163,Randwick (C)
16610,571,3288,3131,950,479,8418,1034,9455,Richmond Valley (A)
16650,5198,16573,10741,2925,1393,36824,3362,40185,Rockdale (C)
16700,4917,17897,12834,3315,1557,40520,2497,43011,Ryde (C)
16900,1289,7557,8889,3192,1980,22904,1819,24727,Shellharbour (C)
16950,1925,15177,13746,4128,2116,37088,3848,40930,Shoalhaven (C)
17000,293,2201,3089,1257,742,7584,776,8359,Singleton (A)
17040,418,2761,2866,1132,642,7826,1396,9222,Snowy Monaro Regional (A)
17080,277,1800,2019,747,386,5224,666,5888,Snowy Valleys (A)
17420,1015,11241,21664,8086,5176,47182,1868,49056,The Hills Shire (A)
17550,2209,14417,12523,3627,1774,34549,3948,38497,Tweed (A)
17620,261,1656,1926,764,364,4976,662,5640,Upper Hunter Shire (A)
17640,85,774,1132,488,377,2853,327,3180,Upper Lachlan Shire (A)
17650,90,696,873,311,231,2205,233,2434,Uralla (A)
17750,1340,7754,8509,2740,1398,21741,1817,23564,Wagga Wagga (C)
17850,50,334,443,200,126,1152,179,1339,Walcha (A)
17900,317,953,677,268,151,2371,520,2888,Walgett (A)
17950,60,321,367,143,74,962,157,1118,Warren (A)
18020,232,1192,1235,463,293,3414,573,3990,Warrumbungle Shire (A)
18050,4854,11518,6508,1251,433,24559,3696,28256,Waverley (A)
18100,86,455,514,204,140,1397,178,1568,Weddin (A)
18200,165,734,993,332,196,2414,377,2793,Wentworth (A)
18230,1120,6016,6439,2277,1157,17007,1940,18949,Western Plains Regional (A)
18250,3856,11766,7836,1765,641,25863,1799,27665,Willoughby (C)
18350,653,6038,6842,2385,1388,17312,1517,18829,Wingecarribee (A)
18400,369,3060,5746,2964,2532,14668,1138,15809,Wollondilly (A)
18450,6832,26541,25623,8279,4268,71536,6054,77588,Wollongong (C)
18500,2975,9507,6227,1386,610,20702,2689,23392,Woollahra (A)
18710,150,1270,2227,1075,695,5423,464,5887,Yass Valley (A)
19399,32,130,82,39,51,341,92,438,Unincorporated NSW
20110,219,1830,1826,645,381,4906,649,5558,Alpine (S)
20260,289,1470,1475,582,352,4177,458,4627,Ararat (RC)
20570,2605,13945,14247,4242,2187,37221,3393,40616,Ballarat (C)
20660,2752,15691,17725,4899,2425,43493,2705,46205,Banyule (C)
20740,752,5318,4901,1369,599,12939,1413,14351,Bass Coast (S)
20830,659,5293,6836,2612,1681,17079,1660,18747,Baw Baw (S)
20910,1861,12083,14911,3865,1703,34432,2347,36776,Bayside (C)
21010,339,1937,1988,728,417,5403,616,6016,Benalla (RC)
21110,4852,22230,22941,6254,2779,59055,3735,62794,Boroondara (C)
21180,4398,19657,22247,8468,4371,59143,5704,64847,Brimbank (C)
21270,141,791,822,338,269,2362,336,2694,Buloke (S)
21370,678,4193,5269,1989,1226,13363,1453,14816,Campaspe (S)
21450,883,8601,13014,4688,3059,30242,2414,32656,Cardinia (S)
21610,2907,24443,40418,13936,7859,89570,6656,96228,Casey (C)
21670,375,1984,1829,634,389,5217,562,5777,Central Goldfields (S)
21750,435,2763,2897,1065,620,7779,880,8659,Colac-Otway (S)
21830,272,1788,2167,912,677,5825,662,6483,Corangamite (S)
21890,7162,23971,16280,3967,1768,53151,5265,58412,Darebin (C)
22110,842,6097,6653,2221,1137,16950,2195,19152,East Gippsland (S)
22170,2999,17131,19286,5685,2982,48091,4612,52700,Frankston (C)
22250,210,1307,1517,609,406,4045,462,4513,Gannawarra (S)
22830,1301,7382,8388,3014,1710,21784,2623,24406,Greater Shepparton (C)
22910,252,1965,2231,849,544,5844,791,6637,Hepburn (S)
22980,126,721,774,342,267,2232,218,2454,Hindmarsh (S)
23110,2504,12482,11994,3147,1519,31651,2548,34195,Hobsons Bay (C)
23190,491,2585,2818,1008,602,7497,583,8084,Horsham (RC)
23270,2881,17909,23848,8619,5025,58285,4926,63210,Hume (C)
23350,189,1629,2340,985,628,5771,499,6267,Indigo (S)
23430,3668,20397,22023,5880,2745,54718,4052,58769,Kingston (C) (Vic.)
23670,2047,15499,22537,8002,4438,52512,2924,55442,Knox (C)
23810,2093,9963,9894,3352,1818,27118,3161,30280,Latrobe (C) (Vic.)
23940,132,857,994,459,406,2856,465,3319,Loddon (S)
24130,405,3840,6666,2709,1785,15409,1356,16764,Macedon Ranges (S)
24210,1647,11797,16862,5712,3295,39307,2234,41541,Manningham (C)
24250,116,1030,1239,480,290,3151,388,3537,Mansfield (S)
24330,4294,13433,9189,1996,792,29706,3029,32735,Maribyrnong (C)
24410,1934,13468,16294,4796,2583,39080,2284,41362,Maroondah (C)
24600,28135,21704,6213,911,325,57290,8503,65795,Melbourne (C)
24650,1354,11498,18425,5952,3218,40442,3540,43981,Melton (C)
24780,1354,6705,7151,2491,1482,19188,2465,21649,Mildura (RC)
24850,492,3798,5330,2140,1518,13275,1590,14864,Mitchell (S)
24900,550,3562,3844,1524,988,10464,1270,11733,Moira (S)
24970,4819,21447,24478,7176,3157,61077,3837,64913,Monash (C)
25060,4453,16667,15079,4143,1987,42323,3684,46010,Moonee Valley (C)
25150,371,2980,4273,1880,1298,10804,1046,11849,Moorabool (S)
25340,2429,19324,23494,7254,3793,56291,4814,61110,Mornington Peninsula (S)
17100,1781,5173,3529,1150,588,12228,1314,13543,Strathfield (A)
17150,4377,24168,30588,9680,5910,74722,4446,79167,Sutherland Shire (A)
17200,34688,37556,9944,1248,516,83945,14054,98001,Sydney (C)
17310,1320,7306,8090,2698,1455,20870,2593,23459,Tamworth Regional (A)
17350,164,765,840,311,184,2257,205,2463,Temora (A)
17400,152,1049,921,306,209,2635,416,3050,Tenterfield (A)
22310,4872,21194,19021,4260,1895,51246,3480,54727,Glen Eira (C)
22410,362,2496,2699,1137,685,7378,868,8250,Glenelg (S)
22490,78,1269,3059,1491,1099,6996,561,7558,Golden Plains (S)
22620,2322,13756,15758,5385,2829,40051,3915,43969,Greater Bendigo (C)
22670,4255,17295,16250,5845,2899,46541,4627,51171,Greater Dandenong (C)
22750,5535,30921,33500,9792,4869,84616,7187,91802,Greater Geelong (C)
25430,377,2690,2608,917,572,7164,770,7933,Mount Alexander (S)
25490,172,1532,2334,962,751,5762,613,6372,Moyne (S)
25620,161,1522,1980,827,580,5062,690,5753,Murrindindi (S)
25710,376,3989,8761,3690,2660,19478,959,20438,Nillumbik (S)
25810,325,1572,1637,645,367,4548,562,5105,Northern Grampians (S)
25900,8184,23341,10754,1531,583,44393,6211,50601,Port Phillip (C)
25990,95,745,1031,417,348,2628,309,2943,Pyrenees (S)
26080,51,528,449,97,44,1171,128,1296,Queenscliffe (B)
26170,416,3450,4118,1617,988,10589,1132,11718,South Gippsland (S)
26260,349,2072,2170,909,625,6129,544,6667,Southern Grampians (S)
26350,7470,19571,12101,2659,1263,43063,4354,47417,Stonnington (C)
26430,172,1394,1541,581,362,4053,482,4530,Strathbogie (S)
26490,260,2888,4635,1494,832,10106,774,10881,Surf Coast (S)
26610,465,2291,2610,941,609,6914,1319,8234,Swan Hill (RC)
26670,72,682,865,377,262,2249,258,2502,Towong (S)
26700,586,3610,4129,1381,858,10576,1092,11664,Wangaratta (RC)
26730,766,4593,4874,1338,666,12227,1322,13548,Warrnambool (C)
26810,827,5286,5918,2249,1382,15662,1674,17339,Wellington (S)
26890,54,445,549,266,227,1539,116,1658,West Wimmera (S)
26980,4834,21768,22491,5659,2534,57279,3147,60430,Whitehorse (C)
27070,2967,19353,26507,8606,4582,62021,4513,66528,Whittlesea (C)
27170,781,4829,5795,1722,783,13904,1222,15130,Wodonga (C)
27260,2429,21795,28918,8348,3921,65408,4891,70297,Wyndham (C)
27350,7653,17996,7900,1452,414,35409,4462,39867,Yarra (C)
27450,1576,13954,21314,8234,5607,50689,3414,54097,Yarra Ranges (S)
27630,141,887,908,379,262,2578,293,2868,Yarriambiack (S)
29399,177,224,85,18,11,513,230,746,Unincorporated Vic
30250,187,56,19,4,0,270,9,284,Aurukun (S)
30300,80,466,565,262,187,1561,213,1778,Balonne (S)
30370,225,1476,1869,880,628,5074,659,5730,Banana (S)
30410,62,475,389,162,155,1251,156,1402,Barcaldine (R)
30450,8,53,43,18,22,144,28,172,Barcoo (S)
30760,52,297,218,122,84,778,83,862,Blackall-Tambo (R)
34710,121,670,560,203,127,1675,242,1920,Longreach (R)
34770,2092,13082,16261,5780,2646,39866,4262,44125,Mackay (R)
34800,14,126,91,47,48,327,47,372,McKinlay (S)
34830,39,28,22,0,0,88,6,96,Mapoon (S)
34860,226,1433,1669,716,519,4561,588,5149,Maranoa (R)
34880,498,2506,2695,1027,619,7336,1277,8610,Mareeba (S)
35010,7217,48268,57282,20202,11601,144577,10640,155216,Moreton Bay (R)
35250,128,90,44,3,4,267,11,281,Mornington (S)
35300,460,2110,2368,762,361,6060,1242,7303,Mount Isa (C)
35600,124,624,572,229,128,1675,223,1894,Murweh (S)
35670,114,84,40,8,5,247,6,250,Napranum (S)
35740,890,7678,8033,2529,1166,20287,1827,22110,Noosa (S)
35760,224,1396,1375,589,379,3965,756,4726,North Burnett (R)
35780,206,325,155,36,16,749,161,908,Northern Peninsula Area (R)
35790,267,151,52,13,0,479,20,496,Palm Island (S)
35800,67,258,212,96,79,702,95,799,Paroo (S)
36070,105,84,33,13,6,234,16,250,Pormpuraaw (S)
36150,19,122,111,39,36,330,48,383,Quilpie (S)
36250,2452,16146,20723,7767,4298,51383,3057,54440,Redland (C)
36300,20,118,107,53,46,339,50,388,Richmond (S)
36370,2014,10144,10371,3562,1733,27823,2892,30719,Rockhampton (R)
36510,406,4137,5423,2246,1538,13757,1502,15252,Scenic Rim (R)
36580,275,2688,3135,1388,878,8365,994,9360,Somerset (R)
36630,636,4516,4303,1589,940,11984,1300,13284,South Burnett (R)
36660,800,4604,4753,1835,1069,13063,1224,14293,Southern Downs (R)
36720,4861,39307,42863,13738,6955,107724,8692,116419,Sunshine Coast (R)
36820,466,3573,3553,1229,621,9440,1186,10625,Tablelands (R)
36910,3316,19810,21706,7571,4298,56698,5257,61957,Toowoomba (R)
36950,214,335,190,50,36,825,259,1082,Torres (S)
36960,593,297,79,15,7,985,105,1090,Torres Strait Island (R)
37010,3774,22961,26204,8213,3756,64910,6370,71282,Townsville (C)
30900,23,64,42,13,20,165,54,218,Boulia (S)
31000,33753,151000,148191,43409,19678,396029,30622,426648,Brisbane (C)
31750,10,53,41,17,22,134,24,165,Bulloo (S)
31820,2177,13900,12894,4090,1999,35069,3675,38742,Bundaberg (R)
31900,379,2092,2569,971,480,6502,752,7252,Burdekin (S)
31950,19,104,32,11,9,170,54,231,Burke (S)
32080,4074,21250,20957,6023,2661,54967,7305,62267,Cairns (R)
32250,84,515,298,79,51,1027,167,1197,Carpentaria (S)
32260,733,4416,4142,1237,526,11056,1567,12623,Cassowary Coast (R)
32270,345,3132,3726,1422,840,9462,1587,11051,Central Highlands (R) (Qld)
32310,300,1682,1487,547,341,4357,673,5027,Charters Towers (R)
32330,128,98,36,17,3,281,9,286,Cherbourg (S)
32450,113,428,346,108,78,1079,314,1389,Cloncurry (S)
32500,164,723,506,172,96,1658,670,2326,Cook (S)
32600,4,48,29,6,17,105,36,144,Croydon (S)
37300,28,312,554,204,77,1174,225,1406,Weipa (T)
37310,579,3678,4047,1737,1149,11188,1762,12954,Western Downs (R)
37340,767,4554,4340,1383,645,11689,2169,13860,Whitsunday (R)
32750,16,64,34,12,11,135,41,171,Diamantina (S)
41140,135,1092,1350,538,359,3477,330,3805,Clare and Gilbert Valleys (DC)
32770,127,87,29,0,7,252,35,282,Doomadgee (S)
32810,352,2120,1589,447,188,4700,842,5539,Douglas (S)
33100,21,172,125,56,35,413,194,603,Etheridge (S)
33200,33,208,206,103,68,620,111,725,Flinders (S) (Qld)
33220,2551,16476,13505,4335,2022,38886,4342,43228,Fraser Coast (R)
33360,920,7107,9039,3154,1451,21671,2238,23905,Gladstone (R)
33430,10478,70702,77190,24353,12233,194963,20678,215645,Gold Coast (C)
33610,185,1212,1492,566,327,3780,571,4348,Goondiwindi (R)
33620,948,6892,6808,2449,1415,18511,2134,20647,Gympie (R)
33800,206,1560,1698,578,299,4342,502,4843,Hinchinbrook (S)
33830,75,98,46,18,3,237,24,259,Hope Vale (S)
33960,3471,20755,24509,8639,4504,61873,5847,67725,Ipswich (C)
33980,209,2078,2748,978,564,6584,1025,7611,Isaac (R)
34420,122,80,34,7,4,242,17,261,Kowanyama (S)
34530,557,4279,4973,1856,1030,12689,1473,14163,Livingstone (S)
34570,68,73,31,7,0,178,31,214,Lockhart River (S)
34580,458,3402,4871,2147,1464,12340,1619,13963,Lockyer Valley (R)
34590,4873,29292,36459,14641,9135,94401,8534,102934,Logan (C)
37400,40,270,186,63,41,604,122,725,Winton (S)
37550,121,78,28,3,0,236,23,258,Woorabinda (S)
37570,43,23,11,3,0,78,0,82,Wujal Wujal (S)
37600,141,189,88,31,14,464,26,490,Yarrabah (S)
40070,2783,4044,1535,225,103,8698,1303,10004,Adelaide (C)
40120,289,3316,6036,2379,1538,13557,732,14293,Adelaide Hills (DC)
40220,345,3660,3875,1376,795,10057,798,10859,Alexandrina (DC)
40250,235,211,49,21,10,522,84,610,Anangu Pitjantjatjara (AC)
40310,297,2728,3567,1328,894,8813,568,9382,Barossa (DC)
40430,47,383,379,141,96,1050,93,1141,Barunga West (DC)
40520,298,1484,1466,521,317,4085,474,4558,Berri and Barmera (DC)
40700,1081,6189,6602,1852,848,16576,812,17390,Burnside (C)
40910,1515,7298,6968,2076,1017,18876,975,19852,Campbelltown (C) (SA)
41010,145,492,513,193,120,1463,303,1760,Ceduna (DC)
41060,4238,16978,15425,4579,2056,43284,3023,46300,Charles Sturt (C)
41190,38,249,255,125,93,765,92,858,Cleve (DC)
41330,66,320,237,72,34,725,195,922,Coober Pedy (DC)
41560,319,2174,2137,688,346,5665,548,6210,Copper Coast (DC)
41750,16,149,162,81,43,460,34,497,Elliston (DC)
41830,41,253,245,94,65,698,82,778,Flinders Ranges (DC)
41960,25,160,183,81,61,512,98,613,Franklin Harbour (DC)
42030,701,3407,3135,1052,553,8842,647,9498,Gawler (T)
42110,57,500,605,269,205,1638,160,1797,Goyder (DC)
42250,34,516,1108,553,450,2663,214,2874,Grant (DC)
42600,1374,6152,5213,1334,567,14632,1136,15762,Holdfast Bay (C)
42750,92,629,740,229,128,1816,242,2054,Kangaroo Island (DC)
43080,11,114,127,84,72,415,37,446,Karoonda East Murray (DC)
43220,9,96,157,76,57,394,32,429,Kimba (DC)
43360,37,298,364,141,90,926,94,1019,Kingston (DC) (SA)
43650,98,1132,2097,949,669,4940,300,5243,Light (RegC)
43710,44,494,861,348,199,1947,172,2115,Lower Eyre Peninsula (DC)
43790,213,1398,1678,674,452,4415,379,4796,Loxton Waikerie (DC)
43920,53,637,1176,642,448,2956,279,3242,Mallala (DC)
44000,8,3,3,0,0,15,0,15,Maralinga Tjarutja (AC)
44060,3147,13478,12710,3695,1503,34537,2100,36635,Marion (C)
44210,142,1229,1228,553,347,3498,351,3848,Mid Murray (DC)
44340,1303,7906,9777,2941,1481,23410,1195,24607,Mitcham (C)
44550,441,3475,5014,1844,1027,11797,817,12616,Mount Barker (DC)
44620,770,4010,3688,1133,486,10086,800,10889,Mount Gambier (C)
44830,31,350,367,228,175,1149,138,1287,Mount Remarkable (DC)
45040,567,2798,2656,1056,618,7691,709,8401,Murray Bridge (RC)
45090,136,905,1210,509,317,3081,224,3301,Naracoorte and Lucindale (DC)
45120,73,578,639,299,212,1802,174,1975,Northern Areas (DC)
45290,1760,6459,4666,1206,507,14599,975,15568,Norwood Payneham St Peters (C)
45340,3405,22302,24174,7990,3748,61626,4192,65816,Onkaparinga (C)
45400,19,97,124,71,52,357,52,412,Orroroo/Carrieton (DC)
45540,88,331,200,91,37,747,89,836,Peterborough (DC)
45680,3201,11794,10641,3265,1667,30560,3062,33622,Playford (C)
45890,5023,18655,15608,4326,1832,45448,3359,48811,Port Adelaide Enfield (C)
46090,501,2010,1678,572,237,4998,625,5624,Port Augusta (C)
46300,406,1972,2046,604,222,5249,560,5805,Port Lincoln (C)
46450,680,2630,2207,761,462,6749,599,7344,Port Pirie City and Dists (M)
46510,665,2809,2908,857,386,7617,474,8094,Prospect (C)
46670,209,1261,1328,487,289,3586,387,3971,Renmark Paringa (DC)
46860,19,197,218,82,50,572,65,634,Robe (DC)
46970,31,349,575,162,73,1196,112,1308,Roxby Downs (M)
47140,3579,18181,18065,5764,2654,48247,3349,51594,Salisbury (C)
47290,29,199,278,138,99,747,86,836,Southern Mallee (DC)
47490,23,263,317,133,74,814,84,895,Streaky Bay (DC)
47630,99,676,942,399,272,2392,245,2637,Tatiara (DC)
47700,1685,12216,14919,4696,2397,35914,1653,37567,Tea Tree Gully (C)
47800,93,661,744,338,236,2073,187,2260,The Coorong (DC)
47910,52,410,411,137,93,1108,82,1190,Tumby Bay (DC)
47980,1337,6012,5171,1410,595,14531,866,15395,Unley (C)
48050,377,2824,2129,571,273,6174,442,6615,Victor Harbor (C)
48130,88,859,917,401,273,2537,219,2758,Wakefield (DC)
51960,70,390,441,180,101,1178,208,1387,Coolgardie (S)
52030,12,134,175,87,50,454,34,491,Coorow (S)
48260,253,1124,1022,352,155,2906,198,3107,Walkerville (M)
48340,207,1375,1681,732,427,4426,376,4802,Wattle Range (DC)
48410,2465,9732,7549,2102,924,22767,1565,24329,West Torrens (C)
48540,1129,3355,2712,932,375,8510,893,9400,Whyalla (C)
48640,20,128,174,106,58,486,54,537,Wudinna (DC)
48750,65,828,805,269,154,2126,173,2296,Yankalilla (DC)
48830,208,1750,1740,575,420,4686,343,5027,Yorke Peninsula (DC)
49399,140,583,325,143,144,1335,433,1764,Unincorporated SA
50080,628,4325,5045,1919,1253,13166,1169,14327,Albany (C)
50210,1184,8097,11156,3942,2468,26844,2204,29048,Armadale (C)
50250,128,1056,831,228,137,2384,387,2763,Ashburton (S)
50280,125,1637,2199,805,350,5112,541,5655,Augusta-Margaret River (S)
50350,436,2163,2144,683,345,5765,403,6172,Bassendean (T)
50420,1697,9370,9218,2791,1367,24438,1977,26413,Bayswater (C)
50490,1102,5577,5223,1503,818,14226,2109,16335,Belmont (C)
50560,15,193,217,122,97,648,98,748,Beverley (S)
50630,27,153,249,120,75,625,77,699,Boddington (S)
50770,16,161,226,119,119,643,75,717,Boyup Brook (S)
50840,66,585,708,275,187,1825,195,2020,Bridgetown-Greenbushes (S)
50910,17,107,121,53,64,356,52,412,Brookton (S)
50980,664,2876,2133,692,326,6694,1332,8031,Broome (S)
51080,8,73,112,69,83,352,64,412,Broomehill-Tambellup (S)
51120,27,114,129,63,41,365,39,402,Bruce Rock (S)
51190,873,4681,4591,1374,577,12101,1235,13333,Bunbury (C)
51260,457,4311,5306,1846,903,12819,1147,13960,Busselton (C)
51310,447,2877,3885,1276,680,9162,659,9826,Cambridge (T)
51330,1530,9538,12211,4448,2461,30182,1964,32146,Canning (C)
51400,103,1338,2403,1006,625,5473,424,5897,Capel (S)
51470,8,79,89,23,37,234,26,259,Carnamah (S)
51540,215,1254,786,259,163,2680,642,3324,Carnarvon (S)
51610,4,88,188,96,80,459,89,548,Chapman Valley (S)
51680,14,281,634,412,387,1728,190,1922,Chittering (S)
51750,229,1497,1459,405,190,3783,395,4178,Claremont (T)
51820,1566,10716,15453,5195,2808,35746,2952,38701,Cockburn (C)
51890,174,955,1165,537,351,3177,339,3519,Collie (S)
52100,28,124,121,67,71,415,42,458,Corrigin (S)
52170,97,941,1182,406,159,2784,221,3006,Cottesloe (T)
52240,16,90,129,71,72,376,48,422,Cranbrook (S)
52310,0,79,112,53,52,297,48,350,Cuballing (S)
52380,4,51,27,13,4,95,43,145,Cue (S)
52450,17,130,189,63,72,477,66,540,Cunderdin (S)
52520,10,129,211,81,65,490,79,565,Dalwallinu (S)
52590,34,401,487,216,148,1291,153,1447,Dandaragan (S)
52660,115,1307,2024,853,459,4751,396,5149,Dardanup (S)
52730,77,738,920,304,165,2211,243,2453,Denmark (S)
52800,662,1052,575,157,96,2540,462,3001,Derby-West Kimberley (S)
52870,54,567,832,375,278,2103,239,2343,Donnybrook-Balingup (S)
52940,4,88,96,49,31,267,22,290,Dowerin (S)
53010,4,66,83,43,50,255,48,302,Dumbleyung (S)
53080,26,138,99,23,21,310,195,509,Dundas (S)
53150,126,873,1152,368,162,2679,188,2865,East Fremantle (T)
53220,221,674,624,182,120,1810,417,2228,East Pilbara (S)
53290,247,1412,1843,746,516,4764,812,5572,Esperance (S)
53360,70,835,497,186,107,1702,373,2075,Exmouth (S)
53430,1062,4602,4026,1136,464,11296,1343,12637,Fremantle (C)
53570,37,486,734,352,276,1884,279,2163,Gingin (S)
53640,11,116,145,68,74,414,77,490,Gnowangerup (S)
54280,480,3181,3850,1520,791,9820,1505,11321,Kalgoorlie/Boulder (C)
54310,351,1892,2690,1080,550,6566,1012,7576,Karratha (C)
