lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Albury (C),10050,157,251,86,163,134,65,22,34,7,919,223,281,157,371,270,113,53,72,17,1563,611,294,2169,788,704,412,463,501,75,6013,25,24,37,59,103,57,32,51,8,382,61,40,38,102,138,70,45,52,0,549,16,33,11,23,27,15,13,13,9,157,31,55,46,46,44,47,34,76,33,423,1848,4172,2690,1948,1880,917,734,898,188,15285
Armidale Regional (A),10130,104,125,37,75,96,19,8,18,4,483,103,104,45,147,137,48,13,39,10,649,346,112,771,317,284,192,128,262,35,2456,23,20,20,28,31,26,11,30,3,194,39,17,23,38,73,36,19,36,3,289,11,24,8,15,12,5,5,12,0,95,52,32,20,23,35,19,11,47,21,265,1218,2698,1052,956,1023,432,214,610,103,8299
Ballina (A),10250,149,267,62,141,114,46,11,41,19,853,153,188,101,315,187,87,26,52,15,1114,515,232,1507,551,423,274,225,393,62,4183,22,10,12,31,71,39,9,37,5,243,61,39,43,89,116,75,21,57,12,504,14,36,15,24,26,13,11,11,0,151,35,45,35,60,46,36,29,55,40,385,1627,3646,1915,1549,1322,708,348,756,187,12065
Balranald (A),10300,4,3,4,8,4,0,0,0,0,20,4,9,4,18,7,0,0,3,0,47,31,8,59,13,16,4,13,39,0,191,0,0,0,3,4,0,0,5,0,16,3,0,0,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,7,0,7,4,3,0,6,10,3,41,78,79,79,56,45,6,27,65,3,440
Bathurst Regional (A),10470,110,201,55,146,121,45,14,23,10,734,158,189,122,299,167,71,30,51,16,1111,529,222,1656,689,513,300,396,478,59,4844,37,25,38,44,95,48,22,45,0,347,56,35,37,66,123,67,30,58,11,468,14,31,13,20,24,21,5,18,3,150,47,29,49,41,45,31,32,76,27,376,1576,3194,2113,1663,1429,688,555,846,165,12216
Bega Valley (A),10550,101,172,41,116,85,39,9,21,7,589,124,102,66,188,106,53,11,40,13,708,445,133,1282,435,277,251,237,465,46,3570,27,12,20,36,51,44,11,50,0,252,55,20,34,71,79,41,12,51,3,367,17,10,14,14,19,7,3,7,0,94,57,37,50,43,38,46,23,68,21,379,1188,1979,1589,1116,874,555,322,769,104,8492
Bellingen (A),10600,46,84,19,50,26,21,7,16,3,271,38,55,31,73,47,21,4,27,3,297,157,48,400,150,119,77,87,124,19,1179,6,3,3,14,14,10,6,13,0,84,26,8,13,30,23,10,10,14,3,135,4,6,3,4,3,0,0,4,0,28,16,17,21,12,15,10,10,22,7,138,471,987,534,431,338,177,141,240,52,3367
Berrigan (A),10650,41,32,7,22,17,0,0,11,3,137,37,18,16,52,25,10,3,8,0,171,178,29,255,123,74,48,81,106,14,904,8,5,0,4,12,3,0,13,0,44,19,0,3,14,15,10,5,7,0,81,0,0,3,4,8,3,0,0,0,20,24,8,17,22,10,10,16,19,5,135,413,368,309,260,188,90,115,181,25,1954
Blacktown (C),10750,902,1340,849,862,1195,454,545,417,79,6649,1312,1592,1185,2029,2002,887,713,553,152,10427,2265,1363,9182,3203,3300,1547,2744,2212,450,26266,140,101,132,232,500,238,234,248,26,1858,301,257,272,523,830,341,435,390,55,3404,170,336,175,159,318,120,187,164,36,1673,187,332,314,329,425,218,407,462,367,3054,10817,26152,14660,10673,15473,6055,7260,6110,1815,99021
Bland (A),10800,15,13,10,14,11,3,0,0,0,66,36,8,11,30,17,10,5,4,0,115,150,17,212,46,54,37,85,57,9,665,17,0,0,3,18,6,0,12,0,60,31,3,3,11,7,3,6,4,0,79,4,3,0,0,0,0,0,0,0,5,39,5,9,8,5,9,12,20,9,121,364,254,248,123,142,69,115,112,24,1442
Blayney (A),10850,34,25,7,25,12,6,7,3,3,124,31,15,24,50,28,10,11,11,0,181,137,36,299,91,91,41,93,88,10,888,12,0,0,9,18,8,4,6,0,56,16,11,6,8,17,13,9,14,3,107,6,3,0,3,4,0,5,3,3,17,17,12,10,8,13,8,12,12,3,86,366,443,369,215,234,101,141,155,32,2047
Blue Mountains (C),10900,317,699,177,339,311,117,33,58,12,2067,415,505,282,569,480,173,63,125,30,2635,837,519,2668,978,889,427,470,640,101,7521,30,25,44,55,103,65,23,56,4,402,107,107,57,145,215,78,43,76,8,828,31,79,32,32,61,21,14,18,0,291,46,94,48,75,97,48,48,64,46,574,3544,9567,3699,3073,3135,1247,777,1255,346,26646
Bogan (A),10950,14,6,0,6,4,0,0,0,0,39,20,3,3,15,11,3,4,4,0,58,57,10,90,21,18,0,43,32,3,278,3,0,0,3,3,3,3,6,0,18,4,0,3,6,0,6,3,3,0,32,3,0,0,0,0,0,0,0,0,6,8,3,6,4,0,4,4,5,5,40,146,108,106,72,49,22,60,59,11,626
Botany Bay (C),11100,198,231,141,157,166,120,48,61,13,1136,254,245,176,256,280,159,53,69,19,1523,353,175,1281,413,399,204,259,246,55,3379,14,14,14,38,66,25,13,18,0,204,59,32,47,84,119,56,25,55,4,487,33,52,21,17,55,25,15,19,5,241,38,51,51,56,70,33,30,57,45,432,2269,4654,2122,1625,2204,1180,702,860,255,15876
Bourke (A),11150,10,5,3,28,3,0,0,0,0,49,12,6,5,27,7,0,3,12,0,71,31,13,60,28,22,6,13,13,4,204,4,0,0,5,4,0,3,7,0,20,5,0,0,8,3,0,0,3,3,21,0,0,0,3,0,0,0,0,0,3,5,5,3,3,3,3,0,5,0,33,113,136,75,129,54,20,19,39,8,586
Brewarrina (A),11200,8,3,0,3,0,0,0,0,0,16,7,5,0,15,0,0,0,4,0,32,16,8,15,16,5,0,3,14,3,87,3,0,0,3,3,0,0,3,3,17,7,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,6,27,63,69,22,51,20,6,10,30,8,284
Lismore (C),14850,99,217,62,144,105,39,9,29,9,718,157,176,104,302,212,64,18,60,8,1097,466,216,1492,662,536,334,320,505,48,4578,26,14,23,66,70,65,25,72,4,364,46,32,34,88,131,64,35,60,7,497,13,22,7,13,26,19,12,15,0,119,52,42,36,35,52,41,31,68,29,394,1394,3422,1919,1703,1500,732,477,908,142,12194
Lithgow (C),14870,53,83,29,56,49,13,12,17,4,315,65,59,71,120,81,21,12,20,8,451,193,102,863,314,254,119,396,204,32,2465,11,4,15,28,35,19,9,32,0,154,15,9,24,36,49,12,24,18,0,198,5,7,3,3,8,7,7,9,0,47,23,14,26,27,21,21,35,35,19,222,510,875,1074,652,619,233,508,346,74,4889
Liverpool (C),14900,560,724,513,485,800,256,257,224,76,3900,773,908,685,1235,1274,504,336,268,120,6101,1466,738,5967,1758,1955,904,1575,1363,307,16019,93,65,78,150,326,134,105,135,25,1111,192,137,196,325,531,207,209,227,39,2064,95,186,102,80,200,71,100,74,27,936,137,181,221,151,281,162,192,266,258,1852,5745,12835,8711,5592,8059,3229,3375,3046,1145,51731
Liverpool Plains (A),14920,47,30,4,25,16,4,0,7,0,138,39,22,4,32,21,10,3,9,0,142,124,27,215,79,72,24,119,90,15,758,17,0,5,10,17,4,8,4,0,64,17,6,12,20,21,4,13,15,0,99,0,7,0,3,4,0,4,4,0,23,20,9,8,6,15,8,17,23,4,114,340,313,258,199,181,75,166,157,22,1720
Broken Hill (C),11250,30,68,9,50,29,13,5,0,5,202,48,64,34,120,58,23,4,15,3,383,144,109,725,329,222,84,214,122,24,1972,9,9,4,28,30,10,9,21,0,128,13,16,8,43,43,14,14,14,0,164,5,5,4,8,6,3,3,4,0,40,13,18,12,27,30,19,22,33,10,200,402,1006,818,693,464,193,284,222,58,4133
Hilltops (A),13910,107,56,22,51,50,14,6,22,0,331,76,50,30,90,56,19,14,33,6,366,334,83,632,229,169,128,160,262,29,2019,23,3,6,17,21,23,9,32,0,147,41,6,14,30,40,25,11,28,0,197,18,10,3,3,11,4,0,7,0,56,47,17,33,23,25,26,26,55,7,250,930,835,767,508,450,256,220,482,52,4505
Hornsby (A),14000,731,1165,374,421,773,248,84,133,51,3977,722,850,419,662,864,382,72,158,44,4169,1188,653,3054,918,1007,555,352,532,117,8376,61,52,54,64,178,80,28,45,3,562,236,166,122,213,458,146,52,103,19,1514,151,280,54,44,174,52,18,20,12,794,108,206,75,89,165,78,30,62,123,939,9246,22063,5429,4029,7407,2855,950,1631,688,54298
Hunters Hill (A),14100,82,109,20,27,78,33,3,5,7,361,74,77,18,29,58,37,3,9,3,308,109,44,156,44,51,37,20,26,8,497,8,5,6,0,8,5,0,0,0,37,28,17,4,17,41,23,0,0,0,137,17,35,3,3,16,4,0,6,0,86,24,23,3,3,15,3,0,4,6,85,1183,2081,273,250,605,283,39,72,71,4856
Inner West (A),14170,883,1423,444,469,642,361,107,172,57,4562,1033,1375,668,874,1053,517,100,261,88,5970,1103,867,3232,1046,1137,653,451,542,158,9191,83,86,52,86,161,88,33,51,8,648,238,274,130,224,381,172,72,115,22,1618,128,279,83,82,144,69,23,59,23,893,140,252,129,131,135,92,67,118,196,1267,13654,34511,6487,5633,9129,4137,1283,2309,1139,78282
Inverell (A),14200,65,71,14,47,27,10,3,6,3,241,56,59,17,77,48,17,6,21,4,316,290,80,560,254,143,131,110,233,13,1802,20,5,5,13,19,14,4,21,4,108,25,5,8,31,30,21,5,34,3,175,8,7,5,7,3,4,0,4,3,43,31,14,33,27,23,23,18,55,38,256,636,807,657,511,355,232,149,413,78,3843
Junee (A),14300,17,15,0,21,12,3,0,7,0,71,26,19,10,35,19,9,8,12,0,133,118,26,163,105,52,34,69,64,6,639,12,3,4,7,20,5,7,9,0,63,18,4,3,13,8,3,7,6,3,67,4,3,0,0,4,0,3,5,0,21,14,3,6,10,9,6,11,21,3,82,274,250,202,208,155,70,101,140,21,1422
Kempsey (A),14350,62,100,21,82,38,12,6,17,6,345,65,112,34,136,98,38,3,28,6,529,330,147,863,500,288,178,207,311,58,2880,15,6,17,43,44,35,11,46,3,220,26,18,19,76,58,32,21,41,3,300,4,9,3,6,14,3,3,9,0,60,35,26,43,48,34,21,24,54,28,312,698,1295,1017,991,668,356,287,526,119,5965
Kiama (A),14400,106,170,45,79,79,35,9,17,6,547,126,145,89,137,114,39,18,19,10,695,268,111,901,259,244,119,168,154,32,2261,11,7,7,14,27,19,6,11,0,109,26,21,19,33,67,32,13,11,3,231,13,17,6,3,15,3,3,3,0,62,23,31,17,28,27,19,3,15,5,171,1063,2292,1168,762,776,333,246,272,101,7009
Ku-ring-gai (A),14500,673,818,173,227,534,242,38,64,52,2821,520,535,150,292,515,235,31,68,31,2383,536,314,972,324,345,251,98,156,53,3046,37,35,22,25,66,26,5,15,5,244,165,156,52,120,252,145,25,41,17,975,139,234,36,33,129,47,7,17,19,658,99,209,43,59,100,54,9,21,84,673,10108,20060,2178,2115,5411,2331,355,665,768,43989
Kyogle (A),14550,36,42,7,19,18,3,5,9,3,144,34,22,14,43,30,5,0,15,0,175,141,36,219,107,73,30,57,114,15,785,6,7,4,5,8,3,3,21,0,58,25,9,3,27,14,9,7,20,0,108,4,3,0,4,7,0,0,9,0,24,35,13,7,7,4,10,3,11,7,99,376,426,266,253,191,71,80,219,36,1915
Lachlan (A),14600,27,25,0,17,14,3,3,4,0,100,24,9,7,30,23,4,4,6,0,105,144,17,161,64,40,33,52,49,9,557,13,0,4,7,12,7,5,3,0,56,24,3,8,7,4,4,4,5,0,56,3,3,0,0,4,0,3,0,0,17,31,9,14,3,9,3,12,14,11,103,350,269,194,147,119,67,82,84,18,1336
Lake Macquarie (C),14650,575,1207,410,585,682,197,83,99,33,3865,801,1131,676,1283,1101,363,141,197,44,5741,2060,1185,8861,2829,2753,1375,1976,1911,357,23307,91,52,73,194,341,223,82,186,9,1253,201,168,195,353,617,244,141,197,23,2143,63,148,54,71,140,52,35,62,10,629,91,176,163,215,230,158,124,197,138,1501,6374,15966,11012,6706,7425,3109,2718,3090,768,57170
Lane Cove (A),14700,193,286,76,84,158,73,13,19,14,918,172,231,87,119,207,94,19,27,7,969,218,138,415,144,169,116,43,71,17,1334,12,19,12,9,26,9,3,8,0,99,54,60,17,39,59,44,7,12,3,288,36,91,15,11,30,16,3,6,3,206,32,50,10,9,37,22,0,6,32,201,3130,7547,946,869,1864,864,157,259,237,15866
Leeton (A),14750,27,39,11,23,16,4,0,3,3,133,40,21,22,46,39,9,7,14,3,197,179,65,414,109,136,48,120,154,33,1265,7,3,10,16,15,11,7,25,0,93,14,7,6,19,37,11,9,18,0,118,3,3,8,0,6,3,0,10,0,28,32,15,13,13,14,17,24,38,9,174,413,582,513,254,300,113,175,305,53,2697
Lockhart (A),14950,22,5,0,7,4,4,0,6,0,56,30,9,7,10,14,3,3,0,0,76,102,13,77,45,32,18,30,30,7,358,4,0,0,0,7,0,5,3,0,30,14,7,0,10,7,3,3,3,0,47,3,0,0,0,0,0,0,0,0,9,3,5,9,0,0,3,3,3,0,32,237,154,102,79,80,32,45,55,14,806
Maitland (C),15050,235,400,179,222,216,73,42,43,12,1429,309,419,308,553,461,153,74,64,30,2369,803,458,3963,1211,1219,613,1164,774,158,10369,53,19,46,74,155,117,51,91,0,599,77,56,57,133,222,75,54,69,14,742,20,50,18,27,54,16,15,24,0,230,45,61,68,89,59,49,65,85,62,597,2388,5333,4849,2677,2825,1258,1531,1241,313,22416
Mid-Coast (A),15240,198,423,90,244,184,89,31,68,8,1335,253,337,152,529,278,141,35,86,15,1832,998,452,2880,1195,802,681,605,944,106,8656,64,40,46,73,122,131,32,98,3,615,108,75,69,201,195,126,56,111,10,954,42,38,14,24,47,22,8,22,3,212,98,85,90,127,108,128,101,172,65,961,2364,4478,3446,2694,2064,1440,889,1578,258,19215
Mid-Western Regional (A),15270,86,105,39,56,45,20,20,12,0,388,92,70,62,120,82,40,19,29,3,519,347,100,1095,278,243,143,497,263,35,3000,25,13,5,17,45,28,28,36,4,193,46,14,27,43,51,28,21,22,4,258,11,4,4,6,17,8,6,10,0,63,49,29,37,27,38,33,42,41,24,311,950,1205,1339,645,621,339,662,447,77,6284
Moree Plains (A),15300,62,46,11,43,27,11,3,6,3,207,80,37,16,78,59,23,5,10,0,317,203,56,421,143,117,70,122,130,16,1277,14,4,4,15,22,7,10,15,0,97,28,7,5,23,28,12,6,18,3,128,10,9,0,0,9,3,4,0,0,34,40,13,20,27,25,16,25,21,19,203,670,681,494,367,372,154,181,214,51,3187
Mosman (A),15350,178,246,34,74,128,79,8,15,10,757,155,173,44,90,124,58,7,18,8,670,141,77,232,93,85,72,21,31,15,774,13,11,6,13,15,5,0,4,0,74,39,36,13,24,51,37,4,4,6,207,41,74,6,11,29,15,3,7,0,185,26,57,4,13,33,9,0,10,24,177,2901,5108,504,572,1240,689,62,131,238,11449
Murray River (A),15520,72,57,14,31,28,12,0,19,0,245,60,49,19,53,46,20,6,17,0,268,285,42,363,106,91,82,86,138,15,1216,16,8,0,10,18,4,3,18,0,80,21,7,8,27,12,9,4,16,0,101,3,4,3,4,0,3,0,3,0,18,44,19,11,21,9,12,11,23,12,164,691,632,447,299,256,154,119,272,32,2900
Murrumbidgee (A),15560,30,18,3,8,6,3,0,0,0,75,19,7,7,13,15,0,0,4,0,72,100,10,108,38,39,19,37,52,4,409,3,0,0,3,3,3,0,5,0,26,18,0,0,9,15,0,4,4,0,56,6,0,0,0,0,0,0,0,0,15,9,4,7,4,3,3,4,11,3,55,254,147,132,92,110,40,59,100,8,934
Muswellbrook (A),15650,50,61,30,36,32,12,8,5,0,239,52,38,62,61,47,21,28,15,3,339,159,67,888,186,194,85,414,181,24,2192,9,0,10,18,25,21,10,33,0,125,15,12,21,20,43,10,19,15,0,153,10,3,5,3,12,0,3,3,0,37,12,3,16,19,15,18,25,35,13,153,406,664,1083,393,413,187,535,314,52,4042
Nambucca (A),15700,47,68,17,62,30,11,3,7,0,241,46,55,28,134,68,14,7,18,6,386,188,86,590,306,155,107,126,222,35,1819,15,5,11,15,27,16,9,27,3,127,18,8,18,43,47,28,12,20,4,196,10,15,3,7,3,0,0,7,0,48,23,20,22,31,21,17,11,44,14,208,482,923,720,670,416,214,172,365,79,4039
Narrabri (A),15750,44,53,13,33,22,0,12,10,3,188,56,40,28,76,49,7,7,10,4,277,207,79,477,129,137,57,163,124,29,1412,16,7,9,8,29,9,9,9,3,96,22,6,13,23,20,16,14,19,0,139,4,9,0,0,5,5,7,3,0,30,35,10,13,14,22,20,34,47,20,210,551,711,578,327,359,140,254,242,67,3229
Narrandera (A),15800,14,23,5,15,15,3,0,9,0,82,22,13,13,34,12,7,0,9,0,115,124,18,176,57,56,24,40,72,3,567,11,0,7,7,12,3,4,11,0,53,18,5,3,9,7,8,3,13,5,69,4,3,0,0,3,0,0,6,0,19,24,3,3,8,3,4,7,18,12,85,287,247,224,150,128,59,56,136,17,1301
Narromine (A),15850,25,22,5,11,15,9,3,0,3,93,38,22,4,34,21,12,5,7,3,147,120,37,216,75,61,25,76,60,6,689,15,4,0,10,5,7,6,3,0,52,23,3,3,6,14,3,8,5,0,69,7,0,0,5,6,0,0,0,0,12,19,7,4,5,4,0,6,9,5,73,330,307,246,173,171,61,113,98,20,1523
Newcastle (C),15900,479,942,306,465,526,182,69,91,50,3099,607,916,541,1062,900,334,109,182,54,4715,1351,870,5590,2109,1927,1024,1192,1205,202,15465,61,62,72,160,225,138,57,112,5,888,127,130,119,237,376,163,86,153,14,1425,49,124,47,68,110,37,24,45,9,508,72,190,108,146,144,88,74,133,126,1083,5657,18571,7514,5686,6105,2611,1764,2283,645,50843
North Sydney (A),15950,493,630,123,159,355,160,16,37,25,1992,457,580,169,230,390,185,25,46,27,2101,394,289,718,230,317,205,50,92,38,2334,30,18,13,23,63,23,3,7,4,185,116,125,31,65,172,67,15,22,10,623,93,171,31,27,86,29,9,10,6,469,75,141,32,30,80,39,5,14,73,480,7566,16470,1724,1649,3930,1787,205,434,548,34300
Northern Beaches (A),15990,1815,2552,622,923,1409,627,137,229,103,8419,1662,1754,884,1376,1700,790,165,255,115,8707,2880,1297,7898,1902,2000,1294,796,1147,256,19462,156,124,96,145,326,172,40,97,11,1172,529,449,243,429,916,428,102,144,53,3289,254,375,104,124,304,132,37,73,36,1437,255,413,187,234,376,208,92,152,218,2130,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
Oberon (A),16100,16,31,6,15,7,4,5,4,3,89,11,14,12,17,20,13,6,3,0,99,106,20,208,54,33,17,86,51,16,591,15,0,3,10,9,6,3,9,0,55,12,0,3,17,9,5,12,10,0,69,0,3,0,0,3,0,0,0,0,9,25,7,0,5,3,9,8,10,5,69,245,246,242,128,110,58,125,100,28,1287
Orange (C),16150,114,220,50,128,133,48,22,22,8,742,165,185,118,281,231,66,20,48,3,1122,465,201,1638,584,544,311,374,376,43,4545,30,8,22,31,68,63,14,32,6,281,47,31,28,80,137,51,29,44,8,443,15,35,5,22,19,13,9,15,0,131,30,36,33,63,44,45,31,74,26,378,1409,3577,2039,1445,1513,707,547,695,136,12059
Parkes (A),16200,50,67,14,42,14,3,7,8,0,202,63,54,29,65,55,11,13,12,3,310,279,86,537,207,164,91,224,136,30,1744,12,3,7,19,30,13,10,11,0,122,26,10,9,31,36,21,17,11,6,165,10,4,7,4,4,4,0,0,0,34,26,13,12,26,21,30,26,25,14,187,638,788,641,434,395,188,301,222,65,3664
Parramatta (C),16260,783,1101,595,513,966,385,255,275,76,4949,962,1135,827,1080,1298,580,292,361,99,6634,1337,741,4073,1291,1514,725,697,841,207,11421,73,59,60,119,250,94,51,73,9,785,207,208,178,286,538,205,134,145,27,1932,166,435,129,112,232,109,62,85,33,1369,160,287,158,123,236,113,93,153,191,1512,11037,31277,8494,6259,11684,4970,2785,3473,1387,81364
Burwood (A),11300,107,141,96,91,114,75,24,58,12,731,151,157,178,190,182,114,33,82,24,1101,158,93,587,191,171,99,73,148,31,1548,4,12,8,22,28,22,5,13,3,125,33,21,33,35,75,40,12,17,5,275,30,60,24,24,50,39,4,17,3,248,23,38,30,35,33,34,10,42,39,286,1515,4508,1315,1107,1659,1032,309,734,263,12438
Byron (A),11350,148,239,66,144,104,54,12,40,9,811,123,163,79,214,119,83,18,64,8,876,355,136,1079,368,190,186,129,297,38,2773,14,17,9,29,25,30,5,19,0,157,56,32,34,66,54,40,18,45,3,349,18,26,3,16,6,10,3,17,0,97,59,45,32,55,30,52,16,44,29,361,1469,3056,1486,1241,855,613,233,679,152,9793
Cabonne (A),11400,79,75,12,47,62,11,9,14,4,311,85,60,24,88,58,16,5,21,7,358,290,67,540,129,137,91,131,161,21,1571,20,3,10,15,28,13,8,18,0,110,35,13,10,30,54,15,13,18,0,189,5,5,4,6,3,0,3,3,0,32,43,8,22,16,24,16,21,24,23,187,855,929,652,392,469,178,197,282,55,4007
Camden (A),11450,329,483,162,293,335,134,52,54,32,1872,500,493,281,706,638,238,87,84,50,3073,1183,473,3727,939,1285,640,918,655,129,9957,67,32,38,60,186,93,39,47,12,569,117,63,79,147,276,109,84,65,13,944,34,55,37,25,80,26,21,31,0,309,83,69,69,85,116,74,72,64,65,700,3574,6444,4664,2848,3635,1588,1367,1124,403,25654
Campbelltown (C) (NSW),11500,349,625,316,403,442,158,197,132,43,2670,528,672,500,1061,913,401,276,250,77,4681,1175,740,5088,1883,1912,898,1638,1292,245,14863,77,33,68,120,267,129,115,144,14,955,150,105,120,298,408,178,205,209,30,1702,68,126,64,74,158,66,82,70,12,728,90,135,167,190,208,143,233,238,147,1553,3973,9421,7112,5335,6292,2748,3336,2914,729,41873
Canada Bay (A),11520,525,584,174,205,419,219,44,61,36,2263,585,515,300,379,553,289,50,101,37,2811,707,375,1676,443,571,383,197,294,76,4728,46,32,25,40,98,44,8,30,6,337,167,105,74,108,283,141,27,58,9,967,107,158,36,41,116,60,15,21,12,564,92,123,56,54,103,61,26,46,84,644,6724,13640,3023,2129,4597,2343,536,946,569,34503
Canterbury-Bankstown (A),11570,886,1221,799,839,1244,554,442,375,103,6465,1216,1287,1164,2001,1874,921,508,570,157,9699,1875,1014,8039,2402,2352,1249,1696,1788,397,20820,125,98,128,207,393,198,102,156,30,1439,323,228,290,537,867,383,313,293,48,3288,161,323,184,172,309,158,140,177,35,1666,193,355,347,296,388,273,280,374,405,2911,9995,23615,13163,9517,12587,6469,5162,5462,1794,87765
Carrathool (A),11600,30,5,0,5,8,0,0,3,0,58,27,3,0,8,16,0,4,3,0,62,89,3,71,19,24,6,34,40,3,289,5,0,0,3,3,3,7,4,0,23,19,0,0,4,6,0,3,7,0,41,4,0,0,0,0,0,3,6,0,15,14,0,9,3,3,4,12,31,4,66,248,93,85,58,69,14,56,103,13,738
Central Coast (C) (NSW),11650,1092,1793,548,1110,1053,422,140,213,82,6450,1491,1765,942,2411,1802,769,203,365,131,9884,3742,2220,13234,4855,4158,2489,2370,3239,530,36833,201,139,141,321,485,387,113,299,26,2122,339,333,280,742,905,452,226,351,43,3670,131,235,110,124,254,104,54,113,24,1132,282,328,349,398,418,314,230,450,306,3081,11126,23469,16491,11892,11401,5844,3531,5500,1432,90690
Central Darling (A),11700,4,6,0,9,0,3,0,0,0,26,5,6,3,8,0,0,0,0,0,27,32,3,11,21,13,3,8,20,3,108,3,0,0,0,0,0,0,6,0,8,6,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,10,0,3,9,0,3,3,3,3,38,72,51,16,60,17,8,8,34,10,283
Cessnock (C),11720,140,198,63,107,94,52,11,28,9,702,187,180,125,303,178,98,60,55,21,1204,502,300,2711,825,722,356,1004,621,113,7156,36,24,37,68,84,92,56,73,4,468,51,29,40,107,121,63,57,78,8,555,17,12,16,12,25,7,10,17,3,126,46,52,52,73,43,60,81,105,34,542,1369,2208,3129,1654,1466,811,1323,1039,201,13185
Clarence Valley (A),11730,101,234,46,146,104,38,21,23,4,721,119,154,75,289,175,70,25,36,11,957,534,244,1580,849,531,347,380,549,79,5098,39,21,27,56,70,64,17,51,3,348,73,40,30,113,113,81,38,68,8,562,17,17,12,14,36,9,11,15,4,128,72,52,53,71,64,70,52,100,35,571,1326,2525,1905,1717,1331,752,560,893,169,11181
Cobar (A),11750,11,10,5,13,10,0,0,3,0,42,15,14,11,23,13,3,10,5,0,90,72,18,264,47,44,20,93,44,10,618,9,0,6,3,10,5,4,0,0,35,3,3,4,3,4,3,9,6,0,36,0,0,0,3,4,0,3,0,0,9,9,3,8,9,3,4,9,8,3,58,166,224,295,117,106,41,141,72,20,1182
Coffs Harbour (C),11800,222,381,88,222,239,75,33,54,8,1318,292,357,162,473,433,176,39,121,31,2076,823,349,2573,1062,864,588,480,808,107,7653,36,20,37,86,130,115,21,98,9,562,78,44,51,161,181,85,47,104,17,770,27,46,11,30,33,19,8,36,4,220,56,66,64,86,74,72,50,101,65,638,2370,5213,3165,2557,2501,1288,704,1502,300,19609
Coolamon (A),12000,21,15,4,7,6,3,3,0,0,62,23,8,0,34,17,4,0,5,0,94,87,19,144,61,37,26,38,48,12,468,9,0,0,8,10,8,3,7,0,40,19,0,4,6,17,3,4,3,0,54,0,0,0,0,3,0,0,0,0,8,18,7,3,7,4,8,4,10,4,61,218,216,176,135,107,48,52,88,21,1063
Coonamble (A),12150,21,21,0,11,10,0,0,3,0,58,13,3,3,20,13,4,0,0,0,70,74,10,86,51,38,18,21,38,9,339,8,4,0,7,5,3,0,4,0,26,16,0,3,5,0,6,5,3,0,34,0,0,0,0,0,0,0,0,0,7,20,3,3,5,8,6,3,10,10,66,211,162,99,106,88,40,24,64,23,817
Cowra (A),12350,47,60,14,29,21,11,0,10,0,196,52,38,12,66,31,15,7,6,3,232,222,62,402,161,115,91,90,158,26,1338,15,3,5,15,20,23,4,15,0,97,26,15,6,35,25,13,7,24,0,144,5,3,3,3,9,3,3,4,0,26,37,11,22,21,9,16,12,20,7,157,524,600,488,375,273,185,129,261,40,2875
