lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Swan (C),58050,392,588,356,400,406,140,148,130,35,2596,613,640,612,969,745,346,230,221,46,4424,1275,675,6172,2050,1643,870,1456,1166,245,15552,79,45,81,143,212,147,85,162,9,966,128,97,144,312,315,155,130,140,12,1433,57,91,71,80,105,42,38,49,14,542,77,128,191,178,175,143,153,138,109,1303,4152,7944,8262,5234,4926,2439,2580,2431,610,38576
Tammin (S),58190,3,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,0,3,0,20,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,26,11,8,4,8,3,3,9,0,81
Three Springs (S),58260,3,0,0,0,0,0,0,0,0,12,10,0,0,3,0,0,0,0,0,18,13,0,21,3,7,3,0,14,0,60,0,0,0,3,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,10,47,22,25,17,7,3,4,19,0,146
Roper Gulf (R),73600,10,17,0,0,0,0,0,0,0,33,14,8,3,16,3,3,0,3,0,46,27,40,57,44,26,9,21,28,10,257,5,12,3,15,6,3,0,14,0,64,5,9,0,3,4,3,0,11,4,41,0,0,0,3,0,0,0,3,0,11,9,16,8,28,5,4,3,20,35,140,104,231,79,130,54,26,27,86,58,791
Tiwi Islands (R),74050,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,10,7,19,17,16,3,0,10,0,78,0,0,0,3,3,0,3,0,0,16,0,3,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,3,0,11,0,7,4,3,0,3,6,36,30,81,21,37,23,9,3,14,16,231
Perenjori (S),57000,6,4,0,0,0,0,0,3,0,13,7,0,0,3,0,0,0,0,0,8,15,3,51,4,6,0,23,12,0,117,0,0,3,0,3,0,0,0,0,6,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,10,51,25,61,10,10,0,27,15,3,206
Perth (C),57080,108,123,60,54,64,36,15,37,3,500,118,106,128,166,100,54,16,59,12,762,123,77,415,112,116,60,42,89,15,1067,7,4,5,15,12,4,3,4,0,67,34,15,24,33,24,16,5,12,5,163,17,35,9,23,13,6,9,21,4,142,20,44,21,29,25,10,6,23,21,203,1439,3716,936,868,973,443,131,492,149,9150
Pingelly (S),57140,9,3,0,3,0,0,0,0,0,20,9,0,0,10,0,3,0,0,0,26,25,3,16,14,7,0,5,16,3,84,0,0,0,0,4,0,0,0,0,6,3,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,5,0,3,0,0,4,3,18,50,27,28,27,20,9,18,20,3,202
Toodyay (S),58330,9,25,14,11,15,6,6,3,3,95,13,20,14,23,16,9,6,3,0,102,60,27,177,56,41,26,68,40,4,513,3,0,3,4,6,8,0,0,0,28,5,5,3,10,9,3,3,3,0,45,3,0,0,0,3,0,0,0,0,8,13,5,5,6,6,6,14,7,6,64,163,242,243,121,117,59,101,62,22,1122
Victoria Daly (R),74550,8,5,0,11,3,0,0,3,0,28,15,9,3,12,3,0,0,9,0,53,21,19,36,20,8,0,11,43,3,170,3,4,3,7,4,0,0,9,0,30,0,0,0,3,0,0,0,3,0,10,0,0,0,3,0,0,0,0,0,3,6,4,8,9,3,3,0,7,21,61,80,103,46,56,30,9,18,79,30,448
Trayning (S),58400,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,0,4,13,0,3,0,0,0,3,0,0,27,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,26,3,4,14,0,3,4,7,0,69
