lga_code16,mng_nni_a_15_19,mng_nni_a_20_24,mng_nni_a_25_34,mng_nni_a_35_44,mng_nni_a_45_54,mng_nni_a_55_64,mng_nni_a_65_74,mng_nni_a_75ov,mng_nni_tot,mng_1_149_a_15_19,mng_1_149_a_20_24,mng_1_149_a_25_34,mng_1_149_a_35_44,mng_1_149_a_45_54,mng_1_149_a_55_64,mng_1_149_a_65_74,mng_1_149_a_75ov,mng_1_149_tot,mng_150_299_a_15_19,mng_150_299_a_20_24,mng_150_299_a_25_34,mng_150_299_a_35_44,mng_150_299_a_45_54,mng_150_299_a_55_64,mng_150_299_a_65_74,mng_150_299_a_75ov,mng_150_299_tot,mng_300_399_a_15_19,mng_300_399_a_20_24,mng_300_399_a_25_34,mng_300_399_a_35_44,mng_300_399_a_45_54,mng_300_399_a_55_64,mng_300_399_a_65_74,mng_300_399_a_75ov,mng_300_399_tot,mng_400_499_a_15_19,mng_400_499_a_20_24,mng_400_499_a_25_34,mng_400_499_a_35_44,mng_400_499_a_45_54,mng_400_499_a_55_64,mng_400_499_a_65_74,mng_400_499_a_75ov,mng_400_499_tot,mng_500_649_a_15_19,mng_500_649_a_20_24,mng_500_649_a_25_34,mng_500_649_a_35_44,mng_500_649_a_45_54,mng_500_649_a_55_64,mng_500_649_a_65_74,mng_500_649_a_75ov,mng_500_649_tot,mng_650_799_a_15_19,mng_650_799_a_20_24,mng_650_799_a_25_34,mng_650_799_a_35_44,mng_650_799_a_45_54,mng_650_799_a_55_64,mng_650_799_a_65_74,mng_650_799_a_75ov,mng_650_799_tot,mng_800_999_a_15_19,mng_800_999_a_20_24,mng_800_999_a_25_34,mng_800_999_a_35_44,mng_800_999_a_45_54,mng_800_999_a_55_64,mng_800_999_a_65_74,mng_800_999_a_75ov,mng_800_999_tot,mng_1000_1249_a_15_19,mng_1000_1249_a_20_24,mng_1000_1249_a_25_34,mng_1000_1249_a_35_44,mng_1000_1249_a_45_54,mng_1000_1249_a_55_64,mng_1000_1249_a_65_74,mng_1000_1249_a_75ov,mng_1000_1249_tot,mng_1250_1499_a_15_19,mng_1250_1499_a_20_24,mng_1250_1499_a_25_34,mng_1250_1499_a_35_44,mng_1250_1499_a_45_54,mng_1250_1499_a_55_64,mng_1250_1499_a_65_74,mng_1250_1499_a_75ov,mng_1250_1499_tot,mng_1500_1749_a_15_19,mng_1500_1749_a_20_24,mng_1500_1749_a_25_34,mng_1500_1749_a_35_44,mng_1500_1749_a_45_54,mng_1500_1749_a_55_64,mng_1500_1749_a_65_74,mng_1500_1749_a_75ov,mng_1500_1749_tot,mng_1750_1999_a_15_19,mng_1750_1999_a_20_24,mng_1750_1999_a_25_34,mng_1750_1999_a_35_44,mng_1750_1999_a_45_54,mng_1750_1999_a_55_64,mng_1750_1999_a_65_74,mng_1750_1999_a_75ov,mng_1750_1999_tot,mng_2000_2999_a_15_19,mng_2000_2999_a_20_24,mng_2000_2999_a_25_34,mng_2000_2999_a_35_44,mng_2000_2999_a_45_54,mng_2000_2999_a_55_64,mng_2000_2999_a_65_74,mng_2000_2999_a_75ov,mng_2000_2999_tot,mng_3000mo_a_15_19,mng_3000mo_a_20_24,mng_3000mo_a_25_34,mng_3000mo_a_35_44,mng_3000mo_a_45_54,mng_3000mo_a_55_64,mng_3000mo_a_65_74,mng_3000mo_a_75ov,mng_3000mo_tot,mng_pins_a_15_19,mng_pins_a_20_24,mng_pins_a_25_34,mng_pins_a_35_44,mng_pins_a_45_54,mng_pins_a_55_64,mng_pins_a_65_74,mng_pins_a_75ov,mng_pins_tot,mng_tot_a_15_19,mng_tot_a_20_24,mng_tot_a_25_34,mng_tot_a_35_44,mng_tot_a_45_54,mng_tot_a_55_64,mng_tot_a_65_74,mng_tot_a_75ov,mng_tot_tot,pro_nni_a_15_19,pro_nni_a_20_24,pro_nni_a_25_34,pro_nni_a_35_44,pro_nni_a_45_54,pro_nni_a_55_64,pro_nni_a_65_74,pro_nni_a_75ov,pro_nni_tot,pro_1_149_a_15_19,pro_1_149_a_20_24,pro_1_149_a_25_34,pro_1_149_a_35_44,pro_1_149_a_45_54,pro_1_149_a_55_64,pro_1_149_a_65_74,pro_1_149_a_75ov,pro_1_149_tot,pro_150_299_a_15_19,pro_150_299_a_20_24,pro_150_299_a_25_34,pro_150_299_a_35_44,pro_150_299_a_45_54,pro_150_299_a_55_64,pro_150_299_a_65_74,pro_150_299_a_75ov,pro_150_299_tot,pro_300_399_a_15_19,pro_300_399_a_20_24,pro_300_399_a_25_34,pro_300_399_a_35_44,pro_300_399_a_45_54,pro_300_399_a_55_64,pro_300_399_a_65_74,pro_300_399_a_75ov,pro_300_399_tot,pro_400_499_a_15_19,pro_400_499_a_20_24,pro_400_499_a_25_34,pro_400_499_a_35_44,pro_400_499_a_45_54,pro_400_499_a_55_64,pro_400_499_a_65_74,pro_400_499_a_75ov,pro_400_499_tot,pro_500_649_a_15_19,pro_500_649_a_20_24,pro_500_649_a_25_34,pro_500_649_a_35_44,pro_500_649_a_45_54,pro_500_649_a_55_64,pro_500_649_a_65_74,pro_500_649_a_75ov,pro_500_649_tot,pro_650_799_a_15_19,pro_650_799_a_20_24,lga_name16
17550,0,0,4,10,12,10,6,0,40,6,0,5,4,8,14,6,4,49,3,0,12,12,27,28,19,9,99,5,7,14,14,34,34,27,7,130,0,4,17,29,27,36,23,6,146,4,18,35,24,69,61,31,11,249,5,35,37,41,66,74,27,5,281,0,27,80,88,98,90,25,0,402,0,16,105,134,127,117,35,3,534,0,7,48,66,79,67,16,8,287,0,0,28,79,87,53,18,0,263,0,0,22,42,49,47,8,0,181,0,0,27,86,112,92,9,0,324,0,4,13,41,59,43,11,7,183,0,3,9,9,22,12,5,3,57,20,118,447,683,874,766,264,63,3235,0,0,0,6,8,7,3,0,20,3,3,8,15,12,8,4,3,64,3,14,18,29,17,17,14,0,113,0,7,18,33,22,29,11,3,130,0,9,34,36,29,41,17,3,163,0,16,50,70,71,66,35,7,314,0,13,Tweed (A)
17620,0,0,0,3,9,11,10,3,39,3,0,3,4,0,3,5,0,20,0,0,0,4,11,12,11,7,40,0,0,0,5,14,13,11,6,49,0,0,0,3,7,21,11,9,52,3,0,3,7,16,17,18,19,88,0,10,18,9,19,22,16,5,96,0,7,25,25,22,12,3,8,106,0,4,24,26,35,28,17,0,128,0,4,12,21,21,24,8,4,95,0,0,6,10,17,13,4,3,64,0,0,3,16,10,8,5,0,43,0,0,15,23,15,23,4,5,72,0,0,0,10,12,17,13,7,51,0,0,0,5,8,16,0,0,28,9,20,105,173,213,236,141,63,967,0,0,4,3,0,0,0,0,5,4,0,0,5,0,0,0,0,9,0,0,8,5,0,0,0,0,10,0,0,3,4,3,3,4,0,16,0,0,6,10,5,3,0,0,27,3,0,8,6,15,15,0,4,54,0,3,Upper Hunter Shire (A)
17640,0,0,0,4,7,10,11,3,37,0,0,0,0,4,6,5,0,22,0,0,3,7,12,14,16,7,54,0,3,0,0,7,12,15,8,49,0,0,3,4,9,16,26,4,56,0,0,3,8,24,33,32,11,111,0,0,3,7,17,25,22,12,82,0,0,6,10,11,30,20,8,89,0,3,9,7,23,21,29,7,93,0,0,7,5,8,23,8,3,60,0,0,9,10,15,14,3,0,56,0,0,0,3,3,8,4,0,25,0,0,5,9,12,7,12,4,60,0,0,0,11,8,19,9,10,49,0,0,0,0,3,6,3,3,17,0,15,59,86,167,243,207,78,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,11,0,0,0,0,0,3,0,0,11,0,0,0,3,0,3,0,0,4,0,0,3,3,5,0,0,0,15,0,3,Upper Lachlan Shire (A)
17650,0,0,0,0,6,3,3,0,16,0,0,0,0,0,3,3,0,10,0,0,3,3,3,12,0,0,26,0,0,3,3,10,5,5,7,29,0,0,0,3,6,0,4,3,18,0,3,0,7,8,8,9,11,46,0,0,4,5,8,10,4,3,33,0,0,4,0,8,6,5,3,29,0,0,4,6,5,18,9,0,47,0,0,6,8,13,7,6,0,33,0,0,0,6,3,9,4,0,24,0,0,0,0,7,0,0,4,14,0,0,0,3,9,13,4,0,29,0,0,0,0,6,0,6,5,16,0,0,0,3,4,0,4,3,14,0,5,34,53,92,98,66,32,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,6,0,0,0,0,0,3,0,0,9,0,0,0,3,4,3,0,0,9,0,0,Uralla (A)
17750,3,0,5,9,4,19,10,0,52,7,0,0,4,8,5,8,0,37,3,3,8,5,5,19,11,5,59,3,3,5,3,16,17,12,17,82,7,3,10,13,22,22,16,8,98,6,22,22,25,39,42,32,17,200,0,23,53,35,64,46,22,5,250,3,27,106,71,108,59,35,3,423,3,22,112,114,121,98,25,8,506,0,14,103,106,93,75,20,3,417,0,3,74,95,112,66,17,0,373,0,0,42,97,82,53,19,3,295,0,0,53,155,156,119,8,8,496,0,0,16,53,87,69,29,7,248,0,3,15,10,12,8,9,4,53,35,133,622,802,935,715,271,86,3594,0,0,3,7,0,0,3,0,15,9,10,10,9,5,6,0,3,50,5,11,8,14,3,4,4,0,55,3,11,13,18,7,8,4,3,67,3,9,29,14,19,19,12,0,100,6,19,71,63,44,39,18,4,261,10,62,Wagga Wagga (C)
17850,0,0,0,4,9,4,5,0,21,0,0,0,0,0,0,3,0,8,0,0,0,3,6,5,9,0,32,0,0,3,8,7,11,8,5,30,0,0,3,3,8,3,11,3,31,0,0,3,7,18,12,11,4,54,0,0,3,7,12,11,10,7,42,0,3,6,8,20,10,19,3,62,0,3,8,10,13,14,7,0,57,0,0,5,12,4,10,3,0,32,0,0,3,3,7,8,6,0,34,0,0,0,4,3,11,5,0,21,0,0,0,7,7,10,5,0,26,0,0,0,0,7,4,4,0,17,0,0,0,3,3,6,6,4,24,0,12,31,71,119,122,107,26,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,6,0,3,0,0,15,0,0,Walcha (A)
17900,0,3,4,9,19,22,7,0,65,0,0,0,3,0,7,0,0,15,0,0,0,7,3,5,3,0,20,0,3,0,0,7,3,3,3,16,0,0,0,4,10,13,10,3,34,0,0,4,0,9,12,3,0,33,0,3,8,3,9,11,0,3,37,0,3,10,5,8,15,8,5,42,0,5,17,8,10,17,10,0,60,0,0,3,8,6,11,3,0,36,0,0,3,8,11,10,3,0,32,0,0,0,7,3,7,3,0,23,0,0,11,4,11,14,3,0,41,0,0,5,8,11,4,8,3,34,0,0,0,3,5,3,7,0,18,3,14,64,63,117,154,73,23,501,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,7,0,0,0,0,4,0,0,0,12,0,3,0,0,6,3,3,0,13,0,0,Walgett (A)
17950,0,0,0,3,4,3,0,0,8,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,3,0,0,0,0,3,4,0,0,7,0,0,3,3,6,8,4,4,25,0,0,0,3,10,6,3,5,41,0,3,3,0,3,6,5,0,20,0,3,8,4,11,11,4,3,44,0,0,16,8,9,19,0,3,53,0,0,10,5,12,3,0,6,37,0,0,7,5,6,3,3,3,29,0,0,0,3,8,9,4,0,26,0,0,3,5,11,4,0,3,24,0,0,3,0,3,8,4,0,20,0,0,3,0,0,0,3,0,8,3,6,46,47,93,83,40,26,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,6,0,0,Warren (A)
18020,0,0,0,10,9,17,8,3,50,0,0,0,3,7,6,5,0,24,0,0,3,9,17,15,22,9,61,0,0,3,8,3,3,17,13,51,0,0,3,6,23,21,14,7,81,0,0,4,13,13,21,14,7,68,0,3,4,13,25,19,12,8,80,0,5,8,12,17,22,12,3,81,0,3,11,8,26,24,13,7,85,0,0,9,14,8,17,8,0,52,0,0,3,8,14,18,7,3,52,0,0,3,5,11,5,3,3,36,0,0,4,11,9,25,4,3,58,0,0,0,5,9,9,7,3,39,0,4,0,5,3,9,4,4,37,0,19,51,122,191,237,151,70,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,3,0,0,10,0,0,0,4,0,0,3,0,5,0,0,0,8,5,0,3,0,16,0,0,8,4,5,7,0,0,24,0,3,Warrumbungle Shire (A)
18050,0,0,14,13,10,3,3,0,43,3,0,0,7,4,0,0,0,16,8,3,8,17,11,0,0,0,43,4,8,14,15,10,3,4,3,59,3,11,22,13,17,10,3,0,77,0,18,45,27,22,19,9,0,137,3,40,80,47,37,18,15,4,241,0,48,155,75,60,43,11,0,399,0,45,214,125,77,51,13,4,531,0,5,131,104,61,24,14,0,342,0,11,92,83,75,38,7,0,312,0,0,59,68,57,26,6,3,222,0,3,97,179,106,61,10,6,457,0,0,50,171,158,78,22,6,478,0,0,14,16,13,3,5,0,44,21,193,987,954,717,375,117,22,3396,0,0,12,22,3,0,5,0,43,38,30,14,15,13,8,3,0,113,17,27,20,32,20,9,4,4,124,6,12,33,33,20,18,5,4,135,0,18,47,38,24,24,10,8,177,5,27,62,46,50,40,23,5,266,0,32,Waverley (A)
18100,0,0,0,0,0,11,3,0,16,0,0,0,0,0,5,0,0,8,0,0,0,4,4,0,4,3,15,0,0,0,4,0,11,3,4,20,0,0,0,7,4,8,5,0,26,3,0,6,7,8,14,10,0,52,0,0,3,11,9,17,8,4,55,0,0,0,13,15,16,10,0,54,0,3,12,10,9,14,11,4,59,0,0,0,9,14,13,3,4,37,0,0,0,3,10,5,3,0,25,0,0,0,7,3,6,3,4,18,0,0,0,6,11,12,3,0,28,0,0,3,8,3,14,5,0,32,0,0,0,3,3,0,7,0,14,3,5,24,78,96,142,81,29,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,3,3,0,0,12,0,0,Weddin (A)
18200,0,0,0,5,6,7,3,0,21,0,0,0,3,4,3,0,0,14,0,0,0,3,4,12,7,3,32,0,0,0,0,3,3,7,0,21,0,3,0,3,8,14,4,0,32,0,3,0,9,10,13,11,0,53,0,0,10,9,15,15,5,0,60,0,3,9,12,14,17,0,0,66,0,3,9,7,22,20,3,3,78,0,0,3,17,9,11,6,0,56,0,0,7,5,26,13,0,0,51,0,0,3,8,16,16,7,0,47,0,0,4,13,23,12,4,0,56,0,0,3,4,7,12,6,3,33,0,0,0,0,3,0,0,0,6,6,15,57,110,166,171,72,20,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,4,0,0,0,0,3,3,4,0,12,0,0,0,6,6,3,3,0,21,0,0,Wentworth (A)
18230,0,0,0,12,20,16,9,3,59,5,0,0,3,4,14,9,4,38,0,3,6,7,16,16,16,6,66,0,3,5,13,10,30,20,6,86,4,3,15,7,20,27,11,8,101,3,10,18,20,41,32,33,16,174,3,14,58,52,46,46,31,0,246,4,27,78,70,75,62,25,11,352,3,19,89,72,96,79,27,10,391,0,5,43,52,72,54,10,4,248,0,0,35,81,86,37,18,6,269,0,0,18,38,63,51,14,3,198,0,3,32,116,124,89,7,3,371,0,0,15,40,59,49,15,4,191,0,0,10,4,8,15,10,3,57,27,89,427,595,745,606,257,92,2837,0,0,0,4,3,0,3,0,15,3,0,7,7,0,0,0,0,19,4,7,12,9,9,13,3,0,55,0,4,9,12,7,14,4,0,45,3,3,11,13,17,8,9,3,80,0,9,45,40,31,24,7,3,167,5,14,Western Plains Regional (A)
18250,0,0,15,19,17,10,4,0,68,6,6,4,8,4,7,0,0,36,6,12,4,10,13,5,0,0,54,0,9,16,15,14,19,5,0,73,3,15,20,31,23,7,9,3,118,8,26,43,38,38,38,9,0,205,0,43,104,83,67,36,18,3,359,3,79,206,131,114,59,25,0,612,0,66,311,174,145,85,30,3,816,0,23,277,208,151,94,25,3,781,0,12,257,249,232,126,23,3,907,0,5,142,243,160,92,33,5,671,0,5,381,786,559,298,71,3,2097,3,3,164,847,932,424,97,14,2472,0,7,22,23,27,10,6,4,96,34,321,1958,2854,2501,1295,352,41,9359,4,6,22,24,9,12,0,3,84,74,53,26,21,20,15,4,0,217,36,67,35,43,31,26,20,0,262,17,72,56,59,29,32,12,3,283,12,64,79,84,66,46,32,3,391,5,71,128,121,92,72,54,12,549,5,103,Willoughby (C)
18350,0,0,3,7,10,21,0,0,54,3,0,8,6,4,6,6,3,27,0,0,5,15,4,5,7,3,46,3,3,9,9,12,22,24,7,88,5,0,11,8,28,12,16,5,87,6,9,17,26,39,29,21,10,153,3,19,24,40,44,42,20,12,205,0,24,63,55,62,32,25,7,271,0,23,63,62,90,61,43,8,347,0,5,30,47,68,62,23,4,235,0,0,37,58,47,58,21,10,235,0,3,25,47,48,50,13,9,182,0,0,21,61,104,77,22,4,288,0,0,5,34,55,64,33,6,194,0,4,3,10,16,14,0,3,47,12,98,320,469,628,552,282,91,2457,0,0,3,8,5,3,3,0,26,3,3,3,13,10,9,3,3,51,3,8,6,17,6,24,7,3,81,0,8,8,16,25,17,8,6,91,8,6,16,17,17,26,17,3,113,5,10,34,46,46,40,24,11,210,0,13,Wingecarribee (A)
18400,0,0,3,4,3,5,0,0,18,0,0,0,0,8,7,0,3,19,3,0,7,4,6,7,6,0,36,3,0,7,6,5,10,4,0,37,4,5,0,9,7,14,11,5,52,0,8,6,11,22,20,8,6,83,7,6,23,24,26,24,5,3,122,0,12,45,26,30,27,8,0,152,0,7,28,36,40,29,9,3,153,0,7,28,25,43,23,3,0,125,0,0,22,34,29,26,7,0,120,0,0,18,30,23,15,4,0,91,0,0,19,35,58,33,9,0,159,0,0,8,37,35,23,6,3,117,0,0,3,3,6,4,8,0,32,24,47,225,292,356,269,92,31,1330,0,0,0,8,5,0,0,0,12,3,10,3,3,7,3,0,0,33,3,5,0,7,3,3,8,0,33,3,4,17,11,9,10,3,0,67,4,0,13,6,5,9,3,0,44,3,5,19,16,11,4,9,0,62,0,11,Wollondilly (A)
18450,3,3,10,15,17,13,5,0,61,15,6,4,13,14,15,0,0,59,12,12,15,12,33,29,7,0,120,10,15,24,25,26,28,12,0,140,8,30,36,40,37,35,19,3,210,18,36,70,73,76,38,16,3,328,7,53,126,103,111,68,19,6,502,11,67,201,186,153,94,26,3,741,3,32,241,250,239,145,33,6,939,3,22,171,215,200,123,21,0,757,0,9,146,253,259,132,26,3,829,0,0,71,190,261,152,14,4,695,0,0,167,478,532,354,34,4,1573,0,3,39,220,349,224,27,0,857,0,8,15,24,15,23,3,0,100,82,306,1336,2092,2319,1455,277,36,7908,3,5,11,25,13,9,0,0,64,55,67,47,48,31,14,6,0,259,24,78,90,56,33,36,8,0,331,15,82,82,90,58,60,21,3,407,14,74,136,98,86,66,27,8,504,19,108,226,197,155,111,65,3,877,11,117,Wollongong (C)
18500,0,0,10,12,12,3,0,0,40,0,0,3,5,7,4,0,0,18,0,3,12,3,8,8,3,0,40,3,3,11,9,9,3,5,4,41,4,3,13,8,16,9,8,0,68,6,10,27,20,22,21,8,7,119,9,28,39,23,21,14,11,5,162,3,30,99,54,37,22,18,4,273,0,39,148,109,74,56,19,3,445,0,18,108,76,60,42,16,3,332,0,3,88,81,58,58,16,6,319,0,3,62,76,54,30,15,3,234,0,3,98,140,120,66,30,6,468,0,0,42,131,202,123,68,29,602,0,3,10,7,17,9,4,3,54,33,151,771,762,715,477,227,70,3211,3,3,6,5,12,3,3,0,37,22,23,6,17,3,9,3,0,91,11,29,30,23,13,10,3,4,128,5,26,21,37,18,13,6,0,119,6,24,28,18,22,22,13,3,136,0,31,42,35,47,33,20,3,209,3,34,Woollahra (A)
18710,0,0,0,0,0,6,3,3,18,0,0,0,0,3,6,0,0,10,0,0,4,3,3,8,3,6,33,3,0,0,0,4,9,7,0,29,0,0,3,3,3,11,7,6,35,3,5,0,8,14,19,22,5,81,0,3,12,6,12,11,14,6,60,0,0,12,16,15,20,18,4,89,0,0,20,24,23,35,20,5,118,0,0,4,15,10,22,6,7,67,0,0,8,15,21,20,11,0,70,0,0,6,20,5,12,14,0,53,0,0,3,12,14,13,16,8,65,0,0,0,6,16,19,3,8,56,0,0,0,4,3,0,4,3,19,6,12,77,143,153,196,161,55,798,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,7,5,0,3,6,3,0,0,0,22,0,0,4,4,0,9,0,0,15,0,0,6,7,0,3,3,3,22,0,4,8,5,3,6,8,0,29,0,0,Yass Valley (A)
19399,0,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,8,4,3,0,0,14,0,0,3,3,0,6,6,0,21,0,0,4,9,3,11,0,0,22,0,0,4,9,8,0,3,0,22,0,0,7,12,5,10,3,0,34,0,0,4,4,3,11,3,3,29,0,0,3,4,7,3,0,0,19,0,0,0,3,0,6,5,0,10,0,0,3,4,3,0,0,0,12,0,0,0,3,5,4,6,0,14,0,0,0,0,0,3,0,0,5,0,3,28,48,53,51,40,10,234,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,5,3,0,Unincorporated NSW
20110,0,0,0,3,3,7,0,0,14,0,0,0,3,4,7,4,0,23,0,0,0,4,9,15,3,5,38,0,0,4,9,12,20,15,3,66,0,0,0,9,10,13,12,3,50,0,3,8,11,30,34,10,11,111,0,3,4,22,29,20,4,0,89,0,5,21,21,22,32,10,3,116,0,0,20,12,26,25,9,3,99,0,3,5,13,24,17,7,3,62,0,0,0,19,15,18,4,0,57,0,0,0,3,10,3,7,0,26,0,0,9,16,21,19,4,0,61,0,0,0,7,10,7,4,0,27,0,0,0,0,3,4,5,3,15,4,17,80,157,231,237,96,38,864,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,0,8,0,0,0,5,3,0,3,0,14,0,3,0,3,5,13,0,0,30,0,0,0,3,5,3,3,0,19,0,0,4,9,14,3,4,0,32,0,0,Alpine (S)
20260,0,3,3,9,9,13,14,4,47,8,0,3,4,6,5,3,0,28,0,0,0,9,4,19,8,0,37,0,0,8,10,12,14,13,3,54,3,0,6,9,16,11,9,3,57,0,3,4,6,14,22,11,6,61,3,3,14,20,14,22,12,5,92,0,11,14,27,14,16,13,7,95,0,0,26,15,24,25,12,3,111,0,0,16,12,15,22,11,0,75,0,0,16,12,15,18,3,3,61,0,0,6,12,15,10,4,3,50,0,0,5,17,23,22,7,3,73,0,0,5,0,8,8,10,0,35,0,0,3,0,0,3,3,0,10,12,18,117,170,188,210,128,46,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,8,0,0,12,0,0,3,5,4,3,0,0,20,0,0,3,4,6,5,3,0,22,0,3,10,3,10,6,9,0,39,0,3,Ararat (RC)
20570,0,0,8,16,20,15,7,0,60,7,0,5,12,9,12,3,0,46,3,16,9,10,11,15,15,0,76,3,3,18,23,23,18,12,11,112,6,17,21,22,36,26,8,3,145,3,43,52,46,49,43,23,5,262,11,38,71,83,83,75,21,3,375,0,55,136,132,114,81,24,3,541,3,34,155,156,131,136,19,3,627,0,8,99,136,142,80,11,3,483,0,3,70,146,146,91,16,0,466,0,0,52,100,114,77,7,0,350,0,0,67,201,265,173,21,0,732,0,0,13,95,148,84,12,4,365,0,4,8,24,17,9,4,0,61,36,222,774,1207,1296,942,194,37,4702,0,0,3,15,11,3,0,0,38,21,24,17,23,6,12,6,0,103,7,22,42,35,19,18,15,0,168,7,27,38,56,31,38,15,3,210,0,31,54,72,49,39,36,0,281,4,31,120,117,107,71,31,3,482,0,71,Ballarat (C)
20660,3,0,9,15,8,7,5,0,42,17,3,3,11,7,6,3,0,49,4,6,7,14,18,9,3,0,67,0,12,11,13,27,18,6,0,93,0,10,14,29,39,28,9,0,122,0,21,41,41,46,37,14,0,201,0,22,66,54,56,42,11,3,258,3,33,102,68,84,54,12,0,356,0,10,115,115,143,71,21,5,479,0,0,99,105,97,74,11,5,395,0,7,62,127,134,84,8,3,431,0,0,37,89,113,75,16,0,327,0,0,44,144,189,135,31,0,545,0,0,16,74,142,89,20,3,348,0,3,6,12,19,10,3,0,63,24,132,638,907,1117,741,189,25,3785,0,0,19,11,10,11,3,0,51,32,29,21,37,25,21,3,0,161,12,30,48,75,52,30,16,0,255,0,30,57,81,44,43,28,0,277,0,24,56,91,67,44,23,3,306,0,29,124,172,114,71,40,6,556,3,56,Banyule (C)
20740,0,0,0,4,14,9,9,0,35,4,0,0,4,7,0,8,0,26,0,0,0,8,7,16,10,5,51,0,0,0,8,19,24,10,8,73,0,0,10,21,17,30,11,6,87,0,5,11,21,48,41,30,8,170,0,12,29,36,35,39,25,4,176,0,8,35,40,30,38,27,9,188,0,8,50,42,59,45,14,6,219,0,0,21,26,30,30,8,0,114,0,0,12,23,39,23,10,3,103,0,0,8,8,25,16,3,0,63,0,0,9,29,37,20,3,7,108,0,0,7,16,20,20,14,4,75,0,5,3,3,7,8,4,3,33,8,43,186,295,390,354,181,67,1533,0,0,0,0,3,5,0,0,6,0,0,0,3,3,3,3,0,16,0,0,11,15,7,8,0,0,38,0,0,8,15,7,16,6,5,54,0,5,7,4,9,11,8,0,42,0,4,20,27,27,16,13,0,106,0,0,Bass Coast (S)
20830,3,0,4,17,24,30,15,9,101,12,4,4,11,19,10,9,3,66,4,4,8,12,19,32,24,13,118,3,3,10,16,15,26,30,15,121,4,0,20,20,29,34,29,16,149,4,14,16,23,46,51,35,25,211,4,16,49,37,43,55,35,14,257,0,28,63,60,60,44,44,5,309,0,12,45,69,75,77,18,11,302,0,4,44,54,58,51,18,3,237,0,3,23,39,62,35,6,5,175,0,0,14,37,41,37,7,0,136,0,0,20,57,73,64,13,9,232,0,0,9,19,25,39,17,8,117,8,3,4,11,13,13,25,4,78,37,103,341,475,596,578,336,138,2611,0,0,0,0,3,0,0,0,4,7,4,6,7,6,7,5,0,39,0,3,18,13,12,12,3,0,62,0,4,7,15,24,8,12,0,71,4,10,13,17,23,15,12,0,94,0,6,33,33,40,30,11,0,156,0,9,Baw Baw (S)
20910,0,0,8,18,12,10,0,3,54,11,4,3,14,6,8,3,0,46,3,9,13,20,15,8,7,0,71,0,3,6,18,31,8,8,0,75,0,7,11,15,26,21,13,3,103,3,10,25,46,44,40,14,0,180,0,19,36,46,56,54,18,7,245,3,25,112,81,86,53,17,0,384,0,21,108,118,145,75,22,3,494,0,4,68,99,101,66,23,3,352,0,0,64,110,102,95,20,9,403,0,0,44,84,94,52,13,3,283,0,4,63,162,211,119,36,4,596,0,0,32,160,232,123,53,7,606,0,3,10,9,17,13,5,0,59,20,118,601,997,1177,746,250,38,3944,3,4,9,9,10,16,0,0,49,30,28,15,30,22,16,5,0,147,4,32,25,45,37,21,15,7,176,0,18,31,57,41,16,15,3,187,0,20,30,61,68,42,17,8,244,3,30,50,85,97,68,32,6,369,0,15,Bayside (C)
