lga_name_2016,lga_code_2016,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Blue Mountains (C),10900,133,12,3,0,0,142,101,119,65,48,334,60,61,32,22,10,185,5,0,0,0,0,12,195,175,154,90,58,667,9,13,26,48,195,175,160,103,80,719,93,93,27,0,0,3,0,36,93,219,178,163,105,82,843,7506,217,20,3,5,7749,2893,3587,1557,546,8577,1434,920,317,85,30,2787,174,23,7,0,0,206,9117,4050,3934,1643,577,19321,111,114,128,356,9117,4050,4050,1761,704,19679,7291,7291,706,75,26,6,4,822,7291,9824,4131,4072,1769,705,27790
Bogan (A),10950,22,4,0,0,0,29,14,20,17,13,58,16,17,9,3,0,54,3,0,0,0,0,3,44,35,30,20,16,142,0,0,0,0,44,35,30,20,18,142,28,28,4,0,0,0,0,4,28,53,35,30,20,18,177,239,3,0,0,0,247,69,81,37,20,200,35,10,3,0,0,44,9,0,0,0,0,9,281,87,79,37,20,504,0,0,3,8,281,87,86,39,20,508,264,264,16,3,0,0,0,17,264,296,86,86,39,20,793
Botany Bay (C),11100,67,4,0,0,0,71,32,42,17,13,104,33,32,23,6,0,95,17,0,0,0,0,14,110,67,67,27,9,286,4,3,9,12,110,67,74,27,23,301,81,81,23,6,0,0,0,32,81,133,79,72,26,23,409,3084,313,118,34,22,3572,1832,2337,843,267,5279,817,541,193,52,13,1623,219,59,20,3,8,318,4127,2740,2675,937,306,10793,81,114,192,386,4127,2740,2755,1055,502,11177,3703,3703,701,265,106,39,18,1131,3703,4829,3009,2858,1093,520,16011
Bourke (A),11150,46,3,0,0,0,49,21,24,18,22,84,21,23,16,13,7,76,7,0,0,0,0,6,77,49,42,28,28,215,0,3,10,11,77,49,42,25,33,225,66,66,11,0,0,0,0,10,66,86,49,42,25,33,300,147,3,0,0,0,149,44,44,29,5,130,17,14,0,0,0,37,3,0,0,0,0,3,166,62,50,29,5,319,0,0,0,5,166,62,50,32,11,320,205,205,9,0,0,0,0,9,205,173,62,50,32,11,529
Brewarrina (A),11200,48,6,0,0,0,55,15,15,13,14,54,34,37,16,15,8,101,15,3,0,0,0,19,94,54,27,24,22,232,3,4,15,21,94,54,32,32,36,249,75,75,12,0,0,0,0,12,75,112,54,32,32,36,339,62,0,0,0,0,61,11,27,6,0,49,4,8,0,0,0,12,0,0,0,0,0,0,62,19,27,6,0,123,0,0,0,0,62,19,27,6,3,121,85,85,8,0,0,0,0,10,85,72,25,27,6,3,215
Broken Hill (C),11250,71,3,0,0,0,74,55,60,38,23,174,66,77,40,23,7,211,11,0,0,0,0,11,149,135,102,61,32,474,0,6,10,15,149,135,98,65,40,487,117,117,25,0,0,0,0,25,117,173,135,98,62,40,629,1749,46,0,0,0,1797,525,498,189,73,1286,410,227,99,28,8,770,57,3,3,0,0,62,2216,803,604,216,86,3922,20,20,15,53,2216,803,621,237,104,3977,2418,2418,142,13,3,0,0,159,2418,2359,813,625,237,104,6556
Hilltops (A),13910,72,6,0,0,0,77,19,38,35,16,119,27,28,22,8,5,95,3,0,0,0,0,3,103,54,58,44,27,286,3,0,5,11,103,54,63,43,31,297,60,60,19,0,0,0,0,16,60,122,55,63,43,31,384,1982,41,5,0,0,2025,560,597,341,154,1647,334,195,106,31,18,682,53,14,0,0,0,71,2367,800,706,372,168,4423,13,5,20,40,2367,800,724,378,184,4462,2073,2073,143,14,3,0,0,158,2073,2511,811,724,378,184,6690
Hornsby (A),14000,47,0,3,0,0,52,27,55,39,19,134,17,23,7,3,0,53,4,0,0,0,0,6,66,56,61,40,18,247,0,3,6,12,66,56,66,46,25,255,29,29,19,11,3,0,0,32,29,88,65,70,46,27,322,10177,533,103,16,9,10844,6585,9708,3681,1064,21034,1976,1361,484,143,43,4002,346,69,27,3,0,441,12501,8547,10319,3846,1118,36334,257,382,697,1345,12501,8547,10579,4228,1822,37675,8134,8134,651,140,57,18,9,877,8134,13157,8691,10638,4247,1828,46690
Hunters Hill (A),14100,11,0,0,0,0,11,3,0,4,0,8,3,0,0,0,0,8,0,0,0,0,0,0,12,7,0,6,0,23,0,0,0,0,12,7,0,6,3,25,0,0,0,0,0,0,0,3,0,10,3,0,6,3,25,1071,39,9,0,0,1110,503,779,381,103,1763,177,131,40,5,3,354,33,0,0,0,0,39,1277,677,830,390,104,3273,22,24,30,76,1277,677,847,411,137,3348,1107,1107,76,8,3,0,0,92,1107,1355,682,848,417,137,4549
Inner West (A),14170,173,16,9,0,3,198,76,79,28,18,198,100,66,38,12,12,227,23,8,0,5,0,34,288,165,129,40,32,657,9,7,17,30,288,165,134,51,44,686,239,239,90,46,18,10,3,164,239,383,204,155,61,51,1091,15541,1144,368,108,50,17213,7192,8114,2282,560,18154,3106,1738,453,109,51,5462,715,215,61,15,14,1015,19359,10293,9001,2520,676,41849,240,270,413,917,19359,10293,9238,2791,1091,42766,18712,18712,3736,1587,622,193,94,6235,18712,23094,11876,9862,2980,1185,67711
Inverell (A),14200,82,7,3,0,0,91,39,42,21,25,134,50,65,41,35,17,200,5,7,0,0,0,9,143,116,90,58,36,440,3,14,5,27,143,116,92,67,43,463,89,89,16,3,0,0,0,18,89,158,117,92,67,43,575,1684,44,4,3,0,1730,473,515,271,119,1382,276,173,72,20,9,550,41,3,3,0,0,49,1999,695,592,291,129,3712,18,14,21,50,1999,695,606,312,148,3762,1636,1636,124,13,4,4,0,141,1636,2127,710,612,310,148,5546
Junee (A),14300,20,0,0,0,0,20,4,15,5,11,40,11,17,6,3,0,40,0,0,0,0,0,0,27,24,24,10,11,92,0,3,0,4,27,24,24,14,9,95,13,13,4,0,0,0,0,6,13,29,24,24,14,9,115,505,20,3,0,3,529,168,168,110,47,500,85,57,26,11,8,189,12,3,0,0,0,14,609,248,204,120,56,1235,3,5,3,11,609,248,202,126,60,1250,514,514,29,4,3,0,4,46,514,636,253,206,132,66,1808
Kempsey (A),14350,122,14,3,0,0,142,72,87,54,55,270,100,138,85,66,42,438,25,7,3,0,0,36,249,231,179,126,101,884,8,18,33,64,249,231,190,142,135,947,193,193,54,4,4,0,0,59,193,298,232,196,142,135,1203,2909,122,14,0,0,3043,738,697,332,153,1920,539,346,126,41,29,1081,54,15,0,0,0,70,3509,1213,840,375,190,6121,52,42,45,133,3509,1213,893,412,228,6261,2921,2921,233,24,8,3,3,273,2921,3745,1243,895,415,234,9452
Kiama (A),14400,42,5,0,0,0,55,21,35,14,9,79,3,13,3,7,3,31,0,4,0,0,0,3,54,44,38,20,9,169,3,3,5,14,54,44,47,22,18,183,11,11,3,0,0,0,0,5,11,57,44,44,22,18,196,2506,45,3,3,0,2561,768,985,473,139,2357,313,200,70,12,3,601,33,5,0,0,0,42,2853,1022,1058,485,137,5557,42,29,51,128,2853,1022,1097,516,190,5684,1654,1654,155,21,3,3,0,183,1654,3008,1045,1108,517,190,7525
Ku-ring-gai (A),14500,20,3,0,0,0,22,14,25,6,4,51,3,3,5,0,0,15,0,0,0,0,0,0,22,20,31,6,4,89,0,0,3,6,22,20,28,6,7,87,4,4,3,7,4,0,0,11,4,28,26,32,9,7,110,8970,335,52,10,4,9372,5156,8419,3496,877,17954,1494,1053,379,91,21,3040,293,55,5,4,0,357,10759,6599,8855,3607,901,30719,183,269,466,917,10759,6599,9041,3875,1372,31636,6148,6148,416,88,41,19,11,580,6148,11174,6686,9083,3896,1380,38365
Kyogle (A),14550,22,3,0,0,0,23,8,11,7,14,38,15,14,9,7,3,53,0,0,0,0,0,3,43,23,25,12,16,121,0,3,3,8,43,23,25,15,21,129,39,39,12,3,0,0,0,12,39,51,25,25,15,21,175,1036,37,3,0,0,1081,226,227,144,56,654,178,116,39,13,7,345,22,7,0,0,0,32,1236,391,275,153,59,2112,16,12,14,37,1236,391,288,170,74,2150,1101,1101,89,4,0,0,0,102,1101,1326,396,289,170,74,3348
Lachlan (A),14600,58,5,0,0,0,65,44,28,26,18,116,29,36,23,21,9,119,4,0,3,0,0,11,95,87,61,44,28,319,3,0,6,10,95,87,58,48,33,323,79,79,14,0,0,0,0,18,79,106,90,58,48,33,418,565,10,0,0,0,578,147,183,100,32,462,78,42,11,9,0,136,11,0,0,0,0,12,649,200,198,106,35,1184,6,3,7,15,649,200,200,112,43,1200,569,569,14,3,0,0,0,18,569,664,204,200,112,43,1790
Lake Macquarie (C),14650,592,58,13,0,0,658,369,538,288,172,1368,283,321,185,90,36,915,43,14,3,0,0,66,918,765,730,376,212,3001,40,43,90,173,918,765,775,420,296,3182,439,439,129,25,11,0,0,160,439,1042,788,781,427,296,3777,19156,674,66,10,3,19913,7174,9248,3525,1121,21070,3862,2603,993,293,91,7835,479,92,15,0,0,588,23497,10544,10319,3830,1213,49405,394,325,407,1123,23497,10544,10716,4148,1618,50521,17169,17169,1355,184,49,5,13,1606,17169,24843,10730,10757,4153,1639,69299
Lane Cove (A),14700,15,3,0,0,0,24,6,4,4,0,17,0,0,0,0,0,3,0,0,0,0,0,0,19,6,5,8,0,42,0,0,0,0,19,6,5,10,0,46,9,9,0,0,0,0,0,0,9,19,6,5,10,0,56,3387,173,34,8,7,3598,1649,2009,751,184,4601,543,311,91,11,3,963,133,20,3,3,0,161,4069,2154,2143,767,189,9321,29,47,64,146,4069,2154,2178,820,256,9469,3401,3401,469,100,33,9,0,607,3401,4535,2256,2209,822,259,13478
Leeton (A),14750,37,3,0,0,0,39,24,32,15,14,86,21,29,11,3,3,81,3,0,0,0,0,3,63,54,52,21,21,216,0,0,4,8,63,54,48,24,26,219,44,44,8,3,0,0,0,7,44,65,60,51,24,26,270,1017,27,3,3,0,1043,343,383,207,86,1023,174,94,45,16,5,337,24,10,0,0,0,32,1211,464,434,227,92,2436,9,13,10,34,1211,464,447,240,103,2467,1049,1049,68,12,3,0,0,84,1049,1276,483,448,240,103,3596
Lismore (C),14850,105,9,0,0,0,119,80,93,64,40,275,87,96,61,27,17,282,10,7,0,0,0,16,200,194,157,93,60,699,4,14,25,45,200,194,160,108,79,742,158,158,59,11,3,8,0,77,158,256,198,168,112,82,983,3839,172,22,0,0,4030,1273,1456,671,243,3642,956,605,250,81,25,1920,124,21,3,0,0,152,4920,2073,1734,754,270,9743,54,58,76,187,4920,2073,1782,815,345,9930,4591,4591,564,88,28,3,0,686,4591,5485,2161,1810,816,346,15212
Lithgow (C),14870,75,7,0,0,0,86,52,65,40,17,180,46,31,24,10,5,126,7,4,0,0,0,3,127,96,94,52,25,395,6,9,11,25,127,96,99,61,29,420,105,105,18,3,0,0,0,24,105,151,102,99,61,29,547,1975,62,3,0,0,2044,618,691,286,118,1719,412,245,107,32,7,797,52,7,0,0,0,68,2438,936,808,309,126,4624,25,26,30,70,2438,936,829,335,155,4696,2451,2451,156,7,3,0,0,164,2451,2593,941,833,333,155,7311
Liverpool (C),14900,136,15,4,0,0,159,78,155,95,60,384,117,133,94,49,24,419,15,7,3,0,0,29,268,240,258,139,83,990,17,20,49,82,268,240,276,162,130,1077,183,183,52,3,3,3,0,61,183,321,243,276,166,136,1325,8730,689,114,21,10,9572,7191,10729,5672,3002,26600,3022,2503,1301,565,252,7639,538,141,35,12,3,734,12287,10530,12176,6272,3267,44536,491,683,1761,2938,12287,10530,12670,6956,5027,47479,9019,9019,768,130,40,14,10,961,9019,13059,10661,12713,6969,5040,57461
Liverpool Plains (A),14920,60,7,0,0,0,65,37,50,27,6,122,32,32,20,13,6,96,9,3,0,0,0,9,103,75,70,36,15,299,4,3,9,12,103,75,77,41,16,309,82,82,17,0,0,0,0,20,82,121,79,79,41,16,418,773,20,0,0,0,794,196,225,114,38,574,117,68,27,11,7,223,23,5,0,0,0,28,917,286,253,123,41,1624,10,3,12,20,917,286,258,131,50,1647,792,792,52,0,0,0,0,59,792,968,286,258,131,50,2496
