lga_code16,m1_train_mng,m1_train_pro,m1_train_tectw,m1_train_copsw,m1_train_claw,m1_train_swks,m1_train_maopdv,m1_train_lab,m1_train_idns,m1_train_tot,m1_bus_mng,m1_bus_pro,m1_bus_tectw,m1_bus_copsw,m1_bus_claw,m1_bus_swks,m1_bus_maopdv,m1_bus_lab,m1_bus_idns,m1_bus_tot,m1_ferry_mng,m1_ferry_pro,m1_ferry_tectw,m1_ferry_copsw,m1_ferry_claw,m1_ferry_swks,m1_ferry_maopdv,m1_ferry_lab,m1_ferry_idns,m1_ferry_tot,m1_tram_inc_lr_mng,m1_tram_inc_lr_pro,m1_tram_inc_lr_tectw,m1_tram_inc_lr_copsw,m1_tram_inc_lr_claw,m1_tram_inc_lr_swks,m1_tram_inc_lr_maopdv,m1_tram_inc_lr_lab,m1_tram_inc_lr_idns,m1_tram_inc_lr_tot,m1_taxi_mng,m1_taxi_pro,m1_taxi_tectw,m1_taxi_copsw,m1_taxi_claw,m1_taxi_swks,m1_taxi_maopdv,m1_taxi_lab,m1_taxi_idns,m1_taxi_tot,m1_carasdriv_mng,m1_carasdriv_pro,m1_carasdriv_tectw,m1_carasdriv_copsw,m1_carasdriv_claw,m1_carasdriv_swks,m1_carasdriv_maopdv,m1_carasdriv_lab,m1_carasdriv_idns,m1_carasdriv_tot,m1_caraspas_mng,m1_caraspas_pro,m1_caraspas_tectw,m1_caraspas_copsw,m1_caraspas_claw,m1_caraspas_swks,m1_caraspas_maopdv,m1_caraspas_lab,m1_caraspas_idns,m1_caraspas_tot,m1_truck_mng,m1_truck_pro,m1_truck_tectw,m1_truck_copsw,m1_truck_claw,m1_truck_swks,m1_truck_maopdv,m1_truck_lab,m1_truck_idns,m1_truck_tot,m1_mbikescoot_mng,m1_mbikescoot_pro,m1_mbikescoot_tectw,m1_mbikescoot_copsw,m1_mbikescoot_claw,m1_mbikescoot_swks,m1_mbikescoot_maopdv,m1_mbikescoot_lab,m1_mbikescoot_idns,m1_mbikescoot_tot,m1_bicycle_mng,m1_bicycle_pro,m1_bicycle_tectw,m1_bicycle_copsw,m1_bicycle_claw,m1_bicycle_swks,m1_bicycle_maopdv,m1_bicycle_lab,m1_bicycle_idns,m1_bicycle_tot,m1_oth_mng,m1_oth_pro,m1_oth_tectw,m1_oth_copsw,m1_oth_claw,m1_oth_swks,m1_oth_maopdv,m1_oth_lab,m1_oth_idns,m1_oth_tot,m1_wlkonly_mng,m1_wlkonly_pro,m1_wlkonly_tectw,m1_wlkonly_copsw,m1_wlkonly_claw,m1_wlkonly_swks,m1_wlkonly_maopdv,m1_wlkonly_lab,m1_wlkonly_idns,m1_wlkonly_tot,m1_tot_m1_mng,m1_tot_m1_pro,m1_tot_m1_tectw,m1_tot_m1_copsw,m1_tot_m1_claw,m1_tot_m1_swks,m1_tot_m1_maopdv,m1_tot_m1_lab,m1_tot_m1_idns,m1_tot_m1_tot,m2_trnbus_mng,m2_trnbus_pro,m2_trnbus_tectw,m2_trnbus_copsw,m2_trnbus_claw,m2_trnbus_swks,m2_trnbus_maopdv,m2_trnbus_lab,m2_trnbus_idns,m2_trnbus_tot,m2_trnfer_mng,m2_trnfer_pro,m2_trnfer_tectw,m2_trnfer_copsw,m2_trnfer_claw,m2_trnfer_swks,m2_trnfer_maopdv,m2_trnfer_lab,m2_trnfer_idns,m2_trnfer_tot,m2_trntrm_inc_lr_mng,m2_trntrm_inc_lr_pro,m2_trntrm_inc_lr_tectw,m2_trntrm_inc_lr_copsw,m2_trntrm_inc_lr_claw,m2_trntrm_inc_lr_swks,m2_trntrm_inc_lr_maopdv,m2_trntrm_inc_lr_lab,m2_trntrm_inc_lr_idns,m2_trntrm_inc_lr_tot,m2_trncarasdriv_mng,m2_trncarasdriv_pro,m2_trncarasdriv_tectw,m2_trncarasdriv_copsw,m2_trncarasdriv_claw,m2_trncarasdriv_swks,m2_trncarasdriv_maopdv,m2_trncarasdriv_lab,m2_trncarasdriv_idns,m2_trncarasdriv_tot,m2_trncaraspa_mng,m2_trncaraspa_pro,m2_trncaraspa_tectw,m2_trncaraspa_copsw,m2_trncaraspa_claw,m2_trncaraspa_swks,m2_trncaraspa_maopdv,m2_trncaraspa_lab,m2_trncaraspa_idns,m2_trncaraspa_tot,m2_trnoth_mng,m2_trnoth_pro,m2_trnoth_tectw,m2_trnoth_copsw,m2_trnoth_claw,m2_trnoth_swks,m2_trnoth_maopdv,m2_trnoth_lab,m2_trnoth_idns,m2_trnoth_tot,m2_trn_and_tot_mng,m2_trn_and_tot_pro,m2_trn_and_tot_tectw,m2_trn_and_tot_copsw,m2_trn_and_tot_claw,m2_trn_and_tot_swks,m2_trn_and_tot_maopdv,m2_trn_and_tot_lab,m2_trn_and_tot_idns,m2_trn_and_tot_tot,lga_name16
10850,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,221,249,366,134,165,104,349,261,21,1867,16,11,27,4,7,13,30,33,0,143,18,0,3,0,0,0,19,3,3,46,10,0,5,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,3,9,3,0,3,0,0,3,0,0,21,45,13,13,8,9,10,7,30,0,128,316,276,416,150,179,126,414,334,21,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blayney (A)
10900,31,60,48,119,42,56,11,83,13,456,3,6,0,13,9,21,4,8,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,15,3,7,7,12,0,59,1232,2492,1545,1920,1240,984,377,1028,122,10940,74,89,108,156,59,149,13,184,7,844,30,3,63,0,0,3,40,29,0,176,8,8,17,6,9,3,7,13,0,66,4,23,3,8,3,7,4,9,0,69,20,36,13,13,5,7,0,9,6,105,97,140,101,151,79,104,22,125,11,827,1500,2851,1911,2396,1460,1328,493,1503,158,13603,0,7,7,11,4,11,0,13,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,7,3,8,0,3,0,47,0,4,9,10,0,9,3,4,0,36,0,3,10,6,0,3,0,3,0,27,8,37,31,31,10,21,4,21,4,163,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,0,0,10,12,0,3,0,39,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,85,110,82,74,42,82,93,9,688,6,5,17,3,6,3,13,10,3,67,10,0,4,0,0,0,8,0,0,16,4,0,0,0,0,0,0,4,0,12,0,3,4,0,3,0,0,0,0,11,9,4,0,0,3,0,0,0,0,19,24,9,11,17,8,13,3,19,0,103,163,118,162,107,98,55,143,130,11,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bogan (A)
11100,403,987,392,365,702,399,211,510,118,4095,107,182,141,209,189,395,119,305,37,1673,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,7,26,52,7,195,4,4,28,13,3,335,4792,4249,4242,2385,4295,2680,3166,2046,503,28360,139,199,169,196,211,234,140,318,33,1633,27,0,64,5,53,7,167,26,6,361,54,98,85,29,40,14,63,29,4,424,61,79,75,16,45,15,39,31,8,374,28,56,34,57,35,11,25,17,11,283,138,194,102,120,119,146,88,104,12,1030,5780,6109,5317,3568,5696,3912,4057,3398,743,38573,154,298,131,119,261,138,116,246,20,1488,9,22,0,3,6,0,3,0,0,42,3,11,3,3,3,0,0,0,0,20,78,118,56,16,115,33,22,25,5,470,12,30,12,11,26,12,8,20,0,127,14,16,8,3,5,9,11,0,0,72,272,499,205,161,413,198,150,295,27,2216,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,91,107,66,106,71,33,38,65,17,583,3,3,12,12,7,5,4,14,0,74,3,0,3,0,0,0,8,0,3,17,5,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,3,0,11,4,0,3,0,0,0,0,3,0,17,29,39,15,30,6,10,6,22,5,163,138,153,101,146,90,49,57,108,28,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,16,48,20,5,10,27,4,220,0,4,5,6,0,0,0,6,0,27,3,0,0,0,0,0,3,3,0,8,8,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,20,35,11,30,7,6,7,5,0,114,90,83,31,88,28,11,21,52,4,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,149,115,205,122,54,125,177,6,1096,13,8,7,19,9,10,3,73,0,132,6,0,5,0,0,0,5,5,0,27,4,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,5,0,21,32,3,9,3,6,5,16,13,3,95,213,162,143,231,138,75,149,268,9,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,0,0,3,3,0,0,0,0,0,9,0,3,3,4,3,6,5,13,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,676,1166,849,986,763,583,435,819,62,6347,27,55,63,73,36,97,11,110,5,485,20,0,19,0,0,3,64,11,3,115,3,8,10,3,8,4,0,7,4,50,5,4,5,4,3,3,3,11,3,40,19,10,3,6,0,0,7,11,3,55,89,40,41,54,31,40,20,48,6,357,840,1285,996,1142,845,741,546,1022,90,7510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Kempsey (A)
11250,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,8,3,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,480,807,769,724,575,442,479,436,59,4761,25,53,33,58,37,81,17,84,8,400,0,0,8,0,0,0,13,4,0,32,6,4,13,6,3,3,12,10,0,47,0,15,4,4,0,0,3,8,0,37,9,5,6,3,0,0,0,3,0,30,45,109,27,38,20,27,13,48,5,340,570,995,870,839,635,553,548,589,76,5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broken Hill (C)
13910,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,719,678,665,462,539,448,251,670,34,4451,32,17,50,28,20,55,10,101,7,323,49,0,20,3,3,0,53,15,0,154,15,3,4,0,4,0,3,4,0,35,0,3,0,0,0,0,3,0,0,10,31,4,3,0,0,0,5,15,0,64,137,35,38,43,28,35,19,65,4,409,995,735,793,537,592,548,354,888,41,5475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hilltops (A)
14000,172,477,212,280,212,334,65,233,29,2017,23,77,31,97,52,107,14,65,13,479,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,9,5,4,0,3,0,3,7,3,0,23,3457,6619,3670,3180,3174,2159,1330,1894,290,25778,133,236,193,321,211,342,81,363,21,1899,43,3,103,0,0,6,44,38,3,236,30,30,30,13,18,15,34,13,3,183,12,35,6,11,3,9,4,10,0,95,45,48,33,12,34,24,5,17,10,220,166,296,175,337,162,303,47,232,28,1753,4091,7827,4451,4258,3865,3309,1642,2871,398,32705,32,103,52,106,73,71,30,70,10,553,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,41,78,42,21,49,42,18,32,0,311,10,21,17,14,13,26,8,14,0,124,0,8,3,3,0,3,3,0,3,23,81,212,119,142,137,143,56,114,16,1023,Hornsby (A)
