LGA_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
52310,0,0,0,0,0,19,17,7,0,43,0,0,0,0,3,0,0,6,0,9,3,0,3,6,6,6,10,3,3,40,20,23,67,122,139,149,96,34,9,659,Cuballing (S)
52380,0,0,0,0,0,12,9,0,0,21,3,0,0,0,0,3,0,0,0,6,3,3,6,10,12,8,8,6,0,56,9,16,21,22,46,69,29,6,5,223,Cue (S)
52450,0,0,0,6,3,11,9,14,6,49,0,0,0,0,0,3,0,0,0,3,3,0,7,13,10,11,9,18,7,78,52,58,153,149,181,177,103,65,30,968,Cunderdin (S)
52520,0,0,0,3,11,10,27,10,6,67,0,0,4,0,0,0,0,0,0,4,0,8,6,5,18,10,13,6,3,69,27,94,173,144,225,151,99,66,18,997,Dalwallinu (S)
52940,0,0,3,0,0,6,12,6,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5,6,6,0,28,6,19,85,85,76,120,65,37,19,512,Dowerin (S)
53010,0,0,0,3,0,8,11,3,6,31,0,0,0,3,0,0,0,0,0,3,0,0,3,3,6,5,6,4,0,27,12,16,86,85,102,83,62,22,6,474,Dumbleyung (S)
53080,3,0,0,6,0,12,15,6,0,42,0,0,0,6,0,0,0,0,0,6,6,17,34,32,29,25,22,7,5,177,24,89,191,175,169,134,102,20,5,909,Dundas (S)
53150,0,0,0,4,4,14,41,56,33,152,0,0,0,0,3,6,0,4,7,20,17,36,44,66,65,58,47,57,56,446,187,400,654,1005,1185,965,502,345,157,5400,East Fremantle (T)
53220,20,17,42,60,68,71,26,6,0,310,3,3,3,8,6,16,14,13,4,70,87,265,696,547,423,192,23,6,0,2239,340,1171,3071,2476,1850,889,153,32,4,9986,East Pilbara (S)
53290,0,3,19,30,49,102,181,141,39,564,0,3,0,6,3,3,7,6,3,31,71,61,119,131,163,125,149,148,71,1038,505,663,1448,1916,2015,1535,1109,595,190,9976,Esperance (S)
53360,0,0,0,5,6,12,15,10,0,48,0,0,0,0,0,3,0,0,0,3,6,17,34,37,36,25,17,10,0,182,55,106,395,431,350,312,166,61,8,1884,Exmouth (S)
53430,3,0,17,19,65,202,371,449,165,1291,0,8,7,12,19,25,36,73,25,205,96,107,322,263,294,303,265,337,209,2196,719,1653,3944,3893,3907,3634,2224,1535,601,22110,Fremantle (C)
53520,15,14,22,73,136,307,522,378,156,1623,3,0,5,15,22,20,27,20,14,126,158,221,421,382,385,312,289,283,106,2557,1571,2226,4275,5216,5171,4158,2496,1483,480,27076,Geraldton-Greenough (C)
53570,0,4,7,9,31,44,81,42,19,237,4,0,0,0,0,3,0,3,3,13,19,20,30,77,46,82,58,44,9,385,120,165,387,653,639,818,609,222,54,3667,Gingin (S)
53640,0,0,4,0,4,7,13,11,7,46,0,0,0,0,0,0,0,3,0,3,0,11,6,9,21,12,3,3,0,65,25,74,158,162,192,182,78,40,13,924,Gnowangerup (S)
54280,6,18,48,58,94,194,179,126,50,773,0,4,15,14,8,12,7,15,4,79,265,347,758,671,642,380,197,109,54,3423,1373,2521,5483,5015,4398,2649,1046,449,162,23096,Kalgoorlie/Boulder (C)
53710,0,0,0,3,10,10,12,14,6,55,0,0,0,0,0,0,0,0,0,0,3,0,5,11,8,9,10,8,3,57,29,27,98,135,139,141,100,51,21,741,Goomalling (S)
54690,0,0,0,0,0,7,7,8,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,12,9,20,59,47,61,61,45,25,3,330,Koorda (S)
54760,0,0,3,0,3,13,12,12,3,46,0,0,0,0,0,0,3,0,3,6,0,0,0,6,0,7,3,7,0,23,13,11,101,137,114,130,62,32,15,615,Kulin (S)
54830,6,11,35,63,111,213,236,154,61,890,0,3,12,9,17,14,19,0,11,85,211,264,653,572,380,295,255,206,65,2901,1277,2138,5165,4412,3453,2625,1646,839,257,21812,Kwinana (T)
54900,4,0,0,3,10,7,11,13,3,51,0,0,0,0,0,0,0,0,0,0,6,3,7,12,6,13,6,6,3,62,33,56,172,212,237,193,90,50,12,1055,Lake Grace (S)
53780,45,54,190,332,421,755,814,577,237,3425,12,29,115,137,165,113,111,105,34,821,565,785,1516,1357,1082,996,725,658,290,7974,4616,7879,16761,15709,13490,11435,6553,3258,1049,80750,Gosnells (C)
53920,42,40,46,52,55,55,23,4,7,324,0,0,7,6,22,32,37,18,3,125,22,15,45,25,42,25,11,11,7,203,221,301,620,419,373,300,120,36,17,2407,Halls Creek (S)
53990,3,0,17,30,56,142,238,189,55,730,0,5,12,6,12,11,14,9,9,78,87,84,220,246,239,210,179,136,44,1445,864,1166,2764,3428,3448,2793,1664,734,202,17063,Harvey (S)
54340,3,5,29,36,39,43,76,63,14,308,0,4,5,18,19,24,18,8,4,100,9,24,40,41,37,53,44,26,26,300,137,229,481,560,580,481,328,182,66,3044,Katanning (S)
54410,3,0,0,3,12,11,35,27,7,98,0,0,0,0,0,0,0,3,0,3,8,6,8,9,8,16,14,6,3,78,29,48,110,127,172,152,133,86,33,890,Kellerberrin (S)
