LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
43080,56,21,19,6,311,Karoonda East Murray (DC)
43220,62,28,24,20,363,Kimba (DC)
43360,165,81,57,27,794,Kingston (DC)
43650,751,390,177,72,5195,Light (RegC)
43710,297,180,75,16,1828,Lower Eyre Peninsula (DC)
43790,648,365,195,115,3775,Loxton Waikerie (DC)
43920,462,225,62,15,2757,Mallala (DC)
44000,3,0,0,0,22,Maralinga Tjarutja (AC)
44060,5581,2967,2188,1053,38050,Marion (C)
44210,716,447,215,63,3236,Mid Murray (DC)
44340,5564,3253,1915,877,32649,Mitcham (C)
44550,2152,1072,460,194,12864,Mount Barker (DC)
44620,1353,745,522,207,9067,Mount Gambier (C)
44830,204,141,60,22,1091,Mount Remarkable (DC)
45040,985,686,369,132,6938,Murray Bridge (RC)
45090,466,204,121,67,2875,Naracoorte and Lucindale (DC)
45120,303,154,102,35,1621,Northern Areas (DC)
45290,2698,1390,899,513,18584,Norwood Payneham St Peters (C)
45340,11058,5897,3118,1309,66534,Onkaparinga (C)
45400,77,39,20,8,330,Orroroo/Carrieton (DC)
45540,122,86,46,18,543,Peterborough (DC)
46300,786,434,259,125,5346,Port Lincoln (C)
46450,947,593,412,127,5705,Port Pirie City and Dists (M)
46510,1352,530,335,161,9945,Prospect (C)
46670,500,287,176,83,3192,Renmark Paringa (DC)
46860,110,79,33,8,594,Robe (DC)
46970,152,9,3,3,2287,Roxby Downs (M)
47140,6167,3537,2026,770,47219,Salisbury (C)
47290,102,55,38,20,706,Southern Mallee (DC)
47490,135,66,39,12,718,Streaky Bay (DC)
47630,318,143,99,41,2176,Tatiara (DC)
47700,6693,3885,1904,655,41222,Tea Tree Gully (C)
47800,318,229,93,41,1894,The Coorong (DC)
47910,175,101,74,33,901,Tumby Bay (DC)
48640,62,29,20,13,407,Wudinna (DC)
48750,454,338,146,37,1879,Yankalilla (DC)
