yr,land_area_ha,protected_areas_indig_protected_area_num,protected_areas_national_parks_num,protected_areas_nature_reserves_num,protected_areas_all_oth_protected_areas_num,protected_areas_tot_num,protected_areas_indig_protected_area_ha,protected_areas_national_parks_ha,protected_areas_nature_reserves_ha,protected_areas_all_oth_protected_areas_ha,protected_areas_tot_ha,protected_areas_indig_protected_area_pr100,protected_areas_national_parks_pr100,protected_areas_nature_reserves_pr100,protected_areas_all_oth_protected_areas_pr100,protected_areas_tot_pr100,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,lga_code18,lga_name18,ogc_fid
2015,,,,,,,,,,,,,,,,,6146.0,9.8,4615.0,6.5,36370,Rockhampton (R),219
2014,,,,,,,,,,,,,,,,,5597.0,,4333.0,,36370,Rockhampton (R),220
2018,86581.0,,,,,,,,,,,,,,,,,,,,20740,Bass Coast (S),221
2017,,,,,,,,,,,,,,,,,4011.0,13.9,2106.0,10.6,20740,Bass Coast (S),222
2016,,,,,26.0,26.0,,,,2907.0,2907.0,,,,3.4,3.4,3522.0,12.0,1905.0,10.9,20740,Bass Coast (S),223
2015,,,,,,,,,,,,,,,,,3145.0,12.7,1717.0,11.6,20740,Bass Coast (S),224
2014,,,,,,,,,,,,,,,,,2791.0,,1538.0,,20740,Bass Coast (S),225
2015,,,,,,,,,,,,,,,,,158.0,13.7,118.0,4.4,56300,Nannup (S),1377
2014,,,,,,,,,,,,,,,,,139.0,,113.0,,56300,Nannup (S),1378
2018,2381889.2,,,,,,,,,,,,,,,,,,,,37340,Whitsunday (R),1379
2017,,,,,,,,,,,,,,,,,3694.0,15.2,561.0,3.7,37340,Whitsunday (R),1380
2016,,,10.0,,17.0,27.0,,77294.0,,16123.0,93417.0,,3.3,,0.7,3.9,3206.0,11.3,541.0,2.5,37340,Whitsunday (R),1381
2015,,,,,,,,,,,,,,,,,2881.0,14.0,528.0,2.3,37340,Whitsunday (R),1382
2014,,,,,,,,,,,,,,,,,2527.0,,516.0,,37340,Whitsunday (R),1383
2018,298618.2,,,,,,,,,,,,,,,,,,,,45120,Northern Areas (DC),1384
2017,,,,,,,,,,,,,,,,,911.0,5.2,281.0,1.4,45120,Northern Areas (DC),1385
2016,,,,,8.0,8.0,,,,561.0,561.0,,,,0.2,0.2,866.0,6.7,277.0,1.8,45120,Northern Areas (DC),1386
2015,,,,,,,,,,,,,,,,,812.0,7.8,272.0,3.0,45120,Northern Areas (DC),1387
2014,,,,,,,,,,,,,,,,,753.0,,264.0,,45120,Northern Areas (DC),1388
2018,203002.2,,,,,,,,,,,,,,,,,,,,14300,Junee (A),1389
2017,,,,,,,,,,,,,,,,,390.0,8.9,88.0,3.5,14300,Junee (A),1390
2016,,,1.0,1.0,,2.0,,52.0,3410.0,,3462.0,,,1.7,,1.7,358.0,7.5,85.0,1.2,14300,Junee (A),1391
2015,,,,,,,,,,,,,,,,,333.0,21.5,84.0,3.7,14300,Junee (A),1392
2014,,,,,,,,,,,,,,,,,45.0,,55.0,,58540,Victoria Plains (S),35
2018,472128.8,,,,,,,,,,,,,,,,,,,,43710,Lower Eyre Peninsula (DC),36
2017,,,,,,,,,,,,,,,,,905.0,7.9,143.0,3.6,43710,Lower Eyre Peninsula (DC),37
2016,,,2.0,,81.0,83.0,,50586.0,,44193.0,94778.0,,10.7,,9.4,20.1,839.0,10.5,138.0,2.2,43710,Lower Eyre Peninsula (DC),38
2015,,,,,,,,,,,,,,,,,759.0,9.1,135.0,5.5,43710,Lower Eyre Peninsula (DC),39
2014,,,,,,,,,,,,,,,,,696.0,,128.0,,43710,Lower Eyre Peninsula (DC),40
2014,,,,,,,,,,,,,,,,,701.0,,182.0,,42750,Kangaroo Island (DC),235
2018,2949790.2,,,,,,,,,,,,,,,,,,,,32600,Croydon (S),236
2017,,,,,,,,,,,,,,,,,26.0,18.2,18.0,,32600,Croydon (S),237
2016,,,2.0,,7.0,9.0,,5385.0,,50603.0,55989.0,,0.2,,1.7,1.9,22.0,10.0,18.0,5.9,32600,Croydon (S),238
2015,,,,,,,,,,,,,,,,,20.0,5.3,17.0,,32600,Croydon (S),239
2014,,,,,,,,,,,,,,,,,19.0,,17.0,,32600,Croydon (S),240
2018,327604.9,,,,,,,,,,,,,,,,,,,,52240,Cranbrook (S),241
2017,,,,,,,,,,,,,,,,,72.0,9.1,79.0,2.6,52240,Cranbrook (S),242
2016,,,3.0,27.0,2.0,32.0,,30956.0,14366.0,90.0,45411.0,,9.5,4.4,,13.9,66.0,26.9,77.0,2.7,52240,Cranbrook (S),243
2015,,,,,,,,,,,,,,,,,52.0,15.6,75.0,4.2,52240,Cranbrook (S),244
2014,,,,,,,,,,,,,,,,,45.0,,72.0,,52240,Cranbrook (S),245
2014,,,,,,,,,,,,,,,,,274.0,,81.0,,14300,Junee (A),1393
2018,6141.0,,,,,,,,,,,,,,,,,,,,24410,Maroondah (C),2046
2017,,,,,,,,,,,,,,,,,5072.0,10.6,1873.0,5.4,24410,Maroondah (C),2047
2016,,,,,4.0,4.0,,,,26.0,26.0,,,,0.4,0.4,4585.0,9.3,1777.0,6.6,24410,Maroondah (C),2048
2015,,,,,,,,,,,,,,,,,4196.0,11.4,1667.0,9.9,24410,Maroondah (C),2049
2014,,,,,,,,,,,,,,,,,3766.0,,1517.0,,24410,Maroondah (C),2050
2018,501884.8,,,,,,,,,,,,,,,,,,,,41190,Cleve (DC),41
2014,,,,,,,,,,,,,,,,,221.0,,99.0,,14100,Hunters Hill (A),255
2018,387975.1,,,,,,,,,,,,,,,,,,,,25620,Murrindindi (S),256
2017,,,,,,,,,,,,,,,,,1779.0,10.5,856.0,4.1,25620,Murrindindi (S),257
2016,,,6.0,,60.0,66.0,,28453.0,,9444.0,37897.0,,7.3,,2.4,9.8,1610.0,11.6,822.0,5.4,25620,Murrindindi (S),258
2015,,,,,,,,,,,,,,,,,1443.0,10.9,780.0,4.7,25620,Murrindindi (S),259
2014,,,,,,,,,,,,,,,,,1301.0,,745.0,,25620,Murrindindi (S),260
2017,,,,,,,,,,,,,,,,,355.0,4.4,47.0,2.2,41190,Cleve (DC),42
2015,,,,,,,,,,,,,,,,,1594.0,12.9,327.0,4.5,13310,Goulburn Mulwaree (A),2099
2014,,,,,,,,,,,,,,,,,1412.0,,313.0,,13310,Goulburn Mulwaree (A),2100
2018,133736.1,,,,,,,,,,,,,,,,,,,,50840,Bridgetown-Greenbushes (S),2101
2017,,,,,,,,,,,,,,,,,508.0,16.8,561.0,4.5,50840,Bridgetown-Greenbushes (S),2102
2016,,,3.0,3.0,5.0,11.0,,16002.0,622.0,213.0,16837.0,,12.0,0.5,0.2,12.6,435.0,14.5,537.0,7.0,50840,Bridgetown-Greenbushes (S),2103
2016,,,,,29.0,29.0,,,,96182.0,96182.0,,,,19.2,19.2,340.0,8.3,46.0,,41190,Cleve (DC),43
2015,,,,,,,,,,,,,,,,,380.0,18.4,502.0,7.0,50840,Bridgetown-Greenbushes (S),2104
2014,,,,,,,,,,,,,,,,,321.0,,469.0,,50840,Bridgetown-Greenbushes (S),2105
2018,1981.2,,,,,,,,,,,,,,,,,,,,57840,South Perth (C),2106
2017,,,,,,,,,,,,,,,,,2771.0,16.0,1095.0,4.4,57840,South Perth (C),2107
2016,,,,1.0,,1.0,,,4.0,,4.0,,,0.2,,0.2,2388.0,15.5,1049.0,6.1,57840,South Perth (C),2108
2015,,,,,,,,,,,,,,,,,314.0,4.0,46.0,7.0,41190,Cleve (DC),44
2015,,,,,,,,,,,,,,,,,2067.0,10.7,989.0,7.7,57840,South Perth (C),2109
2014,,,,,,,,,,,,,,,,,1867.0,,918.0,,57840,South Perth (C),2110
2014,,,,,,,,,,,,,,,,,302.0,,43.0,,41190,Cleve (DC),45
2018,49003.1,,,,,,,,,,,,,,,,,,,,36960,Torres Strait Island (R),46
2017,,,,,,,,,,,,,,,,,51.0,8.5,73.0,1.4,36960,Torres Strait Island (R),47
2016,,1.0,,,,1.0,18.0,,,,18.0,,,,,,47.0,6.8,72.0,,36960,Torres Strait Island (R),48
2015,,,,,,,,,,,,,,,,,44.0,22.2,72.0,,36960,Torres Strait Island (R),49
2014,,,,,,,,,,,,,,,,,36.0,,72.0,,36960,Torres Strait Island (R),50
2015,,,,,,,,,,,,,,,,,2942.0,5.1,486.0,6.1,48830,Yorke Peninsula (DC),51
2018,183542.9,,,,,,,,,,,,,,,,,,,,53710,Goomalling (S),76
2018,1082.2,,,,,,,,,,,,,,,,,,,,37300,Weipa (T),286
2017,,,,,,,,,,,,,,,,,111.0,33.7,73.0,1.4,53710,Goomalling (S),77
2017,,,,,,,,,,,,,,,,,5.0,,77.0,,37300,Weipa (T),287
2016,,,,3.0,1.0,4.0,,,411.0,144.0,555.0,,,0.2,0.1,0.3,83.0,16.9,72.0,1.4,53710,Goomalling (S),78
2016,,,,,,,,,,,,,,,,,5.0,,77.0,,37300,Weipa (T),288
2015,,,,,,,,,,,,,,,,,71.0,12.7,71.0,2.9,53710,Goomalling (S),79
2015,,,,,,,,,,,,,,,,,5.0,,77.0,30.5,37300,Weipa (T),289
2014,,,,,,,,,,,,,,,,,63.0,,69.0,,53710,Goomalling (S),80
2018,112883.5,,,,,,,,,,,,,,,,,,,,59320,Woodanilling (S),81
2017,,,,,,,,,,,,,,,,,57.0,11.8,57.0,5.6,59320,Woodanilling (S),82
2016,,,,11.0,,11.0,,,1328.0,,1328.0,,,1.2,,1.2,51.0,18.6,54.0,,59320,Woodanilling (S),83
2015,,,,,,,,,,,,,,,,,43.0,34.4,54.0,5.9,59320,Woodanilling (S),84
2014,,,,,,,,,,,,,,,,,32.0,,51.0,,59320,Woodanilling (S),85
2016,,,3.0,2.0,1.0,6.0,,8002.0,1978.0,6.0,9986.0,,1.6,0.4,,2.0,495.0,12.5,280.0,1.4,14920,Liverpool Plains (A),86
2015,,,,,,,,,,,,,,,,,440.0,21.2,276.0,4.9,14920,Liverpool Plains (A),87
2014,,,,,,,,,,,,,,,,,363.0,,263.0,,14920,Liverpool Plains (A),88
2018,508224.0,,,,,,,,,,,,,,,,,,,,14920,Liverpool Plains (A),89
2017,,,,,,,,,,,,,,,,,604.0,22.0,285.0,1.8,14920,Liverpool Plains (A),90
2018,741664.4,,,,,,,,,,,,,,,,,,,,72200,Katherine (T),91
2017,,,,,,,,,,,,,,,,,356.0,12.3,623.0,6.3,72200,Katherine (T),92
2016,,1.0,,,3.0,4.0,18.0,,,1923.0,1941.0,,,,0.3,0.3,317.0,31.5,586.0,21.8,72200,Katherine (T),93
2015,,,,,,,,,,,,,,,,,241.0,73.4,481.0,5.5,72200,Katherine (T),94
2014,,,,,,,,,,,,,,,,,139.0,,456.0,,72200,Katherine (T),95
2018,611530.9,,,,,,,,,,,,,,,,,,,,26610,Swan Hill (RC),96
2017,,,,,,,,,,,,,,,,,1782.0,11.0,755.0,5.3,26610,Swan Hill (RC),97
2016,,,3.0,,102.0,105.0,,2933.0,,28610.0,31543.0,,0.5,,4.7,5.2,1605.0,13.1,717.0,6.1,26610,Swan Hill (RC),98
2018,106.8,,,,,,,,,,,,,,,,,,,,56930,Peppermint Grove (S),151
2017,,,,,,,,,,,,,,,,,93.0,20.8,59.0,3.5,56930,Peppermint Grove (S),152
2014,,,,,,,,,,,,,,,,,5.0,,59.0,,37300,Weipa (T),290
2014,,,,,,,,,,,,,,,,,99.0,,39.0,,29399,Unincorporated Vic,2140
2016,,,,,1.0,1.0,,,,3.0,3.0,,,,3.0,3.0,77.0,18.5,57.0,5.6,56930,Peppermint Grove (S),153
2015,,,,,,,,,,,,,,,,,65.0,12.1,54.0,5.9,56930,Peppermint Grove (S),154
2016,,,9.0,26.0,7.0,42.0,,72559.0,48209.0,1158.0,121926.0,,10.8,7.2,0.2,18.2,450.0,19.0,385.0,5.5,52590,Dandaragan (S),298
2015,,,,,,,,,,,,,,,,,378.0,14.2,365.0,4.3,52590,Dandaragan (S),299
2014,,,,,,,,,,,,,,,,,331.0,,350.0,,52590,Dandaragan (S),300
2018,52580.2,,,,,,,,,,,,,,,,,,,,52660,Dardanup (S),301
2017,,,,,,,,,,,,,,,,,1817.0,11.3,914.0,3.7,52660,Dardanup (S),302
2016,,,2.0,1.0,4.0,7.0,,9181.0,12.0,978.0,10171.0,,17.5,,1.9,19.3,1632.0,12.1,881.0,6.4,52660,Dardanup (S),303
2015,,,,,,,,,,,,,,,,,1456.0,11.8,828.0,4.9,52660,Dardanup (S),304
2014,,,,,,,,,,,,,,,,,1302.0,,789.0,,52660,Dardanup (S),305
2018,47619.6,,,,,,,,,,,,,,,,,,,,40520,Berri and Barmera (DC),306
2017,,,,,,,,,,,,,,,,,1747.0,7.8,377.0,1.6,40520,Berri and Barmera (DC),307
2016,,,,,9.0,9.0,,,,13448.0,13448.0,,,,28.2,28.2,1620.0,7.8,371.0,3.3,40520,Berri and Barmera (DC),308
2015,,,,,,,,,,,,,,,,,1503.0,12.3,359.0,4.4,40520,Berri and Barmera (DC),309
2014,,,,,,,,,,,,,,,,,1338.0,,344.0,,40520,Berri and Barmera (DC),310
