lga_code16,p_1_149_om_uie,p_1_149_cfw,p_1_149_es_ns,p_1_149_tot,p_150_299_e,p_150_299_om_ie,p_150_299_om_uie,p_150_299_cfw,p_150_299_es_ns,p_150_299_tot,p_300_399_e,p_300_399_om_ie,p_300_399_om_uie,p_300_399_cfw,p_300_399_es_ns,p_300_399_tot,p_400_499_e,p_400_499_om_ie,p_400_499_om_uie,p_400_499_cfw,p_400_499_es_ns,p_400_499_tot,p_500_649_e,p_500_649_om_ie,p_500_649_om_uie,p_500_649_cfw,p_500_649_es_ns,p_500_649_tot,p_650_799_e,p_650_799_om_ie,p_650_799_om_uie,p_650_799_cfw,p_650_799_es_ns,p_650_799_tot,p_800_999_e,p_800_999_om_ie,p_800_999_om_uie,p_800_999_cfw,p_800_999_es_ns,p_800_999_tot,p_1000_1249_e,p_1000_1249_om_ie,p_1000_1249_om_uie,p_1000_1249_cfw,p_1000_1249_es_ns,p_1000_1249_tot,p_1250_1499_e,p_1250_1499_om_ie,p_1250_1499_om_uie,p_1250_1499_cfw,p_1250_1499_es_ns,p_1250_1499_tot,p_1500_1749_e,p_1500_1749_om_ie,p_1500_1749_om_uie,p_1500_1749_cfw,p_1500_1749_es_ns,p_1500_1749_tot,p_1750_1999_e,p_1750_1999_om_ie,p_1750_1999_om_uie,p_1750_1999_cfw,p_1750_1999_es_ns,p_1750_1999_tot,p_2000_2999_e,p_2000_2999_om_ie,p_2000_2999_om_uie,p_2000_2999_cfw,p_2000_2999_es_ns,p_2000_2999_tot,p_3000mor_e,p_3000mor_om_ie,p_3000mor_om_uie,p_3000mor_cfw,p_3000mor_es_ns,p_3000mor_tot,p_persinc_ns_e,p_persinc_ns_om_ie,p_persinc_ns_om_uie,p_persinc_ns_cfw,p_persinc_ns_es_ns,p_persinc_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10850,13,13,3,118,65,5,22,25,3,111,73,0,19,19,6,128,79,9,26,7,0,123,128,8,39,21,6,199,216,13,40,11,7,287,215,25,52,5,0,297,229,29,45,12,0,308,215,23,23,0,0,260,214,18,21,8,3,259,229,8,13,3,0,253,338,13,11,0,4,369,111,10,15,0,0,129,28,3,6,5,4,51,2223,152,351,156,40,2922,Blayney (A)
10900,101,24,9,1023,837,41,208,42,4,1132,837,76,222,43,17,1197,1097,66,227,38,12,1438,1627,113,323,37,15,2118,1753,125,308,29,21,2241,1750,158,318,20,22,2272,1517,208,289,21,10,2058,944,158,186,9,12,1310,785,140,148,17,11,1091,659,79,89,5,3,842,636,176,111,11,3,929,179,97,73,3,5,361,211,21,45,5,16,289,13743,1485,2671,373,178,18452,Blue Mountains (C)
10950,0,0,3,27,24,4,5,10,4,47,39,0,7,9,0,54,42,5,8,8,0,69,63,8,16,11,3,106,89,3,14,5,0,110,117,0,19,5,3,144,136,4,26,13,4,178,85,5,8,4,0,101,102,8,19,0,0,133,70,3,9,4,3,86,101,3,11,3,0,116,36,11,11,3,0,58,26,0,14,8,0,44,956,52,173,83,27,1298,Bogan (A)
11100,34,15,6,801,927,19,61,17,20,1047,1174,52,96,8,20,1351,1515,50,118,18,34,1732,2543,133,151,19,44,2893,3839,191,169,28,49,4273,5584,215,191,28,61,6083,6236,243,174,10,49,6711,4589,210,122,10,29,4961,3869,251,93,7,16,4234,2929,168,49,3,16,3162,4924,280,78,6,14,5299,3593,346,49,4,14,4006,623,26,36,11,43,735,43190,2223,1427,237,427,47503,Botany Bay (C)
11150,6,0,0,13,28,0,3,4,4,43,18,3,9,3,0,36,28,3,5,4,0,34,52,3,14,6,0,73,96,5,7,5,0,114,124,5,24,0,5,162,127,3,10,3,3,146,83,6,10,3,3,102,73,0,4,0,4,83,63,0,5,0,0,73,65,4,8,0,0,77,13,3,13,0,0,26,16,3,6,6,10,39,804,41,125,50,24,1047,Bourke (A)
11200,0,0,0,4,10,0,0,7,0,16,14,0,3,3,0,19,13,0,5,0,0,18,40,3,5,0,0,49,54,4,3,8,3,71,60,3,5,0,3,67,53,5,10,5,3,71,34,0,6,0,0,39,37,3,3,0,0,42,19,3,0,0,0,20,18,0,3,3,0,22,4,4,0,3,0,10,10,0,4,5,3,25,361,23,57,52,11,499,Brewarrina (A)
14700,27,12,0,401,416,24,57,11,4,514,457,30,39,11,8,544,467,23,62,6,6,567,762,64,86,11,12,931,1002,77,104,7,3,1193,1532,98,117,12,9,1770,1917,125,109,15,9,2171,1445,122,73,7,6,1648,1153,126,79,16,7,1379,882,102,64,3,4,1056,1639,172,90,17,6,1921,1084,326,147,19,3,1579,153,31,10,3,19,211,13302,1335,1075,178,101,15982,Lane Cove (A)
14750,14,8,0,137,92,3,19,28,4,153,124,10,39,24,0,200,179,11,35,16,7,245,328,18,35,16,3,398,573,39,49,17,7,683,649,38,62,10,12,768,596,32,42,5,6,687,351,18,26,3,7,403,245,10,31,0,4,289,193,14,12,3,0,216,180,12,8,0,3,207,39,22,7,0,0,69,72,3,4,6,3,85,3722,230,386,172,64,4576,Leeton (A)
14850,55,36,18,792,630,23,126,59,15,842,686,43,190,43,12,982,1011,41,198,41,17,1316,1751,69,252,35,25,2132,2379,82,237,30,32,2766,2621,110,249,24,33,3034,2312,94,183,11,17,2621,1377,61,104,5,3,1554,1097,94,79,9,10,1295,761,46,51,9,3,866,838,68,75,12,4,996,255,83,111,3,3,458,191,12,38,25,30,290,16637,840,1973,399,238,20090,Lismore (C)
11250,6,5,9,232,224,7,33,11,8,282,246,17,32,13,13,323,338,10,26,18,16,408,561,32,48,7,11,659,652,26,36,6,11,736,686,33,53,3,7,782,731,48,35,3,15,834,543,28,23,3,5,605,506,7,12,0,5,535,443,14,8,3,0,473,580,19,22,0,0,621,119,9,22,0,7,155,107,14,23,0,17,160,5976,267,375,95,128,6845,Broken Hill (C)
13910,20,35,8,273,181,16,47,55,8,303,247,28,55,24,10,367,340,11,73,45,3,474,626,47,115,46,17,855,817,57,109,30,8,1029,816,57,119,26,16,1029,607,61,99,20,9,802,338,29,74,17,6,460,261,43,54,12,3,372,199,24,34,13,0,270,190,41,44,9,10,300,63,50,46,19,5,183,86,7,13,24,9,140,4992,485,931,439,112,6958,Hilltops (A)
14000,151,60,17,2306,1876,95,259,62,11,2308,1689,156,236,84,32,2195,1945,138,288,47,33,2448,2865,243,371,52,32,3563,3504,339,398,44,36,4316,4157,376,414,33,46,5017,4287,456,395,40,39,5218,2925,372,297,26,20,3642,2454,458,227,26,12,3176,1967,282,139,12,6,2409,2419,476,241,16,16,3172,858,521,173,24,8,1582,448,51,43,21,29,589,33580,4022,3662,684,334,42292,Hornsby (A)
14100,4,5,3,132,179,3,24,4,0,208,161,13,26,7,3,202,189,5,29,7,6,236,268,26,27,3,0,323,359,32,39,7,0,432,439,40,34,3,0,520,439,63,49,5,3,567,339,52,33,3,4,422,264,49,36,3,0,347,196,40,18,3,0,256,292,57,26,4,0,381,114,104,35,10,0,262,41,3,4,7,3,60,3414,498,373,86,24,4397,Hunters Hill (A)
14170,175,48,15,1743,1972,86,291,60,37,2441,2405,159,389,72,44,3065,2753,179,455,70,28,3488,4237,338,683,74,65,5399,5522,475,671,72,56,6795,6536,609,734,59,77,8015,6744,757,787,55,72,8418,4669,595,545,30,32,5869,3635,685,425,36,20,4794,2649,483,279,15,22,3454,3704,817,401,36,15,4973,1355,898,317,32,12,2612,602,76,83,11,58,838,48432,6252,6302,845,573,62403,Inner West (A)
14200,17,28,3,246,190,10,56,45,4,304,226,15,77,40,8,373,295,12,70,47,12,439,595,33,103,23,13,760,796,51,81,10,13,946,907,39,83,13,15,1054,639,48,68,10,3,769,297,21,46,10,7,375,228,16,29,6,4,287,190,15,15,8,0,236,146,15,29,5,0,200,38,33,30,0,0,103,73,3,17,14,20,128,4834,326,737,304,119,6324,Inverell (A)
14300,4,3,0,54,38,0,9,8,3,61,55,3,20,8,3,88,62,3,19,13,3,103,112,6,37,11,3,172,185,7,30,10,3,237,208,11,29,11,0,263,187,17,29,6,3,239,142,14,21,9,4,194,105,10,15,6,0,133,63,5,3,3,0,69,104,5,14,3,0,120,17,8,10,7,0,35,14,0,13,4,0,29,1337,105,260,101,24,1836,Junee (A)
14350,24,23,18,402,263,13,78,44,13,410,372,33,104,45,23,578,534,29,94,29,19,708,912,29,139,33,16,1133,1139,55,141,20,25,1382,1050,74,112,18,12,1269,933,56,100,10,14,1115,528,38,52,10,8,637,420,26,28,3,0,480,375,18,8,4,5,417,328,28,20,3,5,379,87,46,23,0,0,156,120,0,28,8,14,170,7417,450,974,305,178,9329,Kempsey (A)
14400,26,14,0,363,277,15,42,22,3,363,256,16,58,18,10,358,334,25,74,25,4,456,460,45,112,13,0,627,500,39,87,5,10,635,468,53,93,15,6,639,419,55,76,14,4,574,245,47,71,6,9,368,185,50,45,12,5,292,117,27,27,0,0,182,121,59,50,7,3,234,37,70,31,7,0,147,41,14,13,5,3,72,3795,517,814,170,68,5363,Kiama (A)
14500,153,38,3,1599,1280,64,160,37,14,1554,1151,95,175,34,6,1477,1264,117,206,38,10,1639,1713,209,255,48,19,2248,2038,229,247,41,22,2575,2521,345,317,34,21,3235,2767,352,317,37,23,3496,1907,353,201,29,14,2505,1757,349,215,28,4,2352,1443,270,140,18,6,1888,1991,495,253,34,18,2782,992,755,316,58,15,2141,293,66,47,15,30,447,22576,3776,3053,611,209,30220,Ku-ring-gai (A)
14550,19,22,0,116,94,9,48,33,3,185,101,11,53,28,3,194,138,15,64,18,6,243,227,10,97,24,7,353,277,10,57,13,3,356,252,15,42,3,3,324,223,21,38,6,3,292,119,13,27,7,6,168,102,20,21,0,0,141,65,3,11,0,0,78,71,9,17,0,0,95,23,18,21,0,3,64,18,3,7,12,8,47,1778,167,524,204,48,2725,Kyogle (A)
14600,9,13,0,50,45,9,16,7,5,77,84,6,23,14,10,133,107,6,23,24,4,166,206,11,41,22,3,283,239,13,42,15,0,303,246,19,51,17,6,335,192,24,44,18,12,292,119,13,22,6,0,164,104,15,18,3,6,135,71,10,11,0,0,96,72,12,24,3,0,112,16,18,31,10,0,71,19,3,6,16,4,59,1563,150,382,194,55,2347,Lachlan (A)
14650,161,60,21,2857,2318,78,312,99,37,2854,2559,149,355,85,51,3197,3078,162,347,53,50,3689,4887,271,511,59,62,5788,6158,388,507,43,63,7162,6716,430,503,47,51,7749,6593,514,527,33,44,7720,3828,397,314,34,23,4589,3016,440,252,30,25,3756,2132,230,141,8,12,2526,2445,382,184,18,16,3038,896,431,189,13,11,1541,703,54,52,27,52,882,48075,3985,4411,769,524,57757,Lake Macquarie (C)
14870,23,13,4,254,255,11,37,15,5,326,289,19,47,13,10,378,344,21,49,26,9,450,540,29,69,17,7,665,653,35,55,17,6,772,772,38,63,12,9,897,729,40,61,7,5,846,564,37,39,3,8,645,473,21,21,0,4,523,412,21,12,0,5,447,694,29,12,5,4,756,255,25,19,4,0,306,86,7,5,8,10,118,6293,350,528,182,88,7444,Lithgow (C)
14900,98,57,30,1963,2356,87,219,76,38,2782,2437,152,269,71,51,2985,2802,199,347,75,77,3496,4688,392,468,66,91,5705,6590,473,484,56,83,7680,8369,583,457,50,100,9559,8474,700,404,35,84,9692,6068,488,246,28,51,6872,4782,420,176,20,26,5425,3391,237,97,4,22,3749,3872,377,123,6,32,4406,1299,452,153,15,16,1937,889,70,57,27,65,1110,58010,4696,3649,749,775,67886,Liverpool (C)
14920,17,12,3,75,68,3,13,9,0,93,103,11,33,20,3,164,96,3,30,6,6,141,180,18,56,16,3,278,248,15,41,15,7,327,283,16,56,18,0,378,270,14,36,5,3,332,136,26,33,4,4,200,131,10,27,0,4,172,105,4,9,0,0,124,122,10,17,8,3,155,42,23,21,4,0,91,36,0,6,12,13,67,1872,153,409,159,57,2654,Liverpool Plains (A)
14950,0,7,0,18,22,0,13,8,0,51,30,3,4,9,0,53,45,3,15,7,0,66,57,4,27,12,0,98,65,11,40,16,3,123,81,3,29,14,0,121,74,10,26,7,0,116,27,3,8,7,0,50,24,6,18,3,0,57,18,0,9,3,4,38,23,3,6,0,3,34,0,3,12,6,0,20,8,0,7,3,4,20,477,58,211,109,20,877,Lockhart (A)
15050,65,27,12,1274,1017,26,132,37,15,1231,1161,46,110,27,26,1377,1287,55,130,29,22,1524,2127,108,197,17,16,2470,2782,141,178,22,24,3149,3268,156,211,27,27,3685,3068,222,151,22,24,3483,2064,148,134,4,10,2354,1623,169,66,7,10,1878,1190,95,47,3,7,1349,1404,154,65,6,11,1641,472,172,75,8,4,736,329,25,26,16,3,406,23019,1555,1595,359,222,26754,Maitland (C)
15240,87,61,30,1212,836,43,235,142,34,1294,1142,85,289,126,64,1708,1579,92,335,85,55,2140,2667,170,433,77,59,3405,3255,200,366,46,63,3928,3215,192,368,33,51,3858,2455,195,252,34,42,2980,1470,132,201,12,20,1835,1032,122,110,18,12,1297,840,62,67,8,11,989,748,122,95,12,7,985,209,145,99,9,12,471,347,32,65,27,29,508,20892,1614,3049,839,508,26889,Mid-Coast (A)
15270,25,35,5,337,267,16,86,43,3,426,349,29,83,41,17,521,451,31,82,37,18,612,700,38,139,36,20,936,908,52,112,20,11,1098,838,62,98,23,17,1040,764,91,102,17,16,985,516,49,60,10,5,644,486,49,33,8,5,578,448,39,27,0,0,513,911,60,37,11,11,1032,361,58,36,11,4,470,133,3,22,17,17,188,7438,583,970,381,157,9525,Mid-Western Regional (A)
15300,13,11,3,133,118,6,23,11,3,167,172,12,24,22,3,229,198,20,38,14,11,276,387,22,59,24,15,503,547,44,72,14,10,677,631,43,92,17,10,791,672,51,78,15,11,820,446,43,44,9,12,548,317,51,60,3,6,441,197,18,35,9,4,262,212,35,32,6,4,292,65,68,67,14,0,209,103,16,21,14,19,167,4182,424,672,222,106,5603,Moree Plains (A)
15350,36,17,0,318,349,20,44,10,3,431,313,32,57,8,3,412,403,36,61,10,3,511,505,42,77,15,10,649,620,69,78,14,6,786,758,103,98,12,10,975,825,116,113,18,6,1071,536,126,92,12,10,779,464,123,82,15,0,687,330,99,63,9,0,497,440,166,86,18,3,716,204,347,107,39,4,705,72,26,19,7,6,130,6108,1317,1029,210,75,8738,Mosman (A)
15520,10,28,4,187,149,15,38,27,11,238,175,11,37,31,11,264,218,27,42,30,8,330,384,48,54,47,3,538,411,69,47,30,13,566,498,48,63,16,7,639,416,44,66,15,0,548,197,32,56,3,3,301,121,32,23,4,8,191,93,23,21,4,4,141,89,13,18,5,0,125,19,18,23,5,0,74,50,9,15,11,9,95,2981,405,537,320,85,4336,Murray River (A)
15560,4,5,0,30,30,8,10,11,0,58,48,8,11,7,4,79,60,0,20,12,4,103,116,15,24,7,3,161,152,23,27,14,5,212,174,27,26,4,3,236,162,40,26,13,4,251,99,15,15,5,0,143,58,17,24,3,0,108,43,8,6,3,0,57,42,14,8,0,0,67,11,11,15,3,0,37,14,3,10,6,4,33,1035,202,222,110,42,1610,Murrumbidgee (A)
15650,12,14,0,271,201,6,21,25,9,264,263,4,48,18,0,328,301,11,36,9,11,362,533,14,53,3,6,613,654,17,43,6,8,735,840,18,29,3,15,905,920,37,35,12,7,1011,715,29,34,3,0,777,698,29,18,3,3,751,691,18,10,3,3,724,1843,27,12,0,5,1895,561,33,19,3,3,622,151,4,12,12,13,179,8624,249,392,126,102,9498,Muswellbrook (A)
15700,18,17,3,210,170,4,72,24,7,281,195,10,79,30,10,339,312,21,84,24,11,455,512,24,93,30,13,670,634,49,94,11,14,801,641,33,83,15,9,781,528,25,52,6,3,622,324,16,32,3,4,381,209,28,33,3,4,284,192,13,14,5,3,225,171,8,15,5,0,204,71,26,22,0,0,122,69,4,19,4,10,109,4221,260,737,213,100,5529,Nambucca (A)
15750,11,17,6,204,125,7,26,24,3,185,167,18,34,15,5,245,205,16,38,23,15,297,439,37,62,20,9,559,520,25,48,26,11,641,591,49,67,21,12,743,608,56,80,8,19,775,470,37,53,7,3,569,408,47,36,15,7,499,367,24,21,3,0,409,588,19,27,5,5,645,225,48,26,0,9,310,85,10,15,19,8,136,4974,396,564,264,99,6303,Narrabri (A)
15800,7,4,3,61,51,0,12,20,3,82,59,13,18,11,0,104,108,6,23,13,3,148,193,18,36,10,6,260,229,16,40,13,3,308,210,12,34,17,3,279,192,21,35,14,0,265,128,6,23,3,3,168,108,6,20,7,3,147,68,4,9,3,0,85,44,12,20,6,0,76,16,11,15,5,0,46,20,0,7,9,0,41,1466,139,315,140,32,2093,Narrandera (A)
15850,8,11,3,67,54,0,17,16,3,92,42,13,27,16,0,102,89,6,24,24,6,144,158,16,35,18,4,239,206,20,33,11,3,270,206,22,52,6,3,287,193,19,38,14,3,276,159,18,22,11,0,207,125,12,18,6,3,164,101,16,18,4,0,130,92,13,19,3,0,133,26,6,12,10,0,58,33,0,14,5,8,53,1529,166,341,185,44,2261,Narromine (A)
15900,134,46,31,3070,2867,71,262,65,36,3303,3220,113,308,53,47,3737,4185,128,354,61,51,4778,6820,244,471,53,79,7667,9126,331,497,58,68,10078,11311,421,518,51,75,12373,12407,540,487,43,65,13544,8966,434,321,12,53,9795,7775,437,251,13,38,8522,5541,249,152,9,19,5976,8060,538,261,10,21,8885,2870,672,349,28,23,3939,1042,61,54,30,77,1259,87238,4294,4443,660,692,97327,Newcastle (C)
15950,76,39,10,1057,1173,52,103,45,13,1396,1419,107,134,39,24,1724,1645,116,139,33,19,1952,2244,188,230,33,40,2744,3130,257,216,32,27,3659,5105,308,259,32,38,5743,7196,424,355,26,37,8043,6418,385,234,16,36,7092,6391,478,217,15,29,7139,5161,348,152,24,22,5704,11640,843,270,19,38,12809,9889,1553,416,57,35,11951,704,62,46,6,54,878,63199,5193,2875,530,457,72250,North Sydney (A)
15990,317,91,23,4102,3090,151,454,139,20,3856,3061,243,469,114,42,3930,3727,315,571,93,49,4750,5594,547,883,126,71,7225,7067,735,916,81,75,8869,8407,967,1023,96,86,10576,9020,1179,1054,94,77,11421,6158,1087,853,62,48,8217,4912,1293,681,58,40,6979,3308,769,442,40,31,4590,4516,1507,673,59,30,6790,2393,1822,511,87,28,4846,989,152,134,30,75,1379,66096,10930,9061,1440,708,88233,Northern Beaches (A)
16100,6,7,0,63,61,6,19,18,10,106,46,3,17,8,0,85,84,4,18,13,0,119,105,5,37,11,4,161,190,20,29,13,4,259,269,15,33,12,7,333,258,17,15,5,0,303,195,10,7,4,3,229,144,12,20,4,0,177,76,3,16,4,0,103,96,5,12,0,0,120,10,8,15,4,3,47,26,4,4,7,0,39,1618,121,258,129,33,2158,Oberon (A)
16150,26,14,17,668,533,18,78,12,9,649,668,32,101,21,18,828,825,39,102,21,29,1013,1431,47,124,21,36,1654,1940,85,130,15,19,2192,2206,97,146,22,22,2488,2283,143,138,15,21,2605,1527,104,94,3,15,1749,1339,110,80,8,13,1544,996,58,34,6,3,1101,1249,105,84,5,11,1453,342,138,104,8,4,597,235,18,22,19,15,309,16235,999,1271,225,230,18968,Orange (C)
16200,16,19,6,249,169,0,44,29,11,250,172,15,38,26,5,262,257,10,54,24,10,358,417,29,69,24,12,556,513,32,68,29,16,659,588,38,81,10,0,725,538,47,67,14,7,679,390,45,39,9,4,483,321,17,35,10,3,388,261,13,29,3,3,308,355,14,26,5,3,403,79,23,20,3,3,127,73,3,12,6,11,107,4353,305,615,252,89,5611,Parkes (A)
16260,158,64,30,2828,3293,114,300,84,48,3841,3587,201,382,113,57,4331,4287,266,434,95,73,5155,7252,480,608,110,88,8542,10818,670,509,72,112,12192,15496,773,634,62,135,17095,18884,977,596,59,108,20620,14166,746,347,29,74,15359,12075,744,317,34,54,13223,9197,425,208,13,46,9890,13888,789,311,19,42,15052,5886,927,321,18,41,7190,1516,121,87,28,112,1869,123281,7379,5276,972,1043,137952,Parramatta (C)
16350,103,54,25,2672,2367,64,240,73,32,2776,2455,117,298,77,42,2996,3074,156,330,64,54,3682,4999,296,491,56,60,5897,6733,382,478,59,74,7729,8580,524,498,44,77,9714,8537,674,471,26,54,9763,5756,495,336,27,30,6638,4600,457,258,14,18,5352,3341,298,152,3,10,3810,3575,450,170,13,8,4212,1092,409,206,13,17,1731,903,90,87,18,59,1156,58709,4466,4164,675,575,68594,Penrith (C)
11300,37,8,8,645,743,21,49,23,8,839,788,30,67,26,8,914,765,43,77,12,16,916,1124,85,100,21,10,1347,1310,135,135,18,19,1617,1559,134,123,15,16,1845,1756,145,121,18,19,2056,1320,110,88,13,8,1540,1128,107,54,8,0,1299,849,81,39,4,3,972,1379,109,58,0,8,1559,491,156,84,7,3,746,167,20,9,0,20,216,14010,1194,1058,213,151,16624,Burwood (A)
11350,45,23,17,470,381,17,154,38,23,613,513,40,245,31,24,849,757,64,256,37,23,1135,1190,90,336,36,35,1687,1301,87,364,35,29,1818,1214,150,308,40,28,1739,1012,183,290,14,13,1519,535,145,188,4,14,884,368,107,132,9,6,626,256,71,69,4,3,397,284,114,92,13,9,515,98,145,84,7,5,337,156,19,41,11,28,262,8475,1257,2621,354,261,12964,Byron (A)
11400,15,26,3,118,83,8,40,40,4,181,108,17,49,34,3,203,172,19,55,31,11,283,267,29,90,34,3,422,343,28,77,24,12,487,334,33,75,26,13,484,381,48,78,21,11,546,259,23,48,9,6,336,237,28,42,13,7,326,191,15,17,0,4,239,300,19,36,3,3,355,82,16,39,7,3,152,38,0,15,11,10,82,2877,291,697,351,84,4298,Cabonne (A)
11450,59,29,8,1192,922,42,119,36,9,1136,955,80,120,22,19,1192,1109,94,151,21,30,1406,1752,147,192,28,30,2159,2405,197,229,27,37,2895,2701,263,249,22,35,3264,2794,346,252,17,32,3440,1857,241,143,9,17,2263,1402,282,107,3,10,1804,1000,161,65,3,7,1240,985,234,84,4,6,1307,301,196,48,0,9,554,325,34,26,9,25,419,19655,2351,1857,311,277,24444,Camden (A)
