lga_code16,p_75ov_ewft,p_75ov_ewpt,p_75ov_eafw,p_75ov_ehw_ns,p_75ov_tot,p_tot_ewft,p_tot_ewpt,p_tot_eafw,p_tot_ehw_ns,p_tot_tot,lga_name16
14950,13,7,0,3,22,520,311,35,15,877,Lockhart (A)
15050,29,57,3,14,112,15334,10072,906,444,26754,Maitland (C)
15240,94,135,22,38,291,13826,11224,1209,635,26889,Mid-Coast (A)
15270,69,55,9,9,133,5820,3156,358,182,9525,Mid-Western Regional (A)
15300,39,27,13,0,81,3840,1396,218,151,5603,Moree Plains (A)
15350,35,93,14,3,142,4656,3727,215,141,8738,Mosman (A)
15520,41,35,11,0,91,2595,1446,184,108,4336,Murray River (A)
15560,14,11,3,0,29,1049,435,88,40,1610,Murrumbidgee (A)
15650,17,23,3,3,47,6567,2324,407,199,9498,Muswellbrook (A)
15700,36,21,7,3,73,2842,2342,212,130,5529,Nambucca (A)
15750,29,22,9,12,74,4254,1635,258,148,6303,Narrabri (A)
15800,19,24,0,3,46,1288,649,97,58,2093,Narrandera (A)
15850,18,16,3,8,46,1534,586,77,60,2261,Narromine (A)
15900,74,202,17,38,324,59697,32464,3662,1500,97327,Newcastle (C)
15950,87,193,11,20,310,54176,15058,1852,1156,72250,North Sydney (A)
15990,163,511,31,38,738,50044,34408,2353,1429,88233,Northern Beaches (A)
16100,13,10,4,7,31,1465,579,68,51,2158,Oberon (A)
16150,31,58,5,15,105,11868,6074,711,319,18968,Orange (C)
16200,29,41,6,6,74,3494,1742,251,133,5611,Parkes (A)
16260,115,246,23,33,413,95889,34954,4334,2782,137952,Parramatta (C)
16350,67,130,15,16,224,42863,22260,2095,1381,68594,Penrith (C)
11300,30,64,7,3,102,9672,6117,497,344,16624,Burwood (A)
11350,33,46,3,16,91,6002,6265,402,292,12964,Byron (A)
11400,54,52,4,9,124,2804,1244,158,94,4298,Cabonne (A)
11450,28,48,3,5,85,14913,8368,661,501,24444,Camden (A)
11500,33,80,6,4,127,29866,15700,1453,1097,48114,Campbelltown (C) (NSW)
11520,41,86,6,4,142,21726,10205,964,717,33608,Canada Bay (A)
11570,139,209,20,13,382,59159,30636,2458,2525,94779,Canterbury-Bankstown (A)
11600,9,16,3,3,26,857,342,66,37,1302,Carrathool (A)
11650,118,260,23,43,445,57331,41748,3735,1912,104732,Central Coast (C) (NSW)
11700,9,3,0,0,13,477,131,19,25,658,Central Darling (A)
11720,30,43,6,9,87,7863,6114,548,269,14791,Cessnock (C)
11730,65,96,8,19,186,8878,6475,645,346,16345,Clarence Valley (A)
11750,13,8,0,0,21,1635,459,110,61,2269,Cobar (A)
11800,27,70,4,20,119,15683,11661,1017,523,28886,Coffs Harbour (C)
12000,18,13,0,4,31,674,366,35,33,1111,Coolamon (A)
12150,19,8,4,3,29,929,380,62,55,1432,Coonamble (A)
12350,31,30,3,11,75,2755,1562,152,96,4569,Cowra (A)
12380,67,101,7,15,194,48128,19072,1640,1828,70670,Cumberland (A)
12700,28,33,3,0,59,1122,895,90,52,2155,Dungog (A)
12730,23,20,0,3,50,2215,1242,160,76,3693,Edward River (A)
12750,26,48,5,9,94,5947,5298,473,257,11982,Eurobodalla (A)
12850,62,83,9,12,165,36421,17762,1316,1592,57091,Fairfield (C)
12870,15,25,4,7,55,3023,1565,225,114,4935,Federation (A)
12900,35,26,8,15,87,2419,1179,160,102,3855,Forbes (A)
12930,59,154,10,5,229,24385,15942,1340,877,42550,Georges River (A)
12950,35,17,0,0,53,977,492,58,48,1570,Gilgandra (A)
13010,32,32,8,6,78,1747,1108,124,83,3059,Glen Innes Severn (A)
13310,28,50,8,11,97,7020,3870,442,226,11561,Goulburn Mulwaree (A)
13340,39,36,12,7,92,2027,1064,151,75,3316,Greater Hume Shire (A)
13450,24,51,3,11,92,7842,3599,407,278,12132,Griffith (C)
13510,28,35,3,6,78,2457,1423,139,105,4134,Gundagai (A)
13550,33,23,4,9,66,3058,1535,169,103,4859,Gunnedah (A)
13660,29,19,7,4,55,1184,533,67,44,1826,Gwydir (A)
13800,53,81,3,15,155,14741,8222,660,473,24093,Hawkesbury (C)
13850,10,10,0,0,23,808,390,57,38,1288,Hay (A)
16380,56,111,9,17,187,15288,10687,1002,537,27509,Port Macquarie-Hastings (A)
16400,35,84,8,12,138,16030,8340,906,451,25725,Port Stephens (A)
16490,47,67,4,8,130,9481,4490,471,265,14709,Queanbeyan-Palerang Regional (A)
16550,69,155,13,15,251,27939,15654,1462,939,45988,Randwick (C)
16610,32,35,5,14,83,3820,2690,253,170,6931,Richmond Valley (A)
16650,31,78,3,3,116,15694,9399,844,586,26525,Rockdale (C)
16700,63,186,15,20,279,59972,20755,2221,1460,84410,Ryde (C)
16900,17,28,3,5,56,9150,7414,644,290,17489,Shellharbour (C)
16950,49,119,12,31,204,18326,13323,1302,713,33662,Shoalhaven (C)
17000,33,27,4,7,65,11025,3572,603,322,15521,Singleton (A)
17040,67,51,9,10,136,6128,3103,307,222,9761,Snowy Monaro Regional (A)
17080,43,38,4,8,94,3676,1835,232,154,5895,Snowy Valleys (A)
17420,57,190,17,18,279,38604,22508,1649,1115,63867,The Hills Shire (A)
17550,69,128,10,19,225,14489,12119,940,614,28163,Tweed (A)
17620,43,49,6,6,102,3011,1742,176,111,5041,Upper Hunter Shire (A)
17640,56,48,0,7,110,1472,901,62,47,2487,Upper Lachlan Shire (A)
17650,21,17,4,4,45,805,470,49,31,1351,Uralla (A)
17750,73,102,5,23,197,19701,9264,1060,572,30602,Wagga Wagga (C)
17850,18,21,3,0,39,871,419,45,22,1365,Walcha (A)
17900,18,13,0,3,43,1313,605,74,69,2053,Walgett (A)
17950,14,15,3,3,38,781,251,38,24,1092,Warren (A)
18020,50,36,6,11,99,1797,1042,104,81,3020,Warrumbungle Shire (A)
18050,42,131,11,8,193,13313,9953,618,461,24340,Waverley (A)
18100,22,20,3,0,38,786,380,35,35,1244,Weddin (A)
18200,15,13,0,6,32,1823,739,108,74,2750,Wentworth (A)
18230,77,110,10,23,217,14220,6298,763,427,21701,Western Plains Regional (A)
18250,77,193,15,18,300,39728,17098,1642,976,59443,Willoughby (C)
18350,79,151,11,16,257,9894,7197,528,294,17915,Wingecarribee (A)
18400,22,39,5,12,80,7076,3447,365,240,11134,Wollondilly (A)
18450,65,138,16,39,265,45745,29280,2885,1310,79222,Wollongong (C)
18500,78,219,7,9,318,11503,7644,488,335,19972,Woollahra (A)
18710,42,38,8,4,91,2073,1500,139,81,3787,Yass Valley (A)
19399,3,3,0,3,11,392,122,39,20,573,Unincorporated NSW
20110,23,26,5,5,57,2480,1823,203,110,4613,Alpine (S)
20260,35,32,5,5,80,2907,1640,230,96,4870,Ararat (RC)
20570,57,102,9,22,193,25587,17522,1847,834,45788,Ballarat (C)
20660,41,139,12,14,198,21501,16712,1451,687,40356,Banyule (C)
20740,39,82,10,8,131,4864,4594,591,213,10258,Bass Coast (S)
20830,85,107,14,6,216,8441,6374,620,344,15789,Baw Baw (S)
20910,41,184,8,13,243,15388,12839,826,487,29537,Bayside (C)
21010,34,37,9,5,80,2885,1846,234,112,5075,Benalla (RC)
21110,102,348,27,32,507,41477,26658,2057,1192,71382,Boroondara (C)
21180,52,85,8,14,161,42128,20914,1792,1660,66496,Brimbank (C)
21270,22,24,7,8,60,1419,852,112,53,2442,Buloke (S)
21370,52,92,9,23,181,8950,5337,653,347,15291,Campaspe (S)
21450,67,90,8,18,186,12666,9277,697,508,23143,Cardinia (S)
21610,54,139,3,13,212,34730,26254,1950,1311,64240,Casey (C)
21670,16,26,6,3,56,2107,1749,170,91,4116,Central Goldfields (S)
21750,48,59,5,15,136,5192,3576,429,191,9389,Colac-Otway (S)
21830,47,57,15,13,130,4254,2333,314,180,7080,Corangamite (S)
21890,71,110,13,13,207,27035,18217,1412,1018,47683,Darebin (C)
22110,84,109,16,29,230,8153,6366,803,366,15688,East Gippsland (S)
22170,60,110,11,18,198,23442,17193,1472,813,42912,Frankston (C)
22250,25,37,4,10,79,2318,1369,167,91,3937,Gannawarra (S)
22830,87,96,13,27,230,16917,9280,1198,633,28025,Greater Shepparton (C)
22910,22,31,3,3,68,2130,2185,230,113,4651,Hepburn (S)
22980,16,19,4,8,50,1307,725,88,52,2174,Hindmarsh (S)
23110,27,62,9,10,99,23374,9934,962,719,34988,Hobsons Bay (C)
23190,35,47,11,9,100,5084,3226,382,184,8873,Horsham (RC)
23270,77,89,12,26,208,58666,26083,2711,2031,89491,Hume (C)
23350,34,38,4,3,72,2676,1817,229,100,4826,Indigo (S)
23430,99,224,19,26,367,46702,23909,1888,1328,73832,Kingston (C) (Vic.)
23670,69,176,14,17,273,39108,22130,1887,1082,64206,Knox (C)
23810,44,96,14,16,171,17560,11048,1402,598,30601,Latrobe (C) (Vic.)
23940,31,28,6,4,75,1608,844,112,89,2651,Loddon (S)
24130,33,70,8,5,115,6271,5664,505,230,12673,Macedon Ranges (S)
24210,50,194,15,16,271,13702,13857,850,517,28931,Manningham (C)
24250,25,24,3,0,45,1733,1298,124,67,3219,Mansfield (S)
24330,22,51,10,12,94,21410,13923,1131,804,37261,Maribyrnong (C)
24410,41,127,5,8,184,23760,16583,1228,693,42258,Maroondah (C)
24600,362,554,48,117,1084,317759,97191,14588,7217,436750,Melbourne (C)
24650,11,23,3,7,46,13901,9483,760,541,24682,Melton (C)
24780,53,69,12,21,156,12707,7352,798,494,21354,Mildura (RC)
24850,24,37,7,7,70,6044,4112,455,251,10865,Mitchell (S)
24900,48,53,8,18,131,6196,3536,537,263,10534,Moira (S)
24970,97,273,19,47,439,68242,32602,3041,1897,105786,Monash (C)
25060,57,94,3,13,167,20006,14252,1078,698,36036,Moonee Valley (C)
25150,34,27,3,0,69,3936,3144,255,167,7495,Moorabool (S)
25250,62,102,6,12,182,21346,15493,1081,886,38807,Moreland (C)
25340,83,242,26,26,379,25361,21417,1733,964,49479,Mornington Peninsula (S)
17400,25,25,3,10,63,1225,761,88,63,2140,Tenterfield (A)
22750,105,241,24,43,410,52841,36958,3608,1652,95057,Greater Geelong (C)
25430,34,59,3,3,99,3722,2789,277,122,6916,Mount Alexander (S)
25490,62,65,8,10,145,3923,1839,277,155,6186,Moyne (S)
25620,45,38,4,9,102,2179,1652,196,90,4114,Murrindindi (S)
25710,15,59,0,4,78,6247,6438,390,240,13315,Nillumbik (S)
25810,27,21,4,6,62,2694,1724,228,109,4748,Northern Grampians (S)
25900,86,164,18,16,280,53284,19391,1982,1278,75933,Port Phillip (C)
25990,17,12,3,5,38,1156,695,97,55,2001,Pyrenees (S)
26080,4,6,0,0,17,575,606,80,27,1277,Queenscliffe (B)
26170,65,76,16,27,187,5772,4171,472,253,10668,South Gippsland (S)
26260,53,38,5,8,110,4062,2644,316,142,7164,Southern Grampians (S)
26350,97,248,19,22,393,30501,22016,1497,947,54961,Stonnington (C)
26430,41,52,4,5,102,1967,1308,145,95,3519,Strathbogie (S)
26490,23,38,6,3,67,4169,4027,333,156,8688,Surf Coast (S)
26610,34,38,5,8,86,5382,2791,376,254,8802,Swan Hill (RC)
26670,36,23,3,9,73,1121,745,95,55,2017,Towong (S)
26700,62,63,21,14,159,6894,4613,570,241,12312,Wangaratta (RC)
26730,14,39,9,12,72,8392,6381,687,285,15743,Warrnambool (C)
26810,79,87,5,17,182,10148,5802,748,368,17069,Wellington (S)
26890,34,25,3,0,64,1044,527,73,36,1674,West Wimmera (S)
26980,53,232,18,25,335,39564,26344,2130,1149,69185,Whitehorse (C)
27070,41,91,13,7,160,30978,19391,1612,1163,53144,Whittlesea (C)
27170,10,32,8,3,54,12057,5693,720,335,18806,Wodonga (C)
27260,37,52,13,6,114,38737,20054,1733,1377,61904,Wyndham (C)
27350,85,158,13,22,282,53494,23960,2302,1345,81102,Yarra (C)
27450,66,168,27,16,280,20330,17031,1448,730,39545,Yarra Ranges (S)
27630,26,29,3,5,69,1491,900,102,66,2556,Yarriambiack (S)
29399,0,3,0,0,11,1537,565,37,47,2186,Unincorporated Vic
30250,0,0,0,0,0,202,64,11,7,282,Aurukun (S)
30300,18,18,0,3,42,1385,603,70,48,2109,Balonne (S)
30370,66,44,6,11,128,5791,1813,346,200,8153,Banana (S)
30410,24,9,3,3,33,1049,314,47,43,1451,Barcaldine (R)
30450,0,0,0,0,0,181,19,6,3,209,Barcoo (S)
30760,12,5,0,3,16,572,224,38,15,855,Blackall-Tambo (R)
34710,14,7,3,0,28,1347,419,102,50,1916,Longreach (R)
34770,107,100,8,32,248,28902,14261,1638,906,45703,Mackay (R)
34800,8,0,0,0,6,1039,76,70,38,1219,McKinlay (S)
34830,0,0,0,0,0,64,10,3,0,84,Mapoon (S)
34860,77,40,10,6,129,5009,1521,366,147,7045,Maranoa (R)
34880,44,41,9,7,97,4480,2447,263,183,7374,Mareeba (S)
35010,104,222,13,46,392,62856,44516,3542,2069,112981,Moreton Bay (R)
35250,0,0,0,0,3,243,76,12,23,347,Mornington (S)
35300,10,13,0,5,26,6868,1741,418,189,9214,Mount Isa (C)
35600,12,3,0,3,23,1362,494,74,54,1983,Murweh (S)
35670,0,0,0,0,0,163,46,5,8,221,Napranum (S)
35740,28,74,3,11,117,10177,9013,608,333,20130,Noosa (S)
35760,54,40,8,7,104,2783,1323,150,129,4378,North Burnett (R)
35780,0,0,0,0,0,573,196,28,20,825,Northern Peninsula Area (R)
35790,0,0,0,0,0,342,216,17,9,585,Palm Island (S)
35800,8,0,0,4,16,513,170,30,23,732,Paroo (S)
36070,0,0,0,0,0,119,91,3,3,216,Pormpuraaw (S)
36150,3,0,0,0,5,357,85,23,10,473,Quilpie (S)
36250,59,105,10,9,173,21708,16940,1271,661,40572,Redland (C)
36300,3,3,0,0,5,482,225,8,19,732,Richmond (S)
36370,64,89,12,17,181,22982,11588,1432,575,36580,Rockhampton (R)
36510,67,87,10,21,179,6870,4843,377,271,12367,Scenic Rim (R)
36580,36,24,4,10,76,3600,2145,192,164,6099,Somerset (R)
17100,29,69,7,7,111,14795,5962,560,488,21800,Strathfield (A)
17150,86,235,25,19,363,35928,27480,1912,1106,66430,Sutherland Shire (A)
17200,447,733,75,91,1347,374474,101183,14464,8301,498425,Sydney (C)
17310,98,99,9,21,232,15822,7872,903,515,25106,Tamworth Regional (A)
17350,8,18,0,0,35,1385,789,86,70,2336,Temora (A)
22310,64,183,10,17,276,19451,16077,1042,608,37174,Glen Eira (C)
22410,47,53,8,9,120,4340,2851,369,200,7768,Glenelg (S)
22490,21,26,3,7,58,1795,1311,135,80,3323,Golden Plains (S)
22620,78,127,9,26,241,25299,17098,1900,756,45051,Greater Bendigo (C)
22670,103,140,10,34,297,67751,24465,2433,2047,96693,Greater Dandenong (C)
36630,82,59,7,21,167,6481,3915,402,266,11060,South Burnett (R)
36660,69,94,5,24,190,7707,4788,502,311,13305,Southern Downs (R)
36720,118,313,31,47,515,61103,44517,3386,1840,110852,Sunshine Coast (R)
36820,47,54,3,13,120,4700,3328,347,196,8571,Tablelands (R)
36910,188,223,20,47,482,43235,22467,2492,1158,69344,Toowoomba (R)
36950,4,3,0,3,10,1041,310,68,85,1503,Torres (S)
36960,0,0,0,0,0,572,354,35,38,1003,Torres Strait Island (R)
37010,77,138,7,26,245,52132,25139,3103,1337,81713,Townsville (C)
30900,0,0,0,0,0,200,35,6,9,240,Boulia (S)
31000,583,1294,93,185,2149,473389,206811,23052,10961,714220,Brisbane (C)
31750,4,0,0,0,4,235,24,16,9,283,Bulloo (S)
31820,78,107,11,28,221,18255,11442,998,651,31342,Bundaberg (R)
31900,39,32,11,12,92,4767,2207,235,180,7394,Burdekin (S)
31950,0,0,0,0,0,111,17,10,12,148,Burke (S)
32080,117,146,21,21,312,41919,22070,2257,1215,67459,Cairns (R)
32250,0,0,0,0,6,651,155,29,35,860,Carpentaria (S)
32260,58,62,5,8,133,6936,3897,384,299,11512,Cassowary Coast (R)
32270,45,30,3,11,90,11501,3475,776,342,16101,Central Highlands (R) (Qld)
32310,16,24,0,3,44,2706,1270,180,111,4273,Charters Towers (R)
34580,49,32,7,10,102,6509,4042,381,274,11199,Lockyer Valley (R)
34590,63,147,10,21,240,53933,30647,2712,1801,89093,Logan (C)
32330,0,0,0,0,3,189,85,12,11,291,Cherbourg (S)
32450,6,3,0,0,8,2507,297,161,67,3022,Cloncurry (S)
32500,5,3,3,3,19,2143,530,128,71,2868,Cook (S)
32600,0,0,0,0,0,70,35,3,6,112,Croydon (S)
37300,0,3,0,0,3,798,283,56,23,1157,Weipa (T)
37310,109,85,3,17,213,11012,4208,680,345,16242,Western Downs (R)
37340,49,48,4,8,108,9996,4258,533,319,15102,Whitsunday (R)
32750,0,0,0,0,0,146,27,7,4,184,Diamantina (S)
41140,26,30,3,3,61,2238,1613,178,81,4114,Clare and Gilbert Valleys (DC)
41060,43,110,8,19,183,22880,15086,1323,596,39879,Charles Sturt (C)
32770,0,0,0,0,0,170,131,14,12,332,Doomadgee (S)
32810,25,33,6,0,60,3411,1871,167,132,5585,Douglas (S)
33100,4,5,0,0,8,279,69,16,11,379,Etheridge (S)
33200,17,5,0,4,27,576,168,29,37,802,Flinders (S) (Qld)
33220,60,82,8,26,181,16100,11418,1049,577,29137,Fraser Coast (R)
33360,34,33,6,8,83,17610,7462,1066,457,26594,Gladstone (R)
33430,275,661,43,87,1065,139135,85644,6539,4216,235525,Gold Coast (C)
33610,36,34,3,7,79,3154,1340,172,101,4761,Goondiwindi (R)
33620,72,49,8,18,155,8651,6113,607,328,15698,Gympie (R)
33800,43,41,4,14,105,2635,1424,141,110,4307,Hinchinbrook (S)
33830,0,0,0,0,0,221,81,15,3,317,Hope Vale (S)
33960,56,95,8,24,186,38440,20654,2073,1143,62312,Ipswich (C)
33980,28,14,10,3,57,15730,2651,1218,434,20036,Isaac (R)
34420,0,0,0,0,0,166,81,3,10,260,Kowanyama (S)
34530,25,42,3,9,79,5062,3330,304,190,8883,Livingstone (S)
34570,3,0,0,0,3,105,63,4,22,199,Lockhart River (S)
37400,6,3,0,0,9,431,106,30,15,581,Winton (S)
41750,3,0,0,0,3,282,154,21,6,460,Elliston (DC)
37550,0,0,0,0,0,165,73,12,14,264,Woorabinda (S)
65810,5,20,3,0,31,1779,1718,196,70,3762,West Tamar (M)
37570,0,0,0,0,0,58,37,8,8,104,Wujal Wujal (S)
37600,0,0,0,0,0,288,114,15,26,446,Yarrabah (S)
64810,7,12,0,0,24,1176,1188,117,37,2521,Sorell (M)
40070,82,188,11,36,320,76044,35241,4781,1534,117609,Adelaide (C)
40120,37,55,7,7,106,4860,4467,353,154,9836,Adelaide Hills (DC)
40220,34,56,0,13,101,3183,3009,231,121,6542,Alexandrina (DC)
40250,3,3,0,3,9,384,184,26,26,624,Anangu Pitjantjatjara (AC)
40310,30,42,0,8,82,5831,3749,377,145,10098,Barossa (DC)
40430,4,3,6,0,15,404,266,41,14,720,Barunga West (DC)
40520,10,27,0,3,35,2666,1590,196,76,4530,Berri and Barmera (DC)
40700,24,101,5,10,139,9066,6846,605,236,16760,Burnside (C)
40910,14,36,3,6,58,4621,4413,301,149,9483,Campbelltown (C) (SA)
41010,3,8,0,0,9,960,480,84,52,1575,Ceduna (DC)
41190,3,7,0,3,12,506,264,35,28,827,Cleve (DC)
41330,7,8,3,0,12,436,173,41,27,677,Coober Pedy (DC)
41560,14,22,6,7,56,2155,1906,203,98,4365,Copper Coast (DC)
41830,3,0,0,0,5,297,178,20,14,505,Flinders Ranges (DC)
41960,0,0,0,3,8,237,177,37,5,454,Franklin Harbour (DC)
42030,5,21,0,3,27,3007,3160,230,91,6484,Gawler (T)
42110,15,15,0,9,40,780,474,41,41,1339,Goyder (DC)
42250,24,32,3,10,62,1457,664,93,45,2263,Grant (DC)
42600,14,62,7,3,94,5660,6111,416,163,12348,Holdfast Bay (C)
42750,6,25,3,0,35,1017,888,100,35,2048,Kangaroo Island (DC)
43080,8,4,0,0,10,327,134,4,4,468,Karoonda East Murray (DC)
43220,3,0,0,0,9,338,157,29,10,535,Kimba (DC)
43360,6,15,3,0,22,479,353,57,20,916,Kingston (DC) (SA)
43650,30,25,4,0,56,3048,1525,181,90,4843,Light (RegC)
43710,0,18,3,0,25,904,492,64,32,1494,Lower Eyre Peninsula (DC)
43790,28,30,3,6,66,2628,1605,171,79,4486,Loxton Waikerie (DC)
43920,6,8,0,0,21,1154,707,52,57,1961,Mallala (DC)
44000,0,0,0,0,0,4,0,0,0,9,Maralinga Tjarutja (AC)
44060,23,61,6,5,99,11327,9240,833,288,21697,Marion (C)
44210,12,20,5,3,45,1289,936,74,56,2351,Mid Murray (DC)
44340,23,118,4,10,165,14145,11801,1186,335,27474,Mitcham (C)
44550,33,44,8,4,84,5132,4744,414,195,10480,Mount Barker (DC)
44620,16,32,8,5,60,7249,4709,488,187,12634,Mount Gambier (C)
44830,11,10,0,3,25,529,265,25,20,839,Mount Remarkable (DC)
45040,20,40,6,10,71,5464,3033,344,161,8994,Murray Bridge (RC)
45090,22,30,0,10,72,2392,1390,190,85,4057,Naracoorte and Lucindale (DC)
45120,22,9,0,3,37,1006,622,70,28,1728,Northern Areas (DC)
45290,35,86,7,9,136,12920,9153,654,324,23048,Norwood Payneham St Peters (C)
45340,44,99,9,11,157,19032,16701,1393,601,37728,Onkaparinga (C)
45400,7,8,0,3,13,224,132,12,6,377,Orroroo/Carrieton (DC)
45540,0,3,0,0,5,235,208,9,19,474,Peterborough (DC)
45680,26,23,3,5,63,13315,9513,953,466,24249,Playford (C)
45890,61,115,13,21,219,42786,17384,1929,1053,63157,Port Adelaide Enfield (C)
46090,4,4,0,3,9,3239,1794,241,116,5389,Port Augusta (C)
46300,19,11,0,4,33,3539,2728,235,124,6625,Port Lincoln (C)
46450,10,10,5,3,24,3789,2470,267,132,6652,Port Pirie City and Dists (M)
46510,7,14,3,0,27,3091,2387,163,85,5735,Prospect (C)
46670,13,26,0,0,47,2238,1366,148,84,3825,Renmark Paringa (DC)
46860,9,8,0,0,21,329,234,49,18,632,Robe (DC)
46970,3,0,0,0,3,1650,423,121,38,2233,Roxby Downs (M)
47140,45,70,11,14,135,29502,13583,1458,776,45320,Salisbury (C)
47290,7,5,3,5,19,616,310,37,29,989,Southern Mallee (DC)
47490,7,4,0,3,17,473,310,43,24,856,Streaky Bay (DC)
47630,15,20,0,7,44,2163,1032,159,72,3426,Tatiara (DC)
47700,15,46,11,4,80,10031,10222,689,338,21274,Tea Tree Gully (C)
47800,12,9,5,5,32,1215,704,74,45,2034,The Coorong (DC)
47910,7,7,0,3,21,503,320,34,23,885,Tumby Bay (DC)
47980,27,72,3,4,105,10700,7766,655,259,19383,Unley (C)
48050,9,33,0,3,44,1831,2279,206,79,4396,Victor Harbor (C)
48130,8,20,0,3,34,1636,892,106,58,2689,Wakefield (DC)
51960,3,3,0,0,5,1602,283,110,49,2043,Coolgardie (S)
52030,3,3,0,0,9,242,110,12,7,373,Coorow (S)
48260,3,16,0,3,21,1117,1097,83,54,2350,Walkerville (M)
48340,24,34,4,4,70,2671,1564,273,77,4587,Wattle Range (DC)
48410,44,92,12,18,165,27668,13195,1447,607,42916,West Torrens (C)
48540,13,14,0,3,22,4003,2682,311,138,7135,Whyalla (C)
48640,6,5,0,0,7,401,200,27,12,637,Wudinna (DC)
48750,12,22,0,0,33,652,662,74,20,1409,Yankalilla (DC)
48830,26,34,6,10,80,2001,1445,173,89,3714,Yorke Peninsula (DC)
49399,14,3,0,4,21,4702,634,369,124,5831,Unincorporated SA
50080,36,68,7,16,129,8126,5792,650,246,14818,Albany (C)
50210,20,48,0,3,78,9092,7568,626,325,17605,Armadale (C)
50250,4,0,0,3,9,19301,1503,2168,476,23446,Ashburton (S)
50280,18,36,7,8,69,2898,2560,281,115,5849,Augusta-Margaret River (S)
50350,8,13,4,0,24,3990,1697,150,107,5942,Bassendean (T)
50420,18,63,5,7,95,10939,8326,581,369,20215,Bayswater (C)
50490,31,58,6,8,100,27108,9281,1379,626,38400,Belmont (C)
50560,5,9,3,0,17,279,183,16,10,486,Beverley (S)
50630,4,12,0,0,18,1615,273,186,56,2125,Boddington (S)
50770,7,7,3,0,24,368,226,43,11,654,Boyup Brook (S)
50840,14,7,0,0,24,881,674,68,45,1674,Bridgetown-Greenbushes (S)
50910,0,0,3,3,8,250,145,22,17,427,Brookton (S)
50980,15,6,0,0,20,4968,1938,322,175,7401,Broome (S)
51080,0,3,0,0,3,243,81,28,10,357,Broomehill-Tambellup (S)
51120,4,9,0,0,14,268,117,11,11,409,Bruce Rock (S)
51190,5,44,4,8,62,13088,7759,874,369,22094,Bunbury (C)
51260,27,59,3,8,95,6933,5906,563,237,13639,Busselton (C)
51310,23,79,3,3,109,6794,5702,443,181,13119,Cambridge (T)
51330,49,97,13,6,163,36779,15534,1626,949,54889,Canning (C)
51400,7,18,0,3,24,1842,1497,180,50,3567,Capel (S)
51470,0,0,0,0,0,235,60,12,3,311,Carnamah (S)
51540,10,9,3,0,27,1927,585,162,66,2741,Carnarvon (S)
51610,7,3,0,0,9,201,101,20,17,337,Chapman Valley (S)
51680,12,10,0,0,24,823,457,54,26,1361,Chittering (S)
