LGA_MAIN11,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
10950,32,32,64,85,72,157,69,58,127,3,0,3,157,130,287,80,68,148,10,0,10,6,11,17,96,79,175,4,4,8,0,7,7,16,4,20,7,13,20,0,3,3,27,31,58,0,15,15,0,3,3,0,4,4,6,6,12,0,0,0,6,28,34,0,0,0,0,8,8,3,0,3,3,8,11,137,132,269,458,440,898,Bogan (A)
11000,27,23,50,72,82,154,10,16,26,0,3,3,82,101,183,81,56,137,5,6,11,3,3,6,89,65,154,3,0,3,0,3,3,5,6,11,11,26,37,0,0,0,19,35,54,4,4,8,3,3,6,0,0,0,7,15,22,0,0,0,14,22,36,0,0,0,0,11,11,0,0,0,0,11,11,61,61,122,292,318,610,Bombala (A)
11050,15,14,29,74,72,146,33,23,56,0,5,5,107,100,207,74,66,140,19,18,37,4,3,7,97,87,184,0,3,3,4,0,4,8,3,11,5,18,23,0,0,0,17,24,41,3,13,16,3,0,3,0,3,3,6,8,14,0,0,0,12,24,36,0,0,0,3,3,6,0,0,0,3,3,6,61,70,131,312,322,634,Boorowa (A)
11100,325,261,586,823,727,1550,573,516,1089,104,84,188,1500,1327,2827,550,543,1093,419,468,887,92,89,181,1061,1100,2161,105,76,181,79,95,174,138,72,210,141,217,358,8,8,16,471,468,939,528,598,1126,230,200,430,46,49,95,177,205,382,7,9,16,988,1061,2049,73,69,142,80,126,206,5,0,5,158,195,353,1540,1503,3043,6043,5915,11958,Botany Bay (C)
11150,28,29,57,81,77,158,47,34,81,10,4,14,138,115,253,47,49,96,4,0,4,4,4,8,55,53,108,5,3,8,0,3,3,6,0,6,8,24,32,0,3,3,19,33,52,3,9,12,0,3,3,0,0,0,3,17,20,0,0,0,6,29,35,4,0,4,0,7,7,0,0,0,4,7,11,254,235,489,504,501,1005,Bourke (A)
11200,18,23,41,64,78,142,17,16,33,0,3,3,81,97,178,49,51,100,0,6,6,0,0,0,49,57,106,0,3,3,0,0,0,3,3,6,4,13,17,0,0,0,7,19,26,0,3,3,0,0,0,0,3,3,3,4,7,0,0,0,3,10,13,3,0,3,3,3,6,0,0,0,6,3,9,64,62,126,228,271,499,Brewarrina (A)
12000,35,45,80,129,142,271,79,59,138,10,5,15,218,206,424,73,88,161,30,34,64,21,27,48,124,149,273,4,5,9,3,4,7,19,12,31,11,23,34,0,0,0,37,44,81,10,28,38,5,5,10,3,3,6,8,23,31,0,0,0,26,59,85,6,6,12,4,7,11,0,0,0,10,13,23,145,147,292,595,663,1258,Coolamon (A)
12050,96,94,190,276,238,514,82,88,170,47,47,94,405,373,778,239,241,480,74,77,151,39,52,91,352,370,722,8,14,22,0,13,13,58,26,84,60,110,170,0,0,0,126,163,289,8,27,35,9,10,19,9,5,14,21,70,91,0,0,0,47,112,159,0,4,4,7,29,36,0,0,0,7,33,40,431,275,706,1464,1420,2884,Cooma-Monaro (A)
12150,38,48,86,92,97,189,75,77,152,6,0,6,173,174,347,93,120,213,6,7,13,5,18,23,104,145,249,0,8,8,3,6,9,14,12,26,13,24,37,0,0,0,30,50,80,3,8,11,0,0,0,0,3,3,6,9,15,0,0,0,9,20,29,0,3,3,8,3,11,0,0,0,8,6,14,196,177,373,558,620,1178,Coonamble (A)
12200,76,80,156,187,203,390,84,91,175,8,3,11,279,297,576,157,150,307,84,60,144,3,10,13,244,220,464,8,12,20,4,12,16,27,18,45,15,55,70,3,3,6,57,100,157,8,16,24,3,4,7,0,9,9,9,30,39,0,0,0,20,59,79,4,3,7,3,11,14,0,3,3,7,17,24,299,298,597,982,1071,2053,Cootamundra (A)
11250,139,158,297,628,556,1184,57,47,104,18,13,31,703,616,1319,545,515,1060,3,9,12,16,11,27,564,535,1099,25,31,56,26,49,75,83,87,170,106,148,254,3,3,6,243,318,561,9,39,48,3,30,33,11,17,28,38,87,125,0,0,0,61,173,234,10,14,24,20,47,67,0,3,3,30,64,94,899,931,1830,2639,2795,5434,Broken Hill (C)
11720,555,497,1052,1734,1607,3341,342,303,645,181,153,334,2257,2063,4320,1185,1309,2494,253,278,531,170,158,328,1608,1745,3353,68,98,166,40,60,100,311,167,478,191,277,468,11,4,15,621,606,1227,114,193,307,18,119,137,33,61,94,98,171,269,3,0,3,266,544,810,23,33,56,70,116,186,5,7,12,98,156,254,2194,1743,3937,7599,7354,14953,Cessnock (C)
11730,470,397,867,1554,1492,3046,282,230,512,156,147,303,1992,1869,3861,1283,1358,2641,249,275,524,148,117,265,1680,1750,3430,56,99,155,44,121,165,187,127,314,185,373,558,11,10,21,483,730,1213,69,131,200,38,110,148,28,43,71,83,213,296,0,0,0,218,497,715,31,20,51,66,116,182,0,3,3,97,139,236,1745,1565,3310,6685,6947,13632,Clarence Valley (A)
11750,46,47,93,163,127,290,61,71,132,3,3,6,227,201,428,123,116,239,0,3,3,3,4,7,126,123,249,0,4,4,0,5,5,36,14,50,22,39,61,4,0,4,62,62,124,0,15,15,0,3,3,3,4,7,16,17,33,0,0,0,19,39,58,0,0,0,3,10,13,0,0,0,3,10,13,237,209,446,720,691,1411,Cobar (A)
11800,625,621,1246,1854,1820,3674,587,492,1079,406,383,789,2847,2695,5542,1555,1517,3072,423,428,851,460,491,951,2438,2436,4874,137,168,305,95,189,284,337,220,557,330,656,986,14,11,25,913,1244,2157,253,449,702,112,218,330,44,72,116,189,352,541,3,5,8,601,1096,1697,37,73,110,90,205,295,0,6,6,127,284,411,2196,2291,4487,9747,10667,20414,Coffs Harbour (C)
11860,19,21,40,55,71,126,11,17,28,4,3,7,70,91,161,55,55,110,5,3,8,4,4,8,64,62,126,0,7,7,0,0,0,9,5,14,7,10,17,0,0,0,16,22,38,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,10,10,0,0,0,3,3,6,0,0,0,3,3,6,42,26,68,214,235,449,Conargo (A)
12300,97,118,215,308,279,587,103,125,228,23,17,40,434,421,855,290,299,589,50,50,100,15,18,33,355,367,722,13,15,28,4,11,15,42,24,66,30,81,111,3,4,7,92,135,227,13,31,44,4,16,20,3,10,13,10,36,46,0,0,0,30,93,123,8,5,13,11,19,30,0,3,3,19,27,46,337,336,673,1364,1497,2861,Corowa Shire (A)
12350,107,131,238,367,314,681,134,148,282,14,14,28,515,476,991,343,331,674,68,63,131,17,21,38,428,415,843,19,33,52,3,23,26,63,35,98,43,115,158,4,4,8,132,210,342,12,22,34,4,6,10,4,3,7,21,40,61,0,0,0,41,71,112,5,0,5,7,32,39,0,0,0,12,32,44,560,504,1064,1795,1839,3634,Cowra (A)
12500,66,55,121,222,231,453,23,32,55,7,8,15,252,271,523,207,216,423,15,14,29,9,14,23,231,244,475,10,12,22,5,16,21,31,29,60,25,83,108,0,0,0,71,140,211,13,11,24,3,9,12,3,5,8,16,27,43,0,0,0,35,52,87,0,4,4,9,9,18,0,0,0,9,13,22,294,297,591,958,1072,2030,Deniliquin (A)
12600,422,380,802,994,971,1965,546,536,1082,213,229,442,1753,1736,3489,819,759,1578,429,410,839,159,206,365,1407,1375,2782,73,96,169,34,72,106,224,145,369,187,332,519,7,5,12,525,650,1175,49,181,230,23,91,114,23,58,81,132,215,347,0,5,5,227,550,777,21,21,42,38,102,140,6,4,10,65,127,192,1315,1289,2604,5714,6107,11821,Dubbo (C)
12700,75,86,161,286,282,568,41,37,78,17,19,36,344,338,682,233,240,473,31,39,70,20,15,35,284,294,578,23,12,35,3,13,16,53,15,68,22,33,55,0,0,0,101,73,174,29,56,85,7,13,20,6,6,12,12,38,50,3,0,3,57,113,170,0,6,6,11,19,30,0,0,0,11,25,36,261,260,521,1133,1189,2322,Dungog (A)
12750,284,259,543,900,862,1762,244,231,475,137,118,255,1281,1211,2492,749,768,1517,217,220,437,110,112,222,1076,1100,2176,30,36,66,19,38,57,129,92,221,146,259,405,5,8,13,329,433,762,46,48,94,20,58,78,8,20,28,52,167,219,0,5,5,126,298,424,14,24,38,45,115,160,7,0,7,66,139,205,1348,1304,2652,4510,4744,9254,Eurobodalla (A)
18550,1675,1604,3279,4853,4623,9476,1134,1114,2248,520,499,1019,6507,6236,12743,3788,3628,7416,937,999,1936,437,456,893,5162,5083,10245,224,284,508,82,275,357,685,413,1098,482,886,1368,20,24,44,1493,1882,3375,622,870,1492,202,449,651,126,192,318,320,751,1071,6,15,21,1276,2277,3553,55,100,155,190,417,607,7,12,19,252,529,781,4875,5242,10117,21240,22853,44093,Wyong (A)
10150,282,251,533,826,761,1587,322,306,628,122,105,227,1270,1172,2442,471,504,975,306,288,594,253,185,438,1030,977,2007,95,97,192,95,155,250,86,58,144,173,243,416,3,3,6,452,556,1008,787,829,1616,348,344,692,73,79,152,291,440,731,12,14,26,1511,1706,3217,130,125,255,96,172,268,3,8,11,229,305,534,1567,1489,3056,6341,6456,12797,Ashfield (A)
10200,496,478,974,1761,1611,3372,473,449,922,396,386,782,2630,2446,5076,1569,1520,3089,496,434,930,315,324,639,2380,2278,4658,379,301,680,259,319,578,208,108,316,366,444,810,31,19,50,1243,1191,2434,1154,1234,2388,606,449,1055,145,127,272,329,329,658,22,11,33,2256,2150,4406,379,297,676,239,336,575,19,25,44,637,658,1295,4868,3165,8033,14510,12366,26876,Auburn (C)
10250,352,324,676,927,841,1768,478,514,992,172,185,357,1577,1540,3117,785,770,1555,447,467,914,116,106,222,1348,1343,2691,32,42,74,36,85,121,128,80,208,172,312,484,9,7,16,377,526,903,131,210,341,98,129,227,17,39,56,121,257,378,0,3,3,367,638,1005,13,22,35,49,103,152,3,0,3,65,125,190,1111,1156,2267,5197,5652,10849,Ballina (A)
10300,28,25,53,71,57,128,27,24,51,0,6,6,98,87,185,62,45,107,14,10,24,0,3,3,76,58,134,5,0,5,0,3,3,8,4,12,0,15,15,0,0,0,13,22,35,7,4,11,0,3,3,0,0,0,0,10,10,0,0,0,7,17,24,0,6,6,0,8,8,0,0,0,0,14,14,138,105,243,360,328,688,Balranald (A)
10350,1684,1515,3199,4767,4388,9155,2013,1978,3991,1256,1197,2453,8036,7563,15599,3905,4008,7913,1798,1554,3352,865,855,1720,6568,6417,12985,583,525,1108,287,572,859,831,325,1156,625,914,1539,45,27,72,2371,2363,4734,2075,2569,4644,434,544,978,268,303,571,513,650,1163,33,41,74,3323,4107,7430,218,293,511,296,531,827,15,19,34,529,843,1372,7644,7206,14850,30155,30014,60169,Bankstown (C)
11300,236,196,432,556,528,1084,334,283,617,90,93,183,980,904,1884,446,557,1003,314,278,592,160,242,402,920,1077,1997,120,98,218,86,130,216,80,42,122,125,132,257,0,7,7,411,409,820,845,979,1824,388,342,730,78,73,151,171,255,426,12,18,30,1494,1667,3161,153,113,266,85,151,236,4,6,10,242,270,512,1210,1078,2288,5493,5601,11094,Burwood (A)
11350,276,273,549,900,786,1686,123,115,238,210,258,468,1233,1159,2392,630,565,1195,236,210,446,116,165,281,982,940,1922,44,30,74,38,106,144,80,38,118,123,261,384,0,0,0,285,435,720,97,129,226,118,175,293,9,17,26,114,261,375,3,0,3,341,582,923,24,37,61,58,135,193,0,5,5,82,177,259,1124,1023,2147,4323,4589,8912,Byron (A)
11400,149,152,301,412,405,817,137,141,278,60,62,122,609,608,1217,320,298,618,89,99,188,84,90,174,493,487,980,9,14,23,4,14,18,72,45,117,38,79,117,0,4,4,123,156,279,24,50,74,3,20,23,0,12,12,30,68,98,0,0,0,57,150,207,3,3,6,14,23,37,0,0,0,17,26,43,280,316,596,1728,1895,3623,Cabonne (A)
11450,745,680,1425,2011,1962,3973,604,600,1204,387,397,784,3002,2959,5961,1285,1412,2697,605,585,1190,335,325,660,2225,2322,4547,123,102,225,13,57,70,356,124,480,187,253,440,8,11,19,687,547,1234,354,502,856,59,130,189,57,113,170,208,349,557,3,10,13,681,1104,1785,26,43,69,64,179,243,3,4,7,93,226,319,1472,1397,2869,8905,9235,18140,Camden (A)
11500,1418,1281,2699,4804,4632,9436,1008,962,1970,649,588,1237,6461,6182,12643,3654,3732,7386,1330,1311,2641,485,475,960,5469,5518,10987,404,413,817,188,394,582,778,425,1203,576,810,1386,34,25,59,1980,2067,4047,1133,1475,2608,275,457,732,198,230,428,417,642,1059,13,19,32,2036,2823,4859,114,136,250,213,430,643,11,11,22,338,577,915,5353,5592,10945,23055,24040,47095,Campbelltown (C)
11520,658,580,1238,1353,1321,2674,826,844,1670,288,277,565,2467,2442,4909,758,670,1428,802,854,1656,386,424,810,1946,1948,3894,123,123,246,94,161,255,190,93,283,234,367,601,7,7,14,648,751,1399,1222,1312,2534,357,349,706,142,162,304,574,692,1266,12,13,25,2307,2528,4835,65,119,184,132,285,417,0,4,4,197,408,605,2818,2618,5436,11041,11275,22316,Canada Bay (A)
11550,1090,979,2069,3389,3084,6473,1365,1237,2602,592,570,1162,5346,4891,10237,2468,2440,4908,1316,1237,2553,484,439,923,4268,4116,8384,478,380,858,403,517,920,414,211,625,505,707,1212,46,33,79,1846,1848,3694,1631,1772,3403,829,544,1373,154,190,344,598,610,1208,42,35,77,3254,3151,6405,378,332,710,346,500,846,21,17,38,745,849,1594,6332,5872,12204,22881,21706,44587,Canterbury (C)
11600,26,25,51,86,91,177,35,35,70,4,3,7,125,129,254,64,66,130,16,4,20,5,4,9,85,74,159,0,4,4,0,0,0,5,6,11,10,15,25,0,0,0,15,25,40,4,13,17,0,0,0,3,0,3,4,10,14,0,0,0,11,23,34,0,0,0,0,4,4,0,0,0,0,4,4,66,64,130,328,344,672,Carrathool (A)
11700,14,13,27,73,104,177,3,6,9,3,3,6,79,113,192,62,50,112,0,3,3,0,3,3,62,56,118,0,0,0,0,0,0,3,3,6,6,8,14,0,0,0,9,11,20,0,3,3,3,3,6,0,0,0,3,8,11,0,3,3,6,17,23,3,0,3,0,3,3,0,3,3,3,6,9,127,58,185,300,274,574,Central Darling (A)
12850,1361,1306,2667,5467,4941,10408,1681,1778,3459,440,468,908,7588,7187,14775,5530,5189,10719,1430,1502,2932,420,426,846,7380,7117,14497,800,720,1520,351,743,1094,755,338,1093,653,964,1617,61,43,104,2620,2808,5428,2353,2804,5157,375,462,837,251,305,556,340,507,847,32,42,74,3351,4120,7471,341,503,844,287,605,892,26,36,62,654,1144,1798,7128,7043,14171,30082,30725,60807,Fairfield (C)
12900,95,92,187,269,244,513,131,111,242,8,4,12,408,359,767,175,167,342,195,163,358,5,6,11,375,336,711,7,14,21,9,14,23,40,19,59,36,74,110,0,5,5,92,126,218,14,26,40,3,4,7,4,8,12,9,45,54,0,0,0,30,83,113,0,3,3,8,20,28,0,0,0,8,23,31,291,309,600,1299,1328,2627,Forbes (A)
12950,50,31,81,102,104,206,70,86,156,0,3,3,172,193,365,126,135,261,6,5,11,7,6,13,139,146,285,0,4,4,6,5,11,11,14,25,15,46,61,0,0,0,32,69,101,5,22,27,0,6,6,4,7,11,8,17,25,0,0,0,17,52,69,4,3,7,4,6,10,0,0,0,8,9,17,163,176,339,581,676,1257,Gilgandra (A)
13010,78,65,143,244,248,492,82,88,170,3,3,6,329,339,668,249,246,495,9,8,17,10,7,17,268,261,529,15,23,38,12,31,43,37,20,57,50,111,161,0,0,0,114,185,299,9,18,27,7,15,22,5,4,9,16,37,53,0,0,0,37,74,111,3,0,3,8,21,29,3,0,3,14,21,35,404,282,686,1244,1227,2471,Glen Innes Severn (A)
13050,42,37,79,145,158,303,20,20,40,10,3,13,175,181,356,136,116,252,14,12,26,5,10,15,155,138,293,3,7,10,3,6,9,19,4,23,12,17,29,0,4,4,37,38,75,0,11,11,6,7,13,0,0,0,10,22,32,0,0,0,16,40,56,0,0,0,3,15,18,0,0,0,3,15,18,142,124,266,570,573,1143,Gloucester (A)
13100,1692,1565,3257,4829,4605,9434,874,886,1760,824,784,1608,6527,6275,12802,3900,3933,7833,814,689,1503,858,922,1780,5572,5544,11116,243,251,494,111,245,356,811,394,1205,556,908,1464,13,25,38,1734,1823,3557,964,1419,2383,321,584,905,212,234,446,579,1116,1695,8,15,23,2084,3368,5452,97,121,218,242,553,795,8,7,15,347,681,1028,5415,5727,11142,23371,24983,48354,Gosford (C)
13310,296,217,513,856,783,1639,264,229,493,40,27,67,1160,1039,2199,608,614,1222,273,231,504,38,31,69,919,876,1795,41,59,100,35,45,80,147,106,253,112,229,341,5,7,12,340,446,786,54,92,146,39,46,85,14,26,40,72,166,238,0,0,0,179,330,509,23,20,43,49,59,108,0,0,0,72,79,151,1385,866,2251,4351,3853,8204,Goulburn Mulwaree (A)
13320,282,254,536,989,889,1878,153,162,315,58,45,103,1200,1096,2296,821,868,1689,63,68,131,50,47,97,934,983,1917,39,39,78,29,73,102,93,60,153,97,204,301,5,10,15,263,386,649,33,57,90,21,48,69,12,22,34,49,117,166,0,0,0,115,244,359,4,12,16,26,64,90,3,0,3,33,76,109,1324,1369,2693,4151,4408,8559,Great Lakes (A)
13340,100,92,192,309,303,612,75,64,139,97,73,170,481,440,921,260,244,504,49,56,105,85,107,192,394,407,801,15,12,27,0,9,9,43,30,73,52,83,135,0,0,0,110,134,244,15,50,65,3,21,24,0,9,9,25,41,66,0,3,3,43,124,167,5,4,9,5,29,34,5,0,5,15,33,48,323,307,630,1466,1537,3003,Greater Hume Shire (A)
13380,449,389,838,1408,1396,2804,275,239,514,177,158,335,1860,1793,3653,1279,1202,2481,220,231,451,156,175,331,1655,1608,3263,67,79,146,47,117,164,165,118,283,158,298,456,6,4,10,443,616,1059,58,110,168,33,86,119,12,31,43,67,190,257,0,3,3,170,420,590,19,35,54,43,100,143,5,0,5,67,135,202,1566,1618,3184,6210,6579,12789,Greater Taree (C)
