lga_code16,p_m3_trn_and_2_oth_ms_15_24,p_m3_trn_and_2_oth_ms_25_34,p_m3_trn_and_2_oth_ms_35_44,p_m3_trn_and_2_oth_ms_45_54,p_m3_trn_and_2_oth_ms_55_64,p_m3_trn_and_2_oth_ms_65_74,p_m3_trn_and_2_oth_ms_75ov,p_m3_trn_and_2_oth_ms_tot,p_m3_bus2othms_ex_tn_15_24,p_m3_bus2othms_ex_tn_25_34,p_m3_bus2othms_ex_tn_35_44,p_m3_bus2othms_ex_tn_45_54,p_m3_bus2othms_ex_tn_55_64,p_m3_bus2othms_ex_tn_65_74,p_m3_bus2othms_ex_tn_75ov,p_m3_bus2othms_ex_tn_tot,p_m3_other_m3_15_24,p_m3_other_m3_25_34,p_m3_other_m3_35_44,p_m3_other_m3_45_54,p_m3_other_m3_55_64,p_m3_other_m3_65_74,p_m3_other_m3_75ov,p_m3_other_m3_tot,p_m3_tot_m3_15_24,p_m3_tot_m3_25_34,p_m3_tot_m3_35_44,p_m3_tot_m3_45_54,p_m3_tot_m3_55_64,p_m3_tot_m3_65_74,p_m3_tot_m3_75ov,p_m3_tot_m3_tot,p_wkd_at_home_15_24,p_wkd_at_home_25_34,p_wkd_at_home_35_44,p_wkd_at_home_45_54,p_wkd_at_home_55_64,p_wkd_at_home_65_74,p_wkd_at_home_75ov,p_wkd_at_home_tot,p_did_not_go_to_work_15_24,p_did_not_go_to_work_25_34,p_did_not_go_to_work_35_44,p_did_not_go_to_work_45_54,p_did_not_go_to_work_55_64,p_did_not_go_to_work_65_74,p_did_not_go_to_work_75ov,p_did_not_go_to_work_tot,p_mt_ns_15_24,p_mt_ns_25_34,p_mt_ns_35_44,p_mt_ns_45_54,p_mt_ns_55_64,p_mt_ns_65_74,p_mt_ns_75ov,p_mt_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75ov,p_tot_tot,lga_name16
48750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,22,54,64,47,17,220,44,28,32,36,49,22,5,207,7,0,3,0,3,0,0,14,190,174,229,315,350,134,33,1409,Yankalilla (DC)
48830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,24,49,89,127,145,81,21,541,53,83,58,94,121,40,8,461,3,3,4,10,7,7,13,49,375,532,624,876,927,299,80,3714,Yorke Peninsula (DC)
49399,0,3,6,3,0,0,0,7,0,4,5,5,0,0,0,17,0,4,6,3,0,0,0,23,0,16,14,13,0,0,0,43,11,19,40,46,51,16,3,190,79,254,238,261,153,24,3,1019,15,12,10,12,8,0,4,67,479,1463,1389,1488,863,126,21,5831,Unincorporated SA
50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,11,65,129,168,192,161,45,771,269,241,247,304,350,119,11,1546,19,22,25,46,37,10,9,171,2132,2387,2842,3541,2964,811,129,14818,Albany (C)
50210,16,3,0,8,0,0,0,30,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,17,3,4,6,0,0,0,34,24,175,255,246,215,101,25,1034,550,414,288,255,291,99,9,1911,34,27,28,29,24,10,5,160,3452,3935,3566,3351,2573,654,78,17605,Armadale (C)
50250,0,6,4,7,0,0,0,22,7,16,19,13,5,0,0,65,0,10,4,3,0,0,0,16,13,31,27,28,10,0,0,100,6,29,34,23,9,7,0,112,156,1237,1190,1156,539,48,0,4340,49,186,197,151,102,9,0,698,1139,6915,6396,5779,2951,265,9,23446,Ashburton (S)
50280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,74,144,139,148,96,27,647,142,128,130,117,159,43,6,724,16,9,16,14,7,8,3,77,684,1078,1328,1265,1110,313,69,5849,Augusta-Margaret River (S)
50350,3,8,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,3,0,0,0,15,5,25,63,71,45,31,4,247,62,80,78,76,78,20,0,384,0,13,15,13,9,5,0,62,710,1317,1292,1400,977,228,24,5942,Bassendean (T)
51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,32,32,8,4,106,3,14,4,6,12,0,0,43,0,0,0,0,0,3,0,3,23,63,76,97,74,24,3,357,Broomehill-Tambellup (S)
51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,16,11,19,14,10,9,68,0,3,4,14,6,0,0,27,0,0,0,0,3,0,0,10,36,76,65,85,88,36,14,409,Bruce Rock (S)
51190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,7,0,3,0,0,0,6,9,65,77,104,76,38,9,382,454,447,417,418,412,113,10,2270,42,33,43,42,28,21,3,219,3463,4300,4609,5178,3724,763,62,22094,Bunbury (C)
51260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,3,0,0,0,3,0,0,8,12,116,260,272,212,112,27,1006,310,250,305,255,252,108,18,1494,30,24,29,29,24,16,12,158,1862,2296,3159,3243,2331,647,95,13639,Busselton (C)
51680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,38,55,46,40,12,212,33,25,24,31,32,15,0,163,4,0,4,3,3,0,0,25,157,204,286,328,245,116,24,1361,Chittering (S)
52800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,6,6,9,19,14,11,0,67,11,49,28,41,51,8,0,198,15,12,12,19,11,3,0,75,310,649,512,520,477,119,13,2592,Derby-West Kimberley (S)
51750,13,8,5,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,3,3,0,0,32,13,18,49,92,64,66,23,326,215,156,92,75,97,42,7,683,11,11,4,8,6,3,3,54,1398,1498,1184,1229,964,337,59,6685,Claremont (T)
51820,35,19,18,18,8,0,0,93,7,3,0,0,0,0,0,14,4,0,3,0,4,0,0,9,44,26,18,20,9,0,0,114,38,269,463,399,276,122,19,1579,803,712,578,513,442,127,17,3197,88,90,76,86,45,23,10,410,6370,10147,9636,8873,5388,1135,128,41679,Cockburn (C)
51890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,10,28,18,9,4,82,86,134,159,166,134,22,0,707,14,12,9,14,8,7,0,70,515,904,1052,1126,758,127,14,4493,Collie (S)
52870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,53,72,54,17,239,39,23,29,37,64,20,5,216,3,0,0,7,8,4,0,20,177,215,289,352,410,172,27,1640,Donnybrook-Balingup (S)
