lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name_2016
29799,49,0,3000,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Vic.)
30250,28,0,260,100,678,1.4,992,4.2,Aurukun (S)
30300,40,1161,662,150,1485,0.8,1230,2.5,Balonne (S)
30370,37,1517,714,190,1895,0.8,1575,2.6,Banana (S)
30410,42,1040,684,100,1514,0.8,1149,2.3,Barcaldine (R)
30450,46,338,774,82,1687,0.7,1187,1.9,Barcoo (S)
30760,47,850,548,120,1266,0.7,978,2.3,Blackall-Tambo (R)
34710,40,1300,726,180,1609,0.8,1276,2.3,Longreach (R)
34770,37,1950,698,277,1774,0.8,1456,2.5,Mackay (R)
34800,39,669,834,68,1537,0.8,1135,2.4,McKinlay (S)
34830,27,0,365,122,1015,1.0,962,3.3,Mapoon (S)
34860,36,1400,741,200,1688,0.8,1369,2.5,Maranoa (R)
34880,43,1517,541,220,1274,0.9,1045,2.5,Mareeba (S)
35010,38,1781,652,340,1638,0.8,1413,2.7,Moreton Bay (R)
35250,27,0,352,120,762,1.3,979,3.7,Mornington (S)
35300,31,1885,997,260,2382,0.9,2132,2.6,Mount Isa (C)
35600,39,997,672,158,1490,0.8,1115,2.4,Murweh (S)
35670,25,0,280,120,776,1.2,826,3.7,Napranum (S)
35740,48,1733,595,380,1403,0.8,1184,2.4,Noosa (S)
35760,46,1083,501,157,1159,0.8,917,2.3,North Burnett (R)
35780,22,0,468,120,1064,1.3,1158,3.8,Northern Peninsula Area (R)
35790,24,0,303,120,927,1.5,1119,4.3,Palm Island (S)
35800,46,498,529,100,1235,0.8,874,2.2,Paroo (S)
36070,31,867,337,90,747,1.1,771,3.1,Pormpuraaw (S)
36150,41,723,692,120,1449,0.7,1065,2.3,Quilpie (S)
36250,41,1950,686,386,1815,0.8,1521,2.6,Redland (C)
36300,35,710,655,80,1402,0.8,1183,2.3,Richmond (S)
36370,36,1517,626,270,1539,0.8,1255,2.5,Rockhampton (R)
36510,44,1670,569,290,1417,0.8,1222,2.6,Scenic Rim (R)
36580,43,1500,512,275,1256,0.8,1089,2.6,Somerset (R)
36630,45,1159,478,220,1143,0.8,925,2.4,South Burnett (R)
36660,45,1300,506,230,1207,0.8,973,2.4,Southern Downs (R)
36720,43,1800,615,370,1491,0.8,1275,2.5,Sunshine Coast (R)
36820,47,1352,517,240,1218,0.8,977,2.4,Tablelands (R)
36910,38,1517,642,280,1547,0.8,1269,2.5,Toowoomba (R)
36950,28,1705,740,151,1919,1.2,1837,3.2,Torres (S)
36960,24,0,373,115,856,1.1,929,3.8,Torres Strait Island (R)
37010,34,1733,703,300,1705,0.8,1424,2.6,Townsville (C)
40070,30,1733,553,375,2026,0.9,1266,1.9,Adelaide (C)
40120,44,1733,741,302,2026,0.8,1701,2.7,Adelaide Hills (DC)
40220,51,1343,522,250,1226,0.7,992,2.3,Alexandrina (DC)
30900,34,867,753,85,1553,0.8,1271,2.3,Boulia (S)
31000,35,2000,770,390,2091,0.8,1746,2.6,Brisbane (C)
31750,40,715,883,88,1430,0.8,1359,2.1,Bulloo (S)
31820,45,1322,490,260,1185,0.8,973,2.4,Bundaberg (R)
31900,44,1300,617,210,1489,0.8,1177,2.4,Burdekin (S)
31950,38,0,742,135,1458,1.1,1047,2.3,Burke (S)
32080,37,1665,693,300,1605,0.8,1336,2.5,Cairns (R)
32250,38,999,677,150,1544,1.0,1347,2.6,Carpentaria (S)
32260,44,1300,567,230,1305,0.8,1068,2.4,Cassowary Coast (R)
32270,33,1842,843,180,2106,0.8,1823,2.7,Central Highlands (R) (Qld)
32310,40,1300,522,200,1323,0.8,1047,2.4,Charters Towers (R)
32330,21,0,315,100,766,1.2,775,3.9,Cherbourg (S)
32450,34,1510,1022,150,2140,0.8,1646,2.5,Cloncurry (S)
32500,41,1255,579,163,1341,1.0,1038,2.3,Cook (S)
32600,40,0,579,133,1274,0.9,1100,2.4,Croydon (S)
37300,31,2200,1320,450,2777,1.0,2484,2.9,Weipa (T)
37310,37,1400,621,200,1467,0.8,1209,2.5,Western Downs (R)
37340,38,1733,685,270,1481,0.8,1228,2.4,Whitsunday (R)
32750,30,1500,754,133,2041,0.8,1767,2.5,Diamantina (S)
41140,47,1300,605,210,1395,0.7,1129,2.3,Clare and Gilbert Valleys (DC)
32770,21,0,298,120,745,1.7,1082,4.5,Doomadgee (S)
32810,43,1560,676,280,1460,0.9,1169,2.3,Douglas (S)
33100,45,664,521,95,1192,0.9,865,2.2,Etheridge (S)
33200,44,780,600,120,1331,0.7,1109,2.3,Flinders (S) (Qld)
33220,48,1300,468,265,1090,0.8,906,2.3,Fraser Coast (R)
33360,35,1950,678,250,1918,0.8,1586,2.6,Gladstone (R)
33430,38,1950,666,390,1657,0.8,1404,2.6,Gold Coast (C)
33610,40,1300,653,200,1461,0.8,1212,2.4,Goondiwindi (R)
33620,46,1300,479,250,1132,0.8,939,2.4,Gympie (R)
33800,50,1300,538,180,1349,0.8,1041,2.3,Hinchinbrook (S)
33830,26,1215,321,110,759,1.1,777,3.4,Hope Vale (S)
33960,32,1600,667,310,1581,0.8,1410,2.8,Ipswich (C)
33980,32,1521,1030,90,2365,0.8,2138,2.7,Isaac (R)
34420,29,0,342,65,841,1.2,944,3.4,Kowanyama (S)
34530,42,1875,618,300,1597,0.8,1300,2.5,Livingstone (S)
34570,26,0,332,109,810,1.3,900,3.7,Lockhart River (S)
34580,39,1517,535,280,1376,0.8,1198,2.7,Lockyer Valley (R)
34590,34,1733,635,335,1546,0.8,1416,2.9,Logan (C)
37400,46,1000,655,100,1413,0.8,1067,2.1,Winton (S)
37550,23,0,319,120,716,1.2,740,3.5,Woorabinda (S)
40250,28,0,283,75,734,1.3,1150,3.8,Anangu Pitjantjatjara (AC)
40310,44,1473,646,250,1596,0.8,1272,2.5,Barossa (DC)
37570,30,0,294,100,682,1.1,811,3.3,Wujal Wujal (S)
37600,23,0,288,130,869,1.6,1129,4.8,Yarrabah (S)
39499,45,0,407,0,0,0.0,0,0.0,No usual address (Qld)
39799,56,0,606,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Qld)
40430,55,875,487,175,1166,0.7,839,2.1,Barunga West (DC)
40520,45,1083,533,180,1252,0.8,976,2.3,Berri and Barmera (DC)
40700,44,2000,807,320,2320,0.8,1716,2.5,Burnside (C)
40910,41,1690,588,300,1607,0.8,1249,2.5,Campbelltown (C) (SA)
41010,39,1300,696,186,1503,0.8,1254,2.4,Ceduna (DC)
41060,41,1700,614,288,1607,0.8,1231,2.4,Charles Sturt (C)
41190,44,867,630,150,1384,0.7,1091,2.3,Cleve (DC)
41330,46,556,497,150,1329,0.8,844,2.0,Coober Pedy (DC)
41560,50,1161,477,230,1128,0.7,878,2.2,Copper Coast (DC)
41750,46,800,529,97,1189,0.7,924,2.2,Elliston (DC)
41830,50,900,549,154,1283,0.7,951,2.1,Flinders Ranges (DC)
41960,49,1200,536,189,1283,0.7,1041,2.3,Franklin Harbour (DC)
42030,41,1400,576,260,1422,0.8,1112,2.4,Gawler (T)
42110,48,867,481,150,1184,0.7,891,2.3,Goyder (DC)
42250,44,1300,665,160,1658,0.8,1383,2.6,Grant (DC)
42600,46,1772,748,300,1973,0.8,1358,2.2,Holdfast Bay (C)
42750,49,1083,553,170,1213,0.7,947,2.2,Kangaroo Island (DC)
43080,48,650,461,100,1181,0.8,871,2.3,Karoonda East Murray (DC)
43220,40,823,684,85,1453,0.7,1233,2.5,Kimba (DC)
43360,50,1058,575,163,1232,0.7,978,2.2,Kingston (DC) (SA)
43650,39,1452,669,250,1715,0.8,1471,2.8,Light (RegC)
43710,43,1342,672,180,1490,0.8,1276,2.5,Lower Eyre Peninsula (DC)
43790,46,1040,552,175,1286,0.8,1005,2.3,Loxton Waikerie (DC)
43920,42,1430,606,230,1498,0.8,1332,2.7,Mallala (DC)
44000,35,0,1375,0,3374,1.5,3374,3.7,Maralinga Tjarutja (AC)
44060,39,1625,628,300,1625,0.8,1263,2.4,Marion (C)
44210,51,1000,473,175,1096,0.7,839,2.2,Mid Murray (DC)
44340,42,1842,715,300,2071,0.8,1604,2.6,Mitcham (C)
44550,39,1616,677,310,1729,0.8,1435,2.6,Mount Barker (DC)
44620,40,1172,589,190,1388,0.8,1052,2.3,Mount Gambier (C)
44830,53,890,497,150,1217,0.7,940,2.2,Mount Remarkable (DC)
45040,41,1183,526,220,1215,0.8,973,2.4,Murray Bridge (RC)
45090,41,1083,655,180,1424,0.8,1203,2.4,Naracoorte and Lucindale (DC)
45120,48,867,540,151,1304,0.7,1049,2.3,Northern Areas (DC)
45290,40,1800,681,300,1920,0.8,1307,2.2,Norwood Payneham St Peters (C)
45340,40,1447,593,290,1448,0.8,1194,2.5,Onkaparinga (C)
45400,52,820,513,107,1326,0.7,1003,2.2,Orroroo/Carrieton (DC)
45540,54,563,426,140,890,0.7,700,2.0,Peterborough (DC)
45680,32,1300,498,245,1212,0.8,1015,2.6,Playford (C)
45890,37,1560,551,268,1428,0.8,1141,2.4,Port Adelaide Enfield (C)
46090,39,1213,604,180,1370,0.8,1103,2.3,Port Augusta (C)
46300,40,1300,603,220,1398,0.8,1081,2.3,Port Lincoln (C)
46450,44,1001,481,170,1229,0.7,901,2.3,Port Pirie City and Dists (M)
46510,37,1863,757,295,2099,0.9,1576,2.5,Prospect (C)
46670,44,1083,550,175,1256,0.8,1016,2.3,Renmark Paringa (DC)
46860,50,1235,634,200,1406,0.6,1055,2.1,Robe (DC)
46970,30,2000,1547,198,2760,0.8,2477,2.7,Roxby Downs (M)
47140,35,1357,530,275,1320,0.8,1141,2.6,Salisbury (C)
47290,46,650,604,120,1430,0.7,1155,2.3,Southern Mallee (DC)
47490,45,1083,594,163,1370,0.8,1069,2.3,Streaky Bay (DC)
47630,42,975,652,150,1409,0.7,1165,2.4,Tatiara (DC)
47700,41,1517,655,300,1676,0.8,1383,2.5,Tea Tree Gully (C)
47800,46,867,499,125,1164,0.7,929,2.3,The Coorong (DC)
47910,50,1170,570,170,1296,0.7,966,2.2,Tumby Bay (DC)
47980,41,2000,791,315,2289,0.9,1636,2.4,Unley (C)
48050,58,1300,481,255,1065,0.7,835,2.1,Victor Harbor (C)
48130,44,917,549,180,1289,0.8,1045,2.4,Wakefield (DC)
51960,33,1083,757,200,2094,0.8,1805,2.5,Coolgardie (S)
52030,52,1400,549,175,1239,0.7,957,2.0,Coorow (S)
48260,44,2000,796,330,2326,0.8,1703,2.3,Walkerville (M)
48340,46,953,547,150,1326,0.7,1023,2.3,Wattle Range (DC)
48410,38,1700,614,280,1612,0.9,1221,2.3,West Torrens (C)
48540,40,1235,497,177,1388,0.7,988,2.3,Whyalla (C)
48640,42,800,672,120,1492,0.7,1162,2.3,Wudinna (DC)
48750,54,1257,496,231,1189,0.7,923,2.2,Yankalilla (DC)
48830,55,1000,483,180,1124,0.7,847,2.1,Yorke Peninsula (DC)
49399,43,640,774,70,1280,0.8,959,2.1,Unincorporated SA
49499,40,0,370,0,0,0.0,0,0.0,No usual address (SA)
49799,45,0,1749,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (SA)
50080,43,1600,611,280,1508,0.8,1209,2.4,Albany (C)
50210,33,1950,698,325,1719,0.8,1497,2.7,Armadale (C)
50250,36,2000,2381,32,2889,0.9,2456,2.7,Ashburton (S)
50280,39,1733,671,300,1524,0.8,1285,2.5,Augusta-Margaret River (S)
50350,39,1922,731,345,1904,0.8,1508,2.4,Bassendean (T)
50420,37,2000,732,350,1874,0.8,1507,2.4,Bayswater (C)
50490,34,1950,722,350,1725,0.8,1431,2.4,Belmont (C)
50560,53,1170,532,150,1264,0.7,991,2.2,Beverley (S)
50630,39,1733,809,274,2097,0.8,1843,2.5,Boddington (S)
50770,49,1300,600,133,1363,0.7,1096,2.3,Boyup Brook (S)
50840,49,1517,518,240,1284,0.7,1024,2.3,Bridgetown-Greenbushes (S)
50910,48,1090,661,150,1468,0.7,1107,2.3,Brookton (S)
50980,33,2573,898,265,2076,1.0,1796,2.7,Broome (S)
51080,39,800,643,100,1404,0.8,1242,2.6,Broomehill-Tambellup (S)
51120,47,800,687,100,1583,0.7,1090,2.2,Bruce Rock (S)
51190,41,1600,632,295,1502,0.7,1197,2.3,Bunbury (C)
51260,42,1863,653,350,1581,0.7,1300,2.5,Busselton (C)
51310,40,2800,1034,450,3306,0.8,2449,2.7,Cambridge (T)
