lga_code_2006_,lga_name_2006_,irsad_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
33200,Flinders (S),924,247,4,37,QLD,82,6,52,863,1043,1791,0
33600,Goondiwindi (T),935,307,5,46,QLD,92,6,59,838,992,4713,0
33650,Hammond (IC),753,46,1,7,QLD,25,2,16,753,753,214,0
33700,Herberton (S),878,86,2,13,QLD,41,3,26,810,1010,5420,0
33750,Hervey Bay (C),933,291,5,44,QLD,90,6,57,819,1094,52221,0
33800,Hinchinbrook (S),910,172,3,26,QLD,65,5,42,831,990,11557,0
33830,Hope Vale (S),691,18,1,3,QLD,10,1,7,691,691,779,2
33840,Iama (IC),706,24,1,4,QLD,14,1,9,706,706,312,0
34740,Mabuiag (IC),766,51,1,8,QLD,27,2,18,766,766,248,0
34760,Mackay (C),992,523,8,79,QLD,138,9,88,849,1150,84890,1
34800,McKinlay (S),976,477,8,72,QLD,127,9,81,895,1088,896,0
36250,Redland (S),1028,577,9,87,QLD,153,10,97,847,1197,127628,0
36300,Richmond (S),947,368,6,56,QLD,113,8,72,920,1003,901,0
36350,Rockhampton (C),945,353,6,53,QLD,109,7,69,796,1125,58747,0
70700,Coomalie (CGC),920,220,4,33,NT ,27,8,78,897,951,1105,3
34970,Mer (IC),696,20,1,3,QLD,11,1,7,696,696,483,0
35000,Millmerran (S),907,162,3,25,QLD,61,4,39,805,980,3098,0
35050,Mirani (S),930,273,5,41,QLD,85,6,54,865,976,5408,0
34430,Kubin (IC),803,56,1,9,QLD,31,2,20,803,803,200,0
34450,Laidley (S),911,177,3,27,QLD,68,5,44,823,969,14480,0
34550,Livingstone (S),975,473,8,71,QLD,126,8,80,802,1103,28869,2
34570,Lockhart River (S),716,35,1,6,QLD,18,2,12,716,716,553,1
34600,Logan (C),962,430,7,65,QLD,123,8,78,749,1165,173264,0
34700,Longreach (S),980,491,8,74,QLD,132,9,84,940,1136,3522,0
56580,Nedlands (C),1167,658,10,99,WA ,140,10,98,1016,1236,20335,1
36100,Poruma (IC),767,53,1,8,QLD,29,2,19,767,767,167,0
54900,Lake Grace (S),984,500,8,75,WA ,103,8,73,946,1045,1456,0
33850,Ilfracombe (S),951,381,6,58,QLD,115,8,73,884,1090,267,0
33900,Inglewood (S),897,121,2,19,QLD,50,4,32,832,969,2534,0
33930,Injinoo (S),680,14,1,3,QLD,8,1,6,680,680,417,0
33960,Ipswich (C),954,401,7,61,QLD,118,8,75,750,1192,140183,1
34000,Isis (S),891,103,2,16,QLD,47,3,30,802,960,6297,0
34050,Isisford (S),925,251,4,38,QLD,83,6,53,862,1050,264,0
34100,Jericho (S),931,277,5,42,QLD,87,6,56,860,1026,920,0
34150,Johnstone (S),920,221,4,34,QLD,75,5,48,845,998,18253,4
34200,Jondaryan (S),980,489,8,74,QLD,131,9,83,822,1088,14095,3
34250,Kilcoy (S),904,147,3,23,QLD,59,4,38,872,936,3433,0
34300,Kilkivan (S),885,95,2,15,QLD,45,3,29,842,958,3452,0
34350,Kingaroy (S),947,362,6,55,QLD,111,8,71,817,1049,12221,0
34400,Kolan (S),853,69,2,11,QLD,36,3,23,772,905,4563,0
34420,Kowanyama (S),664,6,1,1,QLD,3,1,2,664,664,1020,0
36400,Roma (T),952,386,6,58,QLD,116,8,74,867,1016,6507,0
36450,Rosalie (S),947,363,6,55,QLD,112,8,71,789,1017,9034,0
52520,Dalwallinu (S),956,412,7,62,WA ,73,6,52,932,1022,1367,0
35300,Mount Isa (C),976,481,8,73,QLD,129,9,82,758,1133,19663,1
34830,Mapoon (S),770,54,1,9,QLD,30,2,19,770,770,239,3
34850,Mareeba (S),924,242,4,37,QLD,80,6,51,789,1045,18211,6
34900,Maroochy (S),1013,560,9,84,QLD,148,10,94,821,1161,142840,0
34950,Maryborough (C),903,140,3,21,QLD,56,4,36,783,1017,25703,2
35350,Mount Morgan (S),813,60,1,9,QLD,32,3,21,789,875,2984,0
35450,Mundubbera (S),894,109,2,17,QLD,49,4,32,846,949,2116,0
35500,Murgon (S),910,175,3,27,QLD,66,5,42,853,997,3456,0
35550,Murilla (S),920,219,4,33,QLD,74,5,47,855,1069,2687,0
35600,Murweh (S),932,288,5,44,QLD,88,6,56,813,1046,4580,0
35650,Nanango (S),872,79,2,12,QLD,39,3,25,826,1023,9014,0
35670,Napranum (S),666,7,1,2,QLD,4,1,3,666,666,840,1
35700,Nebo (S),991,521,8,78,QLD,137,9,87,948,1028,2523,15
36550,Sarina (S),941,332,5,50,QLD,101,7,64,844,1018,10720,0
57080,Perth (C),1105,637,10,96,WA ,135,10,95,846,1196,11573,1
35730,New Mapoon (S),766,52,1,8,QLD,28,2,18,766,766,344,0
35750,Noosa (S),1007,549,9,83,QLD,146,10,93,845,1190,45830,0
36470,Saibai (IC),707,25,1,4,QLD,15,1,10,707,707,337,0
36480,St Pauls (IC),849,67,2,11,QLD,35,3,23,849,849,240,0
35770,Palm Island (S),652,4,1,1,QLD,2,1,2,652,652,1982,0
35800,Paroo (S),893,108,2,17,QLD,48,4,31,826,1072,1927,0
35850,Peak Downs (S),1023,570,9,86,QLD,150,10,95,964,1062,3188,0
35900,Perry (S),902,133,2,20,QLD,53,4,34,871,923,428,0
35950,Pine Rivers (S),1048,602,10,91,QLD,155,10,99,837,1192,141140,0
36050,Pittsworth (S),942,335,6,51,QLD,102,7,65,913,1008,4785,0
36070,Pormpuraaw (S),733,44,1,7,QLD,23,2,15,733,733,600,0
36900,Toowoomba (C),973,469,8,71,QLD,125,8,80,785,1171,90200,0
36950,Torres (S),900,125,2,19,QLD,52,4,33,788,979,3233,0
37000,Townsville (C),1004,546,9,82,QLD,145,10,92,737,1209,95463,3
37090,Ugar (IC),751,45,1,7,QLD,24,2,16,751,751,76,0
37110,Umagico (S),673,10,1,2,QLD,5,1,4,673,673,229,0
37120,Waggamba (S),988,510,8,77,QLD,134,9,85,794,1095,2872,0
37150,Wambo (S),937,318,5,48,QLD,97,7,62,832,1008,5227,0
54340,Katanning (S),910,174,3,27,WA ,20,2,14,851,1030,4210,0
54410,Kellerberrin (S),889,101,2,16,WA ,9,1,7,831,1001,1181,0
54480,Kent (S),984,501,8,76,WA ,104,8,73,961,1009,575,0
54550,Kojonup (S),953,391,6,59,WA ,65,5,46,887,1018,2150,0
37170,Warraber (IC),716,36,1,6,QLD,19,2,13,716,716,246,0
37200,Warroo (S),958,418,7,63,QLD,121,8,77,857,1051,1038,0
37260,Warwick (S),917,205,4,31,QLD,72,5,46,818,1005,21536,0
37300,Weipa (T),1053,604,10,91,QLD,156,10,99,1005,1072,2831,0
37330,Whitsunday (S),996,531,8,80,QLD,141,9,90,881,1093,16957,3
40070,Adelaide (C),1083,625,10,94,SA ,68,10,96,976,1180,16660,4
40120,Adelaide Hills (DC),1064,612,10,92,SA ,64,10,91,921,1166,37858,0
40220,Alexandrina (DC),946,357,6,54,SA ,45,7,64,847,1052,20713,2
40250,Anangu Pitjantjatjara (AC),713,30,1,5,SA ,1,1,2,596,857,2232,4
40310,Barossa (DC),973,468,8,71,SA ,54,8,77,846,1053,20548,0
56510,Narrogin (S),1013,559,9,84,WA ,118,9,83,1012,1015,832,0
37570,Wujal Wujal (S),689,17,1,3,QLD,9,1,6,689,689,325,0
37600,Yarrabah (S),650,3,1,1,QLD,1,1,1,650,650,2372,0
51960,Coolgardie (S),946,358,6,54,WA ,57,4,40,772,1006,3800,4
37400,Winton (S),924,239,4,36,QLD,79,6,51,879,1079,1380,0
37450,Wondai (S),881,90,2,14,QLD,42,3,27,774,994,4398,0
37500,Woocoo (S),941,330,5,50,QLD,100,7,64,831,971,3440,0
37650,Yorke (IC),725,39,1,6,QLD,20,2,13,725,725,298,0
37550,Woorabinda (S),712,28,1,5,QLD,16,2,11,712,712,851,0
40520,Berri and Barmera (DC),906,159,3,24,SA ,19,3,27,806,1013,10933,0
40700,Burnside (C),1108,639,10,96,SA ,70,10,99,909,1194,41956,0
40910,Campbelltown (C),996,532,8,80,SA ,59,9,84,841,1123,46160,0
41010,Ceduna (DC),903,139,3,21,SA ,16,3,23,656,1004,3572,0
41060,Charles Sturt (C),961,427,7,64,SA ,52,8,74,708,1131,100531,0
41140,Clare and Gilbert Valleys (DC),946,360,6,54,SA ,46,7,65,852,1074,8144,0
41190,Cleve (DC),949,372,6,56,SA ,48,7,68,875,1011,1897,0
41330,Coober Pedy (DC),879,89,2,14,SA ,6,1,9,806,922,1913,4
41560,Copper Coast (DC),888,99,2,15,SA ,8,2,12,767,986,11445,0
41750,Elliston (DC),932,281,5,43,SA ,37,6,53,875,1021,1132,0
72500,Numbulwar Numburindi (CGC),722,37,1,6,NT ,15,5,43,722,722,681,1
72530,Nyirranggulung Mardrulk Ngadberre (CGC),686,15,1,3,NT ,7,3,21,551,774,936,10
41830,Flinders Ranges (DC),896,117,2,18,SA ,13,2,19,855,990,1730,0
41960,Franklin Harbour (DC),920,217,4,33,SA ,27,4,39,901,991,1276,0
53010,Dumbleyung (S),956,410,7,62,WA ,72,6,51,891,1004,631,0
42030,Gawler (T),943,345,6,52,SA ,43,7,61,768,1072,18913,0
42110,Goyder (DC),905,149,3,23,SA ,17,3,24,737,988,4184,0
42250,Grant (DC),960,425,7,64,SA ,51,8,72,835,1005,7868,0
42600,Holdfast Bay (C),1031,583,9,88,SA ,61,9,86,820,1159,33302,0
42750,Kangaroo Island (DC),939,326,5,49,SA ,40,6,57,890,1000,4260,0
43080,Karoonda East Murray (DC),924,245,4,37,SA ,33,5,47,877,961,1164,0
43220,Kimba (DC),942,334,6,51,SA ,42,6,60,901,1007,1112,0
43360,Kingston (DC),921,224,4,34,SA ,29,5,41,840,986,2325,0
53080,Dundas (S),904,144,3,22,WA ,16,2,12,854,1010,1067,3
43570,Le Hunte (DC),924,241,4,37,SA ,32,5,46,864,951,1313,0
43650,Light (RegC),974,471,8,71,SA ,55,8,78,883,1065,12362,0
43710,Lower Eyre Peninsula (DC),947,365,6,55,SA ,47,7,67,906,1010,4402,0
43790,Loxton Waikerie (DC),910,173,3,26,SA ,21,3,30,791,971,11605,0
43920,Mallala (DC),925,253,4,38,SA ,34,5,48,846,970,7903,0
44060,Marion (C),977,483,8,73,SA ,56,8,79,723,1090,78701,0
44210,Mid Murray (DC),892,104,2,16,SA ,9,2,13,800,958,8037,6
44340,Mitcham (C),1068,617,10,93,SA ,65,10,92,880,1200,61852,0
44550,Mount Barker (DC),995,530,8,80,SA ,58,9,82,841,1102,26435,0
52030,Coorow (S),955,402,7,61,WA ,68,5,48,899,1053,1200,0
52100,Corrigin (S),951,384,6,58,WA ,63,5,45,918,1013,1145,0
72380,Nauiyu Nambiyu (CGC),688,16,1,3,NT ,8,3,23,688,688,395,0
44620,Mount Gambier (C),914,184,3,28,SA ,22,4,31,666,1023,23493,0
44830,Mount Remarkable (DC),917,204,4,31,SA ,23,4,33,846,1012,2842,0
45040,Murray Bridge (RC),878,87,2,14,SA ,5,1,8,723,989,17679,4
45090,Naracoorte and Lucindale (DC),950,377,6,57,SA ,49,7,70,852,1030,8079,0
45120,Northern Areas (DC),918,210,4,32,SA ,25,4,36,815,1008,4651,0
45290,Norwood Payneham St Peters (C),1041,595,9,90,SA ,63,9,89,877,1161,33732,0
45340,Onkaparinga (C),964,438,7,66,SA ,53,8,75,685,1161,149736,0
45400,Orroroo/Carrieton (DC),926,259,4,39,SA ,36,6,51,897,992,933,0
52590,Dandaragan (S),957,413,7,62,WA ,74,6,52,887,1017,2884,0
52660,Dardanup (S),989,514,8,77,WA ,107,8,75,943,1063,10336,0
52730,Denmark (S),973,467,7,70,WA ,96,7,68,904,1020,4511,0
52800,Derby-West Kimberley (S),835,64,1,10,WA ,5,1,4,474,1162,6507,7
52870,Donnybrook-Balingup (S),967,451,7,68,WA ,88,7,62,927,1028,4738,0
52940,Dowerin (S),935,303,5,46,WA ,43,4,31,890,1017,702,0
45540,Peterborough (DC),817,61,1,10,SA ,2,1,3,742,983,1902,0
45680,Playford (C),872,77,2,12,SA ,3,1,5,653,1080,70010,0
45890,Port Adelaide Enfield (C),920,222,4,34,SA ,28,4,40,716,1105,102929,1
46090,Port Augusta (C),896,114,2,18,SA ,10,2,15,749,1032,13876,7
46300,Port Lincoln (C),925,255,4,39,SA ,35,5,50,746,1071,13602,0
46450,Port Pirie City and Dists (M),876,82,2,13,SA ,4,1,6,756,993,17142,0
53640,Gnowangerup (S),953,392,6,59,WA ,66,5,47,895,1048,1362,0
46510,Prospect (C),1041,594,9,89,SA ,62,9,88,818,1150,19294,0
46670,Renmark Paringa (DC),900,127,2,20,SA ,14,2,20,815,963,9450,3
46860,Robe (DC),950,378,6,57,SA ,50,8,71,922,987,1701,42
46970,Roxby Downs (M),1075,618,10,93,SA ,66,10,93,1060,1083,4054,5
47140,Salisbury (C),923,232,4,35,SA ,30,5,43,704,1113,118421,1
47290,Southern Mallee (DC),933,290,5,44,SA ,39,6,55,881,1074,2135,0
47490,Streaky Bay (DC),923,234,4,36,SA ,31,5,44,907,977,2023,0
47630,Tatiara (DC),944,347,6,52,SA ,44,7,62,891,1033,6862,0
47700,Tea Tree Gully (C),1006,548,9,83,SA ,60,9,85,848,1134,95972,0
47800,The Coorong (DC),900,128,2,20,SA ,15,3,22,751,1003,5668,0
47910,Tumby Bay (DC),917,206,4,31,SA ,24,4,34,843,1025,2541,0
51310,Cambridge (T),1158,656,10,99,WA ,139,10,98,987,1247,23756,2
51330,Canning (C),1040,593,9,89,WA ,127,9,89,683,1167,77306,0
51400,Capel (S),1042,597,9,90,WA ,128,9,90,905,1177,10206,0
51470,Carnamah (S),948,370,6,56,WA ,59,5,42,892,1030,747,0
51540,Carnarvon (S),925,254,4,39,WA ,31,3,22,640,1012,5682,0
51610,Chapman Valley (S),963,434,7,65,WA ,82,6,58,930,1000,913,0
51680,Chittering (S),983,499,8,75,WA ,102,8,72,941,1038,3520,0
53780,Gosnells (C),987,507,8,76,WA ,106,8,75,844,1151,91579,1
53850,Greenough (S),1011,555,9,84,WA ,116,9,82,810,1102,14036,3
47980,Unley (C),1081,622,10,94,SA ,67,10,95,920,1177,35999,0
48050,Victor Harbor (C),941,331,5,50,SA ,41,6,58,847,1047,12015,0
48130,Wakefield (DC),906,160,3,24,SA ,20,3,29,821,992,6371,0
53150,East Fremantle (T),1108,640,10,96,WA ,136,10,96,1065,1166,6698,0
53220,East Pilbara (S),967,454,7,68,WA ,89,7,63,583,1083,6543,17
53290,Esperance (S),963,433,7,65,WA ,81,6,57,824,1077,12965,0
53360,Exmouth (S),982,496,8,75,WA ,101,8,71,821,993,2063,1
53430,Fremantle (C),1030,581,9,87,WA ,123,9,87,889,1169,24834,0
53500,Geraldton (C),922,229,4,35,WA ,29,3,21,791,1050,18915,0
53570,Gingin (S),942,337,6,51,WA ,53,4,38,899,1020,4319,0
48260,Walkerville (M),1089,628,10,95,SA ,69,10,98,1024,1215,6964,0
48340,Wattle Range (DC),906,154,3,24,SA ,18,3,26,763,1053,11889,0
48410,West Torrens (C),979,486,8,73,SA ,57,9,81,843,1082,52157,0
48540,Whyalla (C),882,94,2,15,SA ,7,1,10,750,1053,21416,0
48750,Yankalilla (DC),932,283,5,43,SA ,38,6,54,854,1011,4154,0
48830,Yorke Peninsula (DC),896,115,2,18,SA ,11,2,16,623,995,11191,0
49399,Unincorporated SA,919,213,4,32,SA ,26,4,37,642,1065,3749,5
50080,Albany (C),958,420,7,63,WA ,75,6,53,792,1076,31575,1
50210,Armadale (C),966,444,7,67,WA ,85,6,60,829,1128,50537,0
50250,Ashburton (S),1023,572,9,86,WA ,122,9,86,530,1081,6080,0
50280,Augusta-Margaret River (S),1001,542,9,82,WA ,113,8,80,891,1081,10352,0
50350,Bassendean (T),985,504,8,76,WA ,105,8,74,912,1045,13463,0
50420,Bayswater (C),1009,551,9,83,WA ,114,8,80,807,1202,55800,0
50490,Belmont (C),962,429,7,65,WA ,79,6,56,875,1158,30331,0
50560,Beverley (S),904,142,3,22,WA ,14,1,10,800,978,1562,0
50630,Boddington (S),951,385,6,58,WA ,64,5,45,882,992,1377,0
50770,Boyup Brook (S),947,366,6,55,WA ,58,5,41,887,997,1479,0
50840,Bridgetown-Greenbushes (S),953,394,6,59,WA ,67,5,47,862,1013,3952,0
50910,Brookton (S),916,200,3,30,WA ,25,2,18,871,1011,980,0
50980,Broome (S),977,485,8,73,WA ,99,7,70,677,1127,13058,2
51050,Broomehill (S),937,319,5,48,WA ,50,4,35,866,1016,478,0
51120,Bruce Rock (S),925,256,4,39,WA ,32,3,23,873,1002,952,0
51190,Bunbury (C),966,445,7,67,WA ,86,7,61,772,1112,29700,0
51260,Busselton (S),990,517,8,78,WA ,108,8,76,848,1106,25355,0
51750,Claremont (T),1132,649,10,98,WA ,138,10,97,1031,1222,8939,0
51820,Cockburn (C),1011,556,9,84,WA ,117,9,82,799,1161,74473,0
51890,Collie (S),918,208,4,32,WA ,26,2,19,816,999,8611,0
54620,Kondinin (S),962,431,7,65,WA ,80,6,56,905,1013,967,0
54690,Koorda (S),918,211,4,32,WA ,27,2,19,875,1018,430,0
54760,Kulin (S),977,484,8,73,WA ,98,7,69,917,1054,882,0
52170,Cottesloe (T),1180,662,10,100,WA ,141,10,99,1075,1231,7257,0
52240,Cranbrook (S),939,327,5,49,WA ,52,4,37,884,986,1063,0
52310,Cuballing (S),950,379,6,57,WA ,61,5,43,859,1010,782,0
52380,Cue (S),859,72,2,11,WA ,8,1,6,851,900,324,0
52450,Cunderdin (S),932,284,5,43,WA ,40,3,28,844,1008,1249,0
55810,Mount Magnet (S),931,278,5,42,WA ,39,3,28,917,979,457,0
55880,Mount Marshall (S),956,409,7,62,WA ,71,5,50,889,1017,615,0
56620,Ngaanyatjarraku (S),715,33,1,5,WA ,2,1,2,639,948,1334,6
