lga_name_2016,lga_code_2016,tot_ocmngr,tot_ocprof,tot_octechtrdw,tot_occompers,tot_occlericadm,tot_ocsaleswk,tot_ocmacop_driv,tot_oclab,tot_ocid_ns,tot_tot
Armadale (C),50210,3328,5729,6388,4092,5197,3511,3764,3731,547,36286
Ashburton (S),50250,542,850,2829,295,454,106,1744,1345,132,8305
Augusta-Margaret River (S),50280,1162,1095,1185,746,626,640,356,992,94,6892
Bassendean (T),50350,791,1704,1119,832,1118,529,432,598,116,7242
Bayswater (C),50420,3676,7786,4891,3531,4530,2851,1843,2799,523,32423
Belmont (C),50490,1817,3537,3163,2066,2602,1577,1550,1957,327,18599
Beverley (S),50560,176,66,106,65,69,37,78,67,4,671
Boddington (S),50630,105,98,169,61,86,27,215,71,23,856
Boyup Brook (S),50770,279,72,82,44,60,43,58,107,14,752
Bridgetown-Greenbushes (S),50840,291,274,341,202,178,158,218,252,35,1942
Brookton (S),50910,144,34,32,31,30,21,26,57,14,394
Broome (S),50980,999,1520,1095,1043,1008,561,348,650,160,7379
Broomehill-Tambellup (S),51080,188,38,52,40,54,22,31,38,9,465
Bruce Rock (S),51120,147,44,49,38,29,21,34,54,0,413
Bunbury (C),51190,1263,2295,2443,1448,1573,1345,1177,1968,214,13729
Busselton (C),51260,2114,2406,2963,1775,1759,1701,1117,2022,219,16075
Cambridge (T),51310,2299,5425,866,1026,1494,955,213,484,181,12935
Canning (C),51330,4182,10153,5880,4742,5597,3902,2629,4358,696,42134
Capel (S),51400,837,1443,1481,848,947,721,688,934,132,8019
Carnamah (S),51470,70,30,41,9,28,11,28,35,3,252
Carnarvon (S),51540,461,292,314,240,298,165,159,358,50,2344
Chapman Valley (S),51610,147,90,106,41,97,42,65,58,14,652
Chittering (S),51680,412,254,497,221,342,164,268,329,52,2526
Claremont (T),51750,836,1879,238,375,450,362,61,146,65,4419
Cockburn (C),51820,5656,10520,9142,5343,7485,4648,3350,4731,885,51765
Collie (S),51890,227,279,771,340,320,256,560,475,61,3285
Corrigin (S),52100,183,54,64,25,50,28,52,65,10,525
Cottesloe (T),52170,769,1690,189,252,324,246,36,105,74,3694
Cranbrook (S),52240,228,29,42,29,37,17,46,87,12,524
Cuballing (S),52310,114,38,56,30,32,14,35,40,5,371
Cue (S),52380,19,10,6,4,5,3,6,8,0,66
Cunderdin (S),52450,171,67,88,54,62,48,53,76,7,619
Dalwallinu (S),52520,255,54,105,36,76,43,56,97,7,726
Dandaragan (S),52590,363,126,211,96,155,75,135,269,20,1453
Dardanup (S),52660,631,762,1314,652,751,671,765,766,99,6425
Denmark (S),52730,424,466,359,250,244,193,110,294,22,2364
Derby-West Kimberley (S),52800,254,497,266,452,251,110,97,327,73,2324
Donnybrook-Balingup (S),52870,462,325,401,223,250,178,282,342,42,2509
Dowerin (S),52940,123,26,31,26,24,9,25,37,6,307
Dumbleyung (S),53010,158,33,25,25,24,12,15,33,3,324
Dundas (S),53080,51,26,63,28,25,18,40,46,12,305
East Fremantle (T),53150,663,1343,352,343,425,276,87,160,53,3720
East Pilbara (S),53220,398,647,1670,245,313,118,1774,567,121,5853
Esperance (S),53290,1122,830,976,531,731,571,667,845,102,6377
Exmouth (S),53360,192,203,281,168,159,123,70,176,29,1405
Fremantle (C),53430,1929,4931,1604,1427,1453,1001,505,884,239,13973
Gingin (S),53570,430,154,337,138,214,131,229,485,35,2154
Gnowangerup (S),53640,231,46,79,26,61,23,41,92,7,602
Kalgoorlie/Boulder (C),54280,1322,2129,3156,1366,1597,1158,2592,1302,273,14898
Karratha (C),54310,1059,1524,2625,901,1267,625,1401,1066,237,10701
Goomalling (S),53710,143,40,53,37,53,24,38,52,4,446
Gosnells (C),53780,4428,8129,9340,5830,7415,5158,5316,6347,972,52930
Greater Geraldton (C),53800,1838,2688,2838,1921,2066,1612,1492,1933,311,16701
Halls Creek (S),53920,80,172,75,149,53,24,27,94,31,705
Harvey (S),53990,1217,1492,2290,1132,1352,1117,1231,1650,199,11684
Irwin (S),54060,209,155,270,125,173,89,123,207,40,1389
Jerramungup (S),54130,253,40,73,25,41,17,45,76,7,569
Joondalup (C),54170,10049,18544,12528,8358,11872,7754,3177,5516,1173,78978
Kalamunda (S),54200,3020,4647,4830,2767,4277,2380,2573,2341,411,27255
Katanning (S),54340,262,215,250,143,163,148,111,424,38,1759
Kellerberrin (S),54410,120,43,73,69,32,22,45,71,6,487
Kent (S),54480,156,22,16,11,24,4,25,37,0,298
Kojonup (S),54550,357,100,99,56,79,40,72,132,22,964
Kondinin (S),54620,196,26,59,34,43,12,51,63,9,488
Koorda (S),54690,67,8,24,13,23,8,12,28,0,192
Kulin (S),54760,198,37,27,15,31,15,29,47,4,413
Kwinana (C),54830,1296,2382,3106,1964,2180,1625,1842,2078,324,16802
Lake Grace (S),54900,302,54,96,27,61,34,54,79,7,708
Laverton (S),54970,39,67,155,46,32,8,196,55,7,598
Leonora (S),55040,60,83,143,48,46,19,195,79,5,669
Mandurah (C),55110,2817,4359,6114,3749,3573,3235,3167,3501,516,31036
Manjimup (S),55180,845,478,561,355,447,356,384,684,65,4184
Meekatharra (S),55250,66,85,71,40,35,10,84,59,14,463
Melville (C),55320,6927,14570,5059,4367,6574,4277,1480,2756,645,46665
Mukinbudin (S),55950,109,23,30,22,20,17,27,32,3,276
Menzies (S),55390,16,31,55,13,19,0,46,28,4,220
Merredin (S),55460,270,187,239,134,169,133,191,154,20,1498
Mingenew (S),55530,96,13,25,16,15,11,32,18,4,232
Mundaring (S),56090,2086,3447,3019,1840,2422,1531,1278,1470,308,17390
Moora (S),55600,289,107,159,92,128,89,109,155,8,1137
Morawa (S),55670,100,41,28,24,19,21,29,36,6,304
Nungarin (S),56860,29,10,12,9,14,4,19,15,0,110
Mosman Park (T),55740,720,1531,300,397,458,321,62,218,59,4059
Mount Magnet (S),55810,21,21,23,9,15,7,10,25,11,150
Mount Marshall (S),55880,137,19,23,14,12,3,27,24,11,273
Murchison (S),56160,14,4,3,8,3,0,5,8,0,52
Murray (S),56230,683,679,1298,656,649,600,903,805,140,6418
Nannup (S),56300,131,61,73,52,32,43,47,89,14,544
Narembeen (S),56370,162,31,45,27,34,22,21,50,9,409
Narrogin (S),56460,309,352,344,257,216,171,149,272,33,2093
Nedlands (C),56580,1684,4452,438,811,1098,686,118,336,154,9772
Ngaanyatjarraku (S),56620,41,75,10,76,19,15,4,34,8,284
Northam (S),56730,520,554,716,517,574,366,445,584,67,4337
Northampton (S),56790,326,146,146,142,111,95,134,243,31,1370
Peppermint Grove (S),56930,157,290,34,62,69,47,4,22,17,697
Sandstone (S),57630,13,0,6,0,3,0,4,7,0,40
Serpentine-Jarrahdale (S),57700,1311,1545,2704,1353,1838,1137,1522,1260,204,12871
Shark Bay (S),57770,73,47,70,49,40,31,25,70,9,419
South Perth (C),57840,3205,7277,1991,1946,2729,1643,584,1089,295,20757
Stirling (C),57910,12941,27643,13929,10834,13895,9295,4688,8645,1560,103428
Subiaco (C),57980,1367,4246,580,788,916,633,119,429,125,9207
Swan (C),58050,6363,8916,11070,7519,9370,6287,6055,6692,1086,63340
Tammin (S),58190,57,12,14,12,18,9,18,39,0,169
Three Springs (S),58260,84,22,30,34,13,12,29,30,3,264
Perenjori (S),57000,126,25,64,14,20,4,78,41,3,385
Perth (C),57080,1791,3988,1142,1249,1331,728,268,813,203,11512
Pingelly (S),57140,136,31,47,35,42,20,44,51,7,417
Plantagenet (S),57210,503,221,269,198,227,152,175,358,20,2120
Port Hedland (T),57280,646,912,1781,563,797,433,981,762,165,7051
Quairading (S),57350,120,34,36,35,27,21,32,54,0,369
Ravensthorpe (S),57420,218,56,125,48,67,33,118,100,10,775
Rockingham (C),57490,4983,7344,11213,7088,6876,5311,5079,5957,981,54837
Southern Midlands (M),65010,419,224,419,287,271,237,251,409,67,2599
Tasman (M),65210,146,105,103,120,72,40,39,146,4,797
Waratah/Wynyard (M),65410,639,764,822,633,605,519,499,757,115,5342
West Coast (M),65610,174,150,252,168,119,120,221,264,43,1515
Toodyay (S),58330,258,260,333,191,225,132,227,185,42,1846
Trayning (S),58400,54,6,13,16,5,6,11,18,3,135
No usual address (Tas.),69499,17,49,38,33,27,14,20,54,3,247
Upper Gascoyne (S),58470,23,5,13,15,5,0,5,16,0,72
Victoria Park (T),58510,2084,5023,2383,1884,2204,1359,800,1494,255,17489
Migratory - Offshore - Shipping (Tas.),69799,3,14,9,9,0,0,3,15,0,47
Alice Springs (T),70200,1520,3054,1548,2037,1778,880,522,982,283,12608
Victoria Plains (S),58540,193,22,47,22,34,21,53,63,3,453
Vincent (C),58570,2807,7158,1954,1731,2156,1261,443,1026,250,18784
Wagin (S),58610,184,75,98,74,69,58,84,96,6,745
Wandering (S),58680,75,10,33,6,15,3,32,27,3,209
Wanneroo (C),58760,8797,13625,16794,10508,12678,9127,6335,9679,1549,89092
Waroona (S),58820,173,135,367,190,146,105,264,218,31,1626
West Arthur (S),58890,201,24,31,14,35,13,25,48,14,411
Westonia (S),59030,53,13,33,9,13,4,26,17,0,169
Palmerston (C),72800,1813,2389,3194,2459,2890,1388,1274,1518,380,17296
Roper Gulf (R),73600,165,314,128,241,113,70,94,214,112,1437
Tiwi Islands (R),74050,46,125,44,100,44,25,17,72,47,524
Victoria Daly (R),74550,121,135,75,110,44,24,43,142,57,743
Wickepin (S),59100,136,23,35,22,28,13,36,48,10,353
Wagait (S),74560,33,57,35,25,31,17,18,17,0,228
West Arnhem (R),74660,134,373,163,237,144,76,76,152,97,1451
West Daly (R),74680,28,130,28,101,38,31,15,63,22,452
Unincorporated NT,79399,502,672,550,537,446,165,303,400,65,3636
No usual address (NT),79499,41,108,104,84,34,32,63,104,15,574
Williams (S),59170,208,58,47,39,43,16,46,60,10,519
Wiluna (S),59250,27,48,88,21,17,5,107,51,6,371
Migratory - Offshore - Shipping (NT),79799,0,4,8,0,0,0,0,13,0,28
Unincorporated ACT,89399,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
No usual address (ACT),89499,21,57,14,34,28,12,8,20,6,202
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,340,236,379,298,249,130,160,295,51,2151
No usual address (OT),99499,0,3,0,4,0,0,3,0,0,11
Migratory - Offshore - Shipping (OT),99799,0,3,0,0,0,0,0,4,0,6
Wongan-Ballidu (S),59310,193,71,104,45,71,47,68,68,16,672
Woodanilling (S),59320,90,21,23,8,13,9,20,26,0,207
Wyalkatchem (S),59330,67,16,13,13,26,5,25,22,3,191
Wyndham-East Kimberley (S),59340,456,610,468,447,413,184,227,346,70,3231
Yalgoo (S),59350,31,24,38,9,16,0,54,18,0,194
Yilgarn (S),59360,149,33,121,27,45,17,138,64,8,605
York (S),59370,257,184,192,156,162,120,122,181,21,1401
No usual address (WA),59499,104,235,349,162,114,90,276,386,58,1773
Migratory - Offshore - Shipping (WA),59799,11,78,87,3,10,0,35,100,9,334
Break O'Day (M),60210,330,236,264,254,197,179,155,280,32,1933
Brighton (M),60410,595,561,1087,961,958,774,603,973,123,6636
Burnie (C),60610,746,1120,1094,976,1010,886,651,1047,141,7664
Central Coast (M) (Tas.),60810,1036,1388,1428,1093,1008,883,689,1173,133,8839
Central Highlands (M) (Tas.),61010,193,60,123,77,58,44,75,175,14,823
Circular Head (M),61210,759,280,409,311,308,250,342,875,73,3595
Clarence (C),61410,2947,5292,3394,3091,3997,2459,941,2051,408,24581
Derwent Valley (M),61510,317,379,629,631,438,390,436,573,80,3864
Devonport (C),61610,930,1350,1448,1283,1155,1106,797,1425,162,9650
Dorset (M),61810,521,222,325,227,221,246,273,481,50,2561
Flinders (M) (Tas.),62010,131,56,64,34,29,27,12,68,10,433
George Town (M),62210,195,233,366,252,212,212,292,374,51,2185
Glamorgan/Spring Bay (M),62410,308,171,244,173,158,160,100,306,29,1648
Glenorchy (C),62610,1560,2572,2964,2733,3055,2189,1362,2430,386,19256
Hobart (C),62810,3268,8917,2165,2883,3057,1856,410,1331,373,24259
Huon Valley (M),63010,888,1010,997,711,776,491,422,967,119,6381
Kentish (M),63210,351,293,398,300,221,202,241,375,63,2445
King Island (M),63410,206,68,96,54,70,46,60,189,13,797
Kingborough (M),63610,2125,4244,2172,1896,2397,1452,508,1278,261,16335
Latrobe (M) (Tas.),63810,630,624,742,514,461,501,329,599,83,4487
Launceston (C),64010,2924,5599,3601,3504,3409,3134,1827,3112,429,27538
Barkly (R),70420,246,367,204,367,200,85,55,302,66,1897
Belyuen (S),70540,0,7,3,0,0,0,0,0,0,12
Central Desert (R),70620,114,145,54,175,69,34,52,133,32,792
Coomalie (S),70700,70,63,61,57,63,23,52,59,16,455
Darwin (C),71000,5494,9899,6255,5144,5816,3119,1940,3573,832,42081
East Arnhem (R),71300,123,416,107,307,105,75,76,144,123,1480
Katherine (T),72200,513,762,702,671,545,249,228,371,80,4120
Litchfield (M),72300,1445,1394,2859,1243,1652,685,1025,1190,260,11746
MacDonnell (R),72330,117,233,74,295,91,54,35,185,52,1144
