lga_code_2006_,lga_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
12700,Dungog (A),969,428,7,65,NSW,90,6,59,882,1111,8060,0
12750,Eurobodalla (A),936,235,4,36,NSW,46,3,30,802,1102,35010,0
12850,Fairfield (C),911,129,2,20,NSW,11,1,8,772,1056,179893,0
12900,Forbes (A),947,320,5,48,NSW,73,5,48,861,1129,9362,0
12950,Gilgandra (A),942,287,5,43,NSW,61,4,40,848,1120,4521,0
13010,Glen Innes Severn (A),936,241,4,37,NSW,51,4,34,846,1133,8779,2
13050,Gloucester (A),935,230,4,35,NSW,42,3,28,799,1050,4801,0
13100,Gosford (C),989,499,8,75,NSW,113,8,74,819,1173,158157,1
13310,Goulburn Mulwaree (A),935,228,4,35,NSW,41,3,27,795,1060,26087,3
13350,Greater Taree (C),914,142,3,22,NSW,16,2,11,731,1039,45145,2
13370,Greater Hume Shire (A),973,444,7,67,NSW,96,7,63,855,1263,9729,0
13400,Great Lakes (A),917,155,3,24,NSW,19,2,13,785,1074,32763,0
13450,Griffith (C),932,216,4,33,NSW,37,3,25,813,1072,23800,0
13500,Gundagai (A),929,201,4,31,NSW,32,3,21,832,1056,3695,0
13550,Gunnedah (A),923,176,3,27,NSW,24,2,16,787,1176,11526,0
13650,Guyra (A),928,194,3,30,NSW,29,2,19,795,1095,4229,0
13660,Gwydir (A),964,404,7,61,NSW,85,6,56,756,1164,5311,0
13700,Harden (A),942,291,5,44,NSW,63,5,41,812,1090,3583,0
13750,Hastings (A),942,284,5,43,NSW,59,4,39,825,1102,68431,0
13800,Hawkesbury (C),976,457,7,69,NSW,99,7,65,851,1102,60560,0
13850,Hay (A),938,257,4,39,NSW,55,4,36,883,1147,3382,0
13950,Holroyd (C),978,464,7,70,NSW,102,7,67,870,1117,89766,0
14000,Hornsby (A),1126,636,10,96,NSW,142,10,93,997,1218,151325,0
14100,Hunter's Hill (A),1161,647,10,97,NSW,144,10,94,1027,1220,13242,0
14150,Hurstville (C),1032,579,9,87,NSW,123,8,80,856,1133,73725,0
14200,Inverell (A),922,171,3,26,NSW,21,2,14,807,1142,15507,1
14250,Jerilderie (A),975,452,7,68,NSW,98,7,64,880,1112,1643,0
14300,Junee (A),912,131,2,20,NSW,12,1,8,830,1116,5778,17
14350,Kempsey (A),891,71,2,11,NSW,4,1,3,726,1076,27386,4
14400,Kiama (A),1047,593,9,89,NSW,126,9,82,976,1173,18985,0
14450,Kogarah (A),1069,605,10,91,NSW,129,9,84,982,1157,52537,0
14500,Ku-ring-gai (A),1194,661,10,99,NSW,150,10,98,1118,1240,101084,0
14550,Kyogle (A),945,307,5,46,NSW,67,5,44,846,1015,9257,0
14600,Lachlan (A),961,389,6,59,NSW,83,6,54,817,1151,6669,0
25490,Moyne (S),996,527,8,79,VIC,57,8,71,885,1136,15452,0
14650,Lake Macquarie (C),954,351,6,53,NSW,80,6,52,729,1164,183140,0
11300,Burwood (A),1074,610,10,92,NSW,131,9,86,992,1225,30927,0
11350,Byron (A),1022,567,9,85,NSW,121,8,79,936,1126,28768,0
11400,Cabonne (A),983,488,8,74,NSW,110,8,72,857,1094,12396,0
11450,Camden (A),985,491,8,74,NSW,111,8,73,895,1080,49646,0
11500,Campbelltown (C),925,183,3,28,NSW,26,2,17,706,1107,143075,1
11520,Canada Bay (A),1109,631,10,95,NSW,140,10,91,978,1216,65745,0
11550,Canterbury (C),979,470,8,71,NSW,103,7,67,765,1089,129963,0
11600,Carrathool (A),967,418,7,63,NSW,89,6,58,868,1107,2819,0
11700,Central Darling (A),913,138,3,21,NSW,15,1,10,823,1138,1938,14
11720,Cessnock (C),878,53,1,8,NSW,1,1,1,707,1136,46209,2
11730,Clarence Valley (A),909,117,2,18,NSW,9,1,6,781,1079,48145,2
11750,Cobar (A),906,110,2,17,NSW,8,1,6,666,1101,4918,0
11800,Coffs Harbour (C),948,326,5,49,NSW,74,5,49,755,1097,64910,0
11860,Conargo (A),1074,609,10,92,NSW,130,9,85,1027,1129,1677,0
12000,Coolamon (A),946,312,5,47,NSW,69,5,45,852,1126,4029,0
12050,Cooma-Monaro (A),974,448,7,68,NSW,97,7,63,887,1144,9725,0
12150,Coonamble (A),942,290,5,44,NSW,62,5,41,841,1136,4210,0
12200,Cootamundra (A),922,172,3,26,NSW,22,2,15,752,1157,7314,0
12300,Corowa Shire (A),914,144,3,22,NSW,18,2,12,857,1064,10977,0
12350,Cowra (A),925,184,3,28,NSW,27,2,18,782,1127,12478,0
14700,Lane Cove (A),1188,658,10,99,NSW,149,10,97,1096,1242,30427,0
14750,Leeton (A),923,178,3,27,NSW,25,2,17,778,1080,11112,0
14800,Leichhardt (A),1175,654,10,98,NSW,147,10,96,954,1270,48777,0
14850,Lismore (C),969,431,7,65,NSW,91,6,60,829,1083,42208,0
14870,Lithgow (C),891,72,2,11,NSW,5,1,4,718,1067,19759,3
14900,Liverpool (C),954,349,6,53,NSW,79,6,52,752,1087,164603,0
14920,Liverpool Plains (A),936,237,4,36,NSW,47,4,31,809,1129,7540,2
14950,Lockhart (A),978,463,7,70,NSW,101,7,66,869,1114,3182,0
15050,Maitland (C),939,262,4,40,NSW,57,4,38,752,1070,61881,0
15150,Manly (A),1173,653,10,98,NSW,146,10,95,1009,1250,37111,0
15200,Marrickville (A),1092,620,10,93,NSW,134,9,88,978,1243,71815,0
15270,Mid-Western Regional (A),932,212,4,32,NSW,34,3,23,759,1103,21086,0
15300,Moree Plains (A),938,260,4,39,NSW,56,4,37,639,1172,13975,3
15350,Mosman (A),1213,666,10,100,NSW,152,10,99,1121,1277,26236,0
15500,Murray (A),940,270,5,41,NSW,58,4,38,840,1145,6417,0
15550,Murrumbidgee (A),935,231,4,35,NSW,43,3,28,851,1083,2502,0
15650,Muswellbrook (A),905,108,2,17,NSW,7,1,5,747,1023,15234,3
15700,Nambucca (A),905,106,2,16,NSW,6,1,4,810,993,17896,0
15750,Narrabri (A),934,226,4,34,NSW,40,3,26,794,1141,13116,0
15800,Narrandera (A),928,198,3,30,NSW,30,2,20,848,1115,6012,0
15850,Narromine (A),946,315,5,48,NSW,71,5,47,857,1108,6509,0
15900,Newcastle (C),997,529,8,80,NSW,115,8,75,691,1199,141753,0
15950,North Sydney (A),1217,667,10,100,NSW,153,10,100,917,1286,58257,0
16100,Oberon (A),932,213,4,32,NSW,35,3,23,832,1068,5030,4
16150,Orange (C),956,365,6,55,NSW,82,6,54,750,1116,35338,0
16180,Palerang (A),1077,611,10,92,NSW,132,9,86,923,1189,12316,0
16200,Parkes (A),922,173,3,26,NSW,23,2,15,778,1113,14282,0
16250,Parramatta (C),1030,577,9,87,NSW,122,8,80,825,1310,148323,0
16350,Penrith (C),936,242,4,37,NSW,52,4,34,809,1063,172141,1
16370,Pittwater (A),1108,629,10,95,NSW,139,10,91,1006,1249,54156,0
16400,Port Stephens (A),936,240,4,36,NSW,50,4,33,771,1068,60484,0
16470,Queanbeyan (C),1018,563,9,85,NSW,119,8,78,833,1161,35971,0
16550,Randwick (C),1110,632,10,95,NSW,141,10,92,850,1248,119885,1
16610,Richmond Valley (A),882,61,1,10,NSW,2,1,2,792,1022,21312,0
16650,Rockdale (C),1014,556,9,84,NSW,117,8,76,926,1129,92124,0
16700,Ryde (C),1104,628,10,95,NSW,138,9,90,901,1245,96949,0
16900,Shellharbour (C),911,128,2,20,NSW,10,1,7,790,1041,60336,0
16950,Shoalhaven (C),936,239,4,36,NSW,49,4,32,721,1164,88406,0
17000,Singleton (A),936,238,4,36,NSW,48,4,32,823,1146,21938,1
17050,Snowy River (A),1018,564,9,85,NSW,120,8,78,902,1152,7186,3
17200,Sydney (C),1160,646,10,97,NSW,143,10,93,721,1278,156573,5
17310,Tamworth Regional (A),942,286,5,43,NSW,60,4,39,745,1095,53592,1
17350,Temora (A),935,233,4,35,NSW,45,3,30,794,1115,5854,0
17400,Tenterfield (A),930,205,4,31,NSW,33,3,22,822,1051,6533,0
17450,Tumbarumba (A),938,255,4,39,NSW,54,4,36,863,1117,3532,10
17500,Tumut Shire (A),917,156,3,24,NSW,20,2,13,819,1209,10800,0
17550,Tweed (A),935,232,4,35,NSW,44,3,29,810,1138,79322,0
17620,Upper Hunter Shire (A),932,215,4,33,NSW,36,3,24,797,1069,12976,0
17640,Upper Lachlan (A),994,521,8,78,NSW,114,8,75,902,1082,7053,0
17650,Uralla (A),981,480,8,72,NSW,105,7,69,819,1130,5735,0
17700,Urana (A),946,313,5,47,NSW,70,5,46,822,1077,1258,0
17750,Wagga Wagga (C),971,435,7,66,NSW,94,7,62,735,1106,57015,1
17800,Wakool (A),971,433,7,65,NSW,92,6,60,863,1076,4362,0
17850,Walcha (A),981,482,8,73,NSW,106,7,69,865,1151,3185,0
17900,Walgett (A),912,132,2,20,NSW,13,1,9,749,1176,6944,2
17950,Warren (A),965,412,7,62,NSW,88,6,58,876,1160,2749,0
18000,Warringah (A),1087,618,10,93,NSW,133,9,87,915,1208,133837,1
18020,Warrumbungle Shire (A),952,343,6,52,NSW,78,6,51,816,1157,9808,0
18050,Waverley (A),1164,649,10,98,NSW,145,10,95,1027,1241,60712,0
18100,Weddin (A),971,434,7,65,NSW,93,7,61,861,1135,3639,0
18150,Wellington (A),937,247,4,37,NSW,53,4,35,785,1127,8122,0
18200,Wentworth (A),942,292,5,44,NSW,64,5,42,830,1072,6780,2
18250,Willoughby (C),1176,656,10,99,NSW,148,10,97,1057,1244,63604,0
18350,Wingecarribee (A),1011,550,9,83,NSW,116,8,76,866,1185,42273,0
18400,Wollondilly (A),963,401,7,61,NSW,84,6,55,878,1076,40345,0
18450,Wollongong (C),981,483,8,73,NSW,107,7,70,750,1178,184213,0
18500,Woollahra (A),1208,665,10,100,NSW,151,10,99,1138,1265,50162,1
18550,Wyong (A),914,143,3,22,NSW,17,2,12,801,1099,139801,0
18710,Yass Valley (A),1038,584,9,88,NSW,124,9,81,835,1201,13134,0
18750,Young (A),929,200,3,30,NSW,31,3,21,774,1111,11982,0
19399,Unincorporated NSW,1015,558,9,84,NSW,118,8,77,884,1150,1123,8
20110,Alpine (S),964,408,7,62,VIC,35,5,44,850,1128,11999,0
20260,Ararat (RC),955,357,6,54,VIC,27,4,34,786,1231,11255,6
20570,Ballarat (C),975,455,7,69,VIC,45,6,56,737,1153,85195,0
20660,Banyule (C),1055,599,9,90,VIC,67,9,83,902,1202,114867,0
20740,Bass Coast (S),954,353,6,53,VIC,26,4,33,837,1142,26544,0
20830,Baw Baw (S),968,421,7,64,VIC,40,5,50,822,1099,37179,0
20910,Bayside (C),1141,641,10,96,VIC,76,10,94,941,1226,87937,0
21010,Benalla (RC),954,350,6,53,VIC,25,4,31,782,1088,13522,0
21110,Boroondara (C),1171,650,10,98,VIC,78,10,97,1071,1244,154451,0
21180,Brimbank (C),921,170,3,26,VIC,4,1,5,844,1062,168218,0
21270,Buloke (S),975,453,7,68,VIC,44,6,55,896,1151,6852,0
21370,Campaspe (S),938,252,4,38,VIC,10,2,13,815,1082,36208,0
21450,Cardinia (S),960,383,6,58,VIC,31,4,39,844,1064,57115,0
21610,Casey (C),949,331,5,50,VIC,21,3,26,807,1098,214959,0
21670,Central Goldfields (S),895,83,2,13,VIC,1,1,2,768,984,12326,0
21750,Colac-Otway (S),945,310,5,47,VIC,16,2,20,805,1080,20295,0
21830,Corangamite (S),967,419,7,63,VIC,39,5,49,831,1125,16617,0
21890,Darebin (C),1022,568,9,86,VIC,61,8,76,832,1194,128066,0
22110,East Gippsland (S),947,323,5,49,VIC,20,3,25,811,1107,40036,0
22170,Frankston (C),953,345,6,52,VIC,24,3,30,811,1098,117804,1
22250,Gannawarra (S),944,305,5,46,VIC,15,2,19,851,1109,11297,0
22310,Glen Eira (C),1115,633,10,95,VIC,74,10,92,976,1212,124084,0
22410,Glenelg (S),924,181,3,28,VIC,5,1,7,818,1053,19759,0
22490,Golden Plains (S),960,387,6,58,VIC,32,4,40,858,1080,16455,0
22620,Greater Bendigo (C),960,381,6,58,VIC,30,4,38,784,1138,93252,0
22670,Greater Dandenong (C),918,158,3,24,VIC,2,1,3,765,1024,125520,1
22750,Greater Geelong (C),970,432,7,65,VIC,42,6,52,761,1188,197475,1
22830,Greater Shepparton (C),941,280,5,42,VIC,14,2,18,745,1188,57088,0
22910,Hepburn (S),991,506,8,76,VIC,52,7,65,894,1086,13733,0
22980,Hindmarsh (S),947,322,5,49,VIC,19,3,24,843,1083,6041,0
23110,Hobsons Bay (C),993,516,8,78,VIC,55,7,68,844,1152,81462,1
23190,Horsham (RC),968,424,7,64,VIC,41,6,51,773,1156,18494,0
23270,Hume (C),924,182,3,28,VIC,6,1,8,790,1094,147781,0
23350,Indigo (S),994,520,8,78,VIC,56,7,70,892,1102,14800,0
23430,Kingston (C),1019,566,9,85,VIC,60,8,75,899,1172,134624,0
23670,Knox (C),999,534,8,80,VIC,58,8,72,852,1125,146739,0
23810,Latrobe (C),919,161,3,25,VIC,3,1,4,691,1073,69329,0
23940,Loddon (S),955,359,6,54,VIC,28,4,35,777,1119,7838,0
24130,Macedon Ranges (S),1022,569,9,86,VIC,62,8,77,883,1168,38359,0
24210,Manningham (C),1082,616,10,93,VIC,71,9,88,975,1172,109917,0
24250,Mansfield (S),979,473,8,71,VIC,47,6,59,855,1106,7189,4
24330,Maribyrnong (C),1022,570,9,86,VIC,63,8,78,806,1166,63142,0
24410,Maroondah (C),1018,565,9,85,VIC,59,8,73,914,1122,99200,0
24600,Melbourne (C),1190,659,10,99,VIC,80,10,99,730,1280,71380,3
24650,Melton (S),947,321,5,49,VIC,18,3,23,805,1136,78910,1
24780,Mildura (RC),932,214,4,33,VIC,8,1,10,796,1091,49816,0
24850,Mitchell (S),939,268,5,41,VIC,12,2,15,819,1074,30928,0
24900,Moira (S),930,204,4,31,VIC,7,1,9,794,1059,27086,0
24970,Monash (C),1079,613,10,92,VIC,70,9,87,971,1233,161242,1
25060,Moonee Valley (C),1041,587,9,88,VIC,65,9,81,733,1186,107090,0
25150,Moorabool (S),964,403,7,61,VIC,34,5,42,856,1062,25475,0
25250,Moreland (C),1023,571,9,86,VIC,64,8,80,860,1242,135763,0
25340,Mornington Peninsula (S),991,508,8,77,VIC,53,7,66,768,1244,136482,2
25430,Mount Alexander (S),990,505,8,76,VIC,51,7,63,891,1081,17066,2
17150,Sutherland Shire (A),1049,595,9,90,NSW,127,9,83,906,1222,205448,0
25620,Murrindindi (S),987,493,8,74,VIC,48,6,60,885,1073,13673,0
25710,Nillumbik (S),1071,608,10,92,VIC,69,9,86,993,1169,59791,0
25810,Northern Grampians (S),937,245,4,37,VIC,9,2,12,862,1072,11911,0
25900,Port Phillip (C),1161,648,10,98,VIC,77,10,96,866,1242,85097,1
25990,Pyrenees (S),947,318,5,48,VIC,17,3,21,872,1160,6557,0
26080,Queenscliffe (B),1093,621,10,93,VIC,73,10,91,1049,1203,3017,0
26170,South Gippsland (S),972,440,7,66,VIC,43,6,54,823,1093,25737,0
26260,Southern Grampians (S),978,469,8,71,VIC,46,6,57,848,1150,16637,0
26350,Stonnington (C),1171,652,10,98,VIC,79,10,98,831,1243,89884,0
26430,Strathbogie (S),965,411,7,62,VIC,37,5,46,881,1140,9294,0
26490,Surf Coast (S),1054,597,9,90,VIC,66,9,82,866,1162,21769,0
26610,Swan Hill (RC),939,269,5,41,VIC,13,2,17,818,1067,20634,0
26670,Towong (S),987,494,8,74,VIC,49,7,61,897,1076,6017,0
26700,Wangaratta (RC),959,375,6,57,VIC,29,4,36,770,1056,26393,1
26730,Warrnambool (C),961,393,6,59,VIC,33,5,41,823,1157,30392,0
26810,Wellington (S),950,337,6,51,VIC,22,3,28,804,1163,40080,3
26890,West Wimmera (S),993,513,8,77,VIC,54,7,67,822,1084,4475,0
26980,Whitehorse (C),1089,619,10,93,VIC,72,9,89,950,1223,144767,0
27070,Whittlesea (C),939,263,4,40,VIC,11,2,14,817,1077,124648,0
27170,Wodonga (RC),953,344,6,52,VIC,23,3,29,831,1063,33006,1
27260,Wyndham (C),965,410,7,62,VIC,36,5,45,833,1185,112696,1
27350,Yarra (C),1140,640,10,96,VIC,75,10,93,748,1264,69330,1
27450,Yarra Ranges (S),989,502,8,76,VIC,50,7,62,855,1146,140218,0
27630,Yarriambiack (S),966,415,7,63,VIC,38,5,47,874,1153,7519,0
29399,Unincorporated Vic,1060,601,9,90,VIC,68,9,84,998,1111,774,67
30150,Aramac (S),952,341,6,52,QLD,119,8,76,854,1151,724,0
30200,Atherton (S),953,347,6,52,QLD,120,8,76,893,1054,10913,2
30250,Aurukun (S),803,8,1,2,QLD,5,1,4,803,803,1045,0
30770,Boigu (IC),877,51,1,8,QLD,23,2,15,877,877,284,0
30800,Boonah (S),941,278,5,42,QLD,104,7,66,879,1059,8642,0
30850,Booringa (S),943,293,5,44,QLD,109,7,69,855,1109,1705,0
30900,Boulia (S),900,95,2,15,QLD,37,3,24,857,1006,420,0
30950,Bowen (S),882,59,1,9,QLD,25,2,16,816,978,12378,0
31000,Brisbane (C),1065,604,10,91,QLD,157,10,100,766,1291,956131,1
31700,Broadsound (S),926,189,3,29,QLD,74,5,47,836,1040,6843,0
33250,Gatton (S),931,208,4,32,QLD,83,6,53,844,1117,15640,0
33300,Gayndah (S),920,163,3,25,QLD,64,5,41,871,1101,2786,0
17100,Strathfield (A),1096,623,10,94,NSW,135,9,88,901,1175,31982,0
30270,Badu (IC),845,26,1,4,QLD,16,2,11,845,845,820,0
30300,Balonne (S),957,369,6,56,QLD,124,8,79,829,1149,4626,0
30330,Bamaga (IC),901,98,2,15,QLD,38,3,25,901,901,784,0
30350,Banana (S),934,223,4,34,QLD,88,6,56,839,1055,13358,0
32250,Carpentaria (S),890,69,2,11,QLD,30,2,19,850,953,1939,0
36800,Thuringowa (C),941,281,5,43,QLD,106,7,68,857,1026,59168,0
36850,Tiaro (S),879,56,1,9,QLD,24,2,16,817,978,5324,0
32150,Cambooya (S),994,518,8,78,QLD,148,10,94,906,1062,5818,0
32200,Cardwell (S),921,167,3,26,QLD,67,5,43,832,1006,9528,2
33350,Gladstone (C),931,209,4,32,QLD,84,6,54,842,1009,29084,0
33460,Gold Coast (C),980,478,8,72,QLD,144,10,92,812,1216,472281,0
70400,Arltarlpilta (CGC),859,38,1,6,NT ,16,5,46,859,859,239,26
70540,Belyuen (CGC),800,6,1,1,NT ,3,1,9,800,800,173,0
36150,Quilpie (S),959,374,6,56,QLD,128,9,82,910,1142,984,0
36200,Redcliffe (C),941,275,5,42,QLD,101,7,64,849,1066,51176,0
54830,Kwinana (T),896,85,2,13,WA ,7,1,5,803,1117,23195,4
30400,Barcaldine (S),961,390,6,59,QLD,130,9,83,927,1053,1617,0
30450,Barcoo (S),962,395,6,60,QLD,132,9,84,903,1034,360,6
30500,Bauhinia (S),967,420,7,63,QLD,134,9,85,915,1057,2189,0
30550,Beaudesert (S),951,339,6,51,QLD,118,8,75,850,1200,62443,0
30600,Belyando (S),941,277,5,42,QLD,103,7,66,881,1043,10455,0
36570,Seisia (IC),938,261,4,40,QLD,94,6,60,938,938,164,0
36600,Stanthorpe (S),927,192,3,29,QLD,76,5,49,799,1054,10123,0
36650,Tambo (S),949,336,6,51,QLD,117,8,75,878,1152,560,0
36700,Tara (S),934,222,4,34,QLD,87,6,56,793,1059,3675,0
36750,Taroom (S),973,443,7,67,QLD,140,9,89,875,1093,2388,0
30650,Bendemere (S),957,370,6,56,QLD,125,8,80,854,1054,987,0
30700,Biggenden (S),912,134,3,21,QLD,53,4,34,861,985,1524,0
30750,Blackall (S),914,140,3,21,QLD,56,4,36,874,1132,1456,0
35150,Monto (S),944,299,5,45,QLD,112,8,71,885,1057,2434,0
35250,Mornington (S),831,19,1,3,QLD,14,1,9,801,833,1031,0
32300,Charters Towers (C),910,122,2,19,QLD,47,3,30,857,955,7976,0
32740,Dauan (IC),912,130,2,20,QLD,52,4,33,912,912,152,0
32750,Diamantina (S),921,165,3,25,QLD,65,5,42,880,963,281,7
70360,Anmatjere (CGC),847,28,1,5,NT ,10,3,29,727,998,964,55
32650,Dalby (T),917,153,3,23,QLD,61,4,39,841,987,9779,0
32700,Dalrymple (S),923,179,3,27,QLD,71,5,45,810,1059,3504,0
31810,Bundaberg (C),896,87,2,14,QLD,34,3,22,817,985,45803,0
31850,Bungil (S),1001,540,9,81,QLD,154,10,98,904,1058,2052,0
31900,Burdekin (S),911,127,2,20,QLD,51,4,33,851,1014,17019,0
31950,Burke (S),925,185,3,28,QLD,73,5,47,852,959,497,6
31980,Burnett (S),935,234,4,36,QLD,90,6,57,846,1040,26295,0
32000,Caboolture (S),914,145,3,22,QLD,58,4,37,788,1083,132473,1
32060,Cairns (C),981,481,8,73,QLD,145,10,92,828,1149,127437,1
35100,Miriam Vale (S),901,99,2,15,QLD,39,3,25,812,992,5128,1
32800,Douglas (S),969,429,7,65,QLD,137,9,87,779,1091,10191,0
32850,Duaringa (S),914,141,3,22,QLD,57,4,37,796,1058,6744,0
32900,Eacham (S),968,426,7,64,QLD,135,9,86,842,1045,6359,0
32950,Eidsvold (S),954,352,6,53,QLD,121,8,77,870,1085,860,0
33000,Emerald (S),949,333,5,50,QLD,116,8,74,804,1060,14355,0
40430,Barunga West (DC),943,298,5,45,SA ,28,4,40,856,1075,2543,0
70600,Borroloola (CGC),849,31,1,5,NT ,12,4,35,849,849,774,0
31750,Bulloo (S),929,202,4,31,QLD,80,6,51,902,1039,371,0
32100,Calliope (S),930,206,4,31,QLD,82,6,52,823,1014,16544,0
32130,Caloundra (C),961,394,6,59,QLD,131,9,83,839,1091,87596,0
32330,Cherbourg (S),816,16,1,3,QLD,11,1,7,816,816,1128,0
32350,Chinchilla (S),934,225,4,34,QLD,89,6,57,802,1092,5940,1
32400,Clifton (S),960,386,6,58,QLD,129,9,82,868,1089,2612,0
32450,Cloncurry (S),910,121,2,19,QLD,46,3,30,819,1004,3135,0
32500,Cook (S),936,244,4,37,QLD,92,6,59,880,1096,3466,2
32530,Cooloola (S),911,125,2,19,QLD,49,4,32,818,1094,36069,0
32550,Crow's Nest (S),1023,572,9,86,QLD,156,10,99,901,1136,12642,1
32600,Croydon (S),873,46,1,7,QLD,21,2,14,828,1081,254,0
33030,Erub (IC),856,36,1,6,QLD,17,2,11,856,856,317,0
33050,Esk (S),916,148,3,23,QLD,59,4,38,804,1018,15164,0
33100,Etheridge (S),954,356,6,54,QLD,122,8,78,894,1033,851,0
33150,Fitzroy (S),916,152,3,23,QLD,60,4,38,812,1123,10571,0
33200,Flinders (S),943,295,5,45,QLD,111,8,71,880,1120,1791,0
33600,Goondiwindi (T),921,166,3,25,QLD,66,5,42,843,964,4713,0
33650,Hammond (IC),903,103,2,16,QLD,40,3,26,903,903,214,0
33700,Herberton (S),910,123,2,19,QLD,48,4,31,834,987,5420,0
33750,Hervey Bay (C),917,154,3,24,QLD,62,4,40,836,1033,52221,0
33800,Hinchinbrook (S),918,157,3,24,QLD,63,4,40,836,1009,11557,0
33830,Hope Vale (S),807,14,1,3,QLD,10,1,7,807,807,779,2
33840,Iama (IC),882,60,1,9,QLD,26,2,17,882,882,312,0
34740,Mabuiag (IC),893,77,2,12,QLD,31,2,20,893,893,248,0
34760,Mackay (C),940,273,5,41,QLD,99,7,63,825,1078,84890,1
34800,McKinlay (S),942,288,5,44,QLD,108,7,69,873,1041,896,0
36250,Redland (S),978,467,7,70,QLD,142,9,90,860,1123,127628,0
36300,Richmond (S),949,330,5,50,QLD,115,8,73,904,1037,901,0
36350,Rockhampton (C),940,271,5,41,QLD,97,7,62,797,1137,58747,0
70700,Coomalie (CGC),982,485,8,73,NT ,29,9,83,907,1015,1105,3
34970,Mer (IC),821,17,1,3,QLD,12,1,8,821,821,483,0
35000,Millmerran (S),928,197,3,30,QLD,78,5,50,835,1051,3098,0
35050,Mirani (S),913,139,3,21,QLD,55,4,35,880,958,5408,0
34430,Kubin (IC),995,522,8,79,QLD,150,10,95,995,995,200,0
34450,Laidley (S),900,93,2,14,QLD,36,3,23,852,1005,14480,0
34550,Livingstone (S),958,372,6,56,QLD,127,9,81,853,1049,28869,2
34570,Lockhart River (S),856,37,1,6,QLD,18,2,12,856,856,553,1
34600,Logan (C),923,180,3,27,QLD,72,5,46,787,1105,173264,0
34700,Longreach (S),994,519,8,78,QLD,149,10,95,932,1192,3522,0
56580,Nedlands (C),1198,663,10,100,WA ,141,10,99,1071,1241,20335,1
36100,Poruma (IC),962,396,6,60,QLD,133,9,85,962,962,167,0
54900,Lake Grace (S),1032,578,9,87,WA ,115,9,81,957,1151,1456,0
33850,Ilfracombe (S),971,437,7,66,QLD,139,9,88,873,1209,267,0
33900,Inglewood (S),929,203,4,31,QLD,81,6,52,852,1027,2534,0
33930,Injinoo (S),801,7,1,2,QLD,4,1,3,801,801,417,0
33960,Ipswich (C),926,190,3,29,QLD,75,5,48,811,1090,140183,1
34000,Isis (S),906,109,2,17,QLD,42,3,27,820,954,6297,0
34050,Isisford (S),946,314,5,48,QLD,113,8,72,870,1156,264,0
34100,Jericho (S),937,249,4,38,QLD,93,6,59,897,1087,920,0
