yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,lga_code18,lga_name18,ogc_fid
2015,79620.0,39.0,4160070117.0,45696.0,52249.0,77.0,14775.0,51.0,195892187.0,4105.0,13258.0,7.2,61894.0,46.0,445687026.0,211.0,7201.0,13.7,3127.0,58.0,77495891.0,18109.0,24783.0,1.6,87609.0,43.0,4692448784.0,45069.0,53561.0,4.7,1.78,0.38,0.15,0.455,7.0,19.3,30.1,25.8,26.2,26.8,21.2,6956.0,234.4,3042.0,33695.0,18833.0,65.0,1164.0,551.0,1616.0,,6686.0,4590.0,2388.0,,1033.0,1081.0,12068.0,10294.0,,,,,,,,,,36910.0,Toowoomba (R),20.0
2014,77348.0,39.0,3971933656.0,44668.0,51351.0,77.6,14519.0,51.0,182843986.0,4060.0,12593.0,6.9,60034.0,47.0,455404186.0,248.0,7586.0,13.6,2940.0,58.0,70228550.0,17541.0,23887.0,1.5,85751.0,43.0,4551244866.0,44395.0,53075.0,4.74,1.79,0.38,0.15,0.45799999999999996,7.2,19.5,30.4,25.7,26.0,26.5,21.8,6460.0,178.2,2494.0,27587.0,18247.0,57.0,1262.0,583.0,1533.0,,6862.0,3718.0,2313.0,,992.0,968.0,12252.0,10372.0,,,,,,,,,,36910.0,Toowoomba (R),21.0
2013,75535.0,39.0,3729656748.0,43275.0,49377.0,77.1,14434.0,51.0,190936417.0,4171.0,13228.0,6.9,58447.0,47.0,453517028.0,284.0,7759.0,13.7,2932.0,58.0,68837696.0,16555.0,23478.0,1.5,84307.0,43.0,4343831779.0,43132.0,51524.0,4.79,1.8,0.38,0.14,0.46,7.6,19.8,30.5,26.0,25.9,26.6,21.5,5862.0,170.9,1512.0,29147.0,17904.0,61.0,1336.0,614.0,1419.0,,6794.0,3338.0,2326.0,,1083.0,991.0,12572.0,10470.0,,,,,,,,,,36910.0,Toowoomba (R),22.0
2012,73438.0,39.0,3453900534.0,41305.0,47032.0,77.3,14514.0,51.0,194606273.0,4628.0,13408.0,7.1,58468.0,47.0,401965322.0,300.0,6875.0,13.5,2979.0,58.0,63514947.0,16284.0,21321.0,1.5,83682.0,43.0,4048032955.0,40753.0,48374.0,5.04,1.81,0.36,0.14,0.45799999999999996,7.0,19.2,30.1,26.3,26.5,26.2,21.0,5014.0,128.4,1524.0,25607.0,,,,,,,,,,,,,,,,,,,,,,,,36910.0,Toowoomba (R),23.0
2011,71181.0,39.0,3135476794.0,39248.0,44049.0,76.6,14450.0,50.0,167464593.0,3959.0,11589.0,7.2,56321.0,47.0,363906811.0,325.0,6461.0,14.1,2901.0,58.0,60487154.0,16407.0,20850.0,1.5,82486.0,43.0,3678286144.0,38047.0,44593.0,5.38,1.8,0.33,0.12,0.46399999999999997,7.1,19.2,30.0,27.0,26.6,26.4,20.0,6658.0,153.2,1936.0,23009.0,,,,,,,,,,,,,,,,,,,,,,,684.0,36910.0,Toowoomba (R),24.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,16.0,18.0,28.0,,,,,47.0,32.0,28.0,,,,,,,,,58890.0,West Arthur (S),25.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,4.0,,7.0,,19.0,26.0,,,,,55.0,39.0,,,,,,,,,,58890.0,West Arthur (S),26.0
2016,350.0,40.0,13454722.0,27008.0,38442.0,50.4,244.0,55.0,7463712.0,22576.0,30589.0,29.6,402.0,50.0,4129745.0,1494.0,10273.0,18.8,,,,,,,517.0,49.0,24300687.0,37760.0,47003.0,6.81,1.97,0.29,0.08,0.5329999999999999,7.1,20.5,32.8,32.5,26.9,23.5,17.1,55.0,1.5,1734.0,27626.0,71.0,,4.0,,7.0,,22.0,34.0,,,,6.0,54.0,44.0,,31.0,26.6,21.2,3.5,2.5,5.5,0.5,766.0,58890.0,West Arthur (S),27.0
2015,387.0,38.0,14034848.0,26572.0,36266.0,47.6,308.0,54.0,15822319.0,32566.0,51371.0,36.9,437.0,50.0,4974890.0,1685.0,11384.0,14.8,,,,,,,558.0,48.0,34004141.0,44692.0,60939.0,6.59,2.16,0.33,0.12,0.494,4.8,18.9,31.5,26.7,24.4,20.9,28.0,63.0,1.0,2190.0,16149.0,73.0,,4.0,,,,,20.0,,,,,54.0,43.0,,,,,,,,,,58890.0,West Arthur (S),28.0
2014,361.0,39.0,13239986.0,30380.0,36676.0,48.2,302.0,54.0,12751421.0,21902.0,42223.0,33.9,429.0,50.0,4207648.0,1796.0,9808.0,16.8,,,,,,,554.0,48.0,29298937.0,38796.0,52886.0,8.44,2.2,0.26,0.1,0.527,7.1,20.8,33.3,32.7,22.7,20.0,24.5,67.0,2.0,2389.0,29667.0,73.0,,5.0,,,,,,,,,,69.0,55.0,,,,,,,,,,58890.0,West Arthur (S),29.0
