lga_name_2016,lga_code_2016,d_21_24_fpt_mpet,d_21_24_fpt_mpulftw,d_21_24_fpt_mpulptw,d_21_24_fpt_mput,d_21_24_fpt_mptlf,d_21_24_fpt_mpnlf,d_21_24_fpt_mplfsns,d_21_24_fpt_t,tdcf_fpeft_mpeft,tdcf_fpeft_mpept,tdcf_fpeft_mpeaw,tdcf_fpeft_mpehns,tdcf_fpeft_mpet,tdcf_fpeft_mpulftw,tdcf_fpeft_mpulptw,tdcf_fpeft_mput,tdcf_fpeft_mptlf,tdcf_fpeft_mpnlf,tdcf_fpeft_mplfsns,tdcf_fpeft_t,tdcf_fpept_mpeft,tdcf_fpept_mpept,tdcf_fpept_mpeaw,tdcf_fpept_mpehns,tdcf_fpept_mpet,tdcf_fpept_mpulftw,tdcf_fpept_mpulptw,tdcf_fpept_mput,tdcf_fpept_mptlf,tdcf_fpept_mpnlf,tdcf_fpept_mplfsns,tdcf_fpept_t,tdcf_fpeaw_mpeft,tdcf_fpeaw_mpept,tdcf_fpeaw_mpeaw,tdcf_fpeaw_mpehns,tdcf_fpeaw_mpet,tdcf_fpeaw_mpulftw,tdcf_fpeaw_mpulptw,tdcf_fpeaw_mput,tdcf_fpeaw_mptlf,tdcf_fpeaw_mpnlf,tdcf_fpeaw_mplfsns,tdcf_fpeaw_t,tdcf_fphns_mpeft,tdcf_fphns_mpept,tdcf_fphns_mpeaw,tdcf_fphns_mpehns,tdcf_fphns_mpet,tdcf_fphns_mpulftw,tdcf_fphns_mpulptw,tdcf_fphns_mput,tdcf_fphns_mptlf,tdcf_fphns_mpnlf,tdcf_fphns_mplfsns,tdcf_fphns_t,tdcf_fpet_mpeft,tdcf_fpet_mpept,tdcf_fpet_mpeaw,tdcf_fpet_mpehns,tdcf_fpet_mpet,tdcf_fpet_mpulftw,tdcf_fpet_mpulptw,tdcf_fpet_mput,tdcf_fpet_mptlf,tdcf_fpet_mpnlf,tdcf_fpet_mplfsns,tdcf_fpet_t,tdcf_fpulftw_mpeft,tdcf_fpulftw_mpept,tdcf_fpulftw_mpeaw,tdcf_fpulftw_mpehns,tdcf_fpulftw_mpet,tdcf_fpulftw_mpulftw,tdcf_fpulftw_mpulptw,tdcf_fpulftw_mput,tdcf_fpulftw_mptlf,tdcf_fpulftw_mpnlf,tdcf_fpulftw_mplfsns,tdcf_fpulftw_t,tdcf_fpulptw_mpeft,tdcf_fpulptw_mpept,tdcf_fpulptw_mpeaw,tdcf_fpulptw_mpehns,tdcf_fpulptw_mpet,tdcf_fpulptw_mpulftw,tdcf_fpulptw_mpulptw,tdcf_fpulptw_mput,tdcf_fpulptw_mptlf,tdcf_fpulptw_mpnlf,tdcf_fpulptw_mplfsns,tdcf_fpulptw_t,tdcf_fput_mpeft,tdcf_fput_mpept,tdcf_fput_mpeaw,tdcf_fput_mpehns,tdcf_fput_mpet,tdcf_fput_mpulftw,tdcf_fput_mpulptw,tdcf_fput_mput,tdcf_fput_mptlf,tdcf_fput_mpnlf,tdcf_fput_mplfsns,tdcf_fput_t,tdcf_fptlf_mpeft,tdcf_fptlf_mpept,tdcf_fptlf_mpeaw,tdcf_fptlf_mpehns,tdcf_fptlf_mpet,tdcf_fptlf_mpulftw,tdcf_fptlf_mpulptw,tdcf_fptlf_mput,tdcf_fptlf_mptlf,tdcf_fptlf_mpnlf,tdcf_fptlf_mplfsns,tdcf_fptlf_t,tdcf_fpnlf_mpeft,tdcf_fpnlf_mpept,tdcf_fpnlf_mpeaw,tdcf_fpnlf_mpehns,tdcf_fpnlf_mpet,tdcf_fpnlf_mpulftw,tdcf_fpnlf_mpulptw,tdcf_fpnlf_mput,tdcf_fpnlf_mptlf,tdcf_fpnlf_mpnlf,tdcf_fpnlf_mplfsns,tdcf_fpnlf_t,tdcf_fplfsns_mpeft,tdcf_fplfsns_mpept,tdcf_fplfsns_mpeaw,tdcf_fplfsns_mpehns,tdcf_fplfsns_mpet,tdcf_fplfsns_mpulftw,tdcf_fplfsns_mpulptw,tdcf_fplfsns_mput,tdcf_fplfsns_mptlf,tdcf_fplfsns_mpnlf,tdcf_fplfsns_mplfsns,tdcf_fplfsns_t,tdcf_fpt_mpeft,tdcf_fpt_mpept,tdcf_fpt_mpeaw,tdcf_fpt_mpehns,tdcf_fpt_mpet,tdcf_fpt_mpulftw,tdcf_fpt_mpulptw,tdcf_fpt_mput,tdcf_fpt_mptlf,tdcf_fpt_mpnlf,tdcf_fpt_mplfsns,tdcf_fpt_t
Lockhart (A),14950,5,0,0,0,5,0,0,5,129,3,0,0,133,0,0,0,138,3,0,140,199,14,3,0,217,3,5,3,224,6,0,228,28,0,0,0,32,0,0,0,32,0,0,32,10,0,0,3,11,0,0,0,11,0,0,11,364,20,3,3,396,3,5,6,401,11,0,410,4,0,0,0,4,0,0,0,4,3,0,4,5,0,0,0,5,3,0,3,10,0,0,10,10,0,0,0,8,3,0,3,16,3,0,16,372,24,3,3,405,6,5,10,415,10,0,424,82,10,0,3,93,3,0,3,98,38,0,132,0,0,0,0,0,0,0,0,0,0,0,0,461,29,3,4,495,10,5,15,512,42,0,560
Maitland (C),15050,188,6,3,8,192,20,0,216,3005,288,36,13,3342,72,11,88,3431,174,3,3600,4987,471,71,39,5577,83,10,95,5672,146,5,5817,449,29,52,4,539,13,0,13,553,10,0,558,49,3,0,39,91,8,0,8,96,3,6,106,8491,797,164,97,9550,170,23,198,9746,331,12,10088,99,28,3,7,135,33,7,38,171,12,0,188,302,39,3,4,348,19,9,29,377,24,6,408,405,65,7,9,490,55,14,67,552,32,6,594,8896,860,173,107,10036,221,39,261,10298,367,25,10680,2474,307,86,67,2935,129,38,173,3107,315,5,3428,19,0,0,12,26,0,0,0,26,3,10,47,11389,1168,258,183,13001,354,76,434,13428,682,44,14151
Mid-Coast (A),15240,49,0,0,0,49,12,0,57,1843,330,49,28,2248,29,10,41,2286,211,3,2507,3008,669,79,55,3808,107,13,123,3928,291,0,4222,188,46,38,0,270,0,0,0,278,17,0,295,40,6,0,42,90,3,0,3,92,4,0,98,5079,1040,165,128,6419,139,26,170,6586,520,7,7111,39,25,6,5,77,38,0,42,115,23,0,139,124,28,8,5,162,17,8,29,191,18,0,209,164,53,11,10,243,60,11,67,305,44,0,348,5248,1098,181,136,6658,199,32,231,6888,569,7,7466,1525,423,73,85,2113,149,30,178,2290,748,17,3050,26,0,0,0,25,0,0,0,26,4,38,72,6791,1524,254,229,8800,344,67,412,9216,1315,56,10582
Mid-Western Regional (A),15270,8,0,0,0,8,0,0,9,623,52,7,8,692,13,0,13,705,45,0,751,1344,140,14,20,1514,21,5,24,1541,49,0,1596,93,11,31,0,134,0,0,0,134,6,0,144,15,3,0,20,33,0,0,0,33,0,0,36,2071,205,59,43,2372,37,5,42,2414,102,0,2521,42,0,0,0,40,13,0,13,54,5,0,59,65,7,0,0,79,13,0,13,89,0,0,89,107,6,0,0,114,20,0,27,142,5,0,149,2172,213,63,43,2487,58,11,65,2557,106,0,2667,811,119,32,15,975,49,14,55,1031,174,0,1209,6,0,0,0,3,0,0,0,3,0,11,15,2989,334,87,60,3471,102,22,126,3594,280,14,3891
Moree Plains (A),15300,3,0,0,0,3,0,0,3,445,36,0,3,477,6,0,6,484,6,3,494,585,32,6,13,636,6,0,6,640,8,0,656,55,5,11,0,68,0,0,0,68,0,0,68,9,0,0,18,26,0,0,0,26,0,0,26,1091,73,18,35,1214,7,0,7,1222,19,3,1244,11,0,0,0,12,6,6,12,19,0,0,26,4,9,0,0,12,7,0,7,18,3,0,20,19,11,0,0,30,10,6,10,41,3,0,40,1103,85,18,35,1242,20,6,21,1263,24,3,1291,318,26,16,18,371,16,0,16,388,98,0,492,3,0,0,0,5,0,0,0,5,0,9,12,1422,107,29,53,1617,32,6,41,1656,120,17,1795
Mosman (A),15350,182,5,5,9,190,11,0,203,1192,114,9,8,1323,23,14,35,1362,63,0,1420,1466,133,4,12,1620,25,0,25,1643,30,0,1673,141,16,11,0,168,0,0,0,166,7,0,171,3,0,3,6,20,0,0,0,20,5,0,29,2808,263,32,30,3124,51,15,68,3194,96,3,3295,31,6,0,0,32,3,0,3,34,4,0,44,68,11,0,3,80,3,0,4,81,0,0,81,98,14,0,3,115,7,0,8,118,4,0,129,2899,277,36,34,3238,53,18,70,3313,102,3,3418,1401,154,10,25,1592,42,4,46,1635,101,0,1739,8,0,0,3,8,0,0,0,8,3,5,18,4307,431,43,59,4840,99,20,119,4957,208,4,5178
Murray River (A),15520,5,0,0,0,5,0,0,3,459,28,6,9,504,3,3,5,507,13,5,518,657,72,15,3,742,6,0,6,755,25,0,776,53,9,10,0,70,0,0,0,70,0,0,70,5,4,0,7,19,0,0,0,19,3,0,16,1169,112,27,23,1336,9,3,15,1345,35,5,1382,3,0,0,0,3,0,0,0,3,0,0,3,17,0,0,0,22,0,0,0,22,0,0,22,27,0,0,0,29,0,0,0,29,0,0,29,1196,112,31,23,1357,9,3,15,1371,35,5,1409,260,30,9,13,313,3,0,3,315,24,0,336,15,0,0,0,15,0,0,0,15,3,3,23,1469,142,41,32,1688,15,3,19,1698,62,6,1768
Murrumbidgee (A),15560,3,0,0,0,3,0,0,3,132,16,0,0,147,8,0,8,151,10,0,158,184,15,0,3,203,3,4,3,209,7,0,218,9,4,5,0,22,0,0,0,22,0,0,22,0,0,0,6,6,0,0,0,6,0,0,6,322,43,5,11,385,9,4,13,398,20,0,412,3,0,0,0,3,0,0,0,0,0,0,0,8,0,0,3,7,0,0,0,7,0,0,7,9,0,0,3,13,0,0,0,14,0,0,14,332,43,5,13,395,12,4,13,410,20,0,426,105,6,0,0,110,0,0,0,110,15,3,131,0,0,0,0,0,0,0,0,0,0,0,0,431,47,5,16,509,12,4,13,519,33,3,558
Muswellbrook (A),15650,12,0,0,0,12,0,0,12,482,32,16,8,542,12,4,19,556,23,0,584,904,83,13,4,1004,15,0,14,1018,21,0,1039,80,12,15,0,103,0,0,0,106,3,0,105,12,0,0,17,26,0,0,0,26,7,3,31,1475,129,39,31,1672,24,7,32,1710,51,4,1760,30,4,0,3,35,8,0,8,45,5,0,55,43,3,0,8,55,0,0,0,55,0,0,55,78,8,0,5,88,8,0,8,95,5,0,106,1551,134,39,43,1767,38,7,38,1803,61,4,1864,583,63,22,14,682,52,5,58,738,134,0,871,10,3,0,0,11,0,0,0,11,0,12,28,2148,197,59,56,2456,87,10,98,2559,186,20,2760
Nambucca (A),15700,11,0,0,0,11,3,0,14,423,88,4,7,521,12,5,17,540,58,0,594,518,157,23,3,693,39,8,51,740,87,0,827,47,16,8,0,62,3,0,3,67,6,0,68,13,0,0,15,24,0,0,0,24,3,0,32,994,253,34,23,1300,52,19,74,1369,146,0,1516,9,3,0,0,9,5,0,5,21,16,0,28,26,3,0,0,26,8,0,7,29,0,0,33,29,4,0,0,40,11,0,13,48,15,0,62,1022,256,34,23,1334,66,17,85,1422,160,0,1581,348,108,14,16,485,52,0,52,532,150,3,681,10,0,0,0,10,0,0,0,10,0,6,15,1382,368,48,38,1833,114,17,136,1962,309,10,2278
Narrabri (A),15750,4,0,0,0,4,0,0,4,525,32,11,3,569,5,0,5,570,14,0,587,733,42,13,7,800,3,0,3,799,23,0,822,61,0,19,0,82,0,0,0,85,0,0,85,15,0,0,21,41,0,0,0,41,0,0,41,1337,82,42,26,1488,6,0,6,1493,39,0,1529,9,6,0,4,18,3,3,5,18,0,0,25,12,0,0,0,12,9,0,9,19,0,3,19,21,6,0,4,26,6,3,10,39,0,3,42,1357,87,42,28,1513,17,3,15,1529,35,4,1574,322,23,9,3,352,23,7,34,387,78,7,474,3,0,0,0,3,0,0,0,3,0,6,17,1686,106,45,35,1875,39,8,51,1924,116,18,2059
Narrandera (A),15800,4,0,0,0,4,0,0,4,193,14,3,0,213,0,0,0,215,11,0,224,324,30,5,7,356,3,0,3,363,21,0,380,25,3,4,0,30,0,0,0,30,0,0,30,8,0,0,9,18,0,0,0,18,0,0,18,549,47,13,14,618,8,0,8,624,30,0,651,6,0,0,0,6,0,0,0,5,0,0,5,9,0,0,0,7,0,3,3,8,0,0,8,14,0,0,0,9,0,3,4,13,0,0,13,560,47,9,14,629,11,3,11,637,30,0,668,128,18,3,4,146,6,6,15,158,24,3,186,3,0,0,0,3,0,0,0,3,0,0,3,692,59,15,14,783,13,5,25,801,52,3,861
Narromine (A),15850,4,0,0,0,4,0,0,4,229,13,0,0,242,0,0,0,242,10,0,249,283,32,8,8,335,7,3,17,351,14,0,364,30,8,0,0,36,0,0,0,36,0,0,36,6,0,0,7,10,0,0,0,10,0,0,10,548,49,6,13,619,8,4,15,638,25,0,658,3,0,0,0,3,3,0,3,11,3,0,10,6,0,4,0,11,0,0,0,11,0,0,11,10,0,4,0,11,3,0,3,19,3,0,24,554,49,9,13,634,15,4,20,654,25,0,680,133,19,3,6,162,14,4,25,188,37,0,229,0,0,0,0,0,0,0,0,0,0,3,7,691,71,14,18,798,36,13,43,848,66,3,914
Newcastle (C),15900,412,14,4,19,431,74,0,504,4616,627,76,29,5351,129,25,162,5511,358,3,5871,8677,994,95,58,9828,142,25,169,10004,296,5,10302,839,104,80,5,1026,12,4,19,1044,33,3,1078,81,13,0,84,177,6,0,6,185,12,3,195,14215,1737,254,182,16388,290,56,351,16739,700,11,17454,139,27,0,0,171,33,3,37,210,14,0,223,289,50,5,5,350,37,12,47,400,30,0,429,428,77,9,5,521,70,20,85,607,41,0,651,14648,1814,259,183,16908,363,80,436,17344,747,11,18101,3212,452,88,81,3829,154,43,201,4031,766,7,4802,19,7,0,13,43,0,0,0,43,22,35,100,17880,2273,347,282,20786,515,125,640,21420,1530,58,23011
North Sydney (A),15950,201,4,3,12,211,22,0,232,2099,232,17,11,2354,83,12,92,2446,163,0,2609,2099,221,15,18,2352,42,9,53,2408,34,3,2440,443,33,44,0,525,3,0,3,526,6,0,534,35,3,0,27,62,0,3,3,68,4,0,72,4668,490,79,57,5291,136,15,152,5448,208,3,5654,80,3,0,5,87,16,0,16,105,3,0,111,126,8,0,8,146,3,3,4,154,0,0,150,209,13,0,10,233,20,3,24,259,6,0,265,4874,508,76,67,5526,154,19,178,5706,213,3,5919,1524,106,28,22,1682,24,4,33,1713,98,5,1817,7,0,0,8,9,0,0,0,9,0,0,9,6404,613,106,95,7219,183,22,207,7430,306,8,7744
Northern Beaches (A),15990,1250,28,12,40,1282,108,3,1403,12504,1301,104,62,13967,209,58,265,14232,677,14,14919,20274,1759,189,119,22339,235,33,269,22608,437,18,23064,1462,134,199,11,1814,7,0,7,1815,32,3,1850,222,21,3,180,419,0,0,0,421,12,12,447,34458,3216,495,373,38541,454,88,543,39083,1155,44,40279,197,27,0,0,226,39,6,43,272,11,0,287,716,49,9,17,796,28,12,36,832,22,0,852,910,80,10,19,1023,60,15,82,1101,35,0,1136,35375,3294,507,389,39565,517,105,627,40189,1184,44,41413,8238,720,168,148,9275,158,28,181,9458,599,7,10070,42,8,3,18,69,0,0,0,69,3,71,142,43647,4023,674,557,48903,673,133,804,49714,1793,123,51623
Oberon (A),16100,4,0,0,0,4,0,0,4,186,3,4,3,196,7,0,7,203,12,0,220,260,31,0,3,297,0,0,0,297,3,0,297,16,0,0,3,22,0,0,0,22,0,0,22,0,0,0,4,4,0,0,0,4,4,0,5,465,36,6,12,520,7,0,7,528,18,0,543,6,0,0,0,8,0,0,0,15,0,0,15,3,3,0,0,3,0,0,0,3,0,0,3,8,3,0,0,16,0,0,0,16,0,0,16,475,41,6,12,536,3,0,3,541,18,0,565,111,21,9,8,146,13,0,19,168,13,0,179,3,0,0,0,3,0,0,0,3,0,3,8,591,61,11,22,686,23,0,23,712,36,3,748
Orange (C),16150,33,3,0,3,30,9,0,40,1663,171,25,19,1876,51,13,62,1940,74,11,2021,2332,210,34,20,2594,18,0,20,2617,92,9,2714,227,21,37,3,286,3,0,3,287,8,0,295,24,3,0,28,59,0,0,0,59,0,0,59,4246,409,97,69,4816,69,12,86,4898,168,17,5090,50,9,0,0,61,9,0,9,68,9,0,78,103,3,3,0,109,10,3,12,123,4,0,125,155,12,3,0,172,16,3,19,191,15,0,205,4407,415,94,69,4991,85,13,104,5092,179,17,5289,972,149,32,33,1179,48,5,61,1241,224,0,1464,3,3,0,5,14,0,0,0,14,0,3,16,5382,567,130,105,6183,136,21,158,6342,402,24,6770
Parkes (A),16200,7,0,0,0,8,0,0,12,507,60,4,7,579,9,7,18,594,22,0,623,758,69,9,5,839,3,0,3,845,39,0,881,76,0,3,0,77,0,0,0,77,0,0,81,9,0,0,15,28,0,0,0,28,0,0,28,1351,126,15,32,1518,13,7,18,1545,58,0,1603,6,6,0,0,12,3,0,3,21,0,0,18,18,11,0,0,24,0,3,6,33,0,0,30,24,19,0,0,38,3,3,11,51,0,0,51,1377,146,15,32,1561,23,7,28,1594,60,0,1658,381,43,11,12,443,30,6,40,490,111,7,604,4,0,0,4,7,0,0,0,7,0,0,8,1761,188,26,47,2014,55,16,69,2086,176,8,2273
Parramatta (C),16260,1223,43,19,61,1284,207,5,1491,10247,1133,86,81,11547,318,81,404,11947,685,4,12638,10070,1461,114,76,11728,195,42,234,11959,390,5,12358,1062,129,131,5,1322,24,3,25,1347,38,0,1384,144,13,3,136,292,9,0,9,303,27,17,353,21524,2735,336,298,24882,541,127,670,25551,1144,30,26726,687,92,4,13,795,114,11,127,921,61,0,980,821,119,9,17,963,69,30,100,1062,49,7,1122,1502,216,15,26,1762,184,36,223,1980,107,7,2095,23028,2943,345,320,26644,728,162,893,27535,1251,34,28819,9396,1658,178,264,11494,404,102,501,11990,1570,23,13582,25,9,0,62,98,0,0,0,98,4,81,178,32452,4610,523,648,38230,1130,262,1395,39624,2826,138,42587
Cowra (A),12350,4,0,0,0,4,0,0,4,380,41,3,7,425,3,3,10,432,13,0,450,586,82,5,9,675,3,0,3,683,25,3,714,37,7,8,0,52,0,0,0,52,0,0,57,3,0,4,7,16,0,0,0,16,0,0,16,1005,121,25,19,1170,11,3,14,1187,38,3,1228,3,0,0,0,7,3,0,3,5,4,0,13,14,4,0,3,20,3,0,3,23,0,0,27,16,4,0,3,25,8,0,8,31,4,0,42,1023,130,25,23,1201,14,3,20,1221,45,3,1270,238,26,7,20,287,38,3,37,326,76,3,405,3,0,0,0,3,0,0,0,3,4,0,5,1265,151,27,43,1490,53,5,58,1543,131,5,1683
Burwood (A),11300,230,6,3,8,238,34,0,275,1377,151,24,14,1559,46,16,55,1620,102,0,1717,1295,235,8,16,1558,17,14,29,1579,66,3,1651,140,18,19,7,173,6,0,6,177,4,0,180,15,4,3,27,46,0,0,0,46,4,3,59,2826,408,47,55,3335,62,24,91,3428,176,9,3608,46,3,3,0,51,9,4,9,61,5,0,68,72,12,3,3,94,4,8,14,102,10,0,111,121,19,3,3,147,13,8,23,162,16,0,179,2946,425,55,60,3481,73,35,109,3589,187,9,3788,867,233,16,40,1149,39,21,56,1207,223,0,1426,0,0,0,10,14,0,0,0,14,0,5,21,3809,655,67,112,4645,113,55,169,4809,414,12,5233
Byron (A),11350,25,0,0,0,25,5,0,28,667,183,3,5,866,20,3,20,882,44,0,927,1109,484,29,22,1645,26,3,35,1675,97,3,1778,73,21,29,0,124,7,0,7,129,7,0,131,29,6,0,27,59,5,0,6,67,7,3,80,1869,701,65,56,2687,58,9,62,2757,156,8,2918,12,8,0,0,18,8,0,8,21,8,0,25,25,11,0,7,41,8,5,5,49,4,0,55,40,17,0,7,58,15,5,15,70,9,0,80,1903,715,65,64,2747,66,12,78,2824,168,8,2999,451,222,29,15,724,37,4,40,759,140,3,899,6,7,0,0,11,0,0,0,11,0,10,25,2368,942,95,81,3482,102,20,115,3603,309,16,3925
Cabonne (A),11400,8,0,0,0,8,3,0,13,645,77,16,9,748,11,0,11,762,40,0,802,968,84,4,19,1074,3,3,6,1079,18,0,1099,66,9,15,0,82,0,0,0,87,6,0,97,23,3,0,12,35,0,0,0,35,0,0,35,1696,167,35,43,1948,18,3,22,1962,68,0,2027,12,0,0,0,11,0,0,0,15,0,0,15,23,3,0,0,22,5,0,5,32,0,0,32,34,0,0,0,37,10,0,10,47,0,0,47,1732,173,35,43,1977,28,3,28,2006,68,0,2075,335,53,16,20,426,19,3,16,442,72,0,509,0,0,0,0,0,0,0,0,0,0,5,5,2068,223,51,62,2406,40,3,44,2447,134,8,2586
Camden (A),11450,326,6,0,8,339,34,3,368,4946,348,35,30,5364,56,11,70,5434,162,3,5597,6031,465,67,50,6618,50,6,58,6675,124,8,6801,777,31,107,9,921,4,5,7,931,8,0,937,81,7,0,104,193,0,0,0,193,6,0,199,11839,853,215,191,13098,102,27,133,13226,296,14,13537,124,12,0,3,133,7,3,9,146,6,0,154,267,26,4,13,312,7,3,4,318,8,0,326,388,37,4,17,443,10,5,13,461,19,0,480,12231,887,218,206,13543,112,33,143,13690,317,14,14021,3191,254,57,75,3572,66,19,83,3654,292,12,3962,13,4,0,9,21,0,0,0,21,0,26,49,15433,1150,273,288,17139,177,49,225,17366,611,52,18030
Campbelltown (C) (NSW),11500,765,17,12,26,786,144,6,933,6381,727,95,70,7272,143,55,198,7474,565,3,8043,6202,901,77,82,7260,101,46,147,7401,409,11,7818,605,71,101,10,783,10,0,12,794,35,0,829,121,29,3,115,270,14,0,16,292,32,3,328,13300,1733,275,282,15593,268,100,369,15961,1036,25,17024,372,63,0,10,450,68,9,74,526,39,0,557,565,91,3,25,687,54,14,77,757,46,10,813,937,158,3,37,1136,125,27,151,1285,85,10,1372,14245,1894,276,318,16724,388,125,522,17248,1123,26,18396,6630,1355,143,275,8404,321,100,429,8833,1953,20,10807,45,6,0,21,64,6,0,6,74,27,121,223,20920,3253,418,610,25196,726,234,952,26152,3103,169,29424
Canada Bay (A),11520,427,15,9,21,440,46,0,491,3946,365,31,17,4357,82,16,96,4457,199,3,4657,4409,435,38,44,4933,78,15,91,5022,132,3,5156,510,46,40,7,606,4,0,4,611,15,0,619,49,3,3,32,92,3,0,3,90,4,4,105,8910,858,113,100,9986,165,29,196,10180,352,11,10541,77,8,0,0,80,8,0,8,89,13,0,102,203,17,3,6,232,25,6,34,266,3,0,271,276,23,3,6,311,33,6,45,350,13,0,369,9187,881,117,109,10296,207,30,240,10531,365,11,10906,2552,326,50,46,2964,54,18,71,3036,388,16,3440,3,7,0,18,27,0,0,0,27,4,16,46,11748,1210,164,169,13288,257,55,305,13594,755,42,14391
Canterbury-Bankstown (A),11570,2001,51,21,72,2073,520,13,2606,11816,1586,118,138,13662,342,117,459,14117,1117,23,15257,12821,2640,164,162,15789,273,89,358,16145,947,31,17122,1142,176,185,20,1524,24,3,29,1555,64,6,1622,236,59,4,338,638,7,10,12,655,60,36,748,26016,4463,472,664,31612,644,215,854,32470,2188,97,34752,464,169,4,24,655,146,17,164,825,81,0,903,932,383,5,38,1358,129,68,196,1558,156,12,1723,1397,547,10,54,2017,280,90,368,2378,233,12,2630,27417,5010,485,718,33627,920,299,1224,34851,2419,111,37376,16167,6062,453,983,23676,1255,348,1610,25280,6796,189,32267,115,57,0,85,256,6,0,8,265,66,360,695,43697,11129,939,1790,57556,2189,655,2838,60396,9280,661,70338
Carrathool (A),11600,0,0,0,0,0,0,0,0,79,3,0,0,91,0,0,0,91,4,0,96,152,17,5,3,176,0,0,0,176,9,0,187,20,3,5,0,23,0,0,0,23,0,0,23,0,0,0,9,5,0,0,0,5,0,0,5,253,20,10,15,300,0,0,0,300,10,0,310,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,11,0,0,0,11,0,0,11,7,3,0,0,11,0,0,0,11,0,0,11,255,23,10,10,308,0,0,0,308,10,0,317,69,15,6,3,90,0,0,0,90,13,0,98,3,0,0,0,3,0,0,0,3,0,0,3,323,40,16,17,397,0,0,0,397,21,0,425
Central Coast (C) (NSW),11650,941,24,8,27,967,124,3,1088,10318,1405,152,79,11948,207,57,264,12212,783,19,13021,18513,1964,250,143,20878,246,66,310,21187,719,18,21928,1544,183,244,21,1987,29,9,37,2024,76,3,2105,219,23,7,201,445,9,0,15,458,26,18,500,30590,3573,647,448,35266,493,131,626,35890,1607,56,37553,336,40,11,11,394,43,12,55,445,44,0,492,917,104,12,15,1054,55,9,65,1117,69,3,1185,1252,144,25,24,1443,106,20,119,1562,110,3,1672,31843,3718,673,474,36704,597,151,743,37449,1720,57,39229,9061,1245,290,233,10829,340,68,406,11243,1532,23,12799,60,15,7,28,108,0,0,0,108,8,99,207,40968,4980,967,731,47645,935,218,1156,48798,3257,182,52232
Central Darling (A),11700,0,0,0,0,0,0,0,0,34,0,3,0,44,0,3,3,46,7,0,49,14,5,0,3,23,0,0,0,23,6,0,32,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,12,3,7,73,0,3,3,78,14,0,89,3,0,0,0,3,3,0,3,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,9,0,0,11,58,12,3,7,81,3,3,3,81,17,0,96,39,6,0,0,38,11,0,11,52,25,0,81,0,0,0,0,0,0,0,0,0,0,9,9,95,12,3,7,115,14,5,18,138,40,9,190
Cessnock (C),11720,70,3,0,3,75,17,0,90,1466,130,37,8,1645,60,5,67,1713,110,0,1825,2679,333,43,25,3086,58,4,59,3147,153,0,3299,227,29,53,0,312,0,3,3,312,9,0,326,21,4,0,44,66,0,0,0,66,0,3,71,4399,502,138,75,5113,123,9,132,5239,276,3,5522,43,12,0,0,51,27,0,27,77,19,0,92,100,30,3,9,139,3,3,3,146,26,0,172,142,37,3,13,189,27,3,32,221,42,0,268,4537,536,140,90,5301,143,17,159,5462,321,3,5794,1712,243,47,53,2051,113,16,130,2182,503,5,2690,21,6,0,0,29,0,0,0,29,0,29,56,6269,781,188,143,7385,255,32,291,7676,828,34,8540
Clarence Valley (A),11730,14,0,0,0,14,3,0,17,1144,182,15,18,1360,30,10,34,1390,99,0,1493,1749,378,29,31,2192,40,11,57,2247,143,3,2390,130,42,22,0,197,0,0,0,202,24,0,222,31,5,4,13,57,5,0,5,62,10,9,78,3062,617,68,60,3802,77,20,97,3904,268,7,4183,42,11,0,0,55,38,5,42,96,17,3,109,90,4,7,3,103,19,5,27,128,6,3,138,133,19,5,3,157,58,8,68,220,24,3,249,3193,629,80,58,3962,132,32,164,4125,291,15,4430,1062,214,46,38,1361,56,15,69,1426,418,0,1844,10,9,0,0,23,0,0,0,23,0,5,36,4264,856,128,101,5341,188,43,233,5578,708,20,6307
Cobar (A),11750,3,0,0,0,3,0,0,3,174,10,3,3,190,0,0,0,194,9,0,199,208,12,3,8,229,4,0,4,234,4,0,240,20,16,7,3,41,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,404,39,18,12,473,5,0,5,479,10,0,489,5,0,0,0,5,3,0,3,5,0,0,11,7,0,0,0,7,0,0,0,7,0,0,7,17,0,0,0,17,3,0,3,21,0,0,21,420,39,18,12,490,9,0,9,498,11,0,508,216,11,16,10,249,9,0,9,256,32,0,288,3,0,0,0,3,0,0,0,3,0,0,4,637,48,36,26,737,15,0,15,761,40,0,796
Coffs Harbour (C),11800,74,0,0,0,74,18,0,86,2162,347,20,20,2547,44,29,74,2623,197,8,2822,3284,638,49,57,4027,59,13,71,4103,201,0,4304,275,37,49,0,364,5,0,12,372,18,0,385,47,0,0,29,78,8,0,8,84,3,3,93,5769,1020,118,107,7012,114,48,163,7177,416,14,7608,43,22,0,3,68,26,6,35,103,3,0,104,129,22,10,0,161,34,14,47,212,20,0,229,178,49,10,3,231,63,18,80,311,23,0,335,5948,1062,125,111,7247,180,70,248,7492,436,14,7945,1580,303,33,48,1961,84,22,105,2064,457,8,2532,4,3,0,8,22,3,0,3,22,0,43,67,7528,1370,152,171,9230,259,91,356,9582,895,62,10537
