lga_code16,m_negnilinc_e,m_negnilinc_om_ie,m_negnilinc_om_uie,m_negnilinc_cfw,m_negnilinc_es_ns,m_negnilinc_tot,m_1_149_e,m_1_149_om_ie,m_1_149_om_uie,m_1_149_cfw,m_1_149_es_ns,m_1_149_tot,m_150_299_e,m_150_299_om_ie,m_150_299_om_uie,m_150_299_cfw,m_150_299_es_ns,m_150_299_tot,m_300_399_e,m_300_399_om_ie,m_300_399_om_uie,m_300_399_cfw,m_300_399_es_ns,m_300_399_tot,m_400_499_e,m_400_499_om_ie,m_400_499_om_uie,m_400_499_cfw,m_400_499_es_ns,m_400_499_tot,m_500_649_e,m_500_649_om_ie,m_500_649_om_uie,m_500_649_cfw,m_500_649_es_ns,m_500_649_tot,m_650_799_e,m_650_799_om_ie,m_650_799_om_uie,m_650_799_cfw,m_650_799_es_ns,m_650_799_tot,m_800_999_e,m_800_999_om_ie,m_800_999_om_uie,m_800_999_cfw,m_800_999_es_ns,m_800_999_tot,m_1000_1249_e,m_1000_1249_om_ie,m_1000_1249_om_uie,m_1000_1249_cfw,m_1000_1249_es_ns,m_1000_1249_tot,m_1250_1499_e,m_1250_1499_om_ie,m_1250_1499_om_uie,m_1250_1499_cfw,m_1250_1499_es_ns,m_1250_1499_tot,m_1500_1749_e,m_1500_1749_om_ie,m_1500_1749_om_uie,m_1500_1749_cfw,m_1500_1749_es_ns,m_1500_1749_tot,m_1750_1999_e,m_1750_1999_om_ie,m_1750_1999_om_uie,m_1750_1999_cfw,m_1750_1999_es_ns,m_1750_1999_tot,m_2000_2999_e,m_2000_2999_om_ie,m_2000_2999_om_uie,m_2000_2999_cfw,m_2000_2999_es_ns,m_2000_2999_tot,m_3000mor_e,m_3000mor_om_ie,m_3000mor_om_uie,m_3000mor_cfw,m_3000mor_es_ns,m_3000mor_tot,m_persinc_ns_e,m_persinc_ns_om_ie,m_persinc_ns_om_uie,m_persinc_ns_cfw,m_persinc_ns_es_ns,m_persinc_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_negnilinc_e,f_negnilinc_om_ie,f_negnilinc_om_uie,f_negnilinc_cfw,f_negnilinc_es_ns,f_negnilinc_tot,f_1_149_e,f_1_149_om_ie,f_1_149_om_uie,f_1_149_cfw,f_1_149_es_ns,f_1_149_tot,f_150_299_e,f_150_299_om_ie,f_150_299_om_uie,f_150_299_cfw,f_150_299_es_ns,f_150_299_tot,f_300_399_e,f_300_399_om_ie,f_300_399_om_uie,f_300_399_cfw,f_300_399_es_ns,f_300_399_tot,f_400_499_e,f_400_499_om_ie,f_400_499_om_uie,f_400_499_cfw,f_400_499_es_ns,f_400_499_tot,f_500_649_e,f_500_649_om_ie,f_500_649_om_uie,f_500_649_cfw,f_500_649_es_ns,f_500_649_tot,f_650_799_e,f_650_799_om_ie,f_650_799_om_uie,f_650_799_cfw,f_650_799_es_ns,f_650_799_tot,f_800_999_e,f_800_999_om_ie,f_800_999_om_uie,f_800_999_cfw,f_800_999_es_ns,f_800_999_tot,f_1000_1249_e,f_1000_1249_om_ie,f_1000_1249_om_uie,f_1000_1249_cfw,f_1000_1249_es_ns,f_1000_1249_tot,f_1250_1499_e,f_1250_1499_om_ie,f_1250_1499_om_uie,f_1250_1499_cfw,f_1250_1499_es_ns,f_1250_1499_tot,f_1500_1749_e,f_1500_1749_om_ie,f_1500_1749_om_uie,f_1500_1749_cfw,f_1500_1749_es_ns,f_1500_1749_tot,f_1750_1999_e,f_1750_1999_om_ie,f_1750_1999_om_uie,f_1750_1999_cfw,f_1750_1999_es_ns,f_1750_1999_tot,f_2000_2999_e,f_2000_2999_om_ie,f_2000_2999_om_uie,f_2000_2999_cfw,f_2000_2999_es_ns,f_2000_2999_tot,f_3000mor_e,f_3000mor_om_ie,f_3000mor_om_uie,f_3000mor_cfw,f_3000mor_es_ns,f_3000mor_tot,f_persinc_ns_e,f_persinc_ns_om_ie,f_persinc_ns_om_uie,f_persinc_ns_cfw,f_persinc_ns_es_ns,f_persinc_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_negnilinc_e,p_negnilinc_om_ie,p_negnilinc_om_uie,p_negnilinc_cfw,p_negnilinc_es_ns,p_negnilinc_tot,p_1_149_e,p_1_149_om_ie,lga_name16
17040,16,3,10,17,0,48,114,0,11,13,5,138,96,0,38,14,4,154,149,6,26,17,7,211,186,11,48,29,3,278,374,28,85,21,5,517,508,33,85,20,8,645,621,47,87,16,17,792,550,79,88,11,3,735,320,43,50,7,0,422,232,53,46,10,5,338,177,28,28,8,3,245,225,29,32,3,0,290,80,34,26,12,4,150,52,7,15,9,8,93,3702,398,669,210,72,5053,16,0,11,37,3,65,166,0,10,19,11,204,170,9,40,20,3,247,229,19,31,12,3,291,302,20,32,22,4,383,610,24,71,22,3,730,676,26,54,11,0,766,546,36,48,11,6,641,378,36,32,5,8,460,243,27,23,3,0,293,145,25,15,8,3,201,124,9,7,7,4,144,104,11,13,3,0,133,26,19,19,5,0,63,63,3,18,4,3,94,3804,265,409,187,51,4709,34,3,12,56,4,110,279,4,Snowy Monaro Regional (A)
17080,8,0,8,19,3,33,56,0,0,15,0,69,33,0,14,17,3,72,51,10,28,13,4,100,80,4,34,14,3,130,120,13,51,17,4,203,224,20,31,12,10,293,329,24,36,6,7,401,408,35,51,16,6,525,306,23,42,4,3,383,286,21,37,3,5,352,194,10,17,0,4,231,258,21,25,0,4,316,72,18,14,4,0,101,32,5,9,8,8,71,2450,214,399,142,67,3278,15,0,3,14,6,33,107,0,10,8,7,130,130,7,16,17,3,167,142,5,14,9,6,182,176,7,14,10,9,220,334,13,39,13,14,423,343,14,26,9,3,397,277,11,23,10,5,325,214,10,24,5,4,270,115,12,16,0,3,144,79,11,15,3,3,110,59,6,3,0,0,67,64,6,8,0,0,79,12,3,4,0,0,30,32,3,5,8,0,46,2105,111,231,110,56,2611,19,0,9,34,7,65,156,0,Snowy Valleys (A)
17420,63,29,20,64,7,186,1029,17,45,24,13,1129,899,48,86,29,5,1064,740,95,102,38,11,982,867,106,127,24,11,1139,1223,200,216,33,22,1688,1660,267,236,35,30,2231,2409,370,251,26,30,3082,2942,487,310,34,37,3800,2276,461,247,15,12,3012,2151,507,168,13,17,2852,1814,326,118,10,11,2275,3448,612,175,15,17,4264,1979,669,202,15,15,2883,322,79,29,8,37,467,23805,4273,2336,374,257,31046,119,14,15,107,4,265,1801,30,122,49,9,2009,1808,64,171,54,11,2113,1783,80,148,55,11,2081,1886,100,173,36,16,2208,2752,177,198,50,17,3197,3191,202,181,37,32,3634,3495,218,189,25,31,3956,3455,237,171,23,22,3904,2307,192,112,14,11,2642,1852,198,75,13,12,2147,1316,112,64,10,6,1501,1541,201,72,4,4,1825,573,208,74,8,6,867,388,24,28,12,14,474,28261,2064,1804,493,206,32820,183,45,35,172,11,448,2825,49,The Hills Shire (A)
17550,32,8,16,44,4,95,403,11,34,26,12,481,319,18,79,30,19,467,300,34,125,37,17,522,493,48,164,37,22,755,817,81,260,22,20,1203,1177,103,215,12,21,1527,1523,135,223,13,26,1920,1445,215,257,19,10,1948,866,123,139,8,20,1156,640,156,99,3,0,904,500,85,68,3,8,663,516,142,81,7,7,749,214,143,64,7,3,422,154,21,46,14,24,252,9389,1321,1868,287,208,13061,33,3,16,59,0,111,614,12,55,31,13,730,706,37,132,56,15,943,750,27,153,47,25,1009,1029,46,155,35,18,1285,1793,82,180,35,27,2121,1892,74,180,25,22,2189,1795,76,141,24,15,2049,1403,106,143,15,13,1685,800,64,47,4,0,923,652,69,41,4,3,772,437,27,31,4,7,502,299,48,37,5,0,389,70,36,29,6,3,144,183,15,22,10,16,242,12466,732,1369,357,185,15099,63,13,27,102,4,211,1014,22,Tweed (A)
17620,7,4,13,26,0,42,65,0,10,3,0,82,32,3,16,17,3,70,46,10,16,12,3,86,67,13,22,15,0,117,134,12,38,11,4,209,241,13,48,15,4,322,302,25,31,4,7,365,261,24,46,8,6,347,150,20,32,7,3,214,94,17,20,3,5,136,65,10,15,3,3,92,83,21,13,5,0,127,45,29,24,7,3,99,37,3,15,3,3,61,1643,200,358,129,49,2378,7,0,10,28,0,45,102,0,12,7,6,132,148,3,21,15,4,193,136,14,32,21,0,201,170,3,24,9,3,217,285,15,34,21,5,354,369,11,23,8,3,411,326,16,21,3,11,375,210,15,13,9,0,251,107,0,16,4,0,126,93,3,4,3,4,107,76,3,3,0,0,90,62,11,5,3,5,81,14,7,7,0,0,35,34,4,7,14,3,53,2147,107,231,135,35,2663,11,4,14,51,0,86,170,0,Upper Hunter Shire (A)
17640,4,0,4,20,0,30,19,0,3,10,0,32,24,4,9,25,0,64,31,3,18,14,0,73,33,4,36,23,0,92,46,10,42,31,0,128,72,17,38,28,8,165,102,14,47,18,3,191,93,21,59,14,3,178,55,11,24,12,0,103,51,5,23,4,0,88,23,6,12,5,0,45,55,12,21,5,0,88,16,9,28,3,3,60,19,0,7,3,0,30,638,123,370,215,29,1375,5,0,3,12,0,25,51,0,3,15,4,71,54,0,16,11,3,94,61,0,18,8,0,97,74,9,14,9,5,107,113,8,18,20,0,167,99,4,18,13,3,135,90,10,13,4,0,119,73,6,16,4,0,103,35,3,3,3,0,50,31,3,14,3,0,54,18,0,3,0,0,24,19,3,6,8,0,38,9,3,6,0,0,22,10,0,3,3,0,23,744,52,173,127,18,1115,8,3,12,36,0,57,65,0,Upper Lachlan Shire (A)
17650,0,0,0,5,0,14,6,0,4,9,0,17,6,3,7,11,3,32,14,0,22,11,0,45,16,6,8,3,0,40,43,9,32,13,3,96,58,9,28,3,3,99,76,6,29,5,3,121,68,6,20,4,4,106,32,3,16,0,0,55,15,3,8,3,0,37,20,3,8,0,0,31,23,7,10,6,0,41,4,3,6,0,0,16,8,0,8,0,3,13,390,56,216,73,17,749,0,0,4,8,0,11,24,0,6,8,0,32,37,3,14,10,0,63,29,7,8,7,3,53,36,5,10,4,0,52,56,5,13,6,0,82,64,5,18,6,3,90,46,7,6,3,0,54,35,3,15,0,3,52,11,0,5,4,0,23,12,0,3,4,0,19,15,0,0,3,0,14,12,3,0,0,0,17,0,0,0,0,0,6,5,0,3,3,0,19,384,35,110,61,11,602,0,0,6,14,0,27,27,0,Uralla (A)
17750,30,3,15,28,0,80,416,3,17,25,10,463,267,14,33,28,4,343,300,15,55,24,9,401,449,23,61,15,6,558,844,58,129,30,22,1083,1652,58,144,16,11,1878,2065,127,198,13,22,2433,1973,147,182,20,16,2341,1332,110,131,14,18,1605,1066,126,86,10,8,1300,859,71,62,9,4,994,1048,113,76,6,6,1249,264,162,99,3,6,534,204,15,26,13,15,265,12772,1051,1299,251,162,15527,47,3,15,46,3,107,632,4,24,17,5,688,606,12,47,26,5,704,708,19,51,27,10,817,903,16,69,14,12,1014,1542,47,99,27,19,1734,1970,33,100,22,24,2149,1895,61,95,15,19,2089,1732,49,74,16,16,1891,1163,27,62,11,8,1265,822,34,32,12,10,907,600,28,22,3,5,661,546,29,24,6,3,604,118,68,30,4,3,218,182,7,10,11,14,226,13464,448,751,251,153,15075,80,7,29,68,9,189,1046,11,Wagga Wagga (C)
17850,3,0,5,13,0,20,12,0,3,4,0,19,10,3,17,6,0,40,7,4,9,14,0,30,14,6,20,8,0,45,42,3,16,12,3,78,59,3,19,3,0,87,64,13,21,7,3,109,72,9,24,6,3,117,35,3,17,0,3,58,29,3,13,3,0,48,20,0,11,3,0,36,16,4,14,0,0,36,8,3,7,8,0,25,8,3,8,7,0,27,401,67,197,93,17,769,4,0,0,11,0,11,24,0,3,7,0,37,27,0,13,7,0,50,22,3,8,7,0,46,30,3,11,4,3,46,67,4,19,5,3,91,57,0,6,5,0,76,37,5,12,5,0,62,33,4,6,7,0,55,19,0,9,0,0,26,20,0,11,4,0,35,11,0,9,3,0,19,14,0,3,0,0,17,0,0,5,0,0,10,3,0,0,3,0,13,367,27,110,78,11,590,9,0,7,19,0,31,31,0,Walcha (A)
17900,3,0,11,37,0,59,12,0,3,4,0,16,23,0,17,11,0,48,24,4,6,7,4,45,27,3,19,15,5,73,67,5,19,12,3,107,94,4,19,5,3,120,102,12,20,8,4,140,101,13,26,6,4,144,59,10,10,0,0,79,43,4,11,0,0,62,30,3,8,0,3,50,42,7,13,3,4,66,17,8,8,6,0,33,18,0,3,3,4,31,655,82,185,125,40,1079,4,0,6,17,0,29,24,0,4,10,0,36,27,0,3,11,0,43,47,3,3,6,5,60,44,3,7,15,3,65,99,3,9,8,0,119,112,5,11,5,3,134,109,0,3,3,0,118,97,5,9,5,0,121,72,0,4,0,0,81,50,0,3,0,0,53,32,3,3,3,0,39,38,3,0,0,0,43,7,4,6,3,0,20,13,0,0,3,4,20,768,30,76,86,24,976,5,4,20,58,0,89,36,0,Walgett (A)
17950,0,0,3,3,0,11,0,0,0,5,0,9,3,0,3,5,0,14,3,3,6,0,0,14,19,0,15,0,4,37,24,3,14,7,0,50,46,5,6,3,0,61,79,10,10,3,0,104,64,10,20,5,0,106,42,8,10,4,0,65,38,5,6,0,0,47,17,9,10,3,0,35,21,0,8,0,0,33,7,7,5,0,0,26,8,3,7,0,0,11,375,63,129,48,8,625,0,0,0,5,0,4,12,0,0,0,0,12,13,0,3,7,0,24,17,0,4,0,0,24,30,0,9,4,0,39,43,4,12,3,0,60,58,4,0,3,0,66,51,4,7,3,0,67,40,6,10,5,0,62,22,0,3,3,3,35,17,0,4,3,0,26,4,5,3,3,0,13,9,0,0,0,0,17,3,3,0,5,0,13,14,0,3,0,0,15,338,25,61,42,3,470,0,4,3,9,0,10,12,0,Warren (A)
18020,0,0,10,34,0,48,19,0,7,7,0,40,27,4,26,23,7,79,17,6,19,20,3,68,35,10,41,27,3,108,97,5,41,14,3,159,136,10,41,12,6,211,138,11,44,12,6,211,122,16,35,5,3,179,61,15,20,7,0,99,55,9,17,4,3,93,41,4,18,0,0,60,45,6,18,6,0,82,9,10,22,3,0,40,15,0,15,6,3,44,813,111,376,177,40,1525,7,0,4,24,0,33,37,0,4,7,6,54,61,0,18,17,0,91,67,3,19,17,0,104,102,4,24,18,4,153,163,4,27,11,3,204,166,7,19,14,0,206,136,11,20,9,0,172,114,8,21,8,0,147,76,3,3,0,0,85,48,3,15,4,0,71,50,0,7,0,0,58,35,4,9,0,0,51,11,3,11,3,0,22,32,3,7,5,3,53,1103,57,192,121,25,1496,12,0,17,52,0,82,59,3,Warrumbungle Shire (A)
18050,34,15,15,23,0,87,251,4,26,4,3,285,288,20,20,11,4,338,375,32,49,3,3,459,509,24,51,8,6,597,621,69,120,10,7,828,795,94,114,11,3,1025,1024,115,164,7,16,1326,1113,205,180,6,23,1528,782,164,115,7,6,1074,640,199,146,6,6,996,438,131,76,9,11,656,617,270,136,3,5,1035,374,406,169,21,7,970,93,32,16,5,17,161,7949,1785,1391,137,114,11371,55,8,17,33,0,120,493,8,56,11,4,576,598,27,61,16,7,714,676,31,88,11,10,824,835,38,86,18,14,988,1164,53,131,11,10,1376,1357,75,152,13,12,1604,1373,71,146,20,15,1620,1301,90,167,17,13,1588,780,88,103,6,3,985,607,82,86,6,3,789,391,61,53,8,0,513,433,106,108,3,4,661,191,131,80,16,0,415,148,14,31,3,11,205,10412,902,1360,196,103,12969,86,22,28,63,3,206,744,16,Waverley (A)
18100,3,0,4,5,0,12,13,0,0,8,0,22,12,0,6,3,3,22,20,3,11,3,0,42,19,0,13,4,0,36,22,7,28,7,4,59,52,5,28,8,0,94,68,8,34,6,0,108,46,20,33,3,0,98,20,6,22,3,0,52,16,9,8,0,0,34,11,3,9,3,0,28,17,3,11,0,3,34,3,3,15,4,0,27,6,0,0,8,3,14,325,64,224,62,21,690,0,0,0,12,0,13,21,0,0,7,0,28,22,0,8,3,0,33,20,0,11,9,0,35,34,0,10,8,0,51,42,3,15,3,4,74,47,0,16,11,3,73,51,3,14,6,0,75,37,6,13,0,0,55,21,3,10,0,0,28,16,3,8,0,0,32,9,0,7,0,0,17,8,0,8,0,0,16,3,0,5,3,0,11,4,0,3,0,0,14,340,22,117,60,7,547,4,0,5,13,0,20,30,0,Weddin (A)
18200,8,3,9,14,0,30,13,0,3,3,0,24,20,4,8,14,0,54,39,5,5,4,0,57,53,13,4,6,0,80,93,11,20,11,3,133,132,11,23,4,3,174,187,9,32,5,7,233,202,14,20,6,3,249,117,13,12,6,0,144,104,13,13,3,0,128,92,6,14,3,0,120,97,14,13,3,0,127,27,10,12,6,0,47,21,5,6,3,0,38,1204,125,194,97,26,1636,5,0,3,9,0,17,32,3,5,0,4,42,50,0,7,11,0,67,61,3,13,9,5,87,61,3,11,11,0,83,120,7,16,7,3,149,128,7,14,4,6,155,141,4,10,4,0,165,96,3,7,7,0,111,62,5,3,4,0,73,36,5,8,0,0,48,41,3,3,4,0,49,24,0,8,0,0,34,3,11,6,3,0,17,8,0,0,0,0,17,870,54,100,67,24,1111,16,3,10,20,0,50,43,4,Wentworth (A)
18230,27,4,20,35,0,85,226,3,19,22,10,277,146,10,37,22,4,221,183,17,57,30,16,303,343,26,80,20,10,481,571,46,102,23,12,760,1111,68,142,17,17,1353,1389,84,141,18,24,1663,1333,107,150,20,15,1631,854,82,75,8,10,1030,654,84,77,3,13,823,534,47,67,3,5,659,659,90,49,15,6,812,189,103,59,8,5,359,144,15,27,19,29,230,8368,790,1091,261,173,10680,32,3,10,35,3,88,405,5,11,24,9,454,388,8,49,24,11,479,427,18,60,24,10,534,577,18,64,20,13,696,1151,31,100,26,12,1312,1396,37,91,15,9,1551,1420,56,77,13,10,1568,1275,37,61,10,12,1397,778,24,39,0,9,844,649,33,38,0,4,727,498,19,13,0,3,538,421,36,23,0,3,481,82,32,31,3,4,149,138,12,18,13,11,191,9637,361,688,213,116,11015,60,9,29,78,3,176,629,8,Western Plains Regional (A)
18250,68,20,16,54,4,160,534,6,26,10,4,581,636,25,47,13,4,718,621,44,58,24,13,756,762,61,78,9,10,923,1078,110,127,14,13,1341,1480,159,134,20,17,1812,2402,235,166,13,23,2838,3021,273,186,17,22,3513,2623,257,148,7,10,3047,2536,309,116,7,13,2992,1925,216,77,5,14,2241,4126,448,156,16,17,4756,3213,775,213,26,19,4252,301,45,24,5,28,400,25316,2976,1588,249,211,30337,100,7,19,62,3,188,825,7,44,16,6,899,1166,25,73,27,7,1300,1137,54,71,28,11,1309,1331,45,105,20,6,1508,1801,78,111,18,20,2031,2380,117,100,13,8,2619,3213,151,123,13,22,3527,3780,102,114,14,23,4034,2794,124,92,15,17,3032,2431,123,78,3,11,2643,1580,75,49,9,9,1715,2370,145,61,7,10,2597,1022,175,76,11,6,1289,351,12,20,11,24,419,26270,1251,1141,270,173,29108,171,31,34,115,4,353,1357,14,Willoughby (C)
18350,14,8,7,42,9,82,310,5,19,18,3,360,154,21,36,16,9,242,185,35,65,33,8,322,230,41,71,17,13,374,413,40,112,25,13,605,612,77,139,11,20,857,850,99,159,7,16,1138,907,147,192,15,10,1271,508,97,120,12,11,747,474,125,96,3,16,713,381,83,67,4,4,535,509,115,78,6,3,710,148,161,72,15,5,397,121,25,24,4,13,186,5812,1079,1263,232,142,8529,21,5,8,70,3,113,448,6,49,16,9,534,398,14,80,21,7,523,504,36,94,27,7,675,603,41,86,14,16,763,996,61,127,22,10,1219,1160,66,117,19,12,1375,1064,77,100,17,4,1263,785,77,91,19,4,979,428,48,59,8,4,540,328,70,41,4,3,441,250,41,25,8,3,319,229,56,39,4,0,336,56,64,17,10,3,145,119,14,19,8,7,160,7397,667,956,267,93,9383,34,17,16,112,9,190,758,12,Wingecarribee (A)
18400,12,3,6,14,0,36,147,10,13,16,8,190,94,9,30,16,0,147,109,10,39,14,4,166,152,26,47,11,6,241,259,54,65,7,6,391,363,60,72,10,8,514,542,94,89,3,17,742,589,138,99,7,8,840,453,106,76,0,10,643,398,84,43,7,4,533,436,60,37,4,0,532,776,76,36,0,12,896,371,49,29,3,3,454,86,13,13,3,3,118,4764,788,694,106,92,6444,21,0,6,39,4,73,230,8,32,18,3,295,234,25,46,28,6,327,268,21,50,17,6,371,310,22,49,19,3,408,419,32,61,13,10,540,555,51,64,10,8,685,430,55,60,6,8,563,350,52,38,11,4,459,227,33,27,3,3,291,165,34,21,5,0,219,124,13,12,0,0,153,117,24,12,0,0,154,24,13,13,4,0,47,78,13,4,3,3,103,3551,392,502,176,67,4691,28,6,11,57,3,109,376,20,Wollondilly (A)
18450,105,12,27,63,6,215,1138,20,43,21,20,1241,1019,32,121,30,21,1221,1056,60,151,30,32,1333,1299,67,194,30,31,1624,1853,151,271,30,31,2337,2497,228,272,27,38,3060,3599,309,329,21,50,4308,4285,453,369,23,36,5161,3316,322,243,15,36,3932,3220,355,205,10,23,3807,2865,200,110,9,13,3194,4428,383,154,4,14,4980,1488,385,177,6,11,2069,423,47,48,7,38,567,32604,3026,2710,320,389,39052,125,5,32,92,13,265,1802,24,130,47,20,2029,2117,41,189,45,30,2421,2153,50,204,37,24,2477,2728,67,224,27,32,3081,4227,116,304,37,44,4728,4799,132,218,30,33,5214,4734,142,237,32,34,5182,4486,155,180,9,27,4858,2864,116,115,8,10,3121,2195,108,80,14,9,2404,1494,53,53,3,8,1614,1505,80,51,3,5,1640,373,90,72,12,8,551,496,18,39,14,40,597,36097,1198,2128,411,329,40171,230,18,58,150,18,477,2941,43,Wollongong (C)
18500,21,12,12,25,0,69,127,11,9,7,4,149,211,8,29,5,4,261,246,23,39,14,8,317,312,21,43,7,10,398,416,62,75,5,0,566,504,80,91,9,5,694,685,107,106,8,5,918,825,162,138,22,9,1157,599,130,106,10,9,860,466,158,99,5,5,741,407,114,92,12,5,625,698,257,133,16,10,1111,388,567,166,43,7,1178,93,24,32,6,10,164,6006,1747,1174,211,90,9219,35,14,12,45,0,108,253,6,43,14,3,313,421,17,59,13,4,520,434,24,67,17,4,546,476,28,66,11,8,592,763,47,106,20,7,946,865,75,122,18,9,1082,1031,81,111,11,10,1245,1210,117,111,20,16,1474,791,86,99,9,6,993,579,106,78,5,7,779,437,66,59,4,0,569,537,121,107,19,0,789,203,254,102,56,6,618,123,23,29,9,8,181,8154,1064,1177,273,91,10750,62,23,24,73,0,180,383,11,Woollahra (A)
18710,7,0,3,14,0,18,69,0,0,3,0,75,44,4,11,14,3,74,35,10,25,6,0,73,37,0,28,12,3,81,83,12,36,14,3,140,133,16,30,14,6,194,189,22,40,12,4,267,175,35,42,13,5,266,103,32,31,3,0,178,83,28,27,10,0,151,52,23,16,5,0,99,74,22,33,5,0,138,24,37,18,4,4,84,15,5,3,3,3,30,1114,245,342,131,36,1871,3,3,0,21,0,33,98,0,20,6,0,130,78,3,20,21,7,124,109,13,22,15,3,156,123,5,26,11,0,166,193,8,21,19,3,249,190,11,32,8,0,241,145,10,31,12,6,207,151,10,17,10,4,192,95,8,16,4,0,122,66,11,9,5,0,100,39,9,3,4,0,53,42,7,15,6,0,72,7,9,9,6,7,35,19,3,5,8,0,44,1360,120,251,156,33,1913,12,3,3,32,0,49,168,0,Yass Valley (A)
19399,0,0,3,7,0,11,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,4,0,11,5,0,10,7,0,21,17,4,11,3,0,28,29,3,3,3,0,48,17,5,13,0,0,40,39,8,13,3,0,62,12,5,10,0,0,26,12,3,9,0,0,29,6,0,7,0,0,12,14,3,0,0,0,23,7,4,6,0,0,14,3,3,3,0,0,7,174,32,84,33,6,330,0,0,0,9,0,7,7,0,0,5,0,7,9,0,0,0,0,7,13,3,0,3,0,24,13,3,3,6,0,22,19,0,7,0,0,26,18,7,4,3,0,33,22,0,3,0,0,26,14,4,6,3,0,24,11,4,9,0,0,18,5,0,7,0,0,6,0,0,5,0,0,10,6,3,3,0,0,9,0,3,0,0,0,3,3,0,0,0,0,7,131,30,44,33,9,240,0,3,5,12,0,23,3,0,Unincorporated NSW
20110,3,0,11,15,0,28,86,3,4,3,6,104,30,5,20,19,0,76,70,14,27,22,5,136,80,12,35,14,4,141,113,23,51,10,7,203,176,35,34,9,7,258,241,40,46,15,6,346,231,42,38,10,3,329,151,27,20,5,3,209,99,32,27,0,5,160,91,8,11,0,0,113,87,19,14,4,3,127,21,13,11,0,0,49,26,3,7,8,3,46,1511,272,355,127,46,2311,10,0,3,18,0,27,127,8,13,10,0,162,109,6,20,15,0,143,131,14,21,19,9,192,177,8,30,10,5,222,266,31,44,15,6,351,300,32,17,6,0,356,226,22,32,10,0,281,150,14,17,6,4,189,107,13,12,9,0,135,66,8,12,0,0,87,30,3,3,3,0,43,30,5,3,0,0,40,10,6,6,0,0,24,28,3,4,4,5,42,1761,164,232,106,35,2297,17,0,10,27,0,53,210,5,Alpine (S)
20260,4,0,10,28,0,44,71,3,6,9,0,87,53,4,15,18,5,88,52,10,20,10,0,93,92,10,22,11,0,136,157,24,23,11,0,215,264,15,27,16,7,326,264,27,36,4,4,334,332,26,37,11,0,409,203,22,19,6,4,248,173,24,16,0,0,210,128,12,16,0,0,154,138,17,7,4,0,166,30,19,8,3,0,65,35,3,3,3,3,51,1980,214,265,133,33,2622,8,0,5,9,3,29,78,0,15,6,0,103,110,6,16,15,3,144,114,3,20,10,3,151,150,8,29,8,3,192,258,14,17,13,4,303,303,10,8,10,4,332,284,11,11,4,3,315,223,10,7,10,0,247,129,0,3,7,0,143,96,5,6,0,0,105,53,3,3,3,0,65,29,6,3,0,0,41,8,7,11,3,0,22,31,0,0,8,3,46,1879,86,155,90,29,2243,15,0,21,35,3,75,153,5,Ararat (RC)
20570,69,5,21,48,3,141,695,8,27,20,9,759,577,24,62,30,15,703,532,35,97,30,18,711,779,49,125,14,24,994,1196,117,161,26,16,1524,1974,193,176,27,29,2391,2744,197,189,17,30,3174,2782,261,201,17,36,3290,1900,217,100,6,29,2253,1612,176,73,3,17,1883,1138,109,53,5,9,1304,1335,194,87,4,8,1626,454,251,109,16,10,837,287,32,24,4,22,374,18055,1862,1511,278,272,21977,85,3,9,80,4,183,1148,14,57,41,24,1276,1239,35,92,37,18,1424,1341,44,108,38,24,1557,1715,61,92,28,23,1907,2611,98,149,30,29,2910,2935,94,110,22,41,3203,3022,84,100,15,23,3246,2687,81,92,14,19,2894,1686,64,45,13,5,1814,1204,59,31,3,5,1308,698,43,31,3,4,778,571,63,42,3,0,680,179,51,31,13,4,275,297,11,9,11,18,357,21416,810,1005,339,243,23816,151,12,30,129,13,329,1842,18,Ballarat (C)
20660,66,16,14,35,3,131,610,16,34,20,8,690,494,33,69,22,13,624,450,41,92,19,15,615,482,85,122,18,15,717,755,130,153,26,14,1083,1283,173,164,26,26,1664,1624,222,195,18,24,2085,1916,278,206,18,26,2451,1419,261,151,7,18,1856,1227,252,105,8,15,1609,939,149,85,3,7,1182,958,246,89,3,11,1306,524,311,110,8,8,961,210,43,35,5,17,308,12962,2258,1628,232,204,17280,74,5,17,58,5,162,1065,20,81,30,5,1203,1189,35,135,28,17,1404,1076,53,113,21,17,1287,1347,45,110,20,14,1529,2081,107,171,19,15,2391,2477,97,148,18,19,2750,2770,99,105,10,28,3018,2854,106,100,14,19,3097,1933,83,62,10,8,2099,1433,106,56,6,14,1620,810,43,33,3,7,902,687,72,47,9,5,818,251,74,67,8,3,400,349,22,10,14,6,393,20395,971,1256,266,179,23072,141,23,27,91,8,288,1674,36,Banyule (C)
