lga_name_2016,lga_code_2016,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Campbelltown (C) (SA),40910,0,5,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,13,504,509,1014,20,21,38,529,536,1061,8,12,13,572,570,1135,20,22,34,591,599,1191,117,142,259,14992,15625,30617,124,120,249,15239,15888,31131,3,8,8,0,0,0,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,278,247,526,0,0,3,282,252,534,21,15,43,2711,2410,5119,22,21,44,2764,2447,5206,8,16,23,1304,1236,2543,9,12,23,1322,1268,2586,4,8,11,814,819,1634,3,5,11,825,835,1662,8,12,25,812,1242,2057,3,3,12,830,1265,2093,38,47,88,11194,12012,23204,61,71,133,11297,12132,23432,16,24,40,3004,2952,5960,27,20,46,3054,2996,6042,18,24,43,2337
Cleve (DC),41190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,192,433,59,34,93,307,225,525,0,0,0,248,191,444,59,34,93,308,223,536,7,3,10,830,772,1602,12,6,20,855,785,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,21,0,0,0,8,7,24,0,0,4,118,93,208,0,5,3,122,91,212,0,0,0,34,38,72,0,0,0,35,42,78,0,0,0,3,4,5,0,0,0,3,4,5,0,0,0,3,27,29,0,0,0,3,27,29,0,0,0,215,276,489,3,0,3,222,279,494,3,0,3,196,125,319,0,4,3,196,130,325,0,3,0,123
Coober Pedy (DC),41330,0,7,5,14,0,0,0,4,3,6,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,13,7,20,230,164,399,33,20,50,278,197,470,14,11,21,229,171,402,33,20,50,279,196,475,103,134,234,465,339,806,11,6,21,582,481,1059,19,31,47,0,0,0,0,0,0,19,31,47,3,9,14,0,0,0,0,0,0,3,9,14,13,19,36,0,0,0,0,0,0,13,19,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,3,18,0,0,0,12,8,20,26,19,46,41,41,81,0,0,0,67,65,131,3,5,10,9,13,26,0,0,0,16,19,31,0,0,0,0,3,6,0,0,0,0,10,9,0,6,4,20,30,50,0,0,3,20,34,56,13,21,30,242,210,455,3,3,3,259,234,490,15,25,39,95,68,161,0,0,0,107,93,200,24,23,51,133
Copper Coast (DC),41560,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,14,316,276,591,44,28,76,377,310,688,11,6,19,335,300,638,44,34,77,395,333,726,174,189,361,6083,6102,12186,96,93,192,6348,6390,12742,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,51,44,93,0,0,0,61,50,110,39,38,82,697,561,1258,19,19,43,756,624,1377,13,18,33,236,219,455,4,3,9,253,238,496,0,5,8,25,34,55,0,0,0,26,35,64,0,3,5,58,145,201,0,0,0,60,147,211,23,33,54,1370,1809,3179,17,17,32,1412,1851,3264,31,39,71,1234,1182,2422,12,17,32,1284,1233,2517,25,38,62,1375
Elliston (DC),41750,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,55,142,17,4,24,102,61,162,0,0,3,86,58,142,17,4,24,106,65,170,21,10,28,510,439,941,7,7,7,530,454,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,0,0,0,3,5,9,5,0,8,68,57,121,0,0,0,76,54,134,0,0,0,3,14,22,0,0,0,3,14,22,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,10,17,0,0,0,3,10,18,3,7,7,137,157,295,0,3,0,141,165,306,3,0,3,78,78,158,0,0,0,83,74,156,4,0,4,112
Franklin Harbour (DC),41960,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,115,73,192,60,29,89,178,107,286,0,0,3,119,79,198,60,29,89,181,110,296,13,11,28,584,525,1110,8,8,15,610,542,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,5,3,4,10,3,12,67,52,126,3,0,3,77,56,133,0,0,0,15,12,25,0,0,0,14,12,29,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,3,11,15,0,0,0,10,11,13,0,3,3,141,157,296,0,3,3,141,157,299,5,0,4,107,104,207,0,0,0,112,106,218,0,0,3,131
Gawler (T),42030,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,13,304,344,642,44,29,72,357,379,732,13,11,16,321,362,690,44,32,69,377,403,776,171,200,370,9749,10466,20214,109,119,230,10035,10779,20809,5,6,11,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,0,0,0,0,0,5,6,11,0,4,5,0,0,0,0,0,0,0,4,5,4,7,13,109,112,213,3,0,4,112,116,227,46,42,82,1200,1207,2405,11,20,30,1252,1264,2517,20,12,29,534,482,1012,4,11,10,551,506,1060,0,5,10,154,240,390,0,3,3,153,249,406,0,11,13,200,443,642,0,5,9,206,457,665,28,50,73,3243,3997,7238,21,31,53,3288,4079,7365,33,37,69,1924,1913,3839,18,18,28,1975,1965,3938,22,27,52,1765
Goyder (DC),42110,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,115,85,201,23,12,35,134,100,240,3,3,9,124,95,217,23,16,36,147,116,259,25,41,68,1841,1818,3660,24,33,53,1891,1884,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,21,33,0,0,0,19,21,37,3,7,13,185,245,430,4,6,9,194,259,454,3,0,5,81,69,154,0,0,3,81,77,155,0,0,0,13,14,28,0,0,0,10,15,30,0,3,3,18,53,71,0,0,0,18,55,69,6,8,20,467,592,1063,3,3,6,479,614,1093,3,8,9,392,310,699,0,3,3,397,316,714,4,9,14,369
Grant (DC),42250,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,140,278,22,16,33,154,156,313,0,0,0,150,156,305,22,16,33,167,173,341,47,38,86,3631,3299,6933,52,53,102,3727,3396,7118,3,0,3,0,3,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,42,24,63,0,0,3,44,23,70,10,10,24,532,456,988,8,12,23,553,480,1029,8,3,5,160,183,339,0,0,6,165,187,350,0,0,0,25,37,66,0,0,0,24,37,66,3,3,3,37,105,140,0,0,0,42,110,150,10,13,18,841,1160,1998,9,16,29,855,1188,2047,4,4,13,797,692,1491,10,7,20,810,703,1521,13,3,12,727
Ashburton (S),50250,14,39,10,47,0,0,0,13,3,17,7,0,3,18,3,20,0,0,0,0,0,0,0,0,0,0,0,0,280,82,364,7822,1439,9260,2498,457,2955,10596,1977,12572,279,85,367,7893,1450,9343,2506,457,2962,10677,1994,12671,461,332,792,6037,2464,8501,66,26,96,6566,2822,9395,101,85,179,0,0,0,0,0,0,101,85,179,3,0,4,0,0,0,0,0,0,3,0,4,96,84,174,0,0,0,0,0,0,96,84,174,54,42,104,0,0,0,0,0,0,54,42,104,10,6,17,62,53,114,0,0,0,73,60,134,84,87,173,377,345,725,5,7,10,470,441,914,17,9,20,68,41,109,0,0,0,82,45,134,0,0,0,17,21,35,3,0,3,19,21,37,8,3,11,231,144,375,0,0,0,238,149,390,118,83,198,3270,1225,4500,29,9,35,3414,1322,4734,81,56,133,986,301,1287,8,3,13,1075,359,1430,167,73,243,1709
Flinders Ranges (DC),41830,0,0,0,0,0,0,0,3,0,3,3,0,7,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,6,8,15,79,60,144,18,25,44,109,94,202,6,8,15,86,60,152,18,25,44,112,90,202,65,91,151,635,652,1286,11,8,19,707,747,1458,15,18,32,0,0,3,0,0,0,17,21,35,0,0,0,0,0,0,0,0,0,0,0,0,15,18,32,0,0,3,0,0,0,17,21,35,0,0,3,0,0,0,0,0,0,0,0,3,3,6,5,3,3,8,0,0,0,4,11,12,9,13,26,69,58,118,3,0,3,78,74,145,3,3,6,22,26,43,0,0,0,27,33,55,0,0,0,3,3,3,0,0,0,4,3,6,0,7,3,7,21,29,0,0,0,12,24,35,8,21,34,151,227,380,3,0,7,166,250,415,12,21,30,149,122,267,0,3,3,162,142,307,13,14,34,133
Holdfast Bay (C),42600,8,9,17,31,0,0,0,3,10,20,3,9,9,5,17,24,0,0,0,0,0,0,0,0,0,0,0,0,16,13,31,643,677,1323,142,121,266,809,804,1611,16,13,31,683,713,1389,142,122,266,839,843,1683,110,116,234,14106,15366,29474,86,101,186,14305,15585,29888,3,4,8,0,3,4,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,3,4,0,0,0,3,3,7,7,0,3,0,0,0,0,0,0,7,0,5,0,0,3,155,151,308,0,0,0,158,151,312,16,18,29,1534,1492,3026,7,3,13,1555,1509,3068,11,9,26,762,701,1458,0,3,5,770,715,1491,0,4,9,460,553,1015,3,3,6,466,557,1030,6,10,19,532,837,1367,0,4,4,539,850,1393,38,53,85,8053,8942,17000,33,41,71,8123,9035,17162,13,17,37,2279,2306,4582,16,14,28,2310,2340,4646,27,15,35,1799
Kangaroo Island (DC),42750,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,170,166,329,42,39,80,209,200,412,0,0,3,182,174,355,44,39,76,229,207,439,36,26,59,2033,1946,3981,37,31,70,2106,2005,4113,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,39,0,0,0,20,22,41,10,9,12,241,210,451,0,3,4,247,217,465,3,3,3,63,70,132,0,0,0,67,69,141,0,0,3,3,12,18,0,0,0,5,8,16,0,0,0,19,53,73,0,0,0,19,49,72,5,5,15,646,822,1471,8,9,23,667,840,1505,12,6,12,389,315,705,9,5,14,403,324,735,3,3,8,403
Karoonda East Murray (DC),43080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,28,0,0,0,18,13,30,0,0,0,18,15,33,0,0,3,16,13,34,6,4,14,505,474,985,11,3,9,521,480,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,4,5,10,3,0,4,71,63,133,0,0,0,75,63,137,0,0,0,18,26,43,3,0,3,19,26,45,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,6,10,13,0,0,0,5,10,13,3,0,3,97,148,248,3,0,4,105,155,257,0,0,0,96,78,179,0,0,0,96,81,176,0,0,0,117
Kingston (DC) (SA),43360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,45,41,89,3,0,3,52,41,94,3,0,4,48,45,91,3,0,3,52,46,98,33,15,45,1068,1008,2080,16,19,35,1119,1044,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,10,6,10,0,3,3,10,5,12,3,0,10,123,79,206,4,0,3,133,82,219,4,0,4,31,34,68,0,0,0,34,34,73,0,0,0,5,5,13,0,0,0,5,5,13,0,0,0,4,17,24,0,0,0,4,17,24,3,3,8,263,330,592,3,5,10,270,342,608,14,3,12,202,184,392,0,0,3,218,192,404,4,5,6,228
Light (RegC),43650,3,4,4,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,194,205,401,71,62,135,274,269,540,7,0,7,201,216,422,71,65,138,277,277,557,81,66,141,6782,6673,13452,55,62,119,6920,6793,13715,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,81,66,147,0,0,0,85,75,152,22,12,36,1114,997,2118,10,10,19,1146,1019,2165,3,3,7,376,401,772,4,3,7,382,404,790,0,5,5,103,161,263,0,0,0,102,165,269,0,4,4,95,255,355,0,0,0,98,262,354,14,19,33,2088,2576,4661,14,15,33,2115,2614,4730,15,8,19,1393,1229,2623,10,8,19,1410,1254,2662,9,12,21,1143
Lower Eyre Peninsula (DC),43710,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,141,123,269,9,13,24,158,134,292,7,0,7,153,129,288,9,13,24,169,142,317,39,53,93,2428,2264,4698,37,40,78,2510,2363,4868,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,15,44,0,0,0,32,19,45,13,18,25,357,297,653,4,10,12,373,323,690,0,3,8,99,99,198,3,6,8,104,110,213,0,0,0,5,15,21,0,0,0,5,15,21,0,0,0,26,66,96,0,4,4,26,69,98,9,14,22,653,850,1504,9,16,20,666,877,1541,9,9,12,535,445,974,6,7,12,548,457,1003,6,13,16,440
Loxton Waikerie (DC),43790,0,4,3,10,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,243,215,458,29,12,41,276,234,513,7,8,15,262,243,503,27,9,39,296,261,560,113,140,253,4936,4938,9872,87,64,142,5139,5137,10272,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,4,0,3,7,0,0,0,0,0,0,0,3,7,7,5,12,47,46,85,0,0,3,50,50,101,32,41,73,580,585,1165,21,7,30,632,630,1264,7,6,16,238,243,490,5,6,11,257,255,513,0,3,3,32,42,67,0,0,0,32,47,73,0,0,4,49,127,173,0,0,0,54,129,178,15,22,32,1243,1555,2802,9,15,24,1262,1594,2857,15,22,38,987,977,1960,17,12,27,1014,1010,2018,18,22,39,1044
Mallala (DC),43920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,19,104,87,188,11,9,16,118,107,232,11,13,20,115,93,204,11,9,16,132,115,241,117,108,224,3869,3634,7507,50,42,94,4037,3781,7826,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,3,4,3,0,3,44,34,80,0,0,0,51,37,83,24,20,46,551,476,1028,7,14,20,591,505,1091,10,16,22,173,200,368,7,3,7,189,217,400,5,0,5,43,57,93,0,0,4,47,59,102,0,3,8,43,132,176,0,0,0,42,134,179,20,27,44,980,1259,2243,13,9,23,1006,1299,2304,23,29,46,840,737,1576,15,3,21,876,771,1647,20,11,29,851
Mount Barker (DC),44550,0,7,3,13,0,0,0,4,4,6,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,20,9,24,450,458,909,38,40,79,504,511,1009,20,9,24,477,489,973,40,47,86,539,548,1082,165,174,340,14480,15227,29707,152,160,309,14797,15566,30357,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,3,3,9,0,0,0,0,0,0,3,3,9,10,3,15,166,165,333,3,3,4,179,174,351,36,53,89,2100,2010,4115,31,23,52,2166,2083,4256,11,17,28,858,844,1703,9,11,16,878,869,1747,0,3,0,262,394,654,0,4,6,269,399,660,7,11,18,346,729,1072,0,3,6,352,744,1096,38,43,80,5786,7174,12963,42,49,90,5866,7272,13138,15,27,47,2619,2362,4986,19,17,36,2659,2406,5065,25,17,48,2130
Kimba (DC),43220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36,93,21,4,29,73,45,115,0,0,0,60,38,97,21,4,29,77,45,121,7,3,12,485,475,958,6,3,6,499,476,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,19,0,0,0,12,5,19,3,0,5,61,66,131,0,0,0,71,67,137,0,0,0,14,7,22,0,0,0,14,12,20,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,7,12,0,0,0,0,7,12,4,0,4,131,165,297,3,0,6,138,169,308,3,0,4,88,82,174,0,0,0,96,87,179,0,0,0,72
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,7,12,0,0,0,3,7,12,4,7,7,0,0,0,0,0,0,4,7,7,0,3,3,0,0,0,0,0,0,0,3,3,3,0,7,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,9,0,3,3,0,0,0,0,0,0,3,3,5,0,0,0,0
Marion (C),44060,10,33,26,55,0,0,0,6,3,9,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,16,24,42,973,974,1946,52,61,109,1035,1058,2097,16,24,45,1017,1052,2063,58,64,118,1090,1139,2228,457,475,931,32148,34563,66711,237,271,509,32846,35314,68154,23,26,41,0,3,3,0,0,0,23,26,48,0,3,3,0,0,0,0,0,0,0,3,3,19,21,41,0,3,3,0,0,0,19,22,46,5,7,10,0,0,0,0,0,0,5,7,10,11,7,14,456,428,886,3,3,12,472,438,911,93,106,201,4250,4072,8324,24,34,57,4375,4208,8583,52,49,98,1893,1999,3891,21,17,36,1962,2068,4029,14,16,31,1292,1559,2854,6,7,14,1314,1584,2897,13,24,40,1753,2438,4195,9,4,16,1776,2466,4247,133,128,263,18752,21019,39771,105,113,211,18983,21260,40246,72,85,151,5886,5696,11576,45,41,83,6003,5813,11815,69,84,147,4793
Mid Murray (DC),44210,0,4,6,8,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,222,193,411,43,43,82,266,233,504,14,7,16,239,201,440,42,43,82,290,248,544,103,80,183,3837,3501,7338,59,34,92,3998,3621,7618,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,24,23,47,0,0,0,28,18,53,20,15,36,339,304,644,10,9,17,377,326,696,8,10,15,130,156,284,3,0,3,137,162,296,0,0,0,25,32,59,0,0,0,24,32,59,0,4,9,32,82,117,0,3,3,34,95,127,16,14,33,935,1111,2050,11,10,18,962,1135,2097,12,13,17,797,705,1496,3,6,8,806,718,1529,20,8,33,900
Mitcham (C),44340,3,22,26,48,0,0,0,5,3,3,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,21,24,42,849,948,1803,218,282,500,1090,1256,2347,21,29,50,881,986,1871,224,288,509,1123,1305,2425,163,172,334,25333,26922,52252,151,163,316,25641,27260,52904,5,3,3,0,0,3,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,0,3,5,10,3,3,7,0,0,0,0,0,0,3,6,12,0,3,6,368,372,743,3,0,6,372,380,749,25,27,55,3817,3734,7548,18,25,37,3857,3782,7641,10,18,30,1742,1849,3590,15,13,31,1777,1881,3653,8,16,27,1094,1259,2353,4,3,6,1111,1272,2386,8,13,23,1303,1819,3122,5,4,12,1310,1843,3151,57,68,126,15910,17599,33507,85,80,166,16048,17744,33795,19,21,45,3693,3576,7270,26,27,55,3736,3623,7364,29,19,51,2609
