lga_code_2016,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot,lga_name16
16610,106,2601,2714,2751,778,3532,1105,134,1235,958,87,1041,529,46,571,331,28,355,5784,3669,9455,Richmond Valley (A)
16650,653,9015,9666,9754,2278,12026,6289,958,7244,5860,565,6422,2693,241,2935,1768,124,1884,27005,13179,40185,Rockdale (C)
16700,704,9716,10413,10749,2193,12936,6988,836,7828,6687,481,7171,2714,221,2942,1552,176,1727,29386,13626,43011,Ryde (C)
16900,400,4949,5348,7156,917,8076,3933,242,4177,4061,184,4247,1818,77,1888,957,34,992,18321,6405,24727,Shellharbour (C)
16950,828,11398,12220,13529,2314,15847,4747,475,5224,4129,268,4399,1960,123,2088,1099,60,1151,26292,14642,40930,Shoalhaven (C)
17000,175,1812,1984,2282,423,2704,1233,104,1343,1289,112,1403,584,40,624,289,20,303,5850,2509,8359,Singleton (A)
17040,167,2571,2743,2379,831,3214,974,275,1251,849,281,1130,395,161,559,192,139,328,4969,4255,9222,Snowy Monaro Regional (A)
17080,133,1711,1838,1876,298,2172,657,74,735,628,54,679,283,27,309,143,10,161,3715,2174,5888,Snowy Valleys (A)
17420,745,5466,6212,11896,966,12861,8720,378,9096,11661,308,11969,5674,146,5824,2987,106,3092,41682,7373,49056,The Hills Shire (A)
17550,662,10679,11343,11271,3074,14348,4560,563,5127,4214,314,4532,1934,131,2062,1006,85,1091,23650,14850,38497,Tweed (A)
17620,96,1541,1641,1669,340,2006,677,101,772,636,62,703,350,31,384,126,7,134,3557,2080,5640,Upper Hunter Shire (A)
17640,54,894,947,1028,177,1204,351,42,390,336,36,370,164,7,175,87,9,93,2021,1157,3180,Upper Lachlan Shire (A)
17650,44,633,676,798,139,943,268,19,290,295,15,311,145,9,159,63,6,69,1614,822,2434,Uralla (A)
17750,445,6114,6555,6688,1172,7861,3191,376,3571,2971,213,3183,1533,84,1617,738,39,772,15570,7990,23564,Wagga Wagga (C)
17850,19,401,421,440,87,531,135,19,151,122,10,136,70,12,81,18,0,18,812,527,1339,Walcha (A)
17900,41,1007,1052,640,428,1065,263,54,316,205,30,238,100,9,113,99,11,115,1354,1537,2888,Walgett (A)
17950,17,344,358,339,71,408,122,19,138,98,13,113,54,8,66,32,4,37,675,450,1118,Warren (A)
18020,77,1204,1281,1219,313,1531,404,58,470,340,34,376,197,20,220,105,8,114,2345,1648,3990,Warrumbungle Shire (A)
18050,613,8127,8737,6737,2975,9713,3470,1014,4491,3025,526,3555,1126,170,1297,395,74,461,15370,12888,28256,Waverley (A)
18100,19,482,504,548,98,644,151,18,167,116,14,133,82,6,87,26,3,33,945,628,1568,Weddin (A)
18200,54,689,740,810,285,1095,331,45,378,283,34,320,162,15,171,70,19,81,1707,1085,2793,Wentworth (A)
18230,378,4766,5147,5191,1190,6382,2658,329,2986,2255,197,2459,1149,95,1244,705,33,741,12333,6612,18949,Western Plains Regional (A)
18250,561,5781,6344,6853,1525,8376,4574,548,5127,4720,329,5052,1835,121,1955,742,71,810,19291,8373,27665,Willoughby (C)
18350,446,4779,5230,6157,870,7032,2316,189,2499,2179,141,2320,1081,70,1150,567,36,597,12744,6083,18829,Wingecarribee (A)
18400,213,2346,2557,4292,516,4807,2505,159,2666,2933,125,3062,1623,71,1694,977,36,1018,12552,3259,15809,Wollondilly (A)
18450,1327,19563,20888,21012,3888,24894,10994,1219,12216,11161,704,11866,4842,282,5119,2446,159,2604,51776,25809,77588,Wollongong (C)
18500,539,7059,7598,6202,2021,8223,2771,683,3446,2380,325,2702,986,74,1056,326,37,362,13197,10198,23392,Woollahra (A)
18710,126,1152,1274,1786,258,2041,830,79,906,918,61,977,454,27,489,191,9,201,4307,1579,5887,Yass Valley (A)
19399,15,129,147,97,49,143,50,14,58,37,9,45,19,0,24,15,0,15,235,198,438,Unincorporated NSW
20110,115,1593,1711,1715,388,2104,577,115,684,491,131,619,248,52,296,81,59,144,3218,2340,5558,Alpine (S)
20260,67,1432,1502,1500,264,1762,499,62,563,428,39,466,185,18,210,115,16,131,2796,1834,4627,Ararat (RC)
20570,641,11760,12403,11239,2322,13562,5199,652,5854,5029,430,5454,2209,139,2348,933,60,990,25249,15364,40616,Ballarat (C)
20660,785,10781,11567,12945,1845,14790,7186,580,7767,7570,348,7920,2847,157,3007,1082,74,1155,32420,13783,46205,Banyule (C)
20740,285,4664,4947,4541,890,5433,1514,180,1691,1284,98,1386,626,35,664,223,10,235,8468,5880,14351,Bass Coast (S)
20830,315,4583,4905,5922,957,6885,2405,202,2615,2317,143,2466,1213,74,1288,560,32,595,12743,6002,18747,Baw Baw (S)
20910,794,8818,9612,10002,1451,11451,5434,384,5810,6392,277,6665,2442,84,2524,674,37,708,25736,11043,36776,Bayside (C)
21010,135,1883,2022,1952,357,2312,647,57,708,550,46,591,249,25,274,105,10,110,3635,2381,6016,Benalla (RC)
21110,1146,15004,16148,15860,3352,19208,8887,1128,10015,10444,687,11127,4382,268,4651,1530,111,1639,42244,20549,62794,Boroondara (C)
21180,750,11517,12266,15288,2488,17772,11043,1115,12151,11154,827,11987,5638,458,6098,4298,284,4578,48162,16686,64847,Brimbank (C)
21270,48,902,953,834,181,1021,263,41,303,212,16,225,124,10,132,64,0,69,1547,1152,2694,Buloke (S)
21370,222,4089,4313,4700,783,5484,1803,132,1937,1666,124,1787,838,56,894,378,23,396,9603,5214,14816,Campaspe (S)
21450,497,5888,6384,8658,1312,9970,5367,391,5761,5839,323,6161,2709,154,2858,1465,61,1520,24530,8125,32656,Cardinia (S)
21610,1259,14275,15532,22547,3077,25631,16785,1184,17967,19562,958,20523,9255,478,9740,6575,269,6836,75980,20242,96228,Casey (C)
21670,71,1981,2051,1838,326,2162,624,62,680,475,20,497,218,14,234,137,12,141,3362,2412,5777,Central Goldfields (S)
