lga_name_2016,lga_code_2016,sme_usl_ad_1_yr_ago_as_2016_m,sme_usl_ad_1_yr_ago_as_2016_f,sme_usl_ad_1_yr_ago_as_2016_p,dif_usl_ad_1_yr_ago_sme_sa2_m,dif_usl_ad_1_yr_ago_sme_sa2_f,dif_usl_ad_1_yr_ago_sme_sa2_p,dif_us_ad_1_ago_dif_sa2_nsw_m,dif_us_ad_1_ago_dif_sa2_nsw_f,dif_us_ad_1_ago_dif_sa2_nsw_p,dif_us_ad_1_ago_dif_sa2_vic_m,dif_us_ad_1_ago_dif_sa2_vic_f,dif_us_ad_1_ago_dif_sa2_vic_p,dif_us_ad_1_ago_dif_sa2_qld_m,dif_us_ad_1_ago_dif_sa2_qld_f,dif_us_ad_1_ago_dif_sa2_qld_p,dif_us_ad_1_ago_dif_sa2_sa_m,dif_us_ad_1_ago_dif_sa2_sa_f,dif_us_ad_1_ago_dif_sa2_sa_p,dif_us_ad_1_ago_dif_sa2_wa_m,dif_us_ad_1_ago_dif_sa2_wa_f,dif_us_ad_1_ago_dif_sa2_wa_p,dif_us_ad_1_ago_dif_sa2_tas_m,dif_us_ad_1_ago_dif_sa2_tas_f,dif_us_ad_1_ago_dif_sa2_tas_p,dif_us_ad_1_ago_dif_sa2_nt_m,dif_us_ad_1_ago_dif_sa2_nt_f,dif_us_ad_1_ago_dif_sa2_nt_p,dif_us_ad_1_ago_dif_sa2_act_m,dif_us_ad_1_ago_dif_sa2_act_f,dif_us_ad_1_ago_dif_sa2_act_p,dif_us_ad_1_ago_dif_sa2_ot_m,dif_us_ad_1_ago_dif_sa2_ot_f,dif_us_ad_1_ago_dif_sa2_ot_p,dif_us_ad_1_ago_dif_sa2_tot_m,dif_us_ad_1_ago_dif_sa2_tot_f,dif_us_ad_1_ago_dif_sa2_tot_p,difnt_usl_add_1_yr_ago_os_m,difnt_usl_add_1_yr_ago_os_f,difnt_usl_add_1_yr_ago_os_p,difnt_usl_add_1_yr_ago_ns_m,difnt_usl_add_1_yr_ago_ns_f,difnt_usl_add_1_yr_ago_ns_p,difnt_usl_add_1_yr_ago_tot_m,difnt_usl_add_1_yr_ago_tot_f,difnt_usl_add_1_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Blayney (A),10850,2839,2893,5737,218,224,446,173,193,371,0,5,10,7,12,19,0,0,6,3,0,5,0,0,3,0,0,3,0,0,0,0,0,0,193,219,408,3,5,12,9,3,12,425,448,875,303,267,564,3569,3609,7184
Blue Mountains (C),10900,30132,32368,62501,1179,1225,2408,2414,2548,4962,47,71,110,61,68,131,20,18,34,34,31,63,8,14,29,14,16,21,17,17,30,0,0,0,2605,2775,5379,231,254,483,63,57,125,4082,4308,8390,2535,2713,5241,36745,39388,76133
Bogan (A),10950,1039,1011,2046,65,73,136,38,53,85,3,4,4,12,15,22,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,56,73,123,3,6,7,0,0,0,123,151,277,165,161,321,1327,1321,2649
Botany Bay (C),11100,17164,17649,34811,616,552,1167,2228,2128,4358,44,49,95,67,55,121,20,16,34,34,31,71,8,3,8,18,5,20,17,16,27,0,0,0,2438,2303,4739,738,749,1480,44,37,76,3830,3638,7472,1922,1879,3801,22915,23167,46077
Bourke (A),11150,881,863,1748,54,83,137,45,62,101,0,0,0,3,5,12,0,0,0,3,0,9,0,0,0,0,3,3,0,0,0,3,0,4,55,71,134,0,7,6,3,4,5,119,167,279,280,279,560,1283,1313,2592
Brewarrina (A),11200,634,630,1266,32,34,63,50,44,89,0,3,3,4,3,8,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,55,53,104,0,0,0,4,6,18,88,88,183,107,68,176,830,793,1620
Broken Hill (C),11250,6781,7126,13905,589,687,1278,130,146,278,32,38,66,25,28,53,67,53,120,16,18,27,3,3,8,6,5,11,11,6,17,0,0,0,290,292,583,17,26,46,20,16,33,915,1024,1938,830,839,1672,8522,8994,17517
Hilltops (A),13910,7175,7361,14530,553,596,1152,401,446,845,21,17,37,38,34,80,5,7,18,3,4,9,0,3,4,6,0,9,36,54,91,0,0,0,517,572,1094,27,27,51,14,15,33,1113,1218,2326,696,742,1438,8981,9313,18294
Hornsby (A),14000,56997,60023,117022,1292,1406,2695,5213,5404,10616,99,98,194,127,105,228,37,42,79,79,73,150,0,6,7,13,8,23,42,42,83,0,0,0,5610,5770,11380,1268,1529,2805,109,106,211,8279,8810,17095,3622,3583,7204,68903,72418,141317
Hunters Hill (A),14100,5496,5627,11130,149,149,302,643,519,1168,7,12,19,16,6,20,0,0,0,3,3,8,0,0,0,0,0,0,3,6,3,0,0,0,676,551,1220,78,96,176,9,7,19,918,799,1709,512,531,1045,6928,6957,13881
Inner West (A),14170,63692,67533,131226,2373,2498,4867,9603,10002,19602,308,301,610,272,310,578,101,78,176,159,154,308,27,22,49,19,26,48,105,124,238,0,0,0,10595,11020,21616,2303,2577,4874,220,227,452,15492,16324,31816,8435,8382,16819,87617,92241,179855
Inverell (A),14200,6089,6320,12413,545,613,1157,412,428,845,11,9,16,97,92,190,3,3,11,6,8,11,3,0,3,8,7,16,0,0,0,0,0,0,535,546,1080,29,31,55,31,23,57,1139,1215,2356,733,785,1514,7958,8317,16283
Junee (A),14300,2087,2081,4166,127,132,267,115,137,254,7,4,16,5,10,13,7,9,12,5,3,4,0,0,0,0,0,0,3,3,5,0,0,0,143,167,304,36,24,57,0,0,6,308,323,633,1143,281,1424,3530,2688,6224
Kempsey (A),14350,10708,10928,21640,668,753,1422,779,828,1605,23,27,47,83,94,172,7,3,14,17,20,40,0,0,3,7,7,12,0,0,0,0,0,0,916,977,1898,53,58,108,43,39,81,1680,1824,3508,1909,1528,3434,14303,14286,28585
Kiama (A),14400,8395,8616,17009,348,362,711,722,800,1523,3,17,25,30,31,57,5,0,4,10,9,21,8,7,14,0,3,9,16,17,31,0,0,0,795,881,1681,63,63,126,18,23,33,1222,1331,2557,812,887,1702,10432,10834,21265
Ku-ring-gai (A),14500,45746,49465,95218,1292,1393,2692,4398,4743,9143,105,105,208,126,112,238,37,40,78,61,57,120,11,10,23,14,9,24,43,42,84,3,0,3,4796,5119,9914,1347,1539,2887,66,69,127,7509,8113,15620,2938,3309,6244,56192,60887,117082
Kyogle (A),14550,3544,3439,6975,176,196,365,170,183,356,10,3,16,74,80,158,6,5,10,0,3,6,4,0,6,9,10,18,0,3,4,0,0,0,275,283,559,13,15,23,7,12,17,470,502,976,486,432,921,4500,4372,8873
Lachlan (A),14600,2325,2343,4671,190,189,376,82,103,186,10,7,12,14,18,26,3,0,7,3,4,10,0,0,0,0,0,0,0,3,3,0,0,0,107,130,241,5,6,6,12,11,20,312,335,647,407,369,775,3046,3051,6096
Lake Macquarie (C),14650,77298,81240,158538,2754,2858,5614,7845,8484,16332,124,116,240,266,283,550,42,22,68,91,80,173,17,19,34,29,29,58,36,52,88,0,0,6,8450,9096,17543,327,418,745,186,162,353,11721,12531,24250,6109,6299,12404,95128,100071,195197
Lane Cove (A),14700,12951,13533,26478,550,513,1065,2100,2097,4194,48,51,101,55,74,130,27,30,48,47,39,83,6,8,14,6,0,8,22,27,44,0,0,0,2303,2321,4630,476,511,987,24,22,47,3360,3371,6727,1172,1171,2339,17485,18071,35550
Leeton (A),14750,4238,4262,8498,333,346,679,228,249,475,24,24,50,32,34,70,0,3,7,4,3,8,4,5,6,0,0,0,9,12,20,0,0,0,298,331,631,27,16,44,7,20,26,661,714,1377,562,584,1153,5464,5561,11023
Lismore (C),14850,15986,16967,32950,759,825,1581,1393,1520,2913,61,56,115,250,236,487,15,9,20,25,26,50,8,13,22,10,17,27,3,4,6,3,4,4,1760,1879,3642,83,88,172,82,68,151,2685,2863,5552,2090,2129,4224,20771,21952,42721
Lithgow (C),14870,7929,7954,15882,425,481,915,534,571,1103,7,7,15,25,25,55,12,3,17,0,3,3,0,0,3,0,0,0,3,4,5,0,0,0,579,620,1201,22,31,49,20,23,44,1047,1150,2205,1595,1174,2766,10571,10286,20856
Liverpool (C),14900,79695,81481,161174,1856,1932,3788,7858,7914,15770,156,106,264,256,210,473,38,38,73,53,33,91,9,0,12,51,30,80,56,32,84,0,0,0,8484,8368,16847,1203,1414,2620,158,131,286,11694,11846,23543,8474,8166,16642,99863,101491,201353
Liverpool Plains (A),14920,3003,2927,5928,193,188,387,182,193,375,3,4,4,33,34,67,4,4,10,5,3,12,0,3,4,7,6,8,3,9,8,0,0,0,247,252,494,4,3,9,11,4,16,453,447,904,370,414,778,3826,3787,7612
Lockhart (A),14950,1264,1267,2534,46,59,108,47,53,99,6,3,12,4,6,7,0,3,10,7,3,4,0,0,0,4,0,7,3,0,3,0,0,0,74,68,144,0,0,0,4,0,3,118,133,251,136,158,298,1526,1564,3085
Maitland (C),15050,29230,30462,59698,1477,1609,3087,3378,3692,7072,36,55,92,141,185,326,19,14,36,41,46,83,3,3,5,21,11,33,12,12,25,0,3,7,3651,4022,7675,123,133,259,88,74,160,5342,5843,11179,2650,2757,5401,37220,39062,76280
Mid-Coast (A),15240,33992,35564,69559,2134,2378,4514,3317,3410,6728,47,63,106,185,190,372,8,13,24,26,31,59,11,13,25,22,12,29,5,13,24,0,0,3,3618,3750,7371,117,138,256,131,126,263,6006,6392,12398,3718,3919,7639,43711,45875,89590
Mid-Western Regional (A),15270,8928,8827,17757,679,687,1370,765,786,1557,9,7,16,68,69,136,18,13,24,22,14,29,7,3,7,5,8,7,3,11,14,0,0,0,894,901,1794,35,38,79,19,25,44,1628,1660,3286,1392,1352,2749,11950,11841,23790
Moree Plains (A),15300,4884,4778,9664,340,407,745,236,245,485,10,9,11,105,103,209,3,0,3,3,5,6,0,0,0,3,0,9,0,0,0,0,0,0,355,367,723,19,10,26,26,24,48,739,810,1548,891,833,1719,6513,6415,12927
Mosman (A),15350,9791,11331,21125,639,707,1346,907,1156,2063,40,49,88,24,32,57,8,9,23,28,24,51,0,0,0,4,10,17,6,10,21,0,0,0,1020,1292,2315,367,457,826,14,24,38,2043,2483,4525,1194,1342,2533,13030,15155,28181
Murray River (A),15520,4470,4464,8938,224,245,468,89,82,174,350,399,752,26,27,52,7,9,12,12,10,21,0,0,0,10,11,13,0,0,3,0,0,0,493,543,1037,21,24,46,17,22,32,756,834,1584,520,531,1051,5748,5828,11575
Murrumbidgee (A),15560,1555,1394,2952,88,78,164,66,57,120,19,11,31,9,3,19,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,96,83,182,8,10,15,5,3,9,188,172,359,255,229,481,1998,1790,3790
Muswellbrook (A),15650,6036,5858,11896,495,535,1029,506,533,1040,12,14,25,52,59,114,4,5,13,15,12,26,0,0,4,3,3,7,0,0,0,0,0,0,588,637,1228,28,52,82,13,25,40,1132,1240,2372,950,622,1572,8111,7722,15833
Nambucca (A),15700,7318,7534,14854,363,410,768,574,644,1222,16,17,30,103,105,204,5,5,12,17,12,27,11,3,17,10,8,13,7,11,19,0,0,0,742,810,1546,15,27,45,29,19,51,1148,1264,2407,869,903,1771,9336,9698,19032
Narrabri (A),15750,4971,4918,9896,307,355,663,276,285,563,13,8,17,50,46,89,0,0,3,4,6,5,0,0,0,4,0,6,0,0,0,0,0,0,339,344,687,11,11,24,11,10,19,675,718,1395,786,827,1613,6437,6464,12905
Narrandera (A),15800,2153,2197,4342,161,161,321,141,123,264,25,24,50,9,3,8,5,4,7,3,3,6,4,0,4,0,3,3,0,0,3,0,0,0,184,166,351,8,18,32,3,7,9,355,351,711,356,375,730,2866,2923,5785
Narromine (A),15850,2512,2447,4961,170,209,383,117,138,256,0,0,0,13,14,27,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,0,0,131,160,298,6,11,14,7,5,9,315,394,705,357,353,701,3180,3189,6366
Newcastle (C),15900,57658,59255,116905,2241,2259,4500,8434,9045,17475,159,174,334,341,303,644,68,63,134,90,93,177,25,30,58,46,53,101,62,53,114,0,3,3,9222,9821,19043,1154,1197,2350,206,189,398,12824,13466,26287,5249,5181,10431,75732,77900,153624
North Sydney (A),15950,21650,24560,46211,864,963,1823,4015,4378,8391,128,139,268,147,164,306,54,43,93,77,76,156,3,7,10,13,13,21,51,70,122,3,3,3,4473,4898,9373,1188,1330,2519,48,68,118,6576,7258,13828,3191,3476,6662,31416,35289,66699
Northern Beaches (A),15990,97140,101663,198799,3570,3664,7234,9440,10006,19449,172,168,340,224,230,452,41,45,79,105,97,202,19,13,35,32,35,68,57,55,107,0,0,0,10093,10648,20732,2222,2388,4608,229,230,452,16113,16923,33034,8799,9321,18127,122060,127904,249965
Oberon (A),16100,1975,1908,3883,162,136,300,133,147,281,5,3,7,12,6,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,153,164,312,8,3,14,5,7,10,327,312,638,431,286,720,2725,2510,5240
Orange (C),16150,14485,15365,29853,1011,1092,2097,1861,1957,3823,36,25,59,76,84,155,8,8,15,36,34,68,3,12,13,9,6,18,20,21,42,0,0,0,2047,2142,4193,102,130,229,56,32,85,3213,3394,6607,1624,1693,3319,19325,20456,39774
Parkes (A),16200,5504,5621,11127,450,480,934,284,303,586,9,13,24,37,38,76,17,8,28,9,4,12,0,3,4,3,8,12,6,9,10,0,0,0,359,388,750,11,29,40,19,18,32,842,908,1751,758,789,1547,7106,7317,14425
Parramatta (C),16260,81899,84187,166087,3492,3206,6704,10430,9926,20357,360,299,659,348,282,631,165,128,295,196,158,356,21,23,43,36,23,55,88,93,179,4,4,4,11652,10937,22585,4609,4903,9520,245,163,412,20006,19217,39223,9674,8056,17725,111581,111456,223039
Burwood (A),11300,12788,13840,26630,626,671,1293,1774,1837,3612,50,47,97,37,47,88,13,9,21,29,13,44,3,11,12,0,4,9,12,9,25,0,0,0,1913,1983,3899,1056,1089,2146,48,48,99,3643,3784,7430,1197,1231,2436,17632,18862,36494
Byron (A),11350,10763,11417,22180,676,763,1441,870,1085,1950,124,163,290,210,237,449,19,21,36,30,26,51,10,9,19,15,18,26,7,6,17,0,0,0,1277,1569,2843,186,240,425,58,74,133,2190,2649,4840,2097,2151,4252,15050,16225,31270
Cabonne (A),11400,5421,5412,10831,242,278,519,334,349,682,5,17,21,17,16,28,0,3,3,7,5,7,0,0,0,3,0,0,4,0,4,0,0,0,366,384,749,12,18,28,7,9,14,633,685,1321,557,522,1079,6604,6624,13225
Camden (A),11450,29046,30195,59235,1012,1109,2117,4818,5022,9839,50,42,89,77,75,154,18,18,34,33,25,55,0,0,3,11,13,17,16,11,26,0,0,0,5010,5203,10213,186,206,394,57,60,115,6266,6578,12844,2348,2481,4825,37656,39245,76908
Campbelltown (C) (NSW),11500,60216,62573,122783,1652,1748,3401,6852,6958,13809,71,70,139,156,158,309,27,37,61,64,55,119,9,6,17,30,32,63,24,22,48,0,0,0,7231,7338,14570,782,988,1769,165,159,320,9836,10222,20058,5876,6183,12058,75928,78977,154905
Canada Bay (A),11520,31464,34161,65628,1415,1406,2819,3905,4139,8044,134,99,232,134,143,280,40,37,79,73,64,133,11,9,24,22,8,29,27,50,74,0,0,3,4343,4549,8893,1291,1424,2719,77,76,153,7122,7463,14580,3180,3491,6675,41766,45114,86884
Canterbury-Bankstown (A),11570,135662,138735,274403,3913,3550,7463,12884,12708,25589,190,165,363,210,173,383,97,76,169,112,109,228,9,12,25,31,20,57,44,44,87,0,0,0,13587,13311,26894,3469,3599,7069,319,257,570,21279,20714,41997,13027,12276,25301,169971,171732,341698
Carrathool (A),11600,1086,980,2067,86,81,163,54,57,109,5,5,15,6,4,6,8,7,15,0,0,0,3,0,3,4,0,3,0,0,0,0,0,0,78,74,151,20,12,33,3,4,3,183,169,350,133,130,265,1399,1278,2680
Central Coast (C) (NSW),11650,123670,131278,254948,4432,4993,9422,14315,15439,29760,159,158,314,424,456,888,50,70,121,136,126,257,29,25,55,48,53,104,66,81,148,3,0,3,15226,16421,31649,800,935,1730,363,365,727,20819,22709,43534,12439,13263,25704,156933,167248,324183
Central Darling (A),11700,715,653,1365,20,18,37,28,42,71,10,4,13,5,6,12,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,49,51,98,7,7,12,23,18,40,93,93,188,155,104,259,960,848,1816
Cessnock (C),11720,20809,21472,42279,1202,1313,2522,1883,2007,3896,19,22,44,92,87,180,9,4,14,27,28,54,6,7,12,8,11,17,6,5,14,0,0,0,2056,2174,4229,56,56,112,59,61,120,3374,3609,6983,3090,2518,5605,27272,27594,54867
Clarence Valley (A),11730,19256,19771,39028,1297,1415,2717,1238,1285,2524,52,50,107,367,394,765,13,9,26,46,43,90,7,6,21,31,18,48,19,12,32,0,0,0,1775,1823,3602,57,73,130,60,50,109,3198,3367,6566,2444,2158,4608,24895,25301,50194
Cobar (A),11750,1737,1634,3371,154,157,318,91,86,176,5,7,14,20,17,37,11,4,17,4,3,9,0,0,4,0,0,0,0,3,7,0,0,0,132,122,259,10,11,22,5,8,5,305,299,606,318,282,601,2357,2222,4573
Coffs Harbour (C),11800,26447,28010,54451,1502,1750,3248,2808,2977,5778,122,135,260,331,342,679,36,38,72,57,64,121,16,18,33,33,34,64,21,26,42,0,0,0,3413,3624,7039,267,373,636,114,98,208,5292,5843,11139,3190,3427,6615,34934,37280,72210
Coolamon (A),12000,1629,1647,3278,111,95,201,99,110,204,5,8,13,7,7,8,3,0,3,9,6,12,0,0,0,0,0,0,0,4,5,0,0,0,121,134,252,0,0,5,4,4,4,236,228,463,257,259,517,2128,2135,4261
Coonamble (A),12150,1381,1395,2774,115,111,224,75,91,162,3,6,6,0,11,11,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,85,108,189,0,3,0,10,0,7,205,225,430,326,331,658,1916,1946,3863
Cowra (A),12350,4843,4909,9752,288,342,632,300,316,619,0,3,7,33,23,56,3,7,10,5,3,9,0,3,3,3,4,8,14,8,17,0,0,0,360,367,724,11,11,19,14,17,28,671,737,1406,576,600,1177,6091,6240,12331
Cumberland (A),12380,84094,82016,166112,3133,2639,5772,9263,7625,16885,324,145,468,274,159,435,191,49,235,221,81,307,11,19,32,32,12,50,42,28,65,3,4,3,10360,8125,18481,3716,3352,7065,275,214,483,17481,14327,31812,7835,7087,14926,109412,103433,212845
Dungog (A),12700,3639,3618,7257,152,156,306,278,295,572,3,8,10,7,8,13,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,301,317,613,4,8,7,3,10,10,456,482,941,366,334,700,4459,4442,8901
Edward River (A),12730,3319,3421,6739,237,290,532,132,111,239,65,75,142,14,10,21,14,6,16,8,5,11,0,0,0,0,0,3,3,3,7,0,0,0,228,211,435,28,16,42,14,8,20,505,528,1034,481,500,984,4301,4457,8760
Eurobodalla (A),12750,14031,14560,28592,739,788,1533,1130,1188,2320,84,91,178,69,82,146,19,20,39,25,15,38,13,14,26,11,5,18,156,172,325,0,0,0,1501,1591,3093,55,55,111,63,57,122,2363,2498,4859,1752,1757,3510,18144,18820,36967
Fairfield (C),12850,80439,83421,163859,1815,1781,3588,6438,6527,12958,121,109,238,95,90,187,33,22,56,46,22,65,0,0,0,8,3,10,10,8,14,3,0,3,6755,6780,13533,1695,2002,3696,185,131,322,10449,10692,21142,5964,5701,11662,96855,99811,196661
Federation (A),12870,4725,4731,9451,300,303,604,147,161,310,196,217,420,27,35,61,11,11,20,11,6,14,0,0,0,0,7,3,0,9,12,0,0,0,406,443,846,12,20,31,17,13,32,732,780,1511,590,626,1218,6051,6126,12177
Forbes (A),12900,3726,3640,7364,330,362,698,164,182,349,3,3,9,15,18,32,0,0,0,5,8,8,0,0,0,0,6,7,3,9,11,0,0,0,188,225,413,8,7,15,6,12,20,535,609,1146,486,473,963,4750,4723,9478
Georges River (A),12930,56174,59092,115265,1678,1797,3472,5936,6018,11960,101,78,172,128,127,253,39,41,78,58,57,117,11,12,23,10,6,20,51,44,93,0,0,0,6338,6381,12718,2263,2586,4854,144,118,258,10423,10882,21304,4296,4362,8663,70894,74337,145229
Gilgandra (A),12950,1647,1727,3374,107,103,210,85,75,164,0,3,3,6,9,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,101,95,198,7,10,21,8,5,12,218,220,438,195,184,378,2064,2125,4195
Glen Innes Severn (A),13010,3221,3352,6570,263,308,568,153,153,304,4,6,13,59,64,120,3,6,6,0,3,10,0,0,0,0,3,5,3,5,6,0,0,0,222,239,459,11,8,16,11,16,29,503,569,1070,633,484,1119,4354,4409,8758
Goulburn Mulwaree (A),13310,11004,11115,22124,905,993,1904,833,828,1662,21,21,44,40,40,82,4,7,8,12,12,26,0,0,3,0,4,6,54,61,123,0,0,0,972,978,1949,92,85,173,36,23,57,2008,2075,4083,1803,1283,3090,14817,14473,29291
Greater Hume Shire (A),13340,4272,4139,8415,196,219,412,222,219,441,39,62,105,10,12,26,0,4,3,3,4,3,0,0,0,6,3,8,4,3,11,0,0,0,278,314,597,8,17,22,11,0,8,489,553,1040,380,421,799,5143,5107,10252
Griffith (C),13450,9566,9619,19189,729,798,1528,506,496,1006,57,57,116,47,51,94,23,15,31,13,17,33,3,0,3,0,3,4,11,16,26,0,0,0,664,648,1307,197,181,375,35,15,50,1623,1645,3270,1445,1408,2853,12636,12670,25305
Gundagai (A),13510,4347,4460,8803,329,324,657,219,242,460,8,12,22,19,25,45,3,4,8,13,9,18,3,6,8,5,4,7,11,13,22,0,0,0,279,318,594,8,19,24,9,5,15,624,668,1295,487,453,938,5459,5580,11035
Gunnedah (A),13550,4656,4646,9300,356,398,756,340,335,680,3,8,12,62,59,122,4,3,12,18,16,30,0,0,0,3,3,3,0,0,0,0,0,0,435,417,859,24,17,35,21,19,41,830,857,1684,528,535,1063,6017,6033,12051
Gwydir (A),13660,2035,1973,4006,134,149,287,119,120,239,3,0,3,28,33,63,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,155,160,307,4,3,9,3,0,3,292,312,604,304,274,583,2632,2565,5197
Hawkesbury (C),13800,25334,25940,51273,936,933,1869,2486,2576,5061,30,40,71,74,79,146,5,7,16,15,19,34,3,3,3,10,9,18,12,6,16,0,0,0,2637,2740,5372,108,107,217,51,59,117,3735,3845,7575,2487,2473,4961,31552,32264,63817
Hay (A),13850,1127,1101,2224,83,96,180,32,36,67,9,13,24,6,6,7,0,0,0,0,0,0,0,0,0,7,8,13,0,0,3,0,0,0,51,64,122,13,11,19,3,0,8,153,167,323,189,187,375,1468,1453,2923
Penrith (C),16350,75181,77431,152617,2106,2305,4410,8840,9194,18036,76,71,141,203,217,416,38,45,78,75,68,140,10,10,17,19,18,40,30,34,59,0,0,3,9283,9658,18939,633,704,1336,214,169,378,12233,12832,25066,7929,7621,15545,95339,97886,193226
