lga_code_2014,lga_name_2014,year,land_area_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,solar_panel_system,solar_water_heater
16550,Randwick (C),2014,3633.1,,2.0,,,2.0,,119.0,,,119.0,,3.3,,,3.3,1531.0,887.0
16610,Richmond Valley (A),2014,304738.7,1.0,8.0,6.0,5.0,20.0,2160.0,13441.0,10915.0,10976.0,37493.0,0.7,4.4,3.6,3.6,12.3,2008.0,1998.0
16650,Rockdale (C),2014,2821.9,,,,,,,,,,,,,,,,1631.0,634.0
16700,Ryde (C),2014,4047.3,,1.0,1.0,,2.0,,261.0,6.0,,267.0,,6.4,0.2,,6.6,2329.0,1070.0
16900,Shellharbour (C),2014,14736.0,,3.0,,,3.0,,1068.0,,,1068.0,,7.3,,,7.3,3029.0,1613.0
16950,Shoalhaven (C),2014,456702.3,,11.0,20.0,9.0,40.0,,196517.0,10183.0,22255.0,228955.0,,43.0,2.2,4.9,50.1,6085.0,7116.0
17000,Singleton (A),2014,489283.0,,1.0,,4.0,5.0,,5886.0,,160100.0,165986.0,,1.2,,32.7,33.9,1143.0,1145.0
17050,Snowy River (A),2014,603038.0,,1.0,7.0,1.0,9.0,,219286.0,3605.0,,222892.0,,36.4,0.6,,37.0,349.0,158.0
17550,Tweed (A),2014,130744.2,,7.0,12.0,1.0,20.0,,14150.0,5426.0,1680.0,21255.0,,10.8,4.1,1.3,16.3,9030.0,7238.0
17620,Upper Hunter Shire (A),2014,809606.1,,13.0,5.0,4.0,22.0,,54120.0,2726.0,11750.0,68596.0,,6.7,0.3,1.5,8.5,592.0,532.0
17640,Upper Lachlan Shire (A),2014,712746.1,,8.0,11.0,4.0,23.0,,26382.0,7110.0,11240.0,44731.0,,3.7,1.0,1.6,6.3,512.0,148.0
17650,Uralla (A),2014,322646.4,,,2.0,1.0,3.0,,,1149.0,669.0,1818.0,,,0.4,0.2,0.6,364.0,206.0
17700,Urana (A),2014,335600.1,,,2.0,1.0,3.0,,,516.0,128.0,644.0,,,0.2,,0.2,102.0,31.0
17750,Wagga Wagga (C),2014,482587.3,,3.0,2.0,2.0,7.0,,3794.0,661.0,1953.0,6408.0,,0.8,0.1,0.4,1.3,2667.0,738.0
17800,Wakool (A),2014,752047.2,,4.0,1.0,4.0,9.0,,69023.0,1937.0,1538.0,72498.0,,9.2,0.3,0.2,9.6,333.0,91.0
17850,Walcha (A),2014,626129.2,,8.0,4.0,3.0,15.0,,47361.0,2221.0,120192.0,169773.0,,7.6,0.4,19.2,27.1,153.0,125.0
17900,Walgett (A),2014,2230845.8,,4.0,4.0,,8.0,,27646.0,34845.0,,62491.0,,1.2,1.6,,2.8,523.0,166.0
17950,Warren (A),2014,1075381.9,,1.0,1.0,,2.0,,1546.0,15960.0,,17506.0,,0.1,1.5,,1.6,244.0,90.0
17100,Strathfield (A),2014,1390.0,,,,,,,,,,,,,,,,549.0,143.0
17150,Sutherland Shire (A),2014,33357.9,,5.0,1.0,1.0,7.0,,16408.0,381.0,306.0,17095.0,,49.2,1.1,0.9,51.2,5309.0,4695.0
17200,Sydney (C),2014,2672.6,,1.0,,,1.0,,6.0,,,6.0,,0.2,,,0.2,763.0,546.0
17310,Tamworth Regional (A),2014,988421.7,,7.0,5.0,5.0,17.0,,15432.0,5038.0,4229.0,24699.0,,1.6,0.5,0.4,2.5,2843.0,2080.0
17350,Temora (A),2014,280201.6,,1.0,5.0,,6.0,,715.0,5977.0,,6692.0,,0.3,2.1,,2.4,333.0,82.0
17400,Tenterfield (A),2014,732227.4,,16.0,9.0,3.0,28.0,,66990.0,7909.0,23017.0,97916.0,,9.1,1.1,3.1,13.4,535.0,250.0
17420,The Hills Shire (A),2014,40045.0,,1.0,,1.0,2.0,,260.0,,285.0,545.0,,0.6,,0.7,1.4,7830.0,2916.0
17450,Tumbarumba (A),2014,439245.7,,3.0,5.0,10.0,18.0,,205789.0,13990.0,565.0,220344.0,,46.9,3.2,0.1,50.2,258.0,84.0
17500,Tumut Shire (A),2014,456662.8,,6.0,3.0,2.0,11.0,,177841.0,11716.0,547.0,190104.0,,38.9,2.6,0.1,41.6,620.0,184.0
18000,Warringah (A),2014,14935.3,,2.0,,,2.0,,6413.0,,,6413.0,,42.9,,,42.9,3759.0,1539.0
18020,Warrumbungle Shire (A),2014,1237108.1,,11.0,4.0,5.0,20.0,,38321.0,62663.0,28294.0,129278.0,,3.1,5.1,2.3,10.4,1049.0,252.0
18050,Waverley (A),2014,924.3,,,,,,,,,,,,,,,,578.0,275.0
18100,Weddin (A),2014,340855.1,,3.0,,,3.0,,11484.0,,,11484.0,,3.4,,,3.4,207.0,92.0
18150,Wellington (A),2014,411008.8,,,1.0,1.0,2.0,,,434.0,60.0,495.0,,,0.1,,0.1,388.0,126.0
18200,Wentworth (A),2014,2625673.0,,4.0,3.0,7.0,14.0,,80921.0,38967.0,62447.0,182334.0,,3.1,1.5,2.4,6.9,313.0,255.0
18250,Willoughby (C),2014,2242.9,,1.0,,,1.0,,5.0,,,5.0,,0.2,,,0.2,1119.0,406.0
18350,Wingecarribee (A),2014,268839.3,,7.0,4.0,5.0,16.0,,21917.0,1945.0,49498.0,73360.0,,8.2,0.7,18.4,27.3,2450.0,1105.0
18400,Wollondilly (A),2014,255592.7,,8.0,1.0,4.0,13.0,,126894.0,137.0,33524.0,160555.0,,49.6,0.1,13.1,62.8,2567.0,1800.0
18450,Wollongong (C),2014,68401.3,,5.0,2.0,1.0,8.0,,6655.0,402.0,385.0,7441.0,,9.7,0.6,0.6,10.9,7015.0,5325.0
18500,Woollahra (A),2014,1227.4,,1.0,,,1.0,,41.0,,,41.0,,3.3,,,3.3,337.0,202.0
18550,Wyong (A),2014,73979.7,,5.0,3.0,3.0,11.0,,12868.0,289.0,119.0,13276.0,,17.4,0.4,0.2,17.9,7081.0,4937.0
18710,Yass Valley (A),2014,399805.3,,2.0,12.0,,14.0,,17537.0,9844.0,,27382.0,,4.4,2.5,,6.8,982.0,463.0
18750,Young (A),2014,269268.1,,1.0,4.0,1.0,6.0,,1748.0,5370.0,519.0,7637.0,,0.6,2.0,0.2,2.8,735.0,197.0
19399,Unincorporated NSW,2014,9321345.6,,4.0,2.0,3.0,9.0,,393916.0,37283.0,89385.0,520584.0,,4.2,0.4,1.0,5.6,112.0,63.0
20110,Alpine (S),2014,478823.5,,6.0,,27.0,33.0,,155281.0,,20313.0,175593.0,,32.4,,4.2,36.7,1133.0,658.0
20260,Ararat (RC),2014,421135.7,,4.0,,58.0,62.0,,37139.0,,4693.0,41832.0,,8.8,,1.1,9.9,618.0,289.0
20570,Ballarat (C),2014,73902.9,,,,9.0,9.0,,,,205.0,205.0,,,,0.3,0.3,3737.0,3561.0
20660,Banyule (C),2014,6254.2,,,,,,,,,,,,,,,,3617.0,1661.0
20740,Bass Coast (S),2014,86476.1,,2.0,,27.0,29.0,,11.0,,2914.0,2924.0,,,,3.4,3.4,2787.0,1536.0
20830,Baw Baw (S),2014,403127.5,,6.0,,45.0,51.0,,22904.0,,7717.0,30621.0,,5.7,,1.9,7.6,3313.0,2613.0
20910,Bayside (C),2014,3721.1,,,,,,,,,,,,,,,,2255.0,1235.0
21010,Benalla (RC),2014,235264.0,,3.0,,46.0,49.0,,8728.0,,1941.0,10669.0,,3.7,,0.8,4.5,1013.0,362.0
21110,Boroondara (C),2014,6018.1,,,,,,,,,,,,,,,,3230.0,1766.0
21180,Brimbank (C),2014,12339.9,,,,5.0,5.0,,,,341.0,341.0,,,,2.8,2.8,8037.0,4421.0
21270,Buloke (S),2014,800040.3,,,,107.0,107.0,,,,17368.0,17368.0,,,,2.2,2.2,475.0,232.0
21370,Campaspe (S),2014,451885.6,,4.0,,59.0,63.0,,6602.0,,8887.0,15489.0,,1.5,,2.0,3.4,3110.0,1333.0
21450,Cardinia (S),2014,128167.8,,1.0,,34.0,35.0,,12763.0,,1212.0,13975.0,,10.0,,0.9,10.9,4445.0,7192.0
21610,Casey (C),2014,40941.8,,1.0,,6.0,7.0,,264.0,,1605.0,1869.0,,0.6,,3.9,4.6,14393.0,11884.0
21670,Central Goldfields (S),2014,153278.5,,1.0,,59.0,60.0,,2015.0,,6654.0,8669.0,,1.3,,4.3,5.7,1159.0,297.0
21750,Colac-Otway (S),2014,343748.1,,2.0,,28.0,30.0,,73449.0,,2455.0,75904.0,,21.4,,0.7,22.1,1125.0,1023.0
21830,Corangamite (S),2014,440755.5,,3.0,,26.0,29.0,,6064.0,,8785.0,14849.0,,1.4,,2.0,3.4,733.0,410.0
21890,Darebin (C),2014,5347.1,,,,3.0,3.0,,,,72.0,72.0,,,,1.3,1.3,4384.0,2660.0
22110,East Gippsland (S),2014,2093989.6,,29.0,,151.0,180.0,,542972.0,,90888.0,633860.0,,25.9,,4.3,30.3,3816.0,2933.0
22170,Frankston (C),2014,12959.9,,,,6.0,6.0,,,,468.0,468.0,,,,3.6,3.6,6163.0,2834.0
22250,Gannawarra (S),2014,373533.5,,2.0,,69.0,71.0,,7740.0,,20059.0,27799.0,,2.1,,5.4,7.4,922.0,362.0
22620,Greater Bendigo (C),2014,299997.8,,2.0,,85.0,87.0,,21244.0,,7572.0,28816.0,,7.1,,2.5,9.6,6956.0,5580.0
22670,Greater Dandenong (C),2014,12959.6,,,,,,,,,,,,,,,,5132.0,2421.0
22750,Greater Geelong (C),2014,124789.2,,2.0,,16.0,18.0,,2582.0,,4923.0,7505.0,,2.1,,3.9,6.0,11703.0,9340.0
22830,Greater Shepparton (C),2014,242195.3,,1.0,,42.0,43.0,,4274.0,,5704.0,9978.0,,1.8,,2.4,4.1,4264.0,2592.0
22910,Hepburn (S),2014,147298.4,,,,49.0,49.0,,,,2895.0,2895.0,,,,2.0,2.0,1177.0,686.0
22980,Hindmarsh (S),2014,752418.2,,4.0,,70.0,74.0,,222199.0,,33915.0,256115.0,,29.5,,4.5,34.0,523.0,253.0
23110,Hobsons Bay (C),2014,6424.1,,,,5.0,5.0,,,,92.0,92.0,,,,1.4,1.4,3166.0,1180.0
23190,Horsham (RC),2014,426706.2,,5.0,,57.0,62.0,,19858.0,,14865.0,34723.0,,4.7,,3.5,8.1,1246.0,892.0
23270,Hume (C),2014,50382.9,,,,7.0,7.0,,,,298.0,298.0,,,,0.6,0.6,7827.0,6714.0
23350,Indigo (S),2014,204006.9,,2.0,,64.0,66.0,,16997.0,,3207.0,20204.0,,8.3,,1.6,9.9,1830.0,821.0
23430,Kingston (C),2014,9136.7,,,,,,,,,,,,,,,,4792.0,1858.0
23670,Knox (C),2014,11382.6,,1.0,,,1.0,,16.0,,,16.0,,0.1,,,0.1,6978.0,1750.0
23810,Latrobe (C),2014,142576.0,,2.0,,17.0,19.0,,39.0,,2596.0,2635.0,,,,1.8,1.8,4470.0,2070.0
23940,Loddon (S),2014,669643.9,,3.0,,107.0,110.0,,15715.0,,17369.0,33084.0,,2.3,,2.6,4.9,724.0,472.0
24130,Macedon Ranges (S),2014,174827.6,,1.0,,35.0,36.0,,3533.0,,1120.0,4653.0,,2.0,,0.6,2.7,2822.0,2261.0
24210,Manningham (C),2014,11334.8,,,,3.0,3.0,,,,646.0,646.0,,,,5.7,5.7,3503.0,1179.0
24250,Mansfield (S),2014,384392.3,,7.0,,23.0,30.0,,48866.0,,7508.0,56374.0,,12.7,,2.0,14.7,725.0,423.0
24330,Maribyrnong (C),2014,3122.7,,,,,,,,,,,,,,,,1984.0,1352.0
24410,Maroondah (C),2014,6141.1,,,,1.0,1.0,,,,19.0,19.0,,,,0.3,0.3,3778.0,1521.0
24600,Melbourne (C),2014,3735.6,,,,,,,,,,,,,,,,529.0,600.0
