lga_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
25810,5,17,18,24,36,26,7,6,0,129,11,13,25,28,47,39,14,8,0,179,285,368,783,841,1163,1045,318,56,10,4864,Northern Grampians (S)
25900,44,150,608,365,298,173,54,4,0,1690,39,168,783,556,410,258,100,18,3,2343,849,4305,20310,13895,9806,6006,1913,206,38,57331,Port Phillip (C)
25990,10,9,14,13,25,21,3,0,0,88,8,12,14,15,24,24,16,8,0,123,116,167,339,489,616,635,208,27,10,2611,Pyrenees (S)
26080,0,3,0,3,4,9,3,0,0,29,0,0,3,0,3,18,3,0,0,30,50,47,95,161,242,281,101,17,0,1002,Queenscliffe (B)
26170,29,56,91,62,90,90,20,5,0,432,34,42,60,87,124,111,45,25,9,529,663,793,1801,2230,2888,2550,845,149,20,11949,South Gippsland (S)
26260,8,25,43,45,59,56,10,0,0,242,14,13,28,40,40,45,32,6,6,219,410,509,1127,1291,1658,1551,499,83,24,7140,Southern Grampians (S)
26350,37,177,489,269,247,156,55,6,3,1440,49,223,723,426,444,248,163,46,13,2325,1285,5718,19541,10991,9143,6230,2672,435,81,56103,Stonnington (C)
26430,4,10,26,16,23,22,9,0,0,116,9,13,22,22,56,42,29,13,0,198,199,257,624,722,953,1040,378,95,23,4280,Strathbogie (S)
26490,30,39,76,101,108,64,23,0,0,448,31,37,76,110,112,81,34,11,0,492,664,872,2298,3332,3408,2464,699,76,8,13822,Surf Coast (S)
26610,23,44,85,53,47,46,15,0,0,317,26,50,71,73,91,68,18,14,3,412,505,780,1655,1590,1867,1650,418,80,15,8558,Swan Hill (RC)
