lga_code16,nfans_75ov_ewft,nfans_75ov_ewpt,nfans_75ov_eafw,nfans_75ov_ehw_ns,nfans_75ov_tot,nfans_tot_ewft,nfans_tot_ewpt,nfans_tot_eafw,nfans_tot_ehw_ns,nfans_tot_tot,tot_15_19_ewft,tot_15_19_ewpt,tot_15_19_eafw,tot_15_19_ehw_ns,tot_15_19_tot,tot_20_24_ewft,tot_20_24_ewpt,tot_20_24_eafw,tot_20_24_ehw_ns,tot_20_24_tot,tot_25_29_ewft,tot_25_29_ewpt,tot_25_29_eafw,tot_25_29_ehw_ns,tot_25_29_tot,tot_30_34_ewft,tot_30_34_ewpt,tot_30_34_eafw,tot_30_34_ehw_ns,tot_30_34_tot,tot_35_39_ewft,tot_35_39_ewpt,tot_35_39_eafw,tot_35_39_ehw_ns,tot_35_39_tot,tot_40_44_ewft,tot_40_44_ewpt,tot_40_44_eafw,tot_40_44_ehw_ns,tot_40_44_tot,tot_45_49_ewft,tot_45_49_ewpt,tot_45_49_eafw,tot_45_49_ehw_ns,tot_45_49_tot,tot_50_54_ewft,tot_50_54_ewpt,tot_50_54_eafw,tot_50_54_ehw_ns,tot_50_54_tot,tot_55_59_ewft,tot_55_59_ewpt,tot_55_59_eafw,tot_55_59_ehw_ns,tot_55_59_tot,tot_60_64_ewft,tot_60_64_ewpt,tot_60_64_eafw,tot_60_64_ehw_ns,tot_60_64_tot,tot_65_69_ewft,tot_65_69_ewpt,tot_65_69_eafw,tot_65_69_ehw_ns,tot_65_69_tot,tot_70_74_ewft,tot_70_74_ewpt,tot_70_74_eafw,tot_70_74_ehw_ns,tot_70_74_tot,tot_75ov_ewft,tot_75ov_ewpt,tot_75ov_eafw,tot_75ov_ehw_ns,tot_75ov_tot,tot_tot_ewft,tot_tot_ewpt,tot_tot_eafw,tot_tot_ehw_ns,tot_tot_tot,lga_name16
54060,0,0,0,0,0,10,4,0,3,15,8,40,3,0,55,33,14,0,0,50,33,20,0,3,59,44,36,8,0,85,52,35,3,0,96,55,51,9,4,115,64,48,3,0,125,71,60,8,4,137,66,48,3,7,116,52,45,3,9,106,18,30,9,5,55,8,10,0,0,22,6,11,0,3,17,517,448,46,34,1039,Irwin (S)
54130,0,0,0,0,0,3,0,0,0,5,5,3,3,0,9,20,9,0,0,33,31,10,0,0,45,46,18,0,0,70,28,18,0,0,42,31,17,3,0,51,43,14,0,4,67,58,18,3,4,75,58,30,0,0,86,34,11,7,0,50,15,11,3,0,31,5,5,0,0,13,3,7,0,3,15,381,160,28,14,582,Jerramungup (S)
53150,0,0,0,0,0,16,4,0,0,20,13,81,4,0,102,67,138,5,0,209,128,58,9,0,198,108,52,3,7,162,80,59,9,0,148,97,70,4,0,181,124,77,8,0,209,106,71,11,3,189,94,72,0,3,176,61,57,0,0,127,20,44,0,0,67,4,15,0,0,21,0,9,0,0,15,913,804,52,22,1797,East Fremantle (T)
53220,0,0,0,0,0,107,14,11,14,144,60,61,7,8,142,618,74,46,23,770,1713,125,174,40,2057,1914,180,213,50,2357,1580,131,156,40,1903,1558,113,126,35,1839,1385,105,153,43,1683,1190,93,137,21,1433,903,65,96,22,1090,410,49,69,14,543,115,25,16,6,161,22,9,5,4,41,6,0,0,4,11,11469,1035,1202,315,14018,East Pilbara (S)
53290,0,3,0,0,3,48,31,9,10,100,111,229,17,14,368,308,137,17,8,469,362,130,28,8,522,315,164,34,9,519,335,164,21,6,528,431,209,27,18,683,501,200,22,12,734,469,204,36,7,725,360,178,45,10,594,228,160,39,5,430,83,92,20,3,205,32,54,6,0,92,21,42,4,0,67,3561,1951,312,108,5935,Esperance (S)
53360,0,0,0,0,0,17,6,0,0,24,24,42,3,7,71,63,31,4,8,111,103,33,9,0,143,108,49,17,0,172,78,55,16,3,146,111,50,11,0,171,114,35,9,3,164,99,30,14,3,145,80,38,12,0,128,44,23,6,5,83,16,16,0,0,33,3,6,0,0,9,0,3,0,0,10,845,414,100,28,1382,Exmouth (S)
53430,0,0,0,0,6,159,92,9,19,275,164,935,40,30,1167,1117,1264,90,63,2531,1874,833,86,61,2851,1829,783,137,46,2789,1574,752,109,33,2466,1648,819,72,48,2578,1809,831,86,33,2760,1707,738,88,38,2568,1496,732,92,23,2339,886,576,80,15,1560,353,434,54,5,854,71,175,15,10,273,25,83,12,12,131,14548,8950,960,412,24868,Fremantle (C)
53570,0,0,0,0,0,11,7,0,5,20,24,42,3,3,70,89,40,5,3,140,186,75,3,7,274,123,31,4,3,164,92,44,4,3,147,114,51,5,4,167,131,64,11,3,207,133,58,5,3,194,113,63,6,0,184,77,62,16,3,167,39,43,3,3,89,20,38,7,0,64,13,31,4,0,48,1153,635,73,44,1910,Gingin (S)
53640,0,0,0,0,0,0,0,0,0,4,11,9,0,0,20,42,12,0,0,54,51,15,4,0,73,46,11,0,0,55,26,20,0,0,46,50,23,0,0,72,56,13,0,0,70,41,11,5,4,62,47,11,5,0,62,42,24,6,0,69,20,8,0,0,33,9,8,3,0,20,3,0,0,0,3,440,172,23,7,643,Gnowangerup (S)
54170,0,0,0,0,0,205,221,9,27,468,403,3957,159,72,4587,1907,3202,152,115,5367,2583,1555,187,92,4427,2361,1622,205,83,4274,2003,1740,145,71,3959,2364,2140,121,73,4700,2713,2215,119,70,5117,2583,1975,138,58,4749,2186,1820,139,52,4193,1209,1484,119,32,2844,389,811,56,20,1276,61,308,17,4,394,18,113,12,15,152,20775,22946,1568,756,46047,Joondalup (C)
