lga_code_2016,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families,lga_name_2016
43650,1724,175,98,13,0,0,12,2019,Light (RegC)
43710,542,36,16,3,0,0,7,610,Lower Eyre Peninsula (DC)
43790,1005,74,51,13,0,0,5,1146,Loxton Waikerie (DC)
43920,920,95,75,13,9,3,14,1128,Mallala (DC)
44000,3,0,0,0,0,0,0,7,Maralinga Tjarutja (AC)
44060,8969,665,295,88,20,4,26,10068,Marion (C)
44210,566,61,40,8,0,0,7,684,Mid Murray (DC)
44340,7652,482,207,48,3,4,20,8406,Mitcham (C)
44550,3673,326,189,22,4,0,16,4224,Mount Barker (DC)
44620,2176,243,154,26,3,0,25,2630,Mount Gambier (C)
44830,235,19,5,0,0,0,0,261,Mount Remarkable (DC)
45040,1614,169,117,26,7,0,26,1956,Murray Bridge (RC)
45090,767,58,47,4,0,0,9,883,Naracoorte and Lucindale (DC)
45120,403,23,10,4,0,0,3,441,Northern Areas (DC)
45290,3339,191,60,22,9,0,12,3634,Norwood Payneham St Peters (C)
45340,16372,1718,1031,155,25,11,99,19410,Onkaparinga (C)
45400,66,0,7,0,0,0,0,73,Orroroo/Carrieton (DC)
45540,78,4,6,3,0,0,0,100,Peterborough (DC)
45680,7480,889,657,138,25,11,77,9285,Playford (C)
45890,11528,847,391,176,18,8,52,13017,Port Adelaide Enfield (C)
46090,1021,84,71,19,8,3,16,1223,Port Augusta (C)
46300,1118,99,85,10,3,3,7,1320,Port Lincoln (C)
46450,1372,121,98,19,3,3,24,1638,Port Pirie City and Dists (M)
46510,2372,126,45,19,0,0,6,2575,Prospect (C)
46670,768,76,53,8,0,0,4,914,Renmark Paringa (DC)
46860,104,6,7,0,0,0,3,120,Robe (DC)
46970,431,31,31,3,0,0,4,502,Roxby Downs (M)
47140,13808,1195,725,247,37,25,79,16116,Salisbury (C)
47290,182,11,8,0,0,0,0,205,Southern Mallee (DC)
47490,178,15,13,0,0,0,0,210,Streaky Bay (DC)
47630,617,46,33,7,3,0,4,705,Tatiara (DC)
47700,10741,949,437,88,15,7,47,12274,Tea Tree Gully (C)
47800,426,26,30,0,0,0,5,486,The Coorong (DC)
47910,219,11,3,0,0,0,0,239,Tumby Bay (DC)
47980,3940,244,79,24,0,0,7,4297,Unley (C)
48050,884,87,63,8,3,0,21,1069,Victor Harbor (C)
48130,604,41,41,10,0,0,6,705,Wakefield (DC)
51960,318,23,31,3,0,0,3,379,Coolgardie (S)
52030,61,0,8,5,0,0,3,69,Coorow (S)
48260,767,46,17,4,0,0,0,837,Walkerville (M)
48340,1008,87,68,6,3,0,10,1179,Wattle Range (DC)
48410,5650,374,145,56,0,0,14,6235,West Torrens (C)
48540,1690,179,145,18,6,0,34,2076,Whyalla (C)
48640,120,5,6,0,0,0,0,135,Wudinna (DC)
48750,348,37,20,4,4,0,4,420,Yankalilla (DC)
48830,753,58,44,5,0,0,3,864,Yorke Peninsula (DC)
49399,185,17,9,8,0,0,8,230,Unincorporated SA
49499,0,0,0,0,0,0,0,0,No usual address (SA)
49799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
50080,3124,278,193,38,3,0,25,3666,Albany (C)
50210,8810,733,472,139,22,10,69,10252,Armadale (C)
50250,673,47,50,4,3,0,9,788,Ashburton (S)
50280,1446,80,67,9,0,0,4,1604,Augusta-Margaret River (S)
50350,1485,118,62,15,3,3,8,1699,Bassendean (T)
50420,6365,438,172,66,8,0,24,7076,Bayswater (C)
50490,3227,243,130,51,0,3,15,3662,Belmont (C)
50560,125,9,9,0,0,0,7,145,Beverley (S)
50630,179,16,14,0,0,0,3,216,Boddington (S)
50770,152,8,8,0,0,0,0,168,Boyup Brook (S)
50840,363,31,16,3,0,0,5,425,Bridgetown-Greenbushes (S)
50910,83,8,7,0,0,0,0,91,Brookton (S)
50980,1295,110,74,39,10,5,32,1568,Broome (S)
51080,101,6,3,0,0,0,0,110,Broomehill-Tambellup (S)
51120,83,3,3,0,0,0,3,94,Bruce Rock (S)
51190,2468,246,138,33,0,3,22,2912,Bunbury (C)
51260,3532,304,199,33,7,0,19,4090,Busselton (C)
51310,3555,160,53,15,0,0,3,3792,Cambridge (T)
51330,10531,530,261,173,14,4,30,11545,Canning (C)
51400,1977,163,115,24,4,3,15,2307,Capel (S)
51470,42,3,3,0,0,0,0,49,Carnamah (S)
51540,395,36,28,11,0,0,16,486,Carnarvon (S)
51610,163,13,8,0,0,0,6,185,Chapman Valley (S)
51680,598,43,42,10,0,0,3,696,Chittering (S)
51750,990,74,8,6,0,0,0,1074,Claremont (T)
51820,12288,852,493,138,14,3,42,13836,Cockburn (C)
51890,760,82,64,11,0,0,10,928,Collie (S)
52100,73,12,7,3,0,0,3,93,Corrigin (S)
52170,842,44,19,0,0,0,0,900,Cottesloe (T)
52240,100,4,3,0,0,0,0,112,Cranbrook (S)
52310,67,0,3,0,0,0,0,79,Cuballing (S)
52380,3,0,0,0,0,0,0,7,Cue (S)
52450,125,15,9,0,0,0,0,145,Cunderdin (S)
52520,140,12,11,3,0,0,3,168,Dalwallinu (S)
52590,254,16,7,6,0,0,0,288,Dandaragan (S)
52660,1415,136,115,23,7,0,15,1707,Dardanup (S)
52730,466,39,30,0,0,0,8,545,Denmark (S)
52800,484,48,34,47,11,7,33,659,Derby-West Kimberley (S)
52870,516,36,24,3,0,0,7,579,Donnybrook-Balingup (S)
52940,67,7,0,3,0,0,0,79,Dowerin (S)
53010,59,10,0,0,0,0,3,73,Dumbleyung (S)
53080,32,7,0,0,0,0,0,40,Dundas (S)
53150,870,65,20,3,0,0,0,949,East Fremantle (T)
53220,566,43,31,25,3,3,11,682,East Pilbara (S)
53290,1252,116,72,18,3,0,12,1476,Esperance (S)
53360,263,16,7,0,0,0,0,286,Exmouth (S)
53430,2434,193,81,21,3,0,9,2736,Fremantle (C)
53570,421,30,17,9,0,0,8,482,Gingin (S)
53640,120,4,3,0,0,0,0,128,Gnowangerup (S)
54280,3082,230,216,48,9,8,18,3609,Kalgoorlie/Boulder (C)
54310,2287,167,115,38,9,3,22,2647,Karratha (C)
53710,85,8,3,0,0,0,0,101,Goomalling (S)
53780,13674,940,573,241,28,15,78,15563,Gosnells (C)
53800,3447,298,205,41,11,4,43,4048,Greater Geraldton (C)
53920,141,10,15,23,3,0,11,209,Halls Creek (S)
53990,2851,225,188,33,6,4,31,3344,Harvey (S)
