lga_code_2006_,lga_name_2006_,ier_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
14300,Junee (A),948,158,3,24,NSW,24,2,16,860,1110,5778,17
14350,Kempsey (A),916,102,2,16,NSW,8,1,6,631,1072,27386,4
14400,Kiama (A),1048,602,10,91,NSW,130,9,85,966,1135,18985,0
14450,Kogarah (A),1051,608,10,92,NSW,132,9,86,873,1190,52537,0
14500,Ku-ring-gai (A),1178,667,10,100,NSW,153,10,100,934,1245,101084,0
14550,Kyogle (A),931,118,2,18,NSW,10,1,7,814,1037,9257,0
14600,Lachlan (A),952,179,3,27,NSW,34,3,23,762,1155,6669,0
25490,Moyne (S),1019,529,8,80,VIC,59,8,73,917,1116,15452,0
14650,Lake Macquarie (C),993,414,7,62,NSW,98,7,64,630,1173,183140,0
11300,Burwood (A),1002,461,7,70,NSW,108,8,71,803,1127,30927,0
11350,Byron (A),979,343,6,52,NSW,81,6,53,848,1094,28768,0
11400,Cabonne (A),1017,520,8,78,NSW,118,8,77,888,1119,12396,0
11450,Camden (A),1095,647,10,97,NSW,140,10,91,886,1219,49646,0
11500,Campbelltown (C),965,253,4,38,NSW,54,4,36,579,1236,143075,1
11520,Canada Bay (A),1081,641,10,96,NSW,139,10,91,869,1190,65745,0
11550,Canterbury (C),951,174,3,27,NSW,32,3,21,544,1113,129963,0
11600,Carrathool (A),1001,459,7,69,NSW,107,7,70,924,1108,2819,0
11700,Central Darling (A),860,69,2,11,NSW,2,1,2,761,1150,1938,14
11720,Cessnock (C),957,202,4,31,NSW,40,3,26,619,1157,46209,2
11730,Clarence Valley (A),942,142,3,22,NSW,16,2,11,746,1053,48145,2
11750,Cobar (A),967,266,4,40,NSW,58,4,38,543,1116,4918,0
11800,Coffs Harbour (C),956,197,3,30,NSW,38,3,25,620,1115,64910,0
11860,Conargo (A),1071,631,10,95,NSW,136,9,89,1022,1097,1677,0
12000,Coolamon (A),979,348,6,53,NSW,83,6,54,843,1125,4029,0
12050,Cooma-Monaro (A),985,372,6,56,NSW,89,6,58,871,1150,9725,0
12150,Coonamble (A),911,91,2,14,NSW,5,1,4,782,1090,4210,0
12200,Cootamundra (A),948,159,3,24,NSW,25,2,17,760,1094,7314,0
12300,Corowa Shire (A),984,364,6,55,NSW,85,6,56,901,1102,10977,0
12350,Cowra (A),953,185,3,28,NSW,36,3,24,799,1074,12478,0
14700,Lane Cove (A),1108,654,10,98,NSW,144,10,94,921,1255,30427,0
14750,Leeton (A),979,341,6,52,NSW,80,6,52,823,1086,11112,0
14800,Leichhardt (A),1070,630,10,95,NSW,135,9,88,664,1175,48777,0
14850,Lismore (C),946,151,3,23,NSW,21,2,14,706,1102,42208,0
14870,Lithgow (C),949,163,3,25,NSW,28,2,19,672,1148,19759,3
14900,Liverpool (C),1009,492,8,74,NSW,115,8,75,607,1193,164603,0
14920,Liverpool Plains (A),950,164,3,25,NSW,29,2,19,854,1079,7540,2
14950,Lockhart (A),1000,454,7,68,NSW,106,7,69,927,1094,3182,0
15050,Maitland (C),997,431,7,65,NSW,101,7,66,751,1166,61881,0
15150,Manly (A),1108,655,10,99,NSW,145,10,95,827,1229,37111,0
15200,Marrickville (A),998,437,7,66,NSW,103,7,67,780,1101,71815,0
15270,Mid-Western Regional (A),966,263,4,40,NSW,56,4,37,799,1120,21086,0
15300,Moree Plains (A),959,214,4,33,NSW,45,3,30,552,1146,13975,3
15350,Mosman (A),1128,663,10,100,NSW,150,10,98,935,1245,26236,0
15500,Murray (A),1002,463,7,70,NSW,109,8,71,864,1116,6417,0
15550,Murrumbidgee (A),976,324,5,49,NSW,72,5,47,931,1078,2502,0
15650,Muswellbrook (A),987,382,6,58,NSW,91,6,60,673,1126,15234,3
15700,Nambucca (A),905,86,2,13,NSW,4,1,3,778,1014,17896,0
15750,Narrabri (A),953,184,3,28,NSW,35,3,23,802,1164,13116,0
15800,Narrandera (A),947,152,3,23,NSW,22,2,15,866,1111,6012,0
15850,Narromine (A),959,211,4,32,NSW,44,3,29,853,1089,6509,0
15900,Newcastle (C),961,227,4,34,NSW,47,4,31,493,1173,141753,0
15950,North Sydney (A),1073,635,10,96,NSW,137,9,89,608,1201,58257,0
16100,Oberon (A),1013,505,8,76,NSW,116,8,76,925,1104,5030,4
16150,Orange (C),979,340,6,51,NSW,79,6,52,709,1181,35338,0
16180,Palerang (A),1099,650,10,98,NSW,142,10,93,945,1183,12316,0
16200,Parkes (A),940,138,3,21,NSW,15,1,10,776,1146,14282,0
16250,Parramatta (C),977,335,6,51,NSW,76,5,50,682,1184,148323,0
16350,Penrith (C),1023,540,9,81,NSW,120,8,78,698,1237,172141,1
16370,Pittwater (A),1136,664,10,100,NSW,151,10,99,908,1214,54156,0
16400,Port Stephens (A),991,400,6,60,NSW,94,7,62,716,1152,60484,0
16470,Queanbeyan (C),1042,590,9,89,NSW,127,9,83,808,1247,35971,0
16550,Randwick (C),1035,572,9,86,NSW,124,9,81,593,1193,119885,1
16610,Richmond Valley (A),932,121,2,19,NSW,12,1,8,772,1072,21312,0
16650,Rockdale (C),1004,471,8,71,NSW,112,8,73,730,1121,92124,0
16700,Ryde (C),1046,598,9,90,NSW,129,9,84,639,1181,96949,0
16900,Shellharbour (C),992,408,7,62,NSW,96,7,63,779,1186,60336,0
16950,Shoalhaven (C),965,248,4,38,NSW,52,4,34,566,1151,88406,0
17000,Singleton (A),1041,589,9,89,NSW,126,9,82,875,1178,21938,1
17050,Snowy River (A),1033,570,9,86,NSW,123,8,80,811,1156,7186,3
17200,Sydney (C),976,322,5,49,NSW,71,5,47,539,1140,156573,5
17310,Tamworth Regional (A),974,310,5,47,NSW,69,5,45,689,1128,53592,1
17350,Temora (A),956,199,3,30,NSW,39,3,26,855,1107,5854,0
17400,Tenterfield (A),934,126,2,19,NSW,13,1,9,726,1085,6533,0
17450,Tumbarumba (A),978,338,6,51,NSW,78,6,51,917,1096,3532,10
17500,Tumut Shire (A),959,215,4,33,NSW,46,3,30,769,1094,10800,0
17550,Tweed (A),976,329,5,50,NSW,74,5,49,771,1197,79322,0
17620,Upper Hunter Shire (A),992,411,7,62,NSW,97,7,63,851,1109,12976,0
17640,Upper Lachlan (A),1007,480,8,72,NSW,113,8,74,909,1086,7053,0
17650,Uralla (A),976,326,5,49,NSW,73,5,48,863,1094,5735,0
17700,Urana (A),965,252,4,38,NSW,53,4,35,900,1087,1258,0
17750,Wagga Wagga (C),985,369,6,56,NSW,87,6,57,625,1169,57015,1
17800,Wakool (A),1000,453,7,68,NSW,105,7,69,899,1117,4362,0
17850,Walcha (A),987,381,6,58,NSW,90,6,59,917,1098,3185,0
17900,Walgett (A),884,76,2,12,NSW,3,1,2,780,1088,6944,2
17950,Warren (A),963,238,4,36,NSW,49,4,32,820,1132,2749,0
18000,Warringah (A),1108,656,10,99,NSW,146,10,95,824,1218,133837,1
18020,Warrumbungle Shire (A),937,135,3,21,NSW,14,1,10,820,1097,9808,0
18050,Waverley (A),1062,618,10,93,NSW,133,9,87,891,1241,60712,0
18100,Weddin (A),966,257,4,39,NSW,55,4,36,861,1102,3639,0
18150,Wellington (A),918,103,2,16,NSW,9,1,6,786,1090,8122,0
18200,Wentworth (A),975,316,5,48,NSW,70,5,46,833,1065,6780,2
18250,Willoughby (C),1098,649,10,98,NSW,141,10,92,822,1244,63604,0
18350,Wingecarribee (A),1039,585,9,88,NSW,125,9,82,834,1186,42273,0
18400,Wollondilly (A),1078,640,10,96,NSW,138,9,90,947,1248,40345,0
18450,Wollongong (C),979,344,6,52,NSW,82,6,54,587,1200,184213,0
18500,Woollahra (A),1116,659,10,99,NSW,149,10,97,852,1254,50162,1
18550,Wyong (A),977,333,5,50,NSW,75,5,49,720,1175,139801,0
18710,Yass Valley (A),1066,623,10,94,NSW,134,9,88,899,1182,13134,0
18750,Young (A),965,247,4,37,NSW,51,4,34,843,1073,11982,0
19399,Unincorporated NSW,1045,597,9,90,NSW,128,9,84,955,1190,1123,8
20110,Alpine (S),974,311,5,47,VIC,32,4,40,854,1088,11999,0
20260,Ararat (RC),960,220,4,33,VIC,16,2,20,836,1108,11255,6
20570,Ballarat (C),958,210,4,32,VIC,13,2,17,661,1148,85195,0
20660,Banyule (C),1027,550,9,83,VIC,64,8,80,709,1219,114867,0
20740,Bass Coast (S),968,271,5,41,VIC,23,3,29,814,1100,26544,0
20830,Baw Baw (S),998,439,7,66,VIC,46,6,57,820,1137,37179,0
20910,Bayside (C),1091,644,10,97,VIC,78,10,97,761,1213,87937,0
21010,Benalla (RC),961,223,4,34,VIC,17,3,21,651,1118,13522,0
21110,Boroondara (C),1085,642,10,97,VIC,77,10,96,827,1202,154451,0
21180,Brimbank (C),970,283,5,43,VIC,26,4,33,731,1163,168218,0
21270,Buloke (S),957,205,4,31,VIC,12,2,15,894,1117,6852,0
21370,Campaspe (S),978,339,6,51,VIC,35,5,44,756,1118,36208,0
21450,Cardinia (S),1035,573,9,86,VIC,69,9,86,804,1171,57115,0
21610,Casey (C),1028,554,9,83,VIC,65,9,81,740,1234,214959,0
21670,Central Goldfields (S),912,92,2,14,VIC,1,1,2,757,984,12326,0
21750,Colac-Otway (S),975,320,5,48,VIC,33,5,41,816,1160,20295,0
21830,Corangamite (S),1000,455,7,69,VIC,49,7,61,850,1137,16617,0
21890,Darebin (C),961,224,4,34,VIC,18,3,23,653,1187,128066,0
22110,East Gippsland (S),956,195,3,30,VIC,10,2,13,747,1065,40036,0
22170,Frankston (C),989,394,6,59,VIC,42,6,52,776,1191,117804,1
22250,Gannawarra (S),971,293,5,44,VIC,27,4,34,863,1099,11297,0
22310,Glen Eira (C),1037,578,9,87,VIC,70,9,87,853,1160,124084,0
22410,Glenelg (S),965,250,4,38,VIC,22,3,28,794,1079,19759,0
22490,Golden Plains (S),1033,567,9,85,VIC,68,9,84,913,1195,16455,0
22620,Greater Bendigo (C),963,235,4,36,VIC,20,3,25,667,1142,93252,0
22670,Greater Dandenong (C),934,127,2,20,VIC,3,1,4,754,1167,125520,1
22750,Greater Geelong (C),977,334,6,51,VIC,34,5,42,698,1184,197475,1
22830,Greater Shepparton (C),972,300,5,45,VIC,30,4,38,652,1156,57088,0
22910,Hepburn (S),964,242,4,37,VIC,21,3,26,838,1050,13733,0
22980,Hindmarsh (S),952,180,3,27,VIC,7,1,9,860,1108,6041,0
23110,Hobsons Bay (C),992,406,7,61,VIC,44,6,55,800,1130,81462,1
23190,Horsham (RC),969,279,5,42,VIC,24,3,30,756,1111,18494,0
23270,Hume (C),999,445,7,67,VIC,47,6,59,715,1212,147781,0
23350,Indigo (S),1010,495,8,75,VIC,56,7,70,937,1095,14800,0
23430,Kingston (C),1020,533,8,80,VIC,60,8,75,844,1200,134624,0
23670,Knox (C),1048,601,9,90,VIC,74,10,92,852,1249,146739,0
23810,Latrobe (C),935,131,2,20,VIC,4,1,5,621,1134,69329,0
23940,Loddon (S),957,201,4,31,VIC,11,2,14,839,1141,7838,0
24130,Macedon Ranges (S),1048,605,10,91,VIC,75,10,93,844,1168,38359,0
24210,Manningham (C),1092,645,10,97,VIC,79,10,98,879,1210,109917,0
24250,Mansfield (S),995,420,7,63,VIC,45,6,56,877,1089,7189,4
24330,Maribyrnong (C),934,124,2,19,VIC,2,1,3,668,1174,63142,0
24410,Maroondah (C),1027,549,9,83,VIC,63,8,78,828,1188,99200,0
24600,Melbourne (C),962,232,4,35,VIC,19,3,24,533,1161,71380,3
24650,Melton (S),1029,555,9,84,VIC,66,9,82,843,1147,78910,1
24780,Mildura (RC),955,190,3,29,VIC,9,2,12,717,1139,49816,0
24850,Mitchell (S),1006,476,8,72,VIC,52,7,65,774,1178,30928,0
24900,Moira (S),985,374,6,56,VIC,40,5,50,784,1114,27086,0
24970,Monash (C),1039,584,9,88,VIC,72,9,89,724,1200,161242,1
25060,Moonee Valley (C),1000,452,7,68,VIC,48,6,60,478,1129,107090,0
25150,Moorabool (S),1010,494,8,74,VIC,55,7,68,850,1145,25475,0
25250,Moreland (C),972,295,5,45,VIC,29,4,36,663,1125,135763,0
25340,Mornington Peninsula (S),1024,541,9,81,VIC,61,8,76,787,1201,136482,2
25430,Mount Alexander (S),959,212,4,32,VIC,14,2,18,825,1067,17066,2
17150,Sutherland Shire (A),1101,652,10,98,NSW,143,10,93,685,1241,205448,0
25620,Murrindindi (S),1003,467,7,70,VIC,51,7,63,895,1096,13673,0
25710,Nillumbik (S),1105,653,10,98,VIC,80,10,99,837,1204,59791,0
25810,Northern Grampians (S),952,178,3,27,VIC,6,1,8,866,1089,11911,0
25900,Port Phillip (C),1007,481,8,73,VIC,53,7,66,595,1174,85097,1
25990,Pyrenees (S),950,165,3,25,VIC,5,1,7,869,1045,6557,0
26080,Queenscliffe (B),1012,502,8,76,VIC,58,8,72,953,1060,3017,0
26170,South Gippsland (S),1001,457,7,69,VIC,50,7,62,865,1120,25737,0
26260,Southern Grampians (S),982,357,6,54,VIC,38,5,47,841,1122,16637,0
26350,Stonnington (C),1048,606,10,91,VIC,76,10,94,560,1213,89884,0
26430,Strathbogie (S),970,281,5,43,VIC,25,4,31,849,1081,9294,0
26490,Surf Coast (S),1045,594,9,89,VIC,73,10,91,915,1184,21769,0
26610,Swan Hill (RC),959,216,4,33,VIC,15,2,19,799,1067,20634,0
26670,Towong (S),989,391,6,59,VIC,41,6,51,873,1114,6017,0
26700,Wangaratta (RC),980,349,6,53,VIC,37,5,46,760,1147,26393,1
26730,Warrnambool (C),973,304,5,46,VIC,31,4,39,761,1128,30392,0
26810,Wellington (S),971,294,5,45,VIC,28,4,35,806,1094,40080,3
26890,West Wimmera (S),991,401,7,61,VIC,43,6,54,861,1080,4475,0
26980,Whitehorse (C),1030,559,9,84,VIC,67,9,83,811,1144,144767,0
27070,Whittlesea (C),1010,496,8,75,VIC,57,8,71,880,1195,124648,0
27170,Wodonga (RC),979,345,6,52,VIC,36,5,45,764,1150,33006,1
27260,Wyndham (C),1025,542,9,82,VIC,62,8,77,835,1187,112696,1
27350,Yarra (C),984,363,6,55,VIC,39,5,49,509,1112,69330,1
27450,Yarra Ranges (S),1037,579,9,87,VIC,71,9,88,863,1197,140218,0
27630,Yarriambiack (S),954,188,3,29,VIC,8,1,10,851,1094,7519,0
29399,Unincorporated Vic,1008,485,8,73,VIC,54,7,67,987,1034,774,67
30150,Aramac (S),1006,478,8,72,QLD,118,8,75,914,1178,724,0
30200,Atherton (S),971,287,5,43,QLD,80,6,51,780,1084,10913,2
30250,Aurukun (S),636,40,1,6,QLD,20,2,13,636,636,1045,0
30770,Boigu (IC),551,5,1,1,QLD,2,1,2,551,551,284,0
30800,Boonah (S),1008,482,8,73,QLD,120,8,76,871,1070,8642,0
30850,Booringa (S),971,290,5,44,QLD,81,6,52,893,1149,1705,0
30900,Boulia (S),908,88,2,14,QLD,39,3,25,794,1146,420,0
30950,Bowen (S),961,230,4,35,QLD,65,5,42,865,1146,12378,0
31000,Brisbane (C),1035,574,9,86,QLD,141,9,90,663,1257,956131,1
31700,Broadsound (S),1038,582,9,88,QLD,142,9,90,881,1121,6843,0
33250,Gatton (S),996,426,7,64,QLD,107,7,68,871,1085,15640,0
33300,Gayndah (S),951,168,3,26,QLD,52,4,33,899,1036,2786,0
17100,Strathfield (A),1025,543,9,82,NSW,121,8,79,760,1215,31982,0
30270,Badu (IC),645,45,1,7,QLD,24,2,16,645,645,820,0
30300,Balonne (S),990,396,6,60,QLD,101,7,64,803,1120,4626,0
30330,Bamaga (IC),633,39,1,6,QLD,19,2,13,633,633,784,0
30350,Banana (S),1019,527,8,79,QLD,132,9,84,850,1141,13358,0
32250,Carpentaria (S),893,81,2,13,QLD,38,3,25,834,1030,1939,0
36800,Thuringowa (C),1019,530,8,80,QLD,133,9,85,781,1139,59168,0
36850,Tiaro (S),947,156,3,24,QLD,50,4,32,906,1023,5324,0
32150,Cambooya (S),1072,634,10,95,QLD,155,10,99,992,1144,5818,0
32200,Cardwell (S),972,296,5,45,QLD,82,6,52,871,1092,9528,2
33350,Gladstone (C),997,429,7,65,QLD,110,7,70,803,1147,29084,0
33460,Gold Coast (C),1032,565,9,85,QLD,140,9,89,737,1249,472281,0
70400,Arltarlpilta (CGC),601,22,1,4,NT ,13,4,38,601,601,239,26
70540,Belyuen (CGC),524,2,1,1,NT ,2,1,6,524,524,173,0
36150,Quilpie (S),968,270,5,41,QLD,76,5,49,916,1084,984,0
36200,Redcliffe (C),956,200,3,30,QLD,58,4,37,808,1234,51176,0
54830,Kwinana (T),993,415,7,63,WA ,62,5,44,770,1186,23195,4
30400,Barcaldine (S),960,219,4,33,QLD,60,4,38,883,1102,1617,0
30450,Barcoo (S),975,319,5,48,QLD,88,6,56,872,1170,360,6
30500,Bauhinia (S),1031,561,9,84,QLD,138,9,88,963,1095,2189,0
30550,Beaudesert (S),1072,632,10,95,QLD,153,10,97,879,1205,62443,0
30600,Belyando (S),1064,619,10,93,QLD,150,10,95,950,1132,10455,0
36570,Seisia (IC),701,55,1,9,QLD,31,2,20,701,701,164,0
36600,Stanthorpe (S),960,222,4,34,QLD,61,4,39,816,1092,10123,0
36650,Tambo (S),997,433,7,65,QLD,111,8,71,935,1107,560,0
36700,Tara (S),953,183,3,28,QLD,55,4,35,860,1089,3675,0
36750,Taroom (S),1014,510,8,77,QLD,127,9,81,928,1146,2388,0
30650,Bendemere (S),997,435,7,66,QLD,112,8,71,874,1102,987,0
30700,Biggenden (S),950,167,3,26,QLD,51,4,33,865,1030,1524,0
30750,Blackall (S),958,208,4,32,QLD,59,4,38,884,1177,1456,0
35150,Monto (S),974,313,5,47,QLD,87,6,56,879,1098,2434,0
35250,Mornington (S),623,32,1,5,QLD,14,1,9,621,683,1031,0
32300,Charters Towers (C),947,154,3,24,QLD,49,4,32,901,1033,7976,0
32740,Dauan (IC),624,34,1,6,QLD,16,2,11,624,624,152,0
32750,Diamantina (S),891,78,2,12,QLD,37,3,24,865,1025,281,7
70360,Anmatjere (CGC),684,52,1,8,NT ,21,7,61,577,804,964,55
32650,Dalby (T),973,305,5,46,QLD,85,6,54,854,1074,9779,0
32700,Dalrymple (S),1012,501,8,76,QLD,125,8,80,813,1138,3504,0
31810,Bundaberg (C),935,132,2,20,QLD,46,3,30,778,1096,45803,0
31850,Bungil (S),1065,622,10,94,QLD,152,10,97,929,1122,2052,0
31900,Burdekin (S),977,331,5,50,QLD,91,6,58,875,1123,17019,0
31950,Burke (S),951,170,3,26,QLD,53,4,34,877,1060,497,6
31980,Burnett (S),998,442,7,67,QLD,113,8,72,891,1114,26295,0
32000,Caboolture (S),1003,464,7,70,QLD,116,8,74,719,1219,132473,1
32060,Cairns (C),996,427,7,64,QLD,108,7,69,703,1199,127437,1
35100,Miriam Vale (S),963,237,4,36,QLD,66,5,42,868,1052,5128,1
32800,Douglas (S),986,379,6,57,QLD,95,7,61,508,1147,10191,0
32850,Duaringa (S),1038,583,9,88,QLD,143,10,91,911,1126,6744,0
32900,Eacham (S),990,395,6,60,QLD,100,7,64,848,1041,6359,0
32950,Eidsvold (S),933,122,2,19,QLD,44,3,28,841,1050,860,0
33000,Emerald (S),1057,614,10,92,QLD,149,10,95,856,1180,14355,0
40430,Barunga West (DC),967,268,5,41,SA ,30,5,43,899,1056,2543,0
70600,Borroloola (CGC),614,28,1,5,NT ,16,5,46,614,614,774,0
31750,Bulloo (S),969,277,5,42,QLD,78,5,50,930,1029,371,0
32100,Calliope (S),1046,600,9,90,QLD,146,10,93,941,1146,16544,0
32130,Caloundra (C),1015,512,8,77,QLD,128,9,82,785,1217,87596,0
32330,Cherbourg (S),590,19,1,3,QLD,7,1,5,590,590,1128,0
32350,Chinchilla (S),1006,479,8,72,QLD,119,8,76,844,1144,5940,1
32400,Clifton (S),992,405,7,61,QLD,103,7,66,913,1080,2612,0
32450,Cloncurry (S),945,149,3,23,QLD,48,4,31,523,1090,3135,0
32500,Cook (S),922,107,2,17,QLD,41,3,26,715,1115,3466,2
32530,Cooloola (S),964,240,4,36,QLD,68,5,44,834,1062,36069,0
32550,Crow's Nest (S),1076,639,10,96,QLD,157,10,100,928,1151,12642,1
32600,Croydon (S),851,68,2,11,QLD,35,3,23,796,1014,254,0
33030,Erub (IC),647,46,1,7,QLD,25,2,16,647,647,317,0
33050,Esk (S),993,413,7,62,QLD,106,7,68,862,1068,15164,0
33100,Etheridge (S),999,446,7,67,QLD,115,8,73,949,1103,851,0
33150,Fitzroy (S),1008,488,8,74,QLD,121,8,77,916,1156,10571,0
33200,Flinders (S),969,278,5,42,QLD,79,6,51,891,1129,1791,0
33600,Goondiwindi (T),966,255,4,39,QLD,72,5,46,846,1038,4713,0
33650,Hammond (IC),641,42,1,7,QLD,22,2,14,641,641,214,0
33700,Herberton (S),922,109,2,17,QLD,42,3,27,870,1142,5420,0
33750,Hervey Bay (C),965,244,4,37,QLD,69,5,44,789,1141,52221,0
33800,Hinchinbrook (S),961,229,4,35,QLD,64,5,41,830,1074,11557,0
33830,Hope Vale (S),624,33,1,5,QLD,15,1,10,624,624,779,2
33840,Iama (IC),588,17,1,3,QLD,6,1,4,588,588,312,0
34740,Mabuiag (IC),689,53,1,8,QLD,29,2,19,689,689,248,0
34760,Mackay (C),1029,558,9,84,QLD,137,9,87,778,1232,84890,1
34800,McKinlay (S),1046,599,9,90,QLD,145,10,92,939,1175,896,0
36250,Redland (S),1053,610,10,92,QLD,148,10,94,823,1226,127628,0
36300,Richmond (S),988,387,6,58,QLD,97,7,62,953,1075,901,0
36350,Rockhampton (C),952,176,3,27,QLD,54,4,35,759,1155,58747,0
70700,Coomalie (CGC),913,95,2,15,NT ,27,8,78,840,985,1105,3
34970,Mer (IC),629,38,1,6,QLD,18,2,12,629,629,483,0
35000,Millmerran (S),976,330,5,50,QLD,90,6,57,907,1080,3098,0
35050,Mirani (S),1005,473,8,71,QLD,117,8,75,923,1046,5408,0
34430,Kubin (IC),649,47,1,8,QLD,26,2,17,649,649,200,0
34450,Laidley (S),987,384,6,58,QLD,96,7,61,848,1047,14480,0
34550,Livingstone (S),1009,491,8,74,QLD,122,8,78,809,1144,28869,2
34570,Lockhart River (S),645,44,1,7,QLD,23,2,15,645,645,553,1
34600,Logan (C),989,390,6,59,QLD,98,7,63,701,1202,173264,0
34700,Longreach (S),992,407,7,61,QLD,104,7,66,934,1163,3522,0
56580,Nedlands (C),1122,661,10,99,WA ,140,10,98,903,1226,20335,1
36100,Poruma (IC),629,37,1,6,QLD,17,2,11,629,629,167,0
54900,Lake Grace (S),1029,556,9,84,WA ,107,8,75,993,1122,1456,0
33850,Ilfracombe (S),992,412,7,62,QLD,105,7,67,931,1119,267,0
33900,Inglewood (S),966,262,4,40,QLD,74,5,47,888,1046,2534,0
33930,Injinoo (S),609,25,1,4,QLD,11,1,7,609,609,417,0
33960,Ipswich (C),985,365,6,55,QLD,93,6,59,720,1222,140183,1
34000,Isis (S),967,269,5,41,QLD,75,5,48,895,1021,6297,0
34050,Isisford (S),973,308,5,47,QLD,86,6,55,915,1063,264,0
