lga_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
13550,23,26,19,13,3,0,126,3,15,27,25,25,5,0,0,102,35,204,205,112,120,65,26,6,780,21,110,138,132,133,70,25,10,644,211,454,340,357,301,147,79,14,1893,32,19,28,32,18,17,3,0,149,16,35,30,51,47,41,17,0,227,260,514,392,436,365,201,94,15,2278,7,9,7,8,12,6,7,3,53,183,147,135,180,188,179,155,67,1233,513,1031,929,917,869,528,311,105,5208,Gunnedah (A)
13660,3,10,6,7,3,0,32,0,3,4,6,13,6,3,0,34,12,67,73,74,40,32,6,6,314,12,30,49,79,57,37,6,6,288,62,121,107,144,113,99,36,12,683,9,4,5,8,11,3,6,0,52,3,7,8,15,18,17,3,4,80,71,133,121,166,138,124,42,13,818,0,3,0,5,8,10,4,0,31,60,60,59,88,117,130,85,37,639,165,301,319,442,373,341,152,62,2154,Gwydir (A)
13800,231,291,241,127,41,3,1267,14,99,125,153,203,90,10,3,700,365,1069,1034,916,775,414,132,32,4731,361,816,1001,1169,812,446,161,32,4801,1388,2611,2313,2529,1714,891,363,93,11903,142,144,148,112,101,33,12,0,698,104,157,239,251,267,185,59,24,1283,1639,2909,2691,2894,2081,1114,440,117,13883,35,33,50,81,71,84,35,16,398,659,531,504,729,627,620,404,195,4267,3119,5745,5644,6227,4809,2892,1229,395,30057,Hawkesbury (C)
13850,6,3,3,4,0,0,24,0,4,4,4,8,3,0,0,25,7,40,39,24,24,17,9,0,154,9,27,20,55,28,22,3,0,165,59,58,67,87,77,30,13,0,400,10,3,7,4,7,0,0,0,39,10,3,8,3,12,0,0,0,41,75,69,79,97,100,32,13,0,476,0,0,0,0,0,0,0,0,4,35,47,38,70,63,66,61,19,411,125,197,190,255,226,142,92,22,1251,Hay (A)
16380,299,299,285,224,74,9,1388,12,97,174,203,306,177,60,14,1032,198,1126,1433,1233,1132,871,375,116,6484,174,613,1045,1247,1263,1015,465,135,5955,1010,1913,2139,2619,2539,1997,995,307,13517,179,154,134,177,182,129,38,10,1008,94,134,205,312,432,386,218,57,1837,1287,2203,2483,3111,3157,2510,1246,376,16366,17,24,54,78,111,162,95,40,570,680,531,564,770,1001,1471,1314,843,7164,2374,4789,6048,6931,7252,6430,3620,1525,38963,Port Macquarie-Hastings (A)
16400,229,237,213,162,40,4,1047,7,63,123,131,176,127,22,6,649,208,820,1022,794,881,661,210,53,4658,220,630,926,1080,1052,771,298,59,5025,1038,2078,2290,2567,2153,1702,782,177,12797,187,169,136,134,134,90,20,3,870,86,131,175,256,346,355,134,34,1510,1309,2380,2598,2960,2633,2146,934,215,15177,23,34,46,74,96,126,52,23,477,705,590,559,736,894,1148,924,497,6054,2472,4672,5507,6008,5953,5141,2485,861,33088,Port Stephens (A)
16490,675,775,461,222,51,11,2667,13,201,286,350,248,133,22,0,1247,327,1602,1560,1283,894,451,140,32,6292,227,814,967,1168,761,351,114,32,4438,754,1647,1558,1582,1202,524,199,53,7522,143,110,73,84,73,40,3,3,539,44,90,141,219,179,125,47,15,857,940,1843,1770,1886,1461,698,252,72,8922,17,53,44,62,56,37,18,8,295,642,739,739,865,757,604,327,134,4802,2184,5702,6048,6397,4637,2494,924,283,28665,Queanbeyan-Palerang Regional (A)
16550,3523,2310,1326,719,201,55,12483,67,580,722,491,405,214,73,16,2567,3903,9916,6725,4287,2597,1297,484,206,29414,717,2171,2276,2037,1403,811,341,148,9898,800,2414,1988,1901,1470,1030,560,257,10427,113,126,126,136,108,83,26,8,714,145,260,308,411,416,299,129,64,2026,1052,2803,2426,2440,1988,1410,711,330,13168,169,217,207,196,207,141,95,38,1268,2153,2742,2065,1661,1448,1298,1037,754,13167,8375,22473,17935,13423,9369,5886,2940,1558,81956,Randwick (C)
16610,41,38,36,23,12,0,171,0,15,20,30,46,24,4,0,151,34,158,276,207,214,136,48,6,1081,53,122,184,215,274,165,79,21,1116,344,629,661,721,730,461,197,52,3784,85,58,46,62,50,17,10,0,322,26,55,54,88,93,62,22,10,416,451,744,759,869,872,544,229,65,4529,13,8,10,14,19,27,12,4,110,324,191,265,315,351,430,321,118,2314,881,1251,1549,1691,1823,1352,706,212,9470,Richmond Valley (A)
16650,1823,820,483,194,60,11,6636,27,353,308,258,214,73,22,3,1262,1775,7234,3984,2193,1400,681,272,69,17607,774,2406,2065,1744,1038,568,220,83,8895,806,1952,1900,1841,1376,939,501,184,9509,95,132,165,156,101,63,17,8,735,104,254,387,435,344,229,95,40,1884,1004,2340,2454,2431,1824,1230,619,236,12130,82,244,188,220,185,122,54,29,1123,1003,1721,1135,1058,958,889,919,866,8537,4844,17359,11950,8721,6098,3758,2156,1300,56188,Rockdale (C)
