lga_code16,psn_15_y_over_indig_m,psn_15_y_over_indig_f,psn_15_y_over_indig_p,psn_15_y_over_nonind_m,psn_15_y_over_nonind_f,psn_15_y_over_nonind_p,psn_15_y_over_ind_s_nsm,psn_15_y_over_ind_s_nsf,psn_15_y_over_ind_s_nsp,psn_15_y_over_totm,psn_15_y_over_totf,psn_15_y_over_totp,in_lf_emp_indig_m,in_lf_emp_indig_f,in_lf_emp_indig_p,in_lf_emp_nonind_m,in_lf_emp_nonind_f,in_lf_emp_nonind_p,in_lf_emp_indst_nsm,in_lf_emp_indst_nsf,in_lf_emp_indst_nsp,in_lf_employd_totm,in_lf_employd_totf,in_lf_employd_totp,in_lf_unemp_ind_m,in_lf_unemp_ind_f,in_lf_unemp_ind_p,in_lf_unemp_no_ind_m,in_lf_unemp_no_ind_f,in_lf_unemp_no_ind_p,in_lf_un_indst_nsm,in_lf_un_indst_nsf,in_lf_un_indst_nsp,in_lf_unemp_totm,in_lf_unemp_totf,in_lf_unemp_totp,in_lf_to_lf_ind_m,in_lf_to_lf_ind_f,in_lf_to_lf_ind_p,in_lf_to_la_fo_no_in_m,in_lf_to_la_fo_no_in_f,in_lf_to_la_fo_no_in_p,in_lf_to_l_fo_in_st_nsm,in_lf_to_l_fo_in_st_nsf,in_lf_to_l_fo_in_st_nsp,in_lf_to_lf_totm,in_lf_to_lf_totf,in_lf_to_lf_totp,n_the_lf_indig_m,n_the_lf_indig_f,n_the_lf_indig_p,n_the_lf_no_indig_m,n_the_lf_no_indig_f,n_the_lf_no_indig_p,n_the_lf_indig_st_nsm,n_the_lf_indig_st_nsf,n_the_lf_indig_st_nsp,n_the_lf_totm,n_the_lf_totf,n_the_lf_totp,lf_st_ns_indig_m,lf_st_ns_indig_f,lf_st_ns_indig_p,lf_st_ns_nonind_m,lf_st_ns_nonind_f,lf_st_ns_nonind_p,lf_st_ns_indig_st_nsm,lf_st_ns_indig_st_nsf,lf_st_ns_indig_st_nsp,lf_st_ns_totm,lf_st_ns_totf,lf_st_ns_totp,pcent_unemploy_indig_m,pcent_unemploy_indig_f,pcent_unemploy_indig_p,pcent_unemploy_nonind_m,pcent_unemploy_nonind_f,pcent_unemploy_nonind_p,pcent_unem_indst_nsm,pcent_unemp_indst_nsf,pcent_unemp_indst_nsp,pcent_unemploy_totm,pcent_unemploy_totf,pcent_unemploy_totp,pcent_lf_part_indig_m,pcent_lf_part_indig_f,pcent_lf_part_indig_p,pcent_lf_part_no_indig_m,pcent_lf_part_no_indig_f,pcent_lf_part_no_indig_p,pcent_lf_part_indst_nsm,pcent_lf_part_indst_nsf,pcent_lf_part_indst_nsp,pcent_lf_part_totm,pcent_lf_part_totf,pcent_lf_part_totp,pcent_emp_to_pop_ind_m,pcent_emp_to_pop_ind_f,pcent_emp_to_pop_ind_p,pcent_emp_t_pop_nonind_m,pcent_emp_t_pop_nonind_f,pcent_emp_t_pop_nonind_p,pcent_emp_t_pop_indst_nsm,pcent_emp_t_pop_indst_nsf,pcent_emp_t_pop_indst_nsp,pcent_emp_to_pop_totm,pcent_emp_to_pop_totf,pcent_emp_to_pop_totp,indsec_gov_ind_m,indsec_gov_ind_f,indsec_gov_ind_p,indsec_gov_no_ind_m,indsec_gov_no_ind_f,indsec_gov_no_ind_p,indsec_gov_indst_nsm,indsec_gov_indst_nsf,indsec_gov_indst_nsp,indsec_gov_totm,indsec_gov_totf,indsec_gov_totp,indsec_priv_ind_m,indsec_priv_ind_f,indsec_priv_ind_p,indsec_priv_nonind_m,indsec_priv_nonind_f,indsec_priv_nonind_p,indsec_priv_indst_nsm,indsec_priv_indst_nsf,indsec_priv_indst_nsp,indsec_priv_totm,indsec_priv_totf,indsec_priv_totp,self_employed_ind_m,self_employed_ind_f,self_employed_ind_p,self_employed_nonind_m,self_employed_nonind_f,self_employed_nonind_p,self_employed_ind_status_nsm,self_employed_ind_status_nsf,self_employed_ind_status_nsp,self_employed_totm,self_employed_totf,self_employed_totp,nsq_pgdl_ind_m,nsq_pgdl_ind_f,nsq_pgdl_ind_p,nsq_pgdl_no_ind_m,nsq_pgdl_no_ind_f,nsq_pgdl_no_ind_p,nsq_pgdl_indst_nsm,nsq_pgdl_indst_nsf,nsq_pgdl_indst_nsp,nsq_pgdl_totm,nsq_pgdl_totf,nsq_pgdl_totp,nsq_gd_gcl_ind_m,nsq_gd_gcl_ind_f,nsq_gd_gcl_ind_p,nsq_gd_gcl_no_in_m,nsq_gd_gcl_no_in_f,nsq_gd_gcl_no_in_p,nsq_gd_gcl_in_st_nsm,nsq_gd_gcl_in_st_nsf,nsq_gd_gcl_in_st_nsp,nsq_gd_gcl_totm,nsq_gd_gcl_totf,nsq_gd_gcl_totp,nsq_bdl_ind_m,nsq_bdl_ind_f,nsq_bdl_ind_p,nsq_bdl_no_ind_m,nsq_bdl_no_ind_f,nsq_bdl_no_ind_p,nsq_bdl_indst_nsm,nsq_bdl_indst_nsf,nsq_bdl_indst_nsp,nsq_bdl_totm,nsq_bdl_totf,nsq_bdl_totp,nsq_ad_dl_ind_m,nsq_ad_dl_ind_f,nsq_ad_dl_ind_p,nsq_ad_dl_no_in_m,nsq_ad_dl_no_in_f,nsq_ad_dl_no_in_p,nsq_ad_dl_in_st_nsm,nsq_ad_dl_in_st_nsf,nsq_ad_dl_in_st_nsp,nsq_ad_dl_totm,nsq_ad_dl_totf,nsq_ad_dl_totp,nsq_crt_ii_ind_m,nsq_crt_ii_ind_f,nsq_crt_ii_ind_p,nsq_cer_ii_no_ind_m,nsq_cer_ii_no_ind_f,nsq_cer_ii_no_ind_p,nsq_ce_ii_indst_nsm,nsq_ce_ii_indst_nsf,lga_name16
23110,169,180,353,33179,34962,68141,1948,1993,3937,35295,37135,72429,101,84,183,22030,19521,41550,132,103,241,22262,19715,41978,17,12,31,1527,1350,2874,16,12,31,1562,1371,2931,120,98,213,23552,20873,44428,148,123,268,23818,21086,44911,54,76,132,9275,13672,22945,120,141,259,9448,13893,23339,3,3,3,354,418,769,1676,1730,3411,2032,2152,4186,14.2,12.2,14.6,6.5,6.5,6.5,10.8,9.8,11.6,6.6,6.5,6.5,67.8,55.4,61.2,71.0,59.7,65.2,7.6,6.2,6.8,67.5,56.8,62.0,57.1,47.5,52.6,66.4,55.8,61.0,6.8,5.2,6.1,63.1,53.1,58.0,17,28,39,2264,3716,5974,10,21,33,2289,3756,6044,85,56,144,19451,15612,35065,109,81,194,19648,15754,35400,9,0,10,1215,849,2068,8,4,13,1230,855,2085,0,6,6,1976,2209,4182,3,10,12,1985,2225,4210,3,5,9,668,1368,2038,3,5,9,678,1377,2059,14,12,28,5617,6977,12598,22,23,54,5657,7016,12675,5,24,27,2875,3584,6462,18,17,40,2903,3623,6531,3,0,3,162,299,462,0,0,Hobsons Bay (C)
23190,78,91,168,7101,7762,14861,435,450,885,7606,8308,15913,35,30,66,4669,4319,8988,29,28,55,4731,4379,9111,7,8,16,258,193,453,6,0,6,269,203,468,47,34,78,4926,4514,9440,34,28,60,5004,4578,9585,30,50,84,2094,3155,5254,29,51,85,2159,3260,5421,0,3,3,76,91,166,368,373,741,446,467,910,14.9,23.5,20.5,5.2,4.3,4.8,17.6,0.0,10.0,5.4,4.4,4.9,61.0,39.1,47.3,69.4,58.2,63.5,7.9,6.2,6.8,65.8,55.1,60.2,45.5,34.5,40.0,65.8,55.7,60.5,6.7,6.2,6.2,62.2,52.7,57.2,12,11,20,576,1104,1681,0,4,3,584,1123,1706,25,21,42,4033,3178,7211,29,21,54,4083,3219,7303,0,3,3,361,175,527,3,0,4,362,176,537,0,0,0,125,156,279,0,0,0,124,156,282,0,0,0,87,229,309,0,0,0,87,225,309,4,3,10,471,996,1466,3,6,7,476,1007,1479,7,14,21,507,855,1360,0,7,3,513,876,1390,4,3,6,69,122,190,0,3,Horsham (RC)
23270,466,505,970,71055,73154,144209,4147,4142,8286,75669,77799,153462,276,221,498,44328,35753,80078,258,195,448,44863,36162,81025,30,45,78,4090,3516,7608,40,32,68,4164,3593,7756,309,259,570,48418,39268,87687,299,227,521,49026,39755,88775,139,231,377,21688,33016,54706,281,357,632,22105,33606,55708,15,10,27,949,870,1820,3573,3563,7132,4536,4442,8979,9.7,17.4,13.7,8.4,9.0,8.7,13.4,14.1,13.1,8.5,9.0,8.7,66.7,51.8,58.5,68.1,53.7,60.8,7.2,5.5,6.3,64.8,51.1,57.8,59.6,44.2,51.1,62.4,48.9,55.5,6.2,4.7,5.4,59.3,46.5,52.8,35,51,87,3158,5401,8558,12,21,32,3205,5474,8676,236,160,390,40298,29809,70108,219,165,380,40757,30126,70881,16,8,18,2847,1384,4227,16,6,22,2870,1395,4266,4,5,12,2256,2214,4469,8,16,21,2268,2231,4502,3,6,11,655,1394,2050,7,0,3,662,1402,2072,5,27,30,6983,8999,15980,25,41,61,7013,9063,16075,29,39,68,5840,7779,13617,30,46,74,5893,7864,13759,3,17,17,557,919,1473,3,4,Hume (C)
23350,58,76,131,5959,6192,12152,417,406,821,6436,6674,13104,23,44,66,3730,3617,7350,46,27,73,3802,3689,7492,0,5,3,163,162,323,0,0,8,167,164,333,28,48,73,3895,3777,7671,50,28,78,3972,3855,7821,27,26,54,1998,2356,4354,29,43,67,2054,2427,4475,3,0,4,64,62,129,344,330,675,410,393,807,0.0,10.4,4.1,4.2,4.3,4.2,0.0,0.0,10.3,4.2,4.3,4.3,48.3,64.9,55.7,65.4,61.0,63.1,11.8,7.0,9.5,61.7,57.8,59.7,39.7,59.5,50.4,62.6,58.4,60.5,10.9,6.7,8.9,59.1,55.3,57.2,3,8,16,467,823,1284,3,9,12,470,838,1308,23,30,51,3213,2751,5967,42,19,63,3275,2805,6077,0,3,3,425,235,663,3,0,3,430,240,669,0,3,3,155,227,377,5,0,5,158,229,385,0,0,0,134,268,400,0,3,3,134,273,404,4,12,14,537,982,1519,5,6,6,543,995,1542,0,11,12,490,786,1275,0,3,3,492,798,1287,0,3,0,52,94,146,0,0,Indigo (S)
23430,207,214,413,56612,61216,117833,3107,3240,6345,59923,64673,124594,140,106,246,38048,35454,73501,192,162,348,38381,35723,74103,8,8,15,2295,1916,4208,14,11,18,2318,1929,4247,154,111,269,40339,37372,77709,203,167,372,40698,37648,78347,48,90,137,15726,23092,38815,186,264,450,15961,23442,39402,5,9,16,543,763,1306,2718,2808,5529,3266,3583,6845,5.2,7.2,5.6,5.7,5.1,5.4,6.9,6.6,4.8,5.7,5.1,5.4,74.4,52.9,63.7,71.3,61.0,66.0,6.5,5.2,5.9,67.9,58.2,62.9,67.6,50.5,58.3,67.2,57.9,62.4,6.2,5.0,5.5,64.0,55.2,59.5,15,27,42,3475,5959,9432,10,28,38,3502,6010,9508,125,78,205,34085,29127,63214,172,133,301,34387,29340,63722,12,0,14,2628,1618,4248,9,8,18,2650,1625,4272,5,3,8,3110,3367,6477,6,8,15,3127,3379,6502,5,4,11,1138,2092,3233,0,4,5,1143,2097,3247,15,30,41,9411,12202,21614,31,46,73,9461,12272,21736,15,24,42,5796,7254,13050,35,38,69,5845,7317,13165,0,3,3,336,536,873,0,3,Kingston (C) (Vic.)
23670,262,244,512,58659,63017,121675,2412,2453,4870,61338,65713,127047,174,135,309,40010,36635,76642,224,174,394,40404,36944,77348,16,14,34,2392,2125,4518,15,14,31,2430,2158,4584,192,148,337,42401,38762,81159,238,193,427,42829,39100,81929,64,91,158,15764,23659,39422,169,204,374,15997,23956,39952,4,3,10,491,602,1093,2006,2054,4064,2503,2659,5170,8.3,9.5,10.1,5.6,5.5,5.6,6.3,7.3,7.3,5.7,5.5,5.6,73.8,61.2,66.7,72.3,61.5,66.7,9.9,7.9,8.8,69.8,59.5,64.5,66.9,55.8,61.2,68.2,58.1,63.0,9.3,7.1,8.1,65.9,56.2,60.9,7,19,24,3376,5609,8990,15,15,31,3399,5643,9043,167,112,278,36151,30670,66824,197,152,357,36517,30940,67453,14,0,14,2642,1373,4013,24,4,24,2679,1379,4055,3,5,10,2912,2781,5695,4,11,15,2924,2791,5719,0,0,3,979,1762,2741,6,7,14,988,1768,2757,13,7,19,8787,11041,19834,29,38,69,8828,11091,19918,11,22,35,5570,7449,13020,18,28,43,5603,7504,13103,4,8,6,369,641,1009,3,5,Knox (C)
23810,357,378,733,26287,28170,54457,2335,2476,4813,28975,31021,59998,131,135,271,15095,13939,29034,110,82,190,15336,14158,29490,57,49,100,1775,1242,3020,20,10,38,1850,1302,3157,191,179,370,16866,15188,32052,131,96,227,17186,15464,32646,152,180,335,9068,12610,21674,159,225,381,9381,13017,22395,15,13,29,348,376,726,2049,2156,4203,2410,2544,4955,29.8,27.4,27.0,10.5,8.2,9.4,15.3,10.4,16.7,10.8,8.4,9.7,53.4,48.1,50.4,64.2,53.9,58.9,5.6,3.9,4.7,59.3,49.8,54.4,36.6,36.3,36.9,57.4,49.5,53.3,4.7,3.3,3.9,52.9,45.6,49.2,26,40,68,1586,3634,5216,8,19,22,1620,3692,5312,101,94,192,13300,10158,23455,91,60,157,13490,10306,23803,3,3,7,796,414,1202,5,4,7,801,419,1223,5,3,8,427,471,904,0,0,0,436,474,911,9,3,7,284,596,882,0,0,3,289,600,891,12,9,19,1699,2940,4641,11,16,26,1720,2960,4685,17,29,51,1745,2630,4379,9,10,20,1775,2672,4450,7,11,19,243,498,733,0,4,Latrobe (C) (Vic.)
23940,44,42,82,2866,2714,5581,344,320,664,3252,3074,6322,17,12,22,1526,1261,2779,21,12,30,1556,1280,2838,4,0,5,87,59,144,0,0,3,90,65,158,20,11,29,1609,1323,2931,20,16,36,1651,1347,2993,23,26,45,1196,1345,2536,20,22,47,1242,1389,2629,4,3,6,60,50,109,300,282,579,360,333,695,20.0,0.0,17.2,5.4,4.5,4.9,0.0,0.0,8.3,5.5,4.8,5.3,42.6,27.5,36.3,56.2,48.7,52.6,5.9,5.0,5.4,50.8,43.9,47.4,36.2,30.0,27.5,53.3,46.4,49.8,6.2,3.8,4.5,47.8,41.7,44.9,0,0,0,111,230,341,0,0,3,114,227,338,17,12,21,1387,1005,2386,18,12,30,1416,1025,2436,0,0,0,247,110,350,0,3,3,246,107,361,0,0,0,20,26,46,0,0,0,20,26,46,0,0,0,25,69,86,0,0,0,25,69,86,0,0,0,135,275,401,0,3,5,136,275,405,0,5,3,157,255,415,3,0,3,165,265,427,0,0,0,14,50,62,0,0,Loddon (S)
24130,100,98,194,16565,17400,33964,1195,1304,2498,17861,18796,36659,61,40,100,11242,10256,21494,79,67,144,11374,10360,21741,6,10,13,510,466,978,3,4,11,522,480,1002,64,48,111,11746,10728,22475,84,68,148,11896,10842,22739,34,45,78,4668,6500,11166,72,92,161,4780,6636,11408,0,0,3,151,172,324,1041,1146,2186,1192,1320,2513,9.4,20.8,11.7,4.3,4.3,4.4,3.6,5.9,7.4,4.4,4.4,4.4,65.3,51.6,57.8,70.9,61.7,66.2,7.0,5.2,5.9,66.6,57.7,62.0,62.2,43.0,52.1,67.9,58.9,63.3,6.6,5.1,5.8,63.7,55.1,59.3,9,3,14,1328,1967,3295,0,7,10,1336,1986,3320,53,34,84,9826,8206,18030,67,51,126,9949,8289,18239,5,3,5,996,706,1702,3,8,11,1008,713,1719,0,0,3,702,739,1439,3,10,11,711,749,1456,0,5,5,398,805,1208,3,3,5,400,813,1219,10,8,15,2157,3183,5343,7,24,28,2175,3220,5390,8,11,14,1613,2163,3775,12,13,23,1629,2181,3815,0,0,0,91,251,339,0,0,Macedon Ranges (S)
24210,75,74,148,44695,48804,93501,1823,2055,3873,46588,50939,97529,49,41,92,27611,24866,52482,117,130,245,27779,25037,52818,3,5,10,1807,1621,3434,9,3,13,1822,1636,3452,56,49,100,29418,26488,55913,124,131,261,29599,26672,56269,14,26,43,14917,21831,36747,134,223,356,15072,22078,37151,0,3,6,353,485,841,1563,1703,3261,1919,2188,4105,5.4,10.2,10.0,6.1,6.1,6.1,7.3,2.3,5.0,6.2,6.1,6.1,80.0,62.8,67.1,65.8,54.3,59.8,6.8,6.4,6.7,63.5,52.4,57.7,70.0,52.6,61.7,61.8,51.0,56.1,6.4,6.3,6.3,59.6,49.2,54.2,4,10,12,2476,3859,6330,5,16,26,2487,3878,6364,47,33,81,24786,20710,45494,100,100,200,24930,20839,45775,6,0,11,1911,1154,3065,11,11,19,1931,1163,3095,0,0,3,3896,3339,7234,11,19,29,3906,3359,7264,0,0,0,1037,1658,2692,0,6,8,1039,1663,2705,4,10,16,10158,11272,21435,39,46,82,10204,11333,21529,11,6,15,4245,5194,9435,19,27,44,4270,5227,9495,0,0,0,155,323,477,0,0,Manningham (C)
24250,16,31,49,3207,3245,6453,285,264,547,3508,3538,7049,8,19,31,1922,1800,3722,14,12,26,1944,1834,3781,0,0,0,79,48,124,0,0,3,77,50,132,8,19,31,1998,1853,3849,17,11,31,2026,1885,3913,11,13,15,1161,1354,2513,14,28,38,1184,1386,2573,0,0,0,41,45,86,253,225,476,293,268,563,0.0,0.0,0.0,4.0,2.6,3.2,0.0,0.0,9.7,3.8,2.7,3.4,42.1,59.4,67.4,62.4,57.0,59.7,6.0,4.2,5.7,57.8,53.3,55.5,42.1,59.4,67.4,60.1,55.4,57.7,4.9,4.5,4.8,55.5,51.8,53.6,0,4,4,140,317,460,0,3,7,142,321,465,9,15,24,1748,1465,3210,8,12,22,1768,1490,3256,5,0,5,263,140,405,3,0,3,271,141,413,0,0,0,73,81,151,0,0,0,73,81,151,0,0,0,45,113,161,0,0,0,45,118,157,0,0,0,266,467,730,0,8,6,268,474,746,0,3,5,228,409,637,0,4,4,230,415,647,0,0,0,24,49,74,0,0,Mansfield (S)
24330,188,151,341,32106,31951,64066,2359,2325,4689,34661,34435,69093,93,87,178,21948,19339,41284,93,90,179,22133,19511,41648,23,18,36,1975,1717,3693,18,6,30,2022,1740,3760,117,101,213,23922,21057,44974,111,97,214,24153,21253,45402,73,49,125,7812,10531,18346,120,121,240,8001,10702,18711,4,0,5,374,367,742,2127,2104,4236,2506,2474,4982,19.7,17.8,16.9,8.3,8.2,8.2,16.2,6.2,14.0,8.4,8.2,8.3,60.3,67.3,62.1,74.5,65.9,70.2,4.7,4.2,4.6,69.7,61.7,65.7,47.9,58.0,51.9,68.4,60.5,64.4,3.9,3.9,3.8,63.9,56.7,60.3,11,32,42,2632,3913,6545,3,7,8,2642,3951,6594,77,54,132,19016,15181,34199,83,70,148,19174,15307,34479,4,6,11,1146,828,1972,10,0,6,1155,836,1992,9,19,29,2754,2747,5502,9,4,20,2777,2767,5545,0,6,13,806,1445,2250,3,0,5,810,1455,2263,21,18,42,7379,8174,15553,27,33,54,7429,8224,15652,24,9,37,3006,3079,6084,13,11,22,3037,3103,6139,4,0,4,184,238,428,0,0,Maribyrnong (C)
24410,187,202,388,40767,44781,85546,1766,2063,3833,42715,47052,89771,109,108,221,28227,26255,54474,110,124,240,28447,26490,54940,10,8,16,1563,1425,2987,9,3,18,1583,1446,3025,123,123,243,29785,27678,57464,124,132,256,30033,27931,57961,61,79,138,10727,16683,27409,113,175,291,10899,16937,27840,3,3,9,258,414,676,1525,1757,3283,1790,2181,3965,8.1,6.5,6.6,5.2,5.1,5.2,7.3,2.3,7.0,5.3,5.2,5.2,65.8,60.0,62.3,73.1,61.8,67.2,7.0,6.4,6.7,70.3,59.4,64.6,58.3,52.7,56.7,69.2,58.6,63.7,6.2,6.0,6.3,66.6,56.3,61.2,6,29,32,2791,4734,7529,9,14,18,2809,4776,7586,101,85,185,25130,21273,46401,96,104,194,25324,21456,46776,7,3,9,1927,1100,3028,10,9,20,1947,1107,3058,0,3,6,2109,2113,4225,7,3,12,2118,2121,4236,0,7,13,967,1679,2641,0,6,10,966,1690,2659,16,19,37,6269,8478,14746,17,28,47,6301,8525,14826,9,20,38,4109,5498,9602,18,17,30,4135,5531,9672,0,3,3,255,448,704,0,3,Maroondah (C)
24600,242,193,433,54456,58261,112716,7041,7040,14083,61741,65494,127232,120,105,230,33364,31238,64603,170,153,321,33655,31495,65156,10,24,36,3678,4250,7932,19,20,41,3711,4292,8006,132,122,263,37045,35487,72532,190,178,365,37371,35784,73154,100,68,166,17041,22396,39436,106,128,236,17250,22585,39837,3,3,5,364,378,743,6744,6734,13480,7114,7116,14237,7.6,19.7,13.7,9.9,12.0,10.9,10.0,11.2,11.2,9.9,12.0,10.9,56.2,63.2,60.6,68.0,60.9,64.4,2.7,2.5,2.6,60.5,54.6,57.5,51.1,54.4,53.0,61.3,53.6,57.3,2.4,2.2,2.3,54.5,48.1,51.2,25,26,54,3872,4940,8810,12,21,33,3910,4986,8895,101,79,174,29140,25966,55112,137,126,262,29376,26172,55547,7,3,10,1371,1137,2503,11,4,13,1387,1144,2536,9,6,13,7403,8134,15535,24,26,52,7431,8165,15601,6,3,10,1278,1999,3277,0,3,6,1288,2004,3296,36,39,77,18270,19675,37940,86,89,171,18389,19803,38192,12,16,31,4390,4667,9061,28,21,48,4430,4703,9134,0,0,3,186,260,438,4,0,Melbourne (C)
24650,408,446,856,46823,48755,95575,2771,2892,5664,50001,52096,102097,204,187,394,31997,27269,59268,196,168,362,32402,27631,60028,28,34,65,2420,2429,4849,15,11,31,2463,2477,4943,238,225,463,34418,29698,64115,212,185,394,34862,30110,64968,173,215,385,11921,18561,30476,129,195,332,12227,18969,31192,5,8,12,481,498,983,2430,2512,4940,2914,3015,5934,11.8,15.1,14.0,7.0,8.2,7.6,7.1,5.9,7.9,7.1,8.2,7.6,57.2,50.2,53.8,73.5,60.9,67.1,7.7,6.4,7.0,69.7,57.8,63.6,49.0,41.7,45.8,68.3,55.9,62.0,7.1,5.8,6.4,64.8,53.0,58.8,23,41,61,2525,4319,6844,7,16,22,2553,4377,6929,182,144,329,28993,22569,51560,169,141,314,29347,22855,52203,5,5,16,1715,854,2562,5,6,14,1729,864,2587,3,0,3,1446,1459,2909,5,4,8,1453,1466,2917,6,8,12,459,959,1417,3,3,9,469,970,1443,9,18,28,4850,7034,11890,12,33,47,4876,7086,11965,19,51,72,3872,5325,9203,16,31,50,3907,5405,9319,4,12,19,345,666,1014,6,8,Melton (C)
24780,559,704,1256,18826,19930,38754,1865,1768,3631,21243,22402,43642,231,224,453,11334,10524,21855,106,87,197,11669,10835,22501,64,73,139,905,701,1612,28,4,33,998,783,1784,290,301,591,12242,11224,23463,137,95,230,12664,11620,24286,245,372,616,6284,8364,14645,100,124,224,6623,8859,15480,19,28,52,303,346,646,1629,1550,3178,1958,1921,3877,22.1,24.3,23.5,7.4,6.2,6.9,20.4,4.2,14.3,7.9,6.7,7.3,52.3,42.9,46.9,65.0,56.3,60.5,7.3,5.4,6.3,59.6,51.9,55.6,41.7,32.0,36.0,60.2,52.8,56.4,5.7,4.9,5.4,54.9,48.4,51.6,36,53,89,1001,1546,2545,4,15,19,1038,1613,2646,190,169,359,10151,8855,19006,96,68,163,10435,9097,19532,8,0,11,769,382,1151,3,3,13,780,387,1168,0,4,5,203,276,479,3,0,3,204,279,486,3,14,13,187,412,598,0,0,0,186,426,612,11,29,36,1209,2163,3374,4,15,21,1219,2204,3425,17,46,68,1138,1865,3000,4,16,18,1159,1931,3088,9,33,43,185,350,537,3,3,Mildura (RC)
24850,202,183,388,14668,14760,29425,1313,1318,2630,16185,16260,32439,118,85,200,9835,8192,18030,100,76,179,10052,8355,18406,17,11,35,492,565,1055,11,9,19,520,587,1112,131,98,234,10324,8758,19086,113,85,195,10569,8944,19512,71,84,148,4164,5794,9957,67,88,153,4301,5958,10262,0,3,3,181,206,382,1134,1142,2281,1318,1354,2670,13.0,11.2,15.0,4.8,6.5,5.5,9.7,10.6,9.7,4.9,6.6,5.7,64.9,53.0,60.8,70.4,59.3,64.9,8.6,6.5,7.4,65.3,55.0,60.1,58.4,45.9,51.9,67.0,55.5,61.3,7.6,5.8,6.8,62.1,51.4,56.7,26,18,45,1352,1432,2785,17,16,27,1392,1461,2854,82,67,151,8352,6657,15010,77,60,138,8514,6789,15305,3,0,3,690,326,1016,4,0,10,700,327,1030,0,3,3,249,259,507,0,0,0,249,263,509,0,3,7,152,356,512,0,3,3,157,362,516,0,8,15,839,1557,2400,4,3,10,845,1568,2419,12,20,32,1043,1718,2759,4,21,27,1061,1754,2816,0,4,7,126,280,409,4,3,Mitchell (S)
24900,164,154,323,10744,11059,21802,942,907,1855,11854,12121,23981,75,58,131,6154,5428,11581,52,41,96,6281,5522,11806,10,9,19,307,294,599,5,4,6,319,308,629,84,66,148,6460,5718,12180,57,43,106,6601,5835,12432,75,85,163,4098,5138,9237,77,84,166,4247,5310,9557,5,3,14,185,199,391,807,773,1587,1001,984,1983,11.9,13.6,12.8,4.8,5.1,4.9,8.8,9.3,5.7,4.8,5.3,5.1,51.2,42.9,45.5,60.1,51.7,55.9,6.1,4.8,5.7,55.7,48.1,51.9,45.7,37.7,40.3,57.3,49.1,53.1,5.5,4.6,5.2,53.0,45.5,49.2,6,9,19,369,670,1042,3,10,9,380,689,1066,56,51,105,5690,4664,10355,51,31,82,5794,4744,10541,8,3,9,623,272,895,3,0,3,632,278,909,0,0,0,77,135,212,0,0,0,77,136,214,0,0,0,83,215,305,0,0,0,87,215,301,7,7,18,513,1009,1522,3,6,12,525,1025,1546,6,13,22,616,1070,1685,9,8,12,633,1096,1722,3,3,7,78,182,265,0,0,Moira (S)
24970,156,155,307,71318,75293,146614,3356,3441,6795,74831,78884,153720,79,77,154,42497,37416,79916,162,147,308,42741,37635,80373,8,6,22,3490,3409,6898,21,12,38,3522,3436,6956,91,86,172,45991,40824,86812,185,158,344,46264,41069,87328,63,71,125,24737,33750,58488,186,266,453,24981,34081,59066,5,3,11,592,717,1315,2990,3011,5999,3587,3738,7319,8.8,7.0,12.8,7.6,8.4,7.9,11.4,7.6,11.0,7.6,8.4,8.0,57.2,53.8,55.8,64.5,54.2,59.2,5.5,4.6,5.1,61.8,52.1,56.8,49.7,48.1,50.0,59.6,49.7,54.5,4.8,4.3,4.5,57.1,47.7,52.3,12,18,26,4517,6100,10617,9,22,36,4541,6139,10678,60,57,117,37406,30884,68290,141,118,258,37607,31062,68666,7,3,9,2532,1490,4022,13,3,17,2550,1498,4049,5,11,10,7884,6813,14701,20,8,27,7906,6835,14741,4,3,5,1542,2373,3915,0,7,7,1552,2384,3934,10,17,27,16611,18035,34644,51,50,99,16675,18093,34765,7,14,18,6499,7789,14288,29,38,63,6533,7839,14369,0,0,0,277,455,733,0,0,Monash (C)
25060,167,165,332,43484,47717,91198,2713,2875,5588,46365,50750,97118,115,108,225,29157,28116,57271,145,116,263,29417,28346,57761,7,4,19,1816,1602,3420,15,11,21,1839,1621,3462,124,113,237,30969,29721,60693,161,126,288,31255,29962,61219,41,43,89,12010,17387,29397,147,204,353,12198,17640,29834,0,0,7,502,609,1111,2409,2542,4947,2914,3152,6061,5.6,3.5,8.0,5.9,5.4,5.6,9.3,8.7,7.3,5.9,5.4,5.7,75.2,72.4,71.2,71.2,62.3,66.5,5.9,4.4,5.2,67.4,59.0,63.0,69.7,69.2,67.6,67.1,58.9,62.8,5.3,4.0,4.7,63.4,55.8,59.5,22,36,54,3419,5631,9056,19,19,34,3457,5679,9141,88,74,165,25425,22204,47626,114,93,206,25629,22372,47998,4,3,9,1561,1008,2563,3,6,8,1564,1014,2583,8,9,14,3168,3311,6487,5,7,16,3183,3333,6516,0,4,4,1090,2062,3155,3,3,10,1097,2074,3169,12,31,48,9158,11284,20435,30,39,70,9204,11353,20557,18,16,35,3908,4776,8685,21,27,45,3947,4823,8772,0,3,3,227,356,585,0,4,Moonee Valley (C)
