lga_name_2016,lga_code_2016,d_10_12_fpnlf_mpet,d_10_12_fpnlf_mpulftw,d_10_12_fpnlf_mpulptw,d_10_12_fpnlf_mput,d_10_12_fpnlf_mptlf,d_10_12_fpnlf_mpnlf,d_10_12_fpnlf_mplfsns,d_10_12_fpnlf_t,d_10_12_fplfsns_mpeft,d_10_12_fplfsns_mpept,d_10_12_fplfsns_mpeaw,d_10_12_fplfsns_mpehns,d_10_12_fplfsns_mpet,d_10_12_fplfsns_mpulftw,d_10_12_fplfsns_mpulptw,d_10_12_fplfsns_mput,d_10_12_fplfsns_mptlf,d_10_12_fplfsns_mpnlf,d_10_12_fplfsns_mplfsns,d_10_12_fplfsns_t,d_10_12_fpt_mpeft,d_10_12_fpt_mpept,d_10_12_fpt_mpeaw,d_10_12_fpt_mpehns,d_10_12_fpt_mpet,d_10_12_fpt_mpulftw,d_10_12_fpt_mpulptw,d_10_12_fpt_mput,d_10_12_fpt_mptlf,d_10_12_fpt_mpnlf,d_10_12_fpt_mplfsns,d_10_12_fpt_t,d_13_14_fpeft_mpeft,d_13_14_fpeft_mpept,d_13_14_fpeft_mpeaw,d_13_14_fpeft_mpehns,d_13_14_fpeft_mpet,d_13_14_fpeft_mpulftw,d_13_14_fpeft_mpulptw,d_13_14_fpeft_mput,d_13_14_fpeft_mptlf,d_13_14_fpeft_mpnlf,d_13_14_fpeft_mplfsns,d_13_14_fpeft_t,d_13_14_fpept_mpeft,d_13_14_fpept_mpept,d_13_14_fpept_mpeaw,d_13_14_fpept_mpehns,d_13_14_fpept_mpet,d_13_14_fpept_mpulftw,d_13_14_fpept_mpulptw,d_13_14_fpept_mput,d_13_14_fpept_mptlf,d_13_14_fpept_mpnlf,d_13_14_fpept_mplfsns,d_13_14_fpept_t,d_13_14_fpeaw_mpeft,d_13_14_fpeaw_mpept,d_13_14_fpeaw_mpeaw,d_13_14_fpeaw_mpehns,d_13_14_fpeaw_mpet,d_13_14_fpeaw_mpulftw,d_13_14_fpeaw_mpulptw,d_13_14_fpeaw_mput,d_13_14_fpeaw_mptlf,d_13_14_fpeaw_mpnlf,d_13_14_fpeaw_mplfsns,d_13_14_fpeaw_t,d_13_14_fphns_mpeft,d_13_14_fphns_mpept,d_13_14_fphns_mpeaw,d_13_14_fphns_mpehns,d_13_14_fphns_mpet,d_13_14_fphns_mpulftw,d_13_14_fphns_mpulptw,d_13_14_fphns_mput,d_13_14_fphns_mptlf,d_13_14_fphns_mpnlf,d_13_14_fphns_mplfsns,d_13_14_fphns_t,d_13_14_fpet_mpeft,d_13_14_fpet_mpept,d_13_14_fpet_mpeaw,d_13_14_fpet_mpehns,d_13_14_fpet_mpet,d_13_14_fpet_mpulftw,d_13_14_fpet_mpulptw,d_13_14_fpet_mput,d_13_14_fpet_mptlf,d_13_14_fpet_mpnlf,d_13_14_fpet_mplfsns,d_13_14_fpet_t,d_13_14_fpulftw_mpeft,d_13_14_fpulftw_mpept,d_13_14_fpulftw_mpeaw,d_13_14_fpulftw_mpehns,d_13_14_fpulftw_mpet,d_13_14_fpulftw_mpulftw,d_13_14_fpulftw_mpulptw,d_13_14_fpulftw_mput,d_13_14_fpulftw_mptlf,d_13_14_fpulftw_mpnlf,d_13_14_fpulftw_mplfsns,d_13_14_fpulftw_t,d_13_14_fpulptw_mpeft,d_13_14_fpulptw_mpept,d_13_14_fpulptw_mpeaw,d_13_14_fpulptw_mpehns,d_13_14_fpulptw_mpet,d_13_14_fpulptw_mpulftw,d_13_14_fpulptw_mpulptw,d_13_14_fpulptw_mput,d_13_14_fpulptw_mptlf,d_13_14_fpulptw_mpnlf,d_13_14_fpulptw_mplfsns,d_13_14_fpulptw_t,d_13_14_fput_mpeft,d_13_14_fput_mpept,d_13_14_fput_mpeaw,d_13_14_fput_mpehns,d_13_14_fput_mpet,d_13_14_fput_mpulftw,d_13_14_fput_mpulptw,d_13_14_fput_mput,d_13_14_fput_mptlf,d_13_14_fput_mpnlf,d_13_14_fput_mplfsns,d_13_14_fput_t,d_13_14_fptlf_mpeft,d_13_14_fptlf_mpept,d_13_14_fptlf_mpeaw,d_13_14_fptlf_mpehns,d_13_14_fptlf_mpet,d_13_14_fptlf_mpulftw,d_13_14_fptlf_mpulptw,d_13_14_fptlf_mput,d_13_14_fptlf_mptlf,d_13_14_fptlf_mpnlf,d_13_14_fptlf_mplfsns,d_13_14_fp_t,d_13_14_fpnlf_mpeft,d_13_14_fpnlf_mpept,d_13_14_fpnlf_mpeaw,d_13_14_fpnlf_mpehns,d_13_14_fpnlf_mpet,d_13_14_fpnlf_mpulftw,d_13_14_fpnlf_mpulptw,d_13_14_fpnlf_mput,d_13_14_fpnlf_mptlf,d_13_14_fpnlf_mpnlf,d_13_14_fpnlf_mplfsns,d_13_14_fpnlf_t,d_13_14_fplfsns_mpeft,d_13_14_fplfsns_mpept,d_13_14_fplfsns_mpeaw,d_13_14_fplfsns_mpehns,d_13_14_fplfsns_mpet,d_13_14_fplfsns_mpulftw,d_13_14_fplfsns_mpulptw,d_13_14_fplfsns_mput,d_13_14_fplfsns_mptlf,d_13_14_fplfsns_mpnlf,d_13_14_fplfsns_mplfsns,d_13_14_fplfsns_t,d_13_14_fpt_mpeft,d_13_14_fpt_mpept,d_13_14_fpt_mpeaw,d_13_14_fpt_mpehns,d_13_14_fpt_mpet,d_13_14_fpt_mpulftw,d_13_14_fpt_mpulptw,d_13_14_fpt_mput,d_13_14_fpt_mptlf,d_13_14_fpt_mpnlf,d_13_14_fpt_mplfsns,d_13_14_fpt_t,d_15_17_fpeft_mpeft,d_15_17_fpeft_mpept,d_15_17_fpeft_mpeaw,d_15_17_fpeft_mpehns,d_15_17_fpeft_mpet,d_15_17_fpeft_mpulftw,d_15_17_fpeft_mpulptw,d_15_17_fpeft_mput,d_15_17_fpeft_mptlf,d_15_17_fpeft_mpnlf,d_15_17_fpeft_mplfsns,d_15_17_fpeft_t,d_15_17_fpept_mpeft,d_15_17_fpept_mpept,d_15_17_fpept_mpeaw,d_15_17_fpept_mpehns,d_15_17_fpept_mpet,d_15_17_fpept_mpulftw,d_15_17_fpept_mpulptw,d_15_17_fpept_mput,d_15_17_fpept_mptlf,d_15_17_fpept_mpnlf,d_15_17_fpept_mplfsns,d_15_17_fpept_t
Charles Sturt (C),41060,378,12,4,17,398,116,0,512,0,0,0,0,0,0,0,0,0,0,7,4,1671,276,28,35,2006,61,19,80,2086,203,10,2299,348,56,0,10,415,6,0,4,419,27,0,451,531,83,3,8,624,11,0,10,636,20,0,655,9,0,8,0,17,0,0,0,17,3,0,22,9,0,0,3,12,0,0,3,11,0,0,14,889,135,14,14,1063,16,4,22,1082,52,0,1140,12,3,0,0,15,5,0,9,26,0,0,23,17,3,0,0,20,6,0,6,28,7,0,30,29,5,0,0,33,10,0,11,49,3,0,52,920,145,15,16,1094,34,3,39,1133,59,0,1189,181,43,6,5,233,3,5,14,246,69,0,316,0,0,0,0,0,0,0,0,0,0,4,4,1098,187,23,23,1328,36,8,48,1376,129,6,1515,558,71,10,7,653,9,6,20,667,42,0,710,746,127,7,8,891,12,3,12,903,33,0,940
Anangu Pitjantjatjara (AC),40250,9,0,0,0,9,22,0,24,0,0,0,0,0,0,0,0,0,0,10,10,3,10,0,0,14,13,3,17,30,28,10,70,0,0,0,0,0,0,0,0,3,3,0,9,0,6,0,0,6,0,0,0,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,3,13,10,0,20,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,3,6,0,0,7,3,3,5,16,10,0,24,0,3,0,0,3,0,0,0,7,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,15,3,3,4,22,18,0,35,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,5
Barossa (DC),40310,107,0,0,0,113,11,0,120,0,0,0,0,0,0,0,0,0,0,0,0,567,68,10,10,653,12,0,11,666,23,0,685,110,11,0,0,116,3,0,3,123,4,0,127,175,24,0,3,209,3,0,3,206,0,0,210,3,0,3,0,4,0,0,0,4,0,0,4,3,0,0,3,3,0,0,0,3,0,0,5,288,34,0,6,335,3,0,3,339,7,3,350,0,0,0,0,4,0,0,0,4,0,0,4,7,0,0,0,7,0,0,0,7,0,0,7,9,0,0,0,15,0,0,0,16,0,0,16,301,34,0,8,351,7,0,7,356,7,3,364,38,8,3,0,52,0,0,0,52,5,0,58,0,0,0,0,0,0,0,0,0,0,0,3,345,42,5,10,399,7,0,7,404,12,6,424,187,17,0,0,201,4,0,7,207,13,0,221,241,31,7,0,282,0,0,0,281,5,0,290
Barunga West (DC),40430,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,40,0,0,0,47,3,0,43,3,0,0,0,3,0,0,0,3,0,0,3,14,0,0,0,17,0,0,0,17,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,19,0,0,0,20,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,20,0,0,0,23,4,0,22,4,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,24,0,0,0,28,6,0,28,6,0,0,0,3,0,0,0,3,0,0,9,17,0,0,0,19,0,0,0,16,0,0,16
Berri and Barmera (DC),40520,22,7,4,13,38,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,170,29,3,4,201,18,4,14,222,20,0,242,38,0,0,0,42,0,0,0,44,3,0,45,64,5,0,0,75,0,0,0,72,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,8,0,0,119,0,0,3,120,3,0,122,8,0,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,11,0,0,0,11,0,0,11,116,8,0,0,126,0,0,3,128,3,0,129,23,0,0,0,26,3,0,3,26,13,0,42,0,0,0,0,0,0,0,0,0,0,0,0,139,12,0,0,146,9,0,10,157,17,0,175,63,3,0,0,69,0,0,0,75,0,0,72,61,16,0,3,78,3,0,3,87,7,0,89
Burnside (C),40700,248,3,0,3,251,28,0,282,0,0,0,0,0,0,0,0,3,0,4,5,1098,160,13,11,1285,34,4,37,1321,70,4,1399,268,33,0,0,302,12,3,18,317,15,0,332,326,59,4,0,393,0,5,8,401,13,0,410,6,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,601,91,5,3,700,12,6,21,721,26,0,753,10,4,0,0,19,0,0,0,18,0,0,21,15,0,0,0,12,3,0,3,12,0,0,20,27,3,0,0,30,5,0,5,31,3,0,38,622,98,5,3,730,21,6,27,754,34,0,789,120,12,3,4,136,3,0,3,139,23,0,162,0,0,0,0,0,0,0,0,0,0,0,0,738,108,6,9,864,19,12,30,897,52,0,951,381,57,4,6,440,13,0,13,455,24,0,475,379,72,4,0,454,9,3,13,469,5,0,472
Campbelltown (C) (SA),40910,164,8,8,16,182,37,0,220,0,0,0,0,3,0,0,0,3,0,3,7,929,125,15,7,1077,45,15,53,1131,73,6,1212,183,29,0,0,210,12,3,13,221,9,0,235,318,39,3,0,361,3,0,8,370,12,0,385,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,9,0,0,9,506,69,6,3,583,16,4,18,602,24,0,624,10,4,0,0,10,0,0,0,11,0,0,11,15,4,0,0,11,0,0,0,14,0,0,14,17,4,0,0,22,3,0,3,26,0,0,26,523,72,6,3,611,12,4,19,626,24,0,649,87,18,0,0,107,6,0,10,112,22,0,140,0,0,0,0,0,0,0,0,0,0,0,0,615,89,6,4,713,24,5,28,742,50,0,787,298,40,3,0,340,16,3,17,355,21,0,378,433,64,3,3,508,11,0,13,517,19,0,535
Cleve (DC),41190,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,51,0,0,0,51,0,0,50,13,0,0,0,13,0,0,0,13,0,0,13,20,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,31,0,0,32,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,32,0,0,0,32,0,0,36,22,0,0,0,22,0,0,0,22,0,0,18,21,0,0,0,21,0,0,0,21,0,0,25
Coober Pedy (DC),41330,4,0,3,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,4,4,0,13,0,3,3,16,8,0,25,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,3,0,9,4,0,0,0,7,0,0,0,10,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Copper Coast (DC),41560,41,3,0,3,50,25,0,74,0,0,0,0,0,0,0,0,0,0,0,0,173,35,7,5,225,10,3,15,235,35,0,274,38,8,0,0,46,0,0,0,46,0,0,46,61,17,0,0,78,4,0,4,80,3,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,23,0,3,122,4,0,4,125,3,0,128,0,0,0,0,0,6,0,6,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,8,3,0,7,99,20,0,3,127,4,0,4,129,6,0,141,19,0,0,0,18,0,0,0,23,14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,119,27,3,3,145,7,0,9,156,20,0,174,58,10,0,3,70,3,0,3,67,0,0,73,79,21,0,0,107,0,3,3,111,6,0,116
Elliston (DC),41750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,32,0,0,0,33,3,0,37,6,0,0,0,6,0,0,0,11,0,0,11,11,0,0,0,9,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,20,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,20,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,22,0,0,0,23,3,0,24,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5
Franklin Harbour (DC),41960,6,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,28,3,4,0,32,0,0,0,32,5,0,31,6,0,0,0,6,0,0,0,6,0,0,6,7,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,12,0,0,3,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,16,0,0,0,16,0,0,16,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,23,0,0,0,20,0,0,20,6,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,8,0,0,0,8,0,0,8
Gawler (T),42030,78,0,0,0,79,19,0,99,0,0,0,0,0,0,0,0,3,0,0,3,375,50,6,11,437,7,0,9,451,35,3,484,91,12,3,3,100,0,0,0,108,6,0,114,106,7,0,0,119,0,0,0,119,7,0,121,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,199,23,4,4,228,0,0,0,231,9,0,245,5,0,0,0,3,0,0,0,7,0,0,7,4,0,0,0,8,3,0,3,11,0,0,11,10,3,0,0,14,4,0,4,18,0,0,18,210,19,9,4,241,3,0,3,245,9,0,257,51,3,0,0,54,3,0,3,56,16,0,75,0,0,0,0,0,0,0,0,0,0,0,0,264,25,6,4,296,10,0,10,305,27,0,340,128,14,0,0,148,0,0,0,148,4,0,150,139,21,3,0,164,4,0,4,167,7,0,172
Goyder (DC),42110,6,0,0,0,6,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,80,10,4,0,103,0,0,0,100,9,0,110,16,0,0,0,20,0,0,0,20,3,0,27,32,6,0,0,37,0,0,0,38,0,0,41,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,3,3,0,61,0,0,0,59,5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,58,7,3,0,61,0,0,0,68,5,0,69,6,3,0,0,6,0,0,0,6,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,58,6,3,0,71,0,0,0,69,18,0,89,21,0,0,0,24,0,0,0,24,5,0,31,17,0,0,0,20,0,0,0,22,0,0,26
Grant (DC),42250,35,0,0,0,38,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,219,28,5,5,255,3,0,3,260,9,0,268,53,3,3,0,59,0,0,0,59,9,0,68,72,9,0,0,86,0,0,0,86,0,0,86,3,0,3,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,126,10,4,3,153,0,0,0,153,7,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,10,4,3,153,0,0,0,155,7,0,162,10,5,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,144,14,4,3,171,0,0,0,166,7,0,176,70,0,5,0,71,0,0,0,71,3,0,74,86,16,0,0,103,0,0,0,98,3,0,106
Ashburton (S),50250,27,3,0,3,31,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,130,16,7,3,166,3,0,3,166,7,0,178,30,5,0,0,37,0,0,0,37,3,0,36,20,0,0,0,24,0,0,0,24,0,0,24,3,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,3,0,0,3,56,3,5,0,64,0,0,0,64,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,5,0,67,0,0,0,67,3,0,67,9,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,62,3,9,0,82,0,0,0,82,3,0,81,32,4,3,0,42,0,0,0,42,0,0,43,13,3,0,0,15,0,0,0,15,0,0,15
Flinders Ranges (DC),41830,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,15,0,0,0,19,0,0,0,15,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,9,0,0,0,12,0,3,18,7,0,0,0,7,0,0,0,7,0,0,7,14,4,0,0,17,0,0,0,15,3,0,20
Holdfast Bay (C),42600,91,0,0,0,91,9,0,106,0,0,0,0,0,0,0,0,0,0,0,0,607,62,3,3,676,14,0,13,687,38,0,730,124,16,3,0,141,5,0,5,149,4,0,159,181,21,0,4,200,3,0,3,204,5,0,213,10,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,318,35,4,4,354,4,0,4,364,12,0,377,7,0,0,0,7,0,0,0,8,0,0,8,5,0,0,0,3,0,0,0,3,0,0,9,11,0,0,0,8,0,0,0,12,0,0,12,326,35,4,4,366,8,0,8,373,12,0,389,38,9,0,4,44,0,0,0,44,7,0,55,0,0,0,0,0,0,0,0,0,0,0,0,363,39,4,6,412,8,0,8,421,25,5,446,221,21,0,0,243,6,0,6,251,15,0,267,251,18,0,0,274,3,0,3,274,12,0,282
Kangaroo Island (DC),42750,9,0,0,0,8,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,63,19,0,0,79,0,0,0,81,8,0,91,13,0,0,0,15,0,0,0,15,3,0,17,19,8,0,0,22,0,0,0,24,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,5,35,10,0,3,41,0,0,0,48,5,0,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,10,0,3,42,0,0,0,43,7,0,56,3,6,0,0,5,0,0,0,5,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,9,0,3,47,0,0,0,50,12,0,64,18,8,0,0,18,0,0,0,18,4,0,27,27,16,0,0,43,0,0,0,44,4,0,44
Karoonda East Murray (DC),43080,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,30,0,0,0,30,3,0,31,10,0,0,0,10,0,0,0,10,0,0,11,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,17,0,0,17,7,0,0,0,7,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,4,4,0,7
Kingston (DC) (SA),43360,7,4,0,4,13,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,41,3,4,0,49,4,0,4,52,6,0,58,7,0,0,0,7,0,0,0,7,0,0,7,13,3,0,0,15,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,25,0,0,0,27,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,25,0,0,0,27,0,0,29,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,25,0,0,0,30,3,0,26,10,0,0,0,10,0,0,0,10,0,0,13,9,7,0,0,18,0,0,0,18,0,0,20
Light (RegC),43650,77,9,0,9,91,11,0,95,0,0,0,0,0,0,0,0,0,0,0,0,415,57,8,3,485,11,0,11,499,17,0,521,110,13,0,0,120,0,0,0,120,4,0,127,135,12,3,0,153,3,0,3,158,0,0,161,3,0,0,0,6,0,0,0,9,0,0,9,5,0,0,0,5,0,0,0,5,0,0,3,253,23,3,0,288,3,0,3,287,10,0,297,3,0,0,0,3,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,259,23,3,0,285,3,0,3,293,9,0,305,42,11,3,0,53,0,0,0,53,3,0,53,3,0,0,0,3,0,0,0,3,0,0,3,298,34,8,0,343,3,0,4,342,16,0,357,143,16,0,0,160,0,0,0,163,11,0,170,168,20,3,0,190,4,0,4,201,0,0,203
Lower Eyre Peninsula (DC),43710,16,0,0,0,21,0,0,17,3,0,0,0,3,0,0,0,3,0,8,4,131,11,3,3,142,3,0,3,143,0,8,151,28,3,0,0,36,0,0,0,36,0,0,36,48,16,0,0,61,0,0,0,61,3,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,15,0,0,103,0,0,0,103,3,0,101,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,84,15,0,0,106,0,0,0,106,3,0,107,13,0,0,0,13,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,98,15,0,0,113,0,0,0,115,5,0,121,52,5,0,0,56,0,0,0,56,0,0,56,50,12,0,0,61,0,0,0,66,5,0,66
Loxton Waikerie (DC),43790,53,0,0,0,54,11,0,69,0,0,0,0,0,0,0,0,0,0,0,0,230,37,4,3,275,9,0,9,281,28,0,305,50,5,0,0,49,0,0,0,54,3,0,58,71,7,0,0,84,0,0,0,85,4,0,89,8,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,127,10,4,0,141,3,0,3,140,4,0,149,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,127,10,4,0,145,3,0,3,145,4,0,151,25,0,0,0,28,0,0,0,28,13,0,35,0,0,0,0,0,0,0,0,0,0,0,0,148,14,3,0,167,3,0,3,168,16,0,183,90,8,0,0,96,3,0,3,103,3,0,107,93,10,3,0,108,0,0,0,109,6,0,113
Mallala (DC),43920,52,3,0,0,53,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,191,22,3,3,218,6,0,8,224,24,0,248,43,8,0,0,49,0,0,3,49,4,0,51,64,11,0,3,81,0,0,0,83,7,0,86,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,107,13,0,0,129,3,3,3,135,10,0,144,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,4,0,0,3,4,0,0,0,5,0,0,0,5,0,0,9,114,17,0,0,133,3,3,3,138,11,0,149,22,8,0,0,27,3,0,3,31,7,0,41,0,0,0,0,0,0,0,0,0,0,0,0,134,23,0,3,159,4,0,7,167,24,0,191,51,11,0,0,66,0,0,0,70,7,0,70,72,11,6,0,84,3,0,3,89,9,0,99
Mount Barker (DC),44550,152,4,3,3,159,24,0,181,0,0,0,0,0,0,0,0,0,0,3,3,725,115,10,12,870,24,5,28,899,48,4,947,145,24,0,3,177,6,0,8,183,8,0,194,219,31,4,0,264,4,0,4,266,7,0,278,5,0,3,0,15,0,0,0,15,0,0,15,0,0,0,3,3,0,0,0,5,0,0,4,379,57,12,10,453,13,0,14,467,17,0,483,4,0,0,0,4,0,0,0,4,0,0,6,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,8,0,0,0,8,0,0,8,386,57,11,10,464,13,0,14,471,22,0,491,78,14,3,0,98,0,0,3,97,16,0,111,0,0,0,0,0,0,0,0,0,0,0,0,461,74,12,7,558,8,6,11,572,37,0,604,250,32,3,0,285,6,0,3,293,6,0,301,305,47,4,0,358,3,0,8,366,14,0,383
