LGA_MAIN11,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot,LGA_NAME11
10800,0,5,116,186,261,246,185,126,21,1146,0,29,62,32,33,19,7,3,0,185,0,0,5,17,16,5,3,3,0,49,603,0,0,0,0,0,0,0,0,603,0,99,0,0,0,0,0,0,0,99,0,80,22,21,22,14,0,0,0,159,0,10,5,3,3,7,0,0,0,28,0,0,3,3,3,0,0,3,0,12,0,24,4,6,8,3,7,6,0,58,0,14,45,44,67,67,44,31,18,330,9,13,9,8,9,5,8,8,0,69,612,274,271,320,422,366,254,180,39,2738,0,5,161,220,274,235,161,86,15,1157,0,43,60,48,25,16,3,0,0,195,0,12,20,47,24,6,9,11,9,138,634,0,0,0,0,0,0,0,0,634,0,106,0,0,0,0,0,0,0,106,0,43,8,5,0,3,0,0,0,59,0,6,0,4,0,5,6,5,3,29,0,3,0,0,0,3,0,0,0,6,Bland (A)
10850,0,8,123,262,287,270,208,117,17,1292,0,27,58,38,37,30,4,3,0,197,0,0,4,15,15,8,4,5,3,54,735,0,0,0,0,0,0,0,0,735,0,122,0,0,0,0,0,0,0,122,0,142,28,30,29,6,5,0,0,240,0,14,0,3,9,15,3,5,0,49,0,14,6,7,0,3,3,0,0,33,0,13,12,4,4,7,3,4,0,47,0,11,26,39,67,87,68,47,3,348,24,22,15,9,6,11,3,3,0,93,759,373,272,407,454,437,301,184,23,3210,0,15,173,310,285,266,185,75,4,1313,0,45,52,49,40,16,7,3,0,212,0,22,35,58,62,14,13,16,10,230,716,0,0,0,0,0,0,0,0,716,0,150,0,0,0,0,0,0,0,150,0,72,24,11,8,8,0,0,0,123,0,7,0,6,5,8,9,9,5,49,0,9,7,3,3,0,0,0,0,22,Blayney (A)
10900,0,66,1224,2780,3246,3451,2028,934,187,13916,0,156,564,675,557,388,130,40,5,2515,0,3,19,107,182,122,42,27,21,523,7115,0,0,0,0,0,0,0,0,7115,0,1856,0,0,0,0,0,0,0,1856,0,1507,697,259,132,65,4,0,0,2664,0,107,71,40,40,47,44,29,19,397,0,93,59,49,39,24,11,3,8,286,0,124,178,149,132,161,100,38,4,886,0,56,240,417,593,698,467,270,112,2853,79,149,113,118,105,112,54,20,5,755,7194,4117,3165,4594,5026,5068,2880,1361,361,33766,0,128,1598,3157,3538,3242,1765,630,92,14150,0,246,671,726,584,383,84,10,4,2708,0,115,304,737,774,359,141,130,94,2654,6839,0,0,0,0,0,0,0,0,6839,0,1942,0,0,0,0,0,0,0,1942,0,970,335,100,78,65,11,0,0,1559,0,87,35,29,53,98,94,91,62,549,0,89,32,17,12,23,6,17,27,223,Blue Mountains (C)
10950,0,5,51,103,96,83,85,43,4,470,0,12,23,27,20,3,4,0,0,89,0,0,0,9,13,4,3,0,0,29,322,0,0,0,0,0,0,0,0,322,0,36,0,0,0,0,0,0,0,36,0,51,19,15,8,0,3,0,0,96,0,10,5,5,3,3,3,3,0,32,0,6,3,0,0,0,0,0,0,9,0,4,6,4,3,3,0,0,0,20,0,8,13,13,38,24,34,20,6,156,12,13,5,7,3,8,5,3,0,56,334,145,125,183,184,128,137,69,10,1315,0,9,63,122,93,84,84,32,0,487,0,17,28,22,21,5,3,0,0,96,0,17,18,28,16,5,9,4,6,103,297,0,0,0,0,0,0,0,0,297,0,29,0,0,0,0,0,0,0,29,0,16,7,0,3,4,0,0,0,30,0,9,0,0,0,0,7,3,0,19,0,5,3,0,0,0,0,0,0,8,Bogan (A)
11000,0,0,30,69,102,116,86,35,15,453,0,7,27,25,20,8,3,0,0,90,0,3,3,3,9,5,4,0,3,30,201,0,0,0,0,0,0,0,0,201,0,38,0,0,0,0,0,0,0,38,0,38,13,8,8,0,0,0,0,67,0,7,0,0,0,0,4,0,3,14,0,3,0,6,0,0,0,0,0,9,0,0,4,3,3,8,0,5,0,23,0,11,13,20,33,50,25,16,8,176,6,4,7,3,5,5,5,0,0,35,207,111,97,137,180,192,127,56,29,1136,0,7,52,76,113,103,62,28,9,450,0,21,22,20,14,8,0,0,0,85,0,0,12,14,18,4,6,3,6,63,225,0,0,0,0,0,0,0,0,225,0,35,0,0,0,0,0,0,0,35,0,12,4,0,0,6,0,0,0,22,0,3,0,0,3,0,0,5,0,11,0,3,0,0,0,0,0,0,0,3,Bombala (A)
11050,0,0,24,76,98,120,93,40,7,458,0,17,14,14,10,8,4,0,0,67,0,0,0,4,3,5,4,0,0,16,235,0,0,0,0,0,0,0,0,235,0,41,0,0,0,0,0,0,0,41,0,34,15,11,9,0,0,0,0,69,0,3,0,0,6,6,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,4,3,3,3,3,5,0,0,21,0,8,12,11,42,32,38,16,3,162,4,4,5,4,4,4,4,3,0,32,239,111,73,123,175,181,148,59,10,1119,0,3,47,79,107,116,74,31,0,457,0,16,20,12,14,3,3,0,0,68,0,0,10,28,13,5,3,10,7,76,218,0,0,0,0,0,0,0,0,218,0,48,0,0,0,0,0,0,0,48,0,13,8,3,3,4,0,0,0,31,0,6,0,0,0,0,6,0,0,15,0,3,4,0,0,0,0,0,0,7,Boorowa (A)
11100,0,37,1052,1721,1515,1173,867,527,91,6983,0,81,368,320,183,97,32,11,0,1092,0,6,11,53,78,59,31,21,11,270,3470,0,0,0,0,0,0,0,0,3470,0,846,0,0,0,0,0,0,0,846,0,647,613,248,149,54,7,0,0,1718,0,155,180,66,55,54,51,29,12,602,0,95,85,38,33,17,6,0,3,277,0,280,299,118,77,80,50,13,6,923,0,70,220,239,297,275,277,164,55,1597,48,39,71,65,32,27,19,4,0,305,3518,2256,2899,2868,2419,1836,1340,769,178,18083,0,113,1456,1846,1407,1098,781,322,39,7062,0,129,391,256,154,74,27,3,0,1034,0,38,180,395,388,274,124,109,51,1559,3180,0,0,0,0,0,0,0,0,3180,0,976,0,0,0,0,0,0,0,976,0,490,398,144,61,26,5,0,0,1124,0,151,117,57,54,100,132,115,46,772,0,89,76,17,8,7,3,4,3,207,Botany Bay (C)
11150,0,5,42,78,85,65,38,28,3,344,0,13,49,33,22,13,0,0,0,130,0,0,0,6,10,5,0,3,0,24,302,0,0,0,0,0,0,0,0,302,0,21,0,0,0,0,0,0,0,21,0,42,11,7,10,0,0,0,0,70,0,21,3,8,5,6,6,0,0,49,0,7,3,3,0,5,3,0,0,21,0,0,3,5,0,5,0,7,0,20,0,9,16,24,27,36,30,11,0,153,11,8,8,4,8,4,3,3,0,49,313,126,135,168,167,139,80,52,3,1183,0,9,70,80,84,60,35,14,0,352,0,22,44,30,28,10,0,0,0,134,0,16,21,30,13,7,6,4,3,100,242,0,0,0,0,0,0,0,0,242,0,23,0,0,0,0,0,0,0,23,0,27,9,3,3,0,0,0,0,42,0,20,4,3,5,6,4,4,3,49,0,3,4,0,0,3,0,0,0,10,Bourke (A)
10150,0,71,1342,1620,1470,1104,668,552,128,6955,0,108,520,352,221,134,36,10,6,1387,0,3,15,33,100,68,19,21,9,268,2954,0,0,0,0,0,0,0,0,2954,0,963,0,0,0,0,0,0,0,963,0,413,394,193,110,32,3,0,0,1145,0,192,228,55,36,32,26,29,22,620,0,158,221,34,36,26,6,5,0,486,0,340,514,147,114,88,52,19,8,1282,0,84,280,332,310,314,208,173,62,1763,31,34,68,35,39,20,11,9,3,250,2985,2366,3582,2801,2436,1818,1029,818,238,18073,0,156,1643,1706,1497,1004,618,345,46,7015,0,152,532,321,227,115,18,7,0,1372,0,16,98,307,378,204,108,96,54,1261,2838,0,0,0,0,0,0,0,0,2838,0,892,0,0,0,0,0,0,0,892,0,314,302,126,77,30,8,0,0,857,0,184,164,44,34,88,90,94,55,753,0,162,137,31,20,9,3,4,4,370,Ashfield (A)
10200,0,278,2981,3276,3053,2113,1239,580,113,13633,0,93,413,213,163,120,22,8,0,1032,0,10,31,77,136,109,37,32,24,456,7055,0,0,0,0,0,0,0,0,7055,0,2181,0,0,0,0,0,0,0,2181,0,1418,1243,345,150,52,3,0,0,3211,0,485,477,135,120,92,57,43,22,1431,0,281,433,98,91,40,6,3,3,955,0,561,921,244,191,149,43,21,3,2133,0,117,403,322,357,322,188,134,61,1904,59,114,132,75,55,30,25,11,3,504,7114,5538,7034,4785,4316,3027,1620,832,229,34495,0,723,3775,3298,2777,1860,893,348,53,13727,0,148,418,169,126,86,19,4,0,970,0,59,312,611,677,368,140,118,66,2351,6647,0,0,0,0,0,0,0,0,6647,0,2217,0,0,0,0,0,0,0,2217,0,913,857,191,107,57,4,4,0,2133,0,326,299,87,155,232,171,183,85,1538,0,233,228,49,44,26,9,3,0,592,Auburn (C)
