lga_code16,f_srilanka_es_ns,f_srilanka_tot,f_thailand_e,f_thailand_om_ie,f_thailand_om_uie,f_thailand_cfw,f_thailand_es_ns,f_thailand_tot,f_turkey_e,f_turkey_om_ie,f_turkey_om_uie,f_turkey_cfw,f_turkey_es_ns,f_turkey_tot,f_uk_e,f_uk_om_ie,f_uk_om_uie,f_uk_cfw,f_uk_es_ns,f_uk_tot,f_usa_e,f_usa_om_ie,f_usa_om_uie,f_usa_cfw,f_usa_es_ns,f_usa_tot,f_vietnam_e,f_vietnam_om_ie,f_vietnam_om_uie,f_vietnam_cfw,f_vietnam_es_ns,f_vietnam_tot,f_zimbabwe_e,f_zimbabwe_om_ie,f_zimbabwe_om_uie,f_zimbabwe_cfw,f_zimbabwe_es_ns,f_zimbabwe_tot,f_elsewhere_e,f_elsewhere_om_ie,f_elsewhere_om_uie,f_elsewhere_cfw,f_elsewhere_es_ns,f_elsewhere_tot,f_cob_ns_e,f_cob_ns_om_ie,f_cob_ns_om_uie,f_cob_ns_cfw,f_cob_ns_es_ns,f_cob_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_australia_e,p_australia_om_ie,p_australia_om_uie,p_australia_cfw,p_australia_es_ns,p_australia_tot,p_canada_e,p_canada_om_ie,p_canada_om_uie,p_canada_cfw,p_canada_es_ns,p_canada_tot,p_china_e,p_china_om_ie,p_china_om_uie,p_china_cfw,p_china_es_ns,p_china_tot,p_croatia_e,p_croatia_om_ie,p_croatia_om_uie,p_croatia_cfw,p_croatia_es_ns,p_croatia_tot,p_egypt_e,p_egypt_om_ie,p_egypt_om_uie,p_egypt_cfw,p_egypt_es_ns,p_egypt_tot,p_fiji_e,p_fiji_om_ie,p_fiji_om_uie,p_fiji_cfw,p_fiji_es_ns,p_fiji_tot,p_fyrom_e,p_fyrom_om_ie,p_fyrom_om_uie,p_fyrom_cfw,p_fyrom_es_ns,p_fyrom_tot,p_germany_e,p_germany_om_ie,p_germany_om_uie,p_germany_cfw,p_germany_es_ns,p_germany_tot,p_greece_e,p_greece_om_ie,p_greece_om_uie,p_greece_cfw,p_greece_es_ns,p_greece_tot,p_hongkong_e,p_hongkong_om_ie,p_hongkong_om_uie,p_hongkong_cfw,p_hongkong_es_ns,p_hongkong_tot,p_india_e,p_india_om_ie,p_india_om_uie,p_india_cfw,p_india_es_ns,p_india_tot,p_indonesia_e,p_indonesia_om_ie,p_indonesia_om_uie,p_indonesia_cfw,p_indonesia_es_ns,p_indonesia_tot,p_iran_e,p_iran_om_ie,p_iran_om_uie,p_iran_cfw,p_iran_es_ns,p_iran_tot,p_iraq_e,p_iraq_om_ie,p_iraq_om_uie,p_iraq_cfw,p_iraq_es_ns,p_iraq_tot,p_ireland_e,p_ireland_om_ie,p_ireland_om_uie,p_ireland_cfw,p_ireland_es_ns,p_ireland_tot,p_italy_e,p_italy_om_ie,p_italy_om_uie,p_italy_cfw,p_italy_es_ns,p_italy_tot,p_japan_e,p_japan_om_ie,p_japan_om_uie,p_japan_cfw,p_japan_es_ns,p_japan_tot,p_koreasouth_e,p_koreasouth_om_ie,p_koreasouth_om_uie,p_koreasouth_cfw,p_koreasouth_es_ns,p_koreasouth_tot,p_lebanon_e,p_lebanon_om_ie,p_lebanon_om_uie,p_lebanon_cfw,p_lebanon_es_ns,p_lebanon_tot,p_malaysia_e,p_malaysia_om_ie,p_malaysia_om_uie,p_malaysia_cfw,p_malaysia_es_ns,p_malaysia_tot,p_malta_e,p_malta_om_ie,p_malta_om_uie,p_malta_cfw,p_malta_es_ns,p_malta_tot,p_netherlands_e,p_netherlands_om_ie,p_netherlands_om_uie,p_netherlands_cfw,p_netherlands_es_ns,p_netherlands_tot,p_nz_e,p_nz_om_ie,p_nz_om_uie,p_nz_cfw,p_nz_es_ns,p_nz_tot,p_pakistan_e,p_pakistan_om_ie,p_pakistan_om_uie,p_pakistan_cfw,p_pakistan_es_ns,p_pakistan_tot,lga_name16
10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,10,12,4,3,3,3,28,810,49,147,70,15,1093,2024,137,299,131,39,2634,8,0,0,0,0,8,7,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,6,33,0,4,8,0,45,0,0,0,0,0,0,Blayney (A)
10900,0,12,42,0,3,0,0,51,0,0,0,0,0,0,467,45,110,22,4,650,47,6,20,4,0,73,28,0,5,0,3,35,3,0,0,0,0,5,208,24,66,8,5,318,102,7,15,0,8,131,8377,536,1240,192,90,10440,11080,1059,1973,255,121,14482,31,8,9,3,0,54,72,15,15,5,0,109,4,4,0,0,0,12,11,3,3,0,0,16,28,3,3,0,0,39,0,0,3,0,0,4,66,15,29,3,3,114,13,0,0,0,0,13,29,3,4,0,0,42,123,17,12,9,0,152,23,0,0,0,0,27,5,3,0,0,0,12,11,0,7,0,0,12,52,8,16,4,0,74,25,5,12,3,0,42,22,4,10,0,0,37,23,3,4,0,0,35,4,5,10,0,0,25,43,3,7,3,4,63,12,6,3,0,0,20,52,4,15,3,3,78,262,37,69,10,8,388,18,5,3,0,3,31,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,4,0,7,421,15,57,41,12,547,858,52,161,77,27,1173,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,4,Bogan (A)
11100,0,51,221,7,12,0,0,246,32,0,0,0,0,41,530,18,19,3,6,575,90,3,3,0,0,97,252,5,16,7,4,283,13,0,0,0,0,14,1788,51,57,12,25,1939,162,7,3,3,18,189,16881,467,415,109,151,18022,23544,1173,594,104,203,25618,114,3,3,0,3,124,1531,129,100,28,3,1796,86,11,10,0,4,104,226,25,7,3,4,260,437,15,9,0,6,469,275,12,0,0,6,287,189,9,6,3,0,208,209,27,27,3,3,265,463,13,21,0,7,494,1477,48,27,3,14,1569,770,33,42,6,9,859,120,11,7,0,0,144,137,11,7,3,0,156,325,25,11,0,3,367,227,22,11,3,8,267,194,8,8,0,0,214,282,34,20,3,5,342,280,44,27,3,3,357,316,17,9,4,0,344,48,3,6,0,0,59,69,5,0,0,0,75,1442,51,35,4,16,1545,203,6,8,0,3,223,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,20,0,0,0,0,23,422,16,38,27,12,514,706,43,112,44,22,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8,4,0,0,0,0,4,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,6,0,14,200,8,11,21,3,242,320,21,54,44,11,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,Brewarrina (A)
14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,32,19,0,4,3,0,34,611,34,95,51,13,798,1129,92,234,91,17,1572,0,0,0,0,0,0,15,0,0,0,0,17,0,0,0,0,0,0,3,3,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,29,0,0,0,0,0,0,Junee (A)
14350,0,0,5,0,0,0,0,10,0,0,0,0,0,0,94,6,11,6,0,125,5,0,3,0,3,12,0,0,0,0,0,0,3,0,0,0,0,4,37,8,4,0,0,49,123,0,11,10,10,151,3930,162,366,149,93,4693,6577,370,855,264,146,8211,8,0,4,3,0,16,18,7,3,4,0,29,0,0,0,0,0,0,0,3,0,0,0,5,13,0,0,0,0,13,0,0,0,0,0,0,16,0,9,0,0,22,4,0,0,0,0,4,3,5,0,0,0,8,34,4,0,0,3,41,0,0,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,6,6,0,0,0,0,9,4,0,0,0,0,8,3,0,0,0,0,3,0,0,3,0,0,3,6,4,0,0,0,10,3,0,0,0,0,8,5,4,0,0,0,8,117,7,13,4,0,142,3,0,0,0,0,7,Kempsey (A)
11250,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,34,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,22,72,3,7,0,8,87,3042,101,154,52,57,3397,5511,236,336,84,111,6276,4,0,0,0,0,4,6,0,4,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,31,4,3,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,44,0,5,0,0,46,0,0,0,0,0,0,Broken Hill (C)
13910,0,0,0,0,0,0,0,4,0,0,0,0,0,0,51,0,5,6,0,66,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,17,4,3,4,0,32,79,0,11,0,3,93,2599,155,333,204,52,3346,4531,434,840,399,96,6303,4,4,0,0,0,8,3,3,9,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,21,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,7,5,0,3,0,0,16,0,0,3,0,0,5,0,0,0,3,0,3,8,0,6,0,0,15,61,5,7,3,3,78,0,0,0,0,0,0,Hilltops (A)
14000,3,238,108,10,3,10,3,128,9,3,0,0,0,13,856,78,93,23,4,1049,96,16,9,3,0,119,143,9,13,4,3,174,46,0,9,0,0,64,1095,57,96,26,14,1281,132,7,20,3,15,174,18194,1300,1555,353,141,21549,21449,2328,2056,334,200,26370,108,19,8,0,0,128,1237,240,241,64,13,1803,35,4,4,4,0,46,63,18,3,0,0,84,182,10,8,4,0,207,10,0,3,0,0,13,106,18,27,3,0,159,21,8,8,3,0,39,410,42,57,7,0,511,1200,137,76,25,6,1448,146,14,20,7,0,177,294,48,65,8,8,424,40,5,13,0,3,57,126,13,11,3,0,162,106,25,45,10,0,190,69,8,24,3,0,111,491,109,149,28,10,779,98,34,29,5,3,178,247,36,41,4,0,329,29,4,4,0,3,39,69,17,8,0,0,96,687,98,70,14,6,875,118,16,15,0,0,155,Hornsby (A)
14100,0,25,31,0,3,0,0,30,0,0,0,0,0,0,106,6,5,3,0,120,12,3,3,0,0,17,12,7,0,0,0,18,3,0,0,0,0,6,208,9,15,0,0,235,22,0,3,0,6,30,2199,186,169,47,17,2612,1942,334,234,50,11,2568,9,0,3,0,0,13,123,29,11,7,0,167,5,0,0,0,0,8,5,3,3,0,0,15,16,0,0,0,0,21,5,0,0,0,0,5,12,0,3,0,0,15,4,0,0,0,0,12,45,9,3,3,0,57,130,7,3,3,0,142,26,0,0,0,0,27,17,3,7,0,0,28,5,0,0,0,0,8,26,6,0,0,0,26,38,10,5,0,0,48,15,0,0,0,0,16,42,4,8,0,0,49,24,6,9,0,0,39,28,3,5,0,0,37,3,0,0,0,0,3,5,0,3,0,0,10,66,16,7,3,0,93,18,3,0,0,0,20,Hunters Hill (A)
14170,0,134,363,7,27,3,3,404,50,0,8,4,4,61,850,115,183,17,3,1172,162,18,28,3,0,206,655,54,70,29,5,806,27,0,9,0,0,38,2495,128,192,30,30,2877,209,19,39,7,16,292,24455,1974,2751,418,226,29823,26021,3467,3493,390,252,33624,122,21,22,3,0,180,2626,457,344,83,31,3542,88,21,7,0,5,120,147,47,21,7,3,224,309,19,9,7,3,348,140,14,6,0,3,162,169,27,54,6,4,258,327,74,59,10,6,471,493,59,33,0,3,587,1415,77,78,13,20,1599,612,26,33,3,4,672,141,25,24,4,5,198,124,13,15,0,5,153,351,71,57,3,3,487,708,128,83,30,16,965,151,12,42,3,3,212,441,71,54,16,11,600,367,99,97,18,7,596,282,41,40,4,6,371,44,4,3,0,0,56,62,12,25,0,0,99,1208,192,185,20,13,1615,216,21,26,3,3,261,Inner West (A)
