lga_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,lga_name16
10850,0,0,3,9,6,13,0,0,0,0,0,0,0,0,3,1109,1013,2129,71,51,118,53,7,57,23,3,26,3,0,3,12,5,18,61,65,126,1344,1148,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,6,7,14,0,0,0,0,0,0,0,0,0,0,0,3,156,136,294,131,186,312,14,24,42,1655,1502,3156,Blayney (A)
10900,1552,1254,2805,35,72,110,3,0,3,0,0,3,36,29,65,11147,10450,21601,482,705,1194,354,9,363,166,12,177,95,24,116,114,47,163,436,457,898,14422,13072,27488,157,120,277,0,0,0,9,3,11,321,243,566,59,74,129,74,18,92,616,460,1076,0,0,0,0,0,0,10,3,14,3,3,9,3,0,3,13,8,24,109,68,179,742,538,1279,87,81,167,0,0,0,5,0,5,96,81,176,1080,1352,2429,1523,2508,4027,133,120,250,17987,17666,35648,Blue Mountains (C)
10950,0,0,0,47,11,60,0,0,0,0,0,0,0,0,0,372,309,678,47,25,68,20,0,21,12,0,11,9,3,10,10,3,12,51,50,109,557,412,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,6,6,3,9,0,0,0,0,0,0,0,0,4,3,0,3,75,58,137,39,49,84,19,7,26,701,532,1233,Bogan (A)
11100,1102,1124,2229,1048,1414,2463,6,0,7,3,0,3,76,17,86,6559,4654,11213,382,707,1087,122,3,126,223,31,254,230,30,257,90,34,130,629,520,1150,10468,8540,19003,410,411,818,5,0,3,11,14,24,70,46,115,20,41,61,19,11,24,534,520,1053,3,0,3,7,4,13,61,79,137,23,70,94,13,15,30,101,169,269,78,40,123,721,727,1449,67,77,147,9,9,23,0,0,0,81,88,168,269,366,632,628,1070,1695,135,98,235,12294,10889,23184,Botany Bay (C)
11150,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,332,273,609,32,44,74,22,0,25,4,0,7,7,3,11,10,11,20,75,87,160,493,419,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,4,0,4,4,0,3,39,43,86,38,48,91,8,8,17,584,528,1110,Bourke (A)
11200,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,113,115,228,29,17,42,18,0,18,8,3,13,0,0,0,5,3,5,51,60,105,225,200,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,3,0,3,3,0,3,25,19,46,12,11,22,8,3,14,270,239,515,Brewarrina (A)
11250,3,0,3,15,8,19,0,3,5,0,0,0,7,0,7,2477,2361,4838,171,230,402,33,0,36,40,0,46,34,5,39,23,13,32,169,164,336,2971,2789,5763,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,14,19,29,17,19,39,0,0,0,0,0,0,4,0,4,3,0,3,71,102,175,408,462,872,51,36,88,3524,3409,6935,Broken Hill (C)
13910,7,5,6,11,7,11,0,0,0,0,0,0,8,5,17,2555,2250,4803,210,171,378,176,8,182,33,3,35,8,0,8,51,17,74,214,195,416,3270,2660,5929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,32,11,44,35,11,50,0,0,0,0,0,0,3,0,6,3,0,6,358,319,676,257,463,723,65,53,116,3989,3504,7497,Hilltops (A)
14000,6473,5206,11680,1296,1143,2444,6,8,8,5,4,12,28,18,45,18914,16073,34988,733,1432,2167,395,4,404,305,27,333,188,25,211,171,100,271,860,981,1839,29382,25028,54408,944,762,1712,8,4,14,8,5,17,1088,752,1844,211,306,514,127,39,158,2385,1875,4261,0,0,0,0,0,0,105,68,176,18,59,75,7,3,12,131,135,263,182,128,315,2700,2133,4837,298,233,535,10,5,15,7,7,14,313,244,559,1843,2256,4095,2017,3831,5849,256,197,449,36515,33685,70202,Hornsby (A)
14100,12,7,18,355,354,708,137,79,215,0,0,0,13,10,21,1869,1564,3427,72,128,199,22,0,23,44,3,48,32,10,44,14,9,30,65,67,135,2645,2236,4878,28,54,80,6,5,11,0,0,0,5,5,10,4,3,6,0,0,0,49,69,115,18,0,20,0,0,0,20,18,39,6,5,16,3,0,3,53,25,76,50,20,71,148,116,263,12,7,15,3,0,3,7,0,10,20,4,31,190,284,468,173,312,478,31,23,46,3193,2966,6161,Hunters Hill (A)
14170,9396,9583,18987,4151,5816,9967,414,309,725,714,712,1424,175,172,346,19188,15855,35038,863,1703,2568,330,8,343,999,199,1195,1903,729,2633,321,209,535,2236,2790,5021,40678,38092,78776,1664,1932,3596,69,44,117,152,126,281,307,276,579,77,167,246,196,119,318,2471,2670,5143,69,68,143,76,80,151,71,108,184,34,106,138,82,70,156,340,431,770,335,218,549,3140,3321,6465,347,273,621,46,48,87,20,14,29,405,334,736,2018,2583,4600,2617,4592,7212,407,312,725,49272,49236,98506,Inner West (A)
14200,0,0,0,7,3,10,0,0,0,0,0,0,9,6,10,2267,1929,4196,198,207,405,93,5,95,36,3,39,18,3,18,29,22,48,122,121,239,2769,2300,5069,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,17,16,37,19,21,42,0,0,0,0,0,0,0,0,0,0,0,0,269,302,568,226,329,553,60,67,132,3350,3016,6364,Inverell (A)
14300,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,757,693,1452,90,69,158,30,0,30,6,3,11,3,0,5,18,9,23,56,30,88,966,807,1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,6,0,6,0,0,0,0,0,0,5,0,5,5,0,5,130,113,245,70,127,206,17,18,30,1193,1073,2264,Junee (A)
14350,0,0,0,14,18,30,0,0,3,0,0,0,0,3,4,3275,3047,6325,232,271,501,156,6,168,40,6,40,30,8,40,39,20,58,197,172,369,3988,3557,7547,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,3,7,38,10,51,37,15,56,0,0,0,0,0,0,0,0,3,0,0,3,249,298,551,450,713,1162,108,108,224,4841,4702,9547,Kempsey (A)
14400,76,48,118,9,6,19,0,0,0,0,0,0,0,0,0,3479,2939,6420,165,188,352,76,4,79,28,3,32,16,4,25,21,12,40,128,133,257,3992,3338,7335,11,6,18,0,0,0,3,0,3,29,17,41,9,3,7,9,0,7,53,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,40,71,45,119,10,10,17,0,0,0,0,0,0,10,10,17,299,380,677,435,679,1116,42,46,91,4857,4497,9351,Kiama (A)
14500,5479,4466,9942,617,516,1131,0,3,4,0,3,9,45,23,72,13847,11946,25790,479,1125,1598,134,7,141,260,12,272,285,36,317,158,95,251,486,665,1148,21784,18888,40673,754,594,1347,0,0,0,3,3,8,1107,759,1864,199,311,512,84,22,106,2152,1688,3834,0,0,0,0,0,0,52,32,80,10,24,31,6,0,9,71,55,120,125,81,200,2345,1816,4158,192,158,353,7,5,7,13,5,13,214,167,376,2058,2521,4586,1542,2815,4352,157,144,292,28099,26344,54440,Ku-ring-gai (A)
14550,3,0,6,7,7,15,0,0,0,0,0,0,0,0,0,1008,916,1928,66,62,130,51,0,50,16,0,16,6,0,11,20,12,36,104,75,180,1288,1078,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,5,0,0,0,4,8,12,16,3,21,20,9,32,0,0,0,0,0,0,4,0,4,4,0,4,248,182,428,151,191,335,39,35,67,1740,1493,3232,Kyogle (A)
14600,0,0,0,17,4,24,0,0,0,0,0,0,0,0,0,827,661,1489,78,49,128,46,8,55,12,6,14,9,0,6,25,7,38,105,106,208,1118,846,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,16,7,18,16,7,24,0,0,0,0,0,0,4,0,4,4,0,4,142,116,256,60,125,185,18,12,31,1362,1103,2468,Lachlan (A)
14650,257,179,436,337,408,739,4,0,4,4,0,4,34,25,53,32489,29212,61696,1759,1936,3695,859,17,881,467,50,516,290,44,335,182,95,282,571,580,1150,37249,32551,69801,77,40,116,0,0,0,0,0,0,120,80,207,25,23,42,16,0,19,237,144,386,0,0,3,0,0,0,21,35,57,30,47,75,8,3,8,58,86,146,345,115,461,647,343,989,55,53,115,4,6,13,13,0,15,77,69,138,1265,2080,3338,3409,5764,9170,331,320,651,42972,41128,84099,Lake Macquarie (C)
14700,650,573,1225,1764,1827,3592,104,53,161,0,0,0,30,24,52,4608,3792,8398,206,430,634,46,4,50,192,23,216,190,28,214,52,34,81,394,455,849,8232,7236,15472,300,281,583,12,6,18,3,0,3,91,65,161,12,31,46,18,8,26,445,390,834,6,4,11,0,0,0,29,38,63,17,41,52,24,14,33,73,100,173,66,45,113,585,535,1118,55,48,99,3,9,13,0,0,0,59,53,113,501,545,1048,464,980,1448,57,51,107,9894,9410,19300,Lane Cove (A)
14750,0,0,0,5,3,10,0,0,0,0,0,0,0,0,4,1904,1493,3396,150,132,284,37,0,37,11,0,11,25,8,34,20,11,28,118,89,207,2274,1734,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,6,10,0,0,0,0,0,0,0,0,3,0,3,3,127,119,245,129,224,352,46,28,74,2582,2110,4696,Leeton (A)
14850,4,0,8,40,41,87,0,4,3,0,0,0,5,18,20,6411,6260,12669,385,602,986,213,4,218,107,13,117,71,29,96,60,32,94,331,281,614,7639,7285,14920,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,6,7,13,3,4,8,5,13,22,71,40,105,76,53,132,3,3,4,0,0,0,4,0,3,7,3,10,548,560,1106,642,1141,1778,120,86,207,9034,9122,18160,Lismore (C)
14870,33,19,53,10,9,19,0,0,0,0,0,0,8,12,21,2900,2437,5330,154,184,336,113,0,114,15,3,14,23,3,23,18,8,31,204,167,370,3472,2839,6318,3,0,4,0,0,0,0,0,0,5,3,13,0,0,3,0,0,0,12,5,18,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,3,27,14,42,44,22,68,5,5,10,0,0,0,0,0,0,4,5,10,151,211,361,364,522,885,53,53,110,4092,3652,7747,Lithgow (C)
14900,2845,2802,5643,508,784,1289,3,3,9,4,0,3,82,34,115,31973,22693,54667,1819,2334,4155,1218,18,1228,253,26,274,152,21,169,262,121,387,845,860,1706,39963,29683,69648,631,708,1341,3,0,7,13,8,21,1099,871,1968,137,346,489,37,17,48,1916,1953,3869,0,0,0,0,0,0,47,64,113,28,89,118,4,10,12,80,159,243,326,164,482,2324,2277,4603,270,288,559,7,9,13,13,0,9,290,294,584,883,1643,2529,2074,3423,5493,607,481,1089,46141,37802,83946,Liverpool (C)
14920,0,0,0,3,0,5,0,0,0,0,0,0,3,0,4,991,809,1800,55,53,104,78,3,76,9,0,9,0,0,0,14,11,24,116,76,195,1267,953,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,9,18,11,9,25,0,0,0,0,0,0,0,0,0,0,0,0,202,178,384,103,180,279,32,24,57,1619,1346,2964,Liverpool Plains (A)
14950,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,381,365,740,22,12,31,26,0,29,3,0,3,0,0,3,14,4,14,57,46,104,492,438,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,136,71,211,41,75,113,5,10,18,677,594,1275,Lockhart (A)
15050,108,87,204,73,74,146,3,3,3,0,0,0,13,12,29,13581,11853,25437,861,767,1630,288,8,291,145,8,153,81,21,100,70,53,125,223,252,475,15440,13141,28582,31,57,90,0,0,0,0,0,0,30,18,49,3,9,10,9,0,13,77,84,165,0,0,0,0,0,0,14,7,17,0,11,16,3,0,3,13,19,32,173,75,251,273,181,451,32,48,73,3,3,9,3,5,7,35,52,91,406,760,1164,1538,2227,3762,129,116,245,17822,16480,34298,Maitland (C)
15240,15,3,22,58,50,107,4,0,4,0,3,5,15,18,34,10269,9610,19879,700,808,1511,464,10,481,151,11,160,120,25,145,107,59,168,541,568,1112,12451,11170,23623,0,0,3,0,0,0,0,0,0,7,4,13,0,3,4,0,0,0,9,5,18,0,0,0,0,0,0,7,6,8,5,4,5,3,0,3,15,7,20,127,47,171,149,68,213,0,3,4,3,3,3,3,4,8,3,9,14,914,1055,1966,1482,2210,3690,235,243,477,15231,14753,29990,Mid-Coast (A)
15270,0,3,8,18,9,31,0,0,0,0,0,0,0,6,3,3605,2838,6442,342,228,576,151,10,162,47,4,46,21,4,30,30,11,40,193,237,431,4413,3351,7759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,4,0,6,60,20,75,63,26,92,0,0,0,0,0,0,9,0,8,9,0,8,350,362,714,427,601,1027,82,63,145,5345,4402,9742,Mid-Western Regional (A)
15300,0,0,3,3,4,12,0,0,0,0,0,0,6,3,9,2144,1679,3823,143,155,296,119,4,124,22,3,26,10,6,20,36,15,56,194,145,333,2678,2015,4694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,8,21,16,5,22,0,0,0,0,0,0,4,0,4,4,0,4,216,238,452,136,256,393,43,34,81,3095,2551,5643,Moree Plains (A)
15350,40,36,76,1429,1524,2948,285,156,445,0,0,0,27,28,54,3024,2559,5584,130,270,403,21,0,21,120,21,133,93,28,125,49,31,79,250,356,603,5475,4997,10471,137,150,292,48,45,99,0,0,0,3,9,16,9,8,19,3,0,3,207,219,421,118,80,200,0,0,0,36,20,57,16,11,24,14,17,29,184,128,310,83,38,120,468,385,853,76,56,131,20,12,36,7,0,8,109,70,174,554,648,1203,339,637,980,49,48,99,6993,6781,13773,Mosman (A)
15520,4,3,5,16,10,22,0,0,0,0,0,0,0,0,0,1774,1541,3313,109,94,203,58,3,65,18,3,24,18,10,31,31,15,44,146,116,262,2175,1792,3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,31,27,3,33,0,0,0,0,0,0,3,0,3,3,6,6,299,234,531,189,314,505,35,46,79,2728,2389,5116,Murray River (A)
15560,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,576,472,1046,42,32,79,28,0,26,3,0,6,5,0,7,10,5,15,84,51,137,758,566,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,15,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,127,93,221,46,70,121,11,17,28,948,751,1701,Murrumbidgee (A)
15650,9,3,7,5,3,16,4,0,4,0,0,0,3,0,3,2847,2091,4942,173,156,332,57,3,61,50,5,60,9,4,15,18,9,31,107,102,210,3284,2392,5674,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,11,36,26,17,48,0,0,0,0,0,0,0,0,0,0,4,4,105,161,267,367,376,740,50,27,80,3837,2976,6806,Muswellbrook (A)
15700,3,0,5,15,8,23,0,0,0,0,0,3,3,3,11,2191,1999,4189,122,152,274,117,4,121,36,8,40,14,0,9,23,14,33,103,110,213,2625,2307,4930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,16,9,27,20,14,34,0,0,0,0,0,0,0,0,0,0,0,0,220,254,469,317,444,763,56,46,101,3235,3062,6298,Nambucca (A)
15750,3,0,3,53,21,65,0,0,0,0,0,0,0,0,3,2213,1668,3882,201,129,327,128,0,127,12,0,9,10,4,13,32,16,47,149,143,293,2796,1990,4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,9,0,13,17,0,24,33,4,36,0,0,0,0,0,0,0,0,0,3,0,3,221,255,478,223,301,526,46,35,81,3323,2583,5911,Narrabri (A)
