lga_code_2016,australia_m,australia_f,australia_p,canada_m,canada_f,canada_p,china_excl_sars_taiwan_m,china_excl_sars_taiwan_f,china_excl_sars_taiwan_p,croatia_m,croatia_f,croatia_p,egypt_m,egypt_f,egypt_p,fiji_m,fiji_f,fiji_p,germany_m,germany_f,germany_p,greece_m,greece_f,greece_p,hong_kong_sar_china_m,hong_kong_sar_china_f,hong_kong_sar_china_p,india_m,india_f,india_p,indonesia_m,indonesia_f,indonesia_p,iran_m,iran_f,iran_p,iraq_m,iraq_f,iraq_p,ireland_m,ireland_f,ireland_p,italy_m,italy_f,italy_p,japan_m,japan_f,japan_p,korea_republic_south_m,korea_republic_south_f,korea_republic_south_p,lebanon_m,lebanon_f,lebanon_p,malaysia_m,malaysia_f,malaysia_p,malta_m,malta_f,malta_p,netherlands_m,netherlands_f,netherlands_p,new_zealand_m,new_zealand_f,new_zealand_p,pakistan_m,pakistan_f,pakistan_p,philippines_m,philippines_f,philippines_p,poland_m,poland_f,poland_p,singapore_m,singapore_f,singapore_p,south_africa_m,south_africa_f,south_africa_p,sri_lanka_m,sri_lanka_f,sri_lanka_p,thailand_m,thailand_f,thailand_p,tfyrom_m,tfyrom_f,tfyrom_p,turkey_m,turkey_f,turkey_p,united_kingdom_ci_im_m,united_kingdom_ci_im_f,united_kingdom_ci_im_p,united_states_america_m,united_states_america_f,united_states_america_p,vietnam_m,vietnam_f,vietnam_p,zimbabwe_m,zimbabwe_f,zimbabwe_p,born_elsewhere_m,born_elsewhere_f,born_elsewhere_p,country_birth_not_stated_m,country_birth_not_stated_f,country_birth_not_stated_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
14400,8213,8502,16718,18,24,48,26,40,68,13,10,19,16,6,16,4,10,15,56,44,103,12,10,22,9,9,21,13,10,23,8,8,16,3,7,5,0,0,0,47,46,90,57,43,94,3,11,12,7,6,14,3,0,6,3,10,18,14,17,31,29,36,63,146,175,314,0,0,0,3,23,30,6,5,17,3,3,11,56,51,107,5,3,6,16,24,39,16,12,25,0,0,4,665,660,1321,41,58,90,3,4,5,4,11,16,132,149,277,640,697,1341,31,72,107,10304,10801,21106,Kiama (A)
14500,32713,34542,67251,192,204,393,3517,4844,8364,41,45,84,88,63,149,78,85,168,263,328,592,58,47,97,1398,1535,2934,985,999,1988,209,317,519,552,583,1136,13,16,30,209,195,408,208,176,380,277,516,789,1127,1364,2482,73,73,142,641,791,1433,14,19,34,175,179,358,1075,1158,2225,70,69,142,216,368,583,99,141,237,376,378,756,1892,2023,3918,262,304,568,90,180,273,14,14,27,45,49,96,3982,3557,7538,511,523,1034,158,256,416,142,137,276,2370,2753,5128,1720,2101,3825,856,1180,2033,56723,62090,118816,Ku-ring-gai (A)
14550,3587,3527,7115,10,11,17,3,3,3,0,0,0,3,0,3,3,5,9,28,27,54,3,0,3,0,3,3,3,5,11,3,3,8,0,0,0,0,0,0,8,7,14,5,0,3,3,4,12,3,0,3,0,0,0,5,0,5,3,0,3,16,8,19,66,71,136,0,0,0,0,24,31,0,0,0,0,3,8,13,13,23,0,3,5,3,6,15,0,0,0,0,0,0,157,134,292,13,17,29,0,0,0,6,8,14,61,55,120,500,446,949,19,18,40,4526,4417,8942,Kyogle (A)
14600,2561,2523,5080,0,3,3,6,4,9,0,0,0,3,0,7,0,0,0,4,3,5,0,0,0,0,0,0,9,11,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,20,20,39,0,0,3,14,13,34,0,0,0,0,0,0,9,11,19,3,0,4,4,8,8,0,0,0,0,0,0,12,30,42,3,0,4,0,0,0,0,0,0,18,12,27,410,381,798,9,8,17,3094,3042,6135,Lachlan (A)
14650,81048,84675,165721,129,134,264,196,331,526,72,58,132,44,24,64,68,83,149,374,473,855,68,66,138,51,68,118,345,327,669,63,84,146,29,28,57,11,12,32,169,147,313,240,180,424,21,57,76,72,109,184,21,20,41,149,165,305,69,63,129,256,262,520,1140,1106,2246,48,39,86,162,531,697,73,129,200,34,46,81,327,338,663,77,78,154,81,192,271,125,136,262,13,14,27,3153,3171,6318,226,270,497,52,90,140,49,66,113,1189,1393,2584,3873,4462,8340,222,318,534,94339,99728,194062,Lake Macquarie (C)
14700,10611,10737,21349,70,72,136,573,917,1490,41,37,74,37,48,87,33,42,70,95,106,193,36,35,74,228,299,523,475,393,867,63,94,152,204,191,392,7,3,13,119,117,233,110,77,194,128,227,355,122,192,312,39,31,61,205,279,479,10,10,22,56,34,86,405,343,749,40,26,63,164,247,407,51,75,129,90,88,178,214,230,447,73,75,149,49,115,172,12,15,32,32,18,57,1114,910,2026,180,174,355,56,86,144,33,28,60,1128,1207,2327,795,797,1596,229,384,605,17896,18754,36647,Lane Cove (A)
14750,4486,4577,9066,3,5,10,5,14,20,3,0,8,0,0,3,8,8,18,9,8,16,0,3,4,3,0,3,50,41,89,0,4,4,0,0,0,0,0,0,0,0,0,94,87,183,4,4,8,3,0,3,0,0,0,5,7,14,0,0,0,3,8,6,56,54,107,5,3,6,39,53,88,4,0,4,0,0,0,16,18,27,10,9,15,3,9,20,0,0,0,0,0,0,65,59,117,0,7,8,5,3,7,3,0,6,79,37,113,581,596,1175,19,19,38,5563,5628,11199,Leeton (A)
14850,17250,18162,35413,43,47,92,28,43,74,0,6,7,6,7,16,15,15,24,110,114,226,4,3,5,12,11,18,61,51,116,21,26,43,7,3,12,4,0,4,31,25,58,89,86,182,7,29,39,12,16,30,3,0,3,22,28,47,5,7,7,50,64,115,248,277,527,15,14,26,25,134,154,8,16,21,7,8,16,56,59,118,12,6,15,8,41,43,0,0,3,0,0,3,644,585,1229,83,66,149,22,31,49,22,9,27,318,299,617,1822,1885,3698,104,142,247,21153,22317,43466,Lismore (C)
14870,8393,8108,16500,3,12,17,29,28,53,11,8,18,4,4,9,9,11,25,46,29,76,10,3,13,12,3,20,32,24,55,8,5,14,6,5,13,13,3,21,23,7,26,24,25,49,0,3,3,6,0,6,12,4,19,10,13,22,5,5,12,27,27,52,100,112,209,0,0,3,18,71,92,10,13,20,0,9,6,10,11,25,4,11,18,3,22,27,4,3,6,3,0,3,350,313,666,20,18,35,23,15,40,0,0,0,139,95,238,1123,1165,2284,26,21,45,10544,10208,20753,Lithgow (C)
14900,53256,52338,105596,69,63,127,1140,1463,2601,867,904,1767,696,703,1403,3084,3460,6543,257,273,525,464,464,936,168,179,346,2711,2530,5246,362,498,860,509,424,931,4954,4941,9888,99,98,202,1322,1362,2686,26,63,83,81,110,196,2221,1978,4198,269,310,580,344,347,691,71,76,151,1686,1724,3404,702,597,1300,1671,2286,3950,301,382,685,87,80,162,229,257,489,281,267,551,250,425,673,563,603,1170,349,337,681,1256,1217,2472,146,139,290,3081,3659,6737,180,215,397,10019,10510,20524,7743,7739,15489,614,849,1467,102119,103885,206004,Liverpool (C)
14920,3228,3124,6358,3,3,6,3,3,9,0,3,4,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,6,6,13,0,0,0,0,0,0,0,0,0,4,0,3,0,3,9,0,0,0,3,3,6,0,0,0,0,0,0,3,0,0,7,3,14,22,35,59,0,0,0,4,8,10,0,3,0,0,0,0,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,70,86,153,8,3,12,0,0,4,0,0,3,9,13,20,394,411,807,9,8,20,3804,3731,7529,Liverpool Plains (A)
14950,1275,1293,2569,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,0,4,3,8,12,17,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,30,56,3,4,4,0,0,0,0,0,0,7,8,11,151,175,320,6,4,7,1490,1555,3048,Lockhart (A)
15050,32395,33971,66373,36,47,85,66,94,159,12,8,26,16,13,29,29,45,75,135,131,266,11,13,28,24,19,41,194,210,406,17,31,44,3,3,6,8,8,14,49,31,81,46,17,64,0,11,11,17,25,45,3,7,10,38,48,88,11,15,31,61,55,118,396,372,766,38,26,59,97,257,353,25,40,66,8,10,22,168,140,305,19,19,38,15,58,66,0,0,5,3,4,7,907,855,1760,55,84,139,17,25,50,61,58,115,341,369,706,1858,1977,3829,80,106,190,37268,39211,76482,Maitland (C)
15240,36181,37903,74083,43,53,96,44,81,119,33,20,54,42,27,70,23,26,48,184,196,383,16,8,28,16,19,31,113,85,202,26,35,58,6,11,19,8,5,17,71,58,135,88,41,131,4,15,23,22,23,47,11,6,23,23,39,59,60,45,102,208,146,355,450,483,933,10,3,11,61,254,310,25,38,62,9,11,17,105,104,209,18,14,29,12,74,80,3,0,3,3,3,6,1784,1824,3612,86,90,178,7,17,27,20,23,40,461,495,956,3535,3758,7290,124,155,285,43949,46194,90143,Mid-Coast (A)
15270,9885,9544,19425,3,12,18,20,13,34,11,7,18,4,3,5,6,10,14,23,55,76,9,4,17,0,8,8,22,24,49,3,8,7,0,0,0,0,0,0,15,14,32,20,12,30,0,6,6,6,5,11,3,0,3,5,11,17,16,5,21,30,34,62,110,115,226,0,0,0,22,59,85,4,7,14,0,3,3,40,33,75,0,0,0,5,15,19,0,0,0,0,0,3,308,338,646,23,28,52,14,10,24,10,8,17,124,111,235,1370,1346,2716,22,44,65,12144,11883,24033,Mid-Western Regional (A)
15300,5510,5353,10859,4,7,7,5,5,11,9,3,12,0,0,0,27,23,47,7,7,17,3,0,8,5,3,13,28,20,53,0,4,4,0,0,0,0,0,0,3,6,11,5,8,9,0,0,3,0,4,3,3,3,8,3,0,9,0,0,0,14,8,22,58,41,99,0,0,0,16,42,51,3,0,3,0,0,0,27,14,42,4,7,10,3,11,10,0,0,0,0,0,0,80,69,152,9,13,15,0,3,3,4,3,14,73,74,143,979,914,1899,25,58,85,6928,6704,13626,Moree Plains (A)
15350,7685,8948,16638,69,69,143,209,327,527,31,35,64,29,22,44,12,15,30,89,122,213,18,21,45,92,120,204,115,115,223,23,30,55,37,33,75,6,0,11,104,101,206,83,73,156,48,144,191,32,61,88,12,9,19,72,83,148,3,8,10,64,62,120,360,442,803,3,10,14,50,104,156,35,51,88,33,86,120,213,258,478,27,26,56,26,72,96,5,7,14,17,17,37,1403,1354,2756,241,287,526,26,40,64,15,15,35,699,887,1587,825,967,1791,158,240,398,12985,15258,28241,Mosman (A)
15520,4918,4898,9820,0,0,5,7,3,9,0,0,3,0,0,0,3,10,14,12,21,36,3,3,7,4,0,4,12,15,27,3,3,7,0,0,3,0,0,0,10,4,17,24,13,33,3,3,6,0,0,0,0,0,0,7,7,12,4,6,9,21,12,32,50,46,95,0,0,0,21,39,54,0,0,0,3,3,3,12,13,32,9,4,10,3,10,18,0,0,0,0,0,0,137,170,309,0,13,12,4,0,5,0,0,0,34,36,70,541,525,1064,7,23,32,5860,5887,11746,Murray River (A)
15560,1594,1430,3028,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,3,13,7,18,0,0,0,0,0,0,0,0,3,0,7,11,9,6,12,0,0,0,0,0,5,0,0,0,4,0,3,0,0,4,7,0,9,21,24,47,0,0,0,5,9,16,3,0,3,0,0,0,3,3,7,0,0,0,0,0,3,0,0,0,0,0,0,34,25,52,3,4,6,0,0,0,0,0,3,10,17,28,258,233,493,17,19,34,2005,1794,3796,Murrumbidgee (A)
15650,6996,6609,13603,8,7,15,35,20,53,3,3,5,0,0,0,10,3,13,11,8,15,0,0,4,9,4,7,50,37,85,3,4,7,3,0,3,0,0,3,35,17,53,3,0,5,0,7,4,4,3,5,3,0,3,12,8,13,3,6,5,12,13,26,112,108,222,0,3,3,41,69,109,3,0,3,0,5,5,22,19,41,11,9,20,4,19,24,0,0,0,4,0,4,151,127,277,16,10,30,12,0,19,15,15,30,85,73,164,662,586,1240,29,42,79,8375,7840,16214,Muswellbrook (A)
15700,7816,8011,15830,12,10,25,7,11,20,4,0,7,0,3,5,10,19,23,31,51,76,3,5,8,3,4,4,12,10,28,8,3,11,0,0,0,4,0,4,19,8,29,19,9,32,0,9,9,0,0,3,5,4,9,3,5,13,5,0,6,31,40,71,112,130,247,0,0,0,9,41,44,0,4,7,4,3,5,16,30,44,0,3,9,3,19,25,0,0,0,0,0,0,401,395,800,14,22,38,3,4,4,0,0,0,102,92,198,830,853,1689,25,24,52,9530,9832,19361,Nambucca (A)
15750,5671,5436,11107,5,6,9,12,7,22,0,0,0,0,0,0,3,0,3,16,13,28,0,0,0,3,0,3,18,5,23,0,0,0,0,0,0,0,0,0,9,3,14,3,3,3,0,3,3,0,0,0,0,0,0,0,3,7,0,0,0,14,14,23,52,41,91,3,0,9,15,37,48,3,3,6,0,4,6,9,11,20,6,10,11,0,0,3,0,0,0,0,0,0,77,71,146,17,17,37,3,0,3,5,7,11,37,43,80,906,824,1737,11,14,31,6908,6580,13485,Narrabri (A)
15800,2374,2446,4823,4,4,10,3,5,9,0,0,0,0,0,0,0,0,0,4,5,13,0,0,0,0,0,0,11,5,18,0,0,0,0,0,0,0,0,0,3,0,3,12,3,16,0,0,0,0,3,4,0,0,0,4,0,5,0,0,0,9,8,14,18,22,36,3,0,3,6,10,12,0,0,0,0,0,0,0,8,7,3,0,8,3,7,8,0,0,0,0,0,0,56,41,98,3,0,4,0,0,0,0,0,5,25,23,41,381,354,736,18,19,32,2928,2963,5894,Narrandera (A)
