LGA_MAIN11,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp,LGA_NAME11
20830,2005,29623,2278,42862,Baw Baw (S)
20910,5261,45182,5255,91817,Bayside (C)
21010,465,10348,637,13651,Benalla (RC)
32450,91,2298,436,3229,Cloncurry (S)
21110,8369,73168,7690,159180,Boroondara (C)
21180,5323,32818,15286,182738,Brimbank (C)
21270,168,5239,323,6382,Buloke (S)
21370,1150,28224,2374,36355,Campaspe (S)
21450,4287,42680,4102,74174,Cardinia (S)
21610,11171,89951,14037,252378,Casey (C)
21670,404,9550,732,12492,Central Goldfields (S)
21750,610,15672,1109,20338,Colac-Otway (S)
21830,435,13008,870,16380,Corangamite (S)
21890,5449,46672,10230,136479,Darebin (C)
22110,1578,29785,2592,42195,East Gippsland (S)
22170,7345,63642,8540,126463,Frankston (C)
22250,277,8317,682,10362,Gannawarra (S)
22910,613,9589,890,14370,Hepburn (S)
22980,134,4694,295,5796,Hindmarsh (S)
23110,3777,31789,5639,83861,Hobsons Bay (C)
23190,444,15662,1161,19287,Horsham (RC)
23270,6254,55368,11585,167564,Hume (C)
23350,565,11249,1046,15179,Indigo (S)
23430,6952,59854,8018,142427,Kingston (C)
23670,7292,68407,6136,149287,Knox (C)
23810,3089,45182,5034,72399,Latrobe (C)
23940,203,5682,539,7457,Loddon (S)
24130,2098,26977,2081,41863,Macedon Ranges (S)
24210,4499,38307,4667,111297,Manningham (C)
24250,365,5406,410,7892,Mansfield (S)
24330,2659,20425,6732,71628,Maribyrnong (C)
24410,5613,56133,4771,103827,Maroondah (C)
24600,3399,24158,11472,93622,Melbourne (C)
24650,4928,41157,7933,109260,Melton (S)
24780,1428,36136,3507,50980,Mildura (RC)
24850,1499,22930,2328,34642,Mitchell (S)
24900,823,20684,1961,28125,Moira (S)
24970,5838,49541,8548,169275,Monash (C)
25060,4357,45156,6713,107448,Moonee Valley (C)
17800,126,3085,310,3960,Wakool (A)
17850,87,2531,125,3018,Walcha (A)
17900,153,4554,730,6452,Walgett (A)
22830,1771,40090,4470,60454,Greater Shepparton (C)
25150,1320,18388,1557,28129,Moorabool (S)
25250,6149,48551,10664,147243,Moreland (C)
25340,7947,82588,9639,144612,Mornington Peninsula (S)
25430,715,12014,1577,17592,Mount Alexander (S)
25490,469,12670,865,15959,Moyne (S)
25620,609,8709,901,13066,Murrindindi (S)
25710,3222,36467,2316,60352,Nillumbik (S)
25810,339,9343,746,11845,Northern Grampians (S)
25900,4703,35917,8497,91371,Port Phillip (C)
25990,237,4854,537,6668,Pyrenees (S)
26080,121,2119,194,2994,Queenscliffe (B)
26170,1219,18768,1492,27208,South Gippsland (S)
26260,559,13026,785,16362,Southern Grampians (S)
26350,4889,40097,7060,93152,Stonnington (C)
26430,333,6939,595,9485,Strathbogie (S)
26490,1376,17400,1375,25871,Surf Coast (S)
26610,501,14490,1428,20445,Swan Hill (RC)
26670,254,4531,225,5888,Towong (S)
26700,890,20066,1443,26818,Wangaratta (RC)
26730,949,24671,2285,32035,Warrnambool (C)
26810,1640,28930,3352,41443,Wellington (S)
26890,137,3461,197,4253,West Wimmera (S)
26980,6568,62822,7829,151338,Whitehorse (C)
27070,5371,51237,9284,154883,Whittlesea (C)
27170,1441,25774,1822,35526,Wodonga (RC)
27260,7230,58101,11024,161575,Wyndham (C)
27350,3863,30219,6737,74087,Yarra (C)
27450,8679,83293,7415,144538,Yarra Ranges (S)
27630,205,5603,535,7091,Yarriambiack (S)
29399,41,395,114,803,Unincorporated Vic
30250,11,1245,7,1297,Aurukun (S)
30300,104,3855,362,4722,Balonne (S)
30370,434,11166,879,14457,Banana (S)
30410,85,2600,211,3208,Barcaldine (R)
30450,16,285,27,353,Barcoo (S)
30760,50,1860,121,2205,Blackall Tambo (R)
36070,4,626,3,660,Pormpuraaw (S)
36150,29,795,53,972,Quilpie (S)
36250,7553,76404,7181,138668,Redland (C)
36300,26,652,71,826,Richmond (S)
36360,3911,79009,9858,109332,Rockhampton (R)
36510,1791,23728,2193,36464,Scenic Rim (R)
36580,939,14997,1357,21641,Somerset (R)
36630,1154,22921,1890,31030,South Burnett (R)
36660,1237,24763,1962,33883,Southern Downs (R)
36710,16473,180023,18668,306913,Sunshine Coast (R)
36810,1964,26931,3864,43734,Tablelands (R)
36910,5457,110610,9435,151196,Toowoomba (R)
36950,78,2276,467,3256,Torres (S)
36960,109,3549,167,4245,Torres Strait Island (R)
37010,8262,112724,14470,174457,Townsville (C)
42110,163,3098,233,4164,Goyder (DC)
42250,221,6018,518,7845,Grant (DC)
42750,186,3031,248,4414,Kangaroo Island (DC)
43080,35,811,70,1033,Karoonda East Murray (DC)
43360,94,1813,117,2280,Kingston (DC)
43650,759,8970,591,13783,Light (RegC)
43710,186,3784,294,4914,Lower Eyre Peninsula (DC)
43790,332,8752,491,11280,Loxton Waikerie (DC)
43920,456,5056,487,8345,Mallala (DC)
44060,4011,42645,4288,82992,Marion (C)
44210,307,5541,760,8134,Mid Murray (DC)
44340,3472,34364,2370,62904,Mitcham (C)
44550,1637,19035,1148,29768,Mount Barker (DC)
44830,82,2227,155,2877,Mount Remarkable (DC)
45040,700,13470,1724,19736,Murray Bridge (RC)
45120,176,3594,192,4499,Northern Areas (DC)
45290,1645,15225,2021,34881,Norwood Payneham St Peters (C)
45340,9122,85177,8285,159578,Onkaparinga (C)
45680,4819,38893,5589,79107,Playford (C)
45890,4612,47489,8320,112811,Port Adelaide Enfield (C)
46090,367,9860,1903,13983,Port Augusta (C)
46300,536,10273,811,14089,Port Lincoln (C)
46450,511,13137,966,17324,Port Pirie City and Dists (M)
48340,441,8674,544,11626,Wattle Range (DC)
48410,2337,24099,3326,54957,West Torrens (C)
48540,1129,11981,1652,22090,Whyalla (C)
50080,2249,18313,2014,33641,Albany (C)
52240,75,646,76,1077,Cranbrook (S)
52310,38,582,44,876,Cuballing (S)
52450,86,826,92,1315,Cunderdin (S)
52520,78,838,54,1265,Dalwallinu (S)
52590,165,1866,347,3183,Dandaragan (S)
52660,749,7396,806,12402,Dardanup (S)
52730,379,2446,293,5191,Denmark (S)
53080,46,569,186,1133,Dundas (S)
53220,498,5586,2394,11953,East Pilbara (S)
53290,717,8505,1082,13475,Esperance (S)
53360,164,1353,199,2389,Exmouth (S)
53430,1652,10098,2084,26581,Fremantle (C)
53520,1862,22725,2938,36445,Geraldton-Greenough (C)
53570,307,2326,410,4688,Gingin (S)
53640,70,886,96,1271,Gnowangerup (S)
37300,142,2172,419,3334,Weipa (T)
37310,927,24460,2700,31577,Western Downs (R)
37340,1402,19246,3841,31426,Whitsunday (R)
40430,77,1938,120,2453,Barunga West (DC)
40520,368,7088,736,10580,Berri and Barmera (DC)
50350,971,5761,996,14414,Bassendean (T)
50420,3156,18618,4300,61259,Bayswater (C)
50490,1774,11589,3281,35207,Belmont (C)
50560,72,979,100,1559,Beverley (S)
50630,120,1082,405,2217,Boddington (S)
50770,91,959,70,1580,Boyup Brook (S)
50840,300,2212,182,4326,Bridgetown-Greenbushes (S)
50910,40,636,74,924,Brookton (S)
50980,663,9042,1880,15003,Broome (S)
51080,48,813,65,1137,Broomehill-Tambellup (S)
51120,45,651,73,974,Bruce Rock (S)
51190,1724,16375,2899,31343,Bunbury (C)
51260,1907,17031,1931,30332,Busselton (S)
51310,1654,10777,1248,24976,Cambridge (T)
51330,4093,23733,5193,85511,Canning (C)
51400,912,7825,998,14630,Capel (S)
51470,22,364,50,549,Carnamah (S)
51540,243,3180,790,5787,Carnarvon (S)
51610,45,769,80,1166,Chapman Valley (S)
55110,4181,33456,5575,69898,Mandurah (C)
55180,555,5186,548,9181,Manjimup (S)
55250,56,779,273,1385,Meekatharra (S)
55320,5781,36019,5093,95698,Melville (C)
56620,10,1295,54,1440,Ngaanyatjarraku (S)
40120,2260,22637,1719,38628,Adelaide Hills (DC)
55460,190,1977,232,3279,Merredin (S)
49399,145,2887,667,4434,Unincorporated SA
49499,141,1401,568,3070,
50280,870,5884,1002,11767,Augusta-Margaret River (S)
59330,23,332,56,527,Wyalkatchem (S)
59340,306,5138,912,7797,Wyndham-East Kimberley (S)
59350,17,209,81,409,Yalgoo (S)
51960,182,2025,566,4002,Coolgardie (S)
56020,20,501,74,708,Mullewa (S)
56090,2453,15745,3634,36528,Mundaring (S)
57560,1049,10158,5012,22907,Roebourne (S)
56230,912,7647,1106,14149,Murray (S)
56300,82,661,76,1257,Nannup (S)
63210,194,4503,269,6096,Kentish (M)
63410,47,1074,83,1569,King Island (M)
63610,1785,20829,1556,33895,Kingborough (M)
69399,0,63,13,108,
56450,70,553,39,885,Narrogin (S)
56790,173,2025,229,3195,Northampton (S)
56860,5,151,28,227,Nungarin (S)
55530,35,344,29,483,Mingenew (S)
57490,6940,40424,7394,104113,Rockingham (C)
73600,47,5320,466,6122,Roper Gulf (S)
74050,19,2394,50,2579,Tiwi Islands (S)
79499,70,929,268,1869,
58510,1693,9804,3230,32431,Victoria Park (T)
62810,2628,27165,2925,48697,Hobart (C)
63010,651,10365,741,15139,Huon Valley (M)
58610,127,1134,99,1847,Wagin (S)
58680,33,281,17,437,Wandering (S)
58760,8716,45460,10493,152087,Wanneroo (C)
58820,236,2008,195,3589,Waroona (S)
58890,48,612,45,865,West Arthur (S)
89399,20997,180242,19344,356589,Unincorporated ACT
89499,38,288,79,641,
99399,132,976,919,3003,Unincorp. Other Territories
99499,0,16,0,23,
59250,48,589,147,1161,Wiluna (S)
59320,32,287,22,423,Woodanilling (S)
11250,372,14664,1633,18522,Broken Hill (C)
14200,424,12894,959,16079,Inverell (A)
14250,39,1189,95,1502,Jerilderie (A)
14300,150,4156,1094,5884,Junee (A)
14350,866,21109,2468,28137,Kempsey (A)
13950,3195,22705,7647,99174,Holroyd (C)
14000,7890,61735,6423,156848,Hornsby (A)
14100,816,5993,651,13225,Hunters Hill (A)
14150,2764,22611,4250,78857,Hurstville (C)
70700,35,641,212,1103,Coomalie (S)
71000,3915,31852,9655,72928,Darwin (C)
71300,50,8509,257,9101,East Arnhem (S)
72200,417,6162,1017,9183,Katherine (T)
10050,1649,34390,3231,47809,Albury (C)
10110,916,16915,1818,24098,Armidale Dumaresq (A)
13320,1359,24167,2488,34431,Great Lakes (A)
13340,302,7834,587,9810,Greater Hume Shire (A)
13380,1627,34699,3181,46544,Greater Taree (C)
13450,714,13596,1954,24359,Griffith (C)
13500,84,3118,198,3667,Gundagai (A)
14400,1035,12961,857,19982,Kiama (A)
14450,2183,15336,2925,55804,Kogarah (C)
14500,6606,42207,5059,109291,Ku-ring-gai (A)
14550,343,6702,595,9226,Kyogle (A)
14600,166,5437,424,6478,Lachlan (A)
14650,8127,135143,10233,188999,Lake Macquarie (C)
14700,1977,12535,1535,31516,Lane Cove (A)
45540,68,1192,147,1733,Peterborough (DC)
10150,1658,10582,3395,41216,Ashfield (A)
10200,1583,6897,7655,73739,Auburn (C)
10250,1841,27577,2230,39266,Ballina (A)
10300,56,1654,243,2284,Balranald (A)
10350,6115,43857,14539,182361,Bankstown (C)
10470,1421,28061,3261,38526,Bathurst Regional (A)
10550,1404,22046,1888,31949,Bega Valley (A)
10600,593,8623,573,12510,Bellingen (A)
10650,237,6236,500,8064,Berrigan (A)
10750,11248,99799,19144,301101,Blacktown (C)
10800,134,4941,259,5869,Bland (A)
10850,218,5457,473,6997,Blayney (A)
10900,4707,42967,4902,75942,Blue Mountains (C)
10950,53,2385,243,2900,Bogan (A)
11000,88,1851,124,2412,Bombala (A)
11050,66,1949,107,2390,Boorowa (A)
11100,1575,10533,2941,39361,Botany Bay (C)
11150,55,2114,503,2872,Bourke (A)
11200,18,1516,125,1756,Brewarrina (A)
13550,292,9896,883,12064,Gunnedah (A)
13650,99,3646,300,4401,Guyra (A)
13660,159,4222,216,4953,Gwydir (A)
13700,98,2937,189,3582,Harden (A)
13800,3347,38825,3974,62353,Hawkesbury (C)
13850,74,2353,205,2957,Hay (A)
11300,1005,5731,2357,32421,Burwood (A)
11350,1734,16361,2210,29213,Byron (A)
11400,428,10231,626,12825,Cabonne (A)
11450,3002,32337,2802,56713,Camden (A)
11500,6399,62099,10792,145969,Campbelltown (C)
11520,3351,24308,5539,75758,Canada Bay (A)
11550,3952,21110,11530,137451,Canterbury (C)
11600,79,2022,143,2585,Carrathool (A)
11700,35,1606,156,1988,Central Darling (A)
11720,1738,38421,3842,50841,Cessnock (C)
11730,1760,37939,3180,49665,Clarence Valley (A)
11750,135,3630,420,4706,Cobar (A)
11800,3052,45820,4589,68417,Coffs Harbour (C)
11860,65,1289,54,1544,Conargo (A)
12000,115,3369,249,4104,Coolamon (A)
12050,422,6326,719,9770,Cooma-Monaro (A)
12150,58,3465,315,4032,Coonamble (A)
12200,151,5931,518,7336,Cootamundra (A)
12300,340,8607,584,11005,Corowa Shire (A)
12350,364,9385,968,12149,Cowra (A)
12500,185,5542,553,7127,Deniliquin (A)
12600,992,31242,2474,38802,Dubbo (C)
12700,255,6699,469,8318,Dungog (A)
12750,1547,23443,2582,35737,Eurobodalla (A)
12850,4025,22398,12632,187761,Fairfield (C)
12900,199,7689,558,9165,Forbes (A)
12950,93,3644,287,4362,Gilgandra (A)
13010,245,6805,665,8657,Glen Innes Severn (A)
13050,153,3839,233,4884,Gloucester (A)
13100,8563,98021,11420,162432,Gosford (C)
13310,901,20239,2180,27474,Goulburn Mulwaree (A)
17100,1015,5313,2950,35195,Strathfield (A)
17150,11383,121458,10260,210858,Sutherland Shire (A)
17200,6923,46594,24030,169504,Sydney (C)
17310,1442,45171,3927,56298,Tamworth Regional (A)
17350,123,4839,285,5772,Temora (A)
17400,217,5163,514,6821,Tenterfield (A)
17420,7945,67571,6677,169880,The Hills Shire (A)
17450,104,2459,308,3359,Tumbarumba (A)
17500,323,8475,640,10936,Tumut Shire (A)
17550,4009,54714,5742,85110,Tweed (A)
17620,420,10795,925,13760,Upper Hunter Shire (A)
17640,201,5610,412,7189,Upper Lachlan Shire (A)
17650,205,4706,323,6031,Uralla (A)
17700,20,947,90,1154,Urana (A)
17750,1835,46101,3207,59460,Wagga Wagga (C)
22310,6911,46223,7160,131012,Glen Eira (C)
22410,633,14937,1214,19568,Glenelg (S)
22490,840,13024,979,18765,Golden Plains (S)
22620,3105,77821,6066,100610,Greater Bendigo (C)
22670,3052,19859,9942,135609,Greater Dandenong (C)
22750,9398,129199,12471,210882,Greater Geelong (C)
30900,8,399,34,483,Boulia (S)
31000,53415,496882,66045,1041830,Brisbane (C)
40220,1139,15101,1118,23702,Alexandrina (DC)
41750,31,863,39,1041,Elliston (DC)
52030,66,697,63,1062,Coorow (S)
31750,13,318,30,400,Bulloo (S)
31820,3457,62380,6159,89810,Bundaberg (R)
31900,563,12285,1131,17374,Burdekin (S)
31950,20,329,110,514,Burke (S)
32070,9078,83603,14723,156171,Cairns (R)
32250,61,1468,317,2054,Carpentaria (S)
32260,1252,17464,1917,27672,Cassowary Coast (R)
32270,1051,20150,2704,28715,Central Highlands (R)
32310,387,9481,979,12166,Charters Towers (R)
32330,0,1203,13,1220,Cherbourg (S)
32500,154,2374,830,4156,Cook (S)
32600,13,238,43,316,Croydon (S)
32750,7,221,18,282,Diamantina (S)
32770,4,1231,15,1284,Doomadgee (S)
33100,42,689,64,900,Etheridge (S)
33200,38,1427,161,1782,Flinders (S)
33220,4037,63582,6671,95321,Fraser Coast (R)
33360,2395,38774,5064,57895,Gladstone (R)
33430,27021,232699,39407,494498,Gold Coast (C)
33610,260,8450,916,10640,Goondiwindi (R)
33620,1939,32049,3219,45757,Gympie (R)
33800,491,7429,661,11577,Hinchinbrook (S)
33830,3,937,29,981,Hope Vale (S)
33960,8244,96391,11894,166897,Ipswich (C)
33980,862,15723,2401,22585,Isaac (R)
34420,8,988,0,1028,Kowanyama (S)
34570,4,461,8,482,Lockhart River (S)
34580,1395,23786,2911,34955,Lockyer Valley (R)
34590,15118,133039,19776,278048,Logan (C)
34710,160,3265,293,4192,Longreach (R)
34770,4572,77127,8903,112798,Mackay (R)
34800,25,766,126,1047,McKinlay (S)
34830,3,249,4,265,Mapoon (S)
34860,334,10174,1278,13077,Maranoa (R)
35010,20020,222657,23169,378037,Moreton Bay (R)
35250,3,1067,23,1144,Mornington (S)
35300,840,12350,3323,21243,Mount Isa (C)
35600,109,3565,424,4615,Murweh (S)
35670,0,832,3,854,Napranum (S)
35760,297,7607,835,10134,North Burnett (R)
35780,30,2027,134,2296,Northern Peninsula Area (R)
35790,7,2239,20,2337,Palm Island (S)
35800,38,1525,164,1863,Paroo (S)
37400,35,1113,64,1336,Winton (S)
37550,3,910,23,946,Woorabinda (S)
40250,26,2193,82,2441,Anangu Pitjantjatjara (AC)
40310,1040,15336,864,22172,Barossa (DC)
37570,0,261,0,267,Wujal Wujal (S)
37600,7,2356,23,2404,Yarrabah (S)
39399,29,218,79,472,
39499,452,6009,1984,12546,
40070,793,6416,2247,19642,Adelaide (C)
40700,2174,20212,2161,42198,Burnside (C)
40910,1857,18126,2101,48163,Campbelltown (C)
41010,108,2712,215,3479,Ceduna (DC)
41060,4288,46377,6005,104979,Charles Sturt (C)
41140,348,6593,379,8750,Clare and Gilbert Valleys (DC)
41190,46,1488,44,1727,Cleve (DC)
41330,63,785,204,1698,Coober Pedy (DC)
41560,459,9655,643,12946,Copper Coast (DC)
41830,53,1327,116,1693,Flinders Ranges (DC)
41960,42,976,106,1270,Franklin Harbour (DC)
42030,1232,11593,1135,20541,Gawler (T)
46510,905,9093,1011,19956,Prospect (C)
46670,276,5999,743,9251,Renmark Paringa (DC)
46860,73,1040,95,1401,Robe (DC)
42600,1566,18662,2280,34605,Holdfast Bay (C)
46970,219,2838,539,4708,Roxby Downs (M)
43220,31,924,60,1079,Kimba (DC)
47140,6350,56129,8679,129107,Salisbury (C)
47290,49,1680,95,2102,Southern Mallee (DC)
47490,82,1617,158,2108,Streaky Bay (DC)
47630,185,5167,216,6555,Tatiara (DC)
47700,5388,47148,4025,95470,Tea Tree Gully (C)
47800,218,4128,449,5527,The Coorong (DC)
47910,86,2099,91,2586,Tumby Bay (DC)
44000,3,54,17,80,Maralinga Tjarutja (AC)
44620,895,18281,1219,25241,Mount Gambier (C)
45090,253,6066,446,8113,Naracoorte and Lucindale (DC)
45400,37,701,34,874,Orroroo/Carrieton (DC)
47980,1815,18717,2330,36849,Unley (C)
48050,543,8336,1059,13841,Victor Harbor (C)
48130,253,4859,390,6669,Wakefield (DC)
48640,40,1073,27,1245,Wudinna (DC)
48750,212,2653,220,4399,Yankalilla (DC)
48830,385,8488,475,11021,Yorke Peninsula (DC)
48260,388,3385,427,6999,Walkerville (M)
50210,4404,23499,4824,62302,Armadale (C)
50250,541,4998,1529,10002,Ashburton (S)
51680,286,2237,280,4429,Chittering (S)
51750,606,3939,763,9281,Claremont (T)
51820,5408,33280,5312,89685,Cockburn (C)
51890,473,5524,653,9129,Collie (S)
52100,50,766,45,1069,Corrigin (S)
52170,502,3652,786,7609,Cottesloe (T)
52380,16,152,51,270,Cue (S)
52800,147,5213,2222,8427,Derby-West Kimberley (S)
52870,324,2944,301,5323,Donnybrook-Balingup (S)
52940,44,488,32,676,Dowerin (S)
53010,38,422,24,607,Dumbleyung (S)
53150,487,3107,466,6940,East Fremantle (T)
54280,1440,15692,4157,31111,Kalgoorlie/Boulder (C)
53710,63,696,60,986,Goomalling (S)
53780,5905,33695,8796,106587,Gosnells (C)
53920,35,3078,156,3561,Halls Creek (S)
53990,1347,12757,1650,23243,Harvey (S)
54060,213,2203,218,3557,Irwin (S)
54130,45,747,54,1050,Jerramungup (S)
54170,9394,53461,7242,152399,Joondalup (C)
54200,3453,22627,3409,53567,Kalamunda (S)
54340,204,2319,273,4187,Katanning (S)
54410,56,798,67,1172,Kellerberrin (S)
54480,35,399,15,513,Kent (S)
54550,108,1279,96,1975,Kojonup (S)
54620,62,651,96,1043,Kondinin (S)
54690,33,294,13,434,Koorda (S)
54760,56,582,23,822,Kulin (S)
54830,1879,11275,3293,29226,Kwinana (T)
54900,89,901,61,1364,Lake Grace (S)
54970,51,677,149,1225,Laverton (S)
56520,246,2652,266,4216,Narrogin (T)
56580,1436,8399,999,20529,Nedlands (C)
55040,102,1026,684,2514,Leonora (S)
55390,9,325,18,382,Menzies (S)
55600,121,1680,162,2488,Moora (S)
55670,56,586,79,896,Morawa (S)
56930,142,749,139,1536,Peppermint Grove (S)
55740,547,3527,638,8601,Mosman Park (T)
55810,31,406,89,645,Mount Magnet (S)
55880,23,346,16,485,Mount Marshall (S)
57210,327,2607,399,4884,Plantagenet (S)
57280,676,6893,3307,15044,Port Hedland (T)
57350,50,747,43,1049,Quairading (S)
57420,115,1241,168,2133,Ravensthorpe (S)
55950,41,349,11,496,Mukinbudin (S)
56160,3,79,8,112,Murchison (S)
63810,278,7640,497,9832,Latrobe (M)
64010,2422,45663,3909,64190,Launceston (C)
64210,687,14072,929,18883,Meander Valley (M)
64610,374,9584,528,12226,Northern Midlands (M)
64810,469,9839,795,13188,Sorell (M)
65010,134,4826,421,6056,Southern Midlands (M)
65210,69,1638,158,2351,Tasman (M)
65410,468,10434,741,13703,Waratah/Wynyard (M)
65610,128,3554,345,4685,West Coast (M)
65810,903,14793,1102,21823,West Tamar (M)
69499,22,640,163,1069,
56370,32,533,58,820,Narembeen (S)
70200,1142,14088,2659,25187,Alice Springs (T)
56730,578,5939,1046,10550,Northam (S)
57000,49,525,79,907,Perenjori (S)
57080,535,3141,2878,16720,Perth (C)
57140,51,740,82,1159,Pingelly (S)
57630,6,54,18,110,Sandstone (S)
57700,1365,8073,1234,17748,Serpentine-Jarrahdale (S)
57770,47,494,41,856,Shark Bay (S)
57840,2393,14778,3113,40742,South Perth (C)
57910,10609,64650,14847,195702,Stirling (C)
57980,1043,6047,1356,17581,Subiaco (C)
58050,6832,41512,8152,108454,Swan (C)
58190,19,277,30,404,Tammin (S)
58260,35,387,48,617,Three Springs (S)
58330,260,2200,382,4387,Toodyay (S)
72800,1632,15858,2995,27706,Palmerston (C)
74500,60,5370,238,5927,Victoria-Daly (S)
58400,16,214,16,346,Trayning (S)
58470,7,186,25,242,Upper Gascoyne (S)
58540,54,575,62,899,Victoria Plains (S)
74560,24,212,31,363,Wagait (S)
74660,94,5366,296,6228,West Arnhem (S)
79399,408,4060,1566,8087,Unincorporated NT
58570,1763,9975,2846,31550,Vincent (T)
59030,22,162,15,273,Westonia (S)
59100,45,512,59,755,Wickepin (S)
59170,58,666,48,913,Williams (S)
59310,62,1000,89,1426,Wongan-Ballidu (S)
59360,96,856,194,1630,Yilgarn (S)
59370,191,1942,240,3387,York (S)
59399,18,163,69,409,
59499,297,2791,1344,7294,
60210,209,4395,419,6187,Break O'Day (M)
60410,294,12304,1304,15462,Brighton (M)
60610,541,14799,1182,19333,Burnie (C)
60810,666,16255,1265,21350,Central Coast (M)
61010,44,1746,168,2260,Central Highlands (M)
61210,204,6265,469,7975,Circular Head (M)
61410,1907,37190,3335,51852,Clarence (C)
61510,226,7638,589,9711,Derwent Valley (M)
61610,721,18774,1609,24617,Devonport (C)
61810,211,5420,390,6827,Dorset (M)
62010,27,568,57,779,Flinders (M)
62210,222,4782,387,6643,George Town (M)
62410,141,3115,256,4193,Glamorgan/Spring Bay (M)
62610,1363,31987,2849,44649,Glenorchy (C)
70420,95,5295,803,6828,Barkly (S)
70540,0,173,3,179,Belyuen (S)
70620,30,3258,217,3718,Central Desert (S)
72300,1058,10939,2682,18992,Litchfield (M)
72330,27,4705,849,5828,MacDonnell (S)
