lga_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
51960,255,108,43,5,1884,Coolgardie (S)
52030,113,82,23,0,429,Coorow (S)
48260,754,592,313,153,4306,Walkerville (M)
48340,810,477,232,140,4381,Wattle Range (DC)
48410,3418,2128,1371,939,28778,West Torrens (C)
48540,1425,901,568,180,9137,Whyalla (C)
48640,71,59,18,14,490,Wudinna (DC)
48750,606,514,173,49,2433,Yankalilla (DC)
48830,937,871,351,152,4299,Yorke Peninsula (DC)
49399,744,465,100,11,3674,Unincorporated SA
50080,3028,2060,989,448,16776,Albany (C)
50210,4406,2805,1282,470,35002,Armadale (C)
50250,2268,456,80,0,17580,Ashburton (S)
50280,1276,816,304,106,7311,Augusta-Margaret River (S)
50350,1054,649,311,142,7308,Bassendean (T)
50420,4235,2713,1443,752,33310,Bayswater (C)
50490,2296,1380,796,318,20311,Belmont (C)
50560,158,123,80,18,738,Beverley (S)
50630,163,76,30,3,1115,Boddington (S)
50770,134,112,47,14,669,Boyup Brook (S)
50840,485,431,151,30,2224,Bridgetown-Greenbushes (S)
50910,56,60,28,25,398,Brookton (S)
50980,2252,1790,433,51,12075,Broome (S)
51080,84,41,24,3,421,Broomehill-Tambellup (S)
51120,64,54,29,5,359,Bruce Rock (S)
51190,2416,1505,738,305,14710,Bunbury (C)
51260,2807,2109,1052,425,16877,Busselton (C)
51310,2455,1463,943,483,15254,Cambridge (T)
51330,5803,3639,1720,718,45147,Canning (C)
51400,1116,635,178,44,7377,Capel (S)
51470,52,35,7,3,260,Carnamah (S)
51540,765,765,235,59,3951,Carnarvon (S)
51610,93,82,26,5,613,Chapman Valley (S)
51680,442,290,126,18,2355,Chittering (S)
51750,956,792,520,290,6031,Claremont (T)
51820,6184,3320,1580,646,49351,Cockburn (C)
51890,596,389,190,67,3535,Collie (S)
52100,66,40,24,15,390,Corrigin (S)
52170,866,570,256,119,4557,Cottesloe (T)
52240,72,52,26,5,423,Cranbrook (S)
52310,64,66,20,9,350,Cuballing (S)
52380,46,37,11,0,206,Cue (S)
52450,96,53,26,10,557,Cunderdin (S)
52520,83,54,24,9,541,Dalwallinu (S)
52590,322,251,95,12,1595,Dandaragan (S)
52660,848,515,338,166,5881,Dardanup (S)
52730,660,568,228,58,3044,Denmark (S)
52800,804,504,78,22,4325,Derby-West Kimberley (S)
52870,573,409,167,54,2659,Donnybrook-Balingup (S)
52940,47,34,12,5,232,Dowerin (S)
53010,54,29,17,0,263,Dumbleyung (S)
53080,216,195,27,3,940,Dundas (S)
53150,816,442,209,101,4246,East Fremantle (T)
53220,1316,345,32,0,11668,East Pilbara (S)
53290,1015,675,311,117,6228,Esperance (S)
53360,631,598,142,16,2767,Exmouth (S)
53430,2845,1771,822,333,17004,Fremantle (C)
53570,457,415,148,33,2221,Gingin (S)
53640,98,49,19,8,492,Gnowangerup (S)
54280,1866,793,237,61,13643,Kalgoorlie/Boulder (C)
54310,1521,564,107,8,13535,Karratha (C)
53710,82,53,13,8,411,Goomalling (S)
53780,6096,3714,1857,606,50497,Gosnells (C)
53800,2584,1565,766,229,16704,Greater Geraldton (C)
53920,255,172,31,7,1712,Halls Creek (S)
53990,1769,1120,443,119,11110,Harvey (S)
54060,317,296,132,27,1634,Irwin (S)
54130,90,31,26,3,481,Jerramungup (S)
54170,13292,7763,2800,1083,76392,Joondalup (C)
54200,4019,3004,1510,432,25974,Kalamunda (S)
