lga_name_2016,lga_code_2016,negative_nil_income_m,negative_nil_income_f,negative_nil_income_p,pi1_149_m,pi1_149_f,pi1_149_p,pi150_299_m,pi150_299_f,pi150_299_p,pi300_399_m,pi300_399_f,pi300_399_p,pi400_499_m,pi400_499_f,pi400_499_p,pi500_649_m,pi500_649_f,pi500_649_p,pi650_799_m,pi650_799_f,pi650_799_p,pi800_999_m,pi800_999_f,pi800_999_p,pi1000_more_m,pi1000_more_f,pi1000_more_p,personal_income_nsm,personal_income_nsf,personal_income_nsp,tot_m,tot_f,tot_p
Blayney (A),10850,8,13,20,4,5,9,5,12,18,3,3,7,3,5,15,5,10,17,11,3,9,12,6,18,18,13,31,14,0,11,83,75,161
Blue Mountains (C),10900,77,60,137,37,46,78,44,61,108,46,46,95,47,62,115,46,72,117,36,51,81,57,54,115,173,116,293,22,28,49,586,597,1178
Bogan (A),10950,10,18,24,3,3,11,16,17,30,13,10,28,12,24,32,13,20,30,8,16,22,14,17,27,36,15,49,7,5,18,127,145,269
Botany Bay (C),11100,31,27,59,17,17,27,20,19,43,17,33,53,19,33,57,23,32,51,17,26,43,27,36,64,96,96,189,14,12,28,277,330,607
Bourke (A),11150,19,34,53,7,5,11,39,37,71,30,31,67,26,29,47,16,22,41,19,28,52,25,25,48,43,46,89,34,51,82,245,310,559
Brewarrina (A),11200,13,20,39,11,18,30,74,74,149,63,83,141,47,41,84,13,25,34,25,28,56,21,18,40,23,21,45,71,41,112,363,368,733
Broken Hill (C),11250,56,51,101,32,30,65,62,60,119,62,55,115,41,55,94,21,43,62,19,42,60,20,30,53,96,95,196,66,40,105,474,496,972
Hilltops (A),13910,23,30,56,9,11,18,31,26,54,35,50,84,24,34,54,14,28,45,24,24,56,20,13,39,33,12,50,29,15,38,249,247,498
Hornsby (A),14000,28,41,70,11,22,27,7,26,35,18,21,37,9,13,20,13,18,28,16,19,35,14,24,37,91,51,142,10,8,17,214,241,454
Hunters Hill (A),14100,9,0,9,4,3,3,0,3,7,0,4,3,0,0,0,0,3,3,0,4,4,3,0,0,10,4,14,7,0,8,35,14,55
Inner West (A),14170,72,69,136,32,23,54,69,98,167,66,87,145,56,85,142,40,64,112,59,60,113,58,57,111,231,265,496,28,49,79,713,850,1560
Inverell (A),14200,43,55,93,18,28,50,74,94,168,53,64,115,49,69,119,25,52,76,31,35,69,27,24,50,49,34,87,31,27,55,416,483,894
Junee (A),14300,13,15,26,3,3,8,10,10,15,3,12,16,3,9,15,3,4,10,6,8,13,6,5,11,17,17,29,233,9,238,291,83,379
Kempsey (A),14350,79,79,155,58,60,121,145,124,271,123,188,312,110,166,279,50,103,153,62,70,129,64,61,124,91,108,201,301,128,424,1081,1087,2176
Kiama (A),14400,9,28,36,10,12,19,6,8,17,8,7,18,8,16,24,12,8,21,9,10,25,9,14,24,58,29,86,6,4,9,138,138,278
Ku-ring-gai (A),14500,9,14,26,5,0,8,7,7,15,3,3,6,0,6,9,5,0,6,0,7,11,6,4,6,41,31,66,0,6,8,84,76,157
Kyogle (A),14550,13,14,24,9,9,18,25,22,49,11,21,31,19,26,49,10,9,21,10,15,22,15,3,21,9,12,23,10,5,12,126,136,261
Lachlan (A),14600,27,45,72,6,20,26,47,47,96,48,66,119,31,48,79,22,45,71,29,24,51,20,25,45,52,29,80,26,30,52,310,393,701
Lake Macquarie (C),14650,311,323,634,151,181,334,269,280,554,228,316,543,209,291,502,163,320,483,193,233,427,225,202,431,653,383,1035,110,109,221,2505,2647,5148
Lane Cove (A),14700,17,0,22,3,0,3,0,0,0,0,4,4,0,5,7,0,0,0,0,0,0,0,4,4,19,15,33,3,0,5,46,37,83
Leeton (A),14750,28,30,62,7,13,21,28,23,55,19,24,41,15,21,38,3,15,22,15,13,31,24,14,40,35,17,53,10,12,24,194,193,387
Lismore (C),14850,83,55,135,42,47,91,100,97,196,78,74,151,62,89,154,57,89,149,60,74,130,48,53,97,97,102,201,53,42,93,680,721,1397
Lithgow (C),14870,43,43,93,25,23,48,50,46,92,34,48,88,35,63,97,21,48,67,27,37,64,26,15,42,88,38,130,99,9,105,441,383,820
Liverpool (C),14900,130,125,250,38,43,89,92,99,195,87,113,197,59,135,198,57,97,158,65,110,176,72,87,156,221,166,389,63,66,131,893,1048,1940
Liverpool Plains (A),14920,26,38,62,15,21,36,37,36,79,50,57,105,23,59,82,14,31,50,26,26,54,37,20,59,66,28,90,37,23,55,331,336,671
Lockhart (A),14950,3,0,8,3,0,4,3,3,5,10,10,15,3,3,9,0,3,9,0,5,6,4,3,9,4,0,6,5,3,10,37,34,70
Maitland (C),15050,152,155,310,70,93,160,137,159,292,110,151,258,85,143,227,51,126,185,98,126,222,109,105,211,323,208,532,60,66,122,1190,1329,2522
Mid-Coast (A),15240,190,205,393,105,111,216,271,246,513,211,274,479,171,249,417,137,195,337,146,150,295,109,99,211,233,180,408,118,121,236,1700,1813,3507
Mid-Western Regional (A),15270,41,59,94,28,29,55,52,55,106,35,51,89,32,57,97,22,50,66,23,30,56,33,19,57,116,36,150,20,27,49,407,409,818
Moree Plains (A),15300,85,69,156,53,57,114,176,199,368,114,155,270,73,104,177,46,92,136,73,89,156,56,44,96,118,104,224,116,112,233,910,1019,1927
Mosman (A),15350,0,4,5,0,3,3,0,0,0,4,0,4,0,0,0,0,0,3,0,0,4,3,3,6,10,14,21,4,0,4,24,24,50
Murray River (A),15520,13,13,29,6,6,12,14,20,33,14,20,27,8,13,26,7,18,19,8,11,25,12,5,18,19,19,34,11,14,25,108,139,247
Murrumbidgee (A),15560,11,4,11,0,5,7,12,13,20,4,14,21,6,20,26,6,11,17,8,9,15,16,14,24,21,13,30,5,12,16,87,103,192
Muswellbrook (A),15650,37,49,87,24,27,51,58,46,106,42,42,79,21,42,65,32,48,78,24,42,66,26,43,71,104,44,153,59,29,81,413,416,826
Nambucca (A),15700,36,43,79,24,38,58,77,80,158,66,81,147,55,68,120,23,48,68,30,38,70,18,19,40,59,45,106,43,38,82,426,505,931
Narrabri (A),15750,45,54,96,21,26,47,71,72,143,44,60,110,42,78,115,31,61,101,40,61,101,34,35,73,96,39,133,39,47,85,465,531,1000
Narrandera (A),15800,11,19,31,10,6,22,23,29,54,20,27,46,14,32,43,7,27,40,19,19,32,15,9,26,39,11,53,8,21,33,175,202,375
Narromine (A),15850,46,52,99,16,23,42,56,50,103,29,44,67,23,40,65,29,54,81,31,49,85,34,27,65,60,64,122,30,29,63,358,432,794
Newcastle (C),15900,195,182,374,85,105,193,236,237,475,171,255,425,142,213,349,132,217,345,140,197,343,165,157,322,468,358,827,82,75,158,1822,1988,3807
North Sydney (A),15950,7,9,16,0,0,0,4,4,9,7,3,7,3,5,8,3,3,5,5,3,3,7,4,9,47,44,90,5,4,5,83,87,165
Northern Beaches (A),15990,51,71,121,20,28,52,32,31,64,28,35,64,28,35,64,22,45,66,39,36,75,47,39,84,210,156,362,19,23,41,497,491,985
Oberon (A),16100,4,10,17,3,3,4,10,16,22,7,8,16,5,3,7,0,7,7,5,5,6,8,5,7,11,8,13,20,4,23,68,57,131
Orange (C),16150,91,92,183,40,44,75,91,100,188,80,101,180,58,79,143,55,106,159,63,82,140,70,64,131,150,114,270,62,58,117,751,843,1593
Parkes (A),16200,52,53,106,34,33,60,66,79,148,55,74,128,43,46,89,40,53,96,22,49,68,31,29,58,80,54,130,30,32,64,449,494,942
Parramatta (C),16260,51,44,101,22,32,59,41,59,99,41,44,87,27,49,77,32,41,70,29,34,64,56,40,97,159,122,276,294,119,412,754,593,1347
Dungog (A),12700,15,23,38,4,4,14,11,18,29,15,23,40,17,11,28,15,21,37,10,8,20,8,3,11,33,17,48,10,9,22,131,146,286
Edward River (A),12730,17,18,28,4,3,5,13,15,23,13,19,33,11,16,34,13,19,26,11,9,19,5,7,17,15,19,28,9,8,10,110,133,235
Eurobodalla (A),12750,59,58,114,55,29,83,93,87,185,101,116,220,65,99,155,54,71,124,52,56,100,50,42,83,58,85,143,59,61,120,638,701,1333
Fairfield (C),12850,61,58,121,18,28,46,50,61,115,45,61,110,32,58,91,35,59,95,43,57,101,50,38,90,96,59,163,38,25,64,475,512,993
Federation (A),12870,10,9,16,0,5,3,8,10,20,8,5,15,0,8,12,3,11,12,5,7,14,4,5,9,13,3,19,8,5,14,64,70,139
Forbes (A),12900,42,57,92,14,17,40,28,45,68,37,46,80,20,44,64,33,35,70,38,49,85,28,23,58,44,42,90,41,26,70,330,385,715
Georges River (A),12930,37,32,63,6,25,33,21,34,51,14,27,39,14,33,42,20,27,51,18,32,50,18,28,45,102,79,179,10,20,30,264,322,584
Gilgandra (A),12950,26,19,47,10,8,17,26,33,58,26,30,57,13,35,43,12,24,34,18,18,32,17,16,36,29,16,46,18,20,33,179,211,393
Glen Innes Severn (A),13010,14,15,29,4,13,17,31,21,54,26,24,45,16,26,48,8,20,25,16,13,27,12,7,15,20,7,31,50,12,62,198,153,357
Goulburn Mulwaree (A),13310,39,40,79,24,18,45,31,42,72,25,43,66,31,38,68,21,43,58,20,36,50,32,26,59,76,58,138,135,21,160,424,362,786
Greater Hume Shire (A),13340,20,11,26,3,8,9,6,9,17,7,11,23,6,10,10,8,13,18,6,7,16,3,3,11,20,11,32,5,6,14,82,84,168
Griffith (C),13450,49,43,90,16,20,37,36,50,84,49,46,98,22,47,69,29,60,93,40,42,80,45,31,74,72,37,110,30,33,63,382,411,799
Burwood (A),11300,7,8,17,3,0,3,6,6,10,0,9,13,4,3,9,0,0,0,6,6,12,3,5,6,20,19,36,3,0,6,50,64,115
Byron (A),11350,20,19,37,21,23,41,22,24,46,19,29,42,18,18,38,24,30,53,16,13,33,15,12,30,38,31,66,8,20,28,199,214,411
Cabonne (A),11400,19,20,41,14,12,18,12,14,21,19,15,26,10,25,34,14,21,33,17,12,24,18,10,28,35,25,54,14,11,20,163,147,311
Camden (A),11450,94,70,164,22,38,58,35,49,83,16,40,60,30,46,78,38,51,90,35,58,95,52,58,106,244,173,419,41,37,80,597,623,1221
Campbelltown (C) (NSW),11500,235,247,485,76,125,201,158,208,364,114,235,348,110,239,353,99,234,332,150,188,345,174,178,351,392,330,724,83,111,195,1596,2103,3696
Canada Bay (A),11520,14,10,21,7,7,17,13,12,28,13,15,23,9,8,14,3,5,8,8,10,19,10,16,26,67,50,110,4,11,18,141,154,295
Canterbury-Bankstown (A),11570,89,118,202,41,43,83,63,82,141,89,116,199,73,114,188,42,114,164,61,77,135,54,78,132,212,200,415,53,43,95,779,981,1764
Carrathool (A),11600,4,15,16,0,4,5,0,11,13,4,8,8,8,15,22,9,5,11,11,3,12,18,4,17,22,6,29,3,5,10,75,69,147
Central Coast (C) (NSW),11650,523,462,988,180,261,446,383,447,829,346,491,835,333,463,799,265,480,748,299,429,734,351,345,699,1003,597,1595,207,207,412,3902,4175,8080
Central Darling (A),11700,22,25,45,6,13,19,64,50,111,37,34,72,32,39,65,9,23,38,12,19,23,13,12,26,29,23,48,60,38,91,277,269,548
Cessnock (C),11720,140,131,270,53,80,134,151,134,285,124,128,256,95,155,244,77,151,226,78,138,218,99,81,174,278,137,420,305,65,378,1399,1200,2598
Clarence Valley (A),11730,119,111,232,45,45,96,145,134,283,127,170,295,103,172,272,63,111,174,50,104,153,68,56,117,139,120,254,150,63,208,1010,1085,2095
Cobar (A),11750,27,34,63,12,13,19,28,30,53,18,21,41,22,27,51,11,26,34,12,23,28,13,12,25,58,28,92,7,13,20,211,222,431
Coffs Harbour (C),11800,138,122,256,68,83,158,161,166,318,111,133,247,94,166,264,79,133,216,77,112,190,110,80,196,191,181,369,75,85,161,1113,1270,2383
Coolamon (A),12000,4,9,6,0,4,6,0,5,7,3,8,10,0,0,3,3,0,7,0,4,7,0,6,3,12,8,23,0,3,3,33,43,74
Coonamble (A),12150,26,33,61,13,20,35,45,63,108,59,61,120,38,56,96,19,52,65,28,41,67,27,19,49,36,41,81,40,44,80,346,415,759
Cowra (A),12350,31,31,67,26,26,44,38,37,83,49,45,97,32,45,76,31,37,67,35,30,65,29,18,48,41,27,71,23,22,48,332,325,664
Cumberland (A),12380,76,49,128,18,27,48,52,54,97,43,73,118,47,64,114,23,49,71,38,30,71,53,47,99,111,99,213,23,14,40,495,505,997
Gundagai (A),13510,17,22,39,5,0,13,18,22,36,21,17,42,14,29,41,13,27,35,20,17,39,20,17,35,27,18,47,8,15,20,158,186,344
Gunnedah (A),13550,54,49,99,21,35,52,55,52,106,40,66,107,34,63,94,36,68,103,42,37,81,53,36,91,97,57,154,36,44,84,456,517,971
Gwydir (A),13660,6,10,14,3,11,17,8,13,21,9,8,18,14,18,28,3,12,12,8,6,17,11,3,12,18,7,28,10,3,10,100,87,179
Hawkesbury (C),13800,99,123,225,25,54,79,54,72,128,57,97,155,45,69,108,42,80,116,64,77,139,81,72,154,238,138,367,32,34,67,735,807,1540
Hay (A),13850,10,10,13,3,4,7,9,4,14,3,6,15,3,5,7,6,4,8,15,0,11,3,4,9,18,3,18,11,3,14,69,47,117
Penrith (C),16350,303,272,574,93,149,240,172,228,400,152,257,407,154,253,401,137,282,418,166,227,391,262,215,478,747,499,1243,266,244,513,2448,2624,5070
Port Macquarie-Hastings (A),16380,115,101,213,51,49,103,101,135,235,110,137,247,94,124,214,68,129,202,90,104,193,102,93,196,192,124,310,49,52,106,982,1038,2021
Port Stephens (A),16400,110,134,244,47,63,112,112,111,219,101,137,240,85,124,205,71,120,190,82,104,181,89,74,163,270,146,408,42,73,112,1006,1076,2080
Queanbeyan-Palerang Regional (A),16490,51,53,105,25,36,63,42,49,92,43,59,100,40,51,90,24,50,74,30,58,89,51,47,101,173,180,354,31,31,59,513,617,1129
Randwick (C),16550,72,68,144,31,40,75,60,90,151,45,67,107,45,87,135,36,65,103,43,65,105,48,56,101,192,167,357,277,46,322,857,753,1606
Richmond Valley (A),16610,56,64,121,23,24,47,59,57,120,58,81,137,49,54,106,31,55,90,53,56,107,45,34,77,59,43,102,49,52,99,485,521,1009
Rockdale (C),16650,25,32,53,13,13,25,23,21,36,10,16,29,7,23,33,16,22,40,20,17,43,30,40,65,111,87,205,14,10,21,269,286,559
Ryde (C),16700,22,12,39,9,10,16,9,16,22,11,18,28,12,20,35,14,15,30,7,14,18,13,14,25,52,38,94,3,10,8,160,167,320
Shellharbour (C),16900,108,117,224,54,52,104,71,103,178,72,93,163,52,107,160,54,98,159,53,69,120,48,61,115,224,110,336,52,45,92,786,867,1651
Shoalhaven (C),16950,204,165,369,78,128,203,252,197,443,200,237,439,178,194,369,128,189,312,126,156,285,139,105,241,294,230,524,238,122,363,1823,1729,3555
Singleton (A),17000,31,64,93,22,30,58,39,46,91,30,49,79,19,40,57,23,47,73,38,40,82,29,19,53,149,47,199,21,25,50,410,415,821
Snowy Monaro Regional (A),17040,18,16,33,11,9,15,16,16,24,15,13,26,13,7,20,7,22,30,12,16,25,18,11,37,42,20,65,43,14,54,190,138,330
Snowy Valleys (A),17080,25,28,51,11,18,31,20,25,44,24,33,55,16,33,48,12,26,41,14,8,25,12,12,24,30,20,49,28,14,42,200,216,415
The Hills Shire (A),17420,35,34,67,20,21,38,12,19,32,11,24,35,19,28,44,14,23,39,17,19,41,23,25,51,107,77,182,9,9,21,263,286,548
Tweed (A),17550,141,127,266,50,92,138,141,128,272,109,156,261,104,152,259,90,151,244,102,117,212,119,88,204,232,189,421,71,75,146,1153,1274,2430
Upper Hunter Shire (A),17620,22,38,56,7,19,22,18,32,51,13,25,40,24,29,52,18,27,36,26,18,46,15,20,38,65,20,84,15,6,28,222,230,453
Upper Lachlan Shire (A),17640,0,7,9,0,0,0,7,3,13,10,8,22,8,0,7,3,3,6,6,5,11,7,3,9,16,11,30,3,0,3,61,50,113
Uralla (A),17650,10,15,26,5,3,7,17,23,43,14,16,26,12,20,29,19,18,32,13,16,27,19,11,28,17,6,26,13,9,16,132,134,268
Wagga Wagga (C),17750,112,119,234,55,65,123,118,137,253,98,124,215,83,144,229,71,146,209,96,110,208,92,78,169,216,173,388,68,71,138,1003,1155,2159
Walcha (A),17850,4,8,9,6,6,11,9,6,17,5,8,13,4,7,11,0,4,9,4,0,6,3,0,3,16,4,18,13,8,23,71,53,123
Walgett (A),17900,50,37,87,25,24,49,137,142,271,100,97,197,64,66,137,37,83,115,43,46,91,26,38,60,53,56,111,63,59,121,595,644,1236
Warren (A),17950,18,25,40,9,4,16,17,19,37,19,21,40,17,16,33,3,16,15,6,12,20,11,3,13,15,8,28,18,17,34,133,142,271
Warrumbungle Shire (A),18020,35,31,64,9,9,20,52,38,90,41,55,90,28,52,83,20,43,60,27,15,41,22,12,30,39,28,63,21,18,41,290,304,591
Waverley (A),18050,10,14,18,7,5,12,8,6,14,7,3,13,6,3,9,9,5,10,8,0,7,8,8,19,65,36,103,3,3,3,127,85,212
Weddin (A),18100,3,3,3,0,5,3,4,4,8,11,3,15,3,6,14,3,0,8,3,0,3,3,3,8,13,0,14,5,3,6,41,28,76
Wentworth (A),18200,26,16,41,13,17,30,41,42,86,33,33,68,14,20,37,12,18,26,3,8,13,7,15,18,14,17,31,47,56,101,208,250,456
Western Plains Regional (A),18230,236,232,469,121,133,257,274,312,592,222,310,529,195,284,481,164,281,453,188,247,433,193,184,376,453,350,806,475,215,689,2528,2548,5079
Willoughby (C),18250,4,6,11,0,3,3,3,3,7,3,3,6,0,0,4,3,4,6,0,4,7,7,3,10,26,22,49,3,0,3,57,50,106
Wingecarribee (A),18350,33,42,80,22,30,47,23,26,52,26,40,61,21,43,63,21,35,54,31,37,74,36,20,51,79,44,119,14,16,27,302,337,640
Wollondilly (A),18400,69,78,138,24,38,63,30,39,63,21,52,76,22,44,67,28,52,79,48,49,98,41,53,94,164,98,267,24,15,44,480,512,988
Wollongong (C),18450,207,205,410,82,112,196,219,214,431,164,225,397,140,220,356,106,193,295,133,180,319,123,121,241,434,302,737,98,87,184,1701,1852,3554
Woollahra (A),18500,9,11,19,3,0,0,3,3,3,4,3,9,0,0,0,0,3,8,3,9,9,5,6,10,22,26,46,3,0,4,56,61,112
Yass Valley (A),18710,18,13,31,4,10,13,9,11,20,9,16,26,6,10,17,8,12,19,14,10,18,10,6,16,49,27,73,8,6,14,132,121,255
Unincorporated NSW,19399,0,4,3,0,0,0,0,3,3,0,0,0,0,0,3,3,3,6,0,4,6,0,0,0,3,3,7,0,0,0,13,19,31
No usual address (NSW),19499,33,16,53,20,13,36,129,75,204,72,50,120,54,29,83,17,18,34,17,10,22,24,7,33,30,9,37,81,35,120,485,257,739
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8
Alpine (S),20110,3,3,10,3,3,6,4,6,7,4,3,4,0,4,4,0,7,7,0,4,3,3,0,7,8,3,10,3,0,3,31,35,70
Ararat (RC),20260,3,8,12,3,0,3,5,10,14,0,3,7,11,3,16,0,0,4,0,4,4,3,0,4,3,0,9,50,7,55,84,36,120
Ballarat (C),20570,47,56,102,35,33,66,63,68,133,42,52,97,40,60,108,31,58,87,31,47,77,23,28,50,77,70,145,21,33,55,420,509,924
Banyule (C),20660,32,37,70,19,14,28,29,30,57,20,19,38,18,27,48,14,23,36,15,29,44,16,20,41,66,44,112,12,17,27,243,259,500
Bass Coast (S),20740,17,9,27,4,12,15,6,11,16,8,16,28,13,10,15,9,11,19,11,0,11,10,3,11,13,11,23,9,3,17,102,84,187
Baw Baw (S),20830,25,20,47,8,10,20,19,27,40,12,14,27,5,18,22,4,9,14,14,10,18,22,8,29,25,21,47,8,15,25,147,148,296
Bayside (C),20910,12,7,21,4,4,10,7,5,16,6,6,14,4,3,8,0,3,7,7,4,11,3,6,12,34,13,52,4,5,9,82,67,145
Benalla (RC),21010,5,7,18,5,3,8,10,11,25,8,14,25,7,15,16,3,14,16,3,7,6,3,3,6,10,5,14,4,5,10,64,81,141
Boroondara (C),21110,22,13,31,10,9,14,10,18,24,11,6,18,8,12,21,5,7,14,12,6,16,7,11,17,42,29,78,8,7,15,137,120,259
Brimbank (C),21180,28,41,72,16,22,34,23,32,53,17,40,54,15,28,45,22,27,48,20,26,43,33,19,55,70,36,105,26,19,39,268,283,547
Buloke (S),21270,0,0,0,0,3,3,4,3,10,4,4,7,0,3,3,0,0,3,0,0,4,3,0,3,4,0,3,0,0,0,19,14,37
Campaspe (S),21370,33,39,73,19,18,30,43,40,83,27,37,64,26,36,58,25,32,61,18,19,37,32,21,57,40,28,71,17,15,37,282,286,565
Cardinia (S),21450,33,31,63,4,20,21,18,24,44,19,24,36,19,22,41,8,30,38,12,17,29,44,14,56,76,44,121,8,12,20,242,228,466
Casey (C),21610,69,71,138,23,40,65,43,64,106,31,52,85,27,46,70,41,56,92,47,64,112,54,48,94,137,75,212,30,34,66,503,535,1038
Central Goldfields (S),21670,0,5,6,3,7,4,12,6,14,5,16,21,9,8,19,0,7,7,3,7,15,5,0,3,8,4,12,3,3,11,49,69,114
Colac-Otway (S),21750,8,8,15,5,6,10,4,9,12,6,10,23,14,14,26,9,17,28,4,5,8,7,3,15,18,6,23,3,5,8,79,89,164
Corangamite (S),21830,9,4,8,3,3,8,3,4,8,9,4,12,0,3,3,3,8,14,6,9,8,3,3,8,7,9,13,3,4,4,41,49,91
Darebin (C),21890,33,47,80,25,27,49,53,60,118,48,54,102,31,45,80,32,37,68,27,40,65,28,32,62,96,102,195,20,25,46,396,474,867
East Gippsland (S),22110,42,55,102,23,23,50,70,56,122,48,58,107,41,48,86,27,52,79,38,44,84,24,23,50,55,39,89,29,33,63,396,432,829
Frankston (C),22170,61,59,116,24,29,53,41,53,93,24,35,62,34,63,95,32,53,86,34,42,74,45,31,76,122,80,203,31,21,52,443,478,926
Gannawarra (S),22250,3,12,12,0,3,4,7,11,17,12,5,14,5,7,11,5,10,18,5,3,7,9,3,13,8,3,9,5,5,12,60,70,124
Greater Shepparton (C),22830,80,83,164,38,30,75,86,77,160,75,86,166,72,92,162,36,76,116,63,81,146,65,51,111,90,97,190,65,57,126,687,724,1413
Hepburn (S),22910,0,13,16,4,5,9,3,5,10,0,6,6,6,7,12,5,0,8,0,5,7,6,6,8,7,4,11,0,0,0,36,51,91
Hindmarsh (S),22980,3,5,8,0,0,0,0,8,8,9,5,9,0,4,9,0,4,3,3,3,3,0,0,4,7,8,12,0,3,3,17,37,53
Hobsons Bay (C),23110,21,29,48,5,3,13,25,12,35,16,18,31,10,26,38,10,14,21,8,13,26,24,13,39,48,39,84,4,5,13,169,180,353
Horsham (RC),23190,4,7,7,4,0,8,9,9,23,9,11,28,12,11,22,4,14,18,11,3,10,7,13,20,14,8,24,4,4,9,78,91,168
Hume (C),23270,62,69,133,16,30,50,37,56,92,33,61,93,29,47,72,31,52,79,39,50,84,44,35,75,145,78,223,36,27,65,466,505,970
Indigo (S),23350,9,11,14,6,9,8,3,10,13,3,9,10,3,8,14,3,8,12,4,8,10,6,4,10,9,7,19,17,7,20,58,76,131
Kingston (C) (Vic.),23430,13,33,46,14,8,18,16,21,39,15,29,40,10,20,38,15,14,28,9,13,26,21,19,36,80,38,118,10,13,20,207,214,413
Knox (C),23670,26,32,63,13,20,36,26,36,61,16,21,36,18,24,41,16,25,38,33,23,54,22,19,45,74,26,107,15,19,28,262,244,512
Latrobe (C) (Vic.),23810,54,35,87,20,26,41,66,48,114,36,44,79,28,48,71,21,42,63,22,27,49,15,26,40,73,45,115,30,36,62,357,378,733
Loddon (S),23940,3,7,6,3,0,3,8,4,11,7,6,20,6,7,10,3,4,5,6,3,7,0,3,4,0,0,0,4,0,13,44,42,82
Macedon Ranges (S),24130,18,14,33,4,9,7,4,14,16,5,9,13,12,10,16,0,8,9,3,8,16,10,3,15,34,11,52,7,10,13,100,98,194
Manningham (C),24210,15,15,25,8,3,8,3,10,11,0,0,3,5,7,6,3,11,14,7,5,10,3,6,10,32,14,47,8,12,16,75,74,148
Mansfield (S),24250,0,3,6,0,0,3,0,0,0,0,3,3,4,6,6,0,7,7,3,3,6,0,0,3,9,4,15,0,3,4,16,31,49
Maribyrnong (C),24330,19,20,36,14,8,20,21,20,43,18,14,30,12,9,23,11,15,24,18,8,24,19,17,32,52,43,91,17,4,22,188,151,341
Maroondah (C),24410,23,17,38,7,23,31,12,20,36,10,22,40,18,24,36,6,9,14,15,14,32,18,24,39,61,43,102,14,6,22,187,202,388
Melbourne (C),24600,23,24,44,8,24,31,19,21,41,8,19,26,16,6,21,11,17,28,14,8,22,9,13,26,84,53,130,55,9,63,242,193,433
Melton (C),24650,56,54,106,12,27,38,29,44,73,22,43,65,21,48,69,21,44,64,26,50,73,35,35,66,103,59,163,83,48,134,408,446,856
Mildura (RC),24780,76,72,141,27,40,66,76,99,182,58,91,152,45,73,118,40,89,133,48,67,115,46,40,83,79,74,161,46,60,112,559,704,1256
Mitchell (S),24850,27,20,46,7,12,23,12,11,25,21,22,43,24,20,45,16,22,38,19,21,38,18,12,31,49,25,73,12,9,22,202,183,388
Moira (S),24900,19,15,36,12,6,15,16,15,36,18,23,41,14,25,43,15,16,28,11,11,27,14,12,22,27,15,47,16,12,27,164,154,323
Monash (C),24970,21,15,37,13,10,25,22,20,42,10,20,29,9,16,27,3,14,22,12,12,20,7,7,18,42,31,74,9,11,17,156,155,307
Tamworth Regional (A),17310,172,204,374,95,104,196,208,223,439,187,255,438,143,194,342,120,233,354,183,206,392,168,165,326,325,257,582,192,114,307,1788,1955,3744
Temora (A),17350,3,4,6,0,3,3,7,9,16,5,6,13,5,4,11,3,7,5,3,6,10,0,0,0,10,4,8,9,10,13,51,47,96
