lga_code16,om_uie_75ov_hw_0,om_uie_75ov_hw_1_15,om_uie_75ov_hw_16_24,om_uie_75ov_hw_25_34,om_uie_75ov_hw_35_39,om_uie_75ov_hw_40,om_uie_75ov_hw_41_48,om_uie_75ov_hw_49mor,om_uie_75ov_hw_ns,om_uie_75ov_tot,om_uie_tot_hw_0,om_uie_tot_hw_1_15,om_uie_tot_hw_16_24,om_uie_tot_hw_25_34,om_uie_tot_hw_35_39,om_uie_tot_hw_40,om_uie_tot_hw_41_48,om_uie_tot_hw_49mor,om_uie_tot_hw_ns,om_uie_tot_tot,cfw_15_19_hw_0,cfw_15_19_hw_1_15,cfw_15_19_hw_16_24,cfw_15_19_hw_25_34,cfw_15_19_hw_35_39,cfw_15_19_hw_40,cfw_15_19_hw_41_48,cfw_15_19_hw_49mor,cfw_15_19_hw_ns,cfw_15_19_tot,cfw_20_24_hw_0,cfw_20_24_hw_1_15,cfw_20_24_hw_16_24,cfw_20_24_hw_25_34,cfw_20_24_hw_35_39,cfw_20_24_hw_40,cfw_20_24_hw_41_48,cfw_20_24_hw_49mor,cfw_20_24_hw_ns,cfw_20_24_tot,cfw_25_29_hw_0,cfw_25_29_hw_1_15,cfw_25_29_hw_16_24,cfw_25_29_hw_25_34,cfw_25_29_hw_35_39,cfw_25_29_hw_40,cfw_25_29_hw_41_48,cfw_25_29_hw_49mor,cfw_25_29_hw_ns,cfw_25_29_tot,cfw_30_34_hw_0,cfw_30_34_hw_1_15,cfw_30_34_hw_16_24,cfw_30_34_hw_25_34,cfw_30_34_hw_35_39,cfw_30_34_hw_40,cfw_30_34_hw_41_48,cfw_30_34_hw_49mor,cfw_30_34_hw_ns,cfw_30_34_tot,cfw_35_39_hw_0,cfw_35_39_hw_1_15,cfw_35_39_hw_16_24,cfw_35_39_hw_25_34,cfw_35_39_hw_35_39,cfw_35_39_hw_40,cfw_35_39_hw_41_48,cfw_35_39_hw_49mor,cfw_35_39_hw_ns,cfw_35_39_tot,cfw_40_44_hw_0,cfw_40_44_hw_1_15,cfw_40_44_hw_16_24,cfw_40_44_hw_25_34,cfw_40_44_hw_35_39,cfw_40_44_hw_40,cfw_40_44_hw_41_48,cfw_40_44_hw_49mor,cfw_40_44_hw_ns,cfw_40_44_tot,cfw_45_49_hw_0,cfw_45_49_hw_1_15,cfw_45_49_hw_16_24,cfw_45_49_hw_25_34,cfw_45_49_hw_35_39,cfw_45_49_hw_40,cfw_45_49_hw_41_48,cfw_45_49_hw_49mor,cfw_45_49_hw_ns,cfw_45_49_tot,cfw_50_54_hw_0,cfw_50_54_hw_1_15,cfw_50_54_hw_16_24,cfw_50_54_hw_25_34,cfw_50_54_hw_35_39,cfw_50_54_hw_40,cfw_50_54_hw_41_48,cfw_50_54_hw_49mor,cfw_50_54_hw_ns,cfw_50_54_tot,cfw_55_59_hw_0,cfw_55_59_hw_1_15,cfw_55_59_hw_16_24,cfw_55_59_hw_25_34,cfw_55_59_hw_35_39,cfw_55_59_hw_40,cfw_55_59_hw_41_48,cfw_55_59_hw_49mor,cfw_55_59_hw_ns,cfw_55_59_tot,cfw_60_64_hw_0,cfw_60_64_hw_1_15,cfw_60_64_hw_16_24,cfw_60_64_hw_25_34,cfw_60_64_hw_35_39,cfw_60_64_hw_40,cfw_60_64_hw_41_48,cfw_60_64_hw_49mor,cfw_60_64_hw_ns,cfw_60_64_tot,cfw_65_69_hw_0,cfw_65_69_hw_1_15,cfw_65_69_hw_16_24,cfw_65_69_hw_25_34,cfw_65_69_hw_35_39,cfw_65_69_hw_40,cfw_65_69_hw_41_48,cfw_65_69_hw_49mor,cfw_65_69_hw_ns,cfw_65_69_tot,cfw_70_74_hw_0,cfw_70_74_hw_1_15,cfw_70_74_hw_16_24,cfw_70_74_hw_25_34,cfw_70_74_hw_35_39,cfw_70_74_hw_40,cfw_70_74_hw_41_48,cfw_70_74_hw_49mor,cfw_70_74_hw_ns,cfw_70_74_tot,cfw_75ov_hw_0,cfw_75ov_hw_1_15,cfw_75ov_hw_16_24,cfw_75ov_hw_25_34,cfw_75ov_hw_35_39,cfw_75ov_hw_40,cfw_75ov_hw_41_48,cfw_75ov_hw_49mor,cfw_75ov_hw_ns,cfw_75ov_tot,cfw_tot_hw_0,cfw_tot_hw_1_15,cfw_tot_hw_16_24,cfw_tot_hw_25_34,cfw_tot_hw_35_39,cfw_tot_hw_40,cfw_tot_hw_41_48,cfw_tot_hw_49mor,cfw_tot_hw_ns,cfw_tot_tot,et_ns_15_19_hw_0,et_ns_15_19_hw_1_15,et_ns_15_19_hw_16_24,et_ns_15_19_hw_25_34,et_ns_15_19_hw_35_39,et_ns_15_19_hw_40,et_ns_15_19_hw_41_48,et_ns_15_19_hw_49mor,et_ns_15_19_hw_ns,et_ns_15_19_tot,et_ns_20_24_hw_0,et_ns_20_24_hw_1_15,et_ns_20_24_hw_16_24,et_ns_20_24_hw_25_34,et_ns_20_24_hw_35_39,et_ns_20_24_hw_40,et_ns_20_24_hw_41_48,et_ns_20_24_hw_49mor,et_ns_20_24_hw_ns,et_ns_20_24_tot,et_ns_25_29_hw_0,et_ns_25_29_hw_1_15,et_ns_25_29_hw_16_24,et_ns_25_29_hw_25_34,et_ns_25_29_hw_35_39,et_ns_25_29_hw_40,et_ns_25_29_hw_41_48,et_ns_25_29_hw_49mor,et_ns_25_29_hw_ns,et_ns_25_29_tot,et_ns_30_34_hw_0,et_ns_30_34_hw_1_15,et_ns_30_34_hw_16_24,et_ns_30_34_hw_25_34,et_ns_30_34_hw_35_39,et_ns_30_34_hw_40,et_ns_30_34_hw_41_48,et_ns_30_34_hw_49mor,et_ns_30_34_hw_ns,et_ns_30_34_tot,lga_name16
10850,0,3,3,3,0,0,3,12,0,22,14,30,34,49,16,52,34,123,5,351,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,3,0,5,0,3,0,0,0,0,0,3,0,10,0,3,4,0,0,0,0,4,0,13,0,0,0,4,0,0,0,16,0,24,0,7,0,3,0,0,0,7,0,21,0,3,0,3,0,0,0,10,0,18,0,7,3,3,0,0,0,7,3,23,3,4,0,0,0,0,0,6,7,23,11,36,13,14,11,13,0,55,11,156,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Blayney (A)
10900,0,17,3,8,0,3,0,3,0,32,59,589,342,398,228,369,157,500,39,2671,0,4,0,0,0,0,0,0,0,8,0,5,0,0,0,3,0,0,0,11,0,7,0,0,0,0,0,3,0,15,0,4,3,0,0,0,0,3,0,12,0,14,0,0,3,3,0,9,0,34,0,18,5,3,3,0,0,10,0,40,0,3,9,3,3,3,3,6,4,35,0,11,8,7,3,3,0,10,3,50,3,11,9,3,3,9,3,3,0,42,0,13,5,11,0,4,0,7,0,42,3,19,3,11,0,0,0,5,0,44,0,8,8,0,0,0,0,0,0,25,0,6,3,3,0,3,0,0,6,25,11,124,49,40,20,39,15,59,20,373,3,0,0,0,0,0,0,0,6,5,4,0,0,0,0,3,0,0,3,10,0,0,3,0,0,0,3,0,0,13,0,0,3,0,0,5,0,0,0,8,Blue Mountains (C)
10950,0,0,3,5,0,0,3,10,0,14,3,9,8,16,3,24,8,99,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,3,0,4,0,6,0,0,0,4,0,0,0,3,3,12,0,3,0,4,0,3,0,10,0,18,3,7,3,17,0,5,0,43,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,Bogan (A)
11100,0,7,3,0,0,3,0,0,0,10,20,186,170,171,129,286,103,306,54,1427,0,3,0,0,0,0,0,0,3,6,0,8,3,0,0,0,0,0,0,12,0,0,3,0,0,0,4,0,4,15,0,8,4,0,0,7,0,3,0,23,5,6,5,4,3,0,0,3,3,31,0,8,3,7,3,0,0,4,0,27,0,6,0,0,0,4,0,4,4,21,0,5,0,0,0,0,0,6,0,19,0,8,0,3,3,3,0,3,3,15,0,11,3,4,0,0,0,3,3,23,0,9,4,3,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,0,0,0,14,11,68,25,25,14,15,4,37,26,237,0,3,0,4,0,0,0,0,4,17,0,3,8,0,3,8,0,0,14,47,6,0,3,0,6,7,3,6,17,39,4,0,4,4,9,10,4,7,7,46,Botany Bay (C)
11150,0,0,0,0,0,3,0,0,0,3,3,14,7,7,10,25,3,56,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,32,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,4,4,3,3,0,10,3,22,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,3,0,12,0,0,0,0,0,0,3,10,0,16,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,5,34,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,0,5,3,3,0,0,0,3,0,10,4,32,12,17,18,39,19,121,3,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,4,0,9,0,0,3,0,0,3,0,7,0,18,0,0,0,3,0,0,0,9,0,10,0,3,6,0,0,0,0,4,0,21,0,0,4,0,0,0,0,4,0,12,0,0,0,0,0,0,0,3,3,8,3,20,13,9,3,8,4,41,5,101,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,0,4,0,0,0,4,0,4,0,23,40,150,94,119,88,135,69,260,26,974,3,3,0,0,0,0,0,0,3,11,0,0,3,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,3,0,11,3,5,3,0,0,0,0,3,0,15,0,0,4,0,3,0,0,4,0,10,0,5,3,0,0,3,0,10,0,25,0,3,3,0,0,3,3,6,3,22,3,12,3,3,0,0,0,16,5,40,3,14,3,4,0,0,0,15,4,44,3,15,5,8,5,3,0,14,0,50,3,0,0,0,0,7,0,9,0,28,4,9,8,0,0,0,0,7,5,30,25,77,39,24,11,23,7,82,29,305,0,7,3,0,0,0,0,0,4,20,0,4,0,0,3,0,0,0,3,9,0,0,0,5,0,0,0,0,3,14,0,0,0,3,0,0,0,0,4,8,Kempsey (A)
11250,0,3,0,0,0,0,0,3,0,10,10,57,24,47,31,75,25,104,7,375,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,3,0,3,0,8,0,0,0,5,0,0,3,3,0,9,4,4,0,0,0,3,0,4,0,21,0,3,3,4,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,8,28,9,10,7,6,8,23,0,95,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,10,Broken Hill (C)
13910,3,11,9,9,0,3,3,17,0,50,43,93,70,105,37,144,82,333,25,931,0,7,0,0,0,3,0,0,0,13,0,7,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,0,3,3,0,10,0,3,6,0,0,3,4,10,0,27,0,6,3,0,3,3,3,14,0,37,0,3,3,7,0,7,3,10,0,38,0,7,3,3,0,3,3,21,0,56,0,5,0,3,0,8,0,23,3,43,3,8,7,3,3,4,3,24,3,53,4,12,3,12,3,5,0,18,3,58,0,8,5,3,10,4,3,7,0,45,0,9,9,3,3,14,0,10,6,48,8,84,44,42,17,60,22,143,23,439,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,Hilltops (A)
