lga_code_2016,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total,lga_name16
10950,3,10,142,420,245,42,8,95,968,0,4,21,7,0,0,0,8,31,0,0,0,0,0,0,0,0,4,0,5,22,7,0,0,0,5,40,0,10,12,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,6,34,3,8,4,7,0,0,0,36,57,0,0,3,4,3,0,0,4,17,5,31,185,435,248,42,8,151,1112,Bogan (A)
11100,14,40,791,2706,1296,408,137,290,5683,8,64,402,442,105,19,5,75,1118,0,107,173,613,176,12,0,75,1155,7,167,572,1053,285,29,5,149,2277,66,292,926,208,24,10,8,120,1652,27,252,1999,592,11,0,0,297,3186,19,904,2494,567,10,3,0,448,4446,0,0,0,0,3,0,0,0,8,113,1456,5424,1364,45,10,8,860,9289,0,24,47,27,13,3,0,21,137,0,19,28,13,10,3,0,12,79,142,1706,6859,5163,1643,459,155,1334,17464,Botany Bay (C)
11150,0,27,99,340,206,44,22,193,925,0,3,7,3,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,8,23,0,14,11,0,4,0,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,4,0,0,6,37,19,35,7,12,5,0,0,47,127,3,3,0,3,4,3,0,3,22,19,85,126,363,214,46,22,256,1135,Bourke (A)
11200,3,20,79,232,143,21,11,60,559,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,12,0,0,0,0,3,10,6,5,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,22,0,0,0,0,0,41,0,3,0,3,4,0,0,3,13,0,0,0,0,0,0,0,0,4,9,27,112,234,148,21,11,65,617,Brewarrina (A)
11250,8,143,1323,3843,1143,171,39,496,7163,3,28,70,33,7,0,0,18,172,0,0,5,6,0,0,0,4,23,7,31,79,35,6,0,0,26,193,3,87,76,5,4,0,0,38,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,76,5,4,0,0,38,219,32,39,11,12,3,0,0,32,123,3,3,10,5,3,0,0,21,46,48,306,1491,3902,1156,176,41,611,7738,Broken Hill (C)
13910,31,108,790,2893,1899,413,97,506,6743,3,39,153,88,8,3,0,49,345,0,0,3,3,0,0,0,0,3,3,39,155,91,8,3,0,49,345,3,40,196,49,0,0,3,36,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,196,49,0,0,3,36,328,11,16,9,14,5,0,5,22,80,3,0,17,9,7,3,0,14,60,50,207,1167,3062,1921,425,107,619,7562,Hilltops (A)
14000,30,309,1744,10921,15653,4549,980,1060,35240,3,214,347,396,64,6,4,122,1153,9,116,422,2066,357,27,7,129,3135,13,329,770,2463,421,37,9,254,4293,22,424,620,263,19,3,4,132,1485,86,422,2478,354,5,0,3,217,3568,54,623,2268,318,6,0,0,174,3442,4,14,8,10,4,0,0,9,48,169,1478,5376,947,35,3,7,527,8548,13,30,59,29,11,3,0,48,193,3,25,34,35,24,7,0,42,169,227,2171,7983,14393,16144,4593,999,1937,48443,Hornsby (A)
14100,0,14,205,937,1088,440,113,136,2925,0,4,22,35,17,0,0,3,91,0,38,186,339,58,9,0,35,665,0,48,206,374,82,11,0,37,757,3,78,228,36,0,0,0,44,392,0,61,136,72,4,0,0,31,302,24,160,152,30,0,0,0,32,396,0,3,0,0,0,0,0,0,0,25,305,513,133,3,0,0,108,1099,0,0,0,3,0,0,0,4,7,0,0,5,7,6,0,0,4,24,25,364,935,1460,1179,452,113,283,4809,Hunters Hill (A)
14170,27,249,3036,8268,4238,915,284,1026,18040,32,566,5417,4969,1126,154,42,738,13042,23,402,2834,4750,1708,278,56,817,10875,57,971,8255,9716,2835,431,94,1553,23916,344,2864,4663,882,152,33,24,1349,10311,365,2588,7088,747,44,7,13,1277,12127,277,2116,3586,719,25,5,3,827,7565,15,151,131,45,14,8,6,75,446,1006,7707,15469,2394,232,51,55,3529,30447,24,267,379,235,62,17,11,262,1264,21,102,119,62,33,5,21,248,617,1134,9301,27263,20679,7403,1427,465,6620,74288,Inner West (A)
14200,10,98,710,2634,1501,284,61,491,5796,0,36,50,49,3,0,0,18,154,0,3,14,4,0,0,0,4,24,0,39,63,51,4,0,0,25,184,7,107,198,24,7,0,0,58,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,107,200,24,7,0,0,58,397,20,38,13,11,5,0,0,30,121,3,9,29,49,19,0,0,9,119,44,299,1009,2772,1537,287,61,608,6618,Inverell (A)
14300,0,23,229,865,546,85,15,216,1980,0,20,12,10,0,0,0,6,41,0,0,0,4,0,0,0,0,4,0,20,12,11,0,0,0,6,46,0,5,19,0,0,0,0,9,41,0,3,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,15,46,0,0,0,3,0,0,0,5,11,0,4,3,4,3,0,0,0,15,7,56,261,882,553,85,16,235,2096,Junee (A)
14350,54,240,1529,4940,2195,352,94,913,10321,5,52,254,45,3,0,0,57,413,0,5,39,10,0,0,0,10,65,5,58,294,52,3,0,0,68,484,4,81,210,87,4,0,3,51,441,0,3,22,24,5,0,0,3,58,0,10,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,3,91,235,106,10,0,3,65,522,73,95,38,25,11,0,0,92,326,22,38,28,45,17,6,0,39,193,160,523,2131,5167,2228,361,100,1166,11837,Kempsey (A)
14400,7,61,420,2579,2353,555,100,327,6393,0,0,86,130,16,3,0,16,250,0,11,202,388,44,6,0,39,689,0,14,288,512,56,5,0,50,936,4,53,225,73,8,0,3,64,441,0,3,51,27,0,0,0,21,104,6,61,90,22,0,0,0,31,215,0,0,0,0,0,0,0,0,0,9,122,370,127,11,0,3,112,753,9,22,47,19,4,0,0,18,123,0,13,10,15,7,0,18,26,83,27,223,1127,3253,2436,559,126,530,8293,Kiama (A)
14500,15,108,830,7074,12856,6015,1253,757,28912,0,32,134,100,18,4,0,25,310,0,25,218,794,174,17,6,69,1309,0,56,352,893,194,26,6,92,1619,15,175,650,582,33,3,0,114,1570,26,180,820,515,11,0,0,114,1676,3,751,2948,1706,48,0,3,317,5770,0,0,0,0,0,0,0,0,0,48,1106,4418,2808,88,8,4,538,9015,3,10,6,8,0,0,0,3,30,0,20,20,9,12,5,3,14,83,65,1302,5621,10785,13155,6052,1270,1412,39667,Ku-ring-gai (A)
14550,39,178,677,1575,701,121,23,359,3673,0,3,12,3,0,0,0,3,21,0,0,0,0,0,0,0,0,4,0,3,13,0,0,0,0,3,23,0,12,37,12,0,0,0,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,12,0,0,0,15,74,17,25,18,10,4,0,0,15,94,0,3,8,13,0,0,0,4,30,52,220,755,1612,709,120,23,405,3899,Kyogle (A)
14600,3,41,280,946,552,122,47,287,2280,0,0,4,3,3,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,10,19,6,23,24,8,0,0,0,13,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,30,8,0,0,0,13,75,9,3,7,3,3,0,0,17,41,0,3,19,34,16,0,3,3,73,14,68,342,995,572,124,50,323,2487,Lachlan (A)
14650,72,761,7064,29449,19865,3785,666,2413,64071,7,582,2795,1347,73,18,6,354,5183,5,187,767,970,121,9,10,159,2220,19,768,3560,2316,193,21,15,508,7406,26,631,1026,251,28,5,8,216,2183,7,72,127,64,0,3,0,13,277,0,103,191,130,3,0,0,32,465,0,17,12,9,4,0,0,6,47,35,818,1354,454,38,9,6,265,2976,37,236,265,56,28,4,3,185,815,0,30,30,54,13,4,9,37,176,169,2618,12267,32326,20135,3819,697,3410,75444,Lake Macquarie (C)
14700,9,37,431,1866,2219,955,173,182,5881,0,3,88,91,25,4,0,6,209,3,81,89,315,36,7,0,34,566,3,83,179,400,59,11,0,40,777,28,232,502,167,9,0,0,103,1044,72,299,1787,438,22,0,3,194,2816,26,864,1916,500,14,0,3,228,3550,0,5,11,9,5,0,0,0,44,128,1407,4222,1110,50,8,5,525,7453,0,3,6,4,0,0,0,7,23,5,15,11,13,4,3,3,6,70,152,1553,4852,3398,2327,972,180,767,14199,Lane Cove (A)
14750,3,31,303,1594,1116,204,44,374,3670,0,19,96,43,4,0,0,16,185,0,0,20,0,0,0,0,0,20,0,19,116,45,4,0,0,16,206,3,43,109,45,6,0,0,34,241,0,0,5,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,114,45,6,0,0,39,249,3,21,5,4,0,4,0,19,64,0,0,12,6,11,0,3,10,44,13,120,550,1702,1141,208,48,452,4232,Leeton (A)
14850,82,336,1619,6554,3691,769,141,1111,14302,9,133,641,249,21,0,0,137,1194,7,39,210,176,10,3,0,49,499,17,170,846,419,35,5,3,187,1688,23,139,323,110,18,3,6,153,774,0,20,69,0,0,0,0,12,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,23,152,395,110,19,3,6,171,879,62,118,69,77,47,9,3,134,527,4,19,29,24,8,5,6,18,110,186,799,2961,7186,3798,793,161,1623,17508,Lismore (C)
14870,12,123,1261,3238,1660,271,74,748,7393,10,64,234,123,3,0,3,63,492,4,25,35,25,0,0,0,14,94,11,81,263,147,3,0,3,69,589,5,26,58,18,0,0,0,28,131,0,8,10,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,70,16,0,0,0,30,160,16,27,38,163,92,14,0,69,421,3,3,10,32,10,4,0,8,74,50,273,1646,3600,1766,285,80,929,8627,Lithgow (C)
14900,65,280,1311,15936,20930,4136,833,3005,46492,27,119,348,597,40,10,3,143,1293,14,262,1091,2791,638,36,12,542,5388,40,383,1440,3388,676,43,13,683,6676,128,396,726,188,12,3,6,328,1779,47,242,3077,317,10,0,3,811,4501,10,193,1470,625,11,0,0,557,2860,0,15,22,19,0,0,0,13,77,184,845,5294,1140,33,5,8,1708,9219,0,19,28,40,21,0,0,46,163,23,96,52,36,49,7,3,123,376,305,1625,8123,20539,21714,4191,861,5570,62933,Liverpool (C)
14920,11,51,409,1397,729,100,33,287,3014,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,20,40,7,3,4,0,11,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,7,3,4,0,11,91,4,7,3,5,5,0,3,14,42,0,0,0,7,3,0,0,0,7,17,84,475,1412,742,106,37,310,3174,Liverpool Plains (A)
14950,3,19,121,516,323,79,14,102,1175,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,12,9,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,3,25,0,3,0,7,3,0,0,0,19,0,0,0,4,3,0,0,3,10,7,31,124,526,331,81,14,116,1226,Lockhart (A)
15050,16,167,1378,10056,10188,1450,246,1157,24664,5,133,972,682,64,3,0,182,2045,3,148,244,109,11,0,0,43,567,7,283,1220,797,79,3,3,224,2611,7,237,257,31,7,0,3,102,650,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,4,39,0,3,0,0,0,0,0,0,6,6,257,271,34,12,0,3,112,690,15,27,11,32,17,0,0,48,149,3,45,176,26,18,0,3,106,389,52,784,3062,10943,10312,1456,250,1644,28503,Maitland (C)
15240,98,489,3629,14868,8309,1397,282,2046,31122,12,242,1426,1111,47,4,0,272,3107,3,34,185,236,44,0,0,57,567,14,278,1609,1349,90,8,0,328,3682,32,348,914,233,12,3,3,229,1775,7,29,284,63,7,0,0,65,454,0,28,296,99,9,0,0,50,478,0,3,3,0,0,0,0,0,5,39,401,1501,398,22,7,3,349,2719,114,293,305,124,31,10,6,257,1143,7,30,71,92,37,15,6,76,326,283,1493,7112,16833,8486,1430,296,3057,38993,Mid-Coast (A)
15270,27,194,1102,3570,2455,457,110,944,8863,6,52,156,88,5,3,0,54,372,0,6,6,5,3,0,0,3,23,6,55,167,96,8,3,0,58,390,3,39,113,51,3,0,0,45,261,0,4,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,113,51,3,0,0,45,264,9,47,35,18,13,0,0,80,196,0,9,21,20,12,0,3,32,108,48,347,1439,3763,2491,463,110,1167,9825,Mid-Western Regional (A)
15300,12,78,441,1678,1179,215,64,568,4238,0,11,62,73,49,16,3,45,261,0,0,6,8,0,0,0,0,17,0,12,69,79,57,17,3,46,277,16,77,272,46,3,0,0,118,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,79,274,45,3,0,0,118,530,32,53,21,26,5,0,4,82,231,8,17,10,14,7,0,3,9,71,72,235,810,1854,1252,231,75,820,5351,Moree Plains (A)
15350,3,14,192,991,1678,869,156,193,4087,0,12,167,419,108,13,0,36,751,0,9,90,372,131,15,6,38,662,0,12,255,789,231,26,6,79,1406,14,251,741,371,47,14,6,150,1591,22,744,1486,325,15,0,0,289,2878,16,609,734,199,8,0,0,176,1737,0,11,21,12,0,0,0,6,47,55,1612,2979,904,70,14,9,620,6259,3,16,28,9,0,0,0,9,63,0,5,7,9,4,3,0,4,35,62,1658,3455,2706,1977,912,168,907,11849,Mosman (A)
