lga_code16,tot_mgr,tot_pfn,tot_tch_trwk,tot_co_pswk,tot_cl_adwk,tot_sal,tot_mchop,tot_lab,tot_inad_ns,tot_to,lga_name16
16490,4624,5847,3913,2990,5324,2319,1376,2140,665,29192,Queanbeyan-Palerang Regional (A)
16550,10476,23564,6195,6666,9226,5568,1894,3251,1088,67935,Randwick (C)
16610,965,989,1116,1010,925,798,703,1675,154,8334,Richmond Valley (A)
16650,6168,12004,6285,5288,7902,5370,3314,5476,1133,52939,Rockdale (C)
16700,8224,19164,5721,4807,8711,5006,1611,3095,1026,57370,Ryde (C)
16900,2617,4187,5124,3831,3929,3312,2649,3152,461,29260,Shellharbour (C)
16950,4138,6085,6154,4972,4091,3862,1952,4057,618,35926,Shoalhaven (C)
17000,1193,1350,1918,1410,1185,856,1872,1067,170,11027,Singleton (A)
17040,2992,3215,2112,2012,1740,1315,976,1474,260,16098,Snowy Monaro Regional (A)
17080,1029,756,855,569,561,431,719,954,110,5979,Snowy Valleys (A)
17420,13919,23071,8336,6209,12953,7660,2433,3784,1364,79729,The Hills Shire (A)
17550,3964,6293,5580,4952,4413,3986,2030,4200,610,36033,Tweed (A)
17620,1022,778,1056,466,599,442,825,1021,95,6302,Upper Hunter Shire (A)
17640,934,436,482,368,371,200,224,406,57,3474,Upper Lachlan Shire (A)
17650,496,415,357,266,322,204,127,359,40,2588,Uralla (A)
17750,3618,5951,4766,4379,3655,3155,1637,3109,394,30666,Wagga Wagga (C)
17850,487,157,156,97,126,82,89,219,16,1424,Walcha (A)
17900,491,304,204,287,210,121,187,287,58,2141,Walgett (A)
17950,346,137,138,96,103,64,92,138,21,1131,Warren (A)
18020,873,467,345,369,279,220,227,476,68,3322,Warrumbungle Shire (A)
18050,7095,13976,2634,3171,3797,2837,523,1366,648,36053,Waverley (A)
18100,465,170,160,101,130,85,97,169,11,1400,Weddin (A)
18200,625,379,400,270,301,231,252,419,60,2942,Wentworth (A)
18230,2931,3968,3178,2822,2862,2384,1321,2476,368,22300,Western Plains Regional (A)
18250,6918,14459,2305,2662,4496,2932,529,1312,695,36319,Willoughby (C)
18350,2959,4094,3266,2212,2306,1987,1186,2097,323,20419,Wingecarribee (A)
18400,2987,3533,4331,2405,3505,2039,2247,2274,437,23752,Wollondilly (A)
18450,9088,20245,12921,10863,11942,7900,5423,7744,1358,87495,Wollongong (C)
18500,6334,11729,1209,1827,3143,2172,236,544,561,27741,Woollahra (A)
18710,1560,1672,1078,858,1199,521,353,651,175,8050,Yass Valley (A)
19399,244,77,69,40,43,24,22,135,12,664,Unincorporated NSW
20110,1063,968,929,685,559,535,389,721,105,5952,Alpine (S)
20260,836,651,556,729,394,386,295,790,79,4725,Ararat (RC)
20570,4788,9671,6360,5620,5561,4779,2312,4605,688,44388,Ballarat (C)
20660,7896,17597,7118,5916,8636,5138,1821,3396,892,58414,Banyule (C)
20740,1765,1936,2123,1551,1281,1433,633,1550,219,12486,Bass Coast (S)
20830,3150,3512,3428,2231,2345,1735,1434,2698,350,20888,Baw Baw (S)
20910,10039,15256,3158,3930,5806,4390,642,1445,687,45354,Bayside (C)
21010,882,853,876,642,601,487,406,738,96,5577,Benalla (RC)
21110,15186,31921,4783,6668,10295,7451,990,2741,1297,81338,Boroondara (C)
21180,6603,11571,11053,8468,10943,8005,9364,11800,1973,79781,Brimbank (C)
21270,710,343,250,211,215,177,167,326,44,2437,Buloke (S)
21370,2836,2114,2306,1732,1522,1581,1152,2344,233,15824,Campaspe (S)
21450,5197,6441,8102,4707,6268,4571,3681,4775,686,44425,Cardinia (S)
21610,14009,20543,22392,14900,19986,14178,13049,15600,2408,137066,Casey (C)
21670,540,481,726,569,404,491,301,771,75,4352,Central Goldfields (S)
21750,1591,1171,1287,1123,869,810,678,1719,182,9430,Colac-Otway (S)
21830,1971,800,830,611,514,516,518,1122,124,7000,Corangamite (S)
21890,8664,21326,7717,7340,9060,6317,2833,5400,1149,69808,Darebin (C)
22110,2546,2560,2460,2149,1842,1696,1009,2303,285,16862,East Gippsland (S)
22170,6875,10252,10830,7383,8830,6981,4367,6274,1056,62848,Frankston (C)
22250,1066,498,559,405,419,364,317,648,58,4326,Gannawarra (S)
