lga_code16,p_ewft_35_39_es_ns,p_ewft_35_39_tot,p_ewft_40_44_e,p_ewft_40_44_om_ie,p_ewft_40_44_om_uie,p_ewft_40_44_cfw,p_ewft_40_44_es_ns,p_ewft_40_44_tot,p_ewft_45_49_e,p_ewft_45_49_om_ie,p_ewft_45_49_om_uie,p_ewft_45_49_cfw,p_ewft_45_49_es_ns,p_ewft_45_49_tot,p_ewft_50_54_e,p_ewft_50_54_om_ie,p_ewft_50_54_om_uie,p_ewft_50_54_cfw,p_ewft_50_54_es_ns,p_ewft_50_54_tot,p_ewft_55_59_e,p_ewft_55_59_om_ie,p_ewft_55_59_om_uie,p_ewft_55_59_cfw,p_ewft_55_59_es_ns,p_ewft_55_59_tot,p_ewft_60_64_e,p_ewft_60_64_om_ie,p_ewft_60_64_om_uie,p_ewft_60_64_cfw,p_ewft_60_64_es_ns,p_ewft_60_64_tot,p_ewft_65_69_e,p_ewft_65_69_om_ie,p_ewft_65_69_om_uie,p_ewft_65_69_cfw,p_ewft_65_69_es_ns,p_ewft_65_69_tot,p_ewft_70_74_e,p_ewft_70_74_om_ie,p_ewft_70_74_om_uie,p_ewft_70_74_cfw,p_ewft_70_74_es_ns,p_ewft_70_74_tot,p_ewft_75ov_e,p_ewft_75ov_om_ie,p_ewft_75ov_om_uie,p_ewft_75ov_cfw,p_ewft_75ov_es_ns,p_ewft_75ov_tot,p_ewft_tot_e,p_ewft_tot_om_ie,p_ewft_tot_om_uie,p_ewft_tot_cfw,p_ewft_tot_es_ns,p_ewft_tot_tot,p_ewpt_15_19_e,p_ewpt_15_19_om_ie,p_ewpt_15_19_om_uie,p_ewpt_15_19_cfw,p_ewpt_15_19_es_ns,p_ewpt_15_19_tot,p_ewpt_20_24_e,p_ewpt_20_24_om_ie,p_ewpt_20_24_om_uie,p_ewpt_20_24_cfw,p_ewpt_20_24_es_ns,p_ewpt_20_24_tot,p_ewpt_25_29_e,p_ewpt_25_29_om_ie,p_ewpt_25_29_om_uie,p_ewpt_25_29_cfw,p_ewpt_25_29_es_ns,p_ewpt_25_29_tot,p_ewpt_30_34_e,p_ewpt_30_34_om_ie,p_ewpt_30_34_om_uie,p_ewpt_30_34_cfw,p_ewpt_30_34_es_ns,p_ewpt_30_34_tot,p_ewpt_35_39_e,p_ewpt_35_39_om_ie,p_ewpt_35_39_om_uie,p_ewpt_35_39_cfw,p_ewpt_35_39_es_ns,p_ewpt_35_39_tot,p_ewpt_40_44_e,p_ewpt_40_44_om_ie,p_ewpt_40_44_om_uie,p_ewpt_40_44_cfw,p_ewpt_40_44_es_ns,p_ewpt_40_44_tot,p_ewpt_45_49_e,p_ewpt_45_49_om_ie,p_ewpt_45_49_om_uie,p_ewpt_45_49_cfw,p_ewpt_45_49_es_ns,p_ewpt_45_49_tot,p_ewpt_50_54_e,p_ewpt_50_54_om_ie,p_ewpt_50_54_om_uie,p_ewpt_50_54_cfw,p_ewpt_50_54_es_ns,p_ewpt_50_54_tot,p_ewpt_55_59_e,p_ewpt_55_59_om_ie,p_ewpt_55_59_om_uie,p_ewpt_55_59_cfw,p_ewpt_55_59_es_ns,p_ewpt_55_59_tot,p_ewpt_60_64_e,p_ewpt_60_64_om_ie,p_ewpt_60_64_om_uie,p_ewpt_60_64_cfw,p_ewpt_60_64_es_ns,p_ewpt_60_64_tot,p_ewpt_65_69_e,p_ewpt_65_69_om_ie,p_ewpt_65_69_om_uie,p_ewpt_65_69_cfw,p_ewpt_65_69_es_ns,p_ewpt_65_69_tot,p_ewpt_70_74_e,p_ewpt_70_74_om_ie,p_ewpt_70_74_om_uie,p_ewpt_70_74_cfw,p_ewpt_70_74_es_ns,p_ewpt_70_74_tot,p_ewpt_75ov_e,p_ewpt_75ov_om_ie,p_ewpt_75ov_om_uie,p_ewpt_75ov_cfw,p_ewpt_75ov_es_ns,p_ewpt_75ov_tot,p_ewpt_tot_e,p_ewpt_tot_om_ie,p_ewpt_tot_om_uie,p_ewpt_tot_cfw,p_ewpt_tot_es_ns,p_ewpt_tot_tot,p_eafw_e,p_eafw_om_ie,p_eafw_om_uie,p_eafw_cfw,p_eafw_es_ns,p_eafw_tot,p_h_ns_e,p_h_ns_om_ie,p_h_ns_om_uie,p_h_ns_cfw,p_h_ns_es_ns,p_h_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10850,3,212,216,10,10,3,3,250,224,20,17,9,0,273,148,16,23,6,4,204,130,16,28,20,0,199,78,18,41,9,0,144,9,8,22,11,0,54,0,6,21,9,0,34,3,4,14,4,5,30,1541,115,220,79,19,1976,92,0,0,3,0,96,40,0,3,0,0,44,38,0,6,0,0,50,43,4,0,3,0,52,43,3,5,0,3,61,50,3,14,0,0,78,52,3,11,3,0,66,66,3,11,5,0,82,42,0,13,5,0,61,38,0,17,12,0,59,12,7,7,6,0,36,14,3,11,7,0,39,9,0,8,10,0,22,542,29,104,56,7,753,103,7,14,11,0,129,36,0,5,11,12,69,2223,152,351,156,40,2922,Blayney (A)
10900,11,809,683,166,173,16,6,1038,839,128,174,16,10,1168,790,172,183,23,11,1175,756,139,176,23,5,1098,401,114,141,10,4,675,151,51,61,6,3,270,19,15,15,5,0,60,19,5,4,3,0,33,6310,971,1247,129,64,8722,1052,3,12,3,0,1068,895,3,25,9,0,941,479,4,40,12,4,529,419,24,101,7,3,550,467,43,119,14,11,652,602,53,130,23,6,817,623,61,195,12,3,889,616,58,142,27,3,852,615,48,168,23,5,858,548,73,181,24,4,832,296,60,136,29,8,529,99,36,53,12,8,210,36,22,25,17,3,100,6754,482,1324,213,61,8834,497,19,59,11,11,610,193,9,39,20,35,289,13743,1485,2671,373,178,18452,Blue Mountains (C)
10950,0,68,75,0,13,4,0,101,83,7,20,5,0,114,76,6,24,8,4,119,56,3,20,5,0,80,23,7,15,5,0,53,9,3,9,3,0,29,0,0,7,3,0,8,0,0,14,11,0,19,659,34,140,51,12,900,26,0,0,0,0,26,21,0,0,0,0,21,22,0,0,0,3,20,27,0,3,4,0,33,13,0,0,0,0,15,35,0,0,0,0,40,31,3,8,0,0,40,27,4,0,0,0,27,12,0,0,0,0,20,21,0,6,0,0,28,7,0,8,0,0,19,0,0,3,5,0,11,0,0,6,4,0,12,247,9,32,26,8,321,32,0,3,3,0,40,17,5,0,8,6,33,956,52,173,83,27,1298,Bogan (A)
11100,15,4387,4014,249,118,9,13,4409,3716,312,118,3,25,4180,3329,251,131,6,18,3733,2653,209,85,3,28,2982,1317,119,65,7,12,1514,486,75,30,4,4,601,88,17,19,0,0,128,13,17,7,4,0,42,29913,1757,823,72,181,32744,868,0,6,3,12,891,1809,7,18,10,19,1863,1291,16,44,8,6,1367,1040,39,43,14,9,1140,997,49,66,12,9,1137,1091,43,75,11,14,1233,1161,48,56,8,14,1284,982,43,58,3,4,1100,788,35,64,10,8,906,503,41,50,16,11,609,251,25,32,17,10,333,92,16,12,3,3,128,30,21,10,9,0,69,10892,395,528,127,113,12046,1643,26,20,11,24,1734,741,47,54,26,116,980,43190,2223,1427,237,427,47503,Botany Bay (C)
11150,0,77,59,7,6,5,0,74,61,12,8,5,0,84,75,5,16,3,0,94,45,3,18,7,3,79,35,7,11,9,0,54,12,0,13,3,0,26,3,0,0,4,0,7,3,0,3,0,0,8,565,41,95,36,12,752,12,0,0,0,0,12,16,0,0,0,0,16,24,0,0,0,0,30,20,0,0,0,0,18,18,0,3,0,0,19,15,0,3,0,0,21,14,0,6,0,0,16,19,0,0,3,5,29,14,0,5,0,0,19,11,0,0,0,0,12,16,0,5,0,0,21,8,0,0,0,0,8,3,0,0,3,0,6,190,3,30,9,5,235,29,0,3,0,0,31,15,0,0,0,6,28,804,41,125,50,24,1047,Bourke (A)
11200,0,25,25,0,3,0,0,30,34,0,5,3,0,49,27,7,8,3,0,52,29,4,8,6,0,49,20,0,0,9,0,30,5,3,0,5,0,17,0,3,0,0,0,7,0,0,0,0,0,0,247,18,41,38,6,351,0,0,0,0,0,0,5,0,0,0,0,5,13,0,0,0,0,13,3,0,0,0,0,3,9,0,0,0,0,9,5,0,0,0,0,5,17,0,0,0,3,19,6,0,3,0,0,9,11,0,0,0,0,13,3,0,0,0,0,5,6,0,7,0,0,6,0,0,0,5,0,6,0,0,0,0,0,4,87,6,10,5,3,107,13,0,4,3,0,18,10,0,3,6,3,22,361,23,57,52,11,499,Brewarrina (A)
11250,4,391,372,22,28,7,5,430,431,24,20,4,9,481,472,41,26,8,5,553,453,48,39,3,11,555,258,26,29,10,3,326,62,17,13,5,0,95,11,0,12,0,0,25,3,3,4,3,0,10,3731,212,227,40,47,4261,240,0,0,3,4,251,182,0,3,0,0,189,176,3,6,3,4,191,164,4,10,3,3,183,148,0,12,0,7,166,162,3,22,4,0,186,178,10,13,0,3,206,174,0,10,3,0,196,209,3,19,3,3,236,116,10,14,8,3,149,70,10,12,10,0,96,27,0,4,0,0,36,5,0,4,5,4,14,1851,43,131,43,35,2111,273,11,10,8,13,315,117,4,7,0,33,163,5976,267,375,95,128,6845,Broken Hill (C)
13910,3,386,307,54,64,20,3,445,340,40,77,21,13,490,360,46,83,34,8,530,288,49,71,27,7,442,180,47,78,29,8,346,54,29,60,22,7,176,7,5,31,28,5,75,4,7,22,22,3,58,2879,371,598,245,60,4154,228,0,0,8,3,239,140,0,4,8,4,153,110,0,9,4,0,130,151,9,11,4,0,176,170,6,24,9,3,215,185,8,30,13,0,232,176,11,27,18,3,235,213,13,24,16,8,270,220,7,28,6,4,268,133,13,43,12,0,207,79,10,32,25,3,149,15,3,23,18,3,62,12,0,23,23,3,56,1839,94,263,167,36,2394,164,13,43,8,9,242,109,8,25,23,13,176,4992,485,931,439,112,6958,Hilltops (A)
14000,13,2456,2110,380,228,23,16,2756,2244,462,262,32,16,3009,2079,475,275,37,13,2877,1894,420,249,41,22,2621,1077,278,156,20,12,1539,364,151,73,10,8,601,81,64,29,9,3,189,21,25,25,13,3,80,18649,2782,1693,220,145,23490,2370,0,33,14,10,2424,2111,10,58,13,15,2213,960,16,68,11,10,1060,893,48,120,24,7,1094,929,109,156,26,16,1224,1138,144,253,50,8,1592,1254,115,254,47,6,1678,1078,161,223,38,7,1507,1037,142,199,50,12,1442,857,148,203,43,9,1254,500,121,138,36,3,806,197,67,77,36,6,372,84,31,55,20,8,202,13402,1110,1834,398,120,16867,1040,79,90,34,12,1251,489,54,45,36,52,681,33580,4022,3662,684,334,42292,Hornsby (A)
14100,0,242,201,39,25,0,0,267,229,58,30,3,0,319,213,59,18,3,4,293,190,52,28,7,0,275,107,19,12,4,0,135,55,21,6,0,0,92,15,5,7,5,0,30,4,3,0,0,0,12,1816,326,169,27,7,2343,116,0,0,0,3,121,185,0,4,0,0,195,119,0,9,0,0,130,113,5,13,0,0,138,104,13,21,3,0,139,116,11,19,3,0,152,152,15,25,7,0,200,143,28,21,3,0,189,144,17,21,9,0,194,127,25,14,11,0,173,73,22,22,4,0,121,33,15,9,3,0,64,13,13,11,0,0,40,1438,163,191,44,13,1845,112,4,3,6,0,130,47,9,5,9,8,75,3414,498,373,86,24,4397,Hunters Hill (A)
14170,20,4636,3292,740,451,38,40,4550,3141,776,479,50,36,4484,3091,754,488,59,36,4436,2579,546,398,33,24,3584,1449,327,262,38,11,2084,525,209,125,19,9,882,128,77,44,9,6,273,44,34,11,14,3,99,29549,4700,3281,338,255,38125,1658,4,32,13,13,1720,2912,21,90,12,16,3062,2167,49,204,20,15,2458,1660,83,281,38,22,2088,1441,142,324,36,12,1963,1513,167,363,47,13,2114,1303,190,325,50,13,1881,1211,166,302,47,16,1735,1094,157,274,30,7,1563,923,160,264,42,7,1397,523,134,180,36,20,884,204,72,92,19,11,403,87,35,50,21,3,190,16693,1381,2780,421,178,21451,1352,86,138,25,24,1633,840,82,108,50,116,1194,48432,6252,6302,845,573,62403,Inner West (A)
14200,7,338,301,25,46,20,3,398,364,36,52,20,5,484,332,43,65,22,9,469,296,32,83,20,5,441,162,28,59,22,5,277,46,23,40,14,3,123,0,11,23,15,0,51,3,4,21,17,0,49,2741,243,504,176,44,3710,247,0,0,3,0,255,185,0,3,0,5,198,126,3,9,0,3,141,168,4,18,0,3,190,144,4,16,12,0,177,175,12,20,6,3,211,167,4,9,3,3,187,197,5,9,5,9,225,184,12,30,15,0,243,113,6,22,12,5,167,52,9,32,6,4,97,24,8,17,11,0,61,7,7,11,20,0,40,1790,71,208,89,33,2197,195,6,12,14,3,231,105,6,8,25,39,180,4834,326,737,304,119,6324,Inverell (A)
14300,0,103,95,9,15,3,0,127,112,14,26,5,3,160,95,13,26,4,0,132,86,10,24,9,0,139,41,9,26,9,0,84,11,7,12,5,0,36,3,6,14,4,0,22,0,0,0,7,0,12,865,72,193,58,16,1200,49,0,0,0,0,54,45,0,3,0,0,47,37,3,3,0,0,48,35,0,3,3,0,42,28,0,9,3,0,45,33,0,4,0,0,38,29,0,3,3,0,38,40,0,3,0,0,49,41,3,10,3,0,61,24,0,12,4,0,40,12,3,5,7,0,36,3,0,3,8,0,14,0,0,6,4,0,14,392,18,65,37,4,524,51,4,4,3,0,70,24,3,3,5,0,40,1337,105,260,101,24,1836,Junee (A)
14350,10,450,493,43,71,7,5,613,518,49,63,10,10,652,533,56,88,15,6,691,480,55,88,15,3,644,266,32,66,19,7,388,79,19,43,26,0,162,7,8,30,11,0,59,12,5,14,7,0,31,3892,324,553,119,53,4951,404,0,3,3,12,425,255,0,7,3,4,266,208,0,13,4,7,229,211,5,21,5,3,245,245,5,21,7,9,292,258,6,34,4,7,319,269,15,38,10,4,342,368,13,44,4,7,441,381,20,50,16,8,477,246,19,57,18,5,345,118,13,45,27,9,206,26,3,14,7,3,60,15,7,7,13,0,39,3009,116,356,132,68,3681,325,12,40,25,12,413,185,5,26,29,45,288,7417,450,974,305,178,9329,Kempsey (A)
14400,0,215,175,47,64,10,0,296,139,48,45,12,7,253,209,50,62,3,4,329,177,36,37,8,0,258,100,36,38,13,9,190,23,16,24,5,0,66,4,6,9,3,3,18,3,6,4,3,0,16,1614,325,399,60,29,2428,357,0,4,3,3,370,293,0,4,7,0,306,103,4,13,3,0,121,142,5,22,3,0,167,158,13,40,0,4,215,176,18,40,9,0,238,177,22,49,13,5,252,180,14,37,9,3,242,186,24,54,10,6,282,132,35,53,17,0,238,56,21,40,9,3,129,20,21,18,13,0,65,11,6,7,10,0,34,1992,174,366,106,26,2660,138,7,40,5,4,196,51,8,10,3,6,82,3795,517,814,170,68,5363,Kiama (A)
14500,5,1497,1255,337,147,17,8,1763,1483,380,201,33,15,2109,1470,486,209,20,13,2202,1197,353,185,25,14,1766,681,192,124,17,8,1010,259,135,61,10,3,472,57,49,22,4,0,136,11,27,12,12,0,57,11554,2346,1229,167,83,15381,1428,3,42,8,0,1486,1545,10,67,8,7,1634,731,12,57,9,0,806,648,56,78,16,4,808,655,94,145,21,8,916,822,122,191,43,8,1191,949,169,221,52,7,1402,925,157,180,39,5,1300,776,152,187,41,11,1175,684,173,180,37,3,1073,485,180,161,46,9,879,223,118,110,45,3,490,116,82,87,38,4,327,9977,1330,1705,404,68,13486,726,63,72,20,4,881,314,33,45,21,47,471,22576,3776,3053,611,209,30220,Ku-ring-gai (A)
14550,0,116,81,9,35,8,0,131,106,22,26,10,0,169,147,20,58,9,0,225,129,21,60,18,0,233,76,21,55,17,3,169,20,6,31,17,3,82,8,5,11,3,0,28,0,0,15,14,6,33,937,128,334,119,15,1532,91,0,0,5,3,97,38,0,3,0,0,41,36,0,7,0,0,41,59,3,7,3,0,73,59,4,12,3,0,74,71,6,11,3,4,90,66,4,21,3,0,96,106,4,24,3,0,144,106,3,24,11,4,142,82,6,20,6,0,117,25,5,17,17,0,66,16,0,13,5,0,38,0,3,8,10,0,24,760,31,167,66,14,1044,56,3,13,4,3,82,27,0,13,6,13,63,1778,167,524,204,48,2725,Kyogle (A)
14600,0,128,95,8,20,8,3,142,103,21,22,11,0,155,101,11,35,15,3,165,98,17,52,14,0,182,46,13,31,22,4,122,29,4,26,24,0,83,5,0,11,12,0,29,6,3,14,14,0,33,923,124,276,137,18,1476,37,0,0,3,0,43,37,0,5,0,0,44,49,3,4,0,0,54,54,3,6,3,3,72,43,0,4,3,0,46,43,0,8,3,0,59,44,4,5,8,0,59,53,8,15,0,4,80,57,0,15,0,3,76,47,0,8,3,4,63,29,0,8,0,0,37,14,0,14,6,0,29,7,0,8,11,0,29,521,24,85,40,19,695,73,0,9,6,6,92,50,7,8,7,13,79,1563,150,382,194,55,2347,Lachlan (A)
