lga_code16,m_ewft_15_19_e,m_ewft_15_19_om_ie,m_ewft_15_19_om_uie,m_ewft_15_19_cfw,m_ewft_15_19_es_ns,m_ewft_15_19_tot,m_ewft_20_24_e,m_ewft_20_24_om_ie,m_ewft_20_24_om_uie,m_ewft_20_24_cfw,m_ewft_20_24_es_ns,m_ewft_20_24_tot,m_ewft_25_29_e,m_ewft_25_29_om_ie,m_ewft_25_29_om_uie,m_ewft_25_29_cfw,m_ewft_25_29_es_ns,m_ewft_25_29_tot,m_ewft_30_34_e,m_ewft_30_34_om_ie,m_ewft_30_34_om_uie,m_ewft_30_34_cfw,m_ewft_30_34_es_ns,m_ewft_30_34_tot,m_ewft_35_39_e,m_ewft_35_39_om_ie,m_ewft_35_39_om_uie,m_ewft_35_39_cfw,m_ewft_35_39_es_ns,m_ewft_35_39_tot,m_ewft_40_44_e,m_ewft_40_44_om_ie,m_ewft_40_44_om_uie,m_ewft_40_44_cfw,m_ewft_40_44_es_ns,m_ewft_40_44_tot,m_ewft_45_49_e,m_ewft_45_49_om_ie,m_ewft_45_49_om_uie,m_ewft_45_49_cfw,m_ewft_45_49_es_ns,m_ewft_45_49_tot,m_ewft_50_54_e,m_ewft_50_54_om_ie,m_ewft_50_54_om_uie,m_ewft_50_54_cfw,m_ewft_50_54_es_ns,m_ewft_50_54_tot,m_ewft_55_59_e,m_ewft_55_59_om_ie,m_ewft_55_59_om_uie,m_ewft_55_59_cfw,m_ewft_55_59_es_ns,m_ewft_55_59_tot,m_ewft_60_64_e,m_ewft_60_64_om_ie,m_ewft_60_64_om_uie,m_ewft_60_64_cfw,m_ewft_60_64_es_ns,m_ewft_60_64_tot,m_ewft_65_69_e,m_ewft_65_69_om_ie,m_ewft_65_69_om_uie,m_ewft_65_69_cfw,m_ewft_65_69_es_ns,m_ewft_65_69_tot,m_ewft_70_74_e,m_ewft_70_74_om_ie,m_ewft_70_74_om_uie,m_ewft_70_74_cfw,m_ewft_70_74_es_ns,m_ewft_70_74_tot,m_ewft_75ov_e,m_ewft_75ov_om_ie,m_ewft_75ov_om_uie,m_ewft_75ov_cfw,m_ewft_75ov_es_ns,m_ewft_75ov_tot,m_ewft_tot_e,m_ewft_tot_om_ie,m_ewft_tot_om_uie,m_ewft_tot_cfw,m_ewft_tot_es_ns,m_ewft_tot_tot,m_ewpt_15_19_e,m_ewpt_15_19_om_ie,m_ewpt_15_19_om_uie,m_ewpt_15_19_cfw,m_ewpt_15_19_es_ns,m_ewpt_15_19_tot,m_ewpt_20_24_e,m_ewpt_20_24_om_ie,m_ewpt_20_24_om_uie,m_ewpt_20_24_cfw,m_ewpt_20_24_es_ns,m_ewpt_20_24_tot,m_ewpt_25_29_e,m_ewpt_25_29_om_ie,m_ewpt_25_29_om_uie,m_ewpt_25_29_cfw,m_ewpt_25_29_es_ns,m_ewpt_25_29_tot,m_ewpt_30_34_e,m_ewpt_30_34_om_ie,m_ewpt_30_34_om_uie,m_ewpt_30_34_cfw,m_ewpt_30_34_es_ns,m_ewpt_30_34_tot,m_ewpt_35_39_e,m_ewpt_35_39_om_ie,m_ewpt_35_39_om_uie,m_ewpt_35_39_cfw,m_ewpt_35_39_es_ns,m_ewpt_35_39_tot,m_ewpt_40_44_e,m_ewpt_40_44_om_ie,m_ewpt_40_44_om_uie,m_ewpt_40_44_cfw,m_ewpt_40_44_es_ns,m_ewpt_40_44_tot,m_ewpt_45_49_e,m_ewpt_45_49_om_ie,m_ewpt_45_49_om_uie,m_ewpt_45_49_cfw,m_ewpt_45_49_es_ns,m_ewpt_45_49_tot,m_ewpt_50_54_e,m_ewpt_50_54_om_ie,m_ewpt_50_54_om_uie,m_ewpt_50_54_cfw,m_ewpt_50_54_es_ns,m_ewpt_50_54_tot,m_ewpt_55_59_e,m_ewpt_55_59_om_ie,m_ewpt_55_59_om_uie,m_ewpt_55_59_cfw,m_ewpt_55_59_es_ns,m_ewpt_55_59_tot,m_ewpt_60_64_e,m_ewpt_60_64_om_ie,m_ewpt_60_64_om_uie,m_ewpt_60_64_cfw,m_ewpt_60_64_es_ns,m_ewpt_60_64_tot,m_ewpt_65_69_e,m_ewpt_65_69_om_ie,m_ewpt_65_69_om_uie,m_ewpt_65_69_cfw,m_ewpt_65_69_es_ns,m_ewpt_65_69_tot,m_ewpt_70_74_e,m_ewpt_70_74_om_ie,m_ewpt_70_74_om_uie,m_ewpt_70_74_cfw,m_ewpt_70_74_es_ns,m_ewpt_70_74_tot,m_ewpt_75ov_e,m_ewpt_75ov_om_ie,m_ewpt_75ov_om_uie,m_ewpt_75ov_cfw,m_ewpt_75ov_es_ns,m_ewpt_75ov_tot,m_ewpt_tot_e,m_ewpt_tot_om_ie,m_ewpt_tot_om_uie,m_ewpt_tot_cfw,m_ewpt_tot_es_ns,m_ewpt_tot_tot,m_eafw_e,m_eafw_om_ie,m_eafw_om_uie,m_eafw_cfw,m_eafw_es_ns,m_eafw_tot,m_h_ns_e,m_h_ns_om_ie,m_h_ns_om_uie,m_h_ns_cfw,m_h_ns_es_ns,m_h_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_ewft_15_19_e,f_ewft_15_19_om_ie,f_ewft_15_19_om_uie,f_ewft_15_19_cfw,f_ewft_15_19_es_ns,f_ewft_15_19_tot,f_ewft_20_24_e,f_ewft_20_24_om_ie,f_ewft_20_24_om_uie,f_ewft_20_24_cfw,f_ewft_20_24_es_ns,f_ewft_20_24_tot,f_ewft_25_29_e,f_ewft_25_29_om_ie,lga_name16
10850,33,0,0,0,0,33,81,3,0,0,0,89,165,4,6,0,0,176,148,3,12,0,3,167,148,8,8,0,0,168,169,7,7,0,0,195,175,11,15,0,0,207,118,12,13,5,4,142,95,8,20,14,0,139,61,14,30,7,0,117,8,9,20,4,0,40,0,6,10,7,0,22,0,4,9,7,3,17,1197,89,151,46,15,1501,36,0,0,0,0,38,7,0,3,0,0,9,10,0,0,0,0,13,12,0,0,0,0,12,4,0,0,0,0,7,6,3,4,0,0,12,7,0,6,0,0,14,19,0,3,0,0,26,3,0,4,0,0,11,12,0,4,7,0,24,10,4,0,6,0,19,12,3,3,5,0,25,8,0,3,8,0,19,142,8,42,28,3,221,52,3,12,3,0,69,25,0,3,3,12,46,1412,100,207,85,26,1829,9,0,0,0,0,9,39,0,3,0,0,43,44,0,Blayney (A)
10900,137,0,0,0,0,140,312,3,19,3,4,343,334,31,37,0,0,406,370,48,71,3,4,495,311,67,89,7,6,482,342,119,91,6,6,561,393,93,116,5,3,618,368,110,121,17,5,618,365,95,124,13,4,597,205,82,97,11,3,397,74,47,41,6,4,164,11,14,10,3,0,35,8,10,8,3,0,29,3234,712,822,72,36,4872,398,0,6,3,0,410,360,0,22,3,0,381,135,0,16,4,0,155,107,5,34,3,0,149,81,13,33,3,3,137,112,20,34,8,5,179,104,33,58,6,0,203,117,19,62,8,0,207,128,20,63,5,3,220,155,37,98,10,5,315,114,33,80,20,3,238,40,26,25,3,4,104,21,10,12,12,3,54,1871,224,547,87,25,2754,163,10,34,8,11,230,99,6,26,8,18,152,5369,950,1430,179,84,8014,119,0,0,0,0,121,279,0,11,0,0,289,305,8,Blue Mountains (C)
10950,20,0,0,0,0,17,47,3,3,0,0,53,69,0,3,0,0,75,62,3,6,0,3,70,45,4,4,0,0,52,55,0,4,3,0,68,49,7,14,0,0,70,53,4,13,3,0,78,28,3,17,3,0,54,19,3,14,3,0,42,8,3,8,3,0,22,0,0,7,0,0,9,0,0,7,6,0,13,452,29,102,30,6,617,10,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0,0,0,8,0,3,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,4,9,3,0,0,0,12,4,0,0,0,0,11,5,0,0,0,0,9,0,0,3,0,0,3,0,0,3,3,0,7,0,0,3,7,0,13,54,3,12,7,3,83,17,0,0,4,0,22,9,5,0,3,0,22,537,43,116,43,7,749,0,0,0,0,0,0,28,0,0,0,0,31,33,0,Bogan (A)
11100,185,0,0,0,4,190,1109,5,13,0,8,1141,2291,80,43,3,10,2427,2907,161,64,8,23,3163,2846,201,90,8,15,3156,2791,204,87,10,8,3104,2536,261,88,8,22,2907,2314,210,107,3,12,2646,1914,168,66,5,19,2175,944,98,56,5,7,1117,364,64,28,4,4,468,67,12,21,0,0,101,11,17,3,4,0,31,20292,1472,666,48,129,22612,396,0,5,3,4,415,874,8,15,7,9,907,644,14,30,4,3,688,450,20,28,0,8,507,377,31,33,6,9,452,360,19,21,6,7,414,404,20,27,4,10,462,399,23,32,3,0,457,363,26,35,5,5,434,252,23,31,7,3,313,152,19,21,8,4,204,59,10,13,0,0,86,20,9,10,6,0,47,4758,224,297,58,67,5400,809,25,11,11,15,860,456,41,38,12,66,610,26302,1755,1016,128,281,29481,61,0,0,0,0,61,770,4,3,0,5,781,1486,11,Botany Bay (C)
11150,11,0,0,0,0,11,23,0,3,0,0,24,29,0,7,0,3,43,48,4,11,0,0,59,32,4,4,0,0,39,21,0,4,5,0,34,29,8,11,0,0,45,37,3,5,4,0,48,27,0,12,4,3,48,25,3,11,0,0,35,9,0,11,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,291,23,64,19,11,414,3,0,0,0,0,3,8,0,0,0,0,8,10,0,0,0,0,10,3,0,0,0,0,4,5,0,0,0,0,5,8,0,0,0,0,11,3,0,3,0,0,7,12,0,0,3,0,18,3,0,3,0,0,3,9,0,0,0,0,9,5,0,3,0,0,7,3,0,0,0,0,6,0,0,0,0,0,3,66,0,20,5,0,93,13,0,3,0,0,18,10,0,0,0,8,14,381,28,90,27,14,536,0,0,0,0,0,0,25,0,0,0,0,29,40,0,Bourke (A)
11200,3,0,0,0,0,5,11,0,3,0,0,14,17,0,0,0,0,19,14,0,3,0,0,16,8,0,0,0,0,15,8,0,3,0,0,16,23,0,3,0,0,28,11,5,5,3,0,30,15,4,7,0,0,27,11,0,0,8,0,19,3,0,0,3,0,11,0,3,0,0,0,6,0,0,0,0,0,0,131,17,28,22,3,202,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,7,3,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,5,0,0,7,0,0,4,3,0,0,3,0,6,0,0,0,0,0,0,30,0,11,3,3,44,4,0,0,0,0,3,5,0,3,0,3,9,162,16,39,28,5,258,0,0,0,0,0,0,11,0,0,0,0,11,20,0,Brewarrina (A)
14300,19,0,0,0,0,17,52,0,0,0,3,58,70,0,11,0,0,90,79,5,12,0,0,92,57,0,12,0,0,67,58,6,16,3,0,82,70,12,14,4,3,104,53,13,17,4,0,88,58,11,15,7,0,90,33,3,16,4,0,60,8,4,13,5,0,28,0,6,7,4,0,17,0,0,3,3,0,4,562,60,141,38,15,805,28,0,0,0,0,26,17,0,0,0,0,21,21,0,0,0,0,21,12,0,0,0,0,12,5,0,0,0,0,8,7,0,0,0,0,6,7,0,0,0,0,8,9,0,0,0,0,6,18,0,6,0,0,19,11,0,5,0,0,15,5,0,3,3,0,12,0,0,0,3,0,5,0,0,3,3,0,10,130,3,19,15,0,175,22,3,3,3,0,30,16,3,0,0,0,20,727,66,168,55,18,1033,4,0,0,0,0,5,25,0,0,0,0,25,53,0,Junee (A)
14350,74,0,0,0,0,75,188,0,7,0,3,204,222,4,23,0,7,262,240,11,15,0,3,274,239,15,26,0,8,287,288,32,49,4,3,380,280,35,44,6,5,370,290,41,55,3,3,397,257,36,68,15,4,381,145,30,43,13,4,233,46,15,33,16,0,111,5,8,21,6,0,41,8,5,8,3,0,20,2287,235,390,78,37,3032,167,0,0,0,5,179,97,0,0,3,0,109,65,0,4,0,0,71,61,3,5,0,3,69,61,0,6,3,3,81,60,0,20,3,0,87,75,4,20,0,0,102,87,4,21,3,0,111,103,8,22,6,4,142,88,12,34,12,0,142,52,6,27,12,7,103,13,0,10,7,3,34,7,3,5,4,0,22,949,44,184,53,27,1257,148,8,19,11,3,188,108,4,20,12,24,166,3484,292,609,160,92,4635,31,0,0,0,0,33,113,0,0,0,0,121,147,4,Kempsey (A)
11250,52,0,0,0,0,50,191,0,9,0,0,204,279,3,12,0,3,294,262,11,15,0,3,287,227,10,7,0,3,243,214,10,22,7,5,251,250,11,14,4,4,283,254,25,17,0,4,301,275,41,21,3,6,343,151,18,23,8,0,193,35,13,8,3,0,62,5,0,11,0,0,18,3,3,3,3,0,12,2202,141,147,21,33,2555,107,0,0,0,3,108,69,0,0,0,0,72,61,0,4,0,0,69,35,0,4,0,0,42,19,0,9,0,0,28,29,0,10,0,0,40,36,3,5,0,0,40,48,0,4,0,0,57,50,0,6,0,0,57,44,3,8,3,3,60,30,5,10,5,0,45,8,0,0,0,0,13,3,0,4,0,0,14,541,19,71,18,16,659,124,3,5,3,6,143,68,0,7,0,18,99,2939,172,224,43,68,3450,31,0,0,0,0,31,138,0,4,0,3,144,210,4,Broken Hill (C)
13910,110,0,0,3,0,115,185,3,13,5,0,207,190,10,10,3,0,216,175,24,21,8,0,230,178,35,33,9,3,261,196,39,48,13,4,296,175,22,58,11,12,281,208,34,60,25,9,336,172,40,60,18,3,289,118,40,62,18,3,234,43,25,39,10,3,122,6,5,27,19,0,57,4,5,23,11,3,43,1766,284,445,146,42,2684,96,0,0,4,0,102,42,0,5,0,3,48,46,0,3,0,0,51,36,3,5,0,0,37,24,3,6,3,0,31,48,4,10,0,0,57,35,4,9,0,0,45,49,3,8,4,0,68,50,4,9,3,0,68,49,6,15,5,0,82,24,8,12,15,0,70,10,3,11,10,3,32,8,0,14,12,3,34,501,34,108,65,12,719,64,11,23,5,3,106,63,3,13,13,10,102,2388,331,595,233,64,3613,44,0,0,0,0,49,139,0,3,4,0,148,129,4,Hilltops (A)
