yr,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,lga_code18,lga_name18,ogc_fid
2016,4663.0,8.0,11250,Broken Hill (C),1
2015,4749.0,,11250,Broken Hill (C),2
2014,4545.0,,11250,Broken Hill (C),3
2011,48121.0,5.0,36910,Toowoomba (R),18
2016,385.0,3.8,58890,West Arthur (S),19
2015,392.0,,58890,West Arthur (S),20
2014,374.0,,58890,West Arthur (S),21
2013,357.0,,58890,West Arthur (S),22
2012,345.0,,58890,West Arthur (S),23
2011,353.0,2.4,58890,West Arthur (S),24
2016,117586.0,5.6,35010,Moreton Bay (R),25
2015,115014.0,,35010,Moreton Bay (R),26
2014,109421.0,,35010,Moreton Bay (R),27
2013,102422.0,,35010,Moreton Bay (R),28
2013,4294.0,,11250,Broken Hill (C),4
2012,4269.0,,11250,Broken Hill (C),5
2011,4059.0,7.5,11250,Broken Hill (C),6
2016,1550.0,5.2,58820,Waroona (S),7
2015,1519.0,,58820,Waroona (S),8
2014,1470.0,,58820,Waroona (S),9
2013,1374.0,,58820,Waroona (S),10
2012,1332.0,,58820,Waroona (S),11
2011,1274.0,6.1,58820,Waroona (S),12
2016,54228.0,5.9,36910,Toowoomba (R),13
2015,54638.0,,36910,Toowoomba (R),14
2014,52769.0,,36910,Toowoomba (R),15
2013,50531.0,,36910,Toowoomba (R),16
2012,50098.0,,36910,Toowoomba (R),17
2012,97673.0,,35010,Moreton Bay (R),29
2011,93195.0,4.8,35010,Moreton Bay (R),30
2016,204.0,3.6,33100,Etheridge (S),31
2015,217.0,,33100,Etheridge (S),32
2014,214.0,,33100,Etheridge (S),33
2013,200.0,,33100,Etheridge (S),34
2012,211.0,,33100,Etheridge (S),35
2011,204.0,2.8,33100,Etheridge (S),36
2016,371.0,3.5,58540,Victoria Plains (S),37
2015,3514.0,,48830,Yorke Peninsula (DC),62
2014,3458.0,,48830,Yorke Peninsula (DC),63
2013,3292.0,,48830,Yorke Peninsula (DC),64
2012,3332.0,,48830,Yorke Peninsula (DC),65
2011,3218.0,7.5,48830,Yorke Peninsula (DC),66
2016,39812.0,1.7,24600,Melbourne (C),67
2015,37141.0,,24600,Melbourne (C),68
2014,34260.0,,24600,Melbourne (C),69
2013,31608.0,,24600,Melbourne (C),70
2012,30086.0,,24600,Melbourne (C),71
2011,28039.0,2.0,24600,Melbourne (C),72
2016,3260.0,5.9,48340,Wattle Range (DC),73
2015,3419.0,,48340,Wattle Range (DC),74
2014,3415.0,,48340,Wattle Range (DC),75
2013,3191.0,,48340,Wattle Range (DC),76
2012,3197.0,,48340,Wattle Range (DC),77
2011,3118.0,5.3,48340,Wattle Range (DC),78
2016,1482.0,7.0,13660,Gwydir (A),79
2015,1512.0,,13660,Gwydir (A),80
2014,1427.0,,13660,Gwydir (A),81
2013,1302.0,,13660,Gwydir (A),82
2012,1277.0,,13660,Gwydir (A),83
2011,1201.0,7.1,13660,Gwydir (A),84
2016,33575.0,8.5,12850,Fairfield (C),85
2015,31915.0,,12850,Fairfield (C),86
2015,419.0,,58540,Victoria Plains (S),38
2014,30228.0,,12850,Fairfield (C),87
2013,26896.0,,12850,Fairfield (C),88
2012,26104.0,,12850,Fairfield (C),89
2011,25341.0,7.0,12850,Fairfield (C),90
2011,312.0,7.9,45400,Orroroo/Carrieton (DC),487
2016,386.0,5.6,51120,Bruce Rock (S),488
2014,402.0,,58540,Victoria Plains (S),39
2011,4400.0,5.4,26610,Swan Hill (RC),120
2016,4270.0,6.5,16200,Parkes (A),121
2015,4312.0,,16200,Parkes (A),122
2014,4117.0,,16200,Parkes (A),123
2013,3791.0,,16200,Parkes (A),124
2012,3784.0,,16200,Parkes (A),125
2011,3692.0,6.2,16200,Parkes (A),126
2016,2632.0,6.3,63810,Latrobe (M) (Tas.),127
2015,2612.0,,63810,Latrobe (M) (Tas.),128
2014,2444.0,,63810,Latrobe (M) (Tas.),129
2013,2233.0,,63810,Latrobe (M) (Tas.),130
2012,2121.0,,63810,Latrobe (M) (Tas.),131
2011,2042.0,6.1,63810,Latrobe (M) (Tas.),132
2016,16312.0,7.0,23810,Latrobe (C) (Vic.),133
2015,16260.0,,23810,Latrobe (C) (Vic.),134
2014,15791.0,,23810,Latrobe (C) (Vic.),135
2013,14944.0,,23810,Latrobe (C) (Vic.),136
2012,14541.0,,23810,Latrobe (C) (Vic.),137
2011,14197.0,6.3,23810,Latrobe (C) (Vic.),138
2016,56330.0,5.0,23430,Kingston (C) (Vic.),139
2015,54681.0,,23430,Kingston (C) (Vic.),140
2014,52403.0,,23430,Kingston (C) (Vic.),141
2013,48809.0,,23430,Kingston (C) (Vic.),142
2012,48068.0,,23430,Kingston (C) (Vic.),143
2011,46325.0,4.7,23430,Kingston (C) (Vic.),144
2016,9264.0,4.9,24850,Mitchell (S),145
2015,8814.0,,24850,Mitchell (S),146
2014,8376.0,,24850,Mitchell (S),147
2013,7688.0,,24850,Mitchell (S),148
2012,7543.0,,24850,Mitchell (S),149
2011,7125.0,4.6,24850,Mitchell (S),150
2016,18288.0,3.4,40120,Adelaide Hills (DC),151
2015,18376.0,,40120,Adelaide Hills (DC),152
2013,372.0,,58540,Victoria Plains (S),40
2014,17867.0,,40120,Adelaide Hills (DC),153
2013,17185.0,,40120,Adelaide Hills (DC),154
2012,16966.0,,40120,Adelaide Hills (DC),155
2011,16697.0,2.9,40120,Adelaide Hills (DC),156
2016,1400.0,4.8,54060,Irwin (S),157
2015,1420.0,,54060,Irwin (S),158
2014,1336.0,,54060,Irwin (S),159
2013,1266.0,,54060,Irwin (S),160
2012,1248.0,,54060,Irwin (S),161
2011,1210.0,3.9,54060,Irwin (S),162
2016,15343.0,6.8,24780,Mildura (RC),163
2015,14607.0,,24780,Mildura (RC),164
2014,13980.0,,24780,Mildura (RC),165
2013,12947.0,,24780,Mildura (RC),166
2012,13286.0,,24780,Mildura (RC),167
2011,12952.0,5.9,24780,Mildura (RC),168
2016,3991.0,7.1,33800,Hinchinbrook (S),169
2015,4060.0,,33800,Hinchinbrook (S),170
2014,3992.0,,33800,Hinchinbrook (S),171
2013,3990.0,,33800,Hinchinbrook (S),172
2012,4107.0,,33800,Hinchinbrook (S),173
2011,3989.0,7.1,33800,Hinchinbrook (S),174
2016,242.0,6.0,41750,Elliston (DC),175
2015,287.0,,41750,Elliston (DC),176
2014,293.0,,41750,Elliston (DC),177
2013,290.0,,41750,Elliston (DC),178
2012,295.0,,41750,Elliston (DC),179
2011,297.0,4.5,41750,Elliston (DC),180
2015,369.0,,51120,Bruce Rock (S),489
2014,362.0,,51120,Bruce Rock (S),490
2013,356.0,,51120,Bruce Rock (S),491
2012,377.0,,51120,Bruce Rock (S),492
2011,371.0,5.2,51120,Bruce Rock (S),493
2013,150979.0,,89399,Unincorporated ACT,2411
2012,406.0,,58540,Victoria Plains (S),41
2016,23287.0,6.3,36370,Rockhampton (R),250
2015,23731.0,,36370,Rockhampton (R),251
2014,23117.0,,36370,Rockhampton (R),252
2013,22779.0,,36370,Rockhampton (R),253
2012,22564.0,,36370,Rockhampton (R),254
2011,21454.0,4.9,36370,Rockhampton (R),255
2016,7474.0,6.6,20740,Bass Coast (S),256
2015,7111.0,,20740,Bass Coast (S),257
2014,6677.0,,20740,Bass Coast (S),258
2013,6257.0,,20740,Bass Coast (S),259
2012,6153.0,,20740,Bass Coast (S),260
2011,6017.0,6.0,20740,Bass Coast (S),261
2011,85.0,3.1,30450,Barcoo (S),511
2016,1404.0,4.7,26080,Queenscliffe (B),512
2015,1398.0,,26080,Queenscliffe (B),513
2014,1408.0,,26080,Queenscliffe (B),514
2013,1327.0,,26080,Queenscliffe (B),515
2012,1402.0,,26080,Queenscliffe (B),516
2011,1384.0,6.2,26080,Queenscliffe (B),517
2016,1077.0,6.5,42110,Goyder (DC),518
2015,1131.0,,42110,Goyder (DC),519
2014,1137.0,,42110,Goyder (DC),520
2013,1027.0,,42110,Goyder (DC),521
2012,1043.0,,42110,Goyder (DC),522
2011,1040.0,6.9,42110,Goyder (DC),523
2016,3559.0,8.6,46450,Port Pirie City and Dists (M),524
2015,3544.0,,46450,Port Pirie City and Dists (M),525
2014,3240.0,,46450,Port Pirie City and Dists (M),526
2013,3054.0,,46450,Port Pirie City and Dists (M),527
2012,3438.0,,46450,Port Pirie City and Dists (M),528
2011,3396.0,7.7,46450,Port Pirie City and Dists (M),529
2016,2148.0,5.0,15850,Narromine (A),530
2015,2047.0,,15850,Narromine (A),531
2014,1867.0,,15850,Narromine (A),532
2011,422.0,3.1,58540,Victoria Plains (S),42
2016,1544.0,3.2,43710,Lower Eyre Peninsula (DC),43
2015,1531.0,,43710,Lower Eyre Peninsula (DC),44
2014,1410.0,,43710,Lower Eyre Peninsula (DC),45
2013,1282.0,,43710,Lower Eyre Peninsula (DC),46
2012,1194.0,,43710,Lower Eyre Peninsula (DC),47
2011,1155.0,3.1,43710,Lower Eyre Peninsula (DC),48
2011,1007.0,4.4,42750,Kangaroo Island (DC),273
2016,55.0,4.1,32600,Croydon (S),274
2015,61.0,,32600,Croydon (S),275
2014,62.0,,32600,Croydon (S),276
2013,50.0,,32600,Croydon (S),277
2012,55.0,,32600,Croydon (S),278
2011,46.0,1.0,32600,Croydon (S),279
2016,375.0,4.2,52240,Cranbrook (S),280
2015,365.0,,52240,Cranbrook (S),281
2014,353.0,,52240,Cranbrook (S),282
2013,313.0,,52240,Cranbrook (S),283
2012,302.0,,52240,Cranbrook (S),284
2011,294.0,3.3,52240,Cranbrook (S),285
2013,1776.0,,15850,Narromine (A),533
2012,1760.0,,15850,Narromine (A),534
2011,1723.0,4.2,15850,Narromine (A),535
2016,47101.0,3.9,27260,Wyndham (C),536
2015,45128.0,,27260,Wyndham (C),537
2014,41599.0,,27260,Wyndham (C),538
2013,37445.0,,27260,Wyndham (C),539
2012,35343.0,,27260,Wyndham (C),540
2011,32428.0,3.4,27260,Wyndham (C),541
2016,2437.0,4.5,24250,Mansfield (S),542
2015,2343.0,,24250,Mansfield (S),543
2014,2252.0,,24250,Mansfield (S),544
2013,2095.0,,24250,Mansfield (S),545
2012,1992.0,,24250,Mansfield (S),546
2011,1856.0,4.8,24250,Mansfield (S),547
2016,597.0,4.7,41190,Cleve (DC),49
2011,6114.0,5.1,14100,Hunters Hill (A),297
2016,3675.0,5.6,25620,Murrindindi (S),298
2015,3638.0,,25620,Murrindindi (S),299
2014,3503.0,,25620,Murrindindi (S),300
2013,3298.0,,25620,Murrindindi (S),301
2012,3315.0,,25620,Murrindindi (S),302
2011,3265.0,5.1,25620,Murrindindi (S),303
2015,659.0,,41190,Cleve (DC),50
2014,8972.0,,57700,Serpentine-Jarrahdale (S),574
2013,8025.0,,57700,Serpentine-Jarrahdale (S),575
2012,7072.0,,57700,Serpentine-Jarrahdale (S),576
2011,6436.0,2.7,57700,Serpentine-Jarrahdale (S),577
2012,144869.0,,89399,Unincorporated ACT,2412
2011,138411.0,3.3,89399,Unincorporated ACT,2413
2016,11099.0,3.6,53990,Harvey (S),2414
2014,663.0,,41190,Cleve (DC),51
2011,46940.0,5.9,15900,Newcastle (C),619
2016,12699.0,5.0,10470,Bathurst Regional (A),620
2015,12272.0,,10470,Bathurst Regional (A),621
2014,11581.0,,10470,Bathurst Regional (A),622
2013,10800.0,,10470,Bathurst Regional (A),623
2012,10359.0,,10470,Bathurst Regional (A),624
2011,9891.0,4.4,10470,Bathurst Regional (A),625
2013,649.0,,41190,Cleve (DC),52
2016,288.0,3.6,70700,Coomalie (S),626
2015,278.0,,70700,Coomalie (S),627
2014,261.0,,70700,Coomalie (S),628
2013,238.0,,70700,Coomalie (S),629
2012,236.0,,70700,Coomalie (S),630
2011,222.0,4.1,70700,Coomalie (S),631
2016,5505.0,6.4,21750,Colac-Otway (S),632
2012,628.0,,41190,Cleve (DC),53
2015,5307.0,,21750,Colac-Otway (S),633
2014,5247.0,,21750,Colac-Otway (S),634
2013,4919.0,,21750,Colac-Otway (S),635
2012,5005.0,,21750,Colac-Otway (S),636
2011,4849.0,6.0,21750,Colac-Otway (S),637
2015,10943.0,,53990,Harvey (S),2415
2014,10154.0,,53990,Harvey (S),2416
2011,617.0,4.9,41190,Cleve (DC),54
2016,25.0,2.2,36960,Torres Strait Island (R),55
2015,37.0,,36960,Torres Strait Island (R),56
2014,44.0,,36960,Torres Strait Island (R),57
2013,35.0,,36960,Torres Strait Island (R),58
2012,36.0,,36960,Torres Strait Island (R),59
2011,23.0,2.8,36960,Torres Strait Island (R),60
2016,3428.0,8.1,48830,Yorke Peninsula (DC),61
2016,408.0,3.3,53710,Goomalling (S),91
2016,1264.0,1.4,37300,Weipa (T),334
2015,426.0,,53710,Goomalling (S),92
2015,1250.0,,37300,Weipa (T),335
2014,410.0,,53710,Goomalling (S),93
2014,1112.0,,37300,Weipa (T),336
2013,393.0,,53710,Goomalling (S),94
2013,1015.0,,37300,Weipa (T),337
2012,395.0,,53710,Goomalling (S),95
2012,880.0,,37300,Weipa (T),338
2011,382.0,4.9,53710,Goomalling (S),96
2016,161.0,2.9,59320,Woodanilling (S),97
2015,167.0,,59320,Woodanilling (S),98
2014,155.0,,59320,Woodanilling (S),99
2013,136.0,,59320,Woodanilling (S),100
2012,153.0,,59320,Woodanilling (S),101
2011,148.0,3.8,59320,Woodanilling (S),102
2016,2358.0,6.3,14920,Liverpool Plains (A),103
2015,2381.0,,14920,Liverpool Plains (A),104
2014,2303.0,,14920,Liverpool Plains (A),105
2013,2159.0,,14920,Liverpool Plains (A),106
2012,2023.0,,14920,Liverpool Plains (A),107
2011,1954.0,6.4,14920,Liverpool Plains (A),108
2016,2484.0,2.9,72200,Katherine (T),109
2015,2288.0,,72200,Katherine (T),110
2014,2230.0,,72200,Katherine (T),111
2013,2109.0,,72200,Katherine (T),112
2012,2101.0,,72200,Katherine (T),113
2011,1962.0,2.9,72200,Katherine (T),114
2016,5054.0,5.4,26610,Swan Hill (RC),115
2015,5078.0,,26610,Swan Hill (RC),116
2014,4879.0,,26610,Swan Hill (RC),117
2013,4516.0,,26610,Swan Hill (RC),118
2012,4594.0,,26610,Swan Hill (RC),119
2016,961.0,2.4,56930,Peppermint Grove (S),181
2015,993.0,,56930,Peppermint Grove (S),182
2011,786.0,1.4,37300,Weipa (T),339
2013,9540.0,,53990,Harvey (S),2417
2014,969.0,,56930,Peppermint Grove (S),183
2013,972.0,,56930,Peppermint Grove (S),184
2013,1199.0,,52590,Dandaragan (S),349
2012,1147.0,,52590,Dandaragan (S),350
2011,1136.0,2.9,52590,Dandaragan (S),351
2016,5853.0,4.9,52660,Dardanup (S),352
2015,5625.0,,52660,Dardanup (S),353
2014,5246.0,,52660,Dardanup (S),354
2013,4976.0,,52660,Dardanup (S),355
2012,4701.0,,52660,Dardanup (S),356
2011,4331.0,3.8,52660,Dardanup (S),357
2016,2648.0,8.0,40520,Berri and Barmera (DC),358
2015,2517.0,,40520,Berri and Barmera (DC),359
2014,2490.0,,40520,Berri and Barmera (DC),360
2013,2374.0,,40520,Berri and Barmera (DC),361
2012,2257.0,,40520,Berri and Barmera (DC),362
2011,2225.0,7.0,40520,Berri and Barmera (DC),363
2012,8990.0,,53990,Harvey (S),2418
2011,8397.0,3.0,53990,Harvey (S),2419
2016,40590.0,5.0,24410,Maroondah (C),2420
2015,39662.0,,24410,Maroondah (C),2421
2014,37965.0,,24410,Maroondah (C),2422
2013,35712.0,,24410,Maroondah (C),2423
2012,35327.0,,24410,Maroondah (C),2424
2011,34212.0,4.5,24410,Maroondah (C),2425
2012,962.0,,56930,Peppermint Grove (S),185
2011,906.0,2.4,56930,Peppermint Grove (S),186
2013,1437.0,,25990,Pyrenees (S),385
2012,1514.0,,25990,Pyrenees (S),386
2011,1429.0,7.0,25990,Pyrenees (S),387
2011,42770.0,5.2,45340,Onkaparinga (C),2449
2016,1914.0,4.0,53570,Gingin (S),2450
2015,1877.0,,53570,Gingin (S),2451
2014,1816.0,,53570,Gingin (S),2452
2013,1669.0,,53570,Gingin (S),2453
2012,1603.0,,53570,Gingin (S),2454
2011,1533.0,3.8,53570,Gingin (S),2455
2016,14652.0,6.0,22830,Greater Shepparton (C),2456
2015,14521.0,,22830,Greater Shepparton (C),2457
2014,13886.0,,22830,Greater Shepparton (C),2458
2013,13065.0,,22830,Greater Shepparton (C),2459
2012,13766.0,,22830,Greater Shepparton (C),2460
2011,13210.0,5.4,22830,Greater Shepparton (C),2461
2016,1260.0,8.9,60210,Break O'Day (M),2462
2015,1236.0,,60210,Break O'Day (M),2463
2014,1202.0,,60210,Break O'Day (M),2464
2013,1132.0,,60210,Break O'Day (M),2465
2012,1156.0,,60210,Break O'Day (M),2466
2011,1157.0,8.8,60210,Break O'Day (M),2467
2016,680.0,3.7,11150,Bourke (A),2468
2015,711.0,,11150,Bourke (A),2469
2011,,5.5,44000,Maralinga Tjarutja (AC),187
2016,1013.0,4.4,17950,Warren (A),188
2015,975.0,,17950,Warren (A),189
2014,947.0,,17950,Warren (A),190
2013,887.0,,17950,Warren (A),191
2012,845.0,,17950,Warren (A),192
2011,795.0,4.8,17950,Warren (A),193
2016,1995.0,7.4,21270,Buloke (S),194
2015,2075.0,,21270,Buloke (S),195
2014,2026.0,,21270,Buloke (S),196
2013,1961.0,,21270,Buloke (S),197
2012,2027.0,,21270,Buloke (S),198
2011,1919.0,6.7,21270,Buloke (S),199
2016,48053.0,5.3,10500,Bayside (A),200
2015,45466.0,,10500,Bayside (A),201
2014,42143.0,,10500,Bayside (A),202
2013,38859.0,,10500,Bayside (A),203
2012,38321.0,,10500,Bayside (A),204
2011,36566.0,5.2,10500,Bayside (A),205
2016,166831.0,4.9,33430,Gold Coast (C),206
2015,161897.0,,33430,Gold Coast (C),207
2014,153438.0,,33430,Gold Coast (C),208
2013,141697.0,,33430,Gold Coast (C),209
2012,136955.0,,33430,Gold Coast (C),210
2011,131334.0,4.2,33430,Gold Coast (C),211
2016,2850.0,5.5,12900,Forbes (A),212
2015,2683.0,,12900,Forbes (A),213
2014,2537.0,,12900,Forbes (A),214
2013,2310.0,,12900,Forbes (A),215
2012,2209.0,,12900,Forbes (A),216
2011,2158.0,5.9,12900,Forbes (A),217
2014,14565.0,,51310,Cambridge (T),430
2013,14021.0,,51310,Cambridge (T),431
2012,13728.0,,51310,Cambridge (T),432
2011,13212.0,3.2,51310,Cambridge (T),433
2016,26678.0,3.6,54200,Kalamunda (C),434
2015,26670.0,,54200,Kalamunda (C),435
2014,25610.0,,54200,Kalamunda (C),436
2013,24284.0,,54200,Kalamunda (C),437
2012,22885.0,,54200,Kalamunda (C),438
2011,21508.0,3.2,54200,Kalamunda (C),439
2016,17310.0,3.7,56090,Mundaring (S),440
2016,,4.1,32330,Cherbourg (S),218
2015,17047.0,,56090,Mundaring (S),441
2014,16284.0,,56090,Mundaring (S),442
2013,15483.0,,56090,Mundaring (S),443
2012,14737.0,,56090,Mundaring (S),444
2011,13908.0,3.2,56090,Mundaring (S),445
2016,12611.0,3.5,56580,Nedlands (C),446
2015,12657.0,,56580,Nedlands (C),447
2014,12030.0,,56580,Nedlands (C),448
2013,11751.0,,56580,Nedlands (C),449
2012,11699.0,,56580,Nedlands (C),450
2011,11070.0,3.0,56580,Nedlands (C),451
2016,9949.0,1.7,57080,Perth (C),452
2015,9480.0,,57080,Perth (C),453
2014,8620.0,,57080,Perth (C),454
2013,8111.0,,57080,Perth (C),455
2012,7865.0,,57080,Perth (C),456
2011,7276.0,1.8,57080,Perth (C),457
2014,723.0,,11150,Bourke (A),2470
2013,645.0,,11150,Bourke (A),2471
2012,693.0,,11150,Bourke (A),2472
2011,630.0,3.4,11150,Bourke (A),2473
2016,7541.0,5.3,15270,Mid-Western Regional (A),2474
2015,7389.0,,15270,Mid-Western Regional (A),2475
2014,7132.0,,15270,Mid-Western Regional (A),2476
2013,6728.0,,15270,Mid-Western Regional (A),2477
2012,6495.0,,15270,Mid-Western Regional (A),2478
2011,6068.0,5.6,15270,Mid-Western Regional (A),2479
2016,8543.0,6.4,13310,Goulburn Mulwaree (A),2480
2015,8163.0,,13310,Goulburn Mulwaree (A),2481
2014,7714.0,,13310,Goulburn Mulwaree (A),2482
2013,6865.0,,13310,Goulburn Mulwaree (A),2483
2011,,4.8,32330,Cherbourg (S),219
2016,631.0,3.6,57420,Ravensthorpe (S),220
2015,682.0,,57420,Ravensthorpe (S),221
2014,731.0,,57420,Ravensthorpe (S),222
2013,685.0,,57420,Ravensthorpe (S),223
2012,703.0,,57420,Ravensthorpe (S),224
2011,623.0,2.7,57420,Ravensthorpe (S),225
2016,18230.0,6.4,64010,Launceston (C),226
2015,18107.0,,64010,Launceston (C),227
2014,17376.0,,64010,Launceston (C),228
2013,16707.0,,64010,Launceston (C),229
2012,16405.0,,64010,Launceston (C),230
2011,16049.0,5.9,64010,Launceston (C),231
2016,7829.0,6.7,40220,Alexandrina (DC),232
2015,7647.0,,40220,Alexandrina (DC),233
2014,7264.0,,40220,Alexandrina (DC),234
2013,6620.0,,40220,Alexandrina (DC),235
2012,6454.0,,40220,Alexandrina (DC),236
2011,6124.0,5.9,40220,Alexandrina (DC),237
2016,9095.0,7.2,36660,Southern Downs (R),238
2015,9232.0,,36660,Southern Downs (R),239
2014,9041.0,,36660,Southern Downs (R),240
2013,8722.0,,36660,Southern Downs (R),241
2012,8687.0,,36660,Southern Downs (R),242
2011,8492.0,6.4,36660,Southern Downs (R),243
2016,26264.0,7.1,17550,Tweed (A),244
2015,24659.0,,17550,Tweed (A),245
2014,23153.0,,17550,Tweed (A),246
2013,20682.0,,17550,Tweed (A),247
2012,19735.0,,17550,Tweed (A),248
2011,18870.0,6.9,17550,Tweed (A),249
2016,17371.0,6.1,42600,Holdfast Bay (C),262
2014,141.0,,55250,Meekatharra (S),472
2013,135.0,,55250,Meekatharra (S),473
2012,137.0,,55250,Meekatharra (S),474
2011,120.0,2.4,55250,Meekatharra (S),475
2016,779.0,6.6,44830,Mount Remarkable (DC),476
2015,803.0,,44830,Mount Remarkable (DC),477
2015,16960.0,,42600,Holdfast Bay (C),263
2014,759.0,,44830,Mount Remarkable (DC),478
2013,713.0,,44830,Mount Remarkable (DC),479
2012,730.0,,44830,Mount Remarkable (DC),480
2011,711.0,6.4,44830,Mount Remarkable (DC),481
2012,6568.0,,13310,Goulburn Mulwaree (A),2484
2014,16365.0,,42600,Holdfast Bay (C),264
2011,6230.0,6.0,13310,Goulburn Mulwaree (A),2485
2016,1668.0,5.6,50840,Bridgetown-Greenbushes (S),2486
2015,1560.0,,50840,Bridgetown-Greenbushes (S),2487
2014,1492.0,,50840,Bridgetown-Greenbushes (S),2488
2013,1437.0,,50840,Bridgetown-Greenbushes (S),2489
2013,15691.0,,42600,Holdfast Bay (C),265
2012,1363.0,,50840,Bridgetown-Greenbushes (S),2490
2011,1348.0,4.6,50840,Bridgetown-Greenbushes (S),2491
2016,21596.0,3.7,57840,South Perth (C),2492
2015,21642.0,,57840,South Perth (C),2493
2014,20723.0,,57840,South Perth (C),2494
2013,19914.0,,57840,South Perth (C),2495
2012,15418.0,,42600,Holdfast Bay (C),266
2012,19577.0,,57840,South Perth (C),2496
2011,18656.0,3.6,57840,South Perth (C),2497
2011,15008.0,6.0,42600,Holdfast Bay (C),267
2016,1009.0,5.2,42750,Kangaroo Island (DC),268
2015,1012.0,,42750,Kangaroo Island (DC),269
2014,969.0,,42750,Kangaroo Island (DC),270
2013,911.0,,42750,Kangaroo Island (DC),271
2012,1047.0,,42750,Kangaroo Island (DC),272
2016,3498.0,5.2,56730,Northam (S),286
2016,30558.0,5.8,55110,Mandurah (C),2534
2015,29816.0,,55110,Mandurah (C),2535
2014,27453.0,,55110,Mandurah (C),2536
2013,25307.0,,55110,Mandurah (C),2537
2012,23411.0,,55110,Mandurah (C),2538
2011,21610.0,5.0,55110,Mandurah (C),2539
2015,3505.0,,56730,Northam (S),287
2016,357.0,3.7,32250,Carpentaria (S),2540
2015,321.0,,32250,Carpentaria (S),2541
2014,337.0,,32250,Carpentaria (S),2542
2013,298.0,,32250,Carpentaria (S),2543
2012,314.0,,32250,Carpentaria (S),2544
2011,289.0,3.9,32250,Carpentaria (S),2545
2014,3362.0,,56730,Northam (S),288
2016,63970.0,5.6,34590,Logan (C),2546
2015,62878.0,,34590,Logan (C),2547
2014,59703.0,,34590,Logan (C),2548
2013,55033.0,,34590,Logan (C),2549
2012,52283.0,,34590,Logan (C),2550
2011,50081.0,4.4,34590,Logan (C),2551
2013,3215.0,,56730,Northam (S),289
2016,22625.0,4.6,62810,Hobart (C),2552
2015,22416.0,,62810,Hobart (C),2553
2014,21723.0,,62810,Hobart (C),2554
2013,21108.0,,62810,Hobart (C),2555
2012,21141.0,,62810,Hobart (C),2556
2011,20756.0,4.4,62810,Hobart (C),2557
2012,3045.0,,56730,Northam (S),290
2016,12910.0,6.4,14850,Lismore (C),2558
2015,12662.0,,14850,Lismore (C),2559
2014,12208.0,,14850,Lismore (C),2560
2013,11166.0,,14850,Lismore (C),2561
2012,10478.0,,14850,Lismore (C),2562
2011,10197.0,5.7,14850,Lismore (C),2563
2011,2884.0,5.2,56730,Northam (S),291
2016,7216.0,6.0,14100,Hunters Hill (A),292
2015,7138.0,,14100,Hunters Hill (A),293
2014,6770.0,,14100,Hunters Hill (A),294
2013,6491.0,,14100,Hunters Hill (A),295
2012,6392.0,,14100,Hunters Hill (A),296
2016,80.0,1.4,54970,Laverton (S),304
2016,33846.0,5.9,11500,Campbelltown (C) (NSW),2564
2015,32278.0,,11500,Campbelltown (C) (NSW),2565
2014,30618.0,,11500,Campbelltown (C) (NSW),2566
2013,28896.0,,11500,Campbelltown (C) (NSW),2567
2012,28863.0,,11500,Campbelltown (C) (NSW),2568
2011,28339.0,5.3,11500,Campbelltown (C) (NSW),2569
2016,600.0,4.2,33200,Flinders (S) (Qld),2570
2015,590.0,,33200,Flinders (S) (Qld),2571
2014,594.0,,33200,Flinders (S) (Qld),2572
2013,582.0,,33200,Flinders (S) (Qld),2573
2012,578.0,,33200,Flinders (S) (Qld),2574
2011,557.0,4.2,33200,Flinders (S) (Qld),2575
2016,9963.0,2.6,32270,Central Highlands (R) (Qld),2576
2015,10818.0,,32270,Central Highlands (R) (Qld),2577
2014,10825.0,,32270,Central Highlands (R) (Qld),2578
2013,10629.0,,32270,Central Highlands (R) (Qld),2579
2012,10571.0,,32270,Central Highlands (R) (Qld),2580
2011,9872.0,2.2,32270,Central Highlands (R) (Qld),2581
2016,708.0,5.2,43360,Kingston (DC) (SA),2582
2015,694.0,,43360,Kingston (DC) (SA),2583
2014,664.0,,43360,Kingston (DC) (SA),2584
2013,631.0,,43360,Kingston (DC) (SA),2585
2012,614.0,,43360,Kingston (DC) (SA),2586
2011,594.0,5.1,43360,Kingston (DC) (SA),2587
2016,20706.0,6.4,40910,Campbelltown (C) (SA),2588
2015,20278.0,,40910,Campbelltown (C) (SA),2589
2015,79.0,,54970,Laverton (S),305
2014,19562.0,,40910,Campbelltown (C) (SA),2590
2013,18536.0,,40910,Campbelltown (C) (SA),2591
2012,17979.0,,40910,Campbelltown (C) (SA),2592
2011,17389.0,5.6,40910,Campbelltown (C) (SA),2593
2016,518.0,7.4,61010,Central Highlands (M) (Tas.),2594
2015,570.0,,61010,Central Highlands (M) (Tas.),2595
2014,537.0,,61010,Central Highlands (M) (Tas.),2596
2013,530.0,,61010,Central Highlands (M) (Tas.),2597
2012,503.0,,61010,Central Highlands (M) (Tas.),2598
2011,494.0,7.1,61010,Central Highlands (M) (Tas.),2599
2016,5252.0,6.9,60810,Central Coast (M) (Tas.),2600
2015,5173.0,,60810,Central Coast (M) (Tas.),2601
2014,5002.0,,60810,Central Coast (M) (Tas.),2602
