LGA_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,LGA_NAME11
16370,0,3874,3874,6231,367,6598,3080,84,3164,3893,18,3911,1657,6,1663,561,3,564,15422,4352,19774,Pittwater (A)
16380,0,8017,8017,11206,685,11891,3611,70,3681,3320,5,3325,1492,6,1498,650,0,650,20279,8783,29062,Port Macquarie-Hastings (A)
16400,0,5890,5890,8565,491,9056,3319,46,3365,3360,6,3366,1557,0,1557,742,0,742,17543,6433,23976,Port Stephens (A)
16470,0,3888,3888,3968,347,4315,2208,54,2262,2289,9,2298,964,4,968,380,0,380,9809,4302,14111,Queanbeyan (C)
16550,0,12994,12994,13104,2942,16046,6958,1106,8064,6602,427,7029,2374,146,2520,845,65,910,29883,17680,47563,Randwick (C)
16610,0,2380,2380,2895,181,3076,1148,17,1165,1016,4,1020,519,0,519,299,0,299,5877,2582,8459,Richmond Valley (A)
16650,0,8196,8196,9564,1031,10595,6010,261,6271,5370,128,5498,2343,51,2394,1424,30,1454,24711,9697,34408,Rockdale (C)
16700,0,9503,9503,10350,1201,11551,6190,419,6609,6309,226,6535,2386,101,2487,932,61,993,26167,11511,37678,Ryde (C)
16900,0,4639,4639,6989,341,7330,3822,30,3852,4015,7,4022,1727,3,1730,863,0,863,17416,5020,22436,Shellharbour (C)
16950,0,9960,9960,13610,768,14378,4598,74,4672,4179,18,4197,1857,8,1865,860,0,860,25104,10828,35932,Shoalhaven (C)
17000,0,1601,1601,2375,166,2541,1232,33,1265,1408,6,1414,648,0,648,288,0,288,5951,1806,7757,Singleton (A)
17050,0,623,623,766,67,833,324,26,350,388,8,396,116,8,124,38,0,38,1632,732,2364,Snowy River (A)
17620,0,1427,1427,1746,149,1895,734,9,743,696,0,696,354,0,354,130,0,130,3660,1585,5245,Upper Hunter Shire (A)
17640,0,776,776,1063,27,1090,352,0,352,332,0,332,184,0,184,65,0,65,1996,803,2799,Upper Lachlan Shire (A)
17650,0,516,516,805,38,843,303,0,303,309,3,312,143,0,143,85,0,85,1645,557,2202,Uralla (A)
17700,0,134,134,166,6,172,44,0,44,45,0,45,33,0,33,18,0,18,306,140,446,Urana (A)
17750,0,5536,5536,6904,724,7628,3081,192,3273,2989,64,3053,1528,15,1543,682,0,682,15184,6531,21715,Wagga Wagga (C)
17800,0,410,410,608,24,632,173,0,173,174,0,174,95,0,95,29,0,29,1079,434,1513,Wakool (A)
17850,0,346,346,476,14,490,138,0,138,138,0,138,72,0,72,33,0,33,857,360,1217,Walcha (A)
17900,0,940,940,708,76,784,285,6,291,217,8,225,147,0,147,104,0,104,1461,1030,2491,Walgett (A)
17950,0,343,343,367,15,382,144,3,147,132,0,132,72,0,72,25,0,25,740,361,1101,Warren (A)
18000,0,11573,11573,14697,1417,16114,7828,269,8097,9472,92,9564,3813,31,3844,1432,12,1444,37242,13394,50636,Warringah (A)
18020,0,1091,1091,1326,87,1413,391,3,394,411,0,411,227,0,227,127,0,127,2482,1181,3663,Warrumbungle Shire (A)
18050,0,7575,7575,7188,1983,9171,3140,593,3733,2828,149,2977,1064,38,1102,293,16,309,14513,10354,24867,Waverley (A)
18100,0,438,438,591,28,619,174,4,178,141,0,141,92,0,92,36,0,36,1034,470,1504,Weddin (A)
18150,0,893,893,1024,61,1085,411,4,415,350,0,350,206,0,206,113,0,113,2104,958,3062,Wellington (A)
18200,0,629,629,906,47,953,328,4,332,301,0,301,158,0,158,90,0,90,1783,680,2463,Wentworth (A)
18250,0,5705,5705,7106,873,7979,4180,239,4419,4353,78,4431,1650,37,1687,469,10,479,17758,6942,24700,Willoughby (C)
18350,0,4324,4324,6124,276,6400,2116,25,2141,2223,12,2235,1083,4,1087,507,0,507,12053,4641,16694,Wingecarribee (A)
18400,0,2245,2245,4085,196,4281,2318,29,2347,2800,7,2807,1490,4,1494,779,0,779,11472,2481,13953,Wollondilly (A)
18450,0,18587,18587,21719,2075,23794,10788,578,11366,11110,245,11355,4616,94,4710,1921,33,1954,50154,21612,71766,Wollongong (C)
18500,0,6541,6541,6378,1088,7466,2494,355,2849,2277,90,2367,938,19,957,276,6,282,12363,8099,20462,Woollahra (A)
18550,0,14663,14663,17814,1362,19176,8286,119,8405,8018,35,8053,3721,7,3728,1883,3,1886,39722,16189,55911,Wyong (A)
18710,0,991,991,1842,83,1925,750,8,758,876,6,882,437,0,437,187,0,187,4092,1088,5180,Yass Valley (A)
53220,0,342,342,404,49,453,243,11,254,310,4,314,157,0,157,172,0,172,1286,406,1692,East Pilbara (S)
53290,0,1186,1186,1604,82,1686,668,11,679,699,6,705,332,0,332,140,3,143,3443,1288,4731,Esperance (S)
53360,0,226,226,317,38,355,111,5,116,119,0,119,37,3,40,16,0,16,600,272,872,Exmouth (S)
17500,0,1198,1198,1436,64,1500,558,8,566,568,0,568,250,3,253,115,0,115,2927,1273,4200,Tumut Shire (A)
17550,0,9570,9570,11876,1097,12973,4436,121,4557,3884,33,3917,1811,10,1821,813,6,819,22820,10837,33657,Tweed (A)
