lga_name_2016,lga_code_2016,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Dungog (A),12700,12,20,34,35,37,29,12,0,0,182,4,15,24,31,55,22,6,5,0,165,198,251,599,754,983,807,231,63,3,3885
Port Macquarie-Hastings (A),16380,55,130,250,254,280,196,59,5,0,1236,75,72,134,189,216,185,68,24,5,975,1881,2031,4743,6099,7472,5867,1358,181,23,29655
Port Stephens (A),16400,68,138,223,254,264,187,51,7,0,1200,69,102,163,225,255,217,82,23,3,1137,1785,2375,4672,5830,6725,4896,1137,155,18,27602
Queanbeyan-Palerang Regional (A),16490,65,127,253,223,221,145,30,4,0,1071,70,126,209,213,260,177,43,14,0,1121,1662,2476,6024,6457,7304,4368,965,117,16,29389
Randwick (C),16550,71,170,602,503,368,265,101,15,3,2097,86,256,802,606,532,292,117,29,4,2727,2095,6561,19594,16387,13022,7995,2284,287,46,68276
Richmond Valley (A),16610,23,41,55,54,64,46,18,0,0,308,22,24,48,71,72,68,35,12,0,354,597,675,1265,1622,1909,1679,433,84,10,8265
Rockdale (C),16650,52,169,474,456,354,251,65,10,0,1841,77,322,883,604,502,350,92,22,5,2850,1665,5015,16294,12120,9721,6298,1518,165,28,52827
Ryde (C),16700,71,180,472,432,427,282,88,11,0,1961,65,216,757,623,518,366,87,19,10,2659,1924,5246,15749,13547,11210,7454,1873,210,29,57245
Shellharbour (C),16900,84,154,329,300,242,181,30,0,0,1322,76,142,221,240,269,181,36,10,4,1185,1959,3077,6025,6595,6817,4404,666,59,16,29606
Shoalhaven (C),16950,61,133,288,293,296,219,68,8,0,1373,94,121,234,243,306,274,104,36,13,1421,2284,2986,6281,7098,8449,7282,1711,202,32,36330
Singleton (A),17000,30,69,114,104,107,50,4,0,0,481,32,41,57,77,105,64,13,4,0,395,816,1085,2116,2325,2501,1561,356,45,12,10822
Snowy Monaro Regional (A),17040,17,36,65,64,66,47,10,4,0,313,26,32,47,64,61,66,23,15,3,338,557,794,1672,1899,2335,1837,630,112,19,9860
Snowy Valleys (A),17080,19,18,29,23,30,28,14,0,0,169,13,29,49,49,66,60,24,13,0,293,294,423,995,1142,1377,1262,397,89,12,5991
The Hills Shire (A),17420,152,312,499,649,685,475,149,16,0,2937,151,300,590,846,856,524,193,27,3,3491,4454,7441,13386,19441,18878,12555,3665,333,26,80179
Tweed (A),17550,49,126,267,296,332,203,65,3,4,1342,108,131,298,327,355,307,96,31,13,1662,2162,2692,5797,7566,8522,7130,1623,213,37,35731
Upper Hunter Shire (A),17620,15,28,46,52,38,23,15,3,0,220,17,9,44,49,53,45,10,6,0,233,345,442,1227,1321,1386,1132,344,91,19,6298
Upper Lachlan Shire (A),17640,12,12,29,18,22,20,4,3,0,114,7,10,17,9,28,22,11,9,0,113,185,194,481,602,883,731,338,93,17,3528
Uralla (A),17650,3,6,12,15,10,26,5,0,0,74,10,10,10,15,20,26,5,0,0,100,136,164,359,536,643,563,175,38,8,2633
Wagga Wagga (C),17750,53,154,273,225,234,169,51,4,0,1163,70,113,227,181,200,143,54,17,5,1005,2072,3428,6584,5926,5892,4610,1120,175,28,29834
Walcha (A),17850,4,3,6,10,9,3,3,0,0,40,0,0,5,7,3,7,12,10,0,40,67,100,187,234,328,294,170,40,5,1414
Walgett (A),17900,3,6,7,16,12,11,0,0,0,49,3,7,14,14,25,22,10,3,0,98,62,142,401,381,442,419,178,35,3,2060
Warren (A),17950,0,0,3,5,7,11,3,3,0,40,0,0,3,6,9,10,5,4,0,33,30,69,208,214,257,247,95,35,7,1149
Warrumbungle Shire (A),18020,7,10,12,25,21,11,6,0,0,93,8,9,17,28,28,27,16,3,3,140,98,201,453,608,818,745,299,89,22,3335
Waverley (A),18050,25,97,366,264,173,112,46,7,0,1091,36,116,678,464,295,148,65,19,3,1832,659,2463,12404,9392,6252,3619,1401,202,43,36426
Weddin (A),18100,0,7,7,15,7,3,3,0,0,49,3,5,6,7,16,11,12,6,0,59,62,72,183,289,311,320,154,35,3,1437
Wentworth (A),18200,8,8,14,14,19,21,7,4,0,95,7,14,13,25,27,32,14,6,0,136,161,197,429,540,652,592,180,35,3,2786
Western Plains Regional (A),18230,47,122,234,173,176,146,57,13,3,977,62,78,154,127,157,125,54,26,9,784,1383,1993,4715,4319,4701,3749,1052,188,35,22142
Willoughby (C),18250,43,69,248,210,226,162,45,9,0,1002,34,127,406,397,352,197,65,17,3,1603,1085,2734,8755,9676,7679,4656,1507,201,27,36309
Wingecarribee (A),18350,47,91,157,155,189,139,52,8,0,844,41,69,101,175,228,188,99,25,7,933,1334,1434,3050,3895,5013,4082,1546,259,32,20644
Wollondilly (A),18400,75,117,241,231,229,132,29,3,0,1053,83,100,222,225,274,189,66,22,3,1179,1596,2292,4522,5325,5502,3875,826,90,20,24054
Wollongong (C),18450,190,463,834,742,731,445,101,12,0,3514,184,394,685,657,726,436,119,49,10,3262,5021,9675,18789,19711,19521,12919,2324,260,33,88251
Woollahra (A),18500,20,60,213,145,140,85,42,3,0,718,28,78,355,271,256,188,134,39,6,1363,506,2003,7746,6109,5155,3806,2157,455,76,28005
Yass Valley (A),18710,18,33,49,57,72,40,18,3,0,287,20,24,34,70,90,34,14,3,0,299,477,569,1155,1842,2063,1380,467,90,15,8076
Unincorporated NSW,19399,0,0,3,3,7,0,0,0,0,8,0,4,3,8,4,9,4,0,0,29,11,47,105,124,114,122,59,19,0,599
No usual address (NSW),19499,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
Alpine (S),20110,9,18,25,22,46,22,12,0,0,156,17,15,24,35,42,46,17,7,7,208,335,321,702,1046,1393,1280,349,53,12,5488
Ararat (RC),20260,15,21,40,26,30,29,5,3,0,167,15,14,25,26,40,32,16,7,4,175,296,332,771,833,1102,985,302,67,9,4708
Ballarat (C),20570,61,182,319,293,331,265,78,6,0,1543,103,173,264,276,329,221,84,21,4,1472,2704,4832,9546,9310,9541,7025,1555,169,30,44716
Banyule (C),20660,70,161,434,430,416,334,86,13,0,1949,75,196,472,507,476,328,133,30,11,2231,2436,5032,12618,13855,12793,9446,2440,265,32,58915
Bass Coast (S),20740,13,44,90,97,102,80,25,3,4,459,30,31,86,94,117,120,39,12,3,539,669,729,2060,2404,2996,2731,803,125,30,12537
Baw Baw (S),20830,55,101,198,173,235,171,44,9,0,991,52,68,137,157,208,161,71,19,6,878,1244,1770,3979,4032,4902,4006,1102,190,36,21255
Bayside (C),20910,55,98,207,237,354,197,73,12,0,1226,67,122,261,433,648,392,183,34,13,2160,2005,3516,6316,9802,12680,8392,2876,348,50,45993
Benalla (RC),21010,13,30,34,40,42,40,16,5,0,207,11,20,34,37,53,52,26,13,3,247,317,434,835,931,1340,1322,399,65,16,5659
Boroondara (C),21110,83,238,481,338,422,333,129,19,0,2036,108,309,622,615,806,487,208,64,18,3231,3410,8629,17640,16203,18912,12535,4277,570,82,82260
Brimbank (C),21180,74,409,894,698,704,437,93,7,4,3319,155,676,1542,1277,1192,766,147,27,3,5788,3245,9019,20802,17712,16406,10836,1861,131,21,80034
Buloke (S),21270,3,14,16,13,13,10,8,3,0,81,9,4,8,10,16,21,10,5,3,93,121,134,329,397,614,622,204,41,17,2486
Campaspe (S),21370,34,79,126,97,139,125,32,10,0,642,56,59,73,102,164,130,48,20,6,664,1051,1222,2561,2944,3843,3294,831,165,33,15950
Cardinia (S),21450,99,172,533,393,398,258,62,7,0,1924,133,225,490,516,531,355,94,18,9,2379,2518,4325,10472,10238,9825,5997,1369,183,36,44955
Casey (C),21610,210,639,1407,1285,1267,702,158,15,4,5674,313,853,1931,1877,1858,1096,264,37,19,8241,7052,13739,32206,33685,29862,17928,3119,279,49,137913
Central Goldfields (S),21670,6,24,21,28,31,34,11,0,0,161,16,20,25,44,47,53,15,14,3,219,268,373,631,776,1072,938,234,43,11,4352
Colac-Otway (S),21750,17,24,61,57,54,46,17,0,0,285,19,34,81,66,81,82,44,8,6,423,583,781,1648,1740,2133,1923,601,108,22,9545
Corangamite (S),21830,14,27,31,31,41,36,16,0,0,198,32,22,34,52,64,50,33,14,3,312,458,533,970,1267,1748,1517,545,111,19,7164
Darebin (C),21890,58,236,650,571,471,270,74,9,0,2339,102,352,918,705,612,353,83,29,6,3155,2195,6700,20842,17357,13998,7636,1398,153,38,70311
East Gippsland (S),22110,19,68,113,118,140,134,36,3,0,645,40,47,93,116,152,192,69,21,0,739,935,1171,2649,3034,4031,3798,1161,203,24,17003
Frankston (C),22170,104,289,586,514,589,362,90,0,0,2543,145,296,706,746,791,565,138,21,11,3418,3338,5925,13858,13976,14089,9875,2142,162,30,63406
Gannawarra (S),22250,10,13,24,20,34,40,10,3,0,153,12,17,19,23,32,54,24,7,3,199,241,318,616,738,1067,998,350,69,7,4404
Greater Shepparton (C),22830,65,110,244,231,275,171,53,6,0,1156,86,119,233,243,250,182,69,17,11,1202,1740,2253,5267,5426,6138,4703,1234,172,39,26976
Hepburn (S),22910,12,22,36,47,44,50,5,0,0,216,18,22,30,54,72,62,20,8,3,288,233,377,767,1266,1636,1550,448,58,13,6346
Hindmarsh (S),22980,0,15,5,12,17,14,4,0,0,73,7,12,9,8,20,9,7,4,3,84,95,187,331,401,545,539,148,42,6,2298
Hobsons Bay (C),23110,52,135,346,343,295,225,50,3,0,1445,61,211,496,412,445,286,78,6,3,2004,1548,3428,9862,10308,9606,6000,1103,98,17,41978
Horsham (RC),23190,25,47,98,70,75,66,19,4,0,405,33,25,72,48,66,52,17,11,0,337,587,805,1740,1686,1974,1749,458,96,19,9111
Hume (C),23270,110,351,841,695,675,411,74,9,0,3175,197,548,1149,1000,1043,526,121,17,4,4601,4054,8837,20501,18154,17326,10173,1838,119,27,81025
Indigo (S),23350,14,26,42,48,70,40,11,0,0,262,22,18,33,54,59,53,28,11,0,288,412,435,931,1495,1956,1682,491,76,18,7492
Kingston (C) (Vic.),23430,86,243,606,628,606,452,122,18,0,2752,107,261,696,800,836,552,186,35,18,3495,3212,6173,15465,17971,17121,11114,2712,280,49,74103
Knox (C),23670,106,320,675,699,745,535,126,10,0,3224,127,332,741,814,964,686,158,37,10,3866,3952,7416,16073,16353,17597,12981,2730,210,31,77348
Latrobe (C) (Vic.),23810,62,159,243,213,221,153,47,8,0,1095,69,109,219,192,227,207,66,24,5,1114,1766,2921,6062,5755,6525,5187,1112,142,25,29490
Loddon (S),23940,3,5,15,16,12,14,0,0,0,61,11,7,17,23,26,31,6,3,3,131,112,137,335,486,699,738,244,65,8,2838
Macedon Ranges (S),24130,33,83,120,170,200,143,57,3,0,804,41,62,123,194,230,149,70,14,10,895,1100,1573,3061,4956,5756,4007,1146,117,27,21741
Manningham (C),24210,55,151,353,361,510,362,121,17,0,1925,60,202,503,478,574,432,182,37,11,2479,2344,4748,9798,10736,12896,8991,2818,446,42,52818
Mansfield (S),24250,16,12,20,23,36,32,22,0,0,153,6,13,18,43,39,41,17,9,0,175,213,226,513,713,863,889,313,43,12,3781
Maribyrnong (C),24330,23,156,468,317,242,141,19,6,4,1374,51,225,648,436,357,202,56,6,0,1975,1025,4154,14220,10653,7057,3836,626,60,13,41648
Maroondah (C),24410,67,223,479,483,505,355,102,13,0,2234,89,210,508,503,558,354,141,25,6,2397,2816,4982,12074,12395,12150,8328,1983,189,23,54940
Melbourne (C),24600,30,263,696,263,212,120,36,3,3,1627,79,466,1127,431,322,189,73,16,3,2712,1662,9441,29861,11437,6600,4336,1534,234,49,65156
Melton (C),24650,75,241,589,581,422,232,56,4,0,2198,140,336,710,799,626,332,67,9,5,3028,3136,5439,14594,16727,12160,6828,1080,62,11,60028
Mildura (RC),24780,47,98,187,142,174,124,32,3,0,811,56,89,201,193,198,205,61,10,6,1019,1416,1995,4405,4382,5013,4141,994,123,29,22501
Mitchell (S),24850,40,93,174,152,153,104,28,4,0,742,49,87,165,173,209,158,43,18,0,896,1069,1659,3774,3777,4323,3043,664,87,15,18406
Moira (S),24900,37,45,94,70,60,80,21,3,0,416,47,64,81,100,123,89,50,20,3,567,785,956,1953,2173,2742,2404,653,121,22,11806
Monash (C),24970,57,270,560,515,654,384,137,18,0,2599,108,392,1041,841,863,496,160,60,20,3968,3184,8134,19318,17837,17552,10980,2891,410,67,80373
Tamworth Regional (A),17310,56,111,230,221,209,180,53,6,3,1068,91,86,212,208,215,172,66,27,11,1076,1638,2125,5270,5195,5705,4571,1254,209,33,25997
Temora (A),17350,15,14,27,19,15,14,6,0,0,110,3,3,18,14,30,20,12,3,0,104,151,163,415,450,620,513,166,33,4,2514
