lga_code16,f_is_ns_25_34_pd_gd_gcl,f_is_ns_25_34_bdl,f_is_ns_25_34_adip_dipl,f_is_ns_25_34_crt_iii_an_iv_l,f_is_ns_25_34_ct_i_ii,f_is_ns_25_34_cl_nfd,f_is_ns_25_34_loe_ns,f_is_ns_25_34_tot,f_is_ns_35_44_pd_gd_gcl,f_is_ns_35_44_bdl,f_is_ns_35_44_adip_dipl,f_is_ns_35_44_crt_iii_an_iv_l,f_is_ns_35_44_ct_i_ii,f_is_ns_35_44_cl_nfd,f_is_ns_35_44_loe_ns,f_is_ns_35_44_tot,f_is_ns_45_54_pd_gd_gcl,f_is_ns_45_54_bdl,f_is_ns_45_54_adip_dipl,f_is_ns_45_54_crt_iii_an_iv_l,f_is_ns_45_54_ct_i_ii,f_is_ns_45_54_cl_nfd,f_is_ns_45_54_lev_of_ed_ns,f_is_ns_45_54_tot,f_is_ns_55_64_pgde_gddp_gdc,f_is_ns_55_64_bacheldegre_l,f_is_ns_55_64_adip_dipl,f_is_ns_55_64_crt_iii_and_iv,f_is_ns_55_64_crt_i_and_ii,f_is_ns_55_64_certi_level_nfd,f_is_ns_55_64_lev_of_ed_ns,f_is_ns_55_64_tot,f_is_ns_65ov_ptgde_gddp_gdct,f_is_ns_65ov_bdl,f_is_ns_65ov_addip_and_dipl,f_is_ns_65ov_ct_iii_iv,f_is_ns_65ov_ct_i_ii,f_is_ns_65ov_cl_nfd,f_is_ns_65ov_lev_of_ed_ns,f_is_ns_65ov_tot,f_is_ns_tot_pgde_gddp_gdctl,f_is_ns_tot_bdl,f_is_ns_tot_adip_dipl,f_is_ns_tot_ct_iii_and_iv_l,f_is_ns_tot_ct_i_and_ii_l,f_is_ns_tot_cl_nfd,f_is_ns_tot_lev_of_ed_ns,f_is_ns_tot_tot,f_t_15_19_pd_gd_gcl,f_t_15_19_bdl,f_t_15_19_adip_dipl,f_t_15_19_ct_iii_iv,f_t_15_19_ct_i_ii,f_t_15_19_cl_nfd,f_t_15_19_loe_ns,f_t_15_19_tot,f_t_20_24_pd_gd_gcl,f_t_20_24_bdl,f_t_20_24_adip_dipl,f_t_20_24_ct_iii_iv,f_t_20_24_ct_i_ii,f_t_20_24_cl_nfd,f_t_20_24_loe_ns,f_t_20_24_tot,f_t_25_34_pd_gd_gcl,f_t_25_34_bdl,f_t_25_34_adip_dipl,f_t_25_34_ct_iii_iv,f_t_25_34_ct_i_ii,f_t_25_34_cl_nfd,f_t_25_34_loe_ns,f_t_25_34_tot,f_t_35_44_pd_gd_gcl,f_t_35_44_bdl,f_t_35_44_adip_dipl,f_t_35_44_ct_iii_iv,f_t_35_44_ct_i_ii,f_t_35_44_cl_nfd,f_t_35_44_loe_ns,f_t_35_44_tot,f_t_45_54_pd_gd_gcl,f_t_45_54_bdl,f_t_45_54_adip_dipl,f_t_45_54_ct_iii_iv,f_t_45_54_ct_i_ii,f_t_45_54_cl_nfd,f_t_45_54_loe_ns,f_t_45_54_tot,f_t_55_64_pd_gd_gcl,f_t_55_64_bdl,f_t_55_64_adip_dipl,f_t_55_64_ct_iii_iv,f_t_55_64_ct_i_ii,f_t_55_64_cl_nfd,f_t_55_64_loe_ns,f_t_55_64_tot,f_t_65ov_ptgdde_gddp_gdct,f_t_65ov_bdl,f_t_65ov_adip_dipl,f_t_65ov_ct_iii_iv,f_t_65ov_ct_i_ii,f_t_65ov_cl_nfd,f_t_65ov_loe_ns,f_t_65ov_tot,f_t_tot_pd_gd_gcl,f_t_tot_bdl,f_t_tot_adip_dipl,f_t_tot_ct_iii_iv,f_t_tot_ct_i_ii,f_t_tot_cl_nfd,f_t_tot_loe_ns,f_t_tot_tot,p_ind_15_19_pd_gd_gcl,p_ind_15_19_bdl,p_ind_15_19_adip_dipl,p_ind_15_19_ct_iii_iv,p_ind_15_19_ct_i_ii,p_ind_15_19_cl_nfd,p_ind_15_19_loe_ns,p_ind_15_19_tot,p_ind_20_24_pd_gd_gcl,p_ind_20_24_bdl,p_ind_20_24_adip_dipl,p_ind_20_24_ct_iii_iv,p_ind_20_24_ct_i_ii,p_ind_20_24_cl_nfd,p_ind_20_24_loe_ns,p_ind_20_24_tot,p_ind_25_34_pd_gd_gcl,p_ind_25_34_bdl,p_ind_25_34_adip_dipl,p_ind_25_34_ct_iii_iv,p_ind_25_34_ct_i_ii,p_ind_25_34_cl_nfd,p_ind_25_34_loe_ns,p_ind_25_34_tot,p_ind_35_44_pd_gd_gcl,p_ind_35_44_bdl,p_ind_35_44_adip_dipl,p_ind_35_44_ct_iii_iv,p_ind_35_44_ct_i_ii,p_ind_35_44_cl_nfd,p_ind_35_44_loe_ns,p_ind_35_44_tot,p_ind_45_54_pd_gd_gcl,p_ind_45_54_bdl,p_ind_45_54_adip_dipl,p_ind_45_54_ct_iii_iv,p_ind_45_54_ct_i_ii,p_ind_45_54_cl_nfd,p_ind_45_54_loe_ns,p_ind_45_54_tot,p_ind_55_64_pd_gd_gcl,p_ind_55_64_bdl,p_ind_55_64_adip_dipl,p_ind_55_64_ct_iii_iv,p_ind_55_64_ct_i_ii,p_ind_55_64_cl_nfd,p_ind_55_64_loe_ns,p_ind_55_64_tot,p_ind_65ov_ptgdde_gddp_gdct,p_ind_65ov_bdl,p_ind_65ov_adip_dipl,p_ind_65ov_ct_iii_iv,p_ind_65ov_ct_i_ii,p_ind_65ov_cl_nfd,p_ind_65ov_loe_ns,p_ind_65ov_tot,p_ind_tot_pd_gd_gcl,p_ind_tot_bdl,p_ind_tot_adip_dipl,p_ind_tot_ct_iii_iv,p_ind_tot_ct_i_ii,p_ind_tot_cl_nfd,p_ind_tot_loe_ns,p_ind_tot_tot,p_noni_15_19_ptgdde_gddp_gdct,p_noni_15_19_bdl,p_noni_15_19_adip_dipl,p_noni_15_19_ct_iii_iv,p_noni_15_19_ct_i_ii,p_noni_15_19_cl_nfd,p_noni_15_19_loe_ns,p_noni_15_19_tot,p_noni_20_24_ptgdde_gddp_gdct,p_noni_20_24_bdl,p_noni_20_24_adip_dipl,p_noni_20_24_ct_iii_iv,p_noni_20_24_ct_i_ii,p_noni_20_24_cl_nfd,p_noni_20_24_loe_ns,p_noni_20_24_tot,p_noni_25_34_ptgdde_gddp_gdct,p_noni_25_34_bdl,p_noni_25_34_adip_dipl,p_noni_25_34_ct_iii_iv,p_noni_25_34_ct_i_ii,p_noni_25_34_cl_nfd,p_noni_25_34_loe_ns,p_noni_25_34_tot,lga_name16
12730,0,0,0,0,0,0,34,39,0,0,0,0,0,0,40,42,0,0,0,0,0,0,48,53,0,0,0,0,0,0,66,73,0,0,0,0,0,0,104,102,0,0,0,8,0,0,333,345,0,0,0,11,4,5,38,62,3,15,16,47,5,3,36,126,14,95,34,108,8,13,42,316,27,102,77,84,11,10,64,377,30,51,69,91,9,21,77,352,31,45,75,72,17,15,103,356,13,50,54,47,6,15,238,418,119,370,322,458,62,80,599,2005,0,0,0,0,0,0,5,5,0,0,0,7,0,0,0,13,0,3,3,11,4,0,0,20,0,4,3,3,0,0,5,15,0,3,0,4,0,0,3,11,0,0,0,5,0,3,9,14,0,0,0,0,0,0,6,6,0,7,15,31,3,3,31,92,0,0,0,23,5,4,46,83,3,28,21,118,10,8,26,206,23,137,52,238,16,15,23,506,Edward River (A)
12750,0,0,0,0,0,0,79,83,0,0,0,0,0,0,105,114,3,3,0,4,0,0,129,137,0,3,0,0,0,0,218,225,0,5,4,3,0,3,395,412,9,15,8,9,0,3,1018,1065,0,0,0,26,8,11,99,148,0,32,40,133,19,16,73,318,49,207,123,322,37,30,129,886,90,293,222,360,44,60,180,1250,150,304,292,434,49,100,239,1563,266,452,448,429,57,155,399,2204,197,437,502,261,52,219,1225,2894,750,1733,1621,1961,271,587,2344,9270,0,0,0,6,4,3,26,38,0,0,3,23,6,6,17,60,0,3,7,53,6,7,32,108,3,17,9,52,4,12,24,123,3,14,26,43,10,3,21,120,3,15,15,24,3,0,19,86,3,9,8,5,0,0,21,50,18,56,75,213,29,31,156,574,0,0,0,56,17,9,98,174,4,37,46,278,39,28,41,475,79,287,182,754,51,47,91,1487,Eurobodalla (A)
12850,0,9,5,3,3,0,521,544,0,3,12,5,0,3,471,496,0,0,12,7,0,3,496,520,0,5,3,6,0,3,445,460,0,3,10,5,0,5,533,546,0,28,37,31,8,9,2900,3015,5,16,80,163,70,28,456,818,159,1301,720,578,110,95,481,3437,859,2912,1782,1479,212,217,1081,8533,386,1634,1533,1346,266,386,1003,6550,208,958,1212,1129,244,426,1105,5285,193,710,798,750,173,318,1063,4010,84,424,466,341,73,208,1758,3362,1893,7944,6589,5789,1147,1677,6951,31994,0,0,0,13,0,0,11,21,3,7,4,28,5,3,10,59,4,11,10,39,4,3,6,83,0,10,14,24,3,0,8,67,4,3,10,28,3,4,20,75,0,4,7,19,5,3,8,41,0,0,3,6,0,0,17,32,18,32,54,153,25,18,81,386,5,20,134,332,111,45,486,1137,221,2202,1242,1520,199,161,477,6017,1365,5128,2946,3518,347,404,1097,14803,Fairfield (C)
12870,0,0,0,0,0,0,25,27,0,0,0,3,0,0,39,45,0,0,0,0,0,0,39,40,0,0,3,0,0,0,67,72,0,0,0,0,0,0,157,157,0,0,5,3,0,0,368,380,0,0,3,15,6,5,46,75,0,25,26,43,12,12,26,139,27,102,71,98,21,14,36,372,21,100,68,122,21,9,67,412,30,71,90,123,18,29,76,436,40,79,76,98,14,27,128,461,15,63,99,70,17,37,374,678,130,438,431,569,108,139,753,2574,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,6,0,0,0,8,0,0,0,16,0,0,3,6,0,0,0,11,0,0,3,4,0,0,11,17,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,3,4,4,24,5,3,22,63,0,0,3,42,7,7,47,109,0,30,31,133,14,16,17,246,32,137,100,309,28,16,39,656,Federation (A)
12900,0,0,0,3,0,0,30,35,0,0,0,3,0,0,35,39,0,0,0,0,0,0,49,50,0,0,0,0,0,0,40,45,0,0,0,0,0,0,75,79,0,0,3,9,0,0,271,284,0,0,4,8,4,0,46,61,0,22,14,42,8,5,16,103,23,120,50,117,14,10,53,392,27,82,57,98,17,17,47,337,21,68,76,100,15,24,73,381,28,53,78,61,21,20,97,350,12,51,70,38,14,25,228,430,108,394,340,462,84,106,561,2060,0,0,0,4,0,0,19,24,0,3,3,23,0,3,3,36,0,6,4,39,0,0,5,61,3,3,13,32,3,5,0,53,0,3,8,17,0,3,9,47,0,7,4,11,0,0,7,25,0,0,4,0,0,0,11,15,3,24,33,124,6,14,61,261,0,0,3,21,5,0,25,61,0,28,16,104,12,6,17,180,31,163,61,236,26,20,28,565,Forbes (A)
12930,4,12,3,5,0,0,488,514,3,8,0,6,3,0,343,364,0,10,3,3,0,0,318,345,4,3,4,0,0,0,291,306,0,4,3,5,0,4,486,508,17,42,22,19,4,8,2239,2344,3,9,49,88,31,17,223,416,197,1351,457,350,42,64,332,2789,2393,4500,1300,795,73,129,825,10017,1537,3004,1414,777,130,285,649,7801,980,2101,1513,814,148,395,695,6649,560,1400,1095,539,98,390,727,4809,300,870,850,445,76,420,1720,4673,5970,13238,6684,3803,592,1693,5168,37150,0,0,0,3,0,0,5,12,0,8,5,19,0,4,4,43,6,18,10,21,3,0,3,67,6,13,8,16,0,3,6,52,3,11,18,19,0,5,5,57,8,7,7,7,0,0,3,37,0,0,8,3,0,5,3,18,24,53,62,98,5,10,27,285,3,17,74,165,51,30,204,553,316,2498,848,879,71,112,323,5042,4383,8197,2551,2103,131,244,700,18314,Georges River (A)
12950,0,4,0,0,0,0,10,17,0,0,0,0,0,0,10,16,0,0,0,0,0,0,14,14,0,0,0,0,0,0,18,15,0,0,0,0,0,0,39,39,0,3,0,0,0,0,105,108,0,0,0,3,0,0,22,25,0,9,6,18,5,4,13,58,8,53,19,52,7,8,21,165,5,35,20,50,9,4,11,140,5,31,38,48,4,5,25,166,3,26,29,40,5,9,36,161,9,25,26,15,3,7,102,186,30,185,135,228,31,44,243,899,0,0,0,0,3,0,4,14,0,0,0,7,3,0,9,19,0,0,3,12,0,0,8,27,0,0,5,21,0,0,8,43,0,0,3,9,0,3,3,25,0,7,6,0,0,3,7,19,0,0,3,0,0,0,5,9,0,16,17,63,9,5,45,156,0,0,0,12,3,0,10,22,0,12,4,40,3,7,5,76,10,66,20,108,9,8,11,235,Gilgandra (A)
13010,0,0,0,0,0,0,34,36,0,0,0,3,0,0,41,40,0,0,0,0,0,0,27,32,0,0,0,0,0,0,43,45,0,0,0,0,0,0,144,144,0,0,0,4,0,0,326,335,0,0,3,16,4,5,30,53,0,12,13,39,12,11,19,112,16,51,37,80,8,13,48,247,26,72,68,86,14,17,50,324,20,71,70,97,12,25,53,346,19,50,85,77,8,29,91,363,23,65,71,53,14,34,277,538,100,318,343,448,73,125,578,1985,0,0,0,0,0,0,6,4,0,0,0,10,4,3,3,21,0,3,0,14,5,4,15,36,0,3,7,6,3,0,18,32,0,5,8,17,0,0,12,39,0,0,3,8,0,0,10,20,0,0,0,4,0,0,4,11,0,6,14,58,17,10,70,169,0,0,0,28,8,6,32,75,0,18,15,81,15,6,11,147,18,61,51,181,25,18,69,432,Glen Innes Severn (A)
13310,0,0,0,11,0,0,100,108,0,0,4,5,0,3,86,96,0,0,4,0,0,0,103,108,0,0,0,0,0,0,98,104,0,3,0,3,0,0,166,180,3,4,7,20,3,9,634,680,0,0,11,47,16,3,106,182,6,40,66,154,38,25,53,376,83,279,212,415,40,33,140,1213,95,244,236,341,33,55,151,1156,94,217,247,339,42,76,189,1210,130,215,254,221,26,91,241,1177,72,183,237,125,17,88,733,1456,487,1177,1267,1640,211,382,1610,6763,0,0,0,5,3,0,12,26,0,0,0,8,5,7,25,50,0,6,8,30,0,3,66,118,5,13,12,24,3,0,32,82,3,9,9,26,3,7,16,64,4,3,8,7,0,3,9,43,0,3,0,6,0,0,17,24,15,40,44,108,18,15,180,408,0,0,11,85,21,11,103,231,11,76,91,373,51,37,91,723,131,406,325,957,58,52,220,2151,Goulburn Mulwaree (A)
13340,0,0,0,0,0,0,30,30,0,0,0,0,0,0,35,37,0,0,0,0,0,0,35,37,0,0,0,3,0,0,51,58,0,0,0,0,0,0,71,71,0,0,0,3,5,0,241,254,0,0,3,19,3,0,33,51,0,15,14,41,9,4,20,100,21,86,62,106,7,15,48,345,45,112,72,112,19,24,56,433,39,108,107,136,9,40,68,505,31,68,116,101,22,23,100,466,22,62,69,44,11,30,203,433,152,451,446,557,79,133,517,2337,0,0,0,5,0,0,7,9,0,0,0,4,0,0,0,4,0,3,0,12,0,0,4,21,0,0,0,4,0,0,0,18,0,0,6,7,0,0,6,21,0,0,0,9,0,0,4,16,0,0,0,0,0,0,4,6,3,11,8,45,5,0,21,89,0,0,3,26,4,4,41,75,3,21,20,96,12,6,19,185,23,120,87,272,15,20,24,563,Greater Hume Shire (A)
13450,0,0,0,0,0,0,134,139,0,0,0,3,0,0,124,129,0,0,0,0,0,0,121,129,0,0,0,3,0,0,135,143,0,0,0,0,0,0,235,234,0,4,5,15,0,0,849,878,0,0,7,37,9,6,94,158,5,47,45,167,22,26,98,402,80,343,195,310,32,33,213,1195,70,255,149,232,35,35,183,970,67,165,177,201,36,75,200,920,42,120,115,135,23,65,229,733,21,68,85,55,21,44,563,853,288,991,770,1140,179,282,1572,5225,0,0,0,6,3,0,5,19,0,0,3,27,8,0,5,47,0,3,11,52,5,3,13,82,3,3,9,24,3,9,12,61,0,4,12,18,0,4,6,50,0,6,5,9,0,3,12,33,0,0,0,4,0,0,15,21,3,19,38,147,19,15,73,305,0,0,10,74,13,9,85,195,12,87,57,346,29,26,61,613,126,510,296,787,41,57,142,1964,Griffith (C)
13510,0,0,0,0,0,0,27,29,0,0,0,0,0,0,43,43,0,0,0,3,0,0,28,35,0,0,3,0,0,0,48,50,0,0,0,0,0,0,89,87,3,3,3,6,0,0,269,277,0,0,5,23,8,0,37,73,0,21,18,59,3,3,33,133,21,81,61,101,21,13,52,354,24,106,64,110,18,23,61,392,27,67,81,133,22,27,55,415,38,78,85,95,11,29,108,444,18,65,100,42,16,43,294,573,117,416,407,567,101,133,627,2374,0,0,0,0,0,0,8,7,0,0,0,14,0,0,0,20,3,3,0,15,5,0,0,28,0,0,3,17,0,0,3,27,0,0,8,17,0,0,0,27,0,0,4,8,0,3,5,18,0,0,0,3,0,3,5,13,3,4,17,72,10,5,30,137,0,0,5,27,5,0,35,83,0,19,20,121,7,8,19,198,19,117,77,242,29,20,37,553,Gundagai (A)
13550,0,0,0,3,0,0,46,46,0,0,0,0,0,0,35,41,0,0,0,0,0,0,46,51,0,0,0,0,0,0,39,44,0,0,0,0,0,0,98,96,0,6,3,4,0,0,314,324,0,0,3,18,6,3,50,86,7,25,16,64,15,6,35,174,34,136,86,171,10,18,72,522,34,136,81,125,17,14,57,466,27,78,93,123,23,33,80,446,28,72,96,77,18,36,97,415,15,50,66,38,11,44,247,471,141,488,445,619,95,147,643,2583,0,0,0,14,3,0,11,35,0,0,7,21,7,7,16,56,3,4,9,61,8,4,17,98,3,6,7,38,5,0,13,70,0,3,8,28,8,0,13,63,0,5,7,17,4,4,12,43,0,0,0,6,0,0,18,25,7,12,35,184,28,15,99,391,0,0,3,25,5,3,49,91,7,34,21,148,18,3,20,239,46,198,110,392,13,33,43,830,Gunnedah (A)
13660,0,0,0,0,0,0,16,22,0,0,0,0,0,0,18,24,0,0,0,0,0,0,32,33,0,0,0,0,0,0,31,36,0,0,0,0,0,0,60,61,0,0,7,3,0,0,181,188,0,0,4,9,0,3,22,35,0,6,9,11,6,0,10,46,9,47,21,41,5,5,28,156,3,51,33,45,3,3,28,171,10,46,52,67,7,11,53,246,17,31,43,46,8,8,50,193,3,29,36,26,7,12,153,270,44,210,197,248,32,51,336,1110,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,6,0,5,0,6,0,0,0,11,0,0,0,10,0,3,4,13,0,0,0,7,0,0,3,12,0,0,3,0,0,0,3,6,0,0,0,5,0,0,3,6,0,5,8,29,0,3,17,54,0,0,3,10,3,3,21,45,0,7,8,52,9,0,7,81,9,55,31,102,9,7,22,232,Gwydir (A)
13800,0,3,0,7,0,4,191,208,0,3,4,3,0,0,177,190,0,0,0,8,0,0,269,276,0,0,5,4,0,0,193,196,0,4,11,0,0,0,292,305,4,15,18,18,0,4,1362,1430,0,3,34,105,41,18,184,381,37,256,231,435,62,58,174,1256,262,758,557,961,92,90,282,3010,231,726,604,742,119,158,291,2876,283,604,692,764,85,174,454,3060,264,464,497,409,71,164,393,2253,132,321,364,191,28,160,828,2029,1208,3131,2990,3612,506,815,2608,14860,0,0,0,13,8,0,9,26,3,7,5,71,6,3,5,109,5,27,28,106,5,5,8,189,8,5,32,62,3,9,4,115,15,15,30,50,4,9,15,136,10,11,17,34,0,3,14,86,4,3,0,8,0,0,7,27,41,67,117,344,29,35,61,689,0,4,43,231,46,18,129,475,54,359,318,1082,89,75,93,2066,378,1052,810,2490,134,140,187,5188,Hawkesbury (C)
13850,0,0,0,0,0,0,16,21,0,0,0,0,0,0,16,16,0,0,0,0,0,0,16,17,0,0,0,0,0,0,13,15,0,0,0,0,0,0,47,51,0,0,3,4,0,0,125,132,0,0,0,3,4,0,13,25,0,3,4,14,3,3,11,37,3,32,20,29,0,4,20,99,3,18,12,23,11,8,19,100,8,19,24,35,4,3,28,116,6,14,14,25,6,4,24,97,0,7,19,0,0,0,78,117,25,94,90,130,25,22,200,595,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,9,0,3,3,5,0,0,3,16,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,0,0,3,23,4,0,12,41,0,0,0,8,4,0,8,17,0,3,7,42,3,3,0,66,8,42,27,56,3,3,3,145,Hay (A)
16380,3,3,4,8,0,0,176,190,0,10,10,5,0,0,174,202,0,0,4,9,0,3,258,282,3,0,5,4,3,3,285,299,4,6,6,9,0,5,675,713,10,21,32,35,3,16,1756,1867,0,0,17,107,46,21,204,393,16,122,113,373,57,48,120,860,180,715,392,788,101,86,266,2527,279,901,666,826,97,134,294,3199,278,746,823,990,130,224,454,3646,335,658,804,821,136,305,622,3690,241,654,909,513,123,426,2357,5224,1336,3791,3730,4411,690,1243,4327,19539,0,0,3,14,12,4,20,60,0,3,11,77,12,10,11,117,13,20,32,118,15,13,15,225,6,23,37,103,6,12,13,201,10,23,44,88,8,14,16,208,8,5,23,61,10,10,36,146,3,5,13,32,0,0,17,80,30,87,164,493,62,63,130,1036,4,0,17,165,64,19,205,469,15,179,135,753,98,59,80,1326,269,1061,569,1758,131,123,171,4087,Port Macquarie-Hastings (A)
16400,0,4,6,3,0,0,217,225,3,4,5,8,3,0,210,222,0,3,6,5,0,0,248,268,0,0,0,3,0,0,286,293,0,4,3,5,0,4,670,689,8,13,23,31,7,10,1837,1912,0,0,22,104,45,16,195,391,10,137,134,370,71,40,151,914,132,548,414,808,99,75,310,2391,213,690,566,847,96,120,322,2854,206,484,642,867,99,181,429,2904,200,494,628,594,99,227,592,2841,148,457,604,435,77,323,1664,3712,914,2817,3016,4023,582,977,3665,15999,0,0,4,23,3,7,32,65,0,13,13,71,15,5,19,136,3,18,29,114,14,23,18,219,4,19,27,93,12,11,6,178,10,24,40,74,7,6,23,192,10,13,20,55,3,8,24,128,0,7,6,22,3,4,22,63,27,94,129,454,59,59,141,966,0,0,30,155,72,21,179,456,15,195,170,802,99,49,94,1427,199,772,589,1980,151,113,168,3975,Port Stephens (A)
16490,0,4,3,3,0,0,281,293,0,11,0,3,0,0,230,242,3,3,0,3,0,3,250,262,0,3,0,0,0,0,214,218,0,3,0,3,0,0,282,288,7,19,8,15,3,3,1446,1508,0,0,17,48,35,7,163,273,22,228,137,259,57,24,140,856,395,965,475,557,71,50,359,2868,528,971,540,561,52,88,326,3074,553,763,645,497,63,156,383,3051,337,498,450,300,59,136,370,2150,178,318,264,129,33,138,600,1653,2007,3745,2524,2346,369,591,2352,13933,0,0,0,12,3,0,10,28,0,11,6,39,9,0,7,73,10,21,17,63,11,0,18,137,3,17,23,48,3,6,7,109,15,22,31,35,3,3,3,109,3,11,9,23,0,3,9,68,3,3,0,3,0,0,5,12,36,80,93,219,27,20,65,538,0,0,19,94,45,10,132,308,25,325,198,598,85,31,69,1323,645,1561,809,1574,94,85,157,4924,Queanbeyan-Palerang Regional (A)
16550,9,17,3,0,0,0,977,1000,8,13,4,3,0,0,675,698,3,5,3,0,0,0,488,502,0,5,3,0,0,0,405,416,4,0,8,4,0,6,723,748,20,50,28,15,3,4,3958,4076,7,26,27,44,28,23,321,485,236,2144,334,276,34,51,639,3724,2575,5675,1252,677,73,132,1280,11659,2314,3773,1315,620,77,195,942,9241,1471,2359,1227,572,101,277,814,6814,903,1333,882,380,75,260,771,4598,560,1017,815,400,83,315,1944,5130,8071,16333,5852,2969,464,1243,6717,41652,0,0,0,3,5,3,19,33,5,19,11,42,4,3,42,124,11,45,17,62,6,4,92,246,16,25,24,46,3,6,75,197,12,16,11,41,3,9,43,126,6,7,4,24,3,3,37,86,4,3,6,9,0,0,24,52,52,116,77,232,24,27,332,856,11,40,58,106,33,47,280,574,361,3847,649,625,63,95,471,6116,4651,9955,2149,2375,124,259,979,20491,Randwick (C)
16610,0,0,0,3,0,0,55,61,3,0,3,5,0,0,102,110,0,0,0,3,3,0,96,109,0,6,0,3,0,0,120,127,0,0,0,3,0,0,148,157,3,8,3,13,3,5,600,634,0,0,10,36,22,6,94,164,0,25,36,119,30,15,62,293,28,113,87,249,46,32,89,643,37,188,128,301,25,33,145,862,49,132,161,276,49,56,149,872,40,134,166,216,33,64,206,849,29,110,151,103,15,55,468,933,180,713,740,1304,222,264,1208,4626,0,0,0,3,4,4,31,45,0,5,4,23,11,0,13,55,0,3,10,41,4,5,23,82,0,7,8,33,0,3,25,74,6,9,5,36,4,0,28,91,3,5,14,13,3,3,21,62,0,0,0,9,0,3,14,24,12,28,36,151,26,20,154,431,0,0,10,62,32,7,78,188,0,32,47,246,42,20,38,423,26,144,112,583,48,45,61,1027,Richmond Valley (A)
16650,3,7,4,4,0,3,634,658,0,3,0,0,0,3,378,388,0,3,5,0,0,3,307,318,0,0,4,5,0,0,262,271,0,0,7,3,0,3,668,682,9,24,20,18,0,13,2557,2633,3,5,36,56,23,9,179,320,141,990,412,274,29,50,340,2238,1864,3864,1147,748,76,126,992,8814,1047,2138,1160,641,107,247,631,5964,529,1168,1005,591,115,281,625,4322,338,693,590,403,81,212,595,2913,138,471,483,288,64,240,1704,3386,4065,9332,4829,3001,484,1169,5071,27957,0,0,0,3,0,0,0,7,0,7,14,14,4,0,3,38,8,21,19,29,0,3,3,88,6,10,13,28,0,0,4,67,5,7,13,16,0,3,3,48,3,7,4,14,0,3,0,30,0,0,0,4,0,0,5,20,29,50,62,106,5,12,28,292,3,11,56,119,33,15,173,420,197,1745,707,656,61,78,269,3721,3410,7179,2384,1894,132,245,687,15930,Rockdale (C)
16700,3,4,3,0,0,0,445,461,3,10,6,3,0,0,290,311,3,4,0,0,0,0,240,247,0,0,4,4,0,4,204,219,0,9,4,0,0,3,332,352,10,25,28,9,3,9,1819,1907,3,7,38,67,24,13,171,323,174,1392,412,268,31,48,323,2651,2749,4393,916,546,58,77,716,9466,2001,3088,1076,530,79,171,491,7439,1086,2027,1107,547,80,300,506,5650,667,1291,817,399,84,278,544,4088,381,875,860,291,82,363,1384,4232,7058,13081,5224,2648,437,1246,4135,33840,0,0,0,0,4,0,0,7,3,4,3,11,4,0,0,30,4,16,5,17,3,0,3,46,4,10,10,11,0,0,0,33,6,3,3,13,0,0,3,35,3,3,6,10,0,0,0,21,0,3,3,5,0,0,3,18,17,37,34,55,13,3,12,178,3,14,58,113,35,23,142,389,259,2431,747,616,61,94,212,4406,4844,8133,1792,1474,104,175,504,17026,Ryde (C)
16900,0,7,0,8,0,0,167,174,0,0,0,5,0,0,169,182,0,0,6,3,3,3,195,203,3,3,0,0,0,3,179,190,0,0,3,3,0,0,333,340,5,11,12,18,3,7,1193,1256,0,3,25,139,36,27,168,401,26,207,224,461,74,58,151,1202,227,717,579,1070,99,110,275,3074,244,675,646,877,117,146,317,3015,166,427,610,835,100,242,398,2766,175,355,462,518,83,220,462,2277,72,220,250,243,51,159,1190,2191,919,2601,2798,4143,556,967,2955,14926,0,0,0,17,7,8,22,46,0,4,10,54,9,3,5,85,3,23,48,88,4,8,19,200,3,14,39,80,10,9,25,172,9,11,26,50,5,3,11,118,6,10,17,35,4,3,13,91,0,3,5,15,0,4,19,47,23,61,158,334,40,37,112,766,0,3,40,224,65,32,160,526,34,297,316,1006,108,86,131,1981,315,1046,870,2480,137,152,198,5206,Shellharbour (C)
16950,0,3,0,11,0,0,257,274,3,3,6,9,0,3,255,285,0,0,4,7,0,3,367,388,0,4,11,7,0,5,455,474,3,4,11,4,0,9,832,868,11,22,34,47,6,17,2438,2573,3,0,14,130,47,16,294,499,28,158,148,524,102,55,221,1238,282,759,515,1117,148,106,409,3330,318,895,682,1019,125,177,403,3632,381,737,854,1099,149,265,642,4142,441,875,1020,947,159,366,917,4721,364,752,1025,568,116,475,2807,6102,1815,4175,4263,5407,847,1470,5691,23664,0,0,3,26,16,5,73,120,0,6,18,92,23,16,47,206,11,40,50,194,27,16,112,450,13,43,55,102,15,13,71,308,9,25,50,109,14,11,52,279,13,22,34,93,10,11,48,230,11,15,24,31,0,3,49,134,60,152,231,647,96,74,451,1711,0,3,20,215,62,20,284,599,35,229,187,1086,150,69,191,1946,373,1120,712,2709,194,156,426,5689,Shoalhaven (C)
