lga_code_2016,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t,lga_name16
16200,91,22,45,10,17,15,3,5,307,0,0,0,0,0,0,0,0,0,3,3,417,70,129,32,56,22,24,20,14,30,810,Parkes (A)
16260,18663,3528,4119,4998,5476,6090,3862,2837,93302,27,6,6,3,0,0,3,8,12,603,677,41105,15402,20669,3993,4620,5522,6039,6657,4272,4070,112344,Parramatta (C)
16350,4065,668,738,826,748,569,390,705,23351,31,7,3,0,0,0,0,0,0,341,384,25647,4563,5260,906,1042,1045,949,756,485,1637,42287,Penrith (C)
12730,39,5,24,19,37,30,17,11,237,3,0,0,0,0,0,0,0,0,0,4,269,36,51,7,34,29,42,36,20,39,568,Edward River (A)
12750,80,13,26,25,30,11,14,42,1021,13,0,0,0,0,0,0,0,0,8,18,4085,229,208,28,61,42,54,24,17,198,4952,Eurobodalla (A)
12850,10750,2179,2584,3851,3025,2804,1926,3375,98151,38,4,6,4,0,0,0,0,7,69,130,64315,10155,11347,2314,2753,4008,3164,2951,2024,3804,106828,Fairfield (C)
12870,35,3,12,6,15,22,8,10,199,0,0,0,0,0,0,0,0,0,0,0,613,44,68,18,17,11,24,26,13,41,868,Federation (A)
12900,23,6,15,9,11,4,0,3,134,0,0,0,0,0,0,0,0,0,0,0,249,39,43,7,21,13,14,9,3,16,418,Forbes (A)
12930,9511,1655,2012,2426,3038,2926,1919,1781,56906,21,4,5,0,3,0,0,0,0,42,81,30995,8312,10442,1846,2190,2626,3206,3116,2062,2157,66963,Georges River (A)
12950,4,3,0,12,0,0,8,10,58,0,0,0,0,0,0,0,0,0,4,6,87,23,12,0,3,10,0,0,7,19,165,Gilgandra (A)
13010,23,3,7,0,7,12,3,12,126,0,0,0,0,0,0,0,0,0,19,21,411,38,34,16,14,0,13,13,3,58,596,Glen Innes Severn (A)
13310,235,46,47,34,65,78,55,56,1095,6,0,0,0,0,0,0,0,0,125,130,1752,172,378,74,63,52,85,115,55,261,3009,Goulburn Mulwaree (A)
13340,20,9,12,0,5,0,5,5,118,3,0,0,0,0,0,0,0,0,3,6,431,36,48,24,21,9,4,0,8,27,613,Greater Hume Shire (A)
13450,629,113,166,206,182,221,124,255,3574,3,0,0,0,0,0,0,0,0,3,10,1992,518,745,156,199,228,215,272,150,336,4813,Griffith (C)
13510,34,12,10,14,15,13,3,10,170,0,0,0,0,0,0,0,0,0,3,3,417,30,58,19,8,17,19,18,3,25,621,Gundagai (A)
13550,43,15,17,11,11,11,4,15,217,0,0,0,0,0,0,0,0,0,0,0,298,57,80,17,42,22,16,19,6,45,597,Gunnedah (A)
13660,11,0,3,3,3,3,0,3,43,0,0,0,0,0,0,0,0,0,0,0,139,20,26,3,6,4,5,7,0,11,226,Gwydir (A)
11300,2890,596,781,1181,1439,1559,889,791,18576,0,4,0,0,0,3,4,0,0,11,24,8185,1984,3132,663,843,1246,1517,1641,943,900,21056,Burwood (A)
11350,217,50,64,85,71,84,43,78,1428,8,0,0,0,0,0,0,0,0,30,38,3392,625,615,131,165,158,151,157,108,320,5823,Byron (A)
11400,35,9,10,5,4,6,3,10,177,0,0,0,0,0,0,0,0,0,0,0,539,52,76,10,22,18,13,11,5,45,785,Cabonne (A)
11450,1015,186,184,161,149,119,68,226,6927,10,0,0,0,0,0,0,0,0,22,36,8889,1408,1536,302,305,245,247,218,103,473,13737,Camden (A)
11500,6465,1065,976,1094,961,983,626,831,34556,47,13,6,3,4,3,0,0,4,28,110,26959,6524,7449,1283,1195,1360,1153,1174,726,1382,49197,Campbelltown (C) (NSW)
11520,4344,979,1257,1360,1521,1497,812,894,26647,6,0,0,0,0,0,0,0,0,41,55,16396,3889,5378,1244,1534,1615,1742,1722,923,1187,35620,Canada Bay (A)
11570,18734,3137,3926,5152,4925,4801,2766,4475,133267,64,12,18,8,10,4,6,8,9,531,670,82572,16937,20442,3492,4281,5554,5309,5142,3011,5745,152500,Canterbury-Bankstown (A)
11600,33,7,4,7,18,24,14,33,158,0,0,0,0,0,0,0,0,0,0,0,68,12,64,13,12,15,20,28,20,38,280,Carrathool (A)
11650,2340,472,488,470,443,406,246,446,13707,71,0,10,3,0,0,3,0,0,122,208,31605,4485,5051,944,983,839,801,714,423,1685,47539,Central Coast (C) (NSW)
11700,3,0,0,0,4,5,3,0,27,0,0,3,0,0,0,0,0,0,10,17,61,5,9,0,0,3,4,4,3,15,110,Central Darling (A)
11720,156,35,46,18,32,24,11,45,764,3,0,0,0,0,0,0,0,0,104,113,2349,247,362,78,78,25,62,45,20,270,3530,Cessnock (C)
11730,154,16,31,20,40,27,22,32,776,10,0,0,0,0,0,0,0,0,34,41,2929,227,288,59,77,57,77,66,37,207,4029,Clarence Valley (A)
11750,56,10,26,10,9,4,0,4,140,3,0,0,0,0,0,0,0,0,0,8,141,33,87,22,35,10,10,12,3,18,362,Cobar (A)
11800,848,128,245,280,322,310,213,177,4030,20,3,0,0,0,0,0,0,0,26,48,5886,795,1371,246,344,367,375,409,258,417,10478,Coffs Harbour (C)
12000,3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,117,13,13,0,0,4,0,0,0,12,160,Coolamon (A)
12150,3,3,4,3,0,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,75,7,13,6,5,4,4,3,0,0,111,Coonamble (A)
12350,31,3,8,3,3,5,3,17,217,5,0,0,0,0,0,0,0,0,0,9,581,51,60,5,17,5,3,11,3,45,782,Cowra (A)
12380,18713,3309,4932,5979,5085,4715,3147,3080,100716,43,13,15,3,7,3,12,8,9,114,231,45226,14907,19964,3522,5239,6280,5391,5014,3342,3652,112543,Cumberland (A)
