LGA_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,LGA_NAME11
37400,156,307,3,9,12,36,7,18,82,338,104,401,5,20,3,6,30,79,38,105,142,506,0,0,6,21,3,9,20,55,29,85,0,0,0,3,14,27,14,30,43,115,9,13,350,941,Winton (S)
41010,406,797,12,78,33,140,19,93,219,898,283,1209,4,15,17,45,43,127,64,187,347,1396,0,10,5,14,11,35,72,220,88,279,3,18,8,14,37,92,48,124,136,403,14,31,903,2627,Ceduna (DC)
41060,11101,22018,130,712,1141,5207,258,1173,5869,22283,7398,29375,693,2909,1065,3693,2485,7889,4243,14491,11641,43866,58,264,314,1106,128,451,1737,4475,2237,6296,212,710,525,1178,1943,4160,2680,6048,4917,12344,580,1225,28239,79453,Charles Sturt (C)
41140,1218,2382,17,95,91,427,17,87,558,2247,683,2856,37,145,68,217,135,405,240,767,923,3623,3,27,36,122,9,28,115,317,163,494,4,6,27,60,65,138,96,204,259,698,18,41,2418,6744,Clare and Gilbert Valleys (DC)
37600,64,139,9,86,13,83,31,240,113,570,166,979,4,23,0,13,25,88,29,124,195,1103,8,39,5,20,32,190,132,450,177,699,3,17,0,0,56,174,59,191,236,890,29,71,524,2203,Yarrabah (S)
39399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37550,22,52,3,26,3,19,14,77,42,213,62,335,0,0,0,0,13,48,13,48,75,383,4,9,3,31,13,67,53,200,73,307,3,3,3,8,11,29,17,40,90,347,10,25,197,807,Woorabinda (S)
41330,181,348,4,5,8,43,0,0,84,332,96,380,0,6,6,18,24,79,30,103,126,483,0,0,3,23,0,5,29,77,32,105,0,0,5,9,8,23,13,32,45,137,11,23,363,991,Coober Pedy (DC)
41560,1937,3818,16,94,119,524,37,161,669,2676,841,3455,34,126,89,274,197,619,320,1019,1161,4474,8,42,38,135,20,71,277,727,343,975,14,43,36,80,157,342,207,465,550,1440,40,92,3688,9824,Copper Coast (DC)
41750,133,260,0,13,13,58,0,0,80,296,93,367,0,11,15,37,15,35,30,83,123,450,0,0,4,0,0,3,11,32,15,35,0,0,4,8,6,13,10,21,25,56,0,4,281,770,Elliston (DC)
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43080,141,272,0,0,13,70,5,27,67,261,85,358,0,14,15,40,17,58,32,112,117,470,0,0,4,16,4,4,5,21,13,41,0,0,7,10,5,13,12,23,25,64,6,12,289,818,Karoonda East Murray (DC)
52800,395,801,5,53,20,116,66,366,393,1678,484,2213,3,12,8,23,50,195,61,230,545,2443,4,28,12,47,47,223,226,743,289,1041,7,16,6,11,83,240,96,267,385,1308,55,153,1380,4705,Derby-West Kimberley (S)
52870,750,1455,7,58,50,213,28,128,343,1372,428,1771,19,80,34,89,111,338,164,507,592,2278,0,4,6,27,8,28,80,205,94,264,7,26,15,29,53,106,75,161,169,425,9,21,1520,4179,Donnybrook-Balingup (S)
54060,483,910,6,27,30,140,14,61,244,973,294,1201,12,43,24,70,62,162,98,275,392,1476,0,4,9,28,6,25,56,158,71,215,0,5,10,17,22,42,32,64,103,279,6,9,984,2674,Irwin (S)
40070,2122,4131,3,19,52,219,3,16,460,1592,518,1846,29,110,83,274,93,280,205,664,723,2510,0,0,19,64,6,15,130,300,155,379,14,45,76,165,111,213,201,423,356,802,226,474,3427,7917,Adelaide (C)
40120,4377,8578,81,426,595,2693,115,502,2754,10811,3545,14432,344,1390,629,2166,921,2814,1894,6370,5439,20802,18,79,94,297,24,79,408,1022,544,1477,63,194,157,345,358,741,578,1280,1122,2757,75,152,11013,32289,Adelaide Hills (DC)
40220,3636,7132,55,311,234,1073,91,384,1283,5083,1663,6851,125,494,150,503,369,1104,644,2101,2307,8952,10,44,76,257,37,133,377,980,500,1414,32,83,88,185,254,520,374,788,874,2202,66,135,6883,18421,Alexandrina (DC)
40250,139,313,4,38,22,111,21,156,165,690,212,995,3,21,4,18,20,63,27,102,239,1097,4,9,7,47,21,106,80,270,112,432,0,3,11,21,33,101,44,125,156,557,12,35,546,2002,Anangu Pitjantjatjara (AC)
40310,2866,5632,53,286,260,1178,81,361,1568,6158,1962,7983,123,498,187,605,491,1509,801,2612,2763,10595,14,59,63,214,25,81,310,805,412,1159,17,59,79,163,183,377,279,599,691,1758,47,94,6367,18079,Barossa (DC)
40430,394,772,3,11,33,151,3,22,123,480,162,664,6,20,13,39,30,94,49,153,211,817,0,0,6,24,3,13,33,79,42,116,0,4,3,7,24,48,27,59,69,175,6,12,680,1776,Barunga West (DC)
40520,1279,2525,21,87,111,512,34,141,596,2371,762,3111,41,168,86,267,173,528,300,963,1062,4074,10,33,34,116,25,91,257,726,326,966,11,34,45,97,148,311,204,442,530,1408,38,84,2909,8091,Berri and Barmera (DC)
45040,2190,4342,47,245,224,1052,71,320,1048,4140,1390,5757,90,374,152,497,339,1064,581,1935,1971,7692,15,63,58,207,45,168,455,1286,573,1724,22,80,88,187,266,554,376,821,949,2545,79,163,5189,14742,Murray Bridge (RC)
40910,5120,10190,86,453,553,2495,131,589,3039,11615,3809,15152,372,1579,596,2083,1229,3917,2197,7579,6006,22731,21,108,159,527,54,187,627,1591,861,2413,94,299,285,661,770,1664,1149,2624,2010,5037,261,540,13397,38498,Campbelltown (C)
54130,115,220,0,0,11,38,0,5,95,364,106,407,3,11,3,7,21,58,27,76,133,483,0,0,0,0,3,4,10,27,13,31,0,0,0,3,4,5,4,8,17,39,3,7,268,749,Jerramungup (S)
54170,15280,29894,374,1970,2271,10093,650,2837,10641,40986,13936,55886,1594,6525,2281,7816,4401,13533,8276,27874,22212,83760,78,313,374,1267,177,578,1868,4874,2497,7032,331,1046,642,1478,1917,4039,2890,6563,5387,13595,579,1216,43458,128465,Joondalup (C)
40700,4620,9076,66,360,616,2743,51,202,2468,9556,3201,12861,329,1312,803,2782,743,2303,1875,6397,5076,19258,14,57,125,415,21,66,408,975,568,1513,86,261,286,641,427,876,799,1778,1367,3291,199,407,11262,32032,Burnside (C)
41190,225,446,4,4,16,77,5,24,124,528,149,633,5,18,12,39,22,56,39,113,188,746,0,4,0,0,0,0,17,49,17,53,0,3,7,10,15,35,22,48,39,101,4,5,456,1298,Cleve (DC)
46860,215,416,3,8,22,95,7,25,74,298,106,426,0,9,15,30,10,40,25,79,131,505,0,0,0,0,0,0,15,34,15,34,0,4,0,7,13,17,13,28,28,62,4,5,378,988,Robe (DC)
41830,242,468,3,18,16,75,10,37,83,331,112,461,5,21,3,18,33,84,41,123,153,584,0,0,7,34,0,0,39,93,46,127,3,5,7,20,18,38,28,63,74,190,4,8,473,1250,Flinders Ranges (DC)
41960,181,363,0,0,14,53,0,8,81,340,95,401,0,0,16,30,17,56,33,86,128,487,3,5,5,14,0,3,11,28,19,50,0,3,0,0,10,14,10,17,29,67,3,7,341,924,Franklin Harbour (DC)
46970,361,703,3,26,55,224,14,73,458,1757,530,2080,18,69,10,29,50,155,78,253,608,2333,0,4,0,9,0,5,27,58,27,76,0,0,0,10,31,56,31,66,58,142,12,20,1039,3198,Roxby Downs (M)
47140,12272,24437,270,1553,1401,6743,577,2618,7963,30795,10211,41709,851,3619,1029,3493,3107,9950,4987,17062,15198,58771,127,571,511,1873,316,1106,3079,8287,4033,11837,298,987,577,1299,2247,4843,3122,7129,7155,18966,621,1314,35246,103488,Salisbury (C)
47290,264,522,3,10,31,119,4,21,148,599,186,749,5,18,15,47,24,75,44,140,230,889,0,0,3,7,0,3,23,65,26,75,0,8,5,8,21,47,26,63,52,138,4,8,550,1557,Southern Mallee (DC)
47490,252,481,3,18,18,87,6,14,143,596,170,715,6,25,16,54,32,91,54,170,224,885,0,0,8,25,0,5,19,52,27,82,0,5,8,15,18,39,26,59,53,141,6,9,535,1516,Streaky Bay (DC)
47630,791,1552,20,115,105,489,18,86,455,1830,598,2520,13,57,47,144,109,330,169,531,767,3051,6,14,15,56,5,16,93,259,119,345,3,15,13,29,53,104,69,148,188,493,17,35,1763,5131,Tatiara (DC)
42030,2343,4638,46,250,207,921,62,280,1140,4350,1455,5801,127,511,205,676,447,1399,779,2586,2234,8387,18,65,100,318,40,134,481,1266,639,1783,48,145,118,256,305,638,471,1039,1110,2822,64,132,5751,15979,Gawler (T)
42110,555,1086,9,49,43,198,9,28,230,930,291,1205,16,67,35,124,71,212,122,403,413,1608,3,4,20,85,3,15,70,175,96,279,6,11,14,33,45,96,65,140,161,419,14,26,1143,3139,Goyder (DC)
42250,936,1853,21,102,119,533,33,157,572,2307,745,3099,46,177,82,257,160,496,288,930,1033,4029,0,8,18,55,6,22,86,217,110,302,9,24,14,29,59,124,82,177,192,479,23,40,2184,6401,Grant (DC)
47700,10940,21666,174,932,1190,5338,354,1556,6178,23703,7896,31529,754,3091,1159,4000,2594,8230,4507,15321,12403,46850,52,218,319,1070,135,415,1488,3809,1994,5512,216,665,476,1074,1425,3056,2117,4795,4111,10307,294,614,27748,79437,Tea Tree Gully (C)
47800,707,1379,14,65,46,217,24,99,343,1377,427,1758,17,61,38,137,84,255,139,453,566,2211,0,0,10,30,5,33,82,218,97,281,8,34,16,26,63,129,87,189,184,470,20,46,1477,4106,The Coorong (DC)
47910,383,747,8,35,33,154,4,15,149,593,194,797,8,20,17,54,37,116,62,190,256,987,0,3,5,23,5,16,30,81,40,123,3,5,3,6,19,38,25,49,65,172,8,17,712,1923,Tumby Bay (DC)
51400,1392,2690,41,210,207,932,94,409,1282,5078,1624,6629,61,244,119,351,260,795,440,1390,2064,8019,8,31,47,160,15,54,281,746,351,991,16,49,42,83,88,177,146,309,497,1300,23,49,3976,12058,Capel (S)
54200,6019,11808,139,765,590,2724,262,1172,3490,13567,4481,18228,424,1728,485,1624,1420,4412,2329,7764,6810,25992,28,130,163,552,106,343,776,2100,1073,3125,101,319,183,399,733,1592,1017,2310,2090,5435,182,388,15101,43623,Kalamunda (S)
42600,4156,8145,36,187,347,1542,71,294,1656,6216,2110,8239,220,895,415,1397,603,1839,1238,4131,3348,12370,6,24,54,180,25,75,398,945,483,1224,41,117,177,372,483,975,701,1464,1184,2688,147,305,8835,23508,Holdfast Bay (C)
42750,634,1234,5,27,33,163,14,46,285,1082,337,1318,5,30,23,68,53,146,81,244,418,1562,0,3,9,32,3,10,68,179,80,224,0,0,11,13,30,55,41,68,121,292,8,14,1181,3102,Kangaroo Island (DC)
43220,144,284,4,23,12,48,0,12,86,328,102,411,0,5,9,21,16,41,25,67,127,478,0,7,0,0,3,5,4,10,7,22,0,0,0,0,8,20,8,20,15,42,0,0,286,804,Kimba (DC)
43360,337,643,0,23,26,116,3,13,119,448,148,600,5,17,21,72,41,123,67,212,215,812,0,0,5,27,3,8,36,93,44,128,0,0,10,19,21,39,31,58,75,186,4,6,631,1647,Kingston (DC)
43650,1463,2873,40,237,221,983,55,260,1070,4295,1386,5775,105,433,162,543,309,926,576,1902,1962,7677,8,26,42,141,8,37,178,514,236,718,10,36,53,107,124,272,187,415,423,1133,30,62,3878,11745,Light (RegC)
43710,594,1147,9,62,79,364,32,133,344,1359,464,1918,18,77,47,140,66,204,131,421,595,2339,0,3,15,44,5,17,62,162,82,226,0,4,13,34,30,59,43,97,125,323,8,17,1322,3826,Lower Eyre Peninsula (DC)
43790,1525,3014,24,117,130,607,32,149,664,2648,850,3521,57,235,98,316,189,593,344,1144,1194,4665,7,30,33,104,17,59,202,558,259,751,12,37,39,77,104,206,155,320,414,1071,30,65,3163,8815,Loxton Waikerie (DC)
43920,895,1763,23,143,115,571,56,235,555,2162,749,3111,66,255,86,290,220,695,372,1240,1121,4351,3,10,15,74,14,32,124,331,156,447,16,46,29,73,90,194,135,313,291,760,22,40,2329,6914,Mallala (DC)
44000,7,13,0,0,0,3,0,13,6,11,6,27,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,3,0,3,4,4,0,0,0,3,4,7,4,10,0,0,17,50,Maralinga Tjarutja (AC)
44060,8924,17618,125,683,848,3793,217,970,4995,18791,6185,24237,500,2062,926,3120,1690,5318,3116,10500,9301,34737,24,107,242,832,97,345,1347,3368,1710,4652,193,590,484,1065,1438,3008,2115,4663,3825,9315,453,940,22503,62610,Marion (C)
44210,1160,2273,15,77,76,347,35,163,358,1416,484,2003,29,99,54,170,154,465,237,734,721,2737,3,9,29,103,10,30,112,304,154,446,8,29,24,48,99,198,131,275,285,721,23,55,2189,5786,Mid Murray (DC)
44340,6759,13344,99,558,865,3908,143,611,4226,16196,5333,21273,483,1986,951,3283,1305,4010,2739,9279,8072,30552,23,90,165,531,42,131,664,1630,894,2382,135,409,343,761,761,1586,1239,2756,2133,5138,262,538,17226,49572,Mitcham (C)
44550,3184,6257,65,367,417,1886,113,508,2237,8777,2832,11538,202,822,313,1028,559,1728,1074,3578,3906,15116,10,54,107,365,37,124,551,1401,705,1944,53,152,135,293,322,667,510,1112,1215,3056,67,141,8372,24570,Mount Barker (DC)
44620,2777,5475,43,236,282,1282,90,392,1561,6150,1976,8060,81,341,176,554,387,1181,644,2076,2620,10136,12,66,99,352,43,142,686,1832,840,2392,34,101,124,258,355,750,513,1109,1353,3501,80,159,6830,19271,Mount Gambier (C)
44830,451,869,7,39,40,182,8,27,143,565,198,813,15,55,27,78,39,123,81,256,279,1069,0,0,7,22,0,8,34,97,41,127,0,3,4,13,22,39,26,55,67,182,3,7,800,2127,Mount Remarkable (DC)
45090,1061,2101,8,35,79,350,28,124,597,2321,712,2830,27,96,68,196,132,391,227,683,939,3513,0,3,22,74,8,26,114,295,144,398,5,5,18,39,60,130,83,174,227,572,27,51,2254,6237,Naracoorte and Lucindale (DC)
45120,645,1253,16,83,52,224,17,76,270,1097,355,1480,13,49,31,97,74,217,118,363,473,1843,0,16,6,25,0,0,56,154,62,195,8,20,18,30,37,81,63,131,125,326,10,27,1253,3449,Northern Areas (DC)
45290,3696,7269,31,153,316,1407,36,153,1918,7153,2301,8866,183,727,389,1350,496,1568,1068,3645,3369,12511,8,43,96,287,19,75,434,1035,557,1440,51,151,208,451,478,1003,737,1605,1294,3045,277,587,8636,23412,Norwood Payneham St Peters (C)
45340,17383,34373,312,1647,1902,8610,610,2720,10135,39167,12959,52144,1080,4432,1560,5242,3727,11685,6367,21359,19326,73503,94,420,592,2054,262,880,3528,9181,4476,12535,296,911,751,1628,2416,5123,3463,7662,7939,20197,538,1104,45186,129177,Onkaparinga (C)
45400,138,258,3,6,8,37,0,15,39,162,50,220,4,21,10,28,19,50,33,99,83,319,0,0,5,16,0,0,3,8,8,24,0,0,7,15,10,21,17,36,25,60,5,6,251,643,Orroroo/Carrieton (DC)
50250,498,975,9,50,44,197,41,186,641,2520,735,2953,14,53,14,34,50,150,78,237,813,3190,4,14,7,21,8,38,88,249,107,322,0,4,0,4,41,72,41,80,148,402,14,24,1473,4591,Ashburton (S)
45540,227,450,0,12,13,51,4,17,66,262,83,342,5,17,9,40,14,38,28,95,111,437,0,4,9,25,5,12,57,170,71,211,0,5,8,14,21,43,29,62,100,273,8,12,446,1172,Peterborough (DC)
45680,6967,13885,186,1120,891,4379,342,1543,4557,18095,5976,25137,382,1600,574,1933,1618,5121,2574,8654,8550,33791,100,471,373,1419,250,893,2779,7727,3502,10510,146,463,376,812,1398,3027,1920,4302,5422,14812,345,727,21284,63215,Playford (C)
45890,10702,21337,165,914,1091,5086,282,1258,6547,24808,8085,32066,511,2123,908,3091,2074,6642,3493,11856,11578,43922,97,447,404,1490,207,712,2370,6340,3078,8989,238,763,603,1375,2133,4608,2974,6746,6052,15735,712,1544,29044,82538,Port Adelaide Enfield (C)
46090,1379,2681,20,100,119,534,49,221,761,2914,949,3769,52,213,100,296,233,704,385,1213,1334,4982,13,50,52,194,32,118,335,967,432,1329,16,42,49,105,190,411,255,558,687,1887,62,141,3462,9691,Port Augusta (C)
46300,1554,3029,28,138,148,668,56,259,879,3382,1111,4447,43,170,78,234,206,616,327,1020,1438,5467,11,50,40,155,31,108,333,916,415,1229,17,52,75,148,192,406,284,606,699,1835,52,105,3743,10436,Port Lincoln (C)
46450,2022,3983,41,248,207,950,73,329,926,3737,1247,5264,66,261,132,427,293,878,491,1566,1738,6830,8,52,72,249,38,126,415,1160,533,1587,24,78,66,146,239,497,329,721,862,2308,55,117,4677,13238,Port Pirie City and Dists (M)
46510,1837,3652,32,167,210,942,28,115,1409,5326,1679,6550,137,553,279,977,353,1113,769,2643,2448,9193,3,15,42,144,18,59,228,538,291,756,35,114,93,209,266,577,394,900,685,1656,131,269,5101,14770,Prospect (C)
46670,1104,2176,19,102,103,492,36,160,506,2002,664,2756,44,177,92,281,152,486,288,944,952,3700,7,17,31,112,18,64,178,515,234,708,10,29,29,63,108,231,147,323,381,1031,37,76,2474,6983,Renmark Paringa (DC)
47980,3689,7245,60,346,419,1826,37,157,2357,8954,2873,11283,218,886,489,1685,561,1725,1268,4296,4141,15579,8,25,81,228,23,66,398,928,510,1247,53,170,184,410,407,837,644,1417,1154,2664,199,416,9183,25904,Unley (C)
48050,2448,4863,18,100,104,453,28,116,550,2130,700,2799,35,155,64,197,187,567,286,919,986,3718,5,28,47,152,19,76,203,521,274,777,14,45,48,91,139,287,201,423,475,1200,32,69,3941,9850,Victor Harbor (C)
48130,772,1512,12,72,93,458,25,110,378,1513,508,2153,22,99,52,157,125,385,199,641,707,2794,0,12,24,72,12,42,124,374,160,500,4,12,13,28,72,139,89,179,249,679,20,43,1748,5028,Wakefield (DC)
50280,1305,2492,14,61,118,501,33,146,891,3319,1056,4027,47,176,70,205,152,438,269,819,1325,4846,0,3,38,116,13,42,212,529,263,690,18,50,40,78,95,193,153,321,416,1011,26,47,3072,8396,Augusta-Margaret River (S)
50350,1524,2994,34,174,120,554,56,257,874,3296,1084,4281,78,330,109,378,278,846,465,1554,1549,5835,6,29,51,167,33,125,278,696,368,1017,21,67,64,137,267,578,352,782,720,1799,98,211,3891,10839,Bassendean (T)
50420,6762,13318,76,414,536,2431,143,682,3725,13956,4480,17483,310,1303,538,1866,1272,4012,2120,7181,6600,24664,20,93,142,507,68,244,914,2289,1144,3133,101,326,249,549,989,2112,1339,2987,2483,6120,380,799,16225,44901,Bayswater (C)
50490,3583,7084,48,279,263,1239,92,405,2068,7746,2471,9669,119,515,210,678,562,1746,891,2939,3362,12608,17,75,72,281,67,259,625,1689,781,2304,54,179,134,292,606,1282,794,1753,1575,4057,297,630,8817,24379,Belmont (C)
50560,247,472,3,15,13,60,7,37,85,331,108,443,3,11,11,27,26,66,40,104,148,547,0,0,0,0,4,14,23,68,27,82,0,0,5,8,14,28,19,36,46,118,7,19,448,1156,Beverley (S)
50630,187,353,7,20,22,76,10,49,120,484,159,629,9,26,11,37,27,82,47,145,206,774,0,0,3,18,3,13,31,76,37,107,3,3,4,7,5,17,12,27,49,134,6,10,448,1271,Boddington (S)
50770,227,425,0,7,20,78,5,21,114,462,139,568,5,13,7,15,22,63,34,91,173,659,0,0,3,18,3,6,19,49,25,73,0,0,0,6,17,29,17,35,42,108,4,11,446,1203,Boyup Brook (S)
50840,635,1230,5,39,57,248,17,85,267,1052,346,1424,5,13,28,88,61,185,94,286,440,1710,0,5,16,53,6,17,88,238,110,313,3,4,14,27,26,60,43,91,153,404,10,22,1238,3366,Bridgetown-Greenbushes (S)
50910,117,233,0,12,8,44,6,21,57,225,71,302,0,3,8,15,20,55,28,73,99,375,0,0,0,5,0,0,13,31,13,36,0,0,0,5,4,6,4,11,17,47,3,5,236,660,Brookton (S)
50980,1209,2345,28,180,96,416,76,401,1025,4022,1225,5019,28,99,59,171,152,497,239,767,1464,5786,6,39,31,118,61,243,385,1097,483,1497,11,37,22,48,161,370,194,455,677,1952,60,145,3410,10228,Broome (S)
51080,121,244,3,12,13,52,6,33,86,351,108,448,3,9,4,10,26,70,33,89,141,537,3,4,3,17,3,21,22,76,31,118,0,0,3,4,12,21,15,25,46,143,3,7,311,931,Broomehill-Tambellup (S)
51120,147,273,3,10,7,35,0,7,77,306,87,358,3,12,0,5,9,28,12,45,99,403,0,4,3,11,4,13,11,32,18,60,0,0,0,0,8,16,8,16,26,76,0,3,272,755,Bruce Rock (S)
51190,3581,7015,43,216,207,940,123,562,1718,6536,2091,8254,129,509,198,599,576,1735,903,2843,2994,11097,15,54,94,311,72,231,698,1844,879,2440,55,177,139,292,477,995,671,1464,1550,3904,120,258,8245,22274,Bunbury (C)
51260,3586,6987,53,261,381,1689,120,536,2114,8227,2668,10713,126,483,189,580,479,1401,794,2464,3462,13177,9,47,93,307,41,128,581,1527,724,2009,36,113,105,214,291,597,432,924,1156,2933,62,116,8266,23213,Busselton (S)
51310,2355,4585,47,241,376,1732,46,192,1929,7689,2398,9854,206,847,448,1582,412,1261,1066,3690,3464,13544,6,25,44,139,8,19,189,498,247,681,41,130,101,236,197,407,339,773,586,1454,94,197,6499,19780,Cambridge (T)
51330,7833,15564,193,1091,1223,5641,278,1248,5265,20150,6959,28130,684,2885,1082,3712,1909,6104,3675,12701,10634,40831,31,153,220,778,106,361,1030,2683,1387,3975,180,610,407,935,1119,2386,1706,3931,3093,7906,750,1630,22310,65931,Canning (C)
48260,785,1547,7,42,94,418,7,33,372,1435,480,1928,44,181,121,436,126,377,291,994,771,2922,0,6,18,62,0,5,66,161,84,234,13,25,28,68,74,145,115,238,199,472,43,92,1798,5033,Walkerville (M)
48340,1462,2875,29,139,128,589,36,140,726,2928,919,3796,52,220,90,267,201,605,343,1092,1262,4888,10,28,39,134,16,42,198,552,263,756,14,47,31,67,138,278,183,392,446,1148,28,64,3198,8975,Wattle Range (DC)
48410,5871,11644,65,378,500,2285,88,405,3214,12002,3867,15070,276,1149,460,1597,971,3068,1707,5814,5574,20884,21,103,124,430,41,140,721,1800,907,2473,91,288,245,561,890,1885,1226,2734,2133,5207,452,942,14030,38677,West Torrens (C)
48540,2304,4540,48,259,237,1099,93,410,1248,4781,1626,6549,58,222,171,526,379,1162,608,1910,2234,8459,16,73,83,295,50,185,610,1635,759,2188,34,111,90,178,321,671,445,960,1204,3148,83,169,5825,16316,Whyalla (C)
51470,69,131,0,0,7,25,6,12,41,157,54,194,0,0,0,3,5,12,5,15,59,209,3,3,0,3,0,0,4,10,7,16,0,0,3,3,3,4,6,7,13,23,0,3,141,366,Carnamah (S)
51540,570,1102,6,26,42,186,29,137,358,1421,435,1770,14,45,12,45,88,267,114,357,549,2127,0,12,10,44,28,105,116,331,154,492,5,23,10,18,63,138,78,179,232,671,19,44,1370,3944,Carnarvon (S)
48640,143,283,0,13,15,72,3,13,113,428,131,526,0,6,12,24,17,52,29,82,160,608,0,4,3,11,0,0,7,21,10,36,0,0,0,0,9,25,9,25,19,61,8,9,330,961,Wudinna (DC)
48750,740,1462,5,35,41,176,11,58,219,829,276,1098,8,32,29,86,67,201,104,319,380,1417,0,6,19,58,0,9,69,179,88,252,6,23,22,38,40,82,68,143,156,395,7,19,1283,3293,Yankalilla (DC)
48830,1834,3591,23,113,101,427,25,129,519,2087,668,2756,27,100,71,208,143,430,241,738,909,3494,4,30,34,115,7,18,146,398,191,561,6,32,28,47,99,211,133,290,324,851,13,35,3080,7971,Yorke Peninsula (DC)
49399,368,722,5,22,22,106,18,100,220,853,265,1081,4,11,19,56,32,109,55,176,320,1257,0,0,7,22,7,28,76,215,90,265,3,5,3,4,20,50,26,59,116,324,7,14,811,2317,Unincorporated SA
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50080,3909,7609,88,486,372,1693,155,702,2055,8122,2670,11003,127,516,243,726,575,1748,945,2990,3615,13993,14,48,103,353,58,196,608,1638,783,2235,40,121,115,241,395,839,550,1201,1333,3436,118,241,8975,25279,Albany (C)
51610,150,294,0,4,11,60,10,24,100,378,121,466,4,10,9,21,29,82,42,113,163,579,0,0,4,8,0,0,13,32,17,40,0,0,0,0,4,16,4,16,21,56,0,4,334,933,Chapman Valley (S)
50210,6258,12363,167,978,601,2836,350,1605,4085,15946,5203,21365,354,1474,427,1404,1489,4646,2270,7524,7473,28889,45,223,185,668,154,541,1346,3709,1730,5141,117,368,224,493,993,2159,1334,3020,3064,8161,263,543,17058,49956,Armadale (C)
51680,571,1101,16,94,59,270,36,146,308,1202,419,1712,20,79,42,128,102,301,164,508,583,2220,0,9,13,38,10,36,45,132,68,215,0,10,8,15,32,68,40,93,108,308,3,6,1265,3635,Chittering (S)
51750,946,1834,5,41,116,514,15,52,497,1941,633,2548,63,250,145,496,118,366,326,1112,959,3660,6,19,24,79,0,6,83,203,113,307,26,72,60,136,111,235,197,443,310,750,71,145,2286,6389,Claremont (T)
51820,8676,17029,189,1019,971,4383,442,1958,6830,25965,8432,33325,644,2635,789,2631,2121,6648,3554,11914,11986,45239,48,222,235,801,145,542,1535,4055,1963,5620,167,513,294,644,1272,2717,1733,3874,3696,9494,457,960,24815,72722,Cockburn (C)
51890,964,1890,24,139,101,459,55,249,533,2085,713,2932,43,177,51,152,198,622,292,951,1005,3883,4,22,31,104,18,61,165,453,218,640,8,29,19,40,111,232,138,301,356,941,32,75,2357,6789,Collie (S)
52170,757,1470,12,67,88,393,10,37,458,1816,568,2313,51,198,133,437,116,355,300,990,868,3303,4,10,9,33,0,0,68,167,81,210,13,34,36,90,59,120,108,244,189,454,45,101,1859,5328,Cottesloe (T)
52240,142,279,3,10,11,46,3,9,76,300,93,365,0,0,6,18,15,52,21,70,114,435,0,0,3,3,3,9,19,50,25,62,0,0,0,0,13,27,13,27,38,89,3,4,297,807,Cranbrook (S)
52310,134,252,3,16,18,57,0,5,61,248,82,326,0,9,3,11,15,34,18,54,100,380,3,15,0,5,0,0,12,30,15,50,0,0,3,8,6,12,9,20,24,70,0,0,258,702,Cuballing (S)
