lga_name_2016,lga_code_2016,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Leeton (A),14750,21,204,46,102,21,422,12,7,74,68,119,13,289,0,0,0,0,10,0,12,0,0,9,7,93,13,123,3,0,10,13,56,19,98,82,64,542,334,1476,206,2697
Lismore (C),14850,194,844,225,285,31,1805,223,141,995,558,884,88,2888,9,10,53,17,52,4,143,10,5,54,67,399,19,553,15,10,56,48,197,73,397,672,502,3233,1834,5437,512,12194
Lithgow (C),14870,35,160,66,103,13,419,24,35,182,145,280,30,699,3,0,18,10,31,0,58,0,3,11,26,158,3,209,3,3,12,23,105,34,183,162,120,752,769,2815,270,4889
Liverpool (C),14900,229,2073,602,675,126,4730,785,284,2832,1676,1853,322,7751,15,8,137,118,213,29,527,53,24,250,370,1501,80,2279,137,27,500,451,1129,520,2768,4051,1048,14556,10092,19189,2793,51731
Liverpool Plains (A),14920,12,87,23,35,4,176,9,3,58,64,101,19,255,0,0,0,3,11,0,15,0,0,5,6,57,4,71,0,0,6,8,38,15,65,34,31,306,282,928,137,1720
Lockhart (A),14950,4,47,11,15,0,80,3,9,37,23,67,9,143,0,0,0,0,0,0,3,0,0,3,0,18,0,24,0,0,0,5,21,3,22,26,27,149,135,440,35,806
Maitland (C),15050,215,1022,304,376,37,2249,229,143,1155,803,1330,153,3805,4,5,28,27,86,14,166,20,9,76,177,888,31,1196,14,10,63,97,412,103,701,1007,598,4438,3830,11715,826,22416
Mid-Coast (A),15240,200,927,365,390,66,2138,223,160,1046,944,1678,202,4258,11,3,49,40,118,8,225,13,10,52,124,679,22,893,14,3,58,64,359,114,616,666,552,3403,3202,10227,1176,19215
Mid-Western Regional (A),15270,63,305,85,125,11,637,33,28,220,185,286,48,794,3,0,10,10,35,3,61,4,3,22,32,291,13,369,3,0,24,18,85,31,157,185,158,1194,910,3452,377,6284
Moree Plains (A),15300,27,202,47,78,10,397,26,12,112,97,140,20,409,0,0,6,3,6,0,18,3,4,3,17,127,14,166,0,3,11,11,69,34,133,96,90,730,529,1500,243,3187
Mosman (A),15350,74,357,79,48,19,863,344,77,565,140,72,50,1245,48,15,101,25,30,6,224,28,15,94,48,93,3,285,93,8,225,61,52,38,470,2595,527,5473,1435,1056,356,11449
Murray River (A),15520,33,163,41,37,8,299,20,31,124,92,126,21,408,0,0,10,14,13,3,37,3,0,5,16,65,3,95,0,3,10,11,58,22,101,88,94,627,520,1398,181,2900
Murrumbidgee (A),15560,5,57,8,19,8,106,8,4,26,29,33,8,104,0,0,0,0,3,0,3,0,0,0,0,28,7,34,0,0,3,7,5,11,22,21,22,196,141,486,65,934
Muswellbrook (A),15650,21,151,43,65,3,314,19,18,119,93,174,16,440,0,3,0,0,18,3,28,0,0,3,28,145,6,182,0,0,12,14,68,28,122,116,83,601,581,2465,192,4042
Nambucca (A),15700,57,224,70,108,18,507,40,30,195,196,356,37,858,0,0,3,9,20,3,35,4,3,9,27,142,7,190,3,3,11,13,65,23,122,128,135,747,633,2146,250,4039
Narrabri (A),15750,26,164,41,59,12,334,11,25,121,98,166,23,453,4,0,9,0,11,0,21,5,0,13,16,143,9,177,3,0,11,16,72,31,137,103,93,667,469,1651,245,3229
Narrandera (A),15800,14,74,22,23,3,144,4,12,56,56,71,9,203,0,3,0,3,3,0,15,0,0,3,3,41,3,50,0,0,5,3,25,19,51,23,40,249,199,689,101,1301
Narromine (A),15850,19,92,30,39,8,207,3,11,60,50,87,12,217,0,0,0,0,7,0,10,0,0,6,11,66,6,87,0,0,3,4,31,12,53,36,40,315,242,812,85,1523
Newcastle (C),15900,472,2974,680,713,94,6478,1338,532,4824,1789,2416,323,11222,36,22,196,95,214,19,578,82,19,307,272,1279,67,2030,75,20,306,179,554,216,1344,5088,1818,16676,7880,17778,1597,50843
North Sydney (A),15950,212,1160,202,120,46,2694,844,219,1784,407,231,113,3588,120,25,306,77,78,9,624,102,19,282,152,214,19,787,248,52,570,161,108,116,1243,7535,1638,16916,4121,3143,944,34300
Northern Beaches (A),15990,859,4447,1235,883,229,9556,1597,676,4712,2219,1896,462,11562,166,52,704,315,417,65,1724,205,61,741,636,1990,110,3745,432,96,1363,782,1183,450,4304,11911,3774,36700,17216,23928,3576,97102
Oberon (A),16100,16,55,18,20,3,138,5,5,33,41,42,4,134,0,0,3,3,8,0,15,0,0,11,6,30,0,46,0,0,0,5,54,8,72,49,44,218,185,715,76,1287
Orange (C),16150,122,699,194,249,17,1479,253,142,981,532,758,107,2774,4,0,25,15,35,9,89,6,6,47,55,385,16,516,5,0,44,28,159,50,290,804,442,3162,1869,5274,507,12059
Parkes (A),16200,35,198,53,102,14,426,29,24,132,109,245,30,565,0,0,0,0,12,5,18,3,3,11,19,149,4,185,0,0,8,13,59,26,110,115,98,688,512,2027,216,3664
Parramatta (C),16260,509,3078,740,619,126,7229,2079,566,5268,1718,1515,378,11524,118,21,363,157,218,49,928,333,79,680,425,1046,81,2646,677,79,1306,517,698,399,3675,16892,2797,32995,11661,14140,2876,81364
Coonamble (A),12150,12,52,15,27,6,120,5,3,28,35,45,8,124,0,0,0,0,0,0,3,0,0,0,0,24,6,29,0,0,4,3,15,13,32,28,19,163,129,406,71,817
Cowra (A),12350,35,175,59,72,8,367,9,10,115,110,199,26,465,0,0,7,4,27,0,34,0,0,8,18,105,3,144,0,0,10,6,52,24,93,66,68,538,433,1581,188,2875
Cumberland (A),12380,256,1707,469,469,120,4041,1100,270,3423,1561,1606,346,8301,42,7,181,119,154,30,534,160,28,443,403,1011,83,2128,335,39,863,571,873,584,3269,7941,1299,19500,9832,13559,3077,55209
Burwood (A),11300,72,473,84,80,28,1080,332,63,812,296,226,59,1785,28,3,66,29,26,3,154,39,10,126,61,154,17,399,116,13,233,88,97,84,627,2528,381,5216,1833,1946,532,12438
Byron (A),11350,147,528,164,123,34,1214,219,87,690,351,329,53,1726,26,14,118,51,49,9,259,8,6,56,61,229,9,367,32,14,180,103,161,66,558,765,413,3165,1710,3278,462,9793
Cabonne (A),11400,31,205,79,82,9,455,50,32,221,139,159,27,639,0,0,11,8,14,0,24,3,0,11,23,132,0,171,3,3,11,14,72,35,141,204,110,926,675,1872,218,4007
Camden (A),11450,250,1499,409,451,57,3269,294,169,1111,764,835,109,3290,17,7,63,70,131,16,292,16,8,96,177,867,45,1210,43,16,166,159,512,137,1030,1588,721,5882,4980,11476,1007,25654
Campbelltown (C) (NSW),11500,276,1506,556,734,118,3973,573,204,2195,1451,1998,294,6716,27,10,96,92,197,25,443,58,12,188,217,1181,64,1723,95,15,294,279,912,355,1961,3660,952,9995,7457,17528,2282,41873
Canada Bay (A),11520,299,1487,325,268,71,3375,843,207,1945,532,414,132,4064,76,18,198,104,111,19,528,116,13,256,197,518,41,1137,225,26,479,210,263,150,1354,6425,1354,14383,5106,6038,1201,34503
Canterbury-Bankstown (A),11570,551,3612,1067,980,237,8448,1395,431,4473,2445,2558,482,11787,101,23,358,206,359,54,1106,210,55,690,703,2231,175,4065,359,45,1140,802,1495,830,4665,10103,2277,28933,16328,25549,4575,87765
Carrathool (A),11600,5,35,5,5,0,65,4,0,24,14,18,0,66,0,0,0,0,0,0,3,0,0,0,0,18,0,19,0,0,0,3,5,8,21,12,15,160,119,351,78,738
Central Coast (C) (NSW),11650,736,4365,1318,1494,211,9395,1195,758,5394,3587,5779,690,17403,47,30,270,244,558,57,1206,104,52,364,638,3111,136,4409,107,39,445,448,1676,555,3268,4736,2527,20099,16499,42623,4214,90690
Central Darling (A),11700,3,19,5,11,5,57,0,0,10,9,6,4,27,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,0,6,11,13,8,46,57,127,38,283
Cessnock (C),11720,76,407,133,283,24,1022,76,67,455,479,907,97,2080,5,0,15,27,77,12,137,13,5,36,79,679,18,823,4,3,38,55,319,74,498,364,259,1808,1921,8176,664,13185
Clarence Valley (A),11730,101,529,207,236,34,1206,113,79,568,443,934,98,2242,8,3,21,28,65,16,130,14,5,40,62,415,15,546,3,6,19,36,213,68,347,401,310,2079,1693,6005,700,11181
Cobar (A),11750,10,49,12,17,0,95,11,6,34,27,31,3,110,0,0,0,0,0,3,7,0,0,3,0,45,0,48,0,0,0,3,22,5,30,47,32,215,138,687,70,1182
Coffs Harbour (C),11800,196,1123,360,380,53,2350,313,184,1446,844,1293,147,4217,15,5,44,50,123,9,247,15,9,85,116,621,36,885,16,4,84,87,355,99,645,904,641,4786,3438,8988,857,19609
Coolamon (A),12000,16,75,21,32,4,172,8,3,39,31,53,12,142,0,0,0,0,3,0,3,0,0,0,3,35,0,37,0,0,3,4,21,10,36,44,24,199,160,562,71,1063
Dungog (A),12700,32,93,46,68,8,263,15,13,100,98,118,14,363,0,0,5,3,9,0,20,0,0,3,14,107,5,138,0,0,13,11,56,10,86,102,78,458,440,1370,127,2562
Edward River (A),12730,26,114,34,35,5,230,23,17,113,97,119,24,398,0,0,4,3,10,0,13,0,0,11,9,80,3,105,3,0,6,4,31,23,69,84,68,474,376,1158,161,2324
Eurobodalla (A),12750,137,381,134,156,22,918,100,75,461,292,597,60,1580,4,3,28,25,74,7,144,10,0,29,46,307,10,396,10,0,36,40,135,58,282,364,338,1647,1337,4387,445,8514
Fairfield (C),12850,127,1244,424,486,118,2979,354,116,1740,1172,1434,249,5069,12,7,113,90,134,18,374,44,4,239,423,1309,104,2127,81,8,457,382,953,453,2335,2071,555,11154,7541,14004,2404,37727
Federation (A),12870,24,118,38,44,6,240,20,26,128,98,157,21,440,0,0,0,8,20,3,33,3,4,13,15,110,8,148,3,0,5,14,58,17,104,79,76,502,433,1616,194,2898
Forbes (A),12900,14,161,45,77,9,329,13,20,86,80,126,15,347,0,0,4,3,13,0,18,0,0,3,11,94,4,110,0,0,11,12,50,24,99,75,59,481,367,1241,174,2402
Georges River (A),12930,324,1966,492,398,92,4340,1038,293,3135,1155,1061,246,6928,64,12,216,138,170,19,620,167,27,368,284,853,51,1752,315,24,708,316,484,324,2167,7837,1470,18848,8274,10573,2025,49024
Gilgandra (A),12950,3,71,18,24,3,133,7,5,29,44,75,10,171,0,0,4,0,5,0,9,0,0,3,0,40,0,50,0,0,0,3,22,0,28,32,12,201,146,536,78,1007
Glen Innes Severn (A),13010,22,95,40,41,0,216,13,5,79,76,133,16,324,0,0,3,3,10,0,21,3,0,9,7,80,0,96,0,0,6,8,36,21,66,62,47,350,334,1007,124,1926
Goulburn Mulwaree (A),13310,79,323,142,153,15,795,109,52,374,339,558,60,1490,3,3,18,11,40,3,82,6,5,29,47,301,14,397,5,3,26,40,151,33,256,377,252,1432,1428,4069,405,7961
Greater Hume Shire (A),13340,24,136,71,62,8,350,12,19,107,89,142,21,391,3,0,0,0,13,0,14,3,0,3,15,103,7,130,3,0,12,13,52,11,88,102,78,545,530,1456,197,2911
Griffith (C),13450,71,318,98,114,16,663,45,35,287,217,306,36,921,0,0,12,13,23,3,50,4,0,13,32,305,16,364,12,8,22,29,133,57,264,236,172,1403,977,3421,460,6667
Gundagai (A),13510,32,130,53,53,14,303,10,13,99,107,164,13,405,0,0,4,3,16,0,22,0,0,3,7,95,8,111,3,0,5,11,39,27,80,75,65,463,439,1401,178,2618
Gunnedah (A),13550,30,164,45,65,11,337,12,10,110,118,145,26,429,0,0,3,3,9,0,12,3,4,9,14,140,3,170,0,0,16,6,57,17,100,100,82,645,484,1693,239,3243
Gwydir (A),13660,12,64,19,34,3,139,3,5,34,42,58,16,156,0,0,0,0,6,0,6,0,0,6,3,29,0,36,0,3,0,3,7,16,30,21,29,251,217,545,110,1175
Hawkesbury (C),13800,195,917,345,413,62,2377,175,117,769,589,826,73,2550,12,4,41,51,192,24,329,14,10,74,144,901,27,1175,19,6,80,114,555,138,911,1015,532,3732,3672,10860,853,20672
Hay (A),13850,7,40,11,12,4,79,3,3,15,18,34,0,80,0,0,0,3,3,3,10,0,0,0,3,15,3,23,0,0,3,4,16,3,27,12,17,126,110,357,44,674
Penrith (C),16350,361,2275,839,995,129,5735,577,335,2447,1724,2606,327,8013,28,7,149,135,336,35,682,69,15,204,367,2005,60,2726,81,24,296,360,1368,385,2507,3603,1284,11813,9997,27265,2632,56596
Port Macquarie-Hastings (A),16380,240,1121,374,450,47,2515,321,163,1397,903,1412,160,4349,7,3,34,40,110,6,200,19,6,68,123,719,41,967,15,9,58,66,295,92,537,965,632,4413,3457,9683,917,20071
Port Stephens (A),16400,123,666,273,323,36,1612,145,83,749,629,1069,130,2809,3,4,38,40,100,14,196,15,10,59,120,696,24,916,17,11,60,78,351,110,633,730,384,3142,3143,9709,816,17930
Queanbeyan-Palerang Regional (A),16490,204,720,230,276,31,1766,211,151,771,457,526,74,2191,31,14,95,43,74,3,264,31,16,110,115,494,26,784,49,15,91,74,318,103,644,2242,1025,5118,3558,7036,687,19668
Randwick (C),16550,439,2537,530,396,125,6514,1548,381,3566,995,730,232,7444,130,32,517,208,256,48,1183,144,37,426,314,685,58,1664,315,50,708,268,347,218,1901,9988,2058,22361,7198,9246,1751,52600
Richmond Valley (A),16610,28,237,100,139,17,563,35,26,206,182,408,38,902,0,0,5,8,34,7,56,4,0,10,26,171,4,222,3,0,9,14,101,36,163,113,92,769,657,2829,272,4729
Rockdale (C),16650,206,1233,324,273,84,2886,670,181,2054,835,805,193,4739,58,22,165,122,135,26,524,79,21,270,270,692,59,1396,196,24,525,266,426,280,1725,5378,1004,13656,6560,8321,1789,36708
Ryde (C),16700,307,1842,432,359,91,4309,1031,322,2562,851,736,190,5690,72,18,218,103,121,19,554,189,31,382,264,634,49,1548,360,32,695,244,327,219,1880,9107,1544,18427,6256,7428,1485,44248
Shellharbour (C),16900,214,780,296,387,37,1926,196,121,805,821,1407,132,3480,8,0,26,34,86,17,167,10,11,67,112,772,29,1006,7,8,52,84,393,130,669,744,482,3231,3422,10309,898,19092
Shoalhaven (C),16950,319,990,377,485,60,2527,287,190,1237,911,1640,187,4446,17,7,79,43,156,28,333,21,15,78,125,827,42,1105,30,7,82,85,451,169,826,1151,859,4560,4111,12537,1208,24425
Singleton (A),17000,52,218,91,126,13,556,38,19,175,137,275,23,678,3,0,5,3,20,4,39,0,5,10,30,289,8,355,3,3,19,31,126,27,206,234,159,1096,973,4017,298,6774
Snowy Monaro Regional (A),17040,52,291,85,134,12,633,50,41,206,127,202,32,663,15,16,84,50,189,14,366,4,3,20,29,174,8,239,8,3,17,26,86,47,191,320,195,1391,1011,3120,396,6431
Snowy Valleys (A),17080,25,169,63,65,12,375,12,14,101,124,166,20,447,0,0,14,8,19,0,42,0,3,7,10,107,7,132,3,3,11,13,92,33,146,96,88,656,559,1897,240,3540
The Hills Shire (A),17420,495,3049,725,555,132,6318,1352,395,3386,1340,1112,269,7849,54,12,204,120,168,19,581,189,43,440,369,1166,77,2284,306,45,747,401,613,252,2373,8904,2063,22088,9941,13862,2127,58989
Tweed (A),17550,286,1241,373,439,67,2705,323,200,1439,1003,1498,171,4636,8,8,83,83,176,21,371,6,14,93,167,705,36,1024,21,20,152,129,478,151,946,1073,784,5249,4115,10797,1109,23133
Upper Hunter Shire (A),17620,28,199,55,73,17,421,14,8,100,94,130,21,376,0,0,13,16,33,3,69,0,0,4,15,133,3,163,0,0,14,25,71,18,130,115,89,729,594,2108,236,3865
Upper Lachlan Shire (A),17640,20,97,44,33,3,225,11,16,73,73,124,14,309,0,0,4,10,12,0,26,0,5,0,11,69,3,85,8,0,9,4,36,12,66,96,79,416,402,1082,124,2202
Uralla (A),17650,30,120,62,51,7,334,13,11,80,44,95,8,254,0,0,3,4,3,0,19,3,0,5,12,37,4,61,3,3,4,3,34,19,64,119,74,382,283,823,94,1764
Wagga Wagga (C),17750,232,1166,338,497,52,2740,301,182,1446,697,1096,112,3837,9,0,37,26,76,3,155,13,8,70,97,669,20,877,11,6,69,57,314,83,545,1159,660,4917,2810,9204,755,19512
Walcha (A),17850,3,44,15,20,3,83,4,3,26,22,32,4,94,0,0,0,0,0,0,6,0,0,5,3,28,0,36,0,0,3,0,13,4,14,25,19,176,140,405,58,828
Walgett (A),17900,14,90,26,29,13,191,7,9,64,34,45,8,168,0,0,0,3,7,0,16,0,0,3,0,24,5,30,0,0,4,3,16,14,39,45,29,279,229,453,95,1127
Warren (A),17950,6,38,17,16,0,82,0,3,20,24,13,3,63,0,0,0,0,0,0,0,0,0,0,5,16,0,31,0,0,3,0,10,3,14,15,21,162,125,301,45,671
Warrumbungle Shire (A),18020,28,139,45,52,11,306,10,8,90,74,121,23,319,0,0,3,0,4,0,13,0,0,3,3,59,0,71,3,3,3,4,36,20,74,67,60,430,317,998,170,2047
Waverley (A),18050,208,1096,237,137,69,2495,736,165,1578,372,252,99,3192,102,35,384,121,115,30,788,82,14,270,169,303,39,878,194,31,649,191,171,157,1388,5248,1169,14669,3866,3607,1084,29646
Weddin (A),18100,5,46,17,15,0,97,0,3,31,22,37,9,104,0,0,0,0,3,0,5,0,0,0,3,31,0,34,0,0,0,3,14,10,27,22,22,185,146,420,57,843
Wentworth (A),18200,24,91,32,28,5,188,9,6,68,55,85,9,230,0,0,3,3,6,0,19,0,0,0,12,53,0,69,0,0,9,11,36,14,70,40,48,313,260,871,103,1633
Western Plains Regional (A),18230,173,850,205,328,39,1769,183,132,876,585,849,89,2723,5,10,47,18,133,8,223,10,5,50,72,574,28,738,7,0,42,38,238,78,413,691,488,3328,2162,6979,695,14343
Willoughby (C),18250,190,1020,203,121,41,2345,757,190,1681,400,265,95,3388,70,21,176,70,57,9,393,115,20,254,128,262,36,802,217,40,462,176,127,111,1134,6657,1282,14050,3580,2895,803,29253
Wingecarribee (A),18350,193,673,239,234,52,1730,240,111,710,436,548,93,2139,26,16,63,35,62,5,201,22,12,62,100,467,16,675,33,17,101,91,270,76,588,1180,559,3442,2388,5977,647,14187
Wollondilly (A),18400,131,775,295,350,33,1901,132,86,531,504,604,75,1926,9,0,31,25,93,8,172,9,7,43,73,646,26,814,16,3,52,79,408,91,654,752,379,2740,2687,8271,748,15580
Wollongong (C),18450,940,3720,994,1155,161,9190,1255,518,3638,2172,2917,375,10876,75,24,237,140,276,22,778,113,30,303,385,1772,82,2690,112,32,359,234,916,286,1931,6088,2357,16475,10311,24142,2278,61655
Woollahra (A),18500,132,754,149,79,38,1748,779,131,1305,249,113,110,2678,80,20,321,84,60,20,582,51,13,197,95,181,26,568,159,28,498,141,109,107,1044,4796,949,11928,2532,2078,777,23053
Yass Valley (A),18710,64,258,81,87,11,594,51,36,209,121,187,30,633,3,5,25,13,25,7,78,9,4,30,23,128,8,196,15,10,26,31,76,26,179,556,284,1534,904,1974,232,5481
Unincorporated NSW,19399,0,12,0,0,0,18,0,0,8,0,6,0,18,0,0,0,4,3,0,12,0,0,4,0,4,0,8,0,0,7,4,5,0,17,11,7,69,46,184,14,331
No usual address (NSW),19499,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
Migratory - Offshore - Shipping (NSW),19799,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
Alpine (S),20110,63,172,51,53,8,392,27,58,151,131,152,20,540,3,9,25,14,33,3,79,3,3,13,17,90,3,121,3,0,23,19,61,13,116,153,188,793,656,1572,192,3551
Ararat (RC),20260,41,110,25,27,3,226,20,28,151,123,200,23,539,0,0,6,8,21,0,39,5,6,7,19,80,3,115,0,3,13,9,40,27,94,68,121,566,505,1339,208,2808
Ballarat (C),20570,617,1748,501,556,54,4205,619,579,2304,1110,1420,192,6223,36,16,170,85,187,25,525,27,20,107,174,728,35,1087,34,14,133,96,365,137,789,2158,1769,8051,4742,11631,1110,29471
Banyule (C),20660,918,2404,620,452,83,5941,1218,700,3155,1141,1145,232,7587,64,51,339,149,180,20,806,113,62,282,258,718,44,1484,134,48,427,186,407,175,1376,5953,2983,15900,6690,10305,1292,43124
