lga_name_2016,lga_code_2016,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Penrith (C),16350,51105,52186,103287,5104,5459,10563,22684,24184,46874,218,245,463,584,588,1172,86,93,178,115,132,243,33,41,70,45,33,76,73,81,149,3,0,4,23834,25399,49231,2476,2676,5147,475,456,934,31884,33994,65880,6343,6075,12416,89331,92256,181588
Port Macquarie-Hastings (A),16380,18389,19840,38229,4044,4563,8608,8338,9180,17522,283,297,584,739,749,1488,79,82,157,125,146,270,71,87,157,70,78,147,123,141,264,0,0,0,9824,10771,20588,511,571,1084,220,221,445,14600,16124,30722,2765,2999,5759,35752,38970,74717
Port Stephens (A),16400,17122,17455,34582,3750,3892,7645,6972,7228,14201,256,245,502,578,536,1118,118,97,220,122,114,238,56,60,110,120,134,254,125,109,231,0,0,0,8346,8521,16867,378,472,845,194,223,418,12667,13110,25777,2665,2684,5346,32458,33252,65705
Queanbeyan-Palerang Regional (A),16490,13987,13849,27835,1650,1763,3414,4044,4153,8195,336,315,656,446,479,930,96,105,194,105,89,196,41,30,66,131,111,238,2226,2180,4409,0,0,4,7424,7464,14891,884,966,1854,155,142,298,10117,10337,20451,2076,2020,4098,26179,26204,52384
Randwick (C),16550,28360,31115,59476,3028,3105,6135,14422,15106,29528,488,522,1015,566,654,1221,132,143,274,214,234,449,59,66,124,50,59,110,312,327,643,0,3,3,16252,17118,33366,10570,10793,21365,373,342,714,30225,31358,61585,6706,5248,11952,65296,67716,133012
Richmond Valley (A),16610,6228,6282,12508,1233,1306,2534,1516,1576,3086,42,48,89,371,370,737,19,21,35,36,19,53,20,14,30,21,22,41,12,12,29,0,0,0,2023,2069,4096,67,77,146,80,70,153,3398,3528,6925,1019,987,2009,10640,10801,21439
Rockdale (C),16650,25998,27436,53433,2815,2597,5409,10843,10875,21720,195,171,367,279,278,556,94,74,171,89,64,148,20,20,43,34,26,61,75,93,169,0,0,0,11620,11610,23230,6371,6503,12876,294,294,587,21103,21000,42109,3560,3653,7208,50662,52093,102753
Ryde (C),16700,26766,28572,55340,2605,2759,5364,12553,12840,25402,322,313,629,363,385,747,114,100,210,120,108,229,32,32,69,27,14,39,95,119,221,0,0,0,13630,13919,27546,7144,8095,15241,266,215,482,23638,24993,48631,2481,2727,5210,52891,56298,109181
Shellharbour (C),16900,18781,19539,38328,2493,2618,5115,6899,7540,14438,97,98,191,251,271,520,22,36,56,50,53,105,17,23,43,16,26,42,59,49,109,3,0,3,7409,8097,15502,386,436,825,156,171,329,10438,11326,21771,1951,2081,4032,31174,32950,64128
Shoalhaven (C),16950,24990,25498,50490,4986,5416,10401,9603,10380,19983,308,323,628,596,611,1207,94,89,187,182,167,350,74,84,158,78,76,150,404,384,794,14,12,28,11353,12136,23489,530,668,1196,299,306,610,17170,18526,35692,4495,3850,8342,46644,47876,94527
Singleton (A),17000,6013,5796,11817,1528,1520,3048,1670,1665,3331,78,42,124,337,278,616,36,26,64,78,67,141,14,3,19,30,13,40,18,10,27,0,0,0,2265,2104,4372,141,160,303,54,62,117,3988,3855,7844,932,862,1795,10940,10508,21448
Snowy Monaro Regional (A),17040,5548,5271,10818,1045,1023,2071,1355,1281,2642,107,119,219,171,157,332,25,24,52,29,37,65,12,12,21,27,21,52,257,256,517,0,0,0,1989,1906,3901,164,168,335,56,35,92,3260,3135,6392,1139,908,2047,9949,9311,19261
Snowy Valleys (A),17080,4081,3937,8023,790,854,1644,775,812,1584,86,89,179,107,94,205,5,6,15,20,22,45,7,9,13,10,5,23,41,49,88,0,0,0,1048,1093,2145,80,100,182,21,23,46,1942,2071,4016,847,703,1553,6871,6710,13586
The Hills Shire (A),17420,42935,44265,87203,2849,2888,5730,19050,19670,38719,312,297,607,433,443,881,105,113,221,126,120,249,36,39,69,30,28,62,125,113,240,0,0,4,20221,20831,41049,3912,4344,8256,216,226,445,27192,28287,55483,2311,2480,4794,72442,75034,147477
Tweed (A),17550,21710,23045,44758,3445,3735,7176,6860,7883,14747,449,506,956,3900,4210,8110,113,107,217,174,212,391,86,76,164,100,116,218,105,105,210,8,7,17,11801,13235,25039,791,909,1704,301,307,612,16336,18189,34530,3555,3757,7307,41609,44990,86595
Upper Hunter Shire (A),17620,3731,3781,7517,763,776,1541,1042,1167,2212,25,32,57,92,78,176,9,5,17,23,18,42,3,5,7,3,8,7,3,4,9,0,0,0,1199,1321,2521,143,131,279,32,38,75,2139,2271,4407,651,676,1333,6525,6732,13258
Upper Lachlan Shire (A),17640,2289,2185,4470,338,383,714,518,517,1026,9,14,22,22,20,44,3,0,4,4,8,11,3,3,5,3,8,8,110,95,204,0,0,0,673,660,1335,15,30,47,13,13,25,1032,1092,2119,336,305,641,3659,3580,7239
Uralla (A),17650,1764,1774,3542,220,236,461,455,577,1031,5,14,19,66,70,139,0,0,7,6,4,8,4,4,6,8,4,11,0,6,7,0,0,0,542,685,1225,20,25,43,14,21,32,795,967,1761,204,230,438,2770,2970,5745
Wagga Wagga (C),17750,14226,14807,29041,2628,3000,5626,6533,7364,13896,466,511,971,660,607,1260,150,139,286,108,117,225,45,48,95,110,99,209,201,215,413,0,3,3,8274,9093,17368,962,892,1854,173,131,306,12038,13112,25150,2008,1983,3992,28271,29905,58173
Walcha (A),17850,926,923,1848,153,153,309,165,153,321,3,9,14,17,25,36,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,186,184,375,9,11,21,7,7,10,358,349,708,169,179,356,1459,1455,2917
Walgett (A),17900,1825,1516,3342,285,330,616,355,334,692,19,14,34,43,61,103,6,3,9,10,10,15,6,4,10,6,6,11,0,3,3,0,0,0,449,424,873,21,35,52,20,16,34,775,806,1577,427,363,789,3022,2681,5702
Warren (A),17950,813,783,1593,141,143,288,142,148,283,3,0,7,11,10,24,0,0,0,0,4,4,3,0,0,0,4,3,0,0,0,0,0,0,156,167,324,8,16,28,3,0,5,313,333,644,135,154,284,1261,1264,2526
Warrumbungle Shire (A),18020,2689,2584,5266,493,564,1059,563,567,1130,14,20,29,54,73,129,3,3,6,12,11,21,4,5,6,7,11,18,9,4,6,0,0,0,660,690,1356,30,41,64,26,20,45,1209,1313,2521,558,564,1120,4453,4462,8916
Waverley (A),18050,12772,13452,26217,2168,2159,4331,6518,7031,13548,321,373,692,308,347,654,63,75,140,152,184,334,17,11,29,8,20,25,80,79,166,0,0,0,7474,8117,15593,4312,4784,9101,208,201,414,14164,15264,29434,3407,3606,7014,30344,32323,62661
Weddin (A),18100,1132,1077,2211,201,219,417,177,184,363,3,12,14,20,21,43,0,0,0,7,6,8,0,0,0,3,3,5,19,19,32,0,0,0,226,241,469,7,13,21,5,5,12,447,475,921,165,180,350,1744,1733,3479
Wentworth (A),18200,1949,1777,3725,267,278,549,175,187,359,315,358,673,21,15,38,55,70,122,27,19,39,0,3,3,5,10,14,0,0,3,0,0,0,601,656,1258,22,20,40,52,58,114,945,1018,1961,382,306,687,3275,3096,6368
Western Plains Regional (A),18230,11730,12316,24042,2069,2402,4476,5210,5541,10753,112,146,258,274,299,571,33,39,75,72,60,130,17,10,26,22,29,50,45,40,82,0,0,0,5776,6164,11942,405,487,898,113,93,204,8371,9150,17519,2681,2275,4955,22780,23745,46524
Willoughby (C),18250,16109,17586,33693,2130,2303,4428,7681,8190,15868,262,262,521,221,235,455,81,88,171,102,109,217,17,32,45,19,8,25,68,80,152,0,0,0,8460,8996,17455,4607,5348,9952,175,176,359,15369,16831,32198,1693,1834,3526,33164,36246,69414
Wingecarribee (A),18350,11396,12373,23765,1983,2163,4152,5569,6337,11905,110,122,229,208,216,427,22,27,50,48,60,114,21,30,48,17,15,31,108,125,234,0,0,0,6111,6933,13047,428,503,931,121,133,250,8648,9731,18374,1630,1757,3384,21663,23860,45523
Wollondilly (A),18400,13293,13126,26419,1522,1574,3100,5781,6055,11837,45,53,93,109,132,241,16,21,35,23,26,44,9,9,17,16,15,35,25,32,50,0,0,0,6019,6333,12354,171,205,381,104,106,208,7820,8222,16038,1358,1395,2752,22470,22736,45209
Wollongong (C),18450,55011,56733,111746,6630,6802,13433,20366,21631,41993,304,368,663,580,590,1171,80,111,192,190,174,370,69,70,144,59,56,112,267,309,582,5,3,4,21919,23314,45229,4624,4032,8661,503,492,993,33671,34645,68310,5713,5828,11541,94391,97209,191595
Woollahra (A),18500,10129,11923,22053,1761,1915,3674,6289,7034,13318,318,359,684,262,390,651,71,103,171,154,164,314,16,25,43,9,20,31,103,114,222,0,0,0,7222,8208,15433,2321,2812,5132,150,143,289,11458,13071,24525,2250,2644,4896,23835,27639,51468
Yass Valley (A),18710,4459,4512,8976,587,687,1276,707,785,1492,25,39,64,78,81,160,17,19,37,30,29,50,12,15,33,8,8,15,786,885,1671,0,0,3,1671,1858,3528,92,107,197,33,41,68,2385,2690,5075,547,538,1085,7390,7739,15133
Unincorporated NSW,19399,323,268,594,23,25,47,71,58,129,7,7,9,5,9,12,19,28,48,0,3,6,0,0,4,0,0,0,0,0,3,0,0,0,112,104,211,5,9,13,0,3,8,140,139,277,66,48,113,533,459,985
No usual address (NSW),19499,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
Migratory - Offshore - Shipping (NSW),19799,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
Alpine (S),20110,3524,3565,7094,631,666,1292,136,161,292,714,725,1445,85,97,187,31,36,63,33,35,65,7,10,24,20,18,34,10,12,23,0,0,0,1032,1099,2131,76,119,198,13,15,33,1755,1892,3650,531,535,1070,5815,5999,11813
Ararat (RC),20260,3206,3186,6390,621,678,1297,32,31,66,652,636,1286,44,39,81,28,28,55,23,20,45,9,6,14,15,18,38,0,3,3,0,0,0,798,782,1582,52,96,150,28,22,44,1498,1574,3076,1143,428,1573,5854,5190,11036
Ballarat (C),20570,23352,25192,48543,3663,4083,7750,439,442,886,12421,13874,26297,377,423,796,221,235,456,222,241,465,99,115,219,73,82,148,41,41,80,0,0,0,13890,15451,29345,1007,1064,2070,309,246,553,18867,20849,39718,3206,3609,6812,45425,49644,95074
Banyule (C),20660,33801,36277,70078,2373,2476,4848,470,426,898,11815,12399,24213,413,373,789,135,150,290,141,171,314,66,73,138,65,67,128,93,76,174,0,0,0,13204,13739,26941,2788,2929,5715,266,258,525,18626,19400,38022,2857,3166,6020,55279,58843,114118
Bass Coast (S),20740,7902,8258,16160,2146,2367,4510,96,115,211,3029,3410,6433,128,160,285,30,37,65,70,83,159,26,31,54,23,28,51,10,14,24,0,0,0,3413,3874,7288,163,228,390,60,55,116,5786,6516,12304,1321,1362,2681,15010,16133,31139
Baw Baw (S),20830,12099,12552,24653,2594,2781,5381,153,179,328,4781,5361,10146,177,190,365,37,55,95,91,85,172,41,44,83,28,26,56,9,9,17,0,0,0,5325,5941,11265,233,293,530,104,89,194,8258,9110,17368,1702,1820,3523,22060,23477,45537
Bayside (C),20910,24631,27454,52089,2626,2929,5558,496,566,1062,9890,10643,20542,308,360,666,101,98,198,186,178,371,53,65,115,16,21,39,78,72,148,0,0,0,11133,12010,23148,2658,2997,5652,147,168,318,16567,18101,34667,2486,2855,5345,43682,48413,92096
Benalla (RC),21010,3798,3949,7745,787,895,1679,101,122,218,918,1028,1951,66,69,138,9,17,29,26,33,61,13,15,27,6,15,18,5,3,13,0,0,0,1146,1301,2449,42,56,98,24,28,50,2002,2275,4276,558,617,1172,6353,6835,13193
Boroondara (C),21110,40573,44686,85258,3612,3832,7443,961,1047,2009,17987,19348,37337,689,758,1449,303,339,639,379,391,773,156,152,306,66,73,135,153,164,317,3,0,3,20700,22270,42970,7009,8038,15046,343,302,645,31659,34438,66101,3908,4221,8129,76138,83353,159493
Brimbank (C),21180,54843,56629,111473,3819,3759,7584,471,472,947,15372,14982,30349,354,343,695,186,145,329,160,142,300,78,96,177,77,65,141,46,51,97,7,6,9,16753,16296,33051,8227,7547,15777,448,382,825,29254,27982,57237,6466,6188,12654,90565,90806,181364
Buloke (S),21270,2002,1942,3941,299,266,567,19,17,34,285,300,589,24,29,56,10,12,24,11,11,19,3,3,8,10,3,10,0,0,3,0,0,0,362,384,744,26,29,51,19,10,29,697,686,1392,314,302,620,3014,2932,5948
Campaspe (S),21370,10495,10468,20963,2055,2146,4200,402,427,832,2232,2492,4723,163,157,322,31,33,65,71,76,146,26,31,65,20,30,52,7,3,12,0,0,0,2963,3248,6209,183,202,380,95,76,171,5287,5677,10963,1490,1562,3053,17268,17713,34986
Cardinia (S),21450,21365,21342,42703,2664,2934,5597,318,306,620,13307,14526,27837,304,312,625,73,91,165,107,93,203,46,50,93,37,51,90,27,31,56,3,3,4,14224,15457,29678,1120,1282,2403,227,197,427,18237,19867,38105,2698,2795,5499,42303,44008,86309
Casey (C),21610,74724,75524,150252,5537,5666,11202,841,832,1674,36905,37247,74154,756,731,1489,338,311,644,349,306,656,117,121,237,95,89,181,86,74,161,15,0,15,39491,39713,79201,8692,9446,18136,735,603,1339,54451,55423,109877,7679,7716,15396,136857,138669,275524
Central Goldfields (S),21670,3744,3736,7487,586,686,1265,46,48,99,1040,1089,2125,53,57,111,31,29,60,24,24,54,15,18,32,10,9,21,0,6,8,0,0,0,1224,1282,2508,40,56,100,14,16,24,1861,2034,3902,512,518,1026,6119,6295,12412
Colac-Otway (S),21750,6021,5975,11998,1288,1308,2598,60,73,130,1295,1405,2698,62,53,114,37,32,65,32,18,51,20,25,45,16,17,37,3,3,6,0,0,0,1519,1623,3142,190,156,349,44,32,74,3037,3117,6156,819,826,1650,9886,9921,19808
Corangamite (S),21830,4934,4846,9785,800,804,1603,46,45,89,937,922,1862,51,57,111,26,31,55,16,24,46,14,9,24,14,12,28,3,4,7,0,0,0,1104,1110,2218,62,66,126,20,17,39,1985,1994,3982,719,696,1412,7644,7531,15179
Darebin (C),21890,34567,37790,72355,2647,2658,5303,834,1039,1870,14799,15735,30534,640,730,1363,254,305,556,309,307,617,134,190,322,85,102,188,158,185,342,3,3,4,17205,18598,35804,6490,6630,13115,438,472,905,26777,28352,55123,5068,5334,10401,66414,71471,137883
East Gippsland (S),22110,12015,12089,24099,2441,2715,5151,300,318,619,3218,3478,6695,288,313,600,55,46,102,132,131,260,36,41,82,45,44,88,39,39,72,4,0,4,4112,4410,8521,197,268,465,100,88,194,6849,7482,14332,2138,2241,4376,21001,21805,42809
Frankston (C),22170,33792,35205,68996,3858,4246,8106,398,454,852,15357,16516,31870,408,447,857,98,95,194,144,155,300,75,107,179,45,44,95,32,51,78,0,0,0,16561,17866,34424,1743,2042,3777,385,357,745,22542,24506,47056,4395,4687,9074,60732,64395,125128
Gannawarra (S),22250,3251,3188,6442,518,545,1064,74,98,172,560,599,1152,66,64,128,11,17,33,15,22,43,8,4,5,12,6,16,0,3,3,0,0,0,743,814,1554,30,32,60,19,11,29,1302,1406,2708,441,450,889,4997,5044,10040
Greater Shepparton (C),22830,16708,16871,33577,3092,3206,6298,308,358,668,4672,5041,9716,265,269,534,73,95,164,87,69,162,56,73,128,38,29,66,18,12,27,0,0,0,5524,5949,11472,1128,1137,2265,148,136,290,9887,10437,20325,2963,2759,5716,29559,30064,59621
Hepburn (S),22910,4207,4331,8533,546,630,1174,82,96,183,1266,1438,2704,53,69,119,20,27,51,25,27,55,4,16,23,6,9,24,8,7,20,0,0,0,1477,1695,3174,99,93,190,23,30,58,2147,2453,4597,684,821,1500,7041,7595,14639
Hindmarsh (S),22980,1774,1736,3506,327,346,676,11,12,22,261,291,548,23,18,43,30,39,71,15,10,25,4,3,7,3,8,15,0,0,0,0,0,0,348,383,736,35,43,80,4,3,6,717,779,1500,221,234,455,2709,2749,5466
Hobsons Bay (C),23110,23257,24454,47712,2521,2696,5215,394,445,842,8078,8207,16284,324,352,672,131,151,281,179,199,377,76,91,174,30,37,72,52,65,115,0,0,0,9271,9546,18819,2657,2654,5304,229,239,468,14674,15127,29805,2567,2637,5204,40496,42227,82717
Horsham (RC),23190,5349,5526,10876,1437,1643,3081,56,54,110,1126,1255,2382,66,72,133,101,106,210,27,26,54,8,7,14,25,16,37,3,3,7,0,0,0,1405,1552,2959,101,121,229,39,47,93,2986,3365,6352,581,614,1198,8909,9506,18424
Hume (C),23270,51141,52309,103450,4955,5143,10100,754,765,1521,19353,19557,38911,449,474,920,218,211,430,204,223,426,67,74,140,66,63,124,46,39,82,0,0,3,21160,21411,42570,6672,6632,13305,391,328,720,33182,33517,66692,5887,5801,11686,90208,91624,181835
Indigo (S),23350,4558,4721,9287,632,699,1336,386,413,800,906,1012,1921,74,78,155,17,17,32,43,50,91,14,16,27,38,39,71,23,21,44,0,0,0,1498,1647,3145,56,82,137,28,38,66,2216,2464,4674,690,520,1214,7466,7705,15179
Kingston (C) (Vic.),23430,40295,42916,83204,3192,3318,6507,520,494,1013,15539,16437,31977,428,449,880,130,128,257,191,187,374,106,105,206,36,37,82,59,55,114,0,0,0,17011,17890,34901,4366,4672,9033,322,263,586,24892,26146,51030,3856,4185,8043,69033,73240,142280
Knox (C),23670,45657,47534,93189,2199,2347,4544,330,335,672,15608,16414,32022,314,348,664,158,181,339,148,145,291,68,74,149,23,31,56,32,40,72,0,0,3,16686,17576,34261,2797,3342,6138,277,269,542,21952,23536,45486,3097,3321,6420,70713,74382,145097
Latrobe (C) (Vic.),23810,19950,20437,40386,4502,5059,9556,193,210,403,4587,5122,9707,277,304,585,65,74,138,124,119,245,48,54,100,26,32,58,14,9,19,0,0,0,5337,5926,11259,455,510,967,171,148,323,10461,11641,22103,3115,3293,6407,33525,35377,68898
Loddon (S),23940,2400,2237,4639,273,279,551,33,26,54,420,429,844,42,35,73,13,15,34,6,15,26,3,6,5,4,5,9,0,0,0,0,0,0,522,530,1048,37,43,74,17,8,21,839,855,1698,441,399,836,3685,3492,7179
Macedon Ranges (S),24130,12818,13040,25857,1864,1991,3855,190,222,410,4151,4398,8549,160,140,293,44,54,98,72,52,122,20,28,47,23,26,49,16,12,29,0,0,0,4676,4928,9600,288,331,616,77,89,164,6902,7337,14243,1491,1621,3106,21214,21991,43203
Manningham (C),24210,33654,35990,69643,1821,1852,3671,284,308,589,10509,11213,21725,250,293,545,125,143,272,132,137,278,40,43,84,13,22,37,58,62,113,0,0,0,11415,12226,23643,4044,4384,8428,186,198,383,17465,18661,36122,2309,2644,4949,53422,57289,110716
Mansfield (S),24250,2222,2181,4409,572,581,1158,53,71,127,620,699,1322,60,46,101,11,17,27,26,25,48,7,16,22,12,9,23,0,0,0,0,0,0,791,881,1671,66,68,135,14,15,38,1445,1550,2993,383,370,754,4051,4105,8156
Maribyrnong (C),24330,17366,18074,35443,1685,1689,3379,587,579,1168,9420,9009,18431,440,454,895,198,200,397,242,211,450,96,95,187,45,58,107,131,125,257,4,3,4,11164,10735,21902,4851,4478,9333,301,233,533,18006,17135,35137,3095,2935,6032,38465,38150,76608
Maroondah (C),24410,29532,31506,61042,1606,1766,3370,276,277,552,12701,13719,26423,266,249,515,96,110,210,97,96,190,46,59,108,38,34,73,36,35,75,0,0,0,13565,14585,28144,2323,2584,4908,231,282,513,17725,19210,36938,2329,2725,5059,49596,53446,103037
Melbourne (C),24600,12819,13111,25930,2547,2544,5094,1439,1615,3058,13463,13474,26938,1135,1224,2356,505,545,1051,818,864,1682,301,334,639,131,150,285,398,387,786,3,0,6,18197,18597,36797,21721,25038,46763,485,444,927,42951,46626,89581,8194,7874,16061,63964,67609,131574
Melton (C),24650,33441,34033,67475,3273,3446,6714,601,618,1225,15216,16115,31335,371,368,739,229,228,459,176,178,354,103,119,223,48,62,111,48,48,95,3,3,5,16799,17740,34540,2614,3038,5659,270,223,493,22960,24442,47406,4671,4414,9088,61075,62889,123964
Mildura (RC),24780,13501,13831,27330,2093,2377,4471,675,764,1436,4179,4520,8699,223,249,471,458,508,966,129,116,246,31,26,61,78,87,172,5,10,20,0,0,0,5785,6287,12068,702,618,1316,172,167,340,8746,9451,18198,2532,2453,4981,24779,25730,50512
Mitchell (S),24850,10143,9976,20116,1724,1844,3573,257,214,471,4094,4260,8350,343,262,607,67,59,132,58,51,107,36,45,82,119,81,200,32,35,66,0,0,0,5001,5004,10006,371,350,728,78,65,139,7173,7270,14441,1746,1754,3502,19061,18998,38055
Moira (S),24900,7952,7918,15871,1703,1776,3473,408,468,876,1740,1803,3536,131,156,287,40,36,77,71,68,140,28,21,52,18,15,40,11,9,19,0,0,0,2441,2579,5025,187,210,398,57,74,131,4385,4641,9024,1334,1292,2629,13680,13848,27529
Monash (C),24970,44745,47709,92461,3260,3327,6588,654,654,1305,17152,16838,33988,494,479,980,271,289,563,271,279,547,172,181,351,75,81,156,131,117,246,0,0,0,19229,18909,38138,13012,13605,26613,367,317,686,35863,36153,72023,4278,4571,8845,84893,88439,173332
Sydney (C),17200,29213,26131,55339,5321,4671,9988,24732,22394,47124,1593,1376,2965,1767,1674,3441,475,474,947,695,654,1350,130,132,260,96,79,171,696,656,1348,4,3,4,30182,27435,57611,23990,26160,50148,927,734,1662,60418,58996,119410,14722,11929,26644,104352,97049,201400
Tamworth Regional (A),17310,14165,14931,29093,2798,3133,5929,5927,6541,12464,122,125,251,499,536,1038,45,45,88,74,89,166,25,15,37,39,31,72,34,39,68,3,3,8,6768,7425,14191,648,552,1199,156,136,296,10370,11249,21614,2525,2530,5048,27058,28702,55758
Temora (A),17350,1821,1785,3609,387,455,851,338,347,686,16,31,44,16,19,38,3,3,9,7,0,9,0,3,3,5,5,9,12,18,30,0,0,0,402,427,827,22,18,35,9,6,14,820,908,1731,206,208,412,2847,2904,5749
Tenterfield (A),17400,1851,1871,3723,303,338,637,265,283,547,11,12,24,254,281,529,5,3,11,10,5,11,3,0,10,4,9,7,0,3,3,0,0,0,552,599,1143,13,24,40,12,12,27,871,973,1848,385,392,773,3113,3235,6343
Golden Plains (S),22490,6281,5922,12200,493,496,991,58,52,107,2542,2537,5081,65,72,133,34,27,58,30,33,58,14,14,27,7,8,20,3,10,14,0,0,0,2762,2753,5514,69,81,152,38,37,77,3358,3362,6722,659,671,1334,10306,9959,20262
Greater Bendigo (C),22620,26888,27948,54838,3382,3735,7114,539,605,1143,12916,14487,27403,439,464,904,209,228,438,209,222,429,101,116,221,124,126,251,50,56,106,0,3,3,14585,16313,30901,826,961,1784,289,210,498,19078,21223,40302,4023,4237,8263,49997,53409,103400
Greater Dandenong (C),22670,37303,38039,75345,4398,3999,8392,381,312,690,13625,12535,26159,323,261,589,178,123,302,144,105,250,45,48,93,45,38,78,40,29,70,14,0,18,14797,13453,28252,10187,9026,19216,502,334,842,29889,26812,56698,4983,4539,9522,72173,69395,141563
Greater Geelong (C),22750,56561,60469,117028,9567,10560,20124,826,999,1832,24636,27467,52095,817,895,1707,303,303,612,393,393,781,196,234,432,149,166,313,127,140,268,0,0,0,27448,30597,58043,3535,3405,6942,581,521,1102,41130,45083,86213,8092,7749,15838,105785,113301,219081
Moonee Valley (C),25060,29884,32442,62326,2661,2865,5532,524,557,1082,11744,12292,24038,455,552,1005,193,187,382,202,230,431,94,116,211,61,68,132,97,112,213,3,0,4,13386,14116,27498,3408,3636,7049,264,243,503,19715,20863,40585,3427,3724,7148,53029,57029,110058
Moorabool (S),25150,8784,8739,17523,1293,1554,2850,99,101,202,3018,3157,6178,77,80,156,32,38,70,59,59,113,26,26,54,16,13,35,20,12,32,0,0,0,3349,3493,6838,179,206,382,63,80,140,4877,5329,10207,1029,1035,2061,14690,15105,29796
Strathfield (A),17100,8430,8911,17347,1219,1141,2360,4157,3940,8095,106,81,189,146,119,266,29,30,62,33,36,67,10,3,14,18,11,25,21,23,49,0,0,3,4524,4251,8774,3449,3160,6610,142,111,245,9333,8665,17995,1446,1205,2652,19214,18778,37994
Sutherland Shire (A),17150,62246,65427,127673,5768,6146,11914,22661,23897,46563,275,307,580,583,575,1151,85,101,189,163,172,330,32,28,58,56,44,99,113,110,225,0,0,6,23963,25240,49204,2675,3058,5731,495,526,1021,32903,34965,67871,4514,4795,9302,99658,105181,204844
Glen Eira (C),22310,33851,36670,70517,3048,3030,6085,666,734,1399,14980,15648,30626,463,515,977,201,190,394,255,270,520,93,114,211,40,48,84,89,100,194,0,0,0,16792,17622,34412,6430,7312,13745,353,310,657,26620,28274,54897,3362,3503,6860,63825,68448,132273
Glenelg (S),22410,5888,5757,11651,1094,1159,2254,85,79,160,935,991,1925,57,63,116,128,157,287,52,67,120,28,34,65,17,25,44,3,3,7,0,0,0,1303,1419,2719,66,88,154,41,43,82,2510,2708,5215,879,833,1710,9278,9296,18575
Moreland (C),25250,36703,39887,76589,3464,3426,6893,1217,1307,2523,16971,17566,34533,884,947,1828,388,406,788,525,514,1042,209,220,428,89,86,179,277,320,598,3,0,3,20564,21359,41927,7904,7608,15513,535,528,1067,32471,32920,65392,5048,5266,10313,74222,78067,152293
Mornington Peninsula (S),25340,39316,41612,80930,6598,7361,13956,807,727,1539,16120,17851,33975,744,686,1428,139,124,261,287,267,553,96,117,214,120,106,232,76,80,152,0,0,3,18395,19959,38357,1418,1606,3022,352,403,754,26764,29325,56090,4652,5316,9972,70729,76257,146991
Mount Alexander (S),25430,5010,5144,10156,694,811,1501,60,93,151,1444,1667,3104,44,50,97,34,34,67,26,24,52,9,15,27,28,31,54,12,12,23,0,0,0,1650,1937,3586,131,144,272,49,42,87,2516,2931,5450,1446,880,2324,8972,8953,17926
