lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Wollongong (C),18450,88,87,179,1977,1846,3827,17,15,36,2091,1946,4037,407,414,820,7866,7549,15414,102,72,175,8366,8039,16406,289,303,590,6076,5922,11999,57,61,115,6419,6282,12704,9,18,21,279,304,580,3,0,3,287,323,611,10,22,27,247,387,635,0,3,6,255,407,667,27,17,49,804,388,1191,4,0,10,841,410,1246,19,25,44,568,831,1400,6,3,12,592,863,1460,0,0,3,22,20,45,0,3,4,23,25,48,63,78,146,1921,1934,3854,17,10,27,2004,2032,4030,56,74,131,3831,3772,7609,23,19,45,3914,3865,7777,23,23,47,1596,1246,2842,4,0,7,1624,1270,2895,10,15,18,336,413,746,3,7,3,348,430,776,24,35,59,823,1384,2209,0,4,5,847,1423,2273,0,0,0,12,19,32,0,3,3,12,19,30,110,149,258,6602,6834,13439,34,28,62,6748,7008,13755,12,19,33,431,755,1181,4,12,12,442,786,1233,104,96,207,1667,1932,3607,4132,4017
Woollahra (A),18500,4,0,4,460,415,872,0,0,0,465,412,882,17,9,23,1802,1806,3609,16,20,35,1834,1831,3664,15,24,32,1513,1584,3096,18,6,27,1542,1612,3153,0,0,0,22,39,60,0,0,0,27,39,62,0,0,0,35,58,94,0,0,0,35,58,94,0,0,0,43,43,84,0,0,0,43,40,85,0,0,0,94,151,240,0,0,0,96,151,246,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,198,293,483,0,0,3,197,292,488,0,3,3,690,834,1522,3,0,3,690,835,1525,0,0,0,180,317,493,0,0,3,178,320,500,0,0,0,112,118,222,0,0,0,112,118,222,0,3,3,382,560,942,0,0,0,382,563,946,0,0,0,3,10,15,0,0,0,3,10,15,0,3,5,1367,1838,3201,4,3,9,1369,1841,3212,0,4,4,156,271,422,0,0,0,156,277,431,4,0,6,265,404,668,2028,2355
Yass Valley (A),18710,12,3,14,157,134,291,0,3,3,167,136,307,30,28,58,755,722,1480,8,6,17,795,763,1560,23,25,46,564,593,1153,9,13,20,592,629,1218,0,0,0,12,10,27,0,0,0,12,10,27,0,0,0,5,17,24,0,0,0,5,17,24,0,0,3,58,38,96,0,0,0,59,40,95,3,3,6,46,99,140,0,3,3,47,104,154,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,124,166,285,0,3,3,129,176,298,0,0,3,54,96,151,0,3,3,52,101,153,0,0,0,22,51,67,0,0,0,23,51,70,0,3,3,21,29,51,0,0,0,21,30,53,0,4,4,79,153,234,0,0,3,85,157,236,0,0,0,3,0,3,0,0,0,3,0,3,0,4,5,180,331,505,3,0,7,180,339,519,3,0,3,30,51,79,3,3,3,33,57,84,7,14,19,162,231,396,438,423
Unincorporated NSW,19399,0,0,0,8,6,12,0,0,0,8,6,12,0,3,3,43,37,76,0,0,3,45,40,85,0,0,0,11,6,22,0,0,0,11,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,6,10,0,3,3,0,5,5,0,0,0,0,7,7,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,5,8,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,15,16,0,0,0,4,12,19,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,14,5,12,62,47
No usual address (NSW),19499,5,3,10,27,12,42,0,0,0,32,19,49,15,17,34,91,117,204,4,0,7,107,131,243,12,9,16,67,45,111,0,4,6,75,55,134,3,3,3,18,22,34,0,0,0,15,20,43,0,3,3,16,26,41,0,0,0,17,30,44,0,3,5,25,14,41,0,0,0,29,15,44,4,3,5,24,51,75,0,0,0,31,53,78,0,0,0,3,0,5,0,0,0,5,0,9,6,8,18,87,104,194,3,0,3,97,120,217,0,3,3,110,120,224,0,5,5,110,123,228,0,0,3,62,73,133,3,0,6,64,76,139,0,0,0,10,12,20,0,0,0,10,10,17,0,0,3,29,39,72,0,0,0,31,42,71,0,0,0,0,4,7,0,0,0,0,4,7,3,6,8,200,247,447,3,3,3,209,254,461,0,7,10,52,68,119,3,0,3,60,69,129,220,108,325,931,300,1234,1083,716
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,8,0,0,0,4,7,10,0,0,0,3,10,12,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,10,10,20,9,18
Alpine (S),20110,0,0,0,82,73,158,0,0,0,84,77,162,5,15,21,476,420,897,9,13,22,490,447,935,6,5,11,332,368,698,8,6,9,349,372,724,0,0,0,11,16,25,0,0,0,11,17,28,0,0,0,3,12,12,0,0,0,3,9,16,0,0,0,40,25,62,0,0,0,40,25,62,0,0,0,18,39,62,0,0,0,23,41,64,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,73,93,167,0,0,0,75,94,172,0,0,0,17,36,46,0,0,0,17,36,46,0,0,0,9,19,29,0,0,0,9,19,29,0,0,0,0,3,3,0,0,0,3,3,7,0,0,0,21,50,67,0,0,3,23,46,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,106,155,3,0,3,48,109,158,3,0,3,19,49,70,0,0,0,20,49,70,3,5,11,146,153,300,415,431
Ararat (RC),20260,0,0,0,66,70,143,5,0,5,75,76,145,15,12,22,382,384,763,12,15,22,401,407,814,4,12,16,280,296,572,7,5,9,291,313,598,0,0,0,4,4,8,0,0,0,4,4,8,0,0,0,3,10,12,0,0,0,3,11,16,0,0,0,28,9,31,0,0,0,28,9,31,0,0,0,6,26,31,0,0,0,6,26,31,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,40,43,88,0,0,0,40,45,86,0,0,0,23,34,60,0,0,0,23,34,60,0,0,0,11,18,25,0,0,0,11,18,25,0,0,0,5,17,25,0,0,0,5,17,25,0,0,0,14,46,59,0,0,0,14,46,59,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,54,115,170,0,0,0,54,115,170,0,0,0,13,33,44,0,0,0,10,33,44,50,3,53,777,169,946,326,316
Ballarat (C),20570,30,20,46,845,823,1666,12,8,17,878,857,1731,118,123,240,4211,4050,8261,46,34,78,4377,4209,8584,76,74,151,3204,3158,6364,40,27,63,3311,3263,6582,11,7,18,157,145,298,0,0,3,161,152,313,0,3,8,61,119,178,0,0,0,67,123,182,4,10,11,216,144,360,0,0,0,216,150,371,0,3,4,233,298,532,0,4,4,237,305,542,0,0,0,14,4,21,0,0,0,14,9,21,15,23,35,677,705,1386,6,8,13,695,735,1435,9,20,26,1152,1514,2666,3,9,12,1164,1536,2702,5,13,19,381,526,905,0,5,5,384,547,931,3,3,5,105,175,285,3,3,3,113,180,295,3,5,8,394,726,1125,0,4,4,400,738,1138,0,0,0,9,11,21,0,0,0,9,11,21,21,42,66,2045,2949,4996,5,20,23,2077,3010,5084,10,8,13,301,405,708,7,9,10,316,422,734,28,37,62,891,1040,1928,2395,2600
Banyule (C),20660,10,9,20,1083,1094,2181,4,5,13,1097,1115,2218,47,33,77,4906,4675,9586,56,49,103,5010,4756,9767,36,44,83,3747,3512,7256,25,31,63,3812,3591,7399,0,5,6,227,210,441,0,0,0,228,215,445,0,3,3,116,192,305,0,0,3,116,196,314,11,3,11,279,104,390,0,3,8,291,115,399,0,4,4,298,320,618,3,4,6,302,324,621,0,0,0,8,3,10,0,3,3,8,5,17,11,9,22,930,831,1762,6,10,14,952,853,1799,8,19,23,1799,1992,3794,9,9,13,1813,2017,3829,4,10,11,617,709,1335,3,0,3,627,722,1351,0,0,3,197,199,395,0,0,0,194,200,395,3,6,10,553,846,1395,3,0,7,559,852,1412,0,0,0,14,9,23,0,0,0,14,12,26,14,32,44,3181,3759,6935,9,10,27,3202,3805,7008,4,3,10,392,568,960,4,3,5,398,580,972,18,14,34,820,1117,1940,2144,2216
Bass Coast (S),20740,3,4,13,227,205,433,6,3,11,243,217,460,21,18,42,1144,1143,2286,18,19,39,1184,1180,2362,24,14,38,817,859,1682,9,17,28,850,890,1741,0,0,0,37,42,78,0,0,0,37,43,77,0,3,0,19,35,55,0,0,0,17,38,53,3,0,4,65,39,103,0,0,3,70,41,110,0,3,7,73,108,182,0,3,0,73,113,187,0,0,0,0,3,5,0,0,0,0,3,5,3,9,9,190,224,417,0,3,6,201,236,433,0,0,0,38,68,106,0,3,3,38,67,108,0,0,3,33,54,88,0,0,0,36,59,88,0,0,0,6,10,18,0,0,0,6,10,18,0,0,3,47,165,208,0,0,0,45,167,212,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,126,298,422,0,0,0,127,304,432,3,0,3,71,139,210,3,0,3,78,135,217,10,8,12,424,487,910,929,966
Baw Baw (S),20830,7,10,19,371,365,737,4,3,8,383,380,758,38,42,81,2115,1994,4105,18,23,41,2170,2051,4221,30,27,53,1464,1519,2985,13,13,28,1511,1563,3070,3,0,6,68,88,157,0,0,0,74,89,163,0,0,4,23,80,99,0,0,0,23,78,102,3,0,3,160,88,250,0,0,3,164,93,259,0,3,3,87,205,294,3,0,4,88,210,300,0,0,0,0,0,3,0,0,0,0,0,3,10,4,10,341,455,801,3,0,6,354,469,816,3,6,9,168,311,477,0,0,0,170,314,484,0,0,0,56,175,224,0,0,0,56,177,229,0,0,0,33,53,92,0,0,0,33,53,92,0,0,0,104,267,378,0,0,0,104,271,379,0,0,0,0,5,9,0,0,0,0,5,9,3,6,7,361,817,1179,0,0,0,368,818,1186,0,0,3,106,205,310,0,3,9,106,212,316,17,20,32,432,554,985,1304,1381
Bayside (C),20910,4,0,4,942,850,1793,10,0,10,953,850,1809,8,11,21,4444,4503,8950,29,27,51,4479,4546,9027,12,7,18,3809,3566,7380,25,29,54,3847,3605,7449,0,0,0,104,79,190,4,0,4,107,79,193,0,0,0,44,99,143,0,0,0,44,102,144,0,0,0,135,51,185,0,0,3,137,51,186,3,3,3,116,207,325,0,0,0,121,211,331,0,0,0,5,4,4,0,3,3,5,6,7,3,3,7,405,440,845,3,4,10,416,448,863,0,0,0,1584,1616,3203,3,8,14,1590,1621,3216,0,0,4,245,322,562,0,3,3,245,325,567,0,0,4,177,154,330,0,0,0,178,154,329,0,0,6,383,631,1021,0,0,0,385,639,1027,0,0,0,7,24,36,0,3,3,11,28,40,7,4,10,2393,2751,5143,11,10,19,2412,2767,5179,0,0,0,196,397,595,0,0,0,197,399,596,6,6,10,517,746,1259,2100,2201
Benalla (RC),21010,3,0,7,82,81,157,0,0,3,81,80,162,18,19,35,455,401,858,3,10,16,477,424,906,17,16,30,402,389,784,7,15,22,418,413,833,0,0,0,15,24,36,0,0,0,15,24,36,0,0,0,5,12,24,0,0,0,5,17,24,0,0,0,34,25,60,0,0,0,35,25,64,0,3,3,19,54,76,0,0,0,19,60,81,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,80,121,200,0,0,0,83,124,208,0,0,0,17,36,54,0,0,0,17,36,54,0,0,0,7,16,23,0,0,0,7,19,24,0,0,0,3,9,16,0,0,0,3,9,16,0,0,0,16,48,56,0,0,0,16,48,56,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,35,108,149,0,0,0,35,113,148,0,0,3,28,33,66,0,0,0,27,36,70,3,7,16,158,197,355,452,462
Boroondara (C),21110,6,5,4,1430,1327,2758,5,4,13,1440,1331,2772,7,8,18,7075,6794,13869,39,33,72,7132,6829,13958,20,19,34,6517,6520,13040,47,41,89,6588,6581,13172,3,0,4,304,211,510,0,0,0,306,209,516,3,3,4,213,284,497,0,0,0,216,285,500,0,0,0,175,75,242,0,0,0,175,73,242,0,0,0,327,400,726,0,0,0,326,404,731,0,0,0,0,6,6,0,0,0,7,6,6,8,3,10,1019,971,1988,3,3,4,1026,977,2008,6,15,23,4873,4761,9634,34,22,52,4918,4798,9709,3,3,6,1330,1396,2723,3,5,3,1338,1399,2741,0,0,0,401,433,833,4,0,5,405,435,839,3,4,8,991,1425,2416,0,3,7,993,1429,2425,0,0,0,16,28,46,0,0,0,19,28,43,15,16,36,7615,8045,15659,38,29,70,7669,8094,15761,6,0,3,494,826,1320,0,4,5,500,825,1326,13,4,16,775,951,1730,3324,3420
Brimbank (C),21180,14,11,23,1303,1227,2530,19,13,32,1342,1247,2590,60,49,108,7177,6828,14005,132,97,228,7369,6977,14343,28,37,65,6037,6253,12290,67,93,158,6131,6385,12523,0,3,6,628,529,1155,8,3,6,635,536,1169,0,0,3,374,568,947,12,4,20,387,578,962,4,0,4,414,205,623,3,0,4,422,209,631,0,3,3,411,480,885,5,3,9,415,483,902,0,3,3,29,26,55,0,0,5,28,25,58,6,12,16,1852,1809,3662,28,13,43,1882,1834,3715,5,3,10,3090,3249,6338,26,29,52,3115,3281,6397,0,8,8,966,1054,2020,5,5,16,973,1067,2039,3,3,3,328,303,626,3,0,4,333,304,635,3,4,11,494,609,1104,0,3,3,500,616,1113,0,3,3,26,39,62,0,0,0,23,44,69,10,19,29,4900,5244,10144,37,42,74,4944,5302,10249,3,6,8,1303,1936,3242,15,21,33,1325,1966,3284,27,25,51,2660,2760,5420,4637,4426
Buloke (S),21270,3,3,8,30,25,57,0,0,0,38,28,65,3,3,12,255,229,485,3,5,5,258,237,501,3,3,8,218,195,415,4,0,5,226,201,427,0,0,0,4,3,5,0,0,0,4,3,11,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,7,8,13,0,0,0,7,8,13,0,0,0,7,10,24,0,0,0,7,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,49,0,0,0,31,22,51,0,0,0,11,10,28,0,0,0,11,10,28,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,10,32,43,0,0,0,10,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,48,71,0,0,0,25,46,73,0,0,0,4,16,19,0,0,0,4,16,18,3,3,4,71,80,156,247,232
Campaspe (S),21370,16,13,25,237,229,469,7,6,11,260,247,507,79,59,136,1416,1318,2736,26,34,61,1515,1414,2930,36,46,80,1193,1090,2283,13,9,20,1239,1149,2391,0,3,3,28,36,67,0,0,0,35,36,71,0,6,11,11,29,43,0,0,0,11,41,49,5,0,7,120,70,195,0,0,0,123,73,196,4,6,12,60,124,183,0,0,0,64,131,193,0,0,0,3,7,5,0,0,0,3,9,11,6,15,24,223,263,493,0,3,3,236,284,519,0,6,7,58,113,178,4,0,4,69,123,188,3,0,4,15,56,71,0,0,0,17,62,79,0,0,3,6,20,33,0,0,0,11,23,33,0,0,0,30,131,163,0,0,0,30,131,165,0,0,0,0,0,3,0,0,0,0,0,3,3,13,15,115,323,444,4,4,9,124,336,465,3,7,13,46,121,168,0,0,0,48,129,179,27,28,51,510,546,1060,1065,1128
Cardinia (S),21450,22,9,32,1040,905,1947,10,3,11,1073,920,1995,53,85,139,4588,4416,9008,45,50,92,4682,4556,9237,43,42,90,3223,3158,6383,35,36,74,3309,3236,6543,5,4,9,199,235,433,4,0,3,206,242,448,0,5,5,71,147,227,0,0,0,71,153,229,3,3,7,389,184,568,3,0,3,395,185,577,0,0,3,244,377,617,3,3,7,244,382,625,0,0,0,9,13,24,0,0,0,9,13,24,7,10,19,918,954,1869,5,8,15,933,972,1900,3,3,6,564,829,1392,0,5,9,567,835,1405,0,4,4,146,306,454,0,0,0,148,310,460,0,3,3,73,153,222,0,0,0,74,157,228,0,3,3,223,477,693,0,3,3,224,484,706,0,0,0,0,3,3,0,0,0,4,3,9,4,10,12,1004,1763,2764,3,11,12,1008,1784,2797,0,4,4,259,514,774,0,3,5,265,525,783,11,8,16,819,860,1675,2154,2188
Casey (C),21610,23,28,52,2660,2457,5115,18,5,25,2699,2490,5192,128,143,266,14766,13927,28689,79,102,185,14968,14173,29141,98,93,189,11085,10804,21890,81,78,160,11264,10977,22234,4,3,7,815,887,1699,10,9,12,825,898,1726,4,3,10,411,686,1097,0,0,0,415,690,1107,16,3,19,935,502,1439,9,3,10,957,513,1471,5,6,14,808,1185,1992,3,4,8,813,1201,2015,0,0,0,28,16,47,0,0,0,35,16,53,29,21,44,2997,3287,6285,21,15,34,3046,3319,6363,4,16,15,3089,3569,6657,16,21,36,3106,3609,6715,3,0,3,742,1055,1795,7,10,16,747,1063,1815,0,7,7,339,492,834,3,0,6,343,502,843,4,4,14,736,1276,2009,3,4,14,742,1291,2030,0,0,0,16,34,52,0,0,3,15,38,51,11,23,32,4915,6433,11348,32,42,68,4954,6499,11453,12,6,15,1200,2186,3388,9,8,13,1214,2204,3415,29,40,71,2788,2956,5744,5998,5895
Central Goldfields (S),21670,0,0,5,76,82,155,0,0,0,74,86,163,22,18,40,450,405,854,5,8,16,477,428,906,10,8,16,370,338,706,3,4,10,385,353,734,0,0,0,13,18,35,0,0,0,16,18,32,0,0,0,3,14,16,0,0,0,3,14,16,0,0,0,25,13,33,0,0,0,21,13,34,0,0,0,13,27,43,0,0,0,13,24,45,0,0,0,3,0,3,0,0,0,5,0,5,3,0,4,57,68,134,0,0,0,61,70,138,0,0,0,26,32,51,0,0,3,22,34,57,0,0,0,8,19,25,0,0,0,8,19,25,0,0,0,5,14,19,0,0,0,5,14,19,0,0,0,19,30,48,0,0,0,19,35,54,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,58,96,154,3,0,3,62,98,160,0,3,3,27,47,73,0,3,4,25,51,80,5,5,14,196,243,436,329,319
Colac-Otway (S),21750,5,5,7,171,152,321,3,3,10,179,161,339,25,15,40,852,755,1601,12,17,27,883,781,1670,15,11,33,600,587,1184,16,7,26,628,611,1243,0,0,0,16,25,41,0,0,0,18,25,40,0,0,0,4,17,23,0,0,0,4,17,23,6,0,4,54,27,83,0,0,0,57,34,90,0,0,0,41,77,123,0,0,4,43,78,122,0,0,0,3,0,3,0,0,0,3,0,3,6,3,5,115,151,272,0,0,3,127,159,283,0,0,0,26,61,87,0,0,0,26,61,87,0,0,4,10,34,45,0,0,0,17,36,52,0,0,0,9,22,35,0,0,0,9,24,33,0,0,0,32,75,105,0,0,0,31,75,107,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,78,193,274,0,0,0,85,196,275,3,0,3,38,64,103,3,0,3,42,65,109,3,3,12,276,285,564,600,555
Corangamite (S),21830,3,4,10,114,110,226,0,3,3,121,115,238,15,9,18,677,599,1274,8,11,18,696,620,1315,9,6,13,561,477,1035,10,6,14,571,491,1063,0,0,0,16,26,46,0,0,0,20,26,48,0,0,0,3,11,13,0,0,3,4,9,11,0,0,0,46,27,77,0,0,0,47,27,76,0,0,0,18,48,73,0,0,0,18,48,73,0,0,0,3,3,8,0,0,0,3,3,8,0,0,0,87,118,205,5,0,3,94,116,212,0,0,0,25,72,99,0,0,3,25,75,102,0,0,0,6,17,26,0,0,0,6,17,27,0,0,0,6,6,13,0,0,0,6,6,13,0,3,3,30,41,70,0,0,0,30,47,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,65,140,205,0,3,3,63,145,206,0,0,0,22,48,65,4,0,6,28,51,75,6,3,13,230,247,478,515,488
Darebin (C),21890,17,15,30,1092,1013,2106,12,14,22,1122,1035,2162,56,55,109,4946,4662,9612,59,59,116,5063,4778,9838,40,50,83,3388,3197,6587,41,30,68,3465,3278,6742,10,8,13,298,308,602,0,3,5,309,317,624,3,0,5,334,452,782,0,4,3,342,459,794,0,0,3,232,103,334,0,4,3,230,112,338,0,0,4,416,500,916,3,0,3,423,507,926,0,0,0,12,8,22,0,0,0,12,8,22,19,10,31,1293,1372,2664,8,9,16,1310,1398,2706,13,26,38,2802,3438,6238,18,13,33,2831,3476,6308,10,8,20,1676,1749,3427,11,6,11,1697,1764,3459,0,3,9,206,274,479,0,3,4,214,274,490,6,10,17,851,1382,2236,3,4,10,862,1396,2259,0,0,0,16,17,33,0,3,3,16,20,38,29,51,79,5555,6854,12417,32,29,61,5613,6938,12551,8,11,19,638,927,1564,5,9,12,649,938,1585,25,30,58,1288,1510,2798,4015,4187
East Gippsland (S),22110,20,24,39,276,274,551,7,4,12,299,302,598,110,118,221,1460,1387,2841,43,29,66,1608,1524,3133,57,63,120,1144,1088,2229,22,20,42,1223,1177,2396,5,10,12,37,66,106,0,0,0,44,76,118,3,3,10,18,68,84,0,0,0,21,73,90,9,8,11,81,67,150,3,0,4,90,70,162,0,0,3,79,151,229,0,0,0,84,155,234,0,0,0,3,3,11,0,0,0,3,6,6,21,16,41,216,353,574,3,3,9,240,376,617,0,3,3,40,93,126,0,0,0,41,97,136,0,4,4,14,64,78,0,0,0,14,71,87,0,0,0,10,26,39,0,0,0,10,26,38,3,3,4,65,207,272,0,0,0,68,205,277,0,0,0,0,3,3,0,0,0,0,3,3,3,16,19,133,392,520,0,0,0,133,403,539,5,10,12,71,148,217,3,0,3,80,157,235,40,27,68,566,706,1269,1564,1603
