LGA_MAIN11,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total,LGA_NAME11
10650,5,33,356,1551,725,108,18,57,2853,0,12,88,22,0,0,0,11,133,0,0,0,7,0,4,0,0,11,0,12,88,29,0,4,0,11,144,0,18,97,37,0,0,0,9,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,97,37,0,0,0,9,161,4,25,29,13,3,3,4,5,86,0,0,0,0,3,0,0,0,3,9,88,570,1630,731,115,22,82,3247,Berrigan (A)
10750,126,554,3766,39811,26863,4379,828,1346,77673,19,257,805,2248,375,48,13,108,3873,27,174,803,4350,1182,143,37,134,6850,46,431,1608,6598,1557,191,50,242,10723,113,632,249,78,20,0,3,110,1205,4,61,1308,96,6,0,0,68,1543,17,63,1645,136,5,0,0,51,1917,9,64,34,18,3,3,3,7,141,143,820,3236,328,34,3,6,236,4806,14,121,155,55,14,0,0,24,383,0,9,10,31,11,8,3,0,72,329,1935,8775,46823,28479,4581,887,1848,93657,Blacktown (C)
10800,8,33,254,1011,647,109,20,44,2126,0,3,3,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,15,3,26,40,6,0,0,0,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,3,29,43,6,0,0,3,3,87,0,10,3,8,3,0,4,4,32,0,0,0,0,0,0,0,0,0,11,75,303,1034,650,109,27,51,2260,Bland (A)
10850,5,47,318,1151,684,122,42,46,2415,3,11,18,11,3,3,0,3,52,0,0,0,4,0,0,0,0,4,3,11,18,15,3,3,0,3,56,0,17,27,5,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,23,27,5,0,0,0,3,58,3,4,4,4,0,0,0,3,18,0,0,0,3,0,0,0,0,3,11,85,367,1178,687,125,42,55,2550,Blayney (A)
10900,40,454,3395,12007,7643,1730,373,332,25974,17,139,293,372,82,19,6,22,950,0,57,169,181,37,10,4,10,468,17,196,462,553,119,29,10,32,1418,18,136,165,78,7,0,0,13,417,0,23,44,3,0,0,0,3,73,3,0,3,0,0,0,0,0,6,3,31,19,19,3,0,0,3,78,24,190,231,100,10,0,0,19,574,7,14,11,8,0,0,0,6,46,0,3,4,8,0,5,0,0,20,88,857,4103,12676,7772,1764,383,389,28032,Blue Mountains (C)
10950,3,12,156,445,278,36,11,29,970,0,3,19,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,3,25,0,5,14,5,3,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,5,3,0,0,3,30,3,4,3,3,3,3,0,3,22,0,3,0,0,0,0,0,0,3,6,27,192,453,284,39,11,38,1050,Bogan (A)
11000,3,16,164,495,215,38,13,26,970,0,4,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,13,3,3,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,0,0,15,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,26,179,498,215,38,13,26,1004,Bombala (A)
11050,6,21,133,412,262,45,25,11,915,0,15,10,0,0,0,0,3,28,0,0,3,0,0,0,0,0,3,0,15,13,0,0,0,0,3,31,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,3,3,3,3,0,0,3,18,0,0,0,0,0,0,0,0,0,9,39,154,415,265,45,25,17,969,Boorowa (A)
11100,9,49,988,2841,1162,353,82,93,5577,7,51,427,500,81,5,6,28,1105,0,65,118,622,123,18,0,15,961,7,116,545,1122,204,23,6,43,2066,75,269,405,118,16,4,4,34,925,12,293,2397,535,3,0,4,93,3337,20,363,1325,335,8,0,3,47,2101,0,0,4,0,0,0,3,0,7,107,925,4131,988,27,4,14,174,6370,5,9,40,14,5,0,0,0,73,0,10,11,13,0,0,0,0,34,128,1109,5715,4978,1398,380,102,310,14120,Botany Bay (C)
11150,0,33,132,386,230,50,18,42,891,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,9,9,0,0,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,0,0,0,3,3,27,3,8,0,3,0,0,0,4,18,0,0,0,0,0,0,0,0,0,6,50,141,394,230,50,21,49,941,Bourke (A)
11200,0,27,85,237,130,25,13,13,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,3,0,0,0,38,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,33,114,244,133,25,13,13,575,Brewarrina (A)
11400,9,80,627,1883,1445,315,75,70,4504,3,11,25,3,5,0,0,3,50,0,0,16,0,0,0,0,0,16,3,11,41,3,5,0,0,3,66,0,27,23,9,0,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,27,23,9,0,0,3,4,66,5,28,9,14,3,0,3,3,65,3,0,0,0,0,0,0,0,3,20,146,700,1909,1453,315,81,80,4704,Cabonne (A)
11450,25,96,440,5448,8566,1397,263,162,16397,8,99,216,178,109,13,4,15,642,0,13,78,165,101,15,0,4,376,8,112,294,343,210,28,4,19,1018,3,51,153,9,3,3,0,12,234,0,0,17,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8,5,5,3,0,0,0,21,3,59,175,20,6,3,0,12,278,13,43,77,6,4,0,0,12,155,0,4,3,7,10,3,0,0,27,49,314,989,5824,8796,1431,267,205,17875,Camden (A)
11250,8,104,1433,4009,1070,159,37,198,7018,0,15,42,12,0,0,0,5,74,0,0,0,0,0,0,0,0,0,0,15,42,12,0,0,0,5,74,15,33,114,38,11,0,3,29,243,0,0,0,0,0,0,0,0,0,0,0,14,35,10,0,3,5,67,0,0,0,0,4,0,0,0,4,15,33,128,73,25,0,6,34,314,0,7,4,3,0,6,0,4,24,0,0,3,0,0,0,3,0,6,23,159,1610,4097,1095,165,46,241,7436,Broken Hill (C)
11720,39,272,2730,8735,3889,583,131,329,16708,0,125,413,230,19,6,0,34,827,0,4,26,21,0,0,0,3,54,0,129,439,251,19,6,0,37,881,4,175,240,89,5,0,0,19,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,0,4,21,4,179,245,97,5,0,0,23,553,5,22,9,17,10,0,0,7,70,0,3,4,3,0,0,3,3,16,48,605,3427,9103,3923,589,134,399,18228,Cessnock (C)
11730,76,406,2446,8436,4250,740,150,298,16802,5,38,280,169,5,0,4,17,518,0,8,116,123,17,0,0,11,275,5,46,396,292,22,0,4,28,793,9,170,549,217,19,0,6,28,998,0,8,50,16,0,0,0,0,74,0,0,8,4,0,0,0,0,12,0,9,0,3,0,3,0,3,18,9,187,607,240,19,3,6,31,1102,63,205,144,44,26,0,0,44,526,0,17,7,7,3,0,0,0,34,153,861,3600,9019,4320,743,160,401,19257,Clarence Valley (A)
11750,7,17,156,764,475,61,20,31,1531,0,0,16,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,21,0,40,66,7,5,0,0,6,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,66,7,5,0,0,6,124,3,20,5,4,0,3,3,0,38,0,3,3,3,0,0,0,0,9,10,80,246,783,480,64,23,37,1723,Cobar (A)
11800,39,300,2073,9772,5959,1188,234,300,19865,5,145,939,495,44,6,4,50,1688,4,64,422,612,57,4,3,21,1187,9,209,1361,1107,101,10,7,71,2875,36,340,1237,271,16,8,10,83,2001,3,6,172,43,0,0,3,6,233,0,30,135,61,5,0,0,6,237,0,23,26,9,3,5,3,3,72,39,399,1570,384,24,13,16,98,2543,45,262,345,75,17,4,0,32,780,0,3,3,5,0,0,0,0,11,132,1173,5352,11343,6101,1215,257,501,26074,Coffs Harbour (C)
11860,0,3,43,228,192,46,21,7,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,43,235,192,46,21,7,547,Conargo (A)
12000,0,20,174,686,407,82,14,24,1407,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,15,30,5,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,5,0,0,0,9,59,0,7,3,4,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,46,207,695,407,82,18,33,1488,Coolamon (A)
12050,16,74,468,1717,941,178,53,42,3489,3,51,83,19,3,0,3,7,169,0,3,0,4,3,0,0,0,10,3,54,83,23,6,0,3,7,179,0,43,47,12,4,0,0,3,109,0,4,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,54,47,12,4,0,0,3,120,3,8,8,3,5,3,0,3,33,0,3,3,3,0,0,0,0,9,22,193,609,1758,956,181,56,55,3830,Cooma-Monaro (A)
12150,4,13,232,663,383,83,25,48,1451,0,10,14,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,10,14,4,0,0,0,0,28,0,9,28,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,37,4,5,0,5,0,0,0,3,17,0,0,0,0,3,0,0,0,3,8,37,274,672,386,83,25,51,1536,Coonamble (A)
11300,17,86,666,2493,1559,540,165,105,5631,7,33,347,300,82,9,5,14,797,0,56,53,202,60,12,3,15,401,7,89,400,502,142,21,8,29,1198,72,166,454,133,17,0,3,23,868,29,128,1117,189,3,0,3,43,1512,12,167,908,281,10,4,0,35,1417,3,8,9,4,3,0,0,0,27,116,469,2488,607,33,4,6,101,3824,0,7,19,23,3,3,3,3,61,0,3,4,3,0,0,0,3,13,140,654,3577,3628,1737,568,182,241,10727,Burwood (A)
11350,70,389,1262,4506,2298,402,106,161,9194,9,41,211,178,10,0,0,16,465,0,31,144,350,15,5,0,13,558,9,72,355,528,25,5,0,29,1023,14,122,190,113,9,0,0,26,474,0,19,34,7,0,0,0,3,63,0,0,3,4,0,0,0,0,7,4,23,16,6,4,3,0,3,59,18,164,243,130,13,3,0,32,603,41,134,100,22,3,0,0,52,352,3,9,3,8,3,0,0,0,26,141,768,1963,5194,2342,410,106,274,11198,Byron (A)
11500,71,221,1379,21200,11757,2247,546,631,38052,17,69,1390,1997,124,4,4,93,3698,11,97,1122,1802,438,25,3,89,3587,28,166,2512,3799,562,29,7,182,7285,23,238,560,127,18,3,0,40,1009,0,5,279,140,0,0,0,13,437,0,33,202,41,4,0,0,5,285,3,35,12,4,0,0,0,0,54,26,311,1053,312,22,3,0,58,1785,4,7,13,72,38,6,5,0,145,3,3,3,3,9,0,0,0,21,132,708,4960,25386,12388,2285,558,871,47288,Campbelltown (C)
11520,17,101,2001,5967,3347,947,190,183,12753,0,51,539,393,54,12,0,24,1073,4,130,726,1206,197,10,3,24,2300,4,181,1265,1599,251,22,3,48,3373,44,339,1254,453,23,0,3,71,2187,14,218,2182,839,29,3,0,57,3342,27,654,3490,1813,62,11,0,77,6134,3,5,18,10,0,0,0,0,36,88,1216,6944,3115,114,14,3,205,11699,3,20,60,43,4,0,3,3,136,0,15,29,11,0,0,0,0,55,112,1533,10299,10735,3716,983,199,439,28016,Canada Bay (A)
11550,64,220,4127,12463,5129,1249,326,522,24100,57,142,705,475,142,34,9,36,1600,19,148,1195,1096,478,44,10,90,3080,76,290,1900,1571,620,78,19,126,4680,142,972,8118,747,85,6,9,432,10511,22,303,3659,529,21,4,3,164,4705,9,137,1010,257,29,11,0,52,1505,0,6,9,3,3,0,0,4,25,173,1418,12796,1536,138,21,12,652,16746,4,28,130,64,13,0,0,9,248,0,11,59,56,16,5,0,5,152,317,1967,19012,15690,5916,1353,357,1314,45926,Canterbury (C)
11600,3,15,117,429,254,65,15,21,919,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,7,19,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,26,5,11,3,5,0,0,0,6,30,0,0,0,0,0,0,0,0,0,8,33,142,437,254,65,15,27,981,Carrathool (A)
11700,4,47,104,223,154,26,21,27,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,12,5,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,12,5,0,0,3,42,0,11,9,10,6,0,0,4,40,0,4,15,17,9,3,0,3,51,4,67,145,262,174,29,21,37,739,Central Darling (A)
